Cognate_ID,boluotujia,dianfangtujia,duogutujia,tanxitujia,tashatujia
11_breast,d ẽ ³³ + ɡ o ¹³ + l ẽ ³³,l i ⁵⁵ + kʰ o ⁵⁵ + tsʰ ũ ⁵⁵,ɕ ĩ ⁴⁴ + tʰ ã ²¹,ɕ i õ ⁵⁵ + k ẽ ²¹ + dʑ i ã ²¹,l i ⁵⁵ + k w ɔ ⁵⁵ + tsʰ ɔ ŋ ⁵⁵
12_burntr,tɕ i a ʉ ³³,,tɕ i a u ⁴⁴,,z a ²¹
13_clawnail,dʑ i e ⁵³ + m ũ ²¹ + k o ²¹ + l o ²¹,kʰ o ⁵⁵ + tʰ a ⁵⁵,kʰ o ⁵³ + tʰ a ⁵³,dʑ e ⁵⁵ + m o ⁵⁵ + kʰ o ²¹,kʰ w ɔ ²⁴ + tʰ a ⁵⁵
14_cloud,j ẽ ²¹ + d o ʉ ³³,m ɨ e ³⁵ + l a ⁵⁵ + ɣ ũ ²¹,,j y ẽ ³³,m e ²⁴ + l a ⁵⁵ + ɔ ŋ ²¹
15_cold,s i ²¹ + dz a ²¹,s a ⁵⁵,s a ⁵³,s i ²¹ + dz a ¹³,s a ²¹
16_come,ɣ ɨ ²¹ + d ɨ ⁵³,ẽ ²¹ + ts i ²¹,ẽ ²¹ + ts i ²¹,ʔ ɨ ¹³ + d ɨ ⁵⁵,ɤ ŋ ²¹ + tɕ j u ²¹
17_die,s e ²¹,s e ³⁵,s e ²⁴,s e ²¹,s ɤ ²⁴
18_dog,tsʰ e ⁵³,x a ⁵⁵ + l e ²¹,x a ⁵³ + l i e ²¹,tsʰ e ⁵⁵,x a ²¹ + l j ɛ ²¹
19_drink,dz o ʉ ³³,x u ²¹,x u ²¹,dz ʉ ³³,x u ²¹
1_all,b u ¹³ + l i ⁵³,x u ³⁵ + n i ⁵⁵,x u ²⁴ + n i ⁴⁴,b u ¹³,x u ²⁴ + n i ⁵⁵
20_dry,ɡ o ¹³,k a ²¹,a ⁵³ + k a ²¹,ɡ o ⁵⁵,k a ²¹
21_ear,ts a ²¹ + p o ⁵³,ẽ ²¹ + tɕʰ e ³⁵,ũ ²¹ + tɕʰ i e ⁴⁴,ts ã ²¹ + p ʉ ⁵⁵,ɤ ŋ ²¹ + tɕʰ j ɛ ²⁴
22_earth,z a ⁵³,z o ⁵⁵,z o ⁵³,z a ⁵⁵,z w ɔ ²¹
23_eat,ɣ ɨ e ¹³,k a ³⁵,k a ²⁴,ɣ ɨ e ³⁵,k a ²⁴
24_egg,s i ²¹ + ŋ ɨ e ²¹ + a ¹³ + l ɨ e ⁵³,a ⁵⁵ + l e ⁵⁵,,ʔ a ²¹ + l e ⁵⁵,a ⁵⁵ + l j ɛ ⁵⁵
25_eye,a ²¹ + l a ⁵³,l o ³⁵ + p u ³⁵,l o ²⁴ + p u ⁴⁴,ʔ a ²¹ + l a ⁵⁵,l w ɔ ²⁴ + p u ⁵⁵
27_feather,a ³³ + s o ³³,,tɕ i ²⁴ + k a ⁴⁴,,s i ²⁴ + k a ²¹
28_fire,m i ⁵³,m i ⁵⁵,m i ⁵³,m i ⁵⁵,m i ²¹
29_fish,s i ²¹ + ŋ e ²¹,s ũ ³⁵,s ũ ²⁴,s i ²¹ + ŋ ɨ ²¹,s ɔ ŋ ²⁴
2_ashes,m u ²¹ + tsʰ i ⁵³,p u ²¹ + tsʰ i ³⁵,p u ²¹ + tsʰ i ⁵³,m u ¹³ + tsʰ i ⁵⁵,p u ²¹ + tɕʰ i ²⁴
30_flyv,m u ³³ + dʑ i ³³,z a ⁵⁵,z a ⁵³,m u ³³ + dz i ³³,z a ²⁴
31_foot,a ³³ + dʑ i ¹³,tɕ i ²¹,tɕ i ²¹ + pʰ a ²¹,ʔ a ³³ + dʑ i ³⁵,tɕ i ²¹
32_full,m o ʉ ⁵³,m ã ⁵⁵,m ã ⁵³,m ʉ ³³,
33_give,l i e ⁵³,l e ³⁵,l i e ²⁴,l e ⁵⁵,l j ɛ ²⁴
34_good,tsʰ o ²¹,tsʰ a ³⁵,tsʰ a ²⁴,tsʰ o ³³,tsʰ a ²⁴
35_green,ɕ i ²¹,l u ³⁵ + k a ⁵⁵,l u ²¹ + l u ²¹ + t i ⁴⁴,l u ²¹,ɕ i ŋ ²⁴ + k a ⁵⁵
36_hair,a ²¹ + b o ⁵³ + a ²¹ + s o ²¹,s a ³⁵ + tɕʰ i ⁵⁵,s a ²⁴ + tɕʰ i ⁴⁴,ʔ a ²¹ + s o ²¹,s a ²⁴ + tɕʰ i ⁵⁵
37_hand,a ²¹ + dʑ i e ⁵³,tɕ e ³⁵,tɕ i e ²⁴,ʔ a ²¹ + dʑ e ⁵⁵,tɕ j ɛ ²⁴
38_head,a ²¹ + b o ⁵³ + b u ²¹,kʰ o ⁵⁵ + p a ⁵⁵,kʰ o ⁵³ + p a ⁵³,ʔ a ²¹ + b o ⁵⁵,kʰ a ⁵⁵ + tʰ a ⁵⁵
39_hear,x o ³³ + z i ³³,z u ²¹,z u ²¹,ħ o ³³ + z i ³³,ɕ i ²¹
40_heart,t u ¹³ + s ẽ ³³,l i ⁵⁵ + kʰ o ⁵⁵ + l o ³⁵,l i ⁵³ + kʰ o ⁴⁴ + l o ⁴⁴,l i ²¹ + ŋ a ²¹,l i ⁵⁵ + kʰ w ɔ ⁵⁵ + l w ɔ ⁵⁵
41_horn,a ³³ + kʰ ɨ e ³³,kʰ ɨ e ⁵⁵,kʰ ɨ e ⁵³,ʔ a ³³ + kʰ ɨ e ³³,kʰ ɤ ²¹
42_i,ŋ o ³³,ŋ a ³⁵,ŋ a ²⁴,ŋ o ³³,ŋ a ²⁴
43_kill,ɣ ɨ e ¹³,p u ³⁵,p u ²⁴,ʔ ɨ ¹³,p u ²⁴
44_knee,dʑ i ²¹ + t o ²¹ + ŋ o ¹³,tɕ i ²¹ + tʰ i ²¹ + kʰ ɨ e ⁵⁵,tɕ i ²¹ + tʰ i ²¹ + kʰ e ⁵³ + k a i ²⁴ + k a i ²⁴,ʔ a ²¹ + dʑ i ³⁵ + p o ³³ + l o ³³,
45_know,ɕ i e ⁵³,x a u ⁵⁵ + ɕ i ³⁵,x a u ⁵³ + ɕ i ⁴⁴,ɕ e ⁵⁵ + tsʰ e ⁵⁵,x a ²¹ + z i ²¹
46_leaf,a ³³ + ɣ ɨ e ³³,ɣ ɨ e ⁵⁵ + tʰ a ⁵⁵,ɣ ɨ e ⁵³ + tʰ a ⁵³,ʔ a ²¹ + ɣ ɨ e ²¹,ɣ ɤ ⁵⁵ + tʰ a ⁵⁵
47_lie,kʰ a ʉ ¹³,,n i e ²⁴ + p o ⁴⁴,,pʰ ɤ ²¹
48_liver,k æ̃ ³³,ã ⁵⁵ + ŋ a ⁵⁵,a ⁵³ + ŋ a i ⁴⁴,k ã ³³,a ŋ ⁵⁵ + a ⁵⁵
49_long,ɣ ɨ e ¹³,ɣ ɨ e ²¹,ɣ ɨ e ²¹,ɣ ɨ e ³⁵,ɣ ɤ ²¹
4_belly,m ɨ e ²¹ + tɕ i ⁵³,m ɨ e ²¹,m ɨ e ²¹,m ɨ e ¹³ + tɕ i ⁵⁵,m ɤ ²¹ + tsʰ i ²¹ + kʰ ɤ ⁵⁵
50_louse,a ²¹ + s i ⁵³ + l ũ ³³,s i ⁵⁵ + s i ⁵⁵,s i ⁵³ + s i ⁴⁴,ʔ a ²¹ + s i ⁵⁵,s i ⁵⁵ + s i ⁵⁵
51_man,a ²¹ + k o ²¹ + b i e ²¹,n o ⁵⁵ + p a ⁵⁵,n o ⁵³ + p a ⁴⁴ + ts e ⁴⁴,ʔ a ²¹ + k o ²¹ + b e ²¹ + ŋ ɨ ²¹,ts w ɔ ⁵⁵ + p a ⁵⁵
52_many,z i ⁴⁵,z i ²¹,z i ²¹,z i ³⁵,z i ²¹
53_meat,s i ¹³,s i ²¹,s i ²¹,s i ³⁵,s i ²¹
54_moon,j e ²¹ + l i ã ⁴⁵,s u ²¹ + s u ²¹,s u ²¹ + s u ²¹ + kʰ a ²¹ + tɕ j e ⁴⁴,l o ³⁵ + ɕ i ⁵⁵ + d ʉ ³⁵,s u ²¹ + s u ²¹
55_mountain,z a ⁵³ + kʰ a ²¹,kʰ u ⁵⁵ + ts a ⁵⁵,kʰ u ⁵³ + ts a ⁵³,z a ⁵⁵,kʰ u ⁵⁵ + l j ɛ ⁵⁵
56_mouth,a ²¹ + z e ²¹,ts a ³⁵ + tɕʰ i ⁵⁵,ts a ²⁴ + tɕʰ i ⁴⁴,ʔ a ²¹ + z e ²¹,ts a ²⁴ + tɕʰ i ⁵⁵
57_name,n i o ʉ ³³,m ĩ ²¹ + ts i ³⁵,m ĩ ²¹ + ts i ²⁴,n i ʉ ³⁵ + b o ²¹,
58_neck,k u a ¹³ + l a ⁵³,kʰ ũ ⁵⁵ + t i ⁵⁵,kʰ ũ ⁴⁴ + t i ⁴⁴,ɡ u a ²¹ + l a ⁵⁵,kʰ ɔ ŋ ⁵⁵ + t i ⁵⁵
59_new,a ³³ + ɕ i ³³,a ³⁵ + s i ³⁵,ɣ a ²⁴ + s i ⁴⁴,ʔ a ⁵⁵ + ɕ i ²¹,a ²⁴ + ɕ i ⁵⁵
5_big,tɕʰ i ³³,tsʰ i ⁵⁵,tsʰ i ⁵³,tɕʰ i ³³,tsʰ i ²¹
61_nose,k o ʉ ²¹ + tɕ i ⁵³,ẽ ³⁵ + tɕʰ i ⁵⁵,ũ ²⁴ + tɕʰ i ⁴⁴,k ʉ ¹³ + tɕ i ⁵⁵ + d ʉ ³⁵,ɤ ŋ ²⁴ + tɕʰ i ⁵⁵
62_not,l æ̃,tʰ a ⁵⁵,tʰ a ⁵³,m a ⁵³,t a ²⁴
63_one,l a ³³,n a ³⁵,n a ²⁴,l a ⁵⁵,l a ²⁴
64_person,,n o ⁵⁵,,n i a ³³,l w ɔ ²¹
65_rain,z e ¹³,m ɨ e ³⁵ + ts e ²¹,m ɨ e ²⁴ + ts e ²¹,z e ³⁵,m ɤ ²⁴ + z ɤ ²¹
66_red,b o ²¹ + n i ²¹,m i ã ⁵⁵ + tɕ e ⁵⁵,m i ã ⁵³ + tɕ i e ⁴⁴,b o ³³ + n i ¹³,m j ɛ n ⁵⁵ + tɕ j ɛ ⁵⁵
67_road,,l a ⁵⁵,,l o ³³,l a ²¹
68_root,,tɕ i ⁵⁵ + l a ²¹,tɕ i ⁵³ + l a ²¹,k ẽ ³³,tɕ i ⁵⁵ + l a ²¹
69_round,d u æ̃ ³³,kʰ u ²¹ + l o ⁵⁵ + l o ²¹,tʰ u ã ²¹ + kʰ o ⁵³ + l i ⁴⁴,d u ã ³³,p ɔ ²¹ + l w ɔ ⁵⁵ + l w ɔ ⁵⁵
6_bird,k ɨ ²¹ + ts o ²¹ + n ũ ²¹,n e ³⁵ + p i ³⁵,n i e ²¹ + p i ⁵³,k ɨ ²¹ + ts o ²¹,n j ɛ ²⁴ + p i ⁵⁵
70_sand,s a ⁵³ + ts i ²¹,a ²¹ + p u ³⁵ + l i ³⁵,ɣ a ²¹ + pʰ i ²⁴ + pʰ i ⁵³,l ʉ ³⁵ + s a ⁵⁵ + ts i ²¹,a ²¹ + p u ²⁴ + l i ⁵⁵
71_say,x ɨ e ⁵³,l i ²¹,l i ²¹,ħ ɨ ⁵⁵,l i ²¹
72_see,b o ¹³ + i ⁴⁵,j i ²¹,p a ⁵³ + t o ²¹ + l i a w ²¹,b o ¹³ + j i ³⁵,j i ²¹
73_seed,a ³³ + l i e ³³,n e ⁵⁵ + n ã ⁵⁵,p u ²⁴ + l i ⁵³,ʔ a ³³ + l e ³³,n j ɛ ⁵⁵ + l a ŋ ⁵⁵
74_sit,ɣ o ʉ ¹³,ũ ²¹,ũ ²¹,ʔ ʉ ³⁵,ɔ ŋ ²¹
75_skin,k o ³³ + l o ³³,tʰ a ⁵⁵ + pʰ a ²¹,tʰ a ⁵³ + pʰ a ²¹,k ɨ ²¹ + l o ²¹,tʰ a ²⁴ + pʰ a ²¹
76_sleep,n i e ²¹,n e ³⁵,n i e ²⁴,n e ²¹,n j ɛ ²⁴ + p j ɛ ²¹
77_small,s a ³³,s u ã ⁵⁵,s u ã ⁵³,s a ³³,s w a n ²¹
78_smoke,kʰ ɨ e ⁵³ + s a ²¹,kʰ ɨ e ⁵⁵ + kʰ a ²¹,kʰ e ⁵³ + kʰ a ²¹,k ɨ e ⁵⁵ + s a ²¹,
79_stand,d u ³³,ts u ⁵⁵ + ts u ⁵⁵,ts u ⁵³ + ts u ⁵³,d u ³³,ts u ⁵⁵ + ts u ²¹
7_bite,ɡ o ¹³,,k a ²⁴,,k a ²⁴
80_star,tʰ i æ̃ ³³ + s ẽ ³³ + ts i ⁵³,s i ⁵¹ + z i ²¹,s i ⁵³ + z i ²¹,ɕ ẽ ³³ + ts i ³³,ɕ i ²¹ + p u ²⁴ + l i ⁵⁵
81_stone,l o ʉ ¹³ + k o ʉ ²¹ + d o ʉ ¹³,a ²¹ + p a ²¹,ɣ a ²¹ + p a ²¹,l ʉ ³⁵,a ²¹ + p a ²¹
82_sun,n o ⁴⁵ + d o ʉ ³³,n a w ²¹,n a w ²¹ + tsʰ i ²¹,l o ³⁵ + j i ³³ + d ʉ ¹³,l a w ²¹
83_swim,,,tsʰ e ²¹ + tɕʰ i w ²¹,,tɕ j ɛ ²⁴ + t a ⁵⁵ + w u ²¹
84_tail,l i ã ²¹ + t o ⁵³,l e ²¹ + pʰ ũ ³⁵,n i e ²¹ + pʰ ũ ⁵³,j i ã ²¹ + t ʉ ⁵⁵,l j ɛ ²¹ + pʰ ɔ ŋ ²⁴
85_that,t a ³³ + b u ³³,a j ⁵⁵,a j ⁵³ + t i ⁴⁴,t a ²¹,a j ⁵⁵
86_this,dʑ i a ²¹ + b u ²¹,ũ ⁵⁵,k a j ²⁴ + t i ⁴⁴,dʑ i a ²¹,ɤ ŋ ⁵⁵
87_thou,n i ³³,n i ³⁵,n i ²⁴,n i ³³,n i ²⁴
88_tongue,dz i ²¹ + l a ²¹,j i ³⁵ + l a ⁵⁵,i ²⁴ + l a ⁵³,dz i ²¹ + l a ²¹,j i ²⁴ + l a ⁵⁵
89_tooth,s i ³³ + t a ¹³,s i ⁵⁵ + s i ⁵⁵,s i ⁴⁴ + s i ⁴⁴,s i ³³ + t a ³⁵,s i ⁵⁵ + s i ⁵⁵
8_black,n o ²¹,l ã ³⁵ + k a ⁵⁵,l ã ⁴⁴ + k a ⁴⁴ + t i e ²¹,l o ²¹,l a ŋ ²⁴ + k a ⁵⁵
90_tree,kʰ o ¹³ + m ũ ²¹,kʰ a ²¹ + m ũ ²¹,kʰ a ²¹ + m ũ ²¹,kʰ o ³⁵,kʰ a ²¹ + m ɔ ŋ ²¹
91_two,n i e ⁵³,n e ⁵⁵,n i e ⁵³,l e ⁵⁵,n j ɛ ⁵⁵
92_walkgo,dz o ʉ ¹³,ɣ ɨ ³⁵,ɣ ɨ ²⁴,j e ²¹,ɣ i ²⁴
93_warm,s i ²¹ + t o ²¹,k ɨ ²¹,k ɨ ²¹,s i ²¹ + t o ¹³,k i ²¹
94_water,tsʰ e ¹³,tsʰ e ²¹,tsʰ e ²¹,tsʰ e ³⁵,tɕʰ ɤ ²¹
95_we,a ³³ + n i ³³,ŋ a ³⁵ + n i ³⁵,ŋ a ²⁴ + n i ⁴⁴,ʔ a ²¹ + n i ³³,a ŋ ²⁴ + n i ⁵⁵
96_what,tsʰ u ⁵³ + u ³³,n a j ⁵⁵ + ɕ i ²¹,n a j ⁵³ + ɕ i ²¹,tsʰ u ⁵⁵ + m o ²¹,tɕʰ j ɛ ²¹
97_white,s i ³³,a ²¹ + s i ²¹,a ²¹ + s i ²¹,s i ³³,a ²¹ + s i ²¹
98_who,a ³³ + s i ³³ + ŋ e ³³,a ⁵⁵ + s e ²¹,a ⁵³ + s o ²¹,ʔ a ³³ + s i ³³,a ²¹ + s ɤ ²¹
99_woman,a ¹³ + i o ⁵³ + b i e ²¹,m a ²¹ + m a ²¹ + t e ⁵⁵,m a ²¹ + m a ²¹ + ts e ⁴⁴,ʔ a ²¹ + j i o ⁵⁵ + b e ²¹ + ŋ ɨ ²¹,m a ²¹ + m a ⁵⁵
9_blood,m i e ²¹ + m i e ²¹,m e ⁵⁵,m i e ⁵³,m e ²¹ + m e ²¹,m j ɛ ²¹
