Cognate_ID	alak	bahnargolar	bahnarkontum	bahnarpleiku	brao	bunong	cheng	chrau	cua	halang	jeh	jrulaven	kasseng	khaonh	mel	mnongrlm	nyaheun	ramam	rengao	sapuan	sedang	sre	stieng	tampuan
10_beehoneybee	s uː t	s uː t	s uː t	s uː t	cʰ u t		s u t	s ɨ t	h l uː t	s u t	k ə d r ɔː t	s uː t	s uː t			ʔ u o ŋ	s u t		ts ṳː t	s u t	s ɔ t	s u t	s o t	cʰ u t
110_salt	b ɔ h	b ɔ h	b ɔ h	ɓ ɔ h	b ɑ h	p ɔ̤ː h	b ɔ h	v ɔ h	b ʌ h	b ɔ h	b ɔ h	b ɔ h	b ɔ h	ɓ ɔ h	ɓ ɔ h	b ɔ h	b ɔ h	p ṳ ə h	b ɔ h	b ɔ h	p ɔ	b ɔ h	b ɔ h	p ɔ̤ h
111_sand	pʼ a h aː c				pʰ aː c		pʰ aː c	s i k i e ʔ				pʰ aː c	b r aː ç				pʰ aː c			p a h aː c	p r ɛ j	b r a s	k ə r ʃ ɛː	r ə p ṳ k
112_seed	k l əː m	ɡ a r	ɡ a r	ɡ a r	ŋ k u ŋ	n t iː l	ŋ k u ŋ		k a l ɔː k	ɡ a r	k l ɔ ŋ	ʔ k u ŋ	ʔ ə l ɔː ŋ			ɡ a r	k u ŋ		ɡ a r		k l ɔ̰ ə ŋ	ɡ a r	n t i l	t eː l
113_seven	t ə m p ɔ h	t ə p ə h	t ə p ə h	t ə p ə h	p ə h	p iː c	p a h	p ɔ h	k a p ə h	t ə p e̤ h	t ə p e̤ h	p ʌ h	t ə p ɤ h	p ə χ	ɓ ə h	p ɔ h	p a h	t ə p a u h	t ə p ə̤ ç	p a h	t ə p a h	p o h	p ɔ h	ʔ m p a ə h
114_shadeshadow	ŋ ʔ ə h	j ə p	j ɨ p	j ə p	h ə ʔ ɨ h		h a ʔ ɨ h	ɡ uː j		ʔ m uː k + ʔ m ṳː	m u ŋ + m e̤ː h	m̥ oː l		s ə ŋ ɡ ə m	m ə l a p	ɲ uː ŋ	h m oː		ʔ m u		m ə ʔ m ɔ̰	h w i ŋ	ɡ uː j	k ə j
115_shameashamed			k ə d ə ʔ	k ə d ə ʔ			k a m aː w	p r eː ɲ	k a m ɨː l	k ə ʔ m aː s	k ə m a jʰ	k m aː l				p r eː ŋ	m m aː w		k ə m ɛ ç	k ə m aː w	k ə m ɛ j	b a s i l		s ṳ ə ɲ + p a r l ṳ ə ɲ
116_sharpedged	m uː t	h aː n	h aː n	h aː n	m u t	m p l oː ɲ		s oː t	p u j ʔ	r uː t	p l aː + ɟ ɛː j	m uː t	p l aː	s oː t	s oː t	c a k	p l aː	t ʌ p	h aː n		h ḛ n	s o u t	cʰ oː t	s a o t
117_sickill	cʼ i ʔ	ɟ i ʔ	ɟ i ʔ	ɟ i ʔ	ɟ i ʔ	c iː	ɟ i ʔ	ɟ iː	ɟ i ʔ	ɟ i̤ ʔ	ɟ i̤ ʔ	ɟ i ʔ				ɟ iː	ɟ i ʔ	c u ʔ	ɟ i̤ ʔ	ɟ i ʔ	cʰ a j	ɟ i	ɟ iː	
118_six	t a r a w	t ə d r ɔ w	t ə d r ɔ w	t ə d r ɔ w	t r a w	p r aː w	t r a w	p r a w	k a d r o w	d r ə d r a w	t ə d r a w	t r a w	t ə r a w	p ʀ a w	p r o w	p r ɔː	t r oː	t ɣ a w	t ə d r uː	t r a w	t ə d r o̰ w	p r a w	p r a w	t r a o
119_skinbark	ŋ k aː r	h ə k aː r	ʔ a k aː r	ʔ a k aː r	m b ɑː k	n t oː	s r u a t	n t oː	k a ɗ u h	p a r	p a l	s r u a t	ʔ ə r u ə t			t a w	s r u a t	ʔ a ŋ k aː ɺ	h ə k aː r	s u a t	k ɛ̰ ə	k ə l t a w	n t o w	ʔ ŋ k aː r
11_bellystomach	k l aː k	k l aː k	k l aː k	k l aː k	p ə d i w	n t u l	k l aː k	p ə r a m	b ʌ ŋ	b ə t u k	p ə d o̤ k	k l aː k	k l aː k	k ə n d ʊ l	k ə d ʊː l	kʰ u ŋ	k l aː k	p ə t u k	p ə d ṳ k	k l aː k	k l e ə	k ə n d u l	k ə n d ɨ l	w a c
120_sky	pʼ r a h	p l ɛ ɲ	p l ɛ ɲ	p l ɛ ɲ	k r eː	t r oː k	k l ɛː	t r oː ʔ	p l eː k	p l iː ŋ	p l iː ŋ	k r ə m	p l iː ŋ	t ʀ o k	t r o k	t r oː k	k r ɨ m	p l ɛ ŋ̊	p l i̤ ŋ	k r ɨ m	p l ɛ ŋ	t r uː	t r oː k	p l a i ŋ
121_smoke	n ʔ j uː j	ʔ ɲ uː j	ʔ ɲ uː j	ʔ ɲ uː j	ɲ uː j	h a t	ʔ ɟ uː j + ʔ u ɲ	ɲ u ʔ	ʔ ɲ uː j	ʔ ɲ ṳ ə j	ʔ ɲ ṳ a j	ʔ ɲ uː j	ɲ u ə j	ɲ u k	ʔ a ɲ o k	ɲ u e	ʔ ɲ u e	ɲ u j	ɲ o̤ː j	n ɲ u j	ɲ o j	ɲʰ u	ɲ uː k	ʔ j ə j
122_snake	pʼ i h	ɓ i h	ɓ i h	ɓ i h	b i h	p e̤ː h	b i h	v i h	b ʌ lʰ	b e̤ h	b a ç	b i h	b i s	ɓ ɛ̤ h	ɓ ə̤ ç	b i h	k i a k + m o h	p u j ç	b ə̤ ç	b i h	p a h	b ə s	b e h	p i̤ h
123_softtouch	ʔ a tʼ a n	r ə h i a k		r ə m w a n	d ɑ n			p uː h	l ɨː l	m i ə r	r ə m u a n	ʔ d a n	ʔ ə b aː t			dʰ uː m	l u a c		r ə m w a n	d e n	r ə b ɛ̰ n	l ə b ə n	r b a n	l a p a̤ t
124_sour	ʔ a cʼ u a ʔ	ʔ j u ʔ	ʔ j u ʔ	ʔ ɲ u ʔ	ɟ uː		ɟ u ʔ	s aː t	ɟ u a ʔ	ɟ ṳ ə ʔ	ɟ ṳ a ʔ	ʔ ɟ u o ʔ	ɟ ɔ ʔ	s ə ɣ aː t	s ə r aː t	s r aː t	j u o ʔ		ɟ o̤ ʔ	ɟ u o ʔ	c o w	s ə r aː t	s r a t	j ə̤ u ʔ
125_star	p l uː ŋ	h ə ŋ l ɔ ŋ	h ə ŋ l ɔ ŋ	s ə ŋ l ɔ ŋ		m aː ɲ		s ə m a ɲ	s ə l aː k	h l o ŋ	h l ɔ ŋ		ʔ ə m a ɲ	s ə m ɑ ɲ		m a ɲ		h n u o ŋ	h ə l ɔ ŋ		h ə l ɔ ŋ	s ə m a ɲ	s ə m a ɲ	s ə m l ɔ ŋ
126_stickofwood	ʔ l ɔː ŋ + kʼ a r tʼ e h			ʔ l ɔː ŋ	k ɨ r d oː ŋ	l ɔː ŋ	l ɔː ŋ	l ɔː ŋ	ɡ a j + ɡ ə j ʔ	ɡ a j	ʔ l ɔ ŋ	ʔ l ɔː ŋ + ɡ ɔː n	l ɔː ŋ	l a w ŋ	l ɔː ŋ	m ɔː ŋ	ʔ l ɔː ŋ		l ɔ ŋ	l ɔː ŋ	l ɔ̰ ə ŋ	d ə m		ʔ l oː ŋ
127_stone	t a m ɔː	t ə m ɔː	t ə m ɔː	t ə m ɔː	t ə m ɑː	l u k	m ɔː	t ə m oː	pʰ aː w	t ə m o u	t ə m ɔ w	t ə m ɔː	ʔ ə m ɔː	t ə m a w	t ə m uː c	m a w	n w ɔ	h ãː w	h m uː	t m ɔː	h m o w	l u ʔ	t ə m a u	ʔ mʰ m a o
128_sunday	m a t + pʼ r a h	n a r	n a r	ʔ n a r	t ə ŋ a j	n aː r	m a t + t a ŋ a j	n a r	h ŋ ɨ j	ŋ a j	m a t + ŋ a j	t ŋ a j	m a t + t ə ŋ a j	n ɑ ɨ	n a ɨ	n aː r	n ɨ eː	m a t + h ã j	m a̤ t + h i	t a ŋ a j	h ã i	ŋ aː j	n a r	ɗ a r
129_sweet	ŋ aː m	ŋ aː m	ŋ aː m	ʔ ŋ aː m	ŋ aː m			l a ɲ oː t	ŋ ɨː m	ʔ ŋ aː m	ʔ ŋ aː m	ʔ ŋ əː m	ŋ aː m	ɲ ə ɲ oː t	ə ɲ oː t	ŋ oː t	ʔ ŋ aː m	ŋ aː m	ŋ aː m	ŋ aː m	ŋ ɛ̰ ə m	l ə ŋ a m	l ə ŋ oː t	
12_bird	c ɛː m	s ɛː m	s ɛː m	s ɛː m	c eː m	s i m	c eː m	s u m	s eː p	c i m	c i m	c eː m	c eː m			s ɨ m	c eː m	c e m̥	c i̤ m	c eː m	c e m	s eː m	c o m	s e m
130_tail	t ɛː ŋ	k j ɛ ŋ	k j ɛ ŋ	k j ɛ ŋ		c j a ŋ		t i e ŋ		t ɛ a ŋ	t ɛː ŋ			t e a ŋ	t i ə ŋ	t i e ŋ		t a i ŋ	t iː ŋ		t ḭ ŋ	t i a ŋ	t i e ŋ	c j a ŋ
131_ten	cʼ i t	ɟ i t	ɟ i t	ɟ i t	c i t	c ɨ̤ː t	c i t	m ə t	k ɨ l	ɟ əː t	k uː + ɟ a̤ t	c e t	k ə ɟ i t	ɟ ɛ t	ɟ ə t	m a t	c i t	c u o t	m o̤ j + ɟ a̤ t	ɟ i t	c a t	ɟ ə t	ɟ m ə t	ʔ ɲ c ɨ̤ t
132_thickobject	cʼ ɨ r	h ə ɓ ə l	h ə ɓ ə l	h ə ɓ ə l	k ə w ɨ w	m p ə̤ː l	k a v uː	v ə l	ʔ a h m ʌ l	h ə b əː l	b a̤ l	k b ə l	ʔ ə b a l	b ə l	b ə l	ʔ ɨ t	ɡ uː	h ə p u o ɺ	h ə b ə̤ l		h ə b ɔ	m b ə l	m b ə l	k a p ṳ l
133_thinobject	s ə t aː ŋ	h ə t a ŋ	h ə t a ŋ	h ə t a ŋ	cʰ d ɨː ŋ	nʰ əː	ʔ i h + k a v uː		ʔ a t a k	h ə t a ŋ	t a ŋ	h t ɨ ə ŋ	ʔ ə t a ŋ	l a ɨ	l ə ɨ	ɡ ɛː	h r ɨ ə ŋ	t a ŋ̊	h ə t a ŋ	s aː	r ə t a̰ ŋ	r ə ɡ aː j	r ə ɡ aː j	l a t a ŋ
134_thorn	cʼ a r l aː	ɟ ə l aː	ɟ ə l ă	ɟ ə l aː	ɟ ɨ r l aː			l ɔː ʔ	ɟ a l i a	ɟ ə l aː	t ə l aː	c l aː		l a w k	l ɔː k	l u o k	l l aː	ts ə l aː	ɟ ə l aː		ʔ i l a̰	l ɔː	l ɔː k	cʰ l i a
135_three	p a j	p eː ŋ	p eː ŋ	p eː ŋ	p eː	p ɛː	p ɛː	p ɛː	p ɛː	p ɛː	p ɛː j	p ɛː	p ɛː	p a e	p æː	p aː j	p ɛː	p ʌ j	p iː	p ɛː	p a̰ j	p e	p e j	p a i ŋ
136_tobeborn	k əː t	r ə n ɛ h	r ə n ɛ h	r ə n ɛ h	k əː t		b r a ʔ + n a ʔ		p a ʔ iː l	k o̤ː t		k əː t	ɟ eː ŋ			l u e + s a k	k əː t				ɟ i ə ŋ	r ə h	k əː t	k ə ɨ t
137_tobite	k a p	k a p	k a p	k a p	k a p	k a p	k a p	k a p	k aː p	k a p	k a p	k a p	k a p	k ɑ p	k a p	k a p	k a p	k a p	k a̤ p	k a p	k a	k a p	k a p	k a p
138_toblow	p l o h	h l oː m	h l oː m	h l oː m	kʰ l oː m	kʰ oː m	k l oː m	kʰ l oː m	k l oː p	h l uː m	p l o̤ ŋ	k l oː m	p l u ŋ	kʰ oː m	kʰ oː m	kʰ oː m	k l oː m	kʰ ɔː p m	h l uː m	kʰ ɔː m	h l ṵ m	kʰ o u m	kʰ oː m	kʰ l a o m
139_tobreathebreath	dʒ a h ɯː m	ɟ ə h ŋ ă m	ɟ ə h ŋ ă m	ɟ ə h ŋ ă m	h u a t + cʰ əː m	s r u h + nʰ əː m		n ə m	h ɔː t + h əː j	ɟ ə h əː m	ɟ ə h o̤ː m	c ə h ɨː m	ŋʰ ɯː m	ɗ a w k + ŋʰ ə m	ɗ ɔ̤ː k + ŋʰ ə m	ɲʰ a m	j ɐː m	t ə h uː m	d ə̤ k + c ə h e̤ː m	ɟ a h əː m	h i ə m	s o a m	nʰ uː i + nʰ ɔ m	ʔ ŋʰ ə ɨ m
13_bitter	ʔ j a ŋ	t a ŋ	t a ŋ	t a ŋ	d a ŋ		d a ŋ	t a ŋ	ʔ w a l ʔ w a l	ʔ ɲ a ŋ	ʔ ɲ a ŋ	ʔ t a ŋ	ɲ a ŋ	t a ŋ	k ə t a ŋ	t a ŋ	d a ŋ	p ə ts a ŋ	ts a ŋ	d a ŋ	s a̰ ŋ	b ə t a ŋ	t a ŋ	t a ŋ
140_toburntr	c ɔ h	ʔ u ɲ	ʔ u ɲ	s oː ŋ	l ɑː k	k o		ŋ iː t	ɟ a ʔ	c u h	kʰ ɔː ŋ	c o h	ʔ ə r ɔ h	ʔ ɑ s ɑː	ʔ a s aː	ɟʰ uː	c o h	c aː w	kʰ ə ŋ		c o w	cʰ u	ɟʰ u	s o h
141_tobuy	r oː t	r ɔ t	r ɔ t	r ɔ t	r u a t	r w a t		v r ɔː	r ɔː t	r u a t	r u a t	r u a t	w a k	t a c	r u ə t	r u o t	r u a t	ɣ ɔː t	r o̤ː t	n d r u a t	r o ɛ	r o a t	r w a t	t a c
142_toclimbascend	tʼ ɨ k	h aː w	h aː w	h aː w	h aː w	h aː w	d ɨ k	h aː w	ɡ a m aː k	h aː w	h aː w	h a w				h aː w	h aː w	h aː w	h aː w	d ɨ k	h ɛ̰ o	h aː w	h aː w	h aː w
143_tocookboil	pʼ ɨː t	p aː j	p aː j	p aː j	p aː j	n k ɔ̤ː n	k r aː k	ɡ ə m	ɓ a k	p aː j	p aː j	b u s	b oː ç	ɗ ə ɡ a w n	ɗ ə ɡ ɔː n	ɡ a m	b u i h	p aː j	p aː j	b u i h	p ḛ	p a j	c ə m	p a e
144_tocough	k ə ʔ ɔ k	h j ɛ n	h j ɛ n	h j ɛ n	k ə ʔ ɑ k		k r a ʔ ɔ k	n s i e ʔ	k a ʔ ʌ k	k ə ʔ o k	k ə ʔ ɔ k	k ʔ ɔ k	ŋ ʔ ɔ k	k ə s e ə k	c ɔ h + k ɔː	s i e k	ɡ ɔ k	ʔ ə ŋ ʔ ɔ k	k ə ʔ ɔ k	k a ʔ ɔː k	k ə ʔ ɔ̃	b ə s i a ʔ	cʰ i a k	p a s a k
145_tocryweep	ɲ iː m	ɲ ə m	ɲ ə m	h m ɔː j	ɲ ɨː m	ɲ i m	ɲ ɨː m	ɲ iː m	ɲ ɨː m	ɲ i̤ ə m	ɲ aː m	ɲ ɨ ə m		ɲ ə m	ɲ ʊ m	ɲ iː m	ɲ ɨ ə m	ɲ i m	b j ə p	ɲ ɨ ə m	k ə h õ̰ j	ɲ i m	ɲ iː m	ɲ a m
146_todescend	c r uː s	ɟ uː r	ɟ uː r	ɟ uː r	t ɨː x	t r u ɲ	t i h	ɟ ɨ r	ʔ a l ʌ h	ɟ u r	ɟ ɔ̤ l	t i e h	t r ɔ h			ɟ ɨ r	t i e h		ɟ ṳː r	t i e h	c u	ɟ u r	ɟ u r	c ɨ̤ r
147_todie	s iː t				k eː t	kʰ i t	k eː t	c ɨ t	s eː t	t ə kʰ ɔ l	k ə c i̤ a t	k eː t	c iː t	kʰ ə t	kʰ ə t	kʰ ɨ t	k eː t	c ɛː w	h l a t	k e t	h l a	cʰ ə t	cʰ e t	kʰ cʰ e t
148_todig	c iː r	s iː r	s iː r	s iː r	c a h	k uː ç	c a h + b r ɛ h	ɟ iː ʔ	s iː l	c i̤ ə r	b e̤ t	c a h	c i ə r	s i ɨ	s iː	k u ç	c a h	c o ɺ	c ɔː j	c a h	c i ə	t aː	s i r	s ə i r
149_todream	m p a w	h ə p ɔː	ʔ a p ɔː	ʔ a p ɔː			p r a ʔ + k u j	m b əː j	p a w	h ə p oː	k a̤ t + t r i̤ ʔ	p k u j	m p ɔː	ⁿb a ɨ j	ⁿb əː j	b əː j	k k w iː	m p a w	h ə p uː		p o̰ w	m p a o	m b əː j	ʔ m p a o
14_black	tʼ a ŋ a m	ɡ a m	ɡ a m	ɡ a m	j uː ŋ	ʔ oː c	ŋ i a w	ɟ uː ʔ	ɟ uː ʔ	ɟ ṳ ʔ	ʔ ɲ uː ŋ	ʔ j o ŋ	m a ŋ	s ə ʔ o c	s ə ʔ oː c	ɟ u	ŋ i a w	m ə m ɔː	ɡ a m	k a h a m	p r a̰ ŋ	ɟ uː	ɲ oː ŋ	m oː
150_todrinkwater	cʼ ɔ k	ʔ ɛː t	ʔ ɛː t	ɲ a ʔ	ɲ eː t	ɲ eː t	ɲ eː t	h uː c	h oː c	h uː t	h u t + d aː k	ʔ o k	s eː t	ɲ eː t	ɲ eː t	ɲ eː t	ʔ oː k	ʔ ɛː t	ʔ ṳ ʔ	ʔ o k	ʔ o w	h u c	ʔ oː m	ʔ a e t
151_toeat	c aː	s aː	s aː	s aː	c aː	s aː	c aː	s aː	s aː	c aː	c aː	c aː	c ɔ ŋ	s aː	s o ŋ	s oː ŋ	c a	c aː	k a ʔ	c aː	k a	s aː	s aː	s aː
152_toextinguishputout	m p a t	t ə k	p ə p ă t	p a t	p a t		t a m p a t + ʔ u ɲ	ŋ ə t	p ʌ t	p a t	p a t	p a t	m p a t			kʰ ɨ t + ʔ ɨː ɲ	p a t	p a t	p a t	m p a t + ʔ u ɲ	t ə p a	ŋ ə t	ŋ ɔ t	p a t
153_tofall	ʔ l i h	k l i h	k l i h	k l i h	k l iː h	ŋ k l a c		t ə l i h	k l e h	k l i h	t ə k l i h	k l e h	k l e h	k ə t o p	ʔ aː t o p	b oː ŋ	k l i e h	k l a u h	b ɔ ŋ	k l i e h	k l ɛ h	d u h	ʔ a t ɔ p	l ɛ ʔ
154_tofleerunaway	d u	ɟ a k	ɟ a k	k l ɛ ɲ	t r ə j a̤ː w	ɲ c w a t	r ɛ ʔ	d uː	c a r əː k	ɡ ə d o̤ː w	k ə d a̤ w + d ɔː k	h d ʌ w	d a w			d uː	r uː	h ə c ʌ k	k ə d ə̤ w		k ə t a w	d u	d uː	s a t a k
155_tofly	p a r	p a r	p a r	p a r	p a r	p a r	p a r	p a r	p ʌ l	p a r	t ə p a l	p a r	p a r	p a ɨ		p a r	p a n	p a ɺ	p a r	p a l	k ə n i a ŋ	p a r	p a r	p a r
156_toforget	w a w ɨ ŋ	h j əː t	h j əː t	h j əː t	w ɨː ɲ		v u ɲ + v a ɲ	h u c	t a w ʌ l	t ə w i l	t ə w a̤ l	b iː l		ʔ ə j a w + t a w	t a h + t o w	w a r + t oː r	w w ɨ ə ɲ	w əː ɺ + w ʌ t	h e̤ː t	w uː ɲ	h ĩ ə t	h u i ʔ	h ə w e c	p ɨ̤ l
157_togive	ʔ a m	ʔ a n	ʔ a n	ʔ a n	ʔ a m	ʔ ə n		ʔ aː n	ʔ a m	ʔ a m	d o h	ʔ a m	ɟ uː n	ʔ ə n	ʔ aː n	ʔ a n	ʔ ə m	ʔ a m	ʔ a m	ʔ a m	ʔ a̰ m	ʔ a j	ʔ aː n	ʔ ɔ n
158_tohear	n t ɔ ŋ	k ə t ə ŋ	k ə t ə ŋ	k ə t ə ŋ	d o ŋ	j a t	d ə ŋ	c a ŋ	t a m e ŋ	ɲ əː ŋ + n a j	ɲ a̤ ŋ	s ʌ ŋ	ʔ ə s ɤ ŋ	k ə t ɑ ŋ	k ə t a ŋ	t ɔ ŋ	s ɐ ŋ	t a k ŋ	t ə̤ ŋ	d ɨ ŋ	t ə m a ŋ	k ə n ɔ	t a ŋ	t ə t a ŋ
159_tohideconcealtr	pʼ a tʼ ɔː k	k ə d ə p	k ə d ə p	k ə d ə p				p oː n	p a d uː	k r ṳː m	c ṳ ʔ + k ə d ɔː k	d ɔː k				p uː n	d ɔː k	k ə t u o k	k ə d ɔː k		k ə t ɔ ə	n d ə p	p oː n	k a n t ɨ̤ ŋ
15_blood	pʼ a ŋʰ aː m	pʰ aː m	pʰ aː m	pʰ aː m	pʰ aː m	mʰ aː m	pʰ aː m	nʰ aː m	pʰ aː p	m ə h aː m	pʰ aː m	pʰ əː m	ʔ ə h aː m	ŋʰ aː m	ŋʰ aː m	mʰ aː m	pʰ aː m	p ə h ɛː m	m ə h aː m	p a h aː m	m ə h e a m	mʰ aː m	mʰ a m	pʰ aː m
160_tohunt	p ə p l a m	h ə ŋ w aː ŋ	h ə ŋ w aː ŋ	h ə ŋ w aː ŋ	r e ʔ + p ə p a ɲ	j oː		w ɔ ŋ	ʔ a ɡ a j	s ɔ a r	r ɛː ŋ	d a ŋ	n d a ŋ			w aː ŋ	j aː w		d a ŋ	d a ŋ	ʔ m ɔ t	t i ŋ	w a ŋ	p i̤ ə l
161_toitchtobeitchy	tʼ a r pʼ ɔː c	d ə d iː k	s ə s ɛː k	s ə s ɛː k	ɟ ɨː ʔ			k i e t	h m ɔː c	k ə m aː n	l l ɔː w ʔ	h k i a t	ʔ ə k i ə t	ʔ a k e ə t	t ə b uː c	k i e t	ɡ i a t		t ə h a n	t a p u a t		k i a t	r aː ŋ r u h	t ə p u a t
162_tokick		k ə d a h	k ə d a h	k ə d a h					k a p iː l	t e̤ h	b i h	t e h				t r a m			k ə d a h		k ə t ɛ h	c o h		tʰ a t
163_tokill	k a s iː t	p ə l oː c	p ə l oː c	p ə l oː c	k ə c eː t	n kʰ ɨ t	k c eː t		p aː k + s eː t	p ə h o̤ː t	ɟ a h	k c eː t	ʔ ə c iː t				ɡ j eː t	p ə c ɛː w	p ə h l a t	k a c ɛ t	k ə d e	ɡ ə s ə t	cʰ ə t	p a n t a̤ w
164_toknow	ŋ a l		l ə l ɛ ʔ	b a t	cʰ ɡ aː w	k i t	l ə h	ɡ ɨ t	s ɛ t	p ə t ɔ a m	ʔ l ɔ ʔ	h ɡ a l	m o h	ʔ ɡ ɨ t	ɡ ɨ̤ t	ɡ ɨ t	d u k	l ɔ ʔ	l ɔ ʔ	d u k	ʔ n a j	ɡ i t	ɡ ɨ t	ʔ l o ʔ
165_tolaugh	c a ʔ aː l	h j ɛ k		h j ɛ k	c ə ʔ aː w	k ə̤ː m	c a ʔ aː w	ɡ əː m	s a ɡ iː l	ʔ o̤ː k	ʔ o̤ː k	h ʔ aː l	ʔ ə ʔ aː l	ʀ ɑː t	ʔ ə r aː c	ɡ əː m	ʔ j aː w	j a k	d ɔː	c a ʔ aː w	t ɔ̰	ɲ ɔ	ɡ əː m	k a r k ə i k
166_tolick		l j a h	l j a h	l j a h					l e a h	l ɛ a h		l i a l	ɟ aː l	ʀ e ə l	r i ə l	l i e p				ɟ a h aː t	c e ə	l i a p	l i e p	l ə i t
167_torubwipe	c u a t	s uː t	s uː t	s uː t	ɟ uː t	n c uː t	s uː t	ɟ uː t	b a l iː	s uː t	s ṳ t	ɟ u o t	ɟ u ə t	ɗ u ç	ɗ uː ç	ɟ uː t	ɟ u o t	ts u t	ts ṳː t		l u l i t	ɟ uː t	tʰ ɔː	ʔ j ṳː t
168_tosayspeak	ʔ oː j	kʰ aː n	p ə m aː	kʰ aː n	r i a n	ŋ əː j	c a c ɛ ʔ	ɲ aː j	s a n ʌ h	w aː r	t ə t a ç	l ʌː ɲ	s i ə	m ə j a j	m ə ɲ a j	l a h	ʔ m aː ŋ	k r a ʔ	p ɔ j	b l ɔː k	t o̰ j	l a h	l ə h	pʰ aː
169_toscratchscrape	k r aː c	k o jʰ	k o jʰ	k o jʰ	k ə k r ɨː c	nʰ uː k	k r ɨː t		k w a j ʔ	k r a j ʔ	k ɔː ç	k r ɨ ə t	ʔ w a c	k w ɑː c	k ə w aː c	k w aː c	k r ɨ ə t	k o j	kʰ ɔː r	kʰ ɔː r	k r i o	k u a h	k oː r	k a k w aː c
