Cognate_ID,Diaocao,Mangdi,ProtoLalo,Qingyun,Shuizhuping,Xuzhang,Yangliu,Yijiacun
1020_320_boy,s ɿ ⁵⁵ + l i ⁴² + p u ⁴²,s u ⁵⁵ + l u ²¹ + p ɑ ²¹,s u ¹ + l e̠ ᶫ/³ + p a̠ ᶫ/³,s ɿ ⁵⁵ + l ɛ̠ ²¹ + p a̠ ²¹,z a ²¹ + l e ⁵³,z o ²¹ + n y ⁵⁵ + z o ²¹,s ɛ ³³ + l ɛ ⁵⁵ + z a ²¹,tsʰ a ³³ + b uʲ/ui ⁵⁵ + j o ³¹
1021_438_kitchenknife,j a ²¹ + ɣ ə ²⁴ + a ⁵⁵ + tʰ ɔ ²¹,a ⁵⁵ + tʰ ɛ ²¹ + l ɛ ²¹,a ¹ + tʰ a ² + b a ²,a ⁵⁵ + tʰ a̤ ²¹ + b a̤ ²¹,a ⁵⁵ + tʰ a ²¹ + b a ²¹,a ³⁵ + tʰ o ²¹ + b o ²¹ + t ao ³³,b o ³³ + t ao ³³,a ²⁴ + tʰ o ³³ + pʰ a̠ ³³ + pʰ aʲ/ai ⁵⁵ + j o ³¹
1022_439_pointedknife,a ⁵⁵ + tʰ ɔ ²¹ + n ei ⁴²,a ⁵⁵ + tʰ ɛ ²¹ + l ɛ ²¹ + n̩ ²¹ + d ə ⁵⁵ + p u ⁵⁵,a ¹ + tʰ a ² + l e̠ ᶫ/³,a ⁵⁵ + tʰ a̤ ²¹ + l ɛ̠ ²¹,a ⁵⁵ + tʰ a ²¹ + l e ⁵³,a ³⁵ + tʰ o ²¹ + n̩ ²¹ + tɕʰ y ⁵³,a ⁵⁵ + tʰ a ²¹ + tʰ i ³³,a ²⁴ + tʰ o ³³ + n i/j o ⁴²
1023_337_widower,m ɛ ²¹ + tsʰ ɿ ²¹ + p u ⁴²,m ɛ ²¹ + tʃʰ u ²¹ + p ɑ ²¹,m e ² + tʃʰ u ² + p a̠ ᶫ/³,l ɛ̠ ³³ + p a̠ ²¹,ʐ u ⁴⁴ + p a ⁵⁵ + t e ²¹,ʐ u ³³ + ʈʂʰ ʅ ²¹,m ɛ˞/ɛ ²¹ + tsʰ ɿ ²¹ + p a ⁵³,p o ³³ + tsʰ ɿ ³³ + p o̠ ʔ ²¹
1024_343_gpfather,a ³³ + m a ²¹,a ²¹ + p o ⁵⁵ + l i ŋ ⁵⁵,a ¹ + ts u ²,a ⁵⁵ + k u ³³,a ⁵⁵ + ts u ²¹,a ³⁵ + m a ²¹,a ⁵⁵ + ts u ²¹ + p a ⁵³,a ²⁴ + p o ²⁴ + l e ŋ ⁵³
1025_444_yoke,l ɔ ²¹ + l ei ³³,i ⁵⁵ + k ai ⁵¹,l a ² + l e̠ H/¹,l a̤ ²¹ + l ɛ̠ ³³,l a ²¹ + l ɛ ³³,l o ²¹ + l ɛi ³³,a ⁵⁵ + n i ⁵⁵ + w a n ²¹ + t a ŋ ³³,a ²⁴ + n i ²¹ + ɛ ²⁴
1026_448_awl,z ɿ ³³ + z ɔ ²¹,m o ⁵⁵ + w o̠ ²¹,,tɕ a̠o ²¹ + s a ³³,,x u ³⁵ + tɕ y ³³,ts u/w ei ³³ + ts ɿ ³³,m ɛ ⁵³ + j ɔ ²¹
1027_450_ballofthread,x ɔ ²⁴ + x ə ³³ + kʰ ɔ ³³,kʰ i ⁵⁵ + ts o ³³ + s ɛ ²¹,,kʰ ɨ ⁵⁵ + ˀl y ³³,kʰ ɨ ²⁴ + t ɛ ³³,kʰ ɨ ⁴⁵³ + tʰ ɛ˞/ɛ ³³ + ø ³³,kʰ ɨ ³³ + tʰ ɛ˞/ɛ ²¹,kʰ i ⁵⁵ + ts o̠ ³³ + d ɛ ²¹
1028_451_ropestring,x ə ³³ + tɕ i ⁵⁵,p o ³³ + ts o ³³,,i ⁵⁵ + tsʰ ɿ ⁵⁵,h e,h ɛ̃˞ ⁴⁵ + tsʰ ɿ ⁵³,v ɛ˞/ɛ ³³ + ts a ³³,p i ⁵⁵ + ts o ³³
1029_455_bamboosievesifterfine,ɔ ⁵⁵ + tɕ i ⁵⁵ + k u ⁵⁵,o ŋ ⁵⁵ + k i ⁵⁵,ˀv a ¹ + k ɨ ¹,ˀv a ⁵⁵ + kʰ ɨ ⁵⁵ + ts ɿ ³³,v a ⁴⁴ + k ɨ ⁴⁴,ɤ ⁵⁵ + k u ⁵⁵ + tɕ i ⁵³,a ŋ ²¹ + k ɨ ³³,o ²⁴ + k i ²⁴
102_265_calfofleg,tɕ a ³³ + p a ³³ + dz ɿ ³³,d a ⁵⁵ + ɣ ɨ ²¹ + n a ²¹ + kʰ ɛ ³³,,kʰ ɨ ⁵⁵ + w u ²¹ + a ⁵⁵ + p ʉ ²¹ + p ʉ ²¹,x ɛ ⁵⁵ + tʰ u ²¹,kʰ ɨ ⁴⁵³ + dz ɿ ³³ + ɕ i ⁴⁴ + l i ⁴⁴,l i ²¹ + k u ³³ + z a ²¹,b ɨi ⁵³ + t a ²¹ + t i/j o ⁵³
1030_456_whetstone,a ⁵⁵ + tʰ ɔ ²¹ + s ɛ ²¹ + k u ⁵⁵ + l u ³³,a ⁵⁵ + tʰ o ²¹ + s ɛ ²¹ + k o ⁵⁵ + l u ³³,a ¹ + tʰ a ² + s ɛ ² + k a ¹ + l u̠ H/¹,a ⁵⁵ + tʰ a̤ ²¹ + s ɛ ²¹ + k a ⁵⁵ + l ə ³³,ɸ u ²⁴ + s ɛ ²¹ + l u ³³,l u ³⁵ + s a ²¹ + m ɛi ²⁴,x ɨ ³³ + s ɛ ²¹ + l o ⁵³,a ²⁴ + tʰ o ³³ + ɕ ɛ ²¹ + o ²⁴ + l o ³³ + kʰ ɛ ³³
1031_457_millstone,k u ⁵⁵ + l u ³³ + w ei ²¹,m o ⁵⁵,n i̠ ᶫ/³,ɲ i/j ɛ̠ ²¹ + l ə ²¹,n ø ⁵³,ɲ i̠ ³³,w ai ⁵³,m o ŋ ²⁴
1032_459_chisel,z ɿ ³³ + z ɔ ²¹,x ɨ ⁵⁵ + tʰ ɛ ²¹,,ts o ³³ + ts ɿ ³³,,x u ³⁵ + ʈʂʰ ʅ ²¹,,dz uʲ/ɥ o ⁵³
1033_461_ricepounder,l ei ⁴² + tsʰ ə ⁵⁵,kʰ o ²¹,,tsʰ a ²¹ + l u ²¹,ts a ⁴⁴ + l a ⁴⁴ + b e ⁴⁴,tsʰ ao ²¹ + p y ⁵⁵ + k v̩ ³³,l ei ⁵⁵ + tsʰ ə ³³,tɕʰ i ³³ + n ɛ ²⁴
1034_462_mortar,tsʰ ɔ ²¹ + t ei ²¹ + tsʰ ə ⁵⁵,m a ⁵⁵ + pʰ i ŋ ²¹ + kʰ o ŋ ²¹,,tsʰ a ²¹ + l u ²¹,tsʰ a ²¹ + ts u ⁴⁴ + pʰ ɛ ²¹,tsʰ o ²¹ + d ɛi ²¹ + g ɨ ⁴⁵³,tsʰ a ²¹ + tsʰ o ³³,tsʰ a ³³ + b i/j o ⁵³
1035_463_pestle,t ei ²¹ + m̩ ³³ + p ə ²¹,m a ⁵⁵ + pʰ i ŋ ²¹ + kʰ o ŋ ²¹ + l i ŋ ²¹ + tsʰ ɿ ⁵⁵,,tsʰ a ²¹ + t i ²¹ + s ɿ ³³,tsʰ a ²¹ + ts u ⁴⁴ + v v̩ ²¹ + m a ³³,,tsʰ a ²¹ + tsʰ o ³³ + b i ⁵⁵ + b i ⁵³,tsʰ a ³³ + b i/j o ⁵³ + ɣ ɨ ²¹ + d o ²⁴
1036_470_washbasin,pʰ u ²¹ + m ei ³³ + tɕʰ i ²¹ + l a ²¹,p a n ²¹ + d o ŋ ³³,l a ŋ ²,pʰ u ²¹ + ˀm ɛ ³³ + tsʰ ɿ ²¹ + pʰ u̥ ²¹,l u ²¹,pʰ a ²¹ + tsʰ ɿ ²¹ + l a ²¹,pʰ a ²¹ + n i ⁵⁵ + tsʰ ɿ ²¹ + l o ²¹,v a ³³ + pʰ a ŋ ²¹
1037_471_bagsack,m ɛ ⁵⁵ + l i ²¹,m ɛ ³³ + n ɛ ³³,l a ¹ + ˀl i̠ ᶫ/³,p a̠ ²¹ + kʰ ɛ ²¹,dz ɿ ²¹ + n v̩ ⁴⁴,l o ³⁵ + ʐ ʅ ³³,dz ɿ ²¹ + n o ³³,tʰ u ³³ + t ai ²⁴
1038_473_finetoothedcomb,m̩ ²¹ + p ə ²¹ + tɕ i ³³ + z ɔ ²¹,ŋ ²¹ + p ɨ ²¹ + dʑ i ⁵⁵,m̩ ² + p j ɨ ² + dz i ¹,m̩ ²¹ + p ʉ ²¹ + dz ɿ ⁵⁵,m̩ ²¹ + p ɛ ²¹ + dz ɿ ²⁴,m̩ ²¹ + p ɨ ²¹ + ɕ i ⁵⁵ + z o ²¹,m̩ ²¹ + p ai ²¹ + m o ⁵³,ɛ ³³ + p ɨ ²¹ + dʑ i/j o ⁵³
1039_474_bowl,k ei ²¹,i ⁵⁵ + ɕ ɛ ²¹,a ¹ + k j ɛ ²,a ⁵⁵ + k ai ²¹,a ⁵⁵ + k ai ²¹,a ⁵⁵ + q ai ²¹,a ⁵⁵ + k ai ⁴¹,k u ⁵⁵ + ɕ i ²¹
103_687_divideseparatedistribute,b ə ²⁴,b ɨ ⁵⁵ + l ɛ ³³,b y ¹,b y ⁵⁵,b y ²⁴,b y ²⁴,b ɨ ³³,b ɨ ²⁴
1040_475_smallbowl,k ei ²¹ + z ɔ ²¹,i ⁵⁵ + ɕ ɛ ²¹ + j o ²¹,a ¹ + k j e ² + z a ²,a ⁵⁵ + k ai ²¹,a ⁵⁵ + k ai ²¹ + z a ²¹,a ⁵⁵ + q ai ²¹ + t ɛ˞/ɛ ³³ + z o ²¹,a ⁵⁵ + k ai ⁴¹ + z a ²¹,k u ⁵⁵ + ɕ i ³³ + j o ³¹
1041_476_largebowl,p a ⁵⁵,i ⁵⁵ + ɕ ɛ ²¹ + m o ³³,,p a ⁵⁵ + tʰ u ³³,a ⁵⁵ + k ai ²¹ + p a ²¹ + t ɛ ²¹,a ⁵⁵ + q ai ²¹ + t i ³³ + m o ³³,a ⁵⁵ + k ai ⁴¹ + ɣ ɛ˞/ɛ ²¹,k u ⁵⁵ + ɕ i ²¹ + v a ŋ ²⁴ + k o ²¹
1042_480_firewood,ɕ i ³³,ɕ i ³³,s i̠ H/¹,s ʐ̩ ³³,s ɿ ⁴⁴,s ɿ ⁴⁵³,s ɿ ⁵³,ɕ i̠ ³³
1043_481_manurefertilizer,tɕʰ i ²¹,kʰ i ²¹,kʰ i ²,kʰ ɨ̥ ²¹,kʰ ɨ ²¹,kʰ ɨ ²¹,kʰ ɨ ²¹,kʰ ɨ ²¹
1044_427_oil,z ə ²⁴,l a ²¹ + m a ŋ ³³,ʒ u ¹ + ɣ ɨ ¹,ʐ u ⁵⁵ + ɣ ɨ ⁵⁵,ʐ u ²⁴ + ɣ ɨ ³⁴,j o ²⁴ + ɣ ɨ ³⁴,z ɨ ³³,n a ²¹ + m a ŋ ⁵³
1045_485_money,ʝ i ²¹ + m ɔ ³³,pʰ i ⁵⁵ + dʑ ɛ ²¹,g i ² + pʰ e ²,g ɨ ²¹ + pʰ i ²¹,g a ²¹ + pʰ e ²¹,g ɨ ²¹ + pʰ ɛi ³³,ɣ ɨ ³³ + m a ³³,n a ²⁴ + dʑ i ²¹
1046_485_money,,pʰ i ⁵⁵ + dʑ ɛ ²¹,g i ² + pʰ e ²,g ɨ ²¹ + pʰ i ²¹,g a ²¹ + pʰ e ²¹,g ɨ ²¹ + pʰ ɛi ³³,ɣ ɨ ³³ + m a ³³,n a ²⁴ + dʑ i ²¹
1047_468_tubbucket,tʰ ɤ̪/ɤ ²¹,tʰ o ŋ ²¹,ɣ ɨ ¹ + tʰ u ²,ɣ ɨ ⁵⁵ + tʰ ə̤ ²¹,ɣ ɨ ²⁴ + tʰ v̩ ²¹,ɣ ɨ ²⁴ + tʰ v̩ ²¹,ɣ ɨ ³³ + tʰ ɤ̪/ɤ ²¹,x a ³³ + tʰ u ŋ ⁵³
1048_487_folksong,k ɔ ³³ + tɕʰ i ⁵⁵,b ɛ ⁵⁵ + k o ³³,,b ɛ ⁵⁵ + tsʰ ɛ ⁵⁵,h ẽ ⁴⁴ + k v̩ ³³ + ʈʂ ɛ ³³,x ai ³⁵ + k o ³³,x ai ⁵³,g o ²⁴ + m u ²⁴
1049_488_song,,k o ³³,,k o ³³,k o ³³,k o ³³,tsʰ a ŋ ³³ + k u ³³,
104_778_giveben,g ə ²¹,g ɨ ²¹,g u ²,g u ²¹,g v̩ ²¹,g ɨ ²¹,g ɨ ²¹,g u/w ɛ ²¹
1050_489_story,k u ²¹ + p ə ²¹,k a m ³³ + p ɨ m ³³,,k o ²¹ + p ʉ m ²¹,k u ²¹ + p ə̃ ²¹,k u ⁵⁵ + tɕ ĩ ³³,k u ²¹ + s ɿ ³³,ɛ ²¹ + k u ⁵³
1051_490_wordwritten,ts ɿ ⁵⁵,s u ²¹ + t u ⁵⁵,,tʰ i/j au ²¹ + ts ɿ ⁵⁵,tʰ i/j u ²¹ + ts ɿ ⁴⁴,tʰ a ²¹ + ɣ ɨ ²¹ + ts ɿ ⁵⁵,s ɤ̪/ɤ ²¹,s u ²¹ + m i ³³
1052_469_barrelceramic,ɤ̪/ɤ ⁵⁵,tʰ a ŋ ⁵³,ˀn u ¹,ə ⁵⁵ + l ə ⁵⁵ + p i ⁵⁵,p ɛ ²⁴,ɤ̪˞̃/ɤ̃ ³⁵ + ø ³³,õ ³³,o ³³ + m uʲ/ɥ o ⁵³
1053_492_soundvoice,,ɕ ɛ ²¹ + tʰ ə ⁵⁵,s e̠ ᶫ/³,s ɛ̠ ²¹,s e ⁵⁵ + ɣ ɨ ³³,s ɛi ³³,,
1054_501_boundarymarker,tɕ i ³³ + x u ³³,j ɛ ²¹ + dʑ i ²¹,,k ɛ ⁵⁵ + tɕʰ i ²¹ + a ²¹ + g ə ⁵⁵,kʰ ɨ ⁴⁴ + t v̩ ²¹,g ɨ ²⁴,k ai ³³ + ɕ ĩ ⁵³,k ɨ ²¹ + k ə ŋ ⁵³
1055_507_cageegforducks,l ɔ ²¹ + ts ɿ ³³,kʰ a ³³ + l u ⁵⁵,,t y ⁵⁵,a ⁴⁴ + n i ³³ + t y ²⁴,a ⁵⁵ + ɲ a ³³ + t y ⁵⁵ + y ³³,l o ²¹ + l o ²¹,k a̠ ʔ ²¹ + f u ³³
1056_513_ritualtree,l ɤ̪/ɤ ²¹ + ɕ i ³³ + dz ei ²⁴,n ɛ ²¹ + dʑ i ⁵⁵,,,n ɛ ²¹ + dz ɿ ²⁴,n ɛi ²¹ + dz ɿ ²⁴,,
1057_536_spit,x u/w e ²¹,pʰ i ²¹,pʰ i̠ ᶫ/³,f ɛ̠ ²¹,ɛ ⁵³,tsʰ ʐ̩ ³³,pʰ ai ⁵³,pʰ i ²¹
1058_617_hitatarget,ɣ ɔ ³³,j a ³³,tʰ u ³,tʰ ə ³³,b ɛ˞/ɛ ⁴⁴ + tʰ v̩ ³³,b ɛ˞/ɛ ³³ + t i ⁴⁴,b ɛ˞/ɛ ⁵⁵ + ŋ a ³³,b a̠ ʔ ³³ + z a ³³
1059_542_tell,b ei ³³ + ɣ ə ²¹,b ɛ̠ ³³ + g ɨ ²¹,b e̠ H/¹ + g u ²,b ɛ̠ ³³ + g ṳ ²¹,b ɛ ⁴⁴ + g v̩ ²¹,b i ³⁴ + g ɨ ²¹,b ei ⁵⁵ + g ɨ ³³,tʰ ə ²⁴
105_4_moon,x a ³³ + b ɔ ³³ + b ɔ ³³,x o ³³ + b o ³³ + m o ³³,ˀx a ³ + b a ³,x a ³³ + b a ³³ + kʰ ɨ ⁵⁵,x a ³³ + b a ³³ + kʰ ə ³³,a ²¹ + b u ²⁴ + b a ³³ + m o ³³,x a ³³ + b a ³³ + kʰ ɨ ³³,x a ⁵⁵ + b o ³³
1060_544_ask,n ɔ ⁵⁵,n ə ⁵⁵ + ĩ ⁵⁵,ˀn a ¹,ˀn a ⁵⁵,n a ⁴⁴ + ĩ ⁴⁴,n o ³⁵ + ĩ ⁵³,m ĩ ²¹,n o ²⁴
1061_546_sendforrequest,tɕʰ ɛ ³³,tʰ ə ⁵⁵ + tʰ ə ²¹,tsʰ ɛ ³,tsʰ ɛ ³³,tsʰ ɛ ³³,ʈʂʰ ɛ˞/ɛ ³³,ʈʂʰ ɛ˞/ɛ ³³,tɕʰ i ŋ ⁵³
1062_682_robloot,tɕʰ i/j a ²¹,f u ³³,ˀx u ³,h ə ³³,h õ ³³,h õ ³³,tɕʰ i/j a ŋ ²¹,f v̩ ³³
1063_724_chase,tʃ ɤ̪/ɤ ²¹,tʃ u ²¹,tʃ u ²,ʈʂ ə ²¹,ʈʂ v̩ ²¹,ʈʂ ɤ̪˞/ɤ ²¹,g a ⁵³,ts u ²¹
1064_553_rubwithhands,s ɿ ³³,v a̠ ²¹,v ɛ̠ ᶫ/³,v a̠ ²¹,v ɛ ⁵³,g a ³³,v ɛ˞/ɛ ⁵³,v a̠ ʔ ²¹
1065_554_riptear,ts ɿ ³³,ɕ i ³³,tʃʰ e̠ ᶫ/³,tɕʰ ɛ̠ ²¹,tɕʰ i ⁵³,tɕʰ i/j ɛ ³³,tɕʰ i ⁵³,x a̠ ʔ ³³
1066_558_scattersprinkleegseed,p ei ²¹,s ɿ ²¹,ʃ ɨ ²,ʂ ʅ ²¹,ʂ ʅ ²¹,ʂ ʅ ²¹,s ɿ ²¹,s ɿ ²¹
1067_735_burnup,kʰ ɤ̪/ɤ ⁵⁵,tɕ i ³³ + p ɛ ³³,kʰ u ¹,kʰ ə ⁵⁵,kᶠʰ/kʰ v̩ ²⁴,kᶠʰ/kʰ ɤ̪˞/ɤ ⁴⁵³,i ³³ + j ɛ ³³,d ə ³³ + pʰ i ²⁴
1068_761_layanegg,f ɤ̪/ɤ ³³,f u ³³,f u ³,f v̩ ³³,f v̩ ³³ + f v̩ ³³,f ɤ̪˞/ɤ ³³,f v̩ ³³,f v̩ ³³
1069_574_kneel,dʑ i ²¹,t a ⁵⁵ + k u ²¹,g ɨ ² + t ɛ ¹,n i̤ ²¹ + g ɨ̤ ²¹,g ɛ ²¹ + t ɛ ²⁴,g ɨ ŋ ²¹,g o ²¹,
106_4_moon,x a ³³ + b ɔ ³³ + b ɔ ³³,x o ³³ + b o ³³ + m o ³³,ˀx a ³ + b a ³,x a ³³ + b a ³³ + kʰ ɨ ⁵⁵,x a ³³ + b a ³³ + kʰ ə ³³,,x a ³³ + b a ³³ + kʰ ɨ ³³,x a ⁵⁵ + b o ³³
1070_574_kneel,,,g ɨ ² + t ɛ ¹,n i̤ ²¹ + g ɨ̤ ²¹,g ɛ ²¹ + t ɛ ²⁴,g ɨ ŋ ²¹,g o ²¹,
1071_774_getup,m ɛ ³³ + t ɤ̪/ɤ ⁵⁵,t u ⁵⁵ + l ɛ ⁵⁵,t u ¹,t ə ⁵⁵ + l a ⁵⁵,t v̩ ²⁴ + l a ³³,t ɤ̪˞/ɤ ⁴⁵³ + l i ³³,t o ³³ + l i ³³,t u ²⁴ + a ⁵⁵
