Cognate_ID	Achagua	Awa	Baniva	Bara	Barasana	Bari	Bora	Cabiyari	Carapana	Carijona	Catio	Chapalaachi	Chimila	Cubeo	Cuiba	Curripaco	Desano	Dimina	EmberaChami	EmberaDarien	EmberaTado	EpenaBasurudo	EpenaSaija	Giacone	Guahibo	Guambiano	Guayabero	Ika	Inga	Jitnu	Jupda	Kakua	Kamsa	Kogui	Koreguaje	Macuna	Mirana	Muinane	Nukak	Ocaina	Orejon	Paez	Piapoco	Piratapuyo	Playero	Puinave	Resigaro	Saliba	Secoya	Siona	Siriano	Tanimuca	Tariano	Tatuyo	Totoro	TsafiquiPila	Tucano	TuneboCentral	Tuyuca	Waimaja	Wanano	Wayuu	WitotoMinica	WitotoMurui	WitotoNipode	Wounaan	Yucuna	Yukpa	Yuruti
10_cayman	tʃ a m a n a			ɨ h o	h e a	k aa n t ə r ə	n i ʔ p a	k aa tʃ u r i	ɨ s o	a r i b ei m ɯ	kʰ o ɾ e	d u n i ʃ u	s o ŋ	h i a b ɨ	m a x ɨ n e	k a tʃ i r i	d i a k ẽ		b a b i a	kʰ o ɾ e	kʰ o ɾ e	kʰ o ɾ e	kʰ o ɾ e		m a x ɨ n e h e		m ɨ a k l e h			m a k n e	d e h	w ɨ̃ w		k a i m a n u	o kʰ o r o dʒ e	r i a	m e ʔ t o p a	m eː d u b a	tʃ a k u n d e	h õ ʔ õõ m a	j ũ k a b ɨ		k a tʃ u i r i	ɨ s o	m a x ɨ n e h e	w o w	p e g iː n u	k u p e	p ɨ ʔ ɨ	b ɨ ʔ ɨ	d i a k ẽ ã	k a h u j a i a	k a tʃ i r a	ɨ h o		m a t e	ɨ s o		ɨ s o	ɨ h o	s o	k a j uː ʃ i	θ eː m a	θ ɯ k ɯ n a ɯ m a	t eː m a	kʰ a i m a n	l a n a w a r u	a r e j e	ɨ s o
111_earth	k a i n a b i	p i l		j e p a	s i t a	ʔ i ʃ t a n ə	iː nʲ ɯ x ɨ	t aa k a l i	j e p a	n o n o	e g o r o	t u	i tː i ʔ	h o b o r õ	i r a	h iː p a i	j e b a	k ɨ n g ɨ m a	j o r o	e g o r o	j o ɾ o	j oː ɾ o	j oː ɾ o	i h i p a i	a ts a	p i r ɨ	a s	k a ʔ a	a l p a	a s	b ã j ʔ	b a k	b ʃ a n ts e	k a gː i	dʒ e h a	s i t a	iː ɲ ɯ h ɨ	x iː n ɨ	n aa h	a ɲ̥ õõ ʔ ɯ̃	j a o	k i w e	k a l i	d i ʔ t a	a tʃ a t o	n i t i	h i p o h i	s a h i	j e h a	j i h a	j e ʔ b a	k a ʔ i a	h i p a i	j e p a	p i r ɨ	t o	t u r i	k a h k a	j e p a	h i t a	d i ʔ t a	mː a	e n ɯ e	e n ɯ r u e	e n ɯ e	h ẽ b	t e ʔ e r i	n o n o	d i t a
112_jaguar	tʃ aa w i	i ʃ u		j a i	b ã k ã r o k a	d aa b ə ɾ ə	oː ʔ iː pʲ e	tʃ aa w i	j a i	k ai k u tʃ i	i m a m a	aa g u e l a	r oː j u	j a w i	n e ɨ tʰ ɨ	j a w i	j e	d u m a g a	i m a m a	i m a m a	i m a m a	i m a m a	i m a m a	l i ts a v i	n e w ɨ tʰ ɨ	t iː r i	n u d	s ei k u n u m ɨ	t i g r i	n e w ɨ t o	j ã ʔ ã b	h i w + d a k a	t i g r e	n ə bː i	dʒ a i	j a i	oː ʔ iː p e	x ɨ k u	h i o	h õ ʔ x o	j a i	tʲ i k l j i	tʃ a w i	j a i r o	n i g u i t ɨ	j o t + d ã n	dʒ eː β i	ũ p u	t o j a	j a i	j e	j a i a		j a i	t i r i	k e l a	j a i	k o t o kʷ a	j a i	b ã k ã d ɨ̃ k ɨ̃	j a i r o	k a l a i r a	h ɯ k o	h ɯ k o	h a n a dʒ a r i	kʰ u m	j aa w i	e ʃ o	j a i
113_tortoise	aa ʒ a			uː	g uː	d a ʃ uː n ə	iː β o		uː	w o t o k a u r a r i	h u pʰ e	aa p i tʃ i lʲ i	s a ŋ k u a ʔ	k ũ ɨ̃ b o	h a j a k a	t o r t u g a	p e j o	k i u g i u m a	h õ pʰ e		h õ pʰ e	h õ pʰ e	h õ pʰ e	i k u l i	iː k u l i		h a tʃ k	m ə r u k o n ɨ	t u r t u g a	h a j a k	b ĩ h	t ɨ h	t o r t u g a ɕ e	t u t u l g a	p o ʔ o	g u g a	a r ɯː m e p a	x u ʔ u p u k u	ɲ ã k o ʔ	d z oː ʔ d z o	b ẽ d ĩ j o		a l a	k u r i	h a j a k a	b a		s e s e	k o u	g o ɨ	p e j o	p a r e k i k a		uː		o n p i	u h u r i	k u r a m a j a	k uː	b ã k ã d ɨ̃ k ɨ̃	k u r i	s a w a i n r ɨ	m e n i ɲ o	m e n i ɲ o	u i dʒ o n i ɲ o	p a s õ m i e	h aa r a	m o r o k w e	k uː
114_riverturtle		t u x t u x a		õ b ãː	r i a		pʰ aa β a ʔ o		r i a	k u r i s a	tʃʰ i ɓ i g i	p i tʃ i lʲ i	m a ŋ w a ʔ	b õ ã k ũ ɨ̃ b o	h a r a	i k o l i			s i b i	tʃʰ i ɓ i g i	s i ɓ i	s i b i	b e b e r e		h aː r a		h a ʔ	k u n g w i	t u r t u g a	h a r		t ɨ h		t u t u l g a	k o ɨ	b ũ s ã	kʰ ɯː m ɯ h ɨ	t ɨ r eː x e	ɲ ã k o ʔ j e	d z oː ʔ d z o			a l a	k u r i	h a r a	u w a	h aa d u	k u w e	t a d i	m ã	b a j a p e j o	o i a				o n p i	u	r a u kʷ a	k uː	d i a	k u r i	m o l o k oː n o	h u r i n i ɲ o	ɸ u r i k ɯ	h u r i	b ẽ b ẽ r	i j a r i		d i a b ã k ɨ̃
115_path	i n i h b aa	m i	p i n u	b ãː	b ãː	s k ɨː ɾ ə	x ɯː β a	ʔ aa j a p u	b ãː	e sː e m a	o	t uː tʃ a	h iː ʔ	b ã	n a u n t o	iː n i p o	b ã ʔ ã	i n g u n a	o					h i n i p u	n a m u t o	m a j	n ɨ a m t	i n g w ə n ɨ	ɲ a m b i	n a m u t	t ɨ u	d ã b a	a x ʃ a tʃ n ɨ x n i ɲ e	h i ũ ŋ g u l d a	m a ʔ a	b ã	h ɯː β a	x ɨː ʔ a i	n a m a	t o β ɯ ʔ tʲ a	b ã	p ẽ tʰ n i	a j a p u	b ã ʔ ã	n a m t o	d ɨ k	a dʒ a p o	m aa n a	m ã ʔ ã	m ã ʔ ã	b ã ʔ ã	b ã ʔ ã	h i n i p u	b ãː	k a o	m i n u	b ã ʔ ã	i b t a	b ãː	b ãː	b ã ʔ ã		i o	n a ɯ θ o	i o		i ɲ e ʔ e p u	o s e m a	b ãː
116_toucan	tʃ aa s i	p i l tʃ i k		d a h e	r a s e	s ə k ə k d u r ə	r iː oː		r a s e	tʃ a h a k o	kʰ e w ã r ã	tʃ a n d u t u		h o e w e	t u k u e k u e	j a t e	d ã s ĩ	g w a s a r e	kʰ ĩ w ã ɾ ã	kʰ ẽ w ã r ã	kʰ ũ a ɾ a	kʰ ũ a ɾ a	kʰ ũ a r ã	j aa s e	t i k u e k u	t ã	tʃ a h ɨ a	tʃ a ʔ g o	p i k u d u	t u k u e k o	tʃ o g o t	d ĩ h	p i k u d o	h u a s a l d e	ɲ a s e	r a s e	n ɯ tʃ e	n ɨ g o	n i h	dʒ i oː β ɯ	j ã s e		tʃ a s e	d a s e	s i õõ n	w ã n	dʒ iː o	m a l i n a i d i	j ã s e	j ã s e	d ã s ĩ	d ã h e a		r a h e		o l i n ts o	d a s e		d a s e	d a h e	d a s a		n o k a i d o	n o k a i d o	n o k a i d o	p a l i t o n	j aa s e	k o w a s k ɨ	d a s eː
117_one	b a k eː ʒ i	m a z a	a p a d a	h i k a	k o h o	ʔ i t o n ə	tsʰ a n e		h ĩ k ã	t e nʲ i	a b a	m a i n	k u tː e n d a	k ũ i d ã	k a e	p a d a	j u h u	i n g w i	a b a	a ɓ a	a ɓ a	a b a	a b a		k a e	k a n	k a e	i n ʔ g w i	s u g	k e n ɨ	æ p	b i k	k a n j e	e z u a	tʰ e ʔ e	k o	tsʰ a n e	s aa n o	m iː k	m a ʔ	t e	t eː tʃ	a b eː r i	ĩ ʔ k ã	o m p a w a	t ɨ̃ m	s a g u	h o t a b e	t e ʔ e	t e ʔ e	s u	ĩ r ã	p e p a n̥ a	h ĩ k ã	k a n a	m a n	d ĩ ʔ k ã	u b i s t i j a	s i k a	h i k a	c ɨ̃	w a n eː ʃ i a	d a	d a h e	d a	ã b	p a h l u w a h a	ɨ k u m a	ĩ k ã
118_yousingular	h i j a	n u	pʰ i j a	b ɨ b ɨ̃	b ɨ̃	b a i	ɯː	p i	b ɨ̃ː	ɯ m a r a	b ɨ	ɲ u	a mː a	b ɨ̃	x a m	p i a	b ɨ̃ ʔ ɨ̃	m a	b ɨ	p ɨ	b ɨ	p ɨ	p ɨ	p i h a	x a m ɨ	ɲ i	x a m	m a	k a m	k a m	ã b	b ẽ b	a k a	m a	m ɨ ʔ ɨ	b ɨ̃	ɯː	ɨː x o ʔ o	m ɛː m	õ ɯ̃	b ɨ̃	ɨ ʔ k w e	p i a	b ɨ̃ ʔ ɨ̃	x a m ɨ	m a m	pʰ u	ũ k u	m ɨ̃ ʔ ɨ	m ɨ̃ ʔ ɨ̃	b ɨ̃ ʔ ɨ̃	b ĩ ʔ ĩ	p i a	b ɨ̃ː	ɲ i	n u	b ɨ̃ ʔ ɨ̃	b a ʔ a	b ɨ̃ː	b ɨ̃ː	b ɨ̃ ʔ ɨ̃	p i a	o	o	o	p ɯ	p iː kʰ a	a m o	b ɨ̃
119_youplural	i j a	u		b ɨ̃ h ã	b ɨ̃ ã		a m ɯː ʔ a	ʔ i n i	b ɨ̃ h ãː	a j a m o ɾ o	m a ɾ ã	ɲ u lʲ a	a mː a ɾ a ʔ	b ɨ̃ h ã	p a x a m	h i a	b ɨ̃ ã	m a w i n d i n a	m a ɾ ã	p ã r ã	m a ɾ ã	p ã ɾ ã	p ã ɾ ã	i h i a	p a x a m ɨ	ɲ i m	x a m a l	m i w i	k a m k u n a	p a i n	d ə̃ g	j e b	t ɕ ɨ n g a b t a n g a	m a i ŋ	m ɨ s a n ɨ kʰ o	b ɨ̃ ã	a m ɯ ʔ tsʰ i	a m ɨː ɸ e	j ɛː b m	m õ	b ɨ̃ s a	i ʔ k w e ʔ ʃ	p i a k u e	b ɨ s ã	p a x a m ɨ	ɲ a m	h a ʔ a	ũ k u ʔ d o	m ɨ̃ s a d u	m ɨ̃ s a kʷ a	b ɨ̃ ʔ s ã	b ĩ h ã	n e p i p e	b ɨ̃ h ã	ɲ i m	n u l a	b ɨ̃ s ã	b aa	b ɨ̃ ã	b ɨ̃ h ã	b ɨ s ã	h i a	o m o ɯ	o m ɯ k o	o m a ɯ k o	p ã a ɾ	iː kʰ a	a m o ɾ a	b ɨ̃ h ã
11_gourd	tʃ u k u t a	k a l p u		w aa g a	k o a r o	ʃ i m ə	t oː tʰ o ɯ		w aa r o	k a r i b a	h i w a d o	h u a j u	j u mː e	h o k o r ɨ	ts o r o p a	k u j a	k o a r u	ʃ u	h i a d a u		s u kʰ u m a	h i a t a u	h i a t a u		d e r e b ɨː	t u r	m u i t	s o	p u r u	r e r b ɨ		p ẽ j e + tʃ o	t a u s b e	m o ŋ k u	o kʰ o r e ʔ r e β a	k o a	tʰ e ʔ kʰ e p a	d uː t u ʔ u	d a l o a ʔ			t u k a	k u m a tʃ i	w a h a g a	tʃ o r o b ɨ	p ə k + j u	n a n a p iː t a ʔ o	l o p o ʔ o	h ĩ s o	s ã s a	k oː a r u	k o ʔ a		w aa r o	k e l	b o l i	w a h a r o	t o k a	w aa g a	w aa g a	w a h a k a	a l iː t a	e m o k ɯ	e m o k ɯ	h u dʒ e k o	tʰ ã u	j u r u m a	k u n a k a t o p o	w a h a
120_fingernailclaw		tʃ k w i l		ã b õ	ã b õ g a s e r o	tʃ i d oː ɾ ə			w ã b õ	h a m o s a i r i	b i tʃ i w i	tʲ a k i	s e sː e r o ʔ	k ɨ̃ õ w e	p e k o ts i t o	l i ts o t a	b ũ h ũ s ĩ r ĩ	k u s u r u m a						l i p o a n i d a	p e k o p i a b o k o t o	ts ɨ k ɨ l	p e h	k o m ɨ	s i lʲ u	p e k u i b a t	tʃ i b	tʃ o a	n g e ts e b i a ɕ e	k ə ts o m a	kʰ oː β ɨ	ã b õ w e	o h tsʰ ɨ kʷ a	a s i ʔ u s e g a i m eː ʔ u	t e i ʔ n ɨ i	x aa tʲ o	k o u	β j l j i l j	w a u b a	õ b õ	p e k o p i b o k o t o	m o + s i m s õ	h i ʔ t a β i	i n e x ẽ	k õ w ɨ	k o w ɨ	b õ h õ g a s i r o	b ã b ã r a h e a	m ũ k a r i t i β i	w ã b õ	ts ɨ k u l	n e w e w e	õ b õ s e ʔ r o	ʃ u k a	d ɨ p o s e r o	ã b õ	w ã b õ + s e r o	s p a t o ʔ u	o n o b e k o	o n o k o b e	o n o b e k o		h u p a h i	o m a ʃ e r u	w ã b ũ s ũː d ĩ ã k a s e r o
121_deer	n eː ʒ i	p a i n a		j ã b ã	j ã b ã	s i ʔ d a j b ə ɾ ə	n iː β ɯ kʷ a		j ã b ã	k a h a o	b e g i	m a n a	l o t j i	j ã b ã k o	o w e i b i	n e r i	j ã b ã	w i m a	b i	ɓ e g i	ɓ iː	b iː	b i g i	n eː r i	o w eː b i	p a n	ʔ a w o i	k u s a r ɨ	t a r u k a	o w e i b i	b õ h õ j	w ã	b i a n g a n a	s ɨ gː i	ɲ a m a	j ã b ã	n iː β ɯ kʷ aa	n iː β ɨ g a i	w ãː	ɯː x o	b o s a	tʃ a β j	n eː r i	j ã b ã	o w e b i	s o m	k eː ʔ ʃ e	dʒ a m a	j ã m ã	j ã m ã	j ã b ã	j ã b ã k a		j ã b ã	p a n	m a n a	j ã b ã	s i k a r a m a	j ã b ã	j ã b ã	j ã b ã	i r a m a	k ɯ t o	k ɯ t o	k ɯ ɗ o	s ũ r	k a w a j a	a m u ʔ ʃ a	j ã b ã
122_come	iː n u	a n	n u k a	d oː	w a d i	k i ɾ ə	tsʰ aa		a t i	j e j a e	z e	h a n u	h a tː a	d a j ɨ	w e r e n a	p a n o k a	a ʔ r i	n a k a n	n e	z e	tʃ e	tʃ e	tʃ e	l i u k a n i p e	p a t a	a t ɕ u p	ɸ a l a e n	n a k ə n	s a m u j	n i t	d æ̃ d æ̃ j	h ã w ʔ	x a b a n a	n a ʃ ĩ	r a i	w a d i	tsʰ aa	s aa ʔ i	h ã u ʔ	aa h i	d a i j i	j u h	w aa n aa k a	a ʔ t a	t a h ɨ	j u k	ts a ʔ n u	o ʔ m a h a ʔ a	d a i j e	d a i h i	a ʔ r i	i ʔ t a r i k a		a t i	a t ɕ ɨ p	h a	a ʔ t i	w i k i n r o	a t i	d oː	t a	a n t aa	b i t e	b i t e	b i ɗ e	b ɪː	w a i tʃ a	t a s e	w a t iː
123_see	k a b a	i z n a	k a p a k a	ĩ ã	ĩ ã	m a j n ə	a x tʰ j ɯ m ɨː tʰ e kʰ ɯ n ɯ		ĩ j ã	e t a e	ũ d u	k eː n u	t uː	h ã j ɨ̃	t a n e	p a k a p a	j ã	t u a	u n u	u n u	u n u	u n u	u n u	p a k a n i p e	t a n e	a ʃ i p	t e n	tʃ w ə n	k a w a j	t e n	k e j e j	ʔ ẽ d	x i n j a n a	t ũ w i	ɲ aa	t i	ɨː tʰ e	a t tʲ ɨ m e ʔ i	ʔ ɛ n	x aa	j ĩ ã j i	u j	w a i k a k a	ĩ ʔ j ã	t a n e	d u k	tsʰ e n i	h ĩ ã h a ʔ a	j ã h ɨ̃ ʔ ɨ̃	ɨ̃ j ã h i	ĩ ʔ ã	ĩ ã r i k a		t ɨ h ɨ	l a r a p	k i r a	ĩ ʔ ã	w a ʔ i t i n r o	ĩ j ã	ĩ ã	j ɨ̃	e r aa	k ɯ o d e	k ɯ o d e	k ɯ o d e	oː	a m a k a h e	ẽ s e	ĩ j ãː
