Cognate_ID,Barasano,Desano,Karapan,Koreguahe,Kubeo,Kueretu,Maihiki,Piratapuyo,Prototucanoan,Sekoya,Siona,Tanimuka,Tukano,Tuyuka,Wanano,Yupua
111-stop,ɾ ɨ̃ ŋ õ,n ũ ŋ ũ,n ɨ̃ k ã,n ɨ kʰ a,n ú/u,,n ɨ k a,,n ɨ kˀ,n ɨ̃ k a,n ɨ̃ k a,,n ɨ̃ ˀk ã,n ũ k ũ,,
112-stump,t u t u,t u d u,t u t u,tʰ u u,t u t u d i,,t u,,t u,t u,t u,,t u t u,,tʰ u t u,
113-swell,m ĩ h ĩ,b i h i,,,,,h u h u,,pˀ u p i,,h u h u,ɸ ĩ ɸ i,b i p i,b i p i,w i p i,
114-tapir,w e k ɨ,w e k ɨ,,w e kʰ ɨ,w e k ɨ,w e k ɨ,b e k ɨ,,w e kː ɨ,w ẽ k ɨ,w e k ɨ,,w e k ɨ,w e k ɨ,w a tʃ ɨ,
115-termite,b u t u,b u d u,b u t u,,,p o ɾ u,,,pˀ u t u,,,b u t u,b u t u,,b u t u,
116-thorn,h o t a,p o d a,p o t a,,,,,,p o t a,,,ɸ o t a,p o t a,,pʰ o t a,
117-three,i d i a,ɨ ˀd e,,,,i t i a,,,ɨ tˀ i a,,,,i ˀt i a,i t i a,t i a,
118-thunder,b ɨ h o,b u p u,,,õ p õ,m ɨ ˀh o,m ɨ h a,,w ɨ̃ p o,m o h o,m ɨ h o,a w ĩ ɸ o,b ɨ p o,b ɨ p o,w ɨ p o,
119-tobite,k ũ n ĩ,k ũ n ĩ,,kʰ ũ ʔ i,k ũ,,k ũ i,,k ũ,k õ k ɨ,k ũ ʔ i,k u ˀk u,k ũ ˀn ĩ,b a k a,,k ũ ɾ ĩ
12-blow,h u t i,p u d i,p u t i,h u i,p u,,h ú/u i,,p u,h u,h u i,,p u t i,,p u t i,p u ɾ i
120-tocry,o t i,o t i,o t i,o i,o,,o i,,o,o i,o i,,,u t i,t i,o t i
121-tosmokemeat,tʃ e tʃ o,s i j u,s i s o,s ɨ j o,h ɨ j o w a,ã s ɨ,s ɨ j o,,s ɨ ˀj o,s ɨ j o,s ẽ j o,,s ɨ ˀs o,,s ɨ s o,s i j u
122-toadsp,m o m o,m o m a,,h o h o,p o p o,,,,pˀ o p a,h o h o,,,m o ˀm o,,w a ˀm u,
123-tobacco,m ɨ̃ ˀn õ,m ũ n ũ,m ɨ̃ n õ,m ɨ t o,,m ɨ n o,m ɨ t o,,m ɨ tˀ o,m ɨ t o,m u t o,m ĩ ˀɾ õ,m ɨ̃ ˀn õ,m ɨ̃ n õ,m ɨ̃ ˀt õ,
124-tocandiraant,h e t a,p e d a,p e t a,,p i a d a,h a t a,,,p i a t a,,,ɸ a t a,p e t a,,pʰ i t a,
125-tongue,ɲ ẽ m ẽ,,ɲ ẽ m ẽ,j e m e,h ẽ m ẽ,j a m e,n e m e,,tsˀ e m e,sˀ e m e,sˀ e m e,,ɲ ẽ m ẽ,ɲ ẽ m ẽ,ɲ ã m ã,
126-tooth,g u h i,,o p i,kʰ õ h ĩ,k õ p ĩ,k o h i,ŋ ũ h i,,kˀ õ p i,k õ ˀh ĩ,kˀ ũ h ĩ,o ɸ i,u p i,u p i,p i d i a k a,
127-tortoise,g u u,g u i,u u,k o ɨ,k ũ ɨ̃,k a ɨ,,,kˀ o ɨ,k o u,kˀ o ɨ,o ʔ i,u h u d i,k u u,k u,
128-toucan,,n ã s ĩ,d a s a,j ã s e,h o e w e,ɾ a s e,,,tsˀ a s e,j ã s e,j ã s e,n ã h ẽ,ɾ a tʃ e,,d a s e,
129-trairafish,ɾ o e,d o e,ɾ o s e,ɾ o j e,d o j e,,,,tˀ o j e,d o j e,,ɾ o j e,d o e,,,
13-bone,ŋ õ ã,ŋ õ ã,õ ʔ ã,,k ũ ã,k o a,,,kˀ õ ʔ ã,,kˀ õ ʔ a,ũ ʔ ã,õ ʔ ã,k õ ã,kʰ õ ʔ ã,
130-tree,j u k ɨ,j u k ɨ,j u k ɨ,s ũ k i j̃ ɨ,h o k ɨ,t o k ɨ,s ũ k i j̃ i,,ts ũ kː ɨ,s õ k ɨ,s ũ k i,h ũ k ĩ,j u k ɨ,j u k ɨ,j u k ɨ,
131-urinate,ŋ õ n ẽ,ŋ õ n ẽ,õ n ẽ,õ n e,k õ n ẽ,,g o n e,,kˀ o n e,k õ n e,kˀ õ n e,,õ ˀn ẽ,k õ n ẽ,kʰ ũ n ũ,
132-urucumachiote,m ũ tʃ ã,m ũ s ã,m ũ s ã,p ũ s a,m ũ h ã,m u hʲ a,b o s a,,pˀ õ s a,pˀ õ s a,pˀ õ s a,m ũ h ã,m õ s ã,,m ã s ĩ + s õ a,
133-wait,k o d e,k o d e,,,k o d e,h o t e,ɨ̃ t e,,kʷ ɨ tˀ e,u t e,,,k o ˀt e,,k o ˀt a,k o ɾ e
134-wasp,u t i,u t i,u t i,u tʰ i,u tʃ i,h u t i,u t i,,u tː i,u t i,u t i,u t i,u t i,u t i a,t i,
135-water,o k o,d e k o,o k o,o kʰ o,o k o,k o t a p u,o k o,,o kː o,o k o,o k o,o k o,o k o,o k o,k o,
136-white,b o t i,b o d e,b o t i,p o,b o,p o,b o,,pˀ o,pˀ o,pˀ o,b o i,b u t i,b u t i,b o ˀt a,
137-wife,,,n ɨ̃ m õ,ɾ ɨ h o,,,n ɨ h o,,tˀ ɨ̃ p o,d ɨ h o,n ɨ̃ h o,ɾ ũ m ũ,n ɨ̃ m õ,n ɨ̃ m õ,n ã m õ,
138-wind,m ĩ n õ,m ĩ n ũ,w̃ ĩ n õ,,,,,,w ĩ n o,,,w ĩ ɾ õ,w ĩ n õ,w ĩ n õ,w ĩ n õ,w í/i n e
139-woman,ɾ õ m ĩ õ,n õ m ẽ õ,ɾ õ m ĩ õ,ɾ o m i o,n õ m ĩ,,n o m i o,,tˀ õ m i,n õ m i o,n o m i,ɾ õ m õ,n ũ m ĩ õ,n ũ m ĩ õ,n ũ m ĩ n õ,
14-break,b o h e,b o h e,,h ũ h e,p o p e,,h o a,,pˀ o p e,h o ʔ a,,,b o p e,p a a,p o ʔ a,
140-woodpecker,k õ n ẽ,k õ n ẽ,k õ n ẽ,kʰ õ n e,k õ n ẽ,,k o n e,,k o n e,k õ n e,k o n e,,k õ n ẽ,,kʰ õ n ẽ,
141-yam,ɲ ã m õ,ɲ ã ˀm õ,ɲ ã m õ,ɲ ã h o,ɲ ã m ũ,j a u,ɲ ã h o,,ɲ ã pˀ o,,ɲ ã h o,ɲ ã ˀm ũ,ɲ ã ˀm ũ,ɲ ã m ũ,ɲ ã ˀm ũ,
142-youall,m ɨ̃ ã,m ɨ̃ ã,m ɨ̃ s ã,m ɨ s a n ɨ kʰ o n a,m ɨ̃ h ã,m ɨ t a,m ɨ s a,,m ɨ ts a,m ɨ s a ɾ u,m ɨ s a k w a,m ĩ h ã,m ɨ̃ s ã,m ɨ̃ ã,m ɨ̃ h ã,
15-breast,õ h ẽ,ã p ĩ,ũ p ẽ,o h e,o p e,h u h e ɾ i,o h e,,u p e,o h e,o h e,ũ ˀp e,õ p ẽ,õ p ẽ ã,p ẽ n õ,
16-buritipalm,ɾ ẽ e,n ẽ ʔ ẽ,n e e,n e ʔ e,n ẽ ĩ,,,,n e ʔ e,n ẽ ʔ ẽ,n e ʔ e,,n ẽ ʔ ẽ,,n ã ʔ ã,
17-capybara,,,,kʷ ẽ s o,,k e t u,,,kʷ e tʲ u,kʷ e s o,kʷˀ e s o,k e h u,,,,
18-caradioscoreaalata,ɲ ã h ĩ,ɲ ã p ĩ,ɲ ã p ĩ,j a h i,ɲ ã p ĩ,j a h i ɾ i,,,j a p i,j a h i,,ɲ ã ˀp ĩ,ɲ ã p ĩ,,ɲ ã p ĩ,
19-casenonnominatvie,ɾ e,d e,ɾ e,ɾ e,d e,,d e,ɾ e,tˀ e,ɾ e,ɾ e,ɾ e,ɾ e,,ɾ e,
2-agouti,b u u,b u i,b u u,w ɨ ɨ,b u ɨ,,,,w u ɨ,w ɨ,w ɨ,b u i,b u u,,b u u,
20-centipede,,ã ˀŋ ĩ,,,a w i m e k ɨ,,,,ɲ ã kˀ i,,,,ã ˀk ĩ,m ũ n ĩ,ɲ ã ˀk ĩ,
21-charcoal1,ɾ ĩ t ĩ,n ĩ t ĩ,n ĩ t ĩ,,,,,,n i tː i,,,n ĩ t ĩ,n ĩ t ĩ,n ĩ t ĩ,n ĩ t ĩ,
22-charcoal2,,,,n e o,n ẽ õ,,n e o,,n e o,n ẽ õ,n e o,,,,,
23-cheek,w a j u,w a ˀj u,w a s o,w a j o,w ɨ o,,b a j o,,w a j o,w a j o,w a j o,,w a ˀs u,w a s o p u,w a ˀs u,
24-chew,,,,j a k i,h ã h ɨ̃,,n a k i,,tsˀ ã kˀ ɨ,sˀ ã k i,,,j a ˀg e,j a g e,j a ˀk a,
25-chili,b i a,b i a,b i a,p i a,b i a,b i a,b i a,b i a,pˀ i a,pˀ i a,pˀ i a,b i a,b i a,b i a,b i a,
26-cold,ɨ ts a,j ɨ s a,,s ɨ s ɨ,h ɨ h ɨ,j ɨ s ɨ a,s ɨ s ɨ,,ts ɨ s i,s ɨ s ɨ,s ɨ s ɨ,h i ˀh i a,j ɨ s ɨ a,j ɨ s ɨ a,j ɨ s ɨ,ts e s ɨ
27-cut,ɾ u t e,,,ɾ u ˀtʰ e,,,j ɨ i,,tˀ ɨ tː e,,t ɨ̃ t e,,d ɨ t e,,d ɨ t e,
28-dance,b a ts a,b a j a,b a s a,,b a j a,,t ɨ t e,,pˀ a j a,,,b a j a,b a s a,b a s a,b a s a,
29-deer,ɲ ã m ã,ɲ ã m ã,ɲ ã m ã,ɲ ã m a,ɲ ã m ã,ɲ ã m a,,,j a m a,ɲ ã m a,ɲ ã m a,ɲ ã m ã,ɲ ã m ã,ɲ ã m ã,ɲ ã m ã,
3-antsp,m ẽ k ã,m ẽ ŋ ã,m ẽ k ã,m e kʰ a,m ẽ ã,m e kʲ a,m e k a,,m e k a,,m e a,m ẽ k ã,m ẽ k ã,,m ã tʃ ɨ̃,
30-distant,j o a,j o a,j o a,,h o a,j o e,d o a,,tsˀ o a,s o ʔ o,sˀ o a,j o e,j o a,j o a,j o a,
31-dove,ts i o ɾ o,,,s i ʔʷ i,h u d e,,s ɨ n i,,tʃ ɨ,s ɨ ɾ a,tʃ i ʔʷ i,,s i ɾ i,,s i ɾ i p i,
32-duck,,,,p e t e,b e d e,,,,pˀ e t e,pˀ e t e,pˀ e t e,,,,,
33-ear,ŋ ã m õ,ŋ ã m ĩ,ã m õ,k ã h o,k ã m ũ,kʲ ã ũ,ŋ ã h o,,kˀ ã pˀ o,k ã h o,kˀ ã h o,ã m ũ,õ ˀm ẽ,k ã m õ,k ã ˀm õ,
34-egg,ɾ i a,,ɾ i a,j i a,h ĩ d ɨ,,j i a,,tsˀ i a,sˀ i a,sˀ i a,ɾ i a,d i e,d i j e,d i e,
35-elder,b ɨ k ɨ,b ɨ g ɨ,b ɨ k ɨ,,b ɨ k ɨ,b ɨ i k ɨ,,,pˀ ɨ k ɨ,,,,b ɨ k ɨ,b ɨ k ɨ,b ɨ k ɨ,
36-elevatedstructureshelvesroofetc,k a tʃ a,k a j a,k a j a,kʰ a j a,k a j a,,,,k a j a,,,,k a s a,,k a s a,
37-end,h e d i,p e ˀd e a,,,,p e t i,,,p e tˀ i,,,,p e ˀt i,,p i ˀt i,
38-excrement,g ɨ d a,g ɨ d a,g ɨ t a,k ɨ t a,k ɨ d a,ɨ t a,ɨ̃ t a,k ɨ ˀt a,kˀ ɨ tˀ a,ɨ̃ t a,kˀ ɨ t a,i t a,ɨ ˀt a,k ɨ̃ n ã,t ã,
39-face,ɾ i a,d i a,ɾ i a,j i a,h i w a,,j i a,,tsˀ i a,sˀ i a,,,d i a,d i a + p o a,,
4-aracufish,b o d e k a,b o d e k a,b o t e k a,,b o d i k a,p o ɾ e kʲ a,,,pˀ o tˀ i k a,,,b o t a k a,b o ˀt e a,,b o ˀt e a,
40-father,h a k ɨ,p a g ɨ,p a k ɨ,h a kʰ ɨ,p a k ɨ,h a k ɨ,h a k ɨ,,p a k ɨ,h a k ɨ,h a k ɨ,ɸ a k i,p a k ɨ,p a k ɨ,pʰ ɨ k ɨ,
41-feminine,g o,g o,o,o,k o,,o,k o,kˀ o,o,g o,,g o,,k o,
42-fire,h e a,p e a,p e e,h ẽ kʰ a,p e k a,h e kʲ a,h e k a,,p e k a,h e k a,h ẽ k a,ɸ e k a,p e k a,p e k a,pʰ i tʃ a,
43-fish,w a i,w a ʔ i,,w a ʔ i,w a w i,w a i,b a i,,w a ʔ i,w a ʔ i,w a ʔ i,w a ʔ i,w a ʔ i,w a i,w a ʔ i,
44-fishwithanet,w a j a,w a j a,,w a j o,,,b e j o,,w a j a,,,,w a ˀs a,,w a ˀs a,
45-fishingnet,b a h i,,b a p i,,p a p i,,,,pˀ a p i,,,,,b a p i,,
46-float,h a j a,p a j a,p a s a,,,,,,p a ˀj a,,,,p a ˀs a,p a s a,p a ˀs a,
47-flower,g o d o,g o,,k o ɾ o,k o w ɨ,t e k o,,,kˀ o ʔ o,h o d o,k o d o,õ ʔ õ,o ʔ o,k o o,k o ʔ o,
48-foot,g ɨ b o,g u ˀb u,ɾ ɨ p o,k ũ ʔ ã,k ɨ b o,k o h u,ŋ ɨ̃ õ,,kˀ ɨ pˀ o,k ɨ̃ õ,kˀ ɨ̃ õ,ũ ˀp ũ,d ɨ ˀp o,d ɨ p o,d a ˀp o,
49-fruitsp,t o a,,,tʰ o a,t o a,,t o a,,t o a,t o a,t o a,,t o a,,tʰ o a,
5-armadillo,h ã m õ,p ã m õ,p ã m õ,h a m u,p ã m ũ,h a m u,,p ã m õ,p ã m u,h ã m o,h ã m u,ɸ ã m ũ,p ã m õ,,p ã m õ,
50-garden,w e ts e,w e s e,,w e ˀs e,,,b e s e,,w e s e,w e ˀs e,,,w e s e,w e s e,w e s e,
51-gather,ts ã a,,h e e,s i a,h e w a,,tʃ i a,,tʃ ɨ a,s i a,tʃ i a,,s u a,,s a a,
52-grandfather,ɲ ĩ k ɨ̃,ɲ ẽ k ɨ̃,ɲ ĩ k ɨ̃,j ẽ k u ɨ,ɲ ẽ k ũ j o,,j ẽ k ɨ,,j ẽ kː u,,,,ɲ ẽ k ɨ̃,ɲ ẽ k ɨ̃,ɲ ɨ̃ tʃ ɨ̃,
53-grape,ɨ j e,i g i,ɨ s e,ɨ j e,ɨ j a i,,e d e,,ɨ ˀj e,,ɨ j e,,ɨ ˀs e,ɨ s e,s e,
54-grass,t a a,t a a,t a a,tʰ a j a,d a,t a j a,t a j a,,t a j a,t a j a,t a j a,t a j a,t a a,t a a,tʰ a a,
55-green,ts ɨ̃ m ẽ,,h ɨ̃ m ẽ,,h ɨ̃ m ẽ,t ɨ m ɨ,,,ts ɨ̃ pˀ e,,s ɨ h o,h ĩ ˀm ĩ,s ɨ ˀm e,s ɨ̃ m ẽ ɾ̃ ẽ,,ts ɨ m ɨ
56-handpalm,,,,h ɨ̃ tʰ ɨ,p ɨ d ɨ,,h ɨ̃ t ɨ,,p ɨ t ɨ,h ɨ̃ t ɨ,ɨ̃ t ɨ,ɸ i t a,,,,
57-head,ɾ i h o,d i p u,ɾ ɨ p o,s ĩ h õ,h i p o,,tʃ i o,,tsˀ ɨ p o,s ĩ õ,sˀ ĩ h õ,ɾ u ɸ u,d ɨ p o,d u p u,d a p u,d ɨ p ɨ
58-heavy,ɾ ɨ̃ k ɨ̃,n ɨ̃ k ɨ̃,n ɨ̃ k ɨ̃,ɾ ɨ kʰ ɨ,d ɨ k ɨ,,d ɨ k ɨ,,tˀ ɨ kː ɨ,d ɨ k ɨ,d ɨ k ɨ,ɾ ĩ k ĩ,n ɨ̃ k ɨ̃,n ɨ̃ k ɨ̃,n ɨ̃ k ɨ̃,
59-heron,j e h e,j a h i,j e e,,j a i,,j a i,,j a h i,j a i,,,j a h e,j e e,j a h a,
6-back,,s ũ ŋ ũ,h õ k ɨ̃,s õ kʰ ɨ,,,,,s õ k ɨ,,,,s ũ k ũ,s u k u,s ũ k ũ,
60-hole,g o h e,g o b e,o p e,k o h e,k o b e,g o h e,g o h e,,kˀ o p e,k o h e,kˀ o h e,k o ɸ e,k o p e,k o p e,k o p e,
61-hot,a ts i,a s i,a s i,a s u,,h a t ɨ,a tʃ u,,a ts ɨ,,h a ˀs u,,a s i,a s i,s i,a h ts i a m a
62-house,w i,w i ʔ i,w i i,w ɨ ʔ e,w ɨ e,w ɨ ɾ i,u e,,w ɨ ʔ e,w ɨ ʔ e,w ɨ ʔ e,w i ʔ i,w i ʔ i,w i i,w ɨ ʔ ɨ,
63-hummingbird,m ĩ m ĩ,m ĩ m ĩ,m ĩ m ĩ,m i m i,m ĩ m ĩ,m i m i,m i m i,,m i m i,m i m i,m i m i,,m ĩ m ĩ,,w̃ ĩ ˀm ĩ,
64-i,j ɨ ɨ,j ɨ ʔ ɨ,j ɨ ɨ,j ɨ ʔ ɨ,j ɨ,j e h ɨ,j i,,j ɨ ʔ ɨ,j ɨ ʔ ɨ,j ɨ ɨ,j i ʔ i,j ɨ ʔ ɨ,j ɨ ɨ,j ɨ ʔ ɨ,
65-ingafruitsp,m ẽ n ẽ,m ẽ h ẽ,m ẽ n ẽ,p e n e,m ẽ n ẽ,m e ˀn e,m e n e,,pˀ e n e,pˀ e n ẽ,pˀ e n e,,m ẽ n ẽ,,m ẽ n ẽ,
66-insectsp,u s i,,,s ũ s i,h u h i,t o s i,,,ts u s i,,s u s i,,,,j ĩ,ts u ts i g a
67-jaguar,j a i,j e e,j a i,j a i,j a w i,h i j a i,j a i,,j a i,j a i,j a i,j a i a,j a i,,j a i,
69-kapok,j ɨ t a,j u d a,j i t a,o j a,j ɨ i,j ʔ o t a h e,,,j ɨ i,j ɨ i,j ɨ i,j u ˀt a,j u t a,,j u t a,
7-bat,o tʃ o,o j o,o s o,o j o,o j o,h o i j o,o j o,o s o,o j o,o j o,o j o,o j o,o s o,o s o,,
70-kingfisher,ɲ ã s ã,s ã n ã,ɲ ã s ã,s ã ˀs a,h ã h ã,,,,ts ã s a,sˀ ã ˀs a,,h ã h ã,s ã n ã,,s ã n ã,s ã s ã
71-know,m ã ts ĩ,m ã s ĩ,,m a s i,m a h i,m a s i,,,m a s i,,m a ˀs i,,m ã s ĩ,m ã s ĩ,m ã s ĩ,
72-lake,,d i t a,,,h i t a,ɾ i t a,tʃ i t a,,tsˀ i tː a,,sˀ i t a d a,,d i t a,t a ɾ o,,t i t a
73-land,j e b a,j e b a,j e p a,j e h a,j i b a,,j i h a,,j e pˀ a,j e h a,j i h a,,j e ˀp a,,j a ˀp a,
74-larva,b e k o,b e k a,b e k o,p e kʰ o,,,b e k u,,pˀ e kː o,pˀ e k o,pˀ e k o,,b e k o,,,
75-leg,ɲ ĩ k ã,ɲ ĩ ŋ ã,ɲ ĩ k ã,j ũ k a,ɲ ɨ̃ ã,,,,j ɨ̃ k a,n ɨ̃ k a,,ɲ ĩ k ã,ɲ ẽ k ã,ɲ ĩ k ã,ɲ ɨ̃ tʃ ɨ̃,
76-locative,d o,d o,d o,,n õ,,d o,d o,tˀ o,ɾ o,ɾ o,,d o,,d o,
77-macaw,m ã h ã,m ã h ã,m a a,m a a,m ã,,m a,,m a h a,t o a m a,m a,,m ã h ã,,m ã h ã,
78-man,ɨ̃ m ɨ̃,ɨ̃ m ɨ̃,m ɨ̃,ɨ m ɨ,ɨ̃ m ɨ̃,,ɨ m ɨ,,ɨ m ɨ,ɨ̃ m ɨ̃,ɨ m ɨ,ɨ̃ m ɨ̃,ɨ̃ m ɨ̃,ɨ̃ m ɨ̃,ɨ̃ m ɨ̃,
79-manioc,k ĩ ĩ,k ĩ ĩ,k i i,kʰ ɨ i,k ɨ i,k ɨ,k ɨ i,,k ɨ i,,k ɨ i,k i,k i i,,kʰ ɨ ɨ,
8-big,h a i,,p a i,,,,h a i,p a h i,p a h i,h a i,h a i,,p a h i,p a i,,
80-monkey,g a k e,g a k i,a k e,t ã kʰ e,t a k e,,t ã k e,,t a kː e,t ã k e,t ã k e,t a k e,a k e,a k e,k a,
81-monkeysp,i tʃ i k a m u,,s i i,s i s i k o ˀɾ o ɾ o,h i h i j o,,tʃ i tʃ i,,s i s i,,s i s i,,,,m ẽ n ẽ + ĩ ˀs ĩ,
82-mosquito,m ɨ̃ t ẽ,m ɨ̃ n ẽ,m ɨ̃ t ẽ,m ɨ tʰ e,m ɨ̃ t ẽ,m ɨ n e,m ɨ t e,,m ɨ t e,m u ˀt e,m ɨ t e,m ĩ ɾ ĩ,m ɨ̃ t ẽ,m ɨ̃ t ẽ,m ɨ̃ t ẽ,
83-mouth1,ɾ i tʃ e,d i s i,ɾ i s e,,h i h e,ɾ i s e p u,,,tsˀ ɨ s e o,,,ɾ i h o,ɨ ˀs e,ɨ s e,d ɨ s e,d i ts i
84-mouth2,,,,j i ʔ o b o,,,j o,,j ɨ ʔ o,j ɨ ʔ o,j i ʔ o b o,,,,,
85-mythicalbeing,w ã t i,w ã t i,w ã t i,w a tʰ i,ã tʃ ĩ,,ã i,,w ã tː i,w a t i,w a t i,w ã t i,w ã t i,,w ã t i,
86-name,w̃ ã m ẽ,w̃ ã ĩ,w̃ ã m ẽ,m a m i,ã m ĩ,,m a m i,,w ã m i,m a m i,m a m i,w̃ ã m ẽ,w̃ ã m ẽ,w̃ ã m ẽ,w̃ ã m ã,
87-navel,tʃ õ m ɨ̃,s ũ m ũ,h õ m ɨ̃,s ũ h ũ,h õ m ɨ̃,t o u,s õ h õ,,tʃ õ pˀ ɨ,s õ h õ,tʃ õ h õ,h ũ m ũ,s ũ m ũ,s ũ m ũ ã,s ɨ̃ m ɨ̃ k ã,tʃ ũ m ũ
88-non3rdanimateperson,b ɨ,b ɨ,,,w ɨ,,,,pˀ ɨ,w ɨ,w ɨ,,p ɨ,,,
89-nose,ĩ ŋ ẽ,ĩ ˀŋ ĩ,ɨ̃ k ẽ,ɨ̃ kʰ e,ũ e k a,k o m e,ũ kʷ e,,ɨ̃ kʷˀ e,õ kʷ e,ũ kʷ e,õ m ẽ,ẽ ˀk ẽ,ẽ k ẽ ã,k ẽ,ɨ g ɨ
9-black,ɲ ĩ ĩ,ɲ ĩ ĩ,ɲ ĩ ĩ,j i,ɲ ẽ m ĩ,,n e a,,tsˀ ĩ,,sˀ i,n ẽ ʔ ĩ,ɲ ĩ ĩ,ɲ ĩ ĩ,ɲ ĩ ĩ,
90-paca,tʃ ẽ m ẽ,s ẽ m ẽ,h ẽ m ẽ,s e m e,h ẽ m ẽ,,s e m e,,s e m e,s e m e,s e m e,h ẽ m ẽ,s ẽ m ẽ,,s ã m ã,
91-pacufish,u h u,u h u,,,,h o h u,,,u h u,,,,u h u,,,
92-palmweevil,h ĩ k õ,p ĩ ŋ ũ,,h ĩ ˀkʰ o,p ĩ k õ,,h ɨ̃ k o,,p ĩ k o,h ĩ k o,h ĩ k o,ɸ ĩ k õ,p ĩ k õ,,pʰ i tʃ o,
93-parrot,w e k o,w e k o,w e k o,w e k o,w e k o,,b e k o,,w e kː o,w e k o,w e k o,,w e k o,w e k o,w a tʃ o,
94-path,m a a,m ã ʔ ã,m ã ʔ ã,m a ʔ a,m ã,m a a,m a,,m a ʔ a,m a ʔ a,m a ʔ a,m ã ʔ ã,m ã,m a a,m ã ʔ ã,
95-peccary,j e tʃ e,j e s e,,s ẽ s e,h ẽ h ẽ,j e s e,s ẽ s e,,ts ẽ s e,s ẽ s e,s ẽ s e,h ẽ h ẽ,j e s e,j e s e,j e s e,ts e ts e
96-penis,,,n ũ n ĩ,,n õ ẽ,n o n i,n o a,,n o,,,ɾ ũ ɾ i,n ũ n ĩ,s e j u a,n ũ n ɨ̃,
97-people,m ã tʃ ã,,m ã s ã,p ã i,m ã h ã,m a t a ɾ ɨ,m ã ĩ,,pˀ ã ts ã,pˀ ã i,pˀ ã,m ã h ã,m ã s ã,b a s o,m ã h ã,m ã ts ã
98-plant,o t e,o t e,o t e,o tʰ e,o t e,,o t e,,o tː e,o t e,o t e,h o t o,o t e,o t e,t o a,
99-poison,,n ĩ m ã,n ĩ m ã,j i m a,h ĩ m ã,,,,ts i m a,sˀ ĩ m a,,,n ĩ m ã,n ĩ m ã,ɲ ĩ m ã,
