Cognate_ID,aromanian,barbaniapiemontese,bellunesevenetian,campidanese,carmagnolapiemontese,carpigianoemiliano,castellodelaplanacatalan,castilianspanish,cataniansicilian,centralcatalan,dalmatian,fassanoladin,ferrareseemiliano,friulian,gardeneseladin,genoeseligurian,grossetoitalian,istroromanian,lanzotorinesepiemontese,logudorese,manisescatalan,meglenoromanian,messinesesicilian,minorcancatalan,neapolitan,northwesterncatalan,palermitansicilian,primierovenetian,provencaloccitan,rapalloligurian,ravennateromagnol,reggianoemiliano,romanian,rumantschgrischun,southeasternsicilian,standarditalian,stellaligurian,surmiranromansh,sursilvanromansh,valenciancatalan,valladerromansh,venicevenetian,vercellesepiemontese
10_bone,ˈo s + u,ˈɔ s,ˈɔ s,ˈo sː + u,ˈɔ s,ɔː s,ˈɔ s,ˈw e s + o,ˈɔ sː + u,ˈɔ s,v w a s,ˈɔ s,ˈɔ s,v ˈw ˈɛ s,ˈɔ s,ˈœ sː + u,ˈɔ sː + o,o s,ˈɔ s,ˈo sː + u,ˈɔ s,w o s,ˈɔ sː + u,ˈɔ s,ˈw o sː + ə,ˈɔ s,ˈw ˈɔ sː + u,ˈɔ s,ˈɔ s,ˈɔ sː + u,ˈɔ s,ɔː s,o s,ˈɔ s,ˈw ˈɔ sː + u,ˈɔ sː + o,ˈo sː + u,ˈɔ s,j e s,ˈɔ s,ˈɔ s,ˈɔ s + o,ɔː s
110_year,ˈa n + u,a n,a n,ˈa nː + u,a n,a n,a ɲ,ˈa ɲ + o,a nː + u,a ɲ,j a j ŋ,a n,a n,a n,a n,ˈa nː + u,ˈa nː + o,ɒ n,a n,ˈa nː + u,a ɲ,a n,a nː + u,a ɲ,ˈa nː + ə,a ɲ,a nː + u,a n,a nː + ˈa d + o,ˈa nː + u,a n,aː n,a n,ˈɔ n,a nː + u,ˈa nː + o,ˈa nː + u,ˈɔ n,ˈɔ n,a ɲ,o n,ˈa n + o,a ŋ
11_breast,tʲ ˈe p t + u,p ˈɛ t,p ˈɛ t,p i tː + ˈu r + a,s t ˈɔ m i,p ˈɛː t,p i t,p ˈe tʃ + o,p ˈɛ tː + u,p i t,p j a t,p j e t,p ˈɛ t,p ˈɛ t,p j e t,p ˈe tː + u,p ˈɛ tː + o,k ʎ e p t,p ˈɛ t,p e tː + ˈo rː + a,p i t,tʲ e p t,p ˈɛ tː + u,p i t,p ˈj e tː + ə,p i t,p ˈj ˈɛ tː + u,t ˈe t + e,p e j t ɾ + ˈi n + o,k a ʃ ˈe tː + a,p ˈɛ a t,s t ˈɔ m e ɡ,p j e p t,p ˈɛ ts,p ˈj ˈɛ tː + u,p ˈɛ tː + o,p ˈæ t + u,p ˈɛ ts,p ˈɛ ts,p i t,p e t,p ˈe t + o,s t ˈɔː m i k
12_burntr,ˈa r d + u,b r y z + ˈe,b r u z + ˈa + r,a + b r u ʒ + ˈa j,b r y z + ˈe,b r u z + ˈɛː r,k ɾ e m + ˈa + ɾ,k e m + ˈa + ɾ,b r u tʃ + ˈa + ɾ i,k ɾ ə m + ˈa,,b r u ʒ + ˈɛ r,b r u z + ˈa r,b r u s + ˈaː,b r u ʒ + ˈɛ,b r y ʒ + ˈaː,b r u tʃ + ˈa + r e,p a l + ˈi,b r y z + ˈe,b r u s j + ˈa + r e,k ɾ e m + ˈa + ɾ,a r t,b a m p + ˈa + ɾ ɨ,k ɾ ə m + ˈa,a + bː r u ʃː + ˈa,k ɾ e m + ˈa,a + bː r u tʃ + ˈa + ɾ i,b r u z + ˈa + r,b r y l + ˈa,b r y ʒ + ˈa,b r u z + ˈe a,b r u z + ˈe r,a + ˈa r d + e,ˈa r d + ə r,a + bː r u ʃ + ˈa + ɾ i,b r u tʃ + ˈa + r e,b r yː ʒ + ˈæ,ˈa r d + ə r,b ə r ʃ + ˈa r,k ɾ e m + ˈa + ɾ,ˈa r d + ə r,b r u z + ˈa + r,b r y z + ˈɛ
13_clawnail,ˈu n ɡ ʎ + e,ˈu ŋ dʒ + a,ˈo ŋ dʒ + a,ˈu ŋ ɡ + a,ˈu ŋ dʒ + a,ˈu ŋ dʒ + a,ˈu ŋ ɡ lˠ + a,ˈu ɲ + a,ˈu ɲː + a,ˈu ŋ ɡ lˠ + ə,ˈo ŋ ɡ l + a,ˈo m b j + a,ˈɔ n dʒ + a,o ŋ ɡ u l + ˈe,ˈo n d l + a,ˈu ŋ dʒ + a,ˈu ŋ ɡ j + a,ˈu ŋ ɡ ʎ + e,ˈu ŋ dʒ + a,ˈu ŋ ɡ r + a,ˈu ŋ ɡ lˠ + a,ˈu n ɡ ʎ + ə,ˈu ɲː + a,ˈu ŋ ɡ lˠ + ə,ˈo ɲː + ə,ˈu ŋ ɡ lˠ + ˈɛ,ˈu ɲː + a,ˈo ŋ dʒ + a,ˈu ŋ ɡ l + o,ˈu ŋ dʒ + a,ˈo n dʒ + a,ˈo n dʒ + a,ˈu ŋ ɡ j + e,ˈu ŋ ɡ l + ə,ˈu ɲː + a,ˈu ŋ ɡ j + a,ˈu ŋ dʒ + a,ˈu ŋ ɡ l + ə,ˈu ŋ ɡ l + ə,ˈu ŋ ɡ lˠ + a,ˈu ŋ ɡ l + ə,ˈo ŋ dʒ + a,ˈoː ŋ dʒ + a
14_cloud,n i ˈo r + u,n ˈi v u l + a,n ˈu v o l + a,n u j,n ˈi v u l + a,n ˈu v l + a,n ˈu v o lˠ,n ˈu β + e,n ˈu v u l + a,n ˈu β u lˠ,n ˈu v o l,n ˈi ɡ o l + a,n ˈu v a l,n uː l,n ˈi b l + a,n ˈy v i + a,n ˈu v o l + a,o b l ˈɒ k,n ˈi v u l + a,n ˈu + e,n ˈu β o lˠ,n o r,n ˈu v u l + a,n i v u lˠ + ˈa t,n ˈu v ə l + ə,n ˈu β o lˠ,n ˈu v u l + a,n ˈu v o l + a,n ˈi v + e,n ˈy vː u + a,n ˈu v l + a,n ˈo v l + a,n o r,n ˈi v ə l,n ˈu v u l + a,n ˈu v o l + a,n ˈiː ɡ ɥ + a,n ˈɛ j v ə l,n ˈi b ə l,n ˈu β o lˠ,n ˈy v l + ə,n ˈu v o e v + a,n ˈiː w l + a
15_cold,a r ˈa ts + e,f r ˈɛ j d,f r e t,f r ˈi ð + u,f r ˈɛ j d,f r ˈɛ d,f ɾ e t,f ɾ ˈi + o,f ɾ ˈi dː + u,f ɾ ˈɛ t,ɡ e l ˈw a t,f r e j t,f r e d,f r eː t,f r ə j t,f r ˈe j d + u,d j a tːʃ + o,r ˈɒ tʃ + e,f r ˈɛ j d,f r ˈi tː + u,f ɾ e t,r ˈa ts + i,f ɾ ˈi dː + u,f ɾ ˈɛ t,f r ˈi dː + ə,f ɾ e t,f ɾ ˈi dː + u,f r e t,f ɾ e,f r ˈe j d + u,dʒ a ts + ˈe a,f r ˈɛ d,r ˈe tʃ + e,f r a j t,f ɾ ˈi dː + u,f r ˈe dː + o,f r ˈe dʒː + u,f r ˈɛ j t,f r ˈɛ j t,f ɾ e t,f r a j t,f r ˈe d + o,f r œ tʃ
16_come,ʑ ˈi n + u,v n + i,v e n j + ˈa + r,b ˈɛ nː + ˈi,v n + i,ɲ + iː r,v ˈi n d + ɾ e,b e n + ˈi + ɾ,v ˈɛ n + i + ɾ i,b ə n + ˈi,v e n + ˈa r,v e ɲ + ˈi r,ɲ + i r,v i ɲ + ˈiː,u n + ˈi,v e ɲ + ˈiː,v e n + ˈi + r e,v e r + ˈi,v n + i,b ˈe nː + e + r e,b ˈi n d + ɾ e,v i n,v ˈɛ n + ɨ + ɾ ɨ,v ə n + ˈi,v ə n + ˈi,b ˈi n d + ɾ e,v ˈj ˈɛ n + i + ɾ i,v ˈɛ ɲ + e + r,v e n + ˈi,v e ɲ + ˈi,v n + i,ɲ + iː r,a + v e n + ˈi,v ə ɲ + ˈi r,v ˈɛ n + i + ɾ i,v e n + ˈi + r e,v eː ɲ + ˈi,n ˈɛ + k r,v ə ɲ + ˈi r,b e n + ˈi + ɾ,ɲ + i r,v e n + ˈi + r,ɲ + iː
17_die,m ˈo r + u,m ˈœ j r + e,m o r + ˈi + r,m ˈɔ rː + ˈi,m ˈœ j r + e,m u r + ˈiː r,m o ɾ + ˈi + ɾ,m o ɾ + ˈi + ɾ,m ˈɔ ɾ + i + ɾ i,m u ɾ + ˈi,m o r + ˈa r,m o r + ˈi r,m u r + ˈi r,m u r + ˈiː,m u r + ˈi,m u + ˈiː,m o r + ˈi + r e,m u r + ˈi,m ˈœ j r + e,m ˈo rː + e + r e,m o ɾ + ˈi + ɾ,m o r,m ˈɔ ɾ + ɨ + ɾ ɨ,m u ɾ + ˈi,m u r + ˈi,m o ɾ + ˈi,m ˈw ˈɔ ɾ + i + ɾ i,m o r + ˈi + r,m u ɾ + ˈi,m u + ˈi,m u r + ˈi,m u r + ˈiː r,a + m u r + ˈi,m u r + ˈi r,m ˈɔ ʐ + i,m o r + ˈi + r e,m i + ˈi,m u r + ˈɛ k r,m u r + ˈi r,m o ɾ + ˈi + ɾ,m u r + ˈi r,m o r + ˈi + r,m ˈœ r + i
18_dog,k ˈɨ n + e,k a ŋ,k a ŋ,k ˈa + i,k a ŋ,k a ŋ,ɡ o s,p ˈe r + o,k ˈa n + i,ɡ o s,k w o ŋ,tɕ a ŋ,k a n,tʲ a ŋ,tɕ a ŋ,k a ŋ,k ˈa n + e,b r e k,k a ŋ,k ˈa n + e,ɡ o s,k ˈɔ j n + i,k ˈa n + ɨ,k a,k ˈa n + ə,ɡ o s,k ˈa n + i,k a ŋ,tʃ i ŋ,k a ŋ,k ˈã n,k aː n,k ˈɨ j n + e,tɕ a w n,k ˈa n + i,k ˈa n + e,k a ŋ,tʲ a ŋ,tɕ a w n,ɡ o s,tɕ a n,k a ŋ,k a ŋ
19_drink,b e v a + w,b ˈɛ j v + e,b ˈe + r e,b u fː + ˈa j,b ˈɛ j v + e,b ˈɛ v + e r,b ˈe w + ɾ e,b e β + ˈe + ɾ,v ˈi v + i + ɾ i,b ˈɛ w + ɾ ə,b + a r,b ˈe j v + e r,b ˈɛ + a r,b ˈɛ v + i,b ˈe v + ə r,b ˈɛ j v + e,b ˈɛ,b ˈæ,b ˈɛ j v + e,b u fː + ˈa + r e,b ˈe w + ɾ e,b ˈe̯a + w,b ˈi v + ɨ + ɾ ɨ,b ˈɛ w + ɾ ə,v ˈɛ β + ə + r ə,b ˈe w + ɾ e,v ˈi v + i + ɾ i,b ˈe v + e + r,b ˈe w + ɾ e,b ˈe j + e,b eː,b ˈɛ v + e r,a + b ˈe v a,b ˈa j v + ə r,v ˈi v + i + ɾ i,b ˈe + r e,b ˈɛ j v + e,b ˈe v + ə r,b ˈɛ j b + ə r,b ˈe w + ɾ e,b ˈa j v + ə r,b ˈɛ v + e + r,b ˈeː v + i
1_all,t ˈu t + u,t y t,t ˈu t + o,t ˈo tː + u,t y j t,t u t,t o t,t ˈo ð + o,t ˈu tː + u,t o t,t o tʃ,d u t,t u t,d u t,d u t,t y tː + u,t ˈu tː + o,t o t,t y t,t ˈo tː + u,t o t,t o t,t ˈu tː + u,t o t,t ˈu tː + ə,t o t,t ˈu tː + u,t u t,t u t,t ˈy tː + u,t o t,t o t,t o t,t u t,t ˈu tː + u,t ˈu tː + o,t ˈy tː + u,t o t,t u t,t o t,t w o t,t ˈu t + o,t y tʃ
20_dry,u s k + ˈa t + u,s ˈɛ k,s e k,s i kː + ˈa w,s ˈɛ k,s u t,s e k,s ˈe k + o,s ˈi kː + u,s ˈɛ k,s w a t,s u t,s u t,s u t,s u t,s ˈe kː + u,s ˈe kː + o,u s k ˈɒ + t,s y j t,s ˈi kː + u,s e k,u s k + ˈa t,s ˈi kː + u,s ˈɛ k,s ˈi kː + ə,s e k,s ˈi kː + u,s u t,s e,s ˈe kː + u,a s ˈo t,s o t,u s k + ˈa t,s i tɕ,s ˈi kː + u,s ˈe kː + o,s ˈe kː + u,s i tʲ,ʃ e tɕ,s e k,s y t,s ˈe k + o,s œ k
21_ear,u r ˈe v a k ʎ + e,u r ˈi j + a,r ˈe tʃ + a,o r ˈi ɣ + a,u r ˈi j + a,u r ˈɛ tʃ + a,o ɾ ˈe ʎ + a,o ɾ ˈe x + a,a ɾ ˈi kː j + u,u ɾ ˈɛ ʎ + ə,o r ˈa k l + a,u r ˈe j + a,u r ˈɛ tʃ + a,o r ˈɛ l + e,u r ˈə d l + a,w ˈɛ dʒ + a,o r ˈe kː j + o,u r ˈæ k ʎ + e,u r ˈi j + a,o r ˈi kː r + a,o ɾ ˈe ʎ + a,u r ˈe̯a k ʎ + ə,ɾ ˈi kː ɨ,u ɾ ˈɛ + ə,r ˈe kː j + ə,a w ɾ ˈe ʎ + ˈɛ,a ɾ ˈi kː j + u,r ˈe tʃ + a,a w r ˈi + o,a w ˈe dʒ + e,u r ˈɛ tʃ + a,u r ˈɛ tʃ + a,u r ˈe k + e,u r ˈe ʎ + ə,a w ɾ ˈi tːʃ + a,o r ˈe kː j + o,w ˈɛ dʒː + a,u r ˈe j + ə,u r ˈe ʎ + ə,o ɾ ˈe ʎ + a,u r ˈa ʎ + ə,r ˈɛ tʃ + a,u r ˈœ dʒ + a
22_earth,ts ˈa r + ə,t ˈɛ r + a,t ˈɛ r + a,t ˈɛ rː + a,t ˈɛ r + a,t ˈɛ r + a,t ˈɛ r + a,t ˈj e r + a,t ˈɛ rː + a,t ˈɛ r + ə,t ˈa r + a,t ˈe r + a,t ˈɛ r + a,t ˈj ˈɛ r + e,t ˈj ə r + a,t ˈɛ r + a,t ˈɛ rː + a,p e m ˈi n t,t ˈɛ r + a,t ˈe rː + a,t ˈɛ r + a,ts ˈa r + ə,t ˈɛ rː + a,t ˈɛ r + ə,t ˈɛ rː + ə,t ˈɛ r + ˈɛ,t ˈj ˈɛ ʐ + a,t ˈɛ r + a,t ˈɛ ʁ + o,t ˈæ r + a,t ˈɛ a r + a,t ˈɛ r + a,p ə m ˈɨ n t,t ˈɛ r + ə,t ˈɛ ʐ + a,t ˈɛ rː + a,t ˈæ r + a,t ˈe r + ə,t ˈj a r + ə,t ˈɛ r + a,t ˈɛ r + ə,t ˈɛ r + a,t ˈɛ r + a
23_eat,m ˈɨ k + u,m a ŋ dʒ + ˈe,m a ɲ + ˈa + r,p a pː + ˈa j,m a ŋ dʒ + ˈe,m a ɲ + ˈɛː r,m e ɲ dʒ + ˈa + ɾ,k o m + ˈe + ɾ,m a n tʃ + ˈa + ɾ i,m ə ɲ ʒ + ˈa,m a n tʃ + ˈu r,m a ɲ + ˈɛ r,m a ɲ + ˈa r,m a n dʲ + ˈaː,m a j + ˈə,m a ŋ dʒ + ˈa,m a n dʒ + ˈa + r e,m ə ŋ k + ˈɒ,m a ŋ dʒ + ˈe,m a n d i ɡ + ˈa + r e,m e ɲ tʃ + ˈa + ɾ,m ə n ˈa n k,m a n tʃ + ˈa + ɾ ɨ,m ə ɲ ʒ + ˈa,m a ɲː + ˈa,m e ɲ dʒ + ˈa,m a n tʃ + ˈa + ɾ i,m a ɲ + ˈa + r,m a n dʒ + ˈa,m a ŋ dʒ + ˈa,m a ɲ + ˈe a,m a ɲ + ˈɛː r,a + m ɨ ŋ k + ˈa,m ə n dʒ + ˈa r,m a n tʃ + ˈa + ɾ i,m a n dʒ + ˈa + r e,m a ŋ dʒ + ˈɛ,m ə ʎ + ˈe r,m ə ʎ + ˈa r,m e ɲ tʃ + ˈa + ɾ,m ə n dʒ + ˈa r,m a ɲ + ˈa + r,m a ŋ dʒ + ˈɛ
24_egg,o w,œ v,ˈo v + o,o w,œ w,oː v,ˈɔ w,ˈw e β + o,ˈɔ v + u,ˈɔ w,j u v,e f,ˈɔ v,uː f,w e f,ˈœ v + u,ˈɔ v + o,o v,œ v,ˈo v + u,ˈɔ w,w o w,ˈɔ v + u,ˈɔ w,ˈw o v + ə,ˈɔ w,ˈw ˈɔ v + u,o w,j ˈɔ w,ˈœ v + u,ˈɔ a v,oː v,o w,o f,ˈw ˈɔ v + u,ˈw ˈɔ v + o,ˈœː v + u,o f,j e f,ˈɔ w,œ f,v ˈɔ v + o,œ f
25_eye,ˈo k ʎ + u,œ j,ˈɔ tʃ + o,ˈo ɣ + u,œ j,ɔː tʃ,u ʎ,ˈo x + o,ˈɔ kː j + u,u ʎ,v ˈa k l + o,ˈe j + e,o tʃ,v ˈoː l + i,w e d l,ˈœ dʒː + u,ˈɔ kː j + o,ˈo k ʎ + u,œ j,ˈo kː r + u,u ʎ,w ˈo k ʎ + u,ˈɔ kː j + u,u j,ˈw o kː j + ə,u ʎ,ˈw ˈɔ kː j + u,ˈɔ tʃ + o,ɥ ˈɛ j,ˈœ dʒː + u,ˈɔ tʃ,ɔː tʃ,o kʲ,e ʎ,ˈw ˈɔ tːʃ + u,ˈɔ kː j + o,ˈœː dʒː + u,i ʎ,e ʎ,u ʎ,œ ʎ,ˈɔ tʃ + o,œ tʃ
26_fatn,ɡ r ə s + ˈi m + e,ɡ r a s,ɡ r a s,ɡ r ˈa sː + u,ɡ r a s,ɡ r aː s,ɡ ɾ e j ʃ,ɡ ɾ ˈa s + a,ɾ ˈa sː + u,ɡ ɾ e ʃ,ɡ r e s,ɡ r a s,ɡ r a s,ɡ r a s,ɡ r a s,ɡ r ˈa sː + u,ɡ r ˈa sː + o,m ɒ s t,ɡ r a s,r ˈa sː + u,ɡ ɾ e j ʃ,ɡ r ə s + ˈi m + i,ɾ ˈa sː + u,s ˈɛ w,ɡ r ˈa sː + ə,ɡ ɾ e j ʃ,ɾ ˈa sː + u,ɡ r a s,ɡ ɾ a s,ɡ r ˈa sː + u,ɡ r a s,ɡ r aː s,ɡ r ə s + ˈi m + e,ɡ r a s,ɾ ˈa sː + u,ɡ r ˈa sː + o,ɡ r ˈa ʃː + a,ɡ r a s,ɡ r a s,ɡ ɾ e j ʃ,ɡ r a s,ɡ r ˈa s + o,ɡ r a s
