Cognate_ID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	ManLoi	MangBang	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
2_moon	m a + g i/j a n	l ə n + l aː w	b l a n + k i/j a r	p a + k j əː	b a n + k i/j a	p a n + k i/j a	b l a n + g i/j aː	p a + k j əː	b l a n + g i/j a r	b l a n + k i/j əː r	p a + k j əː	m a + g i/j a n	m a + g i/j a n	b l a n + g i/j a n	m a + g i/j a n	m ə + g i/j a n
30_head	g ɨ ɲ	k e n	g i ŋ	k e n	k i ɲ	k e ɲ	g i ŋ	k ə n	k i ŋ	k i ŋ	k ə n	g i ɲ	g ɨ n	g i ɲ	g i ɲ	g i ɲ
31_hair	h ɨ k + g ɨ ɲ	h ɨ k + k e n	h u ʔ + k i ŋ	h ɨ k + k e n	h ou̯ ʔ + k i ɲ	h ou̯ ʔ + k e ɲ	h u k + g i ŋ	h ɨ k + k ə n	h u ʔ + k i ŋ	h u ʔ + k i ŋ	h ɨ k + k ə n	h ɨ k + g i ɲ	h ɨ k + g ɨ n	h ɨ k + g i ɲ	h ɨ k + g i ɲ	h uːi̯
32_eye	ŋ ai̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	b l eː + ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ ai̯	ŋ ai̯	b l eː + ŋ aːi̯	ŋ aːi̯	ŋ aːi̯
33_nose	g u ŋ + m u h	k a + d o ŋ + m u h	m ui̯ h	k a + d u ŋ + m u h	k ɔ ŋ + m u h	k ɔ ŋ + m u r̥	g ɔ ŋ + m u h	k a + d ɔ ŋ + m u h	ʔ a + m ui̯ h	k ɔ ŋ + m u h	k a + d u ŋ + m u h	g o ŋ + m u h	g u + m u h	g ɔ ŋ + m u h	g u ŋ + m u h	g u ŋ + m u h
34_ear	ʔ a + j̊ ou̯ ʔ	tɕʰ o k	j̊ o ʔ	tɕʰ o k	l a + l a ŋ	r a + l a ŋ	l ɛː + j̊ o k	l a + tɕʰ o k	j̊ o k	l a j + tɕʰ ɔː ʔ	tɕʰ o k	ʔ a + j̊ ou̯ ʔ	j̊ ou̯ ʔ	j̊ o k	j a j̊ au̯ ʔ	j̊ au̯ ʔ
35_mouth	m o t	m oi̯ ʔ	m oi̯ ʔ	m oi̯ ʔ	m u r̥	m u r̥	m u/w a ʔ	m oi̯ ʔ	m oi̯ ʔ	m oː ʔ	m oi̯ ʔ	m o c	m o c	m u/w a ʔ	m oː c	m oi̯ ʔ
36_tongue	s ɨ + d ă ʔ	kʰ a + d a ʔ	k a + ɗ a ʔ	s a + t a ʔ	k ə r + ɗ a ʔ	k ə r + ɗ a ʔ	k a + ɗ a ʔ	s ə + t aː ʔ	k ə + d ɛ ʔ	k ə r + ɗ a ʔ	s a + t a ʔ	s a + d ă ʔ	s a + d ă ʔ	k a + ɗ a ʔ	s a + d a ʔ	s ɨ + d a ʔ
37_tooth	r̥ a ŋ	x aː ŋ	ʂ aː ŋ	sʲ aː ŋ	r̥ aː ŋ	r̥ aː ŋ	r̥ aː ŋ	x aː ŋ	r̥ ɛː ŋ	r̥ aː ŋ	x aː ŋ	r̥ a ŋ	r̥ a k	r̥ aː ŋ	r̥ aː ŋ	r̥ aː ŋ
38_abdomen	v ă t	v a t	v ɛ ʔ	v a t	v ai̯ c	v a c	v ai̯ ʔ	v a t	v e ʔ	v ɛ ʔ	v a t	v ă c	v ă t	w a ʔ	v ai̯ c	v a c
39_heart	m a + h u + j ə	b l ɔːi̯ + n ɔ h	n ɔːi̯	p o ŋ + k ə + n ɔ h	b l ei̯ + pʰ əː m	b l ei̯ + pʰ əː m	b l eː + pʰ əː m	k ə + n ɔ h	b l i + n ɔi̯ h	b l e + pʰ əː m	p o n + k a + n ɔ h	b a + r au̯		b l eː + pʰ əː m	b e + r ɔː	b l ei̯ + n ɔ x
3_star	s a + m ă n	kʰ a + m a n	s ə + m a ɲ	l aːu̯	s a + m e ɲ	s ə + m e ɲ	p l aː ŋ	l aːu̯	k ə + m a n	s a + m ɛ ŋ	l aːu̯	s a + m ă ɲ	s a + m ă n	p l aː ŋ	s a + m a ɲ	s a + m ɛ ɲ
40_liver	k a + d o m	k a + d oː m	k a + ɗ ɔː m	k a + t ɔː m	k a + ɗ oː m	k a + ɗ oː m	kʰ a + ɗ ɔː m	k a + t ɔː m	k ə + ɗ ɔː m	k ə r + ɗ ɔː m		k a + d o m	k a + d o m	k a + ɗ ɔː m	k a + d oː m	k a + d oː m
41_intestines	ɲ ɔ ŋ + v ă t	kʰ ə + ɣ a n	r ɔː n					s ɔ + n v a t	r ɔː n + ʔ i/j a r		s ɔ + n v a t	ɲ ɔ ŋ + v a c	ɲ ɔ ŋ + v a t		ɲ ɔ ŋ + v ai̯ c	v a c
42_hand	d ɛ	ɗ ai̯	ɗ ai̯	t ai̯	ɗ iː	ɗ iː	ɗ ai̯	t ai̯	ɗ ai̯	ɗ iː	t ai̯ ʔ	d ɛ	d ɛ	ɗ ai̯	d ɛː	d ɛː
43_nail	Ø/ə ŋ + h i m	kʰ iː m	ʔ a + h i m	kʰ iː m	r ə n + h i m	r ə + n i m + ɗ iː	ʔ a + h i m	kʰ iː m	ʔ a + h i m	r ə + n i m	k iː m	Ø/ə ŋ + h i m	Ø/ə ŋ + h i m	ʔ a + h i m	Ø/ə ŋ + h iː m	ŋ + h iː m
44_foot	c e ɲ	dʑ ɔː n	dʑ ə ŋ	dʑ ɔː n	dʑ əː ŋ	dʑ əː ŋ	tɕ eː ŋ	dʑ ɔː n	tɕ ə ŋ	dʑ ə ŋ	dʑ ɔː n	c e ɲ	p l ɔ	tɕ e ŋ	c e ɲ	tɕ eː n
45_bone	k a + ʔ a ŋ	k a + ʔ aː ŋ	k a + ʔ aː ŋ	k a + ʔ aː ŋ	k ə n + ʔ aː ŋ	k a n + ʔ aː ŋ	k a + ʔ aː ŋ	k a + ʔ aː ŋ	k a + ʔ ɛː ŋ	k a + ʔ aː ŋ	k a + ʔ aː ŋ	k a + ʔ a ŋ	k a + ʔ a k	k a + ʔ aː ŋ	k a + ʔ aː ŋ	k a + ʔ aː ŋ
46_fat	b r i/j a ŋ	b i/j o ŋ	p r i/j a ŋ	p i/j o ŋ	p r i/j a ŋ	p r i/j a ŋ	b r i/j a ŋ	p i/j o ŋ	p r i/j a ŋ	p r i/j a ŋ	p i/j o ŋ	b r i/j a ŋ	b r i/j a k	b r i/j a ŋ	b r i/j a ŋ	b r i/j a ŋ
47_skin	h u n	h uː	h u r	h uː	h uː r	h u r	h u r	h uː	h u r	h u r	h uː	h u n	h u n	h uː n	h uː n	h uː n
48_blood	n̥ a m	n̥ aː m	n̥ aː m	n̥ aː m	n̥ aː m	n̥ aː m	n̥ aː m	n̥ aː m	n̥ ɛː m	n̥ aː m	n̥ aː m	n̥ a m	n̥ a m	n̥ aː m	n̥ aː m	n̥ aː m
49_personhuman	d u + ʔ ɨi̯	d u + ʔ ui̯	d u + ʔ iː	t a + ʔ iː	ɓ i	ɓ iː	ɗ u + ʔ iː	t a + ʔ iː	d u + ʔ iː	b iː	t a + ʔ iː	d u + ʔ i	ʔ i	d u + ʔ iː	d u + v ɨi̯	n a + ʔ ui̯
4_cloud	Ø/ə ŋ + ʔ u ʔ	Ø/ə ŋ + ʔ uː ʔ	k ɨ + ʔ uː t	ʔ o ŋ + ʔ uː ʔ	ʔ uː ʔ	ʔ uː t	ʔ a + ʔ u t	Ø/ə ŋ + ʔ u ʔ	ʔ uː t	ʔ uː t	Ø/ə ŋ + ʔ uː ʔ	Ø/ə ŋ + ʔ u	Ø/ə ŋ + ʔ u ʔ	ʔ a + ʔ uː t	Ø/ə ŋ + ʔ u ʔ	Ø/ə ŋ + ʔ u ʔ
50_child	g ɔ n	k oː n	k ɔː n	k ɔː n	k u/w a n		g ɔː n	k ɔː n	k ɔ n + ɲ ɔ m	k u/w a n	k ɔː n	g ɔ n	g ɔ n	g ɔː n	g ɔː n	g ɔː n
51_name	c ɨ	dʑ ɨː	tɕ ɨː		dʑ ɨː	dʑ ɨː	tɕ ɨː	dʑ ɨː	tɕ ɨː	tɕ ɨː	tɕ ɨː	c ɨ	c ɨ	tɕ ɨː	tɕ ɨː	tɕ ɨː
52_roadpath	Ø/ə n + t e ɲ	Ø/ə n + d ɔː n	d e ŋ + d aː ŋ	Ø/ə n + d ɔː n	dʱ eː ŋ	r a + d eː ŋ	Ø/ə n + t eː ŋ	Ø/ə n + d ɔː n		r a + d eː ŋ	Ø/ə n + d ɔ n	Ø/ə n + t e ɲ	Ø/ə n + t e n	Ø/ə n + t eː ŋ	Ø/ə n + t eː ɲ	Ø/ə n + t eː n
53_sew	c i n	dʑ e n	dʑ i ŋ	k a + dʑ ə n	dʑ i ɲ	dʑ e ɲ	tɕ i n	dʑ ə n	tɕ i ŋ	dʑ ɨ ŋ	dʑ ə n	c i ɲ	c i n	tɕ i ŋ	tɕ i ɲ	tɕ i ɲ
54_fire	ŋ ɔ	ŋ ai̯	ŋ ɔ r	ŋ ai̯	ŋ a l	ŋ a r	ŋ ɔː	ŋ ai̯	ŋ a l	ŋ a r	ŋ ai̯ ʔ	ŋ ɔ	ŋ ɔ	ŋ ɔː	ŋ ɔː	ŋ ɔː
55_ashes	b r ɔ + ŋ ɔ	k a + f aː ŋ	k a + f aː ŋ	k a + f aː ŋ	k a + f aː ŋ	k a + f aː ŋ	k a + f aː ŋ	k a + f aː ŋ	k ə + f ɛː ŋ	k a + f aː ŋ	k a + f aː ŋ	b r ɔ + ŋ ɔ	b r ɔ + ŋ ɔ	k a + f aː ŋ	b r ɔ + ŋ ɔː	k a + f aː ŋ
56_smoke	d ă k	ɗ a k	ɗ ɔː k	t a k	ɗ ə k + ŋ a l	ɗ ə k	ɗ a k	t a k	ɗ ɔ ʔ	ɗ ɨ ʔ + ŋ a r	t a k	d ă k	d ă k	ɗ ɔ k + ŋ ɔː	d a k	d a k
57_smell	ɲ̊ ɔ ʔ	ʔ u h	ʔ ui̯ h	ɲ ɔi̯ ʔ	kʰ r ɨ ʔ	k r u/w ə t	kʰ r i t	ɲ ɔːi̯ ʔ	ʔ ui̯ h	kʰ r i ʔ	ɲ ɔi̯ ʔ	ɲ̊ ɔ ʔ	ɲ̊ ɔ ʔ	kʰ r ɔː t	ɲ̊ ɔː ʔ	ʔ u h
58_see	j ə	dʑ eː w	j ɨː	j eu̯	j əː	dʑ əː	dʑ əː	j eu̯	dʑ ɨː	ŋ əː p	j eu̯	j ə	j ə	dʑ ə ɯ	j əɯ̯	j əɯ̯
59_eat	h o m	h oː m	h oː m	h oː m	h ɔ m	h ɔː m	h ɔː m	h o m	h ɔː m	h ɔː m	h oː m	h o m	h o m	h ɔː m	h oː m	h oː m
5_rain	g l ai̯	g l aːi̯	k l ai̯	k l aːi̯	dʑ uː ŋ	dʑ o ŋ	g l aːi̯	k l aːi̯	g l aːi̯	tɕ u ŋ	k l aːi̯	g l ai̯	g l ai̯	g l aːi̯	g l aːi̯	g l aːi̯
60_drink	d i/j a ŋ	tɕ o ŋ	d i/j a ŋ	tɕ o ŋ	ɗ i/j a ŋ	t i/j a ŋ	ɗ i/j a ŋ	tɕ o ŋ	d i/j a ŋ	ɗ i/j a ŋ	tɕ o ŋ	d i/j a ŋ	d i/j a k	ɗ i/j a ŋ	d i/j a ŋ	d i/j a ŋ
61_spit	p ă t	b a t	b ɛ ʔ	b a t	b ai̯ c	b ai̯ c	p ai̯ ʔ + ɓ ai̯ ʔ	b a t	p e ʔ	b ɛ ʔ	b a t	p ă c	p ă t	p a ʔ	p ai̯ c	p e c
62_breathe	h ə̆ k + pʰ ə m	d o h + pʰ eː m	h ə h + pʰ əː m	t o h + pʰ ɛː m	k ə + nˀ ɔ h + pʰ əː m	k a + nʰ ɔ h + pʰ əː m	pʰ əː m + l e h	t o h + pʰ əː m	pʰ əː m	kʰ r i ʔ + pʰ əː m	t o h + pʰ əː m	h ə̆ k + pʰ ə m	pʰ ə m	tʰ ui̯ + pʰ əː m	h ə k + pʰ əː m	h ə k + pʰ əː m
63_laugh	k a + ɲ a h	k ə + ɲ a h	k ə + ɲ ai̯ h	k ə + ɲ a h	dʑ u m	dʑ u m	k a + ɲ a h	k ə + ɲ a h	k a + ŋ i/j a h	j u m	k a + ɲ a h	k a + ɲ a h	k a + ɲ a h	k a n + ɲ a h	k a + ɲ a h	k a + ɲ a h
64_know	n ă p	n ɔ ʔ	n a p	n ɔː ʔ	n a p	n a p	n a ʔ	n ɔː ʔ	n a p	n a p	n aː	n ă p	n ă p	n a p	n a p	n a p
65_fear	j o	dʑ au̯	j oː	j au̯	dʑ oː	j ou̯	dʑ ɔː	j au̯	dʑ oː	dʑ ɔː	j au̯	k a + c u/w a	k a + c u/w a	dʑ oː	j ou̯	
66_sleep	ʔ i t	ʔ i ʔ	ʔ i t	ʔ i ʔ	ʔ i ʔ	ʔ iː t	ʔ i t	ʔ i ʔ	ʔ i t	ʔ i ʔ	ʔ i ʔ	ʔ i ʔ	ʔ i ʔ	ʔ iː t	ʔ iː ʔ	ʔ i ʔ
67_scratch	b ou̯ ʔ	ɓ o k	b o ʔ	p o k	k r aːi̯ ʔ	k r aːi̯ ʔ	k r i/j a ʔ	p o k	b o ʔ	g r aː ʔ	k a + b aː n	b ou̯ ʔ	b ou̯ ʔ	k r i/j a h	b ou̯ ʔ	b ou̯ ʔ
68_die	j ă m	dʑ ɔː m	j a m	dʑ ɔː m	j a m	j a m	j aː m	j ɔ m	dʑ a m	j a m	j ɔ m	j ă m	j ă m	j a m	j a m	j a m
69_sit	t u t	ʔ a k	ŋ oːi̯	ʔ ɔ k	m ɔ ʔ	m o ʔ	m ɔ ŋ	ʔ ɔ k	ŋ oːi̯	m ɔ ʔ	ʔ a k	t u c	t u c	m ɔ ŋ	t ui̯ c	k ɔi̯
6_wind	kʰ u n	kʰ uː	kʰ uː r	kʰ uː	kʰ uː r	kʰ uː r	kʰ uː	kʰ uː	kʰ uː r	kʰ uː r	kʰ uː	kʰ u n	kʰ u n	kʰ uː n	kʰ uː n	kʰ uː n
70_stand	c ɔ ŋ	dʑ a ŋ	dʑ a ŋ	dʑ ɔ ŋ	dʑ a ŋ	dʑ a ŋ	tɕ a ŋ	dʑ ɔ ŋ	tɕ a ŋ	dʑ ə ŋ	dʑ ɔ ŋ	c ɔ ŋ	c ɔ k	tɕ a ŋ	tɕ ɔ ŋ	tɕ ɔ ŋ
71_falltodrop	c ou̯ h	dʑ ɔ h	dʑ ɔ h	dʑ o h	dʑ ɔ h	dʑ o h	tɕ ɔ h	dʑ o h	tɕ ɔ h	dʑ ɔ h	dʑ o h	c o h	c ou̯ h	tɕ o h	tɕ ou̯ h	
72_give	t ai̯ h	d ɛ h	d ɛ h	d ɛ h	d ai̯ h	d ai̯ h	t ɛ h	d ɛ h	d e h	d ɛ h	d ɛ h	t ai̯ h	t ai̯ h	d e h	t ai̯ h	t ai̯ h
73_rubhardwithbothhands	s a + b ɔ ʔ	s ə + b o ʔ	s ə + ɓ ɔː t + ɗ ai̯	tʰ u + tʰ i k	tʰ u + tʰ ei̯ ʔ	d u + d i t	s a + ɓ ɔ ʔ	tʰ u + tʰ iː	tʰ u ʔ + ɗ ai̯	s a + k u/w a ʔ	tʰ u + tʰ iː	s a + b ɔ	s a + b ɔ ʔ	s a + b ɔ t	s a + b ɔː ʔ	s a + b o ʔ
74_cut	k a + k ə̆ p	k e p	k a p	k j a p	g ə p	g ə p	k a p	k i/j a p	k i/j a p	g ə p	k i/j a p	k ə̆ p	k ă p	k a p	k ə p	k ə p
75_dig	g ə̆ h	kʰ u t	l o ʔ	l o k	k əː ŋ	k əː ŋ	g ə h	l o k	l o ʔ	k ə h + ɓ ɨ ŋ	k ə h	g ə̆ h	g ə̆ h	g ə h	g ə h	g ə x
76_burn	d ou̯ ʔ	ɗ o k	ɗ o ʔ	t o k	g uː ʔ	g uː t	ɗ o k	t o k	ɗ o ʔ	g u ʔ	t o k	d ou̯ ʔ	d ou̯ ʔ	ɗ ɔ k	d ou̯ ʔ	d ou̯ ʔ
77_hunt	b a + p r ɛ	l ə p + b j ai̯	k l ɔː + b r ai̯	p ai̯ + t oː	l u/w a ŋ + b r ei̯	k o h + p r iː	kʰ r ɔ h + p r ai̯	l ɛː	l i p + r i ŋ	b i/j a m	j ɨ + t oː	l ɛ + p r ɛ	l ɛ + kʰ ɛ + p r ɛ	k u h + p r ai̯	ŋ au̯ h	l ɨ p + p r ɛː
78_kill	ŋ au̯ h	ŋ ɔ h	ŋ a h	ŋ ai̯ ʔ	ɓ i/j a m	p i/j a m	ŋ a h	ŋ ai̯	ŋ a h	b i/j a m	ŋ ai̯	ŋ au̯ h	ŋ au̯ h	ŋ ɔ h	ŋ au̯ h	ŋ ɔ h
79_one	ʔ u	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː	l u ʔ	ʔ u r	ʔ uː	ʔ u	ʔ u	ʔ uː	l əi̯ h	ʔ uː
7_night	kʰ ɛ + m̥ ə	kʰ a + m̥ eːu̯	kʰ a + m̥ ɯ	k a + s ɛ m	r ə n + m̥ əː	l a p + m̥ əː	kʰ iː + m̥ əɯ̯	k a + s ə m	kʰ iːu̯ + m̥ əɯ̯	r a + m̥ əɯ̯	k a + s ə m	kʰ ɛ + m̥ ə	p a + m̥ ə	kʰ i m + m̥ əɯ̯	kʰ ɛ + m̥ əɯ̯	tɕ u ŋ + m̥ əɯ̯
80_two	ʔ a	ʔ eː	ʔ aː	ʔ ɛː	ʔ aː	ʔ a r	ʔ ɛː	ʔ ɛː	ʔ ɛː	ʔ a r	ʔ aː	ʔ a	h a + ʔ a	ʔ aː	ʔ aː	ʔ aː
81_three	ʔ oi̯	ʔ oːi̯	ʔ oi̯	ʔ oːi̯	ʔ u/w ai̯	ʔ u/w ai̯	ʔ u/w ai̯	ʔ oːi̯	ʔ oi̯	ʔ u/w ai̯	ʔ oi̯	ʔ oi̯	ʔ oi̯	ʔ u/w ai̯	ʔ oːi̯	ʔ oːi̯
82_four	pʰ u/w a n	pʰ oː m	pʰ ɔ n	pʰ oː n	pʰ oː n	pʰ o n	pʰ ɔː n	pʰ oː m	pʰ o n	pʰ o n	pʰ o n	Ø/ə m + pʰ u/w a n	Ø/ə m + pʰ u/w a n	pʰ u/w a n	Ø/ə m + pʰ au̯ n	Ø/ə m + pʰ u/w a n
83_many	k ɨ n	g ɨ n	b r a m	g ɨ n	p ə r + tɕ əɯ̯	s ə p	r i/j a n	g ɨ n	b r a m	b r a m	k ɨ n	k ɨ n	k ɨ n	r i/j a n		
84_long	t o ŋ	d o ŋ	d o ŋ	d o ŋ	l̥ əː ŋ	l̥ əː ŋ	t o ŋ	d o ŋ	d o ŋ	r̥ ə ŋ + r̥ ə ŋ	d o ŋ	t o ŋ	t o k	dʱ o ŋ	t o ŋ	
85_full	n ou̯ ʔ	n o k	n o k	n o k	n au̯ ʔ	n o ʔ	n o k	n o k	n o ʔ	n ɔ ʔ	n o k	n ou̯ ʔ	n ou̯ ʔ	n o ʔ	n ou̯ ʔ	n ou̯ ʔ
86_rightside	n a + ʔ a h	n a + ʔ e h	d u/w a + ʔ ɔi̯ h	ʔ a + ʔ ɛ h	kʰ ɔ n + n a p	kʰ ɔ n + n a p	ʔ a + ʔ ɔ h	ʔ a + ʔ ə h	d i ŋ + ʔ a + ʔ ɔi̯ h	kʰ ɔ n + ʔ i + d a m	ʔ a + ʔ ə h	ʔ a + ʔ a h	ʔ a + ʔ a h	ʔ a + ʔ ɔ h	ʔ a + ʔ a h	n a + ʔ a h
87_leftside	n a + g ă ʔ	n a + k a ʔ	ʔ a + k a ʔ	ʔ a + k a ʔ	kʰ ɔ n + k a + n a p	kʰ ɔ n + k a + n a p	ʔ a + g a ʔ	ʔ a + k a ʔ	ʔ a + k ɛ ʔ	kʰ ɔ n + ʔ i + v eː	ʔ a + k a ʔ	ʔ a + g ă ʔ	ʔ a + g ă ʔ	ʔ a + k a ʔ	ʔ a + g a ʔ	n a + g a ʔ
88_far	t o ŋ	d o ŋ	d o ŋ	d o ŋ	s a + ŋ aːi̯	s a + ŋ aːi̯	t o ŋ	d o ŋ	d o ŋ	s a + ŋ aːi̯	d o ŋ	t o ŋ	n + t o k	d o ŋ	t o ŋ	t o ŋ
89_near	kʰ r i/j a ʔ	Ø/ə n + d ɔ ʔ	d a t	t ə + tɕ ɔ m	d a t	d a t	t a ʔ	k a + tɕ a m	Ø/ə n + d a t	t a + d a ʔ	k a + tɕ a m	kʰ r i/j a ʔ	kʰ r i/j a ʔ	ʔ a + dʱ a t	kʰ r i/j a ʔ	Ø/ə m + t a t
8_year	s a + n ă m	kʰ a + n a m	s a + n ɔ m	s a + n a m	s ə + n ə m	s a + n ə m	s a + n a m	s a + n a m	s ə + n a m	s a + n ə m	s a + n a m	s a + n ə̆ m	s a + n ă m	s a + n a m	s a + n ə m	s a + n ə m
90_this	n ɨi̯	ʔ a + n i n	h a + ʔ ɨ	n iː	ʔ a + n i n	ʔ a + n i n	n a ŋ + ʔ ɨː	ʔ a + n iː	ɗ u + ʔ ɯː	h a + ʔ ɨː	ʔ a + n i	n i	n i	n iː	n ɨi̯	ʔ a + n iː
