Cognate_ID,Anonimo,Apuri,Apurimac,Arma,Atalla,Ayacucho,Azuay,Bobonaza,Cacra-Hongos,Chachapoyas,Chacpar,Chetilla,Chipaya,Curva,Cuzco,CuzquenoAntiguo,Huallaga,Huanca,Huancane,Huangascar,HuarazHuailas,Imbabura,Inkawasi,Iruhito,Jaqaru,Jauja,Kawki,Lamas,Laraos,Lincha-Tana,Maragua,Napo,Pacaraos,Pastaza,Pocona,Puki,Puno,Putumayo,Raimondi,SanPedro,Santiagueno,SantoTomas,Serena,Sullkatiti,Taquile,Tarma,Troje,Tsimu,Wari,Yanac
1033_109_besick,ɔ n k ɔ + n i,o ŋ q u,o n q o + tʃ i,u ŋ χ u,u n ɢ u,o ŋ χ o,,u n g u + tʃ i + n a,,,,,,u n q u,u n q u,u n χ u + n i + n,,,,o ŋ q u,,u n k u,,,,,,u n g u,,o ŋ q u,u n q u,u n g u + tʃ i + n a,,u n g u + n a,u n ʁ u,,u n q u,u n g u,,o ŋ q u,o ŋ q o s,h u n k u + n i,u n g u,,u n q u,,u n g u,,,
1034_66_day,p u n tʃ au,p u n ʈ au,p u tʃ au,p u n tʃ au,p u n tʃ au,p u n tʃ au,p u n ʒ a,p u n dʒ a,p u n ʈ au,p u n tʃ au,,p u n dʒ au,,pʼ u n tʃ ai,pʼ u n tʃ ai,p u n tʃ au,,p u n,,p u n ʈ au,,p u n tʃ a,,,,p u n,,p u n tʃ au,,p u n ʈ au,pʼ u n tʃ ai,p u n dʒ a,,p u n tʃ a,pʼ u n tʃ ai,,pʼ u n tʃ ai,p u n tʃ a,,p u n ʈ au,p u n tʃ au,p u n tʃ au,p u n dʒ a,,pʼ u n tʃ au,,p u n dʒ a,,,
103_122_new,,,,,,,,,,,,,,,,,,,m a tʃ a q a,,,,,,m a tʃ a q a,,m a tʃ a q a,,,,,,,,,m a tʃ a q a,,,,,,,,m a tʃ a q a,,,,,,
105_123_goto,,,,,,,,,,,,,,,,,,,s a r a,,,,,,,,,,,,,,,,,s a r a,,,,,,,,s a r a,,,,,,
106_123_goto,,ai w a,,,,,,,ai w a,,eː w a,,,,,,a w a,,,ai w a,ai w a,,,,,ai w a,,,,ai w a,,,,,,,,,ai w a,ai w a,,,,,,a w a,,,ai w a,eː w a
106_124_cometo,,,,,,,,,,,,,,,,,,,,,,,,,,ai w a + m u,,,,,,,,,,,,,,,,,,,,,,,,
107_106_youngmale,,m a q t a,m a q t a,m a χ t a,m a χ t a,m a χ t a,,,m a q t a,,,,,,,,,,,m a q t a,,,,,,,,,m a χ t a,m a q t a,,,,,,,,,,m a q t a,,,,,,,,,,
109_22_face,,,,,,,ɲ a w i,ɲ a w i,,,,,,,,,,,,,,ɲ a w i,,,,,,,,,,ɲ a w i,,,,,,ɲ a w i,,,,,ɲ a β i,,,,ɲ a w i,,,
109_23_forehead,,,,,,,,,,,,,,,,,,,,,,ɲ a w i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109_25_eye,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,n a w i,ɲ a w i,,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,,ɲ a w i,ɳ a w i,,n a w i,,,ɲ a w i,,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a v i,ɲ a w i,,ɲ a w i,ɲ a w i,ɳ a w i,ɲ a w i,ɲ a w i,ɲ a w i,ɲ a β i,,ɲ a w i,n a w i,ɲ a w i,,ɲ a w i,ɲ a w i
111_25_eye,,,,,,,,,,,,,ʈʂʰ u k i,,,,,,,,,,,tʃ uː k,,,,,,,,,,,,,,,,,,,,,,,,tʃʼ aː χ,,
112_115_lightnotheavy,,,,,,,,,,,,,,,,,,,s u x a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114_90_root,,,,,,,,,,,,ʈʂ u p a,,,,,,,,,,,ʈʂ u p a,,,,,,,,,,,,,,,,,,,,,,,,,,,ʈʂ a p a
115_90_root,,,,,,,,,,,,,,,,,,,,,,,,t u k,,,,,,,,,,,,,,,,,,,,,,,,t oː k a,,
116_90_root,,,,,,,,,,,,,,,,,,,,,,,,,a s u,,a s u,,,,,,,,,,,,,,,,,,,,,,,
118_22_face,,,,,,,,,,,q a χ ʎ a,q a ʁ ʎ a,,,,,q a χ ʎ a,,,,q a q ʎ a,,,,q a x ʎ a,,q a x ʎ a,,,,,,,,,,,,q a ʎ q a,,,,,,,,,,q a ʎ q a,q a q ʎ a
119_22_face,u j a,u j a,u j a,u j a,,u j a,,,,,,,,u j a,u j a,u j a,,,,u j a,,,,,,,,u j a,,,u j a,,,u j a,u j a,,u j a,,,u j a,u j a,o j a,,,u j a,,,,,
120_22_face,r i k tʃ ai,,,,,,,,,,,,,,,r i k tʃ ai,,,,,,,,,,,,,,,,,,,,,,,,,,r i k tʃ a,,,,,,,,
121_22_face,,,,,,,,,,,,,,,,,,,a χ a n u,,,,,,,,,,,,,,,,,,,,,,,,,a χ a n u,,,,,,
122_89_tree,,,,,,,,,,,,,,,,,,,,,,,,p aː r a,,,,,,,,,,,,,,,,,,,,,,,,p a r a,,
124_103_highup,,,,,,,h a w a + p i,h a w a,,,,,,,,,,,,,,,,,,,,,,,,h a w a,,a w a,,,,a w a + p i,,,,,,,,,,,,
129_116_faraway,k a r u,k a ɾ u,k a r u,k a ɾ u,k a r u,k a ɾ u,k a ɾ u,k a r u,k a l u,k a r u,k a r u,k a r u,,k a r u,k a r u,k a r u,k a r u,k a l u,,k a ɾ u,k a ɾ u,k a ɾ u,k a r u,,,k a l u,,k a r u,k a r u,k a ɾ u,k a r u,k a r u,k a ɾ u,k a r u,k a r u,,k a r u,k a r u,k a ɾ u,k a ɾ u,k a ɾ u,k a r o,k a r u,,k a r u,k a ɾ u,k a r u,,k a ɾ u,
12_139_dieto,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u + n a,w a ɲ u + n a,w a ɲ u,w a ɲ u,w a n u,w a ɲ u,,w a ɲ u,w a ɲ u,w a ɲ u + n i,w a ɲ u,w a ɲ u,,w a ɲ u,w a ɲ u,w a ɲ u + n a,w a n u,,,w a ɲ u,,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u + n a,w a ɲ u + k u,w a ɲ u + n a,w a ɲ u,,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u,w a ɲ u + n i,w a ɲ u,,w a ɲ u,w a n u,w a ɲ u,,w a ɲ u,w a ɲ u
130_116_faraway,,,,,,,,,,,,,a z h k i n,,,,,,,,,,,a s k,,,,,,,,,,,,,,,,,,,,,,,,a s k i s,,
131_116_faraway,,,,,,,,,,,,,,,,,,,h a j a,,,,,,h a j a,,h a j a,,,,,,,,,h a j a,,,,,,,,h a j a,,,,,,
134_127_sitto,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ u k a,,,,,,,,,tʃ u k u,,,,,,,,,,,,,,
13_131_eatto,,,,,,,,,,,,,,,,,,,m a n qʼ a,,,,,,,,,,,,,,,,,m a qʼ a,,,,,,,,m a n qʼ a,,,,,,
140_87_fatgrease,,w i ɾ a,w i r a,w i ɾ a,w i r a,w i ɾ a,w i ɾ a,,w i l a,w i r a,w i r a,w i r a,,w i r a,w i r a,,w i r a,w i l a,,w i ɾ a,w i ɾ a,ɸ i ɾ a,w i r a,,,w i l a,,w i r a,w i r a,w i ɾ a,w i r a,,w i ɾ a,,w i r a,,w i r a,w i r a,w i ɾ a,w i ɾ a,w i ɾ a,w i r a,i r a,,w i r a,w i ɾ a,w i r a,,w i ɾ a,w i r a
144_87_fatgrease,,,,,,,,,,,,,,,,,,,l i kʼ i,,,,,,n i kʼ i,,ɲ i kʼ i,,,,,,,,,l i kʼ i,,,,,,,,l i kʼ i,,,,,,
147_53_egg,,,,,,,,,,,,,z i ɲ i,,,,,,,,,,,ʃ i ɲ i,,,,,,,,,,,,,,,,,,,,,,,,s iː ɲ a,,
14_139_dieto,,,,,,,,,,,,,,,,,,,h i w a,,,,,,h i w a,,h i w a,,,,,,,,,h i w a,,,,,,,,h i w a,,,,,,
150_13_lefthandside,,,,,,,,,,,,,,,,,,,tʃʼ i q a,,,,,,ʈʂʼ i q a,,tsʼ i qʼ a,,,,,,,,,tʃʼ i q a,,,,,,,,tʃʼ i q a,,,,,,
151_93_grass,,,,,,,j u j u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j u j u,,,,,,,,,
152_42_fingernail,s i ʎ u,s i ʎ u,s i ʎ u,s i ʎ u,s i ʎ u,s i ʎ u,ʃ i ʎ u,ʃ i ʎ u,s i ʎ u,ʃ i dʑ u,ʃ i ʎ u,ʃ i dʒ u,,s i ʎ u,s i ʎ u,s i ʎ u,ʃ i ʎ u,ʃ i ʎ u,,s i ʎ u,ʃ i ʎ u,s i ʎ u,s i ʒ u,,,ʃ i ʎ u,,ʃ i dʑ u,ʃ i ʎ u,s i ʎ u,s i ʎ u,ʃ i ʎ u,ʃ i l u,ʃ i ʎ u,s i ʎ u,,s i ʎ u,s i ʎ u,ʃ i ʎ u,s i ʎ u,s i ʒ u,s i ʎ o,s i ʎ u,,s i ʎ u,ʃ i l u,s i ʒ u,,ʃ i ʎ u,ʃ i ʎ u
153_88_seed,,,m u χ u,,m u x u,,,,,,,,,m u x u,m u x u,m u h u,,m u h u,,,,,,,,m u h u,,,,,m u h u,,,,m u h u,,m u x u,,,,,m o h o,,,m u x u,,,,,
154_119_dry,,,,,,,,,,,,,,,,,,,,,,,,,tʃ aː k i,,tʃ a k i,,,,,,,,,,,,,,,,,,,,,,,
155_8_eight,,,,,,,,,,,,,,,,,,,,,,,,k o n k o,,,,,,,,,,,,,,,,,,,,,,,,k u n k u,,
157_79_sand,,,,,,,,,,,,,pʰ i l a,,,,,,,,,,,p iː l a,,,,,,,,,,,,,,,,,,,,,,,,tʼ iː r a,,
158_75_fire,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,,n i n a,n i n a,n i n a,n i n a,n i n a,,n i n a,ɲ i ɲ a,n i n a,n i n a,,,n i n a,,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,n i n a,,n i n a,n i n a,ɲ i ɲ a,n i n a,n i n a,n i n a,n i n a,,n i n a,n i n a,n i n a,,ɲ i ɲ a,n i n a
15_110_tire,,,,,,,,,,,,,,,,,,u t i k a,,,,,,,,u t i k a,,,,,,,,,,,,,,,,,,,,,,,,
160_75_fire,,,,,,,,,,,,,,,,,,,,,,,,uː χ,,,,,,,,,,,,,,,,,,,,,,,,oː χ i,,
162_60_name,,,,,,,,,,,,,tʰ uː,,,,,,,,,,,t uː,,,,,,,,,,,,,,,,,,,,,,,,t uː χ,,
163_83_wind,,,,,,,,,,,,,,,,,,,,,,,,,w au j a,,w au j a,,,,,,,,,,,,,,,,,,,,,,,
164_70_star,,,,,,,,,,,,,,,,,,,,,,,,ts a q o l,,,,,,,,,,,,,,,,,,,,,,,,ts a k uː ɲ a,,
166_74_mountain,,,,,,,,,,,,,,,,,,,,,,,,,q aː q a,,q a q a,,,,,,,,,,,,,,,,,,,,,,,
167_5_five,p i tʃ χ a,p i tʃ q a,p i s k a,p i tʃ χ a,p i tʃ χ a,p i tʃ χ a,p i tʃ k a,p i tʃ k a,p i tʃ q a,p i tʃ k a,p i ts q a,p i tʃ ʁ a,,p i tʃ q a,p i s q a,p i tʃ χ a,p i tʃ q a,p i tʃ ʔ a,,p i tʃ q a,p i ts q a,p i ʃ k a,,,,p i tʃ ʔ a,,p i tʃ k a,p i tʃ q a,p i tʃ q a,p i ʃ q a,p i tʃ k a,p i s ʁ a,p i tʃ k a,pʰ i ʃ ʁ a,,p i s q a,p i tʃ k a,p i ts q a,p i tʃ q a,p i ʃ q a,p i χ k a,p i tʃ k a,,p i s q a,p i tʃ χ a,p i tʃ k a,,p i ts q a,p i ts q a
169_5_five,,,,,,,,,,,,,,,,,,,,,,,,t a s k n uː k uː,,,,,,,,,,,,,,,,,,,,,,,,t a s n uː,,
171_74_mountain,,,q i r k a,,,,,,,,,,,,,,h i r k a,,,,x i ɾ k a,,,,,,,,,,,,x i ɾ k a,,,,,,x i ɾ k a,,,,,,,x i ɾ k a,,,x i ɾ k a,
174_73_river,,,,,,,,,,,,,w i w i,,,,,,,,,,,w eː w eː,,,,,,,,,,,,,,,,,,,,,,,,w iː w i,,
175_94_flower,s i s a,s i s a,,s i s a,,,s i s a,s i s a,h i s a,,,,,,,s i s a,,s i s a,,s i s a,,s i s a,,,,s i s a,,s i s a,,s i s a,,s i s a,,s i s a,,,,,,s i s a,s i s a,s i s oi,s i s a,,,,s i s a,,,
176_94_flower,i n k i ʎ,,,,,,,,,,,,,,,i n χ i ʎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177_94_flower,,w ai t a,w ai t a,w ai t a,w ai t a,w ai t a,,,w ai t a,w ai t a,,,,,,,,w ai t a,,w ai t a,w ai t a,,,,,w ai t a,,,w ai t a,w ai t a,,,w ai tʃ a,,,,,,w ai t a,w ai t a,,,,,,w ai t a,,,w ai t a,w eː t a
178_71_shadow,,,,,,,,,,,,,,,,,,,,,,,,,h u n kʼ a,,h u n kʼ i,,,,,,,,,,,,,,,,,,,,,,,
179_94_flower,,,,,,,,,,,t u k t u,t u k t u,,,,,t u k t u,,,,,,t u k t u,,,,,,,,,,,,,,,t u x t u,,,,,,,,,,,,
180_77_ash,,,,,,,,,,,,,,,,,,,qʰ i ʎ a,,,,,k i ʎ a,qʰ i ʎ p i,,qʰ i ʎ p i,,,,,,,,,qʰ i ʎ a,,,,,,,,qʰ i ʎ a,,,,k iː ʎ a,,
185_94_flower,,,t i k a,,,,,,,,,,,tʼ i k a,tʼ i k a,,,,,,,,,,,,,,,,tʼ i k a,,,,tʼ i k a,tʼ i k a,tʼ i k a,,,,,,,,tʼ i k a,,,,,
187_53_egg,,,,,,,ɾ u r u,,,,,r u r u,,,,,,,,,ɾ u ɾ u,,,,,l u l u,,,,,,,ɾ u ɾ u,,,,,,,,,r u r u,,,,!ʐ/r u r u,,,,
188_129_flyto,p a w a + n,p a w a,p a w a,p a w a,p a w a,p a w a,,,p a w a,p a w a,,,,,pʰ a w a,p a w a + n i,,,,p a w a,,,,,,,,p a w a,p a w a,p a w a,pʰ a w a,,,p a w a + n a,pʰ a w a,,,,,p a w a,p aː,p a w a + n i,,,pʰ a w a,,,,,
190_129_flyto,,,,,,,,,,,,,,h a l a + tʃ a,,,,,h a l a,,,,,,,,,,,,,,,,,χ a l a,h a l a + n t a,,,,,,,,,,,,,
191_129_flyto,,,,,,,,,,,,,,,,,,,,,,,,,h a x + p t a,,h a x + p t a,,,,,,,,,,,,,,,,,,,,,,,
193_94_flower,,,,,,,,,,,,,p a qʰ a ʎ a,,,,,,p a n q a r a,,,,,p a n k a r a,,,,,,,,,,,,,,,,,,,,p a n q a r a,,,,,,
194_102_big,h a t u n,h a t u n,h a t u n,h a t u ŋ,h a t u n,h a t u ŋ,h a t u n,h a t u n,h a t u n,a t u n,h a t u n,a t u n,,a tʰ u n,h a t u n,h a t u n,h a t u n,h a t u n,,h a t u n,h a t u n,x a t u n,a t u n,,,h a t u n,,a t u n,h a t u n,h a t u n,h a t u n,h a t u n,x a t u ŋ,a t u n,h a t u n,,h a t u n,a t u n,h a t u n,h a t u n,a t u n,a t u n,a t u n,,a tʰ u n,χ a t u ŋ,h a t u n,,h a t u n,a t u n
194_103_highup,,,,,,,,,,,,,,,,,,,,,,x a t u n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196_105_youngfemale,,,,,,,,,,,,,,,,,w a n k a ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196_106_youngmale,,,,,,,,,,,,,,,,,w a n k a ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198_93_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u x s a,,,,,,,,,,,,
198_94_flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pʼ oː χ s a,,
199_36_foot,,,,,,,,,,,,,,,,,,,k a j u,,,,,,k a j u,,k a j u,,,,,,,,,k a j u,,,,,,,,k a j u,,,,,,
199_37_leg,,,,,,,,,,,,,,,,,,,k a j u,,,,,,k a j u,,k a j u,,,,,,,,,,,,,,,,,,,,,,,
19_47_dog,a ʎ k ɔ,a ʎ q o,a ʎ q o,a ʎ χ u,a ʎ χ u,a ʎ χ o,a ʎ k u,a ʎ k u,a ʎ q o,a dʑ k u,a ʎ ʁ u,a tʃ ʁ u,,a l q u,a l q u,a ʎ k u,a ʎ q u,a ʎ ʔ u,,a ʎ q o,a ʎ q u,a ʎ k u,a ʒ ʁ u,,,a ʎ ʔ u,,a dʑ k u,a l q u,a ʎ q o,a l q u,a ʎ k u,a l χ o,a ʎ k u,a l ʁ u,,a l q u,a l k u,a ʎ q u,a ʎ q o,a ʒ q o,a ʎ q u,a ʎ k u,,a l q u,a l χ o,a ʒ k u,,a ʎ q u,a ʎ q u
202_93_grass,,q e w a,,,,,k i w a,k i w a,q !e/i w a,k i w a,,q i w a,,,,,q e w a,h i w a,,q e w a,q e w a,x i w a,χ i w a,,,q i w a,,k i w a,q i w a,q e w a,,k i w a,χ e w a,k i w a,,,,,q e w a,q e w a,,,k i w a,,,χ e w a,kʰ i w a,,q e w a,
204_133_biteto,,,k a tʃ u,k a tʃ u,k a tʃ a,,,,,,,,,,,,,,,,,,,,,,,,k a ʈʂ u,,,,,,,,,,,,,,,,,,,,,
205_91_branch,,,p a ʎ q a,,,,,p a ʎ k a,,,,,,,,,,,,,,,,,,,,,,,,p a ʎ k a,,,,,,,,,,p a ʎ k a,p a ʎ k a,,,,,,,
206_91_branch,t a n k a,,,,,,t a n k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207_23_forehead,m a t i,,m a t i,,,,m a t i,,,,,,,m a tʼ i,m a tʼ i,m ai t i,,,,,,,,,,,,,,,,,,,,,m a tʼ i,,,,,m a r t i,,,m a tʼ i,,,,,
209_23_forehead,,,,u ɾ k u,u r k u,u ɾ k u,,,,u r k u,u r k u,u r k u,,,,,u r k u,u l k u,,,u ɾ k u,,u r k u,,,u l k u,,u r k u,,,,,,,,,,,u ɾ k u,,,,,,,,,,u ɾ k u,u r k u
210_23_forehead,,p a q ʈ a,,,,,,,p a q ʈ a,,,,,,,,,p a ʔ ʈʂ a,,p a q ʈ a,,,,,,p a ʔ ʈʂ a,,,p a q ʈʂ a,p a q ʈ a,,,,,,,,,,p a q ʈ a,,,,,,,,,,
211_23_forehead,,,,,,,,,,,,,a j a,,,,,,,,,,,aː j a,,,,,,,,,,,,,,,,,,,,,,,,,,
215_52_louse,,,,,,,,,,,,,,,,,,,,,,,l i s u,,,,,,,,,,,,,,,,,,,,,,,,,,,
216_134_suckto,tʃ ɔ m k a + n i,,tʃ o n q a,,,,s u n g a + n a,,,,,,,tʃʼ u n q a,tʃʼ u n q a,tʃ u m χ a + n i,,,,,,,,,,,,,,,tʃʼ u n q a,ts u n g a + n a,,ts u n g a + n a,tʃʼ u n ʁ a,,tʃʼ u n q a,,,,tʃ o ŋ q a,tʃʼ u n q a,ts u n g a,,tʃʼ u n q a,,,,,
