Cognate_ID	Dayang	Jiulong	Lanping	Longxi	Mianchi	Niuwozi	Qinghua	Taoba	Taoping	Wadu	Yonghe
130_new		s ə ⁵⁵ + p a ⁵⁵	ʂ i ¹³ + ʂ i ¹³	tɕʰ í/i	s í/i	ʃ i ᴿ/¹⁵	ʂ i ¹³ + ʂ i ¹³	ɕ i ⁵⁵ + ɕ i ⁵⁵ + m ə ⁵³	tsʰ i ⁵⁵		s ɨ́/ɨ
132_nose		ȵ̊ ĩ ¹¹ + g õ ³⁵	x i/j ɛ̃ ¹³ + dʒ õ ⁵⁵	t ì/i + b á/a + q ə̀/ə	n ə̀/ə + q ɛ́/ɛ + p ì/i	n̥ i ᴸ/¹ + dʒ j õ ᴴ/⁵	x i/j ɛ̃ ¹³ + dʒ õ ⁵⁵	n̥ ə ³⁵ + ɣ i/j ã ⁵³	χ ȵ i ³¹ + q o ⁵⁵ + p ə ³³		t ə̀/ə + q ɑ́/ɑ + p ù/u
133_obstruct		x a ¹¹ + ʐ o ⁵⁵	kʰ ə ¹³ + ʐ a ⁵⁵							ɐ̀/ɐ + ʐ w ĩ́/ĩ	ɦ æ̀/æ + ʑ w ǽ/æ
134_obtain						r i ᴿ/¹⁵				ɻ ĭ/i	
136_open		kʰ ɯ ¹¹ + pʰ o ⁵⁵			pʰ ə́˞/ɚ			kʰ ə ³⁵ + pʰ a ⁵³	pʰ ʐ a ⁵⁵		
139_owl				ỳ/y + kʰ ù/u	k u ì/i + t ò/o ŋ + kʰ ò/o						m ǽ/æ + kʰ w ì/i
13_bloom				t ə̀/ə + p á/a	p ɛ̀/ɛ		t ə ⁵⁵ + p ɐ ⁵⁵				t ə̀/ə + p á/a
141_pantstrousers								ʑ ɨ ³⁵	i ɑ ³¹ + ʃ ɿ ³³	ʑ ə̆/ə	
144_patchv	ɸ pʰ y ĕ/e	pʰ a ¹¹ + l a ¹¹ + d e ³⁵	x ə ¹³ + s pʰ ɛ ¹³			pʰ e ᴿ/¹⁵	x ə ¹³ + f pʰ ɛ ¹³	x ə ³⁵ + pʰ i/j ɛ ³⁵	χ p e ³³		
145_penis				l i/j à/a + q ə̀/ə	l i/j à/a + q ɛ̀/ɛ						l ĭ/i
146_peopleclan				m à/a	m à/a				χ m a ³³		m ə̌/ə ʴ/ɹ
148_pig	tʃʰ ɥ ă/a	tɕ y ə ³⁵	pʰ ʃ ɑ ¹³	p i/j à/a	p i/j à/a	tʃʰ ɥ ǎ/a ᴿ/¹⁵	pʰ ʒ ɑ ¹³	tɕ y ɛ ³⁵	p a ³³	tɕʰ w æ̆/æ	p æ̆/æ
14_blow	m̥ ə̃̌/ə̃	t o ³⁵	pʰ u ⁵⁵ + p y ⁵⁵	pʰ ú/u		m̥ u ᴿ/¹⁵		x ə ³⁵ + m̥ ə ³⁵	pʰ ə ³³	m̥ ə̀/ə	
151_plown		t ũ ³⁵	t ɑ̃ u ⁵⁵	t ò/o	t ò/o + k è/e						t ù/u + k w ǽ/æ
155_price	pʰ ŭ/u	pʰ y ⁵⁵ + q o ⁵⁵		pʰ ù/u	pʰ ɛ̀/ɛ	pʰ ʴ/ɹ ʉ ᴿ/¹⁵	pʰ u ¹³	pʰ u ³⁵	pʰ ə ³³	pʰ ʉ̆/ʉ	
156_priest				s ɨ̆/ɨ + p í/i	p í/i						
157_pus	ɸ p ɨ̆/ɨ	p u ⁵⁵	f p y ¹³	p ù/u	p ù/u		s p y ¹³				
158_raw			s ə ⁵⁵ + s ə ⁵⁵				s ə ⁵⁵ + s ə ⁵⁵	s ə ⁵⁵ + s ə ⁵⁵ + m ə ⁵³	ʂ e ⁵⁵		
159_red	ȵ é/e		ȵ ø ⁵⁵	ɕ í/i	n ə́/ə	n e ᴴ/⁵	ȵ ø ⁵⁵	ȵ ɛ ⁵⁵ + m ə ⁵³	χ ȵ i ³¹ + ȵ i ³³		x í/i
15_bone	r ɑ́/ɑ + q ɑ̆/ɑ	ʐ ɑ ¹¹ + q ɑ ⁵⁵	ʐ ɑ ⁵⁵ + q ɑ ¹³	ɹ à/a + k á/a	ʐ æ̀/æ + ʁ o ù/u	ɹ ɜ ᴸ/¹ + k ɑ ᴴ/⁵	ʐ ɑ ⁵⁵ + q ɑ ¹³	r ɛ ³⁵ + k a ⁵³	ʐ ɑ ³¹ + k i/j e ³³	ɹ à/a + q á/a	ɦ à/a ʴ/³⁵ + k j ɛ́/ɛ
165_rinseflush			tʃʰ õ ⁵⁵		ʈʂʰ u á/a						
166_rope	b ʐ ẽ̌/ẽ		b ʐ ə̃ ¹³		b ʐ è/e	b ʴ/ɹ j ẽ ᴿ/¹⁵	b ʐ ə̃ ¹³	b ʐ ẽ ³⁵	b ʐ e ³³	ɖʐ w ẽ̌/ẽ	
167_seed		l ɛi ³⁵	l a ⁵⁵	dz u/w e ì/i			l a ⁵⁵	l e ³⁵	z u/w ə ³¹ + z ɑ ²⁴¹	l ɛ̌j/ɛi	
168_separatev		kʰ ə ¹¹ + kʰ e ⁵⁵ + n ə ¹¹ + ʃ i ¹¹	x ə ¹³ + kʰ e ⁵⁵								
169_separatesever				q á/a + tsʰ é/e	k i è/e + k á/a						
16_bowl			kʰ u/w ɑ ¹³			kʰ w ɑ ᴿ/¹⁵	kʰ u/w ɑ ¹³	kʰ u/w a ³⁵		qʰ w ɑ̆/ɑ	
170_sew			ɖʐ i ¹³	ɹ à/a + í/i	ʐ ì/i	ɖʐ i ᴿ/¹⁵			ʐ i ³¹ + ʐ i ³¹	ɖʐ ĭ/i	z ɨ̆/ɨ + j í/i
171_sharpengrind				s ù/u	s ù/u	s u ᴿ/¹⁵	kʰ ə ¹³ + s yi ¹³	kʰ ə ³⁵ + s ui ³⁵	s u/w ə ⁵⁵		
172_sheep	z ʒ o ṹ/ũ	ʒ õ ³⁵	ʒ ɑ̃ u ⁵⁵	i ó/o	i o ú/u	ʐ õ ᴴ/⁵	ʒ ɑ̃ u ⁵⁵	ʐ ã ⁵⁵		ʐ ṍ/õ	
175_shit	χ q á/a	q ɛi ⁵⁵	x q a ⁵⁵	tsʰ ə̀/ə	tɕʰ ɛ́/ɛ	k ɜj/ɜi ᶠ/⁵¹	s q a ⁵⁵	x e ⁵³	tʃʰ ɿ ⁵⁵		ʂ ɨ́/ɨ
176_shoe		ts ui ³⁵	ts yi ¹³				ts yi ¹³	tɕ yi ³⁵			
177_shootv			kʰ ə ¹³ + ʈʂʰ ɑ ⁵⁵	qʰ ò/o	ʈʂʰ à/a	kʰ ʴ/³⁵ ɑ̆/ɑ	kʰ ə ¹³ + ʈʂʰ ɑ ⁵⁵	kʰ ə ³⁵ + ʈʂʰ a ³⁵	qʰ a ³³	ʈʰ æ̆/æ	
17_breakviofrope				b à/a	pʰ ɚ̆/ə˞		tʰ ə ¹³ + p ʐ ɛ ¹³	t ə ³⁵ + b ʐ ɛ ³⁵	b ʐ e ³³		
180_silver	ŋ o ṹ/ũ	ŋ ɯ̃ ³⁵	ŋ ɑ̃ u ⁵⁵	ŋ ú/u	ŋ ó/o	j õ ᴴ/⁵	ŋ ɑ̃ u ⁵⁵	ȵ õ ⁵⁵	χ ŋ u ⁵⁵	ŋ ṍ/õ	w ú/u
181_sinew				dz ɨ̆/ɨ	dʑ ɛ̀/ɛ			ɖʐ u ⁵³	ɖʐ ʅ ²⁴¹		ɖʐ í/i
182_sitdown		n ə ⁵⁵ + dz ə̃ ⁵⁵	n ə ¹³ + dz i/j ɛ̃ ⁵⁵	ɦ à/a + z ú/u	dz ó/o	dz õ ᴴ/⁵	n ə ¹³ + dz i/j ɛ̃ ⁵⁵	n ə ³⁵ + dz i/j ã ⁵⁵	dz o ³³	n ə̀/ə + dz ṍ/õ	
183_sitonhatchegg								t ə ⁵⁵ + ȵ i ⁵³	χ n e ⁵⁵		
184_skin	r ə̀/ə + ʃ tʃ ɨ̆/ɨ	ʐ ɿ ³⁵		ɹ à/a + p i/j à/a	ʐ à/a + p i/j á/a	ɹ ə ᶠ/⁵¹	ʐ ɤ ¹³	r ə ⁵³	tʃʰ ɿ ³¹ + p a ³³		ɦ æ̀/æ + p ǽ/æ
185_sleep		kʰ ɯ ¹¹ + ʑ ɯ ⁵⁵	n ə ¹³ + ʒ ə ¹³	m à/a + z è/e			n ə ¹³ + ʒ ə ¹³	kʰ ə ³⁵ + ʑ i ³⁵		ʑ ə̆/ə	
186_small			q a ¹³ + ts ɛ ¹³	ts ù/u	ts ù/u	k ɜ ᴸ/¹ + ts ɜj/ɜi ᴿ/¹⁵	q a ¹³ + ts ɛ ³⁵	k a ³⁵ + ts e ³⁵ + m ə ⁵³		qʰ ɐ + ts ɛ̌j/ɛi	ts ə̆/ə
187_snake		b u ¹¹ + ʐ ɛi ⁵⁵	b ɐ ¹³ + ʐ ɑ ⁵⁵		b ʐ ĕ/e		b ɐ ¹³ + ʐ ɑ ⁵⁵	b ɐ ³⁵		b ʉ + ɻ ɛȷ́/ɛi	
189_snivel					n ə̀/ə	n̥ ɑ̃ ᴿ/¹⁵					
18_bridge		dz ã ³⁵	dz i ɑ̃ u ¹³			dz õ ᴿ/¹⁵	dz i ɑ̃ u ¹³	dz ã ³⁵			
191_snow		p y ⁵⁵	f p y ⁵⁵	m ù/u + p à/a	p e ì/i	p ʉ ᶠ/⁵¹	s p y ⁵⁵	p ʉ ⁵³	χ p ɑ ³¹ + tʰ u ³³	p ʉ	p ɔ̆/ɔ
193_soldier				g u/w à/a	dʑ y/ɥ è/e				ɖʐ u/w e ²⁴¹		
196_soup	r ã̌/ã		ʂ ɑ ¹³ + ʐ ã ⁵⁵		ʐ ɛ́/ɛ		ʂ ɑ ¹³ + ʐ ã ⁵⁵	r ɛ̃ ⁵⁵			
198_spitv		t ɯ ⁵⁵ + pʰ ə ⁵⁵	t ə ⁵⁵ + f pʰ ɛ ¹³				t ə ⁵⁵ + s pʰ ɛ ¹³	pʰ ø ³⁵	pʰ e ³³	pʰ ɐ̀/ɐ	s ə́/ə + pʰ ɛ̀/ɛ
199_splashsprinkle		p ʐ ɛ̃ ⁵⁵	p ʂ ɛ ¹³	pʰ à/a	pʰ ɛ̀/ɛ						
1_answerreplyv			t ə ¹³ + g ui ³⁵ + s k i ⁵⁵	g u/w à/a					χ g y/ɥ e ³³		
201_stab			tsʰ u ⁵⁵	tɕʰ í/i	tsʰ o ú/u						
203_star	ɖ ɨ̆/ɨ	ɖʐ ɿ ³⁵	ɖʐ ə ¹³	z ɨ̆/ɨ + b à/a	ɖʐ ɛ̀/ɛ	g ʴ/ɹ ə ᴿ/¹⁵	ɖʐ ə ¹³	ɖʐ ə ³⁵	χ ɖʐ e ³³ + p e ⁵⁵	ɖ ə̆/ə	ɖʐ ɨ́/ɨ
204_sticky				z à/a	p i/j à/a + dz à/a						
206_stone		g u o ¹¹ + l ũ ⁵⁵	z g ø ¹³	g ò/o		g ʉ ᴸ/¹ + b õ ᴴ/⁵	s g ø ¹³			g ʉ̀/ʉ + ɖ ó/o ŋ	
207_straight		t ə ¹¹ + t u ⁵⁵	s t u ⁵⁵	t í/i			s t u ⁵⁵	t u ⁵⁵ + m ə ⁵³	χ t ə ⁵⁵		
209_strength			q a ¹³	q ú/u	ɖʐ à/a + q à/a		q a ¹³	k a ³⁵	ɖʐ ɿ ²⁴¹	q ɐ̆/ɐ	q ŭ/u
20_bundle				q u è/e	q u/w à/a						
210_stretch		kʰ ɯ ¹¹ + ʂ ã ⁵⁵ + l a ¹¹	kʰ ə ¹³ + ʃ tʃ õ ⁵⁵	tsʰ í/i	ʈʂʰ ɨ̆/ɨ		kʰ ə ¹³ + s tʃ õ ⁵⁵		s ɿ ³¹ + ʈʂʰ i ⁵⁵		h ə̀/ə + ʈʂʰ ə́/ə
211_sun		b i ³⁵	b y ⁵⁵			b ɨ ᴴ/⁵	b y ⁵⁵	b ʉ ⁵³		b ʉ́/ʉ	
212_sweat	ʃ tʃʰ í/i		s kʰ i ⁵⁵		ʈʂʰ ù/u		s kʰ i ⁵⁵		χ ʈʂ u/w ə ⁵⁵		tɕʰ w í/i
213_tail	m ə́/ə + ɬ y/ɥ é/e	m ã ³⁵	m ɐ ¹³ + ɬ i/j ɛ ⁵⁵	s u/w à/a + k à/a	s u/w à/a + k è/e		m ɐ ¹³ + ɬ i/j ɛ ⁵⁵	m ɐ̃ ³⁵ + ɬ i o ⁵³			s ù/u + k j ɛ́/ɛ
214_teach	s w ĩ́/ĩ					s ʉ ᴴ/⁵ + s ɥ ɛ̃ ᴸ/¹					ɕ w í/i
215_temple			ɕ e ⁵⁵ + tʃ ə̃ ⁵⁵				ɕ e ⁵⁵ + tʃ ə̃ ⁵⁵				
217_thick	ɣ ɑ̆/ɑ	l ɑ ³⁵		l i/j à/a	l i/j à/a	ɣ ɑ ᴿ/¹⁵	ɣ a ¹³	ɣ a ¹³	l i/j e ³³	ɦ ɑ̆/ɑ	l æ̆/æ
218_thicksticky		dz u ³⁵					dz y ¹³	dz u ³⁵ + m ə ⁵³			
221_todo						p ɑ ᶠ/⁵¹				p ʉ́/ʉ	
222_toexist		ʑ e ³⁵	ʒ ø ¹³	j ì/i	ʑ ì/i		ʒ ø ¹³	ʑ ɛ ³⁵	ʒ ɿ ³³	ʑ ĭ/i	
223_tohammer							x ə ¹³ + s t ɑ ¹³	x ə ³⁵ + t a ³⁵		t ɑ̆/ɑ	
224_tongue		ɬ ə ⁵⁵	ɬ i/j e ⁵⁵ + qʰ o ⁵⁵	z ə̀/ə + q ə̀/ə	z ɨ̆/ɨ + q é/e	l̥ e ᴴ/⁵	ɬ i/j e ⁵⁵ + qʰ o ⁵⁵	ɬ i/j ɛ ⁵³	z ɿ ³¹ + q ə ⁵⁵		z ɨ̆/ɨ + q ə̀/ə
225_tooth	ʂ óu/ou	x ui ⁵⁵	ʂ y ⁵⁵	s ù/u		ɹ̥ ʉ ᶠ/⁵¹	ʂ y ⁵⁵	ʂ u ⁵³	s u/w ə ⁵⁵	ɻ̥ ʉ́/ʉ	ɕ w í/i
226_tread			n ə ¹³ + ʈʂʰ ɯ ¹³	tɕʰ u/w à/a + ȵ í/i	tɕʰ y/ɥ à/a		n ə ¹³ + ʈʂʰ ɯ ¹³	n ə ³⁵ + tɕʰ o ⁵⁵	tɕʰ y a ³¹		tsʰ w æ̀/æ + ȵ w í/i
227_tree		s ẽ ¹¹ + b ũ ⁵⁵	s i/j ɛ̃ ¹³ + v b õ ⁵⁵	ɕ ì/i + pʰ ù/u	pʰ ò/o		s i/j ɛ̃ ¹³ + s b õ ⁵⁵		pʰ o ⁵⁵	b ó/o ŋ	pʰ ú/u
228_triphammerforhullingrice	ʃ tʃ ĭ/i		ʃ tʃ i ¹³	tʰ i ò/o							
232_urine	β b ĩ́/ĩ			b í/i	b i ĕ/e	b i/j ẽ ᶠ/⁵¹			b i/j e ²⁴¹	b ĩ̂/ĩ	
234_vapor				l ə̀/ə	l è/e						
237_wait			x ə ¹³ + l i õ ⁵⁵ + k u ⁵⁵								ʑ ì/i + l w í/i
238_warmselfbyfire		m a ³⁵ + ɬ ə̃ ⁵⁵	m ɐ ¹³ + l ɛ̃ ⁵⁵	m ù/u + l é/e			m ɐ ¹³ + l ɛ̃ ⁵⁵	m a ³⁵ + l i/j ã ⁵⁵			
23_cat		m u ¹¹ + ȵ i ⁵⁵		m á/a ȵ ú/u		m ɜ ᴸ/¹ + ts ɨ ᴿ/¹⁵	m ɐ ¹³ + ts ə ⁵⁵	m ɐ ³⁵ + ts ə ⁵⁵	m a ³¹ + ȵ y ⁵⁵		m æ̀/æ + ȵ w í/i
240_weave	ʈʂ ɒ̆/ɒ		tʃ ɑ ¹³	tɕ à/a	t i/j à/a			n ə ³⁵ + tɕ ɛ ³⁵	t i/j a ³³	tɕ æ̆/æ	t æ̆/æ
241_weep		k u ɛ ⁵⁵	χ q u/w ɑ ⁵⁵	ŋ ú/u		k w ɜj/ɜi ᴴ/⁵	s q u/w a ⁵⁵	x u/w e ⁵⁵	ŋ ə ⁵⁵	q w é/e	
242_weigh								t ə ⁵⁵ + tɕ ɛ ⁵³	tɕʰ e ⁵⁵		
243_weighfood		t ɯ ⁵⁵ + k e ⁵⁵	t ə ⁵⁵ + tɕ i ⁵⁵								
246_white	pʰ ʂ ẽ́/ẽ	pʰ ʐ ĩ ⁵⁵ + l ø ⁵⁵ + l ø ¹¹	pʰ ʂ ə̃ ⁵⁵	pʰ é/e	p ʂ í/i	pʰ ʴ/ɹ ĩ ᴴ/⁵	pʰ ʐ ə̃ ⁵⁵	pʰ ʐ ã ⁵⁵ + m ə ⁵³	p ʐ i ⁵⁵	ʈʰ ṍ/õ	pʰ j í/i
247_who			x ɛ ⁵⁵	s ɨ́/ɨ	ʂ í/i + l è/e	x ɜ ᴴ/⁵	x ɛ ⁵⁵	x ɛ ⁵⁵	s ɨ ⁵⁵	h ĩ̂/ĩ	s ɨ́/ɨ
248_widebroad	ɸ p ə́/ə w	p o ⁵⁵	f p o ⁵⁵				s p o ⁵⁵	p o ⁵⁵ + m ə ⁵³		p ú/u H/⁵	
24_cave		ʐ ə ¹¹ + p u ⁵⁵									ɦ ɑ̀/ɑ + p ú/u
251_write				ɹ à/a	ɕ à/a	ɖʐ ʉ ᴿ/¹⁵				ɖ ʉ̆/ʉ	
252_yawn		x ɑ ¹¹ + x e ¹¹		h à/a + h á/a + p ù/u	χ à/a + p ú/u					h ɑ̀/ɑ + ɕ ə̀/ə	
253_year	p ɨ̆/ɨ	p i ⁵³	p ə ¹³	p ù/u	p ù/u		p ə ¹³	p u ⁵³	p ə ³³	p ʉ̀/ʉ	
27_chop			tʰ ə ¹³ + ʃ tʃ ɑ ⁵⁵	tsʰ u á/a + d à/a	tsʰ o ú/u + t i/j à/a		tʰ ə ¹³ + s tʃ ɑ ⁵⁵		tsʰ u/w ɑ ⁵⁵		tsʰ w ɑ́/ɑ + t ɛ̀/ɛ
28_circle		ʐ u ¹¹ + ʐ u/w ə ⁵⁵	ʐ u ɐ ¹³ + ʐ u ɐ ¹³	z ɨ̆/ɨ + ʑ é/e			ʐ u ɐ ¹³ + ʐ u ɐ ¹³	r u/w a ⁵⁵ + m ə ⁵³			
29_clearofwater			ɖʐ u ɛ̃ ¹³ + s i ⁵⁵						ɖʐ e ³³		
2_axe	ɸ p ɨ́/ɨ	p i ⁵⁵	f p y ⁵⁵			p ɨ ᶠ/⁵¹					
31_clearclean		ʂ ã ⁵⁵		ɕ ó/o	ɕ ó/o + t é/e	ʂ õ ᴴ/⁵	ʂ õ ⁵⁵ + n e ⁵⁵	ʂ ã ⁵⁵ + n̥ i/j ɛ ⁵⁵ + m ə ⁵³		ʂ ṍ/õ	
32_cloud	z d ĩ́/ĩ	d ẽ ³⁵	z d ĩ ⁵⁵	d á/a + m ù/u	d á/a + m ò/o	d ĩ ᴴ/⁵	s d ĩ ⁵⁵		χ d e ³³		d á/a
33_come		l i ³⁵	ʒ ə ³⁵	l ò/o	ȵ ù/u	ʒ ɨ ᴿ/¹⁵	i ¹³	j u ³⁵	l y ³³	ʑ ə̆/ə	
35_corpse		m i ³⁵ + m ũ ⁵⁵	ȵ i ⁵⁵ + m u ⁵⁵	m ó/o	m ó/o	m u ᴿ/¹⁵				m ŭ/u	m ì/i + m ú/u ʴ/ɹ
36_cough				tsʰ ú/u + t á/a							t ə̀/ə + tsʰ ú/u
37_cuckoo		k ɯ ¹¹ + p u ⁵⁵	q e i ⁵⁵ + p u ¹³	q í/i + p ù/u	k o ú/u + p ù/u					q í/i + p ù/u	
38_dancejump		tɕ ɯ ⁵⁵ + tsʰ ə ⁵⁵	x ə ¹³ + tsʰ o ⁵⁵	tsʰ ó/o + t à/a	s o ú/u	tsʰ o ᶠ/⁵¹	tsʰ a ⁵⁵ + tsʰ o ⁵⁵	dʑ ɛ ³⁵ + tsʰ o ³⁵	tsʰ u ⁵⁵ + t a ⁵⁵	tsʰ ú/u	s ú/u + t ɛ̀/ɛ
39_dark				ɦ à/a + m ù/u	m ò/o				m u ³³		
3_belong	ʂ ã́/ã	ʂ ã ⁵⁵	ʂ ã ⁵⁵	ɖʐ é/e	ɖʐ é/e		ʂ ã ⁵⁵	ʂ ã ⁵⁵ + m ə ⁵³	ɖʐ e ³³	ɻ ǽ/æ ŋ	ɖʐ í/i
42_deaf		z ɑ ¹¹ + b ũ ⁵⁵	z d ə ¹³ + b õ ¹³	ȵ ì/i + b ò/o	b ù/u	b õ ᴿ/¹⁵	s d ə ¹³ + b õ ¹³	z ɐ ³⁵ + b õ ³⁵	ȵ i ³¹ + k i/j e ³³ + b u ²⁴¹	d a + b õ̌/õ	ȵ í/i + k w ì/i + b ù/u
43_deity	ɕ é/e			tɕʰ í/i	s é/e	x e ᴴ/⁵			tsʰ i/j e ³³	h í/i	s ɨ́/ɨ
44_delicious		ʑ ĩ ³⁵	ʒ ẽ ⁵⁵ + t i ⁵⁵		ʑ é/e		ʐ ə̃ ⁵⁵ + t i ¹³	ʐ ẽ ⁵⁵ + m ə ⁵³		ʐ ṍ/õ	ʑ í/i
45_direction										dʑ í/i	dʑ í/i
46_dragon				b ú/u	b ú/u			b ʐ o ⁵⁵	χ b ə ²⁴¹		
4_besour	tʃ ú/u					ʈʂ u ᴴ/⁵				ʈʂ ú/u	ts w ɛ́/ɛ
50_drum				b ù/u	b ù/u				χ b u ³³		
51_duck						b a ᴴ/⁵ ʜ		b a ³⁵		b ǽ/æ	
52_easy		dʑ ə ³⁵ + dʑ ə ³⁵	ʃ tʃ ɛ ¹³ + ʃ tʃ ɛ ⁵⁵		z ɛ̀/ɛ		s tʃ ɛ ¹³ + s tʃ ɛ ¹³	ʑ e ³⁵ + ʑ e ⁵⁵ + m ə ⁵³	z i/j e ³¹		z ə̆/ə
53_elbow			ʒ ɛ ⁵⁵ + x q o ¹³				ʒ ɛ ¹³ + kʰ u ⁵⁵	ʑ ɛ ³⁵ + k u ³⁵	i ³³ + k y/ɥ e ³³ + k y/ɥ e ³³		
55_enclosesheep				tɕʰ ý/y	kʰ u í/i						
56_eye	m y/ɥ ɑ́/ɑ N/⁰	ȵ ə ³⁵	m i ɑ ⁵⁵	ȵ í/i + m á/a + t o ù/u	m ù/u + t i é/e	m j a ᶠ/⁵¹	m i ɑ ⁵⁵	ȵ i/j ɛ ⁵³	m i ⁵⁵	n j æ HL/⁵¹	m í/i + k j æ̀/æ
57_fat		tsʰ ɿ ³⁵	tsʰ ɤ ¹³				tsʰ ɤ ¹³	tsʰ ə ³⁵		tsʰ ə̀/ə	
5_bethirsty					p i/j à/a				χ p a ⁵⁵		t ə̀/ə + p ǽ/æ
