Cognate_ID,EudeveNorth,EudeveSouth,Mayo,Opata,ProtoSonoran,ProtoTepiman,SonoraPimaBajo,TarahumaraCentral,TepehuanNorth,TepehuanSouth,TohonoOdam,Tubar,WarihioHighland,WarihioLowland,Yaqui
125_114_defecatemanure,b i t a,,bʷ i t a,,kʷ i t a,b í/i i t ai,,w i t á/a,,,,kʷ i t a + t,w i h t á/a,w i h t á/a,bʷ i t a
126_335_earthsoil,,,bʷ í/i y/j a,,kʷ i y/j a,b í/i d ai,,w e é/e,,,,kʷ i r a,w e é/e,w e e h é/e,bʷ í/i a
127_158_big,,,bʷ é/e ʔ u r u,,kʷ i r u,,,w a ʔ r ú/u,,,,,w e r ú/u,w ee/eː r ú/u,bʷ é/e ʔ u
128_222_hand,m á/a m a,,m á/a mm/mː a,m a m a,m a,,,m a,,,,m a + w u l í/i r,m a,,m á/a m a
128bis_79_five,m á/a r k i,,m á/a m n i,m a r i k i,m a m u n i,,,m a r í/i,,,,m a m u n í/i + r,m a r i k í/i,m a r i h k í/i,m á/a m n i
129_85_bakeinoven,h i m á/a,,m a á/a ʔ a,h i m a,m a,,,m á/a,,,m ai,,m a h i,,m á/a ʔ a
12_319_feeldesire,é/e r a,,é/e i y/j a,e r a,ɨ r a,,,e r á/a,,,,e r a,,,ʔ e é/e y/j a
130_78_centipede,m á/a s i gʷ a,,,m a s i w a + t,m a + s i w a,,m a y/j o kk/kː a,m a a g á/a,,,m ai h o g i,m a h a r á/a,m a y/j á/a k a,,
131_168_belight,,,m a á/a ts i,,m a ts i,m á/a a s i,,m a ʔ ts í/i,,,,,m a ʔ ts í/i,,m a á/a ts i
132_332_bescared,,,m á/a h w e,,m a h a w a,,,m a h a w á/a,,,,,m a h a,m a h a w á/a,m á/a hh/hː a e
133_230_agave,m ai,,,m a í/i,m a h i,,,,,,,m a n y/j í/i + t,m a h í/i,m a h í/i,
134_111_give,m á/a k a,,m á/a kk/kː a,m a kk/kː a,m a k a,m á/a a k a,,,,,,m a k a l á/a k,,,m á/a k a
135_120_ten,m á/a k oi,,,m a k oi,m a k oi,,,m a k ó/o i,,,,,m a k ó/o i,,
136_143_beincontainer,m á/a n e,,m á/a nn/nː + a,m a n,m a n i,,,m a n í/i,,,,,m a n í/i,,m á/a n + a ʔ a
137_187_daughteroffather,m á/a r + gʷ a,,m a á/a l a,m a r a,m a r a,m á/a r a,,m a r á/a,,,,,m a l á/a l a,,m a á/a r a
138_99_fawn,,,,m a r i ts i,m a r i ts i,,,m a r í/i ts i,,,,,,,
139_285_feather,,,m á/a ss/sː a,,m a s a,,,m a s á/a,,,,m a s á/a + r,m a s á/a,m a ʔ a s á/a,m á/a s a
13_311_blood,é/e r a,,,h e r a,ɨ r a,ʔ ɨ í/i r ai,,r á/a,,,,a r á/a,e r á/a,h ee/eː r á/a,
140_349_deer,m á/a s o,,m a á/a s o,m a s o + t,m a s o,,,,,,,,m a h ó/o i,m a h ó/o i,m a á/a s o
141_229_grindstone,m a t a,,m á/a tt/tː a,,m a t a,m á/a h u t u r ai,,m a t á/a,,,,m a t á/a + t,m a h t á/a,m a h t á/a,m á/a t a
142_308_know,,,m a h + t í/i a,,m a t ɨ,m á/a a t ɨ,,m a ts í/i,,,,m ay/ai + t u r á/a t,m a ts i,,m á/a h + t a
143_205_lioncougar,m a b í/i + r o,,,,m a w i y/j a,m a v í/i d i/j a,,m a w i y/j á/a,,,,m a w í/i + t,m a w i y/j á/a,m á/a w i ʔ i y/j á/a,
144_227_kill,m é/e a,,m é/e ʔ a,m e a,m ɨ ʔ a,m ú/u a,,m e á/a,,,,m a + k á/a t,m e á/a,m e r i,m é/e ʔ a
145_216_moon,m é/e ts a,,m e é/e ts a,m e ts a,m ɨ ts a,m a s á/a d ai,,m e ts á/a,,,,m a ts á/a + t,m e ts á/a,m e h ts á/a,m e é/e ts a
146_203_far,m e k ú/u,,m é/e kk/kː a,,m ɨ k a,m íɨ/iɨ k a,,m e k á/a,,,,,m e h k á/a,m e h k á/a,m é/e kk/kː a
147_54_hair,m ó/o,,,,,,,,,,,,,,
147_55_head,,,m ó/o ʔ o,,m o o,m o o,,m o ó/o,,,,m ó/o a r,m o ó/o,m o ó/o,
148_359_soninlaw,m ó/o n + gʷ a,,m ó/o ʔ o n e,m o n e,m o n ɨ,,,m o ʔ n é/e,,,,,m o ʔ n é/e,,m ó/o ʔ o n e
149_196_tosmokefire,m ó/o r o,,,m o r e s a,m o r o,,,m oː r ó/o,,,,,m o l o,,
14_194_bone,h ó/o gʷ a,,ó/o + tt/tː a,o w a,o,ʔ o o ó/o i + o,,o + ts í/i,,,,h o + t a,o ʔ + á/a,h ó/o ʔ o + w a,ʔ ó/o + t a
150_247_cloud,m ó/o s i,,,m o s i,m o s i,,,,,,,m o s í/i + t,,,
151_130_enter,m ú/u u,,k i í/i + m u,m ui,m u,,,m o ʔ í/i,,,,,m o ʔ i,,
152_149_shootarrow,m ú/u m u,,m ú/u hh/hː e,m u m u,m u,,m u h u,m u h u + b ú/u,,,m u ʔ u,,m u h í/i,m u h í/i,m ú/u h e
153_53_owl,m u h ú/u + t,,m u ú/u ʔ u,m u h,m u h u,,,,,,,m u + t á/a,,,m u ú/u ʔ u
154_238_many,m ú/u i,,,m ui,m ui,m ú/u ʔ i,,m u,,,,m ui + á/a r,m u + é/e n a,,
155_236_dieone,m ú/u k u,,m u ú/u k e + m u ú/u k u,m u k,m u k u,m u u/u k í/i,,m u k ú/u,,,,,m u g u,m ú/u k u,m u ú/u k e + m u ú/u k u
156_1_beeshive,m u m ú/u g o,m u m u k u t,m ú/u mm/mː u,m u m u g o,m u m u,,m u m u b a,u m u g á/a,m ɨ m í/i v ai,m ɨ m ɨ í/i,,,m o m o h á/a,m o m o h á/a,m ú/u m u
157_152_bean,m ú/u n i,,m u ú/u n i,m u n i,m u n i,,,m u n í/i,,,m u h n i,,m u n í/i,m u u/u n í/i,m u ú/u n i
158_136_spike,m u r á/a + t,,m ó/o a,m u t a,m u r a,,m u r h a d a g a,m u r á/a,,,m u h l a,,m u l á/a,,m ó/o a
159_341_turtle,m u r í/i,,,m u r i,m u r i,m u u/u h l,,m u r í/i,,,,,m u r í/i,,
15_60_cane,o m á/a,h o m a,,o m a,ʔ o m a,,,o o m á/a,,,,,o m á/a,y/j ó/o r i + h o m á/a,
160_41_catfish,,,,m u s i,m u s i,,,m u s í/i,,,,,,,
161_125_becomedrunk,n á/a w e,n a v a,n a a + m u k ú/u r a,,n a h a,,n a h a m u,,,,n au m k,n a h a m,,,n a w á/a h e
162_101_four,n á/a w oi,,n a í/i k i,n a g o,n a o,,,n a ó/o,,,,n a r i k í/i r,n a ó/o,n a ʔ a g ó/o,n a í/i k i
163_255_ear,,,n á/a kk/kː a,n a k a,n a k a,n á/a a k a,,n a k á/a,,,,n a k á/a + r,n a h k á/a,n a h k á/a,n á/a k a
164_116_desire,n á/a k e,,n á/a kk/kː e,n a k i,n a k i,,,n a k í/i,,,,,n a h k i,n a h k í/i,n á/a k
165_346_pricklypear,n a v ú/u ts i,,n a á/a b o,n a w u ts i,n a p o,n á/a v oi,,n a p ó/o,,,,n a k a s í/i t,n a p ó/o,n a h p ó/o,n a á/a b o
166_69_ash,n a p ó/o s a,,n á/a p o s a,n a p o t,n a p o s a,,,n a p i s ó/o,,,,n a s í/i + t,n a h p i s ó/o,n á/a a p i s ó/o,n á/a p o s a
167_211_cry,,,,n a r a,n a r a,,,n a r á/a,,,,,n a l á/a,n á/a a r a,
168_274_pursue,n á/a r e,,,n a r e,n a r ɨ,,,,,,,,n a ʔ + n á/a r i,,
169_293_root,n á/a w a,,n a á/a gʷ a,n a gʷ a,n a w a,,,n a w á/a,,,,n a m u + s í/i r,n a w á/a,n a a w á/a,n a á/a w a
16_309_salt,ó/o n a,,o ó/o n a,,ʔ o n a,ʔ ó/o n ai,,o n á/a,,,,o n á/a,w o n á/a,h o ʔ o n á/a,o ó/o n a
170_62_sing,,,,,n a w a h i,,,n a w a h í/i,a n á/a i,,,n y/j a y/j,,,
171_288_makefire,n á/a d a,,n ái/ai y/j a,n a h,n a y/j a,n a a d á/a,,n a y/j á/a,,,,,n a y/j á/a,,n á/a y/j a
171bis_215_fire,,,,,n a l i,,,n a ʔ í/i,,,,,n a ʔ í/i,n a ʔ í/i,
172_357_tofly,,,n é/e ʔ e y/j e,n e,n i,,,i ʔ + n í/i,,,,,n i ʔ í/i,n i,n é/e ʔ e
173_169_talk,n e ó/o k e,,n o ó/o k a,,n i/j o,n í/j o k a,,n e ó/o,,,,n y/j ó/o k a,,,n o ó/o k a
174_351_see,,,,,n ɨ,n ɨi d á/a,,n e ʔ n é/e,,,,n y/j e r é/e,n e ʔ n é/e,,
175_185_liver,h e m á/a + t,e m a + t,h e é/e m a,h e m a,n ɨ m a,n í/i m a,,e m á/a,,,,y/j a m á/a + t,e m á/a,h ee/eː m á/a,h e é/e m a
176_204_tongue,n é/e n e,,n í/i nn/nː i,,n ɨ n i,n íɨ/iɨ n i,,i n i + r á/a,,,,n i n í/i + r,y/j e n í/i,y/j e e n í/i,n í/i n i
177_189_sonoffather,n o + gʷ á/a t,,n ó/o ʔ o ts i,n o,n o,,,n ó/o,,,,,n o + l á/a,o n ó/o,
178_302_return,n ó/o r o,,n o,,n o r a,n o r á/a + g i,,n ó/o r a,,,,,n o n i,n o ʔ o r á/a,n ó/o i + t e
179_57_losehair,,n u d u,,n u d,n u y/j u,,,,,,,,,,n u ú/u h e
17_253_degrainedcorncob,,,n a á/a gʷ o,,ʔ o n a,,,o ʔ n á/a,,,,,w o ʔ n á/a,h ó/o ʔ o n á/a + r a,n á/a o
180_15_water,b á/a,,b a á/a ʔ a,v a,p a,v á/a a,,b a ʔ w í/i,,,,b a,p a ʔ w í/i,,b a á/a ʔ a
181_316_seed,,b a ts i,b á/a ts i + a,b a ts i,p a ts i,,,b a ts í/i + r a,,,,w a ts i + r á/a n,p a h ts í/i,p a h ts i + r á/a,b a ts í/i + a
182_124_freshcorncob,,,b á/a t ts i,v a ts i,p a ts i,,,p a ts í/i,,,,,i h p a ts í/i,h í/i + p a s ts i,b á/a ts i
183_180_olderbrother,v á/a ts + gʷ a,,á/a b a ts i,v a ts i + gʷ a t,p a ts i,,,b a ʔ ts í/i,,,,w a ts í/i + r,p a ʔ ts í/i,p á/a ʔ a ts í/i,ʔ á/a b a ts i
184_344_three,v ei + d ɨ m,,b á/a h i,v ai + d e,p a h i,v á/a i + k a,,b ai + k í/i a,,,,v a y/j í/i + r,p ai + k á/a,p ai + k á/a,b á/a h i
185_65_reeds,b a k í/i + b o,,b a á/a k a,v a k a + t,p a k a,,v a kk/kː a,b a k á/a,,,w a h p k,w a k á/a + t,p a k á/a,,b á/a k a
186_130_enter,v á/a k e,,k i + b á/a k e,v a k,p a k i,v a k i,,b a k í/i,,,,,p a h k i,p a k i,k i + b á/a k e
187_202_wash,v a k ó/o + r a,,b á/a k + s i/j a,h i + p a k o,p a k o,,b a k o,b a k ó/o,,,w a k o,,p a h k o,p a h k o,h i + p á/a k + s i/j a
188_179_fathersyoungersister,,,,v a w o,p a p o,,,w a p ó/o,,,,,,,
189_206_hare,b a r ó/o s,,p a á/a r o s,p a r o s,p a r o s i,,,,,,,,p a l o í/i s i,p á/a l o w i s í/i,p a á/a r o s
18_127_enemybrave,,,,o pp/pː a,ʔ o p a,ʔ ó/o o b ai,,o p a,,,,,o b a,,
190_338_throw,v á/a s a,,,v a ss/sː a,p a s a,,,b a s á/a,,,,w a s a,p a s í/i,,
191_334_breastteat,v í/i + t,,p í/i + pp/pː i + m,,p i,v i + p í/i,,,,,,w i + m ú/u r,p i ʔ + w á/a,,p í/i + p i + m
192_291_beleft,v í/i e,,b é/e ʔ e y/j e,v i,p i,v í/i ʔ i,,r i + p í/i,,,,,,,b é/e ʔ e
192bis_364_leavebehind,v i á/a,,,v i/j a,p i + a,,,,,,,w i + p i/j a,,,
193_351_see,v i ts á/a,,b í/i t ts a,v i ts a,p i ts a,,,,,,,,,,b í/i ts a
194_38_wasp,p í/i ts a,,b i í/i ts a,p i ts a,p i ts a,,,,,,w i p sh/ʃ,,p i ʔ ts á/a,,b i í/i ts a
195_98_believe,v í/i ts gʷ a,,,,p i ts i,,,b i ts í/i,,,,,p i ts i w á/a,,
196_102_knife,v í/i k a,,,v i + t,p i k a,,,r i + p i g á/a,,,,,t e + h p i k á/a,,
197_287_rot,v í/i k a,,b i í/i k a,v i k a,p i k a,,v i k ai k a,b i k á/a,,,w i ʔ i k a + m,,p i g a,p i k a,
198_177_youngersister,v í/i n gʷ a,,,v i n i gʷ a t,p i n i,,,b i n í/i,,,,,p i n í/i,p i n i w á/a,
199_329_tobacco,v í/i v a,,b i í/i b a,v i h,p i p a,v í/i v ai,,w i p á/a,,,,w i h á/a + t,w i p á/a,p i h p á/a,b i í/i b a
19_50_embers,o b í/i,,ó/o bb/bː a,,ʔ o p a,,,,,,,,,,ó/o u b a
1_303_laugh,,,a á/a ts e,a ts i,ʔ a ts i,ʔ á/a ʔ a s ɨ + i,,a ts í/i,,,,,a ts i,h á/a ts i,ʔ á/a ts e
200_112_turnsomething,v i r í/i + n a,,b í/i ʔ i + t i/j a,v i r,p i r i,,v i d i + n a,b i ʔ r í/i,,,,,p i ʔ r í/i,,
201_271_penis,,,,,p i s a,,v i/j a,b i s á/a,,,w i h a,w i s á/a + t,p i s á/a,p i i s á/a,
202_207_cleanup,p í/i gʷ i,,,p i gʷ,p i w i,,,b i ʔ w í/i,,,,,p i ʔ í/i,,
203_248_new,,,b e m é/e + l a,,p ɨ m ɨ,,,,,,w e p + ts i j/dʒ,h e m e + s á/a t,,w e m é/e + r a,b e m é/e + l a
204_27_learn,v í/i n e,,,v e n i,p i n i,,,b i n í/i,,,,,p e n i,,
205_144_mat,h i p é/e + t,,h í/i p e t a + m,i p e,p ɨ t a,,,p é/e r a,,,,,i h p e t á/a,h í/i p e h t á/a,h í/i p e t a + m
206_275_heavy,b e t é/e + e n,,b é/e tt/tː e,v e tt/tː e + a,p ɨ t ɨ,v íɨ/iɨ t ɨ,,b e t é/e,,,,,p e h t é/e,p e h t é/e,b é/e t e
207_280_skin,v é/e w a,,b e é/e gʷ a,b e gʷ a + t,p ɨ w a,,,,,,,,,,b e é/e a
208_7_liedown,b oː,,b ó/o ʔ o + y/j e,b o,p o,,v o h o,b o ʔ í/i,,,w o o,,p o ʔ í/i,p o ʔ í/i,b ó/o o
209_25_fishhook,,,b ó/o ʔ a + r i/j a,,p o ʔ a,,,p ó/o w a,,,,w o h á/a + t,p o á/a + ts u l a,,b ó/o ʔ a + r i/j a
20_331_havedifficultiesbelazy,ó/o b,,o ó/o b e,o v e,ʔ o p ɨ,,,,,,,,,,o ó/o b e
210_299_mouse,v oi s é/e k,,,,p o ts,v o s í/i k i,,,,,,h e + w o ts ó/o + t,,,
211_339_playmusic,,,p o ó/o n a,,p o n a,,,,,,,h i + p o n a,,,p o ó/o n a
212_32_ripoffpull,p ó/o n a,,p ó/o nn/nː a,p o n,p o n a,,b o n a,b o ʔ n á/a,,,,,p o ʔ n a,,
213_182_youngerbrother,v ó/o n + gʷ a,,,v o n i + gʷ a t,p o n i,,,b o n í/i,,,,w o n í/i,p o n í/i,p oː n í/i,
214_172_becomefedup,b ó/o s a w e,,,b o s a,p o s a,,,b o s a w á/a,,,,,p o s a,p o s a,
215_323_becomelooseuntie,,,b ú/u t + t i/j a,,p o t a,,,b o t á/a,,,,,p o ʔ t á/a,,b ú/u + t a
216_270_hairwool,,,b ó/o u gʷ a + m,b o gʷ a,p o w a,v o p ó/o,,b o ʔ w á/a,,,,w o m ó/o + r,p o á/a,p o ʔ o w á/a,b o ó/o a
217_59_pathroad,v o w é/e + t,,b o ó/o o,b o gʷ e,p o w ɨ,v ó/o i,,b o w é/e,,,,w o + t a,p o é/e,p o ʔ o w é/e,b o ó/o o
218_310_goout,h i + p ú/u w a,,,b u ts a,p u ts a,v u u/u s á/a + n ai,,b u y/j á/a,,,,,p u y/j á/a,,
219_325_blow,p ú/u ts a,,p ú/u h + t i/j a,p u ts a,p u ts a,v ú/u s i t ai,,p ú/u ts a,,,,,i h + p ú/u ts a,,p ú/u h + t a
21_118_thresh,h ó/o r a,,,h o r a,ʔ o r a,,,o r á/a,,,,,o l a,,
220_24_domesticanimal,b u k ú/u + t,,b ú/u kk/kː + e,v u k u,p u k u,,,b u k ú/u,,,,w o k ú/u + r,p u h k ú/u,p u h k ú/u,b ú/u k + e
221_23_fastentie,v ú/u r a,,,b u r,p u r a,v ú/u r i + s a,,b u r á/a,,,,,p u l a,p u r i,
222_314_six,v u s á/a n i,,b ú/u s a n i,b u ss/sː a n i,p u s a n i,,,u s á/a n i,,,,u s a n í/i + r,p u s á/a n i,p u h s á/a n i,b ú/u s a n i
223_3_openeyes,b ú/u s u,,b ú/u ss/sː a,b u ss/sː a,p u s u,,,b u s ú/u,,,w u h a + n,,,,b ú/u s a
223bis_251_eye,v ú/u s i,,p u ú/u s i,v u,p u s + i,v ú/u h i,,b u s í/i,,,,v u + p u s í/i + t,p u s í/i,p ú/u u s i,p u ú/u s i
224_301_scold,v ú/u d e,,b uú/uː y/j e,b u d i,p u y/j i,,,,,,,,,,b uú/uː e
225_61_becometired,,,l ó/o + tt/tː e,,l o,,,,,,,l o + k á/a n,h e ʔ + l o í/i,,l ó/o + tt/tː e
226_31_sand,s á/a,,s e é/e ʔ e,,s a,,h i/j a,s a t é/e,,,h i/j a,s i h á/a + t,s e t é/e,,s e é/e ʔ e
227_237_fly,s é/e b o r,,s é/e e b o r i,s ai w o r i,s ai w o r i,,s ai b o r i,s e ʔ o r í/i,,,,s ay/ai b ó/o l,s e ó/o r i,s o ó/o r i,s é/e e b o ʔ i
228_133_scorpion,s á/a k r a,,s á/a k a ʔ a w i + m,s a kk/kː a r a,s a k a,,,,,,,,s a h k á/a l a,,s á/a kk/kː au
229_343_totoast,s á/a k e,,s a á/a k e,,s a k ɨ,h á/a a k i,,s a k í/i,,,,,s a g i,,s á/a k + t u s i
22_134_write,ó/o s a,,,o,ʔ o s a,,o h a nn/nː a,o s á/a,,,o ʔ o h a n,y/j o s a,o s a,h i/j o s í/i,
230_8_adobe,s a a m í/i,,s a á/a m i,s a m i,s a m i,,s a m i,s a m í/i,,,,ts a m é/e,s a m í/i,s a ʔ a m í/i,s a á/a m i
231_232_becomewet,s á/a m e,,,s a h m,s a m ɨ,,,s a m í/i,,,,,s a m i,,
232_63_meat,s á/a b a,,,,s a p a,,,s a p á/a,,,,s a + s a p á/a + r,s a p á/a,s a ʔ a p á/a,
233_191_leaf,s á/a w a,,s áu/au gʷ a,s a gʷ a + t,s a w a,h á/a a + h a g a,,s a w á/a,,,,s a m u/w á/a + r,s a w á/a,s a w á/a,s á/a w a
234_22_yellow,s á/a w e + i,,s a gʷ á/a + l i,s a gʷ a + i,s a w a,,,s a w a + r ó/o a m e,,,,s a w a + k á/a r,s a ʔ w a + t ó/o m e,s a w á/a + e m e,s á/a w a + i
235_354_rattlesnake,,,,s a d a + k o,s a y/j a,,,s a y/j á/a + w i,,,,k o ó/o t + h a n y/j á/a + k a m,s a y/j a + w é/e,s a y/j a + w é/e,
236_128_enemyconfront,,,s a a y/j o,,s a y/j o,,,s ay/ai + é/e,s a y/j u,,,,s a h í/i,,
237_256_urinate,,,s i í/i s e,s i + s i/j a,s i/j a,,i h a,i + s í/i,,,,,,,s i í/i s e
237bis_257_urine,s í/i s i,,,,s i + i,,,,,,h i ʔ i,s i í/i + r,s i ʔ í/i,s i ʔ í/i,
238_94_cut,s í/i k a,,s í/i kk/kː a,s i kk/kː a,s i k a,h i k í/i + t i,,s e k á/a,,,,s i k a + t ú/u,s i k a,,
239_81_typeofant,s i k ú/u + ts,,e r e e + s u ú/u k i + m,s i kk/kː u + ts i,s i k u,,,s i k ú/u + i,,,,a l i + s í/i k,,s é/e kʷ + í/i,
23_36_getstucked,o t ó/o,,,o t o + w a,ʔ o t o,,,t o + b á/a ts i + t o + b á/a,,,,,,,
240_254_navel,s í/i k a,,s i í/i k u,,s i k u,,h i k u d i,s i k ú/u,,,h i k,s i k ú/u + r,s i k ú/u,s i h k ú/u,s i í/i k u
241_199_go,s e m,,s i í/i m e,,s i m ɨ,h í/i m ɨi,,s i m í/i,,,,s i m i,s i m i,s i m i,s i í/i m e
242_161_shout,,,,,s i n a,h i i n á/a,,s i n á/a,,,,,s i n á/a,s i n a,
243_108_snake,,,,s i n o + t,s i n o,,,,,,,h í/i + s i n a w e + r á/a t,,s i ʔ i n oi,
244_296_scrape,s í/i b a,,,,s i p a,,h i b a,s i p á/a,,,h i w,,s i b a,,
245_200_foranearofcorntoform,s í/i t,,,s i t a,s i t a,,,,,,,,s i t á/a,s i i h t á/a,s í/i ʔ i t a + r ó/o kk/kː a
246_345_gut,s í/i gʷ a,,s i í/i gʷ a + m,s i gʷ a + t,s i w a,h i + h í/i,,s i w á/a,,,,,s i w á/a,s i i w á/a,s í/i a
247_304_tadpole,s i b ó/o r i,,s í/i b o ʔ o r i,s i w o r i,s i w o r i,,,s i b ó/o r i,,,,,,,s í/i b o ʔ o l i + m
248_348_one,s é/e,,s e é/e + n u,,s ɨ,h ɨ + m a d o,,s ee/eː + n ú/u,,,,s e + m e,s e + n é/e b i,,s e é/e + n u
249_51_armhand,,s e k o r a,s e é/e k a,,s ɨ k a,,h u k a,s e k á/a,í/i k a,,h ɨ k,s a k á/a + r,s e k á/a,s ee/eː k á/a,s e é/e k a
24_217_male,,,o ó/o w i,,ʔ o w i,,,o w í/i,,,,,o í/i,h o ʔ o w í/i,o ʔ ó/o w i
250_129_cooldown,s é/e p e,,s é/e bb/bː e,s e p,s ɨ p ɨ,h ɨ ɨ p í/i d a + i,,s i p í/i,,,,s e w é/e,,,s é/e b e
251_307_red,,,,s e tt/tː a,s ɨ t a,,,s i t á/a,,,h ɨ t + m a g,,s e h t á/a,s e h t á/a + n a m e,
252_150_flower,s é/e gʷ a,,s e é/e gʷ a,,s ɨ w a,h i/j o + s í/i g a + i,,s e w á/a,,,,s e w a + r á/a t,s e w á/a,s ee/eː w a,s e é/e gʷ a
253_265_eyelid,,,p u h + s é/e e b e + m,,s ɨ w ɨ,h í/i + h ɨ v o,,,,,,,s e w é/e + ts a,,p ú/u h + s é/e e b e + m
254_147_star,,,,,s o,,h u h u g a,s o p o r í/i,,,h u ʔ u,s ó/o o,s o p ó/o r i,s ó/o ʔ o p o r í/i,
255_138_bestung,,,s o ó/o + s o,,s o,h ó/o ʔ i,,s o ʔ í/i,,,,,s o ʔ i,,s o ó/o + s o
256_139_wife,,,,,s o n a,h oː n í/i g a,,,,,,s o n á/a + r,,,
