Cognate_ID	Achagua	Baniwa	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
22_drink	i: r e r i	í/i i r a	i r á/a	ì/i ɾ a k a	i ʔ d ú/u			i ʔ i ɾ a k a h e
23_dryn		m ee tt á/a t a	i w á/a	tʃ u ì/i ɾ i	m a k á/a d ú/u			m a k á/a r a ʔ a k a j e
24_ear	w i b a ʃ i	h ee n i	u ʔ u w i	u w i	h e n á/a k ó/o			i ʔ i h w i h í/i
25_earth	k a i n a b i	h í/i i p a i	t a ʔ k a a r i	k á/a l i	h i h i			t e ʔ e ɾ í/i
26_eat	i: j e r i	í/i i ɲ a	tʃʰ a	j á:/aː k a	a ʔ m i t ú/u			a h ɲ a k a h e
27_egg	ee w i ʃ i	é/e e w h e	é/e e w h é/e	j éː/eː w é/e s i	e é/e v é/e ú/u			e h w e h i
28_eye	t u i ʃ i	tʰ i	tʰ u	t u í/i	i h l u h í/i			i h l u h í/i
29_feather			a p á/a n a	b á/a i k a	ts í/i i n á/a h í/i	d í/i tʃ a		tʃ i h n e h i
2_all	k i n i n a m a	pʰ á/a ʎ a i	p u t ʔ i	k a n á/a n a m a	pʰ é/e ʔ t ó/o ʔ			p i j u k e h a
30_fire	tʃ i tʃ a i	tt í/i dz ee	k i r a ʔ a r i	k i tʃ á/a i	o ʔ k o n á/a ʔ			h i j á/a
31_fishn	k u b a i	k ó/o pʰ e	ʔ u lː e	k u b á/a i	á/a m oo g í/i			k ú/u p e
32_flesh	i: n a ʃ i	í/i i p e	ʔ ii	ii n á/a s i	g í/i ʔ í/i			r i ʔ í/i
33_flyv	j a: r e r i u	á/a a r a	á/a a r a	j á/a l a k a w a	a d ú/u			a h ɾ a k a h e
34_foot	i: b a ʃ i	h í/i i p a	h í/i i p a	a b à/a l i	h ii ʔ p ú/u			h i ʔ i m a h i
35_full	k a: w a i	p á/a kʰ a m e i	m a n u ʔ		p o tsʰ í/i ʔ m ó/o			m a n o ʔ o k a j e
36_give	j aa i r i	á/a a	aa		aa ʔ n í/i		h u w a	a ʔ a k a j e
37_good	s a i k a	m á/a ts i a	tʃ u n i k a	k a j á/a b é:/eː ɾ i	k a ʃ ó/o ʔ			p a l a n i
38_grease	j uu w i k a	í/i i tt i	í/i ʔ i t̪ i	i s é:/eː n á/a	pʰ e d ee ʔ k á/a t a s í/i			h i l a h i
39_green	u l e: j i	h í/i p o l e	p u r é/e	i p ù/u l é:/eː ɾ i	i p o g í/i ʔ			i p u ɾ e n i
3_ash	b a: l i	w á/a dz o l e	p a ʔ a r i	b a l ì/i i	ó/o k ó/o n ii g i ʒ í/i h ú/u			p a i ʔ i l á/a
40_hair	b a i n a ʃ i	ts í/i k o l e	tʃ u n a	i tʃ ù/u n a	h í/i v e ʔ á/a dʒ ii ʔ ó/o			w i l a h i
41_hand	k a h i ʃ i	k á/a a p i	k aa p i	k á:/aː p i	k é/e			j á/a t e ʔ e l a h i
42_head	w i t a ʃ i	h i w í/i d a	h i w í/i t a	n u i w i t a	h í/i v e ú/u			w í/i l a ʔ a ɾ u h i
43_hear	e: m e r i	h i m a	h e m e	é/e m ì/i a k a	h é/e ʔ m ú/u	h í/i m a		h e m a ʔ a k a h e
44_heart	w o w a ʃ i	k aa l e	k a r e t a	n u w à/a w a	v á/a f o ú/u			w a h w e h i
45_horn	tʃ a: l a ʃ i	ts ó/o w a	n u i r e		ii j β i í/i			r i ʔ i w a w i
46_hot	a m u a i	h á/a m o	m u ʔ ú/u	ù/u u l é:/eː ɾ i	h a ʔ m o ʔ			i m a ʔ a n í/i
47_kill	i: n u e r i	í/i i n o a	n u a	é/e t á/a i d a k a	k a i n é/e e kʰ ú/u			n ó/o k a h e
48_knee	j u r u i ʃ i	h ó/o o rʰ i	u rʰ u n a		h o ʔ d ó/o n a ú/u			r i ʔ i r ú/u p a ʃ i
49_know	e: w e r i	á/a a ɲ ee	a r a ɲ ú/u	a l í/i a k a w a	m a n a á/a t ó/o ʔ			w e ʔ e p í/i k a h e
4_bark	i: m a n a ʃ i	y a			d a ʔ m í/i			í/i m a h i
50_leaf	b a n a b a i	p a n a pʰ e	a p a n a	i b á/a i n á/a	a p á/a n á/a ʔ aa m í/i		pʰ e	w í/i ʃ u ʔ u p e
51_lie	k u a n i r i u	k u a	k u ʔ a p u		ʃ o ó/o n é/e ʒ ú/u	s w á/a		t o ʔ o k a j o
52_liver	tʃ a: l i ʃ i	ʃ ó/o p a n a	ú/u u p a n a	u b a n a	o p á/a a n ú/u			p a n a j i
53_long	m a tʃ e: n i:	y á/a p i	w i a	k á/a a l é/e e r i	ts e i n ó/o ʔ			w a pʰ e r e n i
54_louse	w i t e n e ʃ i	t o w í/i d a	n i í/i	k ù/u l i b à/a u	n e t e tsʰ í/i ʔ ó/o			r i n e
55_manadultmale	w a ʃ i a l i k u e r i	a ts í/i a n l i	t̪ i j á/a r i		a ts á/a a g í/i			a tʃ i ɲ á/a
56_many	b a h i a l a	h a n í/i p a	m uu r a	k á/a n a n a m a	a n̥ e p ú:/uː ʔ			ʃ a ʔ a pʰ á/a
57_moon	k e: r i	k é/e e r i	k é/e e r i	k é:/eː ɾ i	k e é/e g í/i			k e ɾ i
58_mountain	d ú/u u l i	h i dz á/a p a	m a r e n a	d ú/u l i	t é/e g a h ú/u	m a k a p u l i k ú/u d a	h i d á/a p a	j e n u ɾ i
59_mouth	n u m a ʃ i	n ó/o m a	n u m a	n ù/u m a	n ó/o			n u m a h i
5_belly	j a w a i ʃ i	ʃ á/a d a	t e r e	d è/e e	ii ʔ ʃ á/a ú/u			h u l a h i
60_name	h i ʔ i n a ʃ i	ii p í/i t a n a	íí/iː	í/i p i d e n á/a	ii v ú/u			i í/i h i
61_neck	w a: ʃ i	n ó/o o r o	k a ɲ a p i	k a n á/a p i	i ñ o tʃʰ í/i			n ú/u r u p i h i
62_new	w a: l i:	é/e e m i	w á/a r i t̪ é/e	w à/a l i s à/a i r i	b e ʔ é/e			w a h é/e
63_night	t a: j e	d é/e e p i	n é/e á/a p i	k a t á/a	n aa p í/i			l a p í/i
64_nose	d a k u ʃ i	h i t á/a k o	h i t á/a k ú/u	í/i d a k u	h i t á/a k ó/o			t a k u h i
65_not	m a	m a	u k a	k à/a m i t a	n ii	m a	m a	u n k á/a
66_one	a: b a i	a a p a	p a p u	a b ì/i	p a t o pʰ e			p a h l u w á/a h a
67_path	i n i h i b a:	i n í/i p o	a p ú/u h á/a	à/a j a p u	a dʒ á/a p ó/o			i ñ e ʔ e p ú/u
68_person	w e n à/a i w i k a	n e w í/i k i	n é/e k i ɾ i	w e n à/a i w i k a	i n á/a a v i ʔ ʒ a á/a n i g í/i			i n a ʔ u k é/e
69_rain	j ú/u w e r i u	í/i i dz a	p e ʔ e kʰ e	u n í/i a	f á/a ʔ v o ó/o ts í/i			h u n i
6_big	m aa n u ii	m a k a	m a n u ʔ ú/u	m a n u í/i ɾ i	dʒ i dʒ á/a ʔ aa m í/i			ɲ ó/o p o ʔ o h l o
70_red	k í/i r a i	ii r a i	k í/i i r a	k í:/iː ɾ a k a	k e d á/a v i í/i ʔ			k e ɾ a n i
71_root	h í/i i tʃ u ʃ i	p a l i	a p á/a r e	i p ì/i tʃ u	t é/e b a k é/e		i l i	h i ʔ i l a h i
72_round	m a k a	m a dz a k á/a ɲ u	p a β uu d ú/u		p a v uu d u			
73_sand	k á/a i n a	k á/a i d a	k á/a ʔ a	k a i n a	m e n í/i i g í/i			k e ʔ p é/e
74_say	m á/a i r i	k a í/i t e	í/i m a	í/i m a	k e m ú/u		m á/a k a	m í/i
75_see	k á/a b e r i	k á/a p a	i kʰ á/a	i k á/a k a	tsʰ e n í/i			a m á/a k a h e
76_seed	í/i i m i ʃ i	é/e e kʰ e	k a + k a k i t j i h e		h í/i m i ú/u		i h i n a	i j i j i
77_sit	w á/a a i r i u	o ó/o w h aa	t u ʔ n a	a w i n a k a w a	í/i tsʰ ú/u			j á/a ʔ a k a h o
78_skin	í/i i m a n a ʃ i	y a	í/i ʔ a m i	í/i m a m i	e é/e m ú/u			í/i m a h i
79_sleep	m á/a a i r i	í/i m aa	i m á/a a	i m á/a k a	í/i m ú/u			k a m á/a t a k a h o
7_bird	m í/i ʃ i d u	k é/e p i r a	ʔ u p i r a	m à/a s i b è/e e	k ó/o ʔ p í/i i d ú/u			k u p i r a ʔ a pʰ á/a
80_small	p i: t u i t u:	ts ú/u u	k a r i tʃʰ ũ ĩ	a tʃ ú/u m é:/eː ɾ i	k a r i tʃʰ ũ ĩ			k a m u ʔ u j i n i
81_smoke	í/i i s a n i n aa	í/i i tt a	í/i t̪ a r i		i í/i tsʰ ú/u			i h a
82_stand	b a r u e r i u	é/e e m a	p a tʃʰ a	b à/a l ù/u a n í/i c a w a	i ʔ t ó/o ṇ ú/u			t á/a r a ʔ a k a j o
83_star	s á/a a l ii	h i w í/i rʰ i	w i r í/i ɲ u	d ù/u l u p ù/u t a	h i v í/i i g í/i			i w i h ɾ í/i
84_stone	í/i i b a	h ii p a d a	h í/i i p a	í/i b a	v íí/iː ʃ i ʔ ó/o ú/u			h i p a
85_sun	k á/a i w i a	k á/a m o i	a b e	è/e e r i	h á/a ʔ í/i			k a m ú/u
86_swim	j á/a m a r e r i u	aa ʃ aa	a w á/a p a	m à/a l a k a w a	o ʔ v á/a p ú/u			i ʔ i w a p a k a h e
87_tail	í/i i ʃ i ʃ i	ii tt í/i p i	t̪ i p i	j à/a a p u s à/a i	tsʰ í/i i p í/i	d i tʃ í/i m a		h i p i h i
88_that	l i á/a r a	ʎ i e r a h a	j a t a	j á:/aː ɾ a	a í/i		l a	m a ɾ í/i
89_this	l i á/a n i	ɪ h í/i e h e	d o ʔ ó/o	j á/a i	g i ʔ í/i	h ĩ	t i	k e l e
8_bite	á/a m u a	mʰ o a	a mʰ e	i tʃ i k ú/u a d a k a	e m ú/u			a h m a ʔ a k a h e
90_thouyou	i j á/a	h í/i a	pʰ é/e	p í/i a	h a ʔ á/a	p i h a		i k á/a
91_tongue	í/i n a n ee ʃ i	ee n e n e	n e n i p á/a	n è/e n e	e ʔ h é/e e p é/e			l e n a h i
92_tooth	é/e e ʃ i	ee tsʰ a	ʔ í/i a	j è/e i	o n é/e			a i h í/i
93_treewood	á/a i k u b a	h a i k o	ʔ a h aa	j é/e e t a n á/a	a v á/a a n a ʔ é/e			a ʔ a w a n á/a
94_two	tʃ á/a m a i	dz a m a	tʃ u m aa	p u tʃ á/a i b a	m i g aa k ú/u		d a m a	i j a m á/a
95_walk	h í/i n e r i u	á/a a ɲ i	aa	n u è/e p u n í/i k a w a	h í/i ʔ v u			j a ʔ a p á/a k a j e
96_water	ʃ i á/a t a i	ó/o o n i	ú/u u n i	ú/u u n i	h oo n í/i			h ú/u n i
97_we	w a j á/a	w h í/i a	w h é/e	w í/i a	m uu ʔ á/a	w a h a	w a	w e k á/a
98_what	t á/a n a	k ô/o a k a ʔ	m i kʰ a	k à/a i n á/a	k ee n i			n a
99_white	k a b á/a l a i	h á/a l e	k a t a r e: i r i	k a b a l è/e e ɾ i				j a r e n i
9_black	k a tʃ a h u l a i l a u	í/i i tt a	k e w e r e r i	k ú:/uː l í:/iː ɾ i	ts a pʰ ó/o ʔ			k a m e n i
