Cognate_ID	Ahoe	Arem	CuoiTanHop	CuoiThaiHoa	Jahai	Khmu	Kri	KriPhoong	Liha	LihaNVL	Malang	MalengBro	MaliengHT	MaliengQB	May	MuongBi	MuongHB	MuongSL	MuongTH	NguonCL	NguonYT	Pakatan	Phong	Ruc	Sach	ThavungF	ThavungPS	ThavungS	ThoCuoiCham	ThoLangLo	Toum	Vietnamese
132_22_cloud			m ɤ l ²²	m ɤ̆ n ³²					m u n	m ə n ³³					m ɤ̆ l ¹	m ầ/a l	m aə ¹	m ə l ¹	m ə n ¹	m ə̆ n ¹			k m i l	m ə̆ l	m ə l ¹				m ʌ l ¹	m ʌ n ¹	m ʌ l	m əi̯ ³³
136_22_cloud											m eː k											m e k ³				m eː k						
137_22_cloud							t a l u k ³⁴	t a l ŭ k ²³				t u l u k ³	t u l u k ³⁴	t u l ú/u k																		
141_23_die		tɕ iː t	c e t ¹²	c e t ³⁵			k a c e t ³	k a c e t ⁴⁴	c eː t		k a c ɛ t	k a c e t ³	k ɯ c e t ³⁴	k u c é/e t	k ɯ c i t ³	cʰ í/i t	c eː t ⁷/⁵²	c eː t ⁷/⁵²	c eː t ⁷/⁵²			k a c ɛ t ³⁴	c eː t	k a c í/i t	c iː t ⁷/⁵²	c əː t ¹	c ʌ̰̂ː/ʌː t	ʔ a c ʌ̰̂ː/ʌː t	c eː t ⁷/⁵²	c eː t ⁷/⁵²	c eː t	c əː t ⁴⁵
145_24_dog	c ɑː ʔ	a tɕ ɒ ʔ	c ɒ ¹²	c ɔ ³⁵	ʔ a c ĩ ʔ	s ɔ ʔ	c ɔ ³⁴ˀ/³⁴	c ɔ ³³ ʔ	c ɔː	c ɔ ³⁴	c ɔː k ə p əː ⁴	c ɔː ³	c ɔ ³⁴ˀ/³⁴	c ɔ́/ɔ	ʔ a c ɔ ³	cʰ ỏ/o	c ɔː ³	c ɔː ³	c ɔː ³			c ɔ̰ ³⁴³ˀ/³⁴³	c ɔː	a c ɔ̉/ɔ	a c ɔː ³	c ɔː ¹	c ɔ̰̂ː/ɔː	c ɔ̰̂ː/ɔː	c ɒː ³	c ɔː ³	c ɔː	c ɔː ⁴⁵
148_25_drinkv																ỏ/o n g	ʔ ɔː ŋ ³	ʔ ɔː ŋ ³	ʔ ɔː ŋ ³	ʔ ɔː ŋ ³												ʔ uː ŋ ⁴⁵
149_25_drinkv	ɲ ʊː ʔ	ɲ ə̯u/əu̯ ʔ	ɲ o ³¹	ɲ o ⁵⁴					ɲ oː ⁴⁶/⁴⁵	ɲ o ³¹	ɲ uː				ɲ o ⁴							ɳ õ ³⁴³ˀ/³⁴³	ɲ oː ⁴⁶/⁴⁵	ɲ ủ/u	ɲ uː ⁴	ɲ uː ²	ɲ ṵ̂ː/uː	ɲ ṵ̂ː/uː	ɲ oː ⁴	ɲ ɔː ³	ɲ uː ⁴⁶/⁴⁵	
14_2_2syou																				j ə̆ w ¹	z a w ¹											
150_25_drinkv							c u ŋ ³⁴ˀ/³⁴	c ŭ ŋ ³³ ʔ				c o̻/o ŋ	c o ŋ ³⁴	c u ŋ																		
154_26_dryasleafclothadj		kʰ oː	χ o ³²	χ o ³²					kʰ a w	kʰ ɔo ³³				kʰ o		kʰ ô/o				x o ¹				kʰ o	kʰ o				kʰ ɔː ¹	kʰ oː ¹		x oː ³³
155_26_dryasleafclothadj								r ɔ ³³					ɽ u/w o ⁴		ɽ ɔ h ¹							ɬ ɔ h ³					h ɔ́/ɔ h	h ɔ́/ɔ h				
156_26_dryasleafclothadj							s a ʄ ă ŋ ⁴⁵ˀ/⁴⁵				s ə j a ŋ ³	s i j a ŋ ³																				
15_2_2syou																										tʰ ə w ¹		tʰ òw/ou				
160_27_ear	s aː j	tʰ aːi̯	s ɑ j ²²	s a j ³²			s ai̯ ³⁴	s a j ³²³	s aː j	s aː j ³³	s aː j	s aː j ³	ʂ ai̯ ⁴	s ay/ai	ɕ ai̯ ¹	tʰ ai	tʰ aː j ¹	s aː j ¹	s aː j ¹	t a j ¹	t a j ¹	s a j ³	p a t s aː j	s a j	s aː j ¹	s aː j ¹	s âː/a: j	s u s âː/a: j	s aː j ¹	s aː j ¹	b a t s aː j	t aːi̯ ³³
164_28_earthsoil			t ɤ̆ t ¹²	t ɤ̆ t ³⁵					t ɔ t	t ə t ²⁴						t ấ/a t	t ʌ t ⁷/⁵²	t ʌ t ⁷/⁵²	d ʌ t ⁷/⁵²	t ə̆ t ⁷/⁵²	ʔ ə̆ t ⁷/⁵²		t i t						t ʌ t ⁷/⁵²	t ʌ t ⁷/⁵²	t ʌ t	ɗ ə k ⁴⁵
165_28_earthsoil															ɓ ɤ n ³									b ə́/ə n	b ɤ́/ɤ n ʔ							
166_28_earthsoil	ʔ a t a k	a t ă k					a t ă k ³	a t ă k ²³			a t a k	a t a k ³	a t ă k ³⁴	a t ǎ/a k								a t ă k ⁴				ʔ a t aː k ³	ʔ a t á/a k	ʔ a t á/a k				
167_28_earthsoil					t e ʔ	p t e ʔ																										
169_29_eat	ʔ a n	ʔ ă n	ʔ ɑ̆ n ²²	ʔ ɑ̆ n ³²			ʔ ă n ³⁴	ʔ ă n ³²³	ʔ a n	ʔ a n ³³	ʔ a n	ʔ a n ³	ʔ ă n	ʔ ǎ/a n	ʔ ă n ¹	ă n				ă n ¹	ă n ¹	ʔ ǎ/a n ³	ʔ a n	ʔ ă n	ʔ à/a n	ʔ a n ¹	ʔ â/a n	ʔ â/a n			ʔ a n	ǎ/a n
16_2_2syou							c ă k ³	c ă k ²³														c ă k										
173_30_egg			k l ɤ ŋ ¹²	ʈ ɤ ŋ ³⁵					k l aə ŋ	k l ə ŋ ³⁴						t l ở/o n g	k l ə ŋ ³	k l ə ŋ ³	k l ə ŋ ³	ʈ ə ŋ ³	ʔ l ə ŋ ³		k l əː ŋ								k l aə ŋ	ʈ ɨ ŋ ⁴⁵
174_30_egg																													l ɨə n ¹	l ɨə n ¹		
175_30_egg	t a l oː l ʔ	u l uː lʼ/lˀ					t a ɽ u l ³ˀ/³	t a r u l ³³ ʔ			t a l uː l ³	t u l oː r ³	t u l u h ⁴	t u l u l	t a l u l ³							t a l ṵ l ³⁴³ˀ/³⁴³		t ə l ú/u l	t u l uː l ³	t u l u n ³	t a l ṵ̂ː/uː n	t a l ṵ̂ː/uː n				
179_31_eye	m a t	m ʌ̯/ʌ ằ/a t	m ă t ³¹	m ă t ³⁵	m i t	m a t	m ă t ³²	m ă t ²³	m a t	m a t ³¹	m a t	m a t ³	m ă t ³⁴	m á/a t	m ă̤/a t ⁴	m ă t	m a t ²	m a t ²	m a t ²	m ă t ⁷/⁵²	m ă t ⁷/⁵²	m ă t ³⁴	m a t	mᵊ ʌ́̆/ʌ t	m ə̆ à/a t ⁸/⁵³	m a t ¹	m á/a t	m a t	m a t ⁸/⁵³	m a t ⁸/⁵³	m a t	m ạ̌/a t
17_3_3shesheit		u n ɛa̯ ʔ														n ả/a				n ɔ ³												n ɔː ⁴⁵
180_32_falldropv																r ơ/o i																r əːi̯ ³³
181_32_falldropv																				p o ⁵	b o ⁵											
182_32_falldropv			p e ³³ ʔ	p e ²¹²	g i b a l																											
183_32_falldropv		r ŭh/u						r u j ³³ ʔ	ɣ aə c		ʰr uː j ³	ʰr uː j ³			ɽ a̤ h ²							ɬ u j ³⁴³ˀ/³⁴³			r u h ²						ʰl aə c	
185_32_falldropv																										tʰ a l oː j ⁴	tʰ a l ɨ̰̂ː/ɨː j	tʰ a l ɨ̰̂ː/ɨː j				
188_33_fardistant																x a				s a ¹												s aː ³³
189_33_fardistant	s i ŋ aː j ʔ	ŋ aːi̯ʼ/aːi̯	ŋ ɑ j ¹²	ŋ ɑ j ³⁵				s a ŋ a j ³³ ʔ	ŋ aː j		s ŋ aː j ³				ɕ i ŋ ai̯ ³							s a ŋ a̤ j ³⁴³ˀ/³⁴³	ŋ aː j	c ə̆ ŋ á/a j	t ə ŋ aː j ³	s ŋ aː j ²	s a ŋ â̰ː/aː j	s a ŋ â̰ː/aː j	ŋ aː j ³	ŋ aː j ³	ŋ aː j	
193_34_fatgreaseoil			m ɤ ³³ ʔ	m ɤ ³¹ ʔ						m ə ³¹			m ɤ ³²ˀ/³²	m ɤ̀/ɤ		m ợ/o	m əː ⁶/⁵¹	m əː ⁴⁶/⁴⁵	mː əː ⁴⁶/⁴⁵	m ə ⁵									m əː ⁶/⁵¹	m əː ⁵⁶/⁵⁵		m əː ²¹⁴
194_34_fatgreaseoil					g m u ʔ																		p uː j									
195_34_fatgreaseoil		t l ù/u ŋ													k l ŭ ŋ ¹									k l ù/u ŋ	t l u ŋ ²							
196_34_fatgreaseoil	n t oː						n t u ³	n t u ²³			a t uː ⁴⁵															a t uː ¹	ʔ a t ûː/uː	ʔ a t ûː/uː				
199_35_hairofbodyfeather																l ô/o n g	l oː ŋ ¹	l oː ŋ ¹	l oː ŋ ¹	l oː ŋ ² '/ʔ	l oː ŋ ¹						ʔ a s ɔ́/ɔ k		l ɔː ŋ ¹	l oː ŋ ¹		l ɔ ŋm ³³
200_35_hairofbodyfeather	s ʊ k	u tʰ ŭ k	s ŭ k ¹²	s ŭ k ³⁵	s ɔ k		u s u k ³⁴	ʔ u s ŭ k ²³		s o k ³⁴	a s o k	u s o̻/o k	u ʂ ŏ k ³⁴	u ʃ ú/u k	ʔ u ɕ ŭ k ³							ʔ a s o̰ k ³⁴		ŭ/u s ú/u k	s u k ⁷/⁵²							
203_36_hairofthehead	s ʊ k	u tʰ ŭ k	s ŭ k ¹²	s ŭ k ³⁵	s ɔ k				s o k	s o k ³⁴				u ʃ ú/u k	ʔ u ɕ ŭ k ³	tʰ ắ/a c	tʰ a k ⁷/⁵²	s a k ⁷/⁵²	s a k ⁷/⁵²	t ă k ⁷/⁵²	t ă k ⁷/⁵²		s u k	u s ú/u k	s u k ⁷/⁵²	s ɔ k ¹	s ɔ́/ɔ k	s ɔ́/ɔ k			s o k	t ɔ kp ⁴⁵
204_36_hairofthehead							k ɤi̯ ³⁴ˀ/³⁴	k ɤ j ³³ˀ/³³			k əː j ³	k əː j ³	k ɤi̯ ³⁴									k ɤ̰ j ³⁴³ˀ/³⁴³										
208_37_firefirewood	k uː jʰ	k ŭh/u	k u l ³³ ʔ	ɣ u n ³¹ ʔ			k ui̯ ³	k u j ³³	k uː c	k uː t ³¹	k u jʰ	k uː j ³	k uˀ/ṳ ³⁴	k u l	k u l̥ ³	c úi/ui	k uː j ⁵	k uː j ⁵	k uː j ⁵	k u n ⁵		k ui h ³	k uː t	k u ř/r	k uː lʰ ¹	k u jh/dʒʰ ²	k u ç	k u s	k uː l ⁶/⁵¹	ɣ uː n ⁵⁶/⁵⁵	k uː c	
20_3_3shesheit								h ă n ³³ˀ/³³	h a n		h a n				ʔ a h ă n ³							h ă n ³⁴³ˀ/³⁴³	h a n	h ắ/a n					h a n ³		h a n	
212_38_fish	k aː ʔ	a k ɛa̯ ʔ	k ɑ ¹²	k a ³⁵	ʔ i k ə ʔ	k a ʔ	a k a ³⁴ˀ/³⁴	a k a ³³ ʔ	k aː	k a ³⁴	a k aː ³	a k aː ³	a k a ³⁴ˀ/³⁴	a k á/a	ʔ a k a ³	c ả/a	k aː ³	k aː ³	k aː ³	k a ³	k a ³	a k a̰ ³⁴³ˀ/³⁴³	k aː	k á/a	a k aː ³	k aː ¹	k â̰ː/aː	k â̰ː/aː	k aː ³	k aː ³	k aː	k aː ⁴⁵
214_39_fleshmeat		tʰ ì/i t	s i t ³¹	s i t ⁵⁴	s ɛ c			s i t ⁴⁴	s iː t		s iː t s ə l ɔː ŋ ⁴				ɕ i t ⁴					t i t ⁸/⁵³		s i t ⁴		s ị/i t	s i t ⁸/⁵³				s iː t ⁸/⁵³	s iː t ⁸/⁵³		tʰ ɨ t ²¹²
215_39_fleshmeat																nh/nʰ ú/u c	ɲ u k ⁷/⁵²	ɲ u k ⁷/⁵²														
216_39_fleshmeat										m ɔː ŋ ³³																m ɛː ŋ ²		m ɛ̰̂ː ŋ				
217_39_fleshmeat	ʔ a m ɑː ŋ																										ʔ a m ɔ̂ː/ɔː ŋ					
218_39_fleshmeat													l ɔ ŋ ⁴ ʰl i/j e ŋ ⁴³	l ɔ ŋ m a l i/j e ŋ																		
219_39_fleshmeat							p ui̯ ³⁴ˀ/³⁴					p o̻/o j ³																				
222_40_flyv	p iʳ/i l	p ă l	p ɤ̆ l ²²	p ɤ̆ n ³²			p ɤ ɽ ³	p ɤ̆ l ²³	p ɔ n	p ə n ³³	p ɤ l	p ə r ³	p ɤ̆ɯ̯ ⁴	p ɤ̌ l	p ɤ̆ l ¹	p ă l	p aə ¹	p a l ¹	b a n ¹			p ɤ̆ l ⁴	p i l	p ə l	p ə l ¹		p ɛ̂/ɛ n	p ɛ̂/ɛ n	p ʌ l ¹	p ʌ n ¹	p ʌ l	ɓ ai̯ ³³
227_41_footlowerleg					c a n											cʰ â/a n	c ə n ¹	c ə n ¹	c ə n ¹													c ə ŋ ³³
228_41_footlowerleg																				c ɔ ²	c ɔ t											
229_41_footlowerleg			k ɑ̆ ŋ ³³ ʔ	k ă ŋ ²¹²																									k a ŋ ⁵			
22_3_3shesheit												p əa n														p iː n ¹	p i n ¹					
230_41_footlowerleg	c iː ŋ	tɕ ì/i ŋ				ɟ ɨə ŋ	c i ŋ ³	c i n ³²³		c iː ɲ ⁴³	s iː ŋ	c i ŋ ³	c i̤ ŋ ³²	c i ŋ	c i ŋ ²							s i ŋ ³		c i ŋ	c iː ŋ ²	c iː ŋ ¹	c îː/iː ŋ	c îː/iː ŋ				
232_42_fullofacontainerv																t ầ/a y																ɗ əi̯ ²¹
233_42_fullofacontainerv									b l a m	b l a m ³³			m ə l ă m ⁴	b l ǎ/a m	ɓ l ă m ¹					l ă m ¹			b l a m	b l ă m	b l ǎ/a m						b l a m	
234_42_fullofacontainerv																													p l eː ³	ʈ eː ³		
235_42_fullofacontainerv		p ằ/a ɲ					p a c ³				p ɛ c	p á/a c ³										p ĭ c ³⁴										
236_42_fullofacontainerv	ɓ ʌ l																										b ʌ̤̀ n					
23_3_3shesheit					ʔ o ʔ	g əː																										
240_43_give		tɕ ɒː	c ɤ ²²	c ɤ ³²					c aə	c ə ³³	c ɤ		c ɤ ³	c ɤ	c ɤ ¹	cʰ o				c ɔ ¹	t ɔ ¹	c ɤ ³		c ʌə	c ɤ́/ɤ						c aə	c ɔː ³³
241_43_give																											ʔ u n	ʔ u n				
242_43_give	c uː n						c ɤ n ³	c ɤ n ²³				c ə̻/ə n ³																				
246_44_good			t o t ¹²	t o t ³⁵									tʰ o t ³⁴			tʰ ó/o cʰ				t oː t ⁷/⁵²	t o t ⁷/⁵²				tʰ ó/o t							t o k ⁴⁵
248_44_good												h a j ³		h ǎ/a i̯/i	h ă i̯/i ¹									h a j								
249_44_good		ʔ ie̯ m					kʰ ɤ̆ k ³				d iː											d i ³				d iː	d îː/iː	d îː/iː				
254_45_greenblue		ɕ ɛʲ/ɛi̯ ɲ	s ɛ ŋ ³²	s ɛ ŋ ³²						s aː ɲ ³³			s ɛ ɲ ⁴	ʃ ɛ ŋ	ɕ e ŋ ¹	x e nh/nʰ				s ɛ ɲ ¹	s ɛ ɲ ¹			s ĭ ŋ	s e ŋ							s a n ³³
255_45_greenblue							s a ɽ ɛu̯ ³⁴	s a r ɛ w ³²³			s ə r ɛː w											s a l ɛː w ³²⁴				s a l ɛː w ¹	s a l ɛ̂ː/ɛ w	s a l ɛ̂ː/ɛ w				
259_46_handarm	s ɪː	tʰ iː	s i ²²	s i ³²			s i ⁵	s i ²³	s əi	s əi ³³	s iː		ʂ ɤi̯ ⁴	ʃ i	ɕ i ¹	tʰ ay/ai	tʰ a j ¹	s a j ¹	s a j ¹	t ă j ¹	t ă j ¹	s ɪ ³	s iː	s i	s iː ¹	s iː	s îː/iː	s îː/iː	s iː ¹	s iː ¹	s ei	t ai̯ ³³
25_4_ant		k ie̯ nʼ/nˀ	k ɛ n ³¹ ʔ	ɣ ɛ n ⁵⁶/⁵⁵					k ɛː n						k ɛ̤ m ⁴	k i ể/e n	k i/j ɛ n ³	k i/j ɛ n ³	k i/j ɛ n ³	k i/j e n ⁴	k i/j e n ⁴	k ḛ n ³⁴³ˀ/³⁴³	k ɛː n	k i ẹ/e m	k è/e ɛ m ⁴	k ɛː n ²	k ɛ̰̂ː n	k ɛ̰̂ː n	k ɛː n ³	ɣ ɛː n ⁴	k ɛː n	k iː ŋ ⁴⁵
262_47_hardsolid									k ɔ ŋ									k ʌ ŋ ³		k ɨ ŋ ³										k ɨ ŋ ³	k ʌ ŋ	k ɨ ŋ ⁴⁵
264_47_hardsolid		tʰ ă nʼ/nˀ													k a ɕ ă n ³								k s a n	k s ắ/a n								
265_47_hardsolid											kʰ r ɛ h											kʰ a l ɪ h ³						kʰ a l í/i h				
26_4_ant								k a ɲ ɤ l ³³ˀ/³³				k ə ɲ ɨɘ r ³																				
270_48_head		u l ŏ k	k l o k ³¹	r u/w o k ⁵⁴			k u l ɔo k ³⁴	k a l ŏ k ²³	k l oː k	k l oː k ³¹	k a l o k	k u l oɔ k ³	k u l o k ³⁴	k u l ó/o k	k u l o̤ k ⁴	t l ó/o c	k l oː k ⁷/⁵²	k l oː k ⁷/⁵²	ʈ oː k ⁷/⁵²	ʈ oː k ⁷/⁵²	l oː k ⁷/⁵²	k a l ṵ k ³⁴	k l oː k	k ŭ l u ò/o k	k u l ò/o k ⁸/⁵³				k l oː k ⁸/⁵³	ʐ u/w o k ⁸/⁵³	k l oː k	
271_48_head	ʔ ɑː k																									ʔ ɔː k ¹	ʔ ɔ̤̂ː/ɔ̤ː k	ʔ ɔ̂ː/ɔː k				
275_49_hearlisten			ŋ ɛ ²²	ŋ ɛ ³²					ŋ ɛː	ŋ ɛ ³³ kʰ əːɨ ⁴³						n g e				ŋ ɛ ¹			ŋ ɛː								ŋ ɛː	ŋ ɛː ³³
276_49_hearlisten		t a ³³ m a̤ ŋ ³² t o l i s t e n '/ʔ															m a ŋ ¹	m a ŋ ¹	m a ŋ ¹					c ă m ǎ͗/a ŋ	c ə m a ŋ ³							
277_49_hearlisten								ŋ i t ⁴⁴			t ɨ l ŋ eː t t o l i s t e n '/ʔ				t a ŋ e t ³							ŋ e t ³⁴ t o h ea r '/ʔ										
278_49_hearlisten																										h a p a ŋ ²	t a p â̰/a ŋ	ʔ a p â̰/a ŋ				
283_50_heart			t i m ²²	t i m ³²					s ɛː m	l ɛe m ⁴³ s ɛe m ³⁴										t i m ¹	ʔ i m ¹		s eː m						t iː m ¹			t i m ³³
284_50_heart		l a ŋ ŏ̀h/o														n ỏ/o																
285_50_heart							t ɔ̆ ŋ ³⁴ˀ/³⁴	t ɔ̆ ŋ ³²³			t ɒ ŋ	t ɔ̻/ɔ ŋ ³	t ɔ̆ ŋ ⁴	p ɤ l i t ɔ ŋ	t o ŋ ¹							t ɒ̆ ŋ ³⁴³/³²⁴		t o ŋ	t oː ŋ ¹							
286_50_heart																										ɲ iː m ¹	ɲ îː/iː m	ɲ îː/iː m				
290_51_heavy	n a ŋ ʔ		n ă ŋ ³¹	n ă ŋ ⁵⁴				ʔ a n ă ŋ ³³ˀ/³³	n a ŋ		a n a ŋ	n a ŋ ³			n ă ŋ ³	n ặ/a n g	n a ŋ ⁴	n a ŋ ⁴⁶/⁴⁵	n a ŋ ⁴⁶/⁴⁵	n ă ŋ ⁴			n a ŋ	n ǎ͗/a ŋ	n a ŋ ³		n â̰/a ŋ	n â̰/a ŋ	n a ŋ ³	n a ŋ ⁴	n a ŋ	n a ŋ ²¹²
294_52_hornofdeernottusk			kʰ ʂ i ɲ ⁵⁴	ʂ ɯ̆ ŋ ³³		c n d r ɨ ŋ			kʰ l ɔ ŋ						ʂ ɯ̆ ŋ ²	kʰ ầ/a n g	kʰ ɨ ŋ ²	kʰ ə ŋ ²	kʰ ɨ ŋ ²	ʃ ɨ ŋ ² d j a j ¹			kʰ r ɨ ŋ	k r ɨ ŋ	ʈ ə ŋ ²				kʰ r ɨ ŋ ²	ʂ ɨ ŋ ²	kʰ l ʌ ŋ	s ɨ ŋ ²¹
296_52_hornofdeernottusk		t a k aːi̯					t a k ɔi̯ ³⁴ˀ/³⁴	t a k ɔ j ³²³			t a k ɔː j	t a k ɔ̻/ɔ j ³	t a k ɔi̯ ⁴	t a k ɔi̯												t k ɔː j ¹	t a k ɔ̂ː/ɔː j	t a k ɔ̂ː/ɔː j				
298_53_house			ɲ a ⁵⁴	ɲ ɑ ³³					ɲ aː						ɲ a ¹	nh/nʰ à/a	ɲ aː ²	ɲ aː ²	ɲ aː ²	ɲ a ²			ɲ aː	ɲ a	ɲ aː ²				ɲ ɐː ²	ɲ aː ²	ɲ aː	ɲ aː ²¹
2_1_1si			h ɤ̆ w ²²	h ɤ̆ w ³²					s a w				a h o ⁴	a h o	ʔ a h o ¹	h o				t ɔ ¹				h o	h o						s a w	t aːu̯ ³³
300_53_house	ʔ uːʰ/ṳː																									ʔ u h ²	ʔ ú/u h	ʔ ú/u h				
301_53_house								k a n ɔ ³³ˀ/³³			k a n ɔː											k a n ɒ̰ ³⁴³ˀ/³⁴³										
305_54_ininside			k l ɒ ŋ ²²	ʈ ɔ̆ ŋ ³²	k l ɛ ŋ	k l u/w ə ŋ		k a l ɔ ŋ ²³	k l ɔː ŋ		k ə l ɔː ŋ	k u l ɔ̻ː/ɔː ŋ ³			k l ɔ ŋ ¹	c o n g	k l ɔː ŋ ¹	k l ɔː ŋ ¹	ʈ ɔː ŋ ¹	ʈ ɔː ŋ ¹	ʔ l ɔː ŋ ¹	k a l ɒ̆ ŋ ³	k l ɔː ŋ	k l ɔ ŋ	l ɔː ŋ ¹	kʰ ə l ɔ ŋ ¹	kʰ a l à/a ŋ	kʰ a l à/a ŋ	k l ɒː ŋ ¹	ʈ a w ŋ ¹	k l ɔː ŋ	ʈ ɔ ŋm ³³
307_55_killv	k a c ᵊ/ə + ɔː t	k a tɕ i t	z i/j e t ¹²	z i/j e t ³⁵			ʄ i/j e t ³⁴	z i/j e̼/e ⁴⁴	ʄ i/j ɛ t H/h	p a ⁴²⁴ c eː t ²⁴	k a c ɛː t	a c ɛː t	ʄ e t ³⁴	k a c é/e t	c i t ³					j ɨe t ⁷/⁵²	z i/j e t ⁷/⁵²		p c eː t	k a c í/i t	k ə c iː t ⁷/⁵²			k a c ʌ̰̂ː/ʌː t	j i/j ɛ t ⁷/⁵²	j i/j ɛ t ⁷/⁵²		j iː k ⁴⁵
308_55_killv																p ó/o										p ɔ h ¹						
30_5_ashes		ʈ ɤ̀ː/ɤː	p l ɒ ²²	ʈ ɔ ³²																									p l ɒː ¹	ʈ ɔː ¹		ʈ ɔː ³³
312_56_knee		l u k u lʼ/lˀ	k l o k ³¹ k ɤ̆ l ¹²	r u/w o k ⁵⁴ k ɤ̆ n ³⁵			k a l o k ³ t a k u l ³ˀ/³	k a l ɔ k ²³	k u n k uː n	k uː n ⁴³ k uː n ²⁴	t ə k uː l ³	u k o̻ː/oː H/h	t u k u l ⁴	k u l ó/o k t a k u l	k u l o̤ k ⁴ t a k u l ³	c ổ/o lː ạ/a i			k oː n ³	ʈ o k ⁷/⁵² k o n ³	l o k ⁷/⁵² k u n ³	k a l ŭ k ³⁴ k u l ³⁴		k ŭ l u ò/o k t ŭ k ủ/u l	t ə k uː l ³	ʔ ɔː k ʔ a k uː l	ʔ ɔ̂ː/ɔː k ʔ a k ṵ̂ː/uː n	ʔ ɔ̂ː/ɔː k ʔ a k ûː/uː n			k u l k uː l	ɗ əu̯ ²¹ ɡ oːi̯ ⁴⁵
316_57_knowafactnotaperson				p i/j e t ³⁵																												ɓ iː k ⁴⁵
317_57_knowafactnotaperson		h iː	h ɤ̆ j ²²										h i ³⁴	h í/i	h i ¹	h ay/ai								h i	h í/i							
318_57_knowafactnotaperson	l uː ʔ						ɽ u ³⁴			lˠ u ³⁴												ɬ o ³⁴³ˀ/³⁴³				h u ʔ	h ú/u ʔ	h ú/u ʔ				
