Cognate_ID	Aha	Dzawinai	Ehe	Hohoodene	Kowaidakenai	Kumadene1	Kumadene2	Mauliene	Moliwene	Name	Oho	Tariana	Waliperi	Werekena
Chacon-2019-220-113_homeathome				ɽ iː p ɐ n a ɽ i k o			n u p a n a ɽ i k u	p a n t i ʐ i k o	ɽ i p a n a w i			w i h a p ə n i ts i s ɛ	p ɐ̃ː t i + i w a w a ɽ i k o	p a n i s i w ɛ h ẽ
Chacon-2019-220-114_in	ɾ e k a		ɾ i k u							ɾ i k o	ɾ i k o			
Chacon-2019-220-115_inside	l i w a w a l i k o		l i w a w a ɾ i k o							l i w a w a l i k o	l i w a w a l e k a			
Chacon-2019-220-116_jaguar	j aː w i		dz a w i							j aː w i	dz aː w i			
Chacon-2019-220-117_kill		n u i n o a k a	i n u a k e t i	w a j n o a k a n i	n u t u ɽ u a k a	w a j d o a n ĩ p ɛ	n u i n i o k a	n u i n o a k a	ɽ i n o a k a n i	iː n o k e t i	i n o a kʰ e t i	n ã ĩ n u ã h ĩ n ʊ̃ p ɛ	n u i n o a k a	n u j u tʃ i a
Chacon-2019-220-118_knee		h i u ʃ i		h aː ʃ i	n uː ʃ i		n u ʐ i p a d a	n u s i	ɽʰ i o ʐ i			tʰ u s i s i d a	ɽ i u ʃ u a tʰ e	n u kʷ a ɾ i t a ɽ e
Chacon-2019-220-119_know	j a nʰ i k a d a	n u a nʰ e k a	aː nʰ e k e t i	w aː h ẽ k i̥/i	n u a nʰ e		n u w a nʰ ẽ o k a	n u w a nʰ e n i	w a h l j ẽ ts a	j a nʰ eː k i	j a nʰ e kʰ e t i	p a e k a n i p ɛ	n u a h e n i	n u ts ɛ m i
Chacon-2019-220-11_above	l i eː k u e t e	ɽ iː k a	l i n a k o	ts ɛ n o n i s ɛ	ɽ iː k a h e		ɽ i a n i h o n i p e	dz e n o ʐ e		l i eː k u a n a	l i e k o a n a	ĩ h i e n u n i s ɛ		n i w a b a
Chacon-2019-220-120_lake	k aː l i t a		k aː l i t a							k aː l i t a	k a l i t a	m ã k a n a n ĩ		
Chacon-2019-220-121_tapuru				aː k o ʐ o			i u ʐ i	a k o ʐ o	a k o ʐ o			h i n ĩ s i	aː k o ɽ o	
Chacon-2019-220-122_leaf	l i pʰ e	ɽ iː pʰ e	l iː pʰ e	ɽ i pʰ ɛ	ɽ iː pʰ e		p a n a pʰ e	ɽ í/i pʰ ɛ	ɽ i pʰ ɛ	l i pʰ e	l i pʰ e	d i hʲ a pʰ ɛ p ɛ	ɽ i pʰ ɛ	ts aː p ɛ
Chacon-2019-220-123_left	i p a t o l i e m e t e	p aː t u ɽ i	p a t o l i e m a t i	p aː t o ɽ i	p aː t u ɽ i			i n a ʐ e m a		iː n a ɾ o eː m a	l i p a t o l i eː m a	p a s o ɾ e m ã		n ɐ n u
Chacon-2019-220-124_leg	l i k a w aː p a		l i k oː	ɽ i k a w a		w a j p a m ɐ	n u k a w a p a	n u k a w a p i	w a k a w a pʰ i	l i k a w a n a	l i k a w aː p i	p a i h i		n u tʃ i p a ɽ a
Chacon-2019-220-125_lying	j a k a d a j o a	ɽ i ʂ u a k a w a	i s ɾ u aː k t i	ɽ i k o a k a w a	n u ʂ u a k a	w a kʷ a n ĩ p ɛ	ɽ i u h aː k a o	n u s u a k a w a	n o ʂ o a k a	i k o aː k e t i	i t a k aː k e t i	n i ts u a k a n ʊ kʷ a nʰ ɛ̃	ɽ i ʂ o a k a w a	n u t u ɐ̃ mʰ ɐ̃ b a ɽ a
Chacon-2019-220-126_lightv	i k e ɾ a t a k a i t a									i k e ɾ a t a k e t i	i k e ɾ a t a k e t i			
Chacon-2019-220-127_lips				p a n u m a j a				n u n u m a j a	n u n u m a j ɛ			l i n ʊ m ʊ p u k i	ɽ i n u m a j a	
Chacon-2019-220-128_liver	l i s ɾ o p a n a	ɽ i ʃ u p a n a	l i k a v a ɾ e	n u ʃ u p a n a	ɽ i k a b a ɽ e		ɽ i u p a n a	n u ʃ u p a n a	n u ʃ u p ɐ n a	l i s ɾ u p a n a	l i s ɾ u p a n a	p ə k ə ɾ e t ã n a		n u p ɐ n a
Chacon-2019-220-129_long	h a l i p a n i pʰ a	j a p i	j aː p i	h a n i p a d a ɽ i	j a p e a p a ɽ i		h a ɽ i p a	t o ɽ o ɽ i p u k a n i		h a l i p a d a l i	j a p i d a l e	l i a k a w a n ĩ p a s i	j a p i kʰ a j	b a ɾ ɛ d e ɾ i
Chacon-2019-220-12_afternoon	d eː p i n a		d eː p i n a							d a i n o m a	d eː p i n a			
Chacon-2019-220-130_man	aː ts i a	ã tʃ i a ɽ i	a ts i n a l i	a tʃ i a ɽ i	a tʃ i n a ɽ i	a tʃ ĩ ã ɾ i	aː t i a	tʃ i a ɽ i	a tʃ i a ɽ i	aː ts i a	aː ts i a	ã tʃ i a ɾ i	a tʃ i ã ɽ i	e n a m i
Chacon-2019-220-131_many	h u ɾ e	m a n u p e	h u ɾ e	m a n u p ɛ	m a n u p e k a		eː p a	m a n u/u p ɛ	m a n u p ɛ	h o ɾ e	h u ɾ e	h a n ʊ̃ p ɛ	m ɐ n u p ɛ	a s u p ɛ ɾ i
Chacon-2019-220-132_milk				n u i n i a			ɽ iː n i a	n u i n i a				h i n i ts i a	h i n i aː t i	i j a p ɐ n ɐ
Chacon-2019-220-133_moon		k eː ʐ i		k eː ɽ i	k eː ɽ i		k eː ʐ i	k eː ʐ i	k eː ɽ i			k eː ɾ i	tʃ ɛː ɾ i	a s i t a
Chacon-2019-220-134_morning	d e p i t o		d eː p i t u a							p i o + p i n a k o	d eː p i t o a			
Chacon-2019-220-135_mother	n o d u a + d o a t i		n uː d u a	nʰ u d o a		h a d w a	nʰ u d w a	nʰ u d o a	h a d o a	n o d u a	n o d o a	n ãː k ã	h ɐ̃ d o a	n u s o ɾ o w a m i
Chacon-2019-220-136_mountain	a w a k a d a	h i dz a p a	a w a k a d a	h i dz a p a	h i dz a p a		h iː p a n a	h i dz a p a	h i dz a p a	h iː p a n a	h i dz a p a	h i a p a	h i dz a p a	j̃ a p a
Chacon-2019-220-137_mouth	l i n o m a	ɽ i n u m a	l i n o m a	ɽ i n u m a	ɽ i n u m a	w a n õ m ɐ		n u n u m a	ɽ i n u m a	l i n o m a	l iː n o m a	l i h e n ĩ	ɽ i n u m a	n u n u m a
Chacon-2019-220-138_name	l iː p i t a n a	ɽ iː p i t a n a	l i p i t a n a	ɽ iː p i t ɐ n a	ɽ iː p i t a n a		n u i p i tʰ i a n i	p e p i t a n a	ɽ iː p i t ɐ n a	l iː p i t a n a	p iː p i t a n a	ɾ i p i t a n a i a n ʊ k a	a tʃ i ã ɽ i	i s i n a
Chacon-2019-220-139_narrow	m e d a d a l i		ts u i t e	ts oː d a ɽ i			ts u a p o	ts uː k a ts a n i		ts oː k a i	ts oː p e k i	h e s a k a d e w a n ʊ t u k i	ts oː p ɛ k i	a ɾ ɛ p i l i
Chacon-2019-220-13_all	p i o m i	pʰ i u m e	p a d eː n i ɾ i	pʰ i o m ɛ	k a n a k u d a		pʰ i u m e	pʰ i u m ɛ	pʰ i u m ɛ	p i o m i	p a d e n i ɾ i	m e h a n ʊ̃ p ɛ	pʰ i o m ɛ	p a j ɛ ɾ o i
Chacon-2019-220-140_navel				ts eː p o ɽ ɛ			h ẽ p u h e	n u m u tʃ i	nʰ u ɛ p o ɽ ɛ			pʰ e p u ɾ e d a	nʰ u ɛ p o ɽ ɛ	n u m u d ɛ
Chacon-2019-220-141_near	ts oː m i ts a		ts uː m e ts a	ts uː m ɛ ts a			ts u m a i t i a	ts uː m e ts a		ts oː m i	ts oː m e ts a	k i d a l i p a t u k i	ts uː n ɛ ts o a	b u ɛ h ə
Chacon-2019-220-142_neck	l i n oː s ɾ o j a p i	ɽ i n u ʐ u	l i n oː ɾ u	p a n o ʐ o	ɽ i n u ʐ u		n u n a p o k o d a	n u n u ʐ o	ɽ i n o ʐ o	l i w eː d a l i k o	l i w eː d a l i k o	p a nʰ o ɾ uː	ɽ i n ɔ ɽ i	n u n u p i
Chacon-2019-220-143_new	w a l i d a l i	w aː ɽ i t e	w a l i d a l i	w aː ɽ i p ɛ	w aː ɽ i t e		w a ɽ i d a ɽ i	w a h i t ɛ	w a ɽ i d a ɽ i	w aː l i d a l i	w a l i d a l e	w a ɾ i p e ɾ i	w a ɽ i p ɛ	wʰ e n i a p a ɾ i
Chacon-2019-220-144_night	d eː p i	d eː p i	d eː p i ɾ i k u	d eː p i	d eː p i	d ɛː p ɪ	d eː p i	d ɛː p i	d ɛː p i	d eː p i	d eː p i n a	d eː p i	d ɛː p i	s i b u m a
Chacon-2019-220-145_no	k o ɾ i	k a ʐ o	kʰ e n i m	j̃ ã m ɛ	k a ʐ i m i		j̃ a m e	k a ʐ o	j̃ a m ɛ	ɲ a m e	k a ɾ o n	w i h ɛ k a d e	j̃ áː/aː m ɛ	j a nʰ ɐ̃
Chacon-2019-220-146_nose	l iː t a k o	ɽʰ i t a k u		h ɛ t a k o	ɽ i t a k u	w a h t a k u	h i t a k o	ɽ i t a k o	ɽʰ i t a k o	i t a k o	l i t a k o	ɾ i h t a k u	ɽʰ i t a k o	n u j a p a
Chacon-2019-220-147_old	o p i d a l i	p e d a ɽ j a	p e d a l i a	p e d aː ɽ i a	k o m o ɽ i k e i		p e k i ʐ i	p e d áː/aː ɽ i a		o p i d a l i	oː p i d a l e	p ẽ d a l i a		ɛ t e n ɛ l o
Chacon-2019-220-148_one	p a d a ts a	h a p a j t a	a p a d a n a l i	a p a i t a	h a p eː p a	pʰ ɛ p ɐ	h a p a d a	p a d a t a	a p a d a t a	p a d a ts a	p a d a ts a	p ə i t e t u k i	a p a d a	p a tʃ ɛ ɾ o
Chacon-2019-220-149_other	p a d a		a p a d a	a p a j t a			aː p e	pʰ e p a	a p a d a w a	a p a d a	p a d a	p aː s i	a p a j t a	p e j a h ɐ̃
Chacon-2019-220-150_path	w a w a	i n i p u	i n i p u	iː n i p o	e n i p u		i n i p o	i n i p o	i n í/i p o	i n i p o	i n i p o	h i n i p u	i n i p o	t ɛ n ɛ p u
Chacon-2019-220-151_people	n a i k i	n e w i k i	n a i k e	n e w i k i	n a i k e		n a i k i	n a i k i	n a j k i	a p a d a	n a i k i	m a ɾ i k ɪ	n aː w i k i	j̃ a m a ɾ i
Chacon-2019-220-153_pierce		p i k a n u m a o t a		p a t u d a k ɐ n i	p i t u nʰ u ã n i		n u t u h o a k a	n u t u h u a k a n i				n a k e ɾ i k ə n i p ɛ		p i k u ɾ u k ɛ h ə
Chacon-2019-220-154_play	i t o p i t a k a d a		m a ts oː t a k e t i							i t o p i t a k e t i	i t o p i t a kʰ e t i			
Chacon-2019-220-155_throw	i p eː k o k a d a		iː n u a k e t i	p aː k a k ɐ n i			m a d a ɽ i d a	n u i n o a k a		w a o k a k e t i	i p e k o k e t e			p i s i n a
Chacon-2019-220-156_pull	h iː ɾ a k a d a		h i ɾ a k a i t a	pʰ e ʐ aː k ɐ n i			p i ʐ aː k ã	h i ʐ a k a n i	k a ʐ a k ɐ n i	h i ɾ aː k e t i	h i ɾ a k e t i	p a p i t a f a p ɛ m e t a		p i ts o p ɐ̃ h a
Chacon-2019-220-157_push	i h i a ɾ e t a k a d a	p i d u i t a	p eː k e t i	p a d u j t a k ɐ n i	p i pʰ a d a k a		n u p i a h e t a i k a	n u p e d a t a k a n i		p i p i a l eː t a k a	i p e t aː k e t i	n a k a n i n a ɾ u kʷ i t a n i p ɛː		p i t ɛː t ɛ h ə
Chacon-2019-220-158_rain	iː j a	iː dz a	iː dz a	iː dz a	iː dʒ a	iː j a	ɽ iː a w	iː dz a	iː dz a	iː j a	iː dz a	iː j a	iː dz a	w e n i
Chacon-2019-220-159_red	i ɾ a i d a l i	i ʐ a j	iː ɾ a i	iː ʐ a j d a j	i ɽ a i k a n i	i ɾ i n ĩ p ɛ	ɽ iː j o	i ʐ a j k a n i	i ʐ a j d a ɽ i	iː ɾ a i d a l i	iː ɾ a i d a l e	i ɾ i k a n u k a	i ʐ a j d a ɽ i	i ɾ a ɽ i
Chacon-2019-220-15_and	s ɾ u a ts a k a		n e t e								n e t e			
Chacon-2019-220-160_right	m a ts i a n i		m a ts i a kʰ a i	p a dz ɛ k e m a			m a i a k a	n u dz e k e m a		m a ts i a	h a p eː d a l e	m a s i a k a n i		a n ɛ p i ɽ i
Chacon-2019-220-161_ripe				p ɛ d a ɽ i a			p a tʃ ĩ d a	p e d a ɽ i a k a n i				h a ɾ e p e ɾ i		i ɾ a ɽ i
Chacon-2019-220-162_river	uː n i		uː n i	uː n i		uː n ĩ	u n i + m a k a p e k i	uː n i	oː n i	oː n i		u n ĩː	oː n i	w e n i
Chacon-2019-220-163_stone	h iː p a d a	h i p a d a	h iː p a d a	h iː p a d a	h iː p a	h i p a ɾ ɐ	h iː p a d a	h i p a d a	h i p a d a	h iː p a d a	h iː p a d a	h i p ã d aː	h i p a d a	iː p a
Chacon-2019-220-164_root	l i p a l i	ɽ i p a ɽ i	l i p a l i	ɽ iː ʐ i	ɽ i p a ɽ i		h iː p a ʐ u	ɽ iː ɽ i	h i p a ʐ o	l i p a l i	l i p a l e	ɾ i p a ɾ i	ɽ iː ɽ i	m a h eː
Chacon-2019-220-165_rope	l i p a p i	h i n u ʐ u t i	l i p a p i	h i n o ɽ o t i	h i n u ɽ u t i		n u ʐ u t i	h i n o ɽ o t i		l i p aː p i	l i p a p i	ĩ h i n u ɾ u ts i		n u n a s i
Chacon-2019-220-166_rotten	iː p a k a d a		iː p a k a d a	iː p a k a d a			ɽ i p a k a	ɽ i p a k a w a		o eː k o d a l i	iː p a k a d a	n i k a u l i p a k a w a n i a n ã		tʃ i tʃ i l i
Chacon-2019-220-167_round		j a b u ɽʰ e d a ɽ i		m a dz a k a nʰ ĩ d a ɽ i	w eː m a k a		m a i a k a ŋ g a ɽ i	d a b u h e k a n i	tʃ i k ɛ ʐ ɐ n ɛ			m ã k a d a t u k i n ʊ k a	m a dz a k a nʰ ĩ d a ɽ i	tʃ i ɾ e ɽ i
Chacon-2019-220-168_run				t a ʐ a k aˀ a k ɐ n i			h ĩ k u k a w a	t a w a k a k a n i	t a w a k a d a ɽ i			n a m a ɾ e k a n ã	ɽ i m a ʐ a k a w a	t i p a ɾ a h ũ
Chacon-2019-220-169_saliva	h i w i t a k a d a		h i v i t a k e t i	pʰ e w i p a k a			n u n u m a i a	h i w i tʰ a k a	h a w í/i p a k a	h i v i t a k a	h i v i t a k e t i	p a i h i	n o a n ũ h ɐ	p i s o w ɛ t a
Chacon-2019-220-16_animal	m aː h i k a l i		k u f eː t i							m aː h i k a l i	i ts i ɾ i			
Chacon-2019-220-170_salt	j u k i ɾ a		j u k i ɾ a	j u k i dz a t a		iː w i	i u k i ʐ a	i k i ʐ a	j u k i ʐ a	j o k e ɾ a	j u k i ɾ a		n u k i ʐ a	j u k i ɾ a
Chacon-2019-220-171_say	i k a i t e k a i t a	p i k a i t e	k a i tʰ e k e t i		ɽ i tʃ e i t i		n u a k u			k aː k o k a	i k a i t e p e t e k i			p i n a m i h a
Chacon-2019-220-172_scratch	j oː p a t aː k a k a d a o		h i ɾ i a k e t i							p i w e t a k e t i	j o p a t a k a k e t i			
Chacon-2019-220-173_sea	m a k a p a w a n		uː n i m a n u p a w a n	m a k a p a + oː n i			m a k a p a w a	k o a k a p a n i k a	m a k a p a + oː n i	oː n i	m a k a p a w a oː n i	u n i h ã n i p ã n ʊ k a	m a k a p a w ɐ n i	s o a p o ɾ i
Chacon-2019-220-174_see	i k a p a k a i t a	n u k a p a	i k a p a k e t i	w a k a p a	n u k a p a k a		n u k aː p a	n u k a p a	n u k a p a	n u k a p a k a	i k a p a k e t i	n a k a n i p ɛ	n uː tʰ i	n ɛ t ɐ m i h ɐ̃
Chacon-2019-220-175_seed	l iː n a k a	ɽ i ʃ i	l iː ʃ i	ɽ iː n a k a	ɽ i ʃ i		ɽ iː h i	ɽ i ʐ i	ɽ i ʐ i	l iː s ɾ i	l i n a k a	n a p a p a n i a m i h i p i ɾ i h iː		ĩ j̃ a h a
Chacon-2019-220-176_sew	j oː k o k a d a		oː k o k e t i	p aː k o k a j			n uː k u k a	n u k u k a	p aː k ũ d a	j oː k o k e t i	j o k o k e t i	n a k u n i p ɛ		p i a ɾ i t ɛ h ə
Chacon-2019-220-177_sharp	k eː m a d a l i		k e m i n e t e							m eː m a i t e	k e m a n eː t e			
Chacon-2019-220-179_short	m e d a d a l i		m a d u a	m a d o a d a ɽ i			m a d o a ts a	m a d o a ts a		m e d a d a l i	m a d o a d a l e	m ã d ɔ k a d e u a n i p ɛ t u p ɛ	m a d o a d a ɽ i	a ɽ ɛ t i l i
Chacon-2019-220-17_arm				ɽ i n a p a		w a k a p i	n u n aː p a	n u n a p a	w ɐ n aː p a			p a k a p i	n ũ n aː p a	n a n u
Chacon-2019-220-180_sing	i k aː n t a k a i t a	p i k a m a ʐ a t a	k a n t a k e t i	w a h ɛ̃ t a k a	ɽ ĩ e ŋ g a ɽ i k a w a	w a wʰ e n ĩ p ɛ		n u a h ẽ t a k a	n u a h ẽ t a ɛ	n o k a n t a k o	i k a n t a k e t e	n a ɾ a p a n i p ɛ		k ɐ m a ɽ a ɽ a t a
Chacon-2019-220-181_sit	j oː f a k a d a	ɽ i ɸ a	o f a k e t i	w a h o a k a w a	ɽ i u h u a k a w a	w a wʰ a n ĩ p ɛ	ɽ i u mʰ a k a w a	n ũ h u a k a w a	n ũ h u a k a w a		j o h aː k e t i	w a h a n u k a n u k i	ɽ i ũ h ĩ ɐ̃ k a w a	p i s i a w a
Chacon-2019-220-182_skin	l iː a		l i k u ts i	ɽ i j a		l iː a m ɪ	ɽ iː ɽ o	ɽ i j a	ɽ i ts o t a	l iː a	l iː a	ɾ i j a	ɽ i j a	m aː t a
Chacon-2019-220-183_sky	eː n o		eː n o l i k u	ɛː ɲ o		ɐ h k o a p ɪ	e j n u	e n o ɽ i k o	eː n o ɽ i k ɔ ɽʰ ɛ	eː n o	eː n o	j e n u n ĩ	eː n o	eː n o
Chacon-2019-220-184_sleep	i m aː k a d a	n i m aː k a	m a k e t i	w e m aː k a	n i m aː k a	w ɛː m a n ĩ p ɛ	w e m aː k a	n u i m a k a	wʰ ɛ m aː k a	p e m aː k a	i m aː k e t e	t u p e m a w ã n i	n u m a k a	n u tʃ i m a m i
Chacon-2019-220-185_small		ts uː d a ɽ i		ts oː d a ɽ i	t e a ʃ e ɽ i		ts uː d a ɽ i	ts uː k a ts a n i	ts oː d a ɽ i			t u k i t u k i	ts uː d a ɽ i	ts u i t e ɾ i
Chacon-2019-220-186_smell	i m i a k a d a	ɽ i e m j a k a	e m i a k e t i	n ũ e m ĩ a k a	ɽ i e m j a k a w a			n u e m i a k a	n u n i a k a	j eː m i a k e t i	j e n i a k e t i	n e i m i ã n ʊ k a		p i s i m ɛ t a
Chacon-2019-220-187_smoke	i t a k a t i	i t aː	t a m a n a	iː t a	ɽ i t aː k a		ɽ i p aː k a	i tʰ a	t i dz ɛ + e t a k a	l iː t a k a	l i t aː k a	i tʃ a	i t a m ɐ n a	s j a ɾ i ɾ i
Chacon-2019-220-188_smooth	k eː t i d a l i		k eː t i	k ɛː p i d ɛ			k a h a i m e k a	k e t i k a n i		k eː t i	k eː t i d a l e	ĩ k e s i p e ɾ ɪ		a p i ts i l i
Chacon-2019-220-189_snake	aː p i		eː p i ts i	aː p i			aː p i	aː p i	aː p i	aː p i	aː p i	m a w a ɾ i	u m a w a ɽ i	u m e n i
Chacon-2019-220-18_ash	l i m a l e	t i dz e mʰ e n i	l i m a l e	p a ɾ i a d a	ɽ ĩː p e n i		ɽ i pʰ i e n + h e n	p a ɽ i	p a ɽ i a d a	l i m a l e	p a l i a p o k o a	k ã d a ɾ i	t i dz ɛ h e n i	p a ɾ i tʃ i
Chacon-2019-220-191_split	i n i w eː t a k a d a	p i m a t a k a	m a k aː k e t i	p a k eː t a k ɐ n i	p i m a t a k a		n u m a kʰ a k a	n u p e t i t a k a n i	n u h u ã k	w a ɾ e p aː t i k a	i t o k o a k e t i	m ə ɲ ã b o ts a m e m ẽ t a		p i ts o p ɛ h ə
Chacon-2019-220-192_squeeze	h i p a k a d a k a i d a	t a ʐ e	i p a t u i t a k a i t a	n u p a t u i t a k ɐ n i	t e a ʐ e		n u p a t w a i t a k a	ɽ i ã k a		h i t a k e t i		n ã n i n a p i s a n i p ɛ		p e p ɛ h ə
Chacon-2019-220-193_standing	j eː m a k a i t a		eː m a k e t i	p u eː m a			ɽ i u m a k a w a	n u e m a k a w a	n u e m a k a	w eː m a k a	j eː m a k e t e		ɽ i e m a k a	t e a tʃ i a
Chacon-2019-220-194_star	h i v i s ɾ i d a	h i w i s i	h i v i ʃ i	h i w i ʃ i	h i w i ʃ i	w a ɾ i w a ð ɐ p ɛ	h i w i ʐ i d e	h i w i ʃ í/i d a	h i w i ʃ í/i d a	h i v i s ɾ i d a	h i v i s ɾ i d a	w a ɾ i p ɛ ɾ a	h i w i ʃ i	w i m i n a ɽ i
Chacon-2019-220-195_straight	m a j a k a n i	ɽ i e m a k a	dz e k eː m a	m a dz a k a nʰ ĩ d a ɽ i	ɽ i e m a k a		m a h i a k a	m a dz a k a n i		m a j a k a n	m a dz a k a n d a l e	m a j a k a n iː		a n ɛ p i ɽ i
Chacon-2019-220-196_suck	i p e ɾ u k a d a	p i ts uː ts u k a	i p e ɾ o k e t i	n u p a t u i t a k a	ɽ i p u ts w a k a w a		n u p e ʐ u k a	n u p u ts o a k a	n u p u tsʰ o a k a	l iː ɾ a k a	iː ts o ts o k e t i	n ã ts u ts u k a		p i j u ɾ u ɛ h ə
Chacon-2019-220-197_sun	h e ɾ i	k a m o i	k a m u i	k a m o ĩ	k a m o i	ɐ h k o a p e j t ɛ		k a m o i	k a m o ĩ	h eː ɾ i	k a m o i	k eː ɾ i	k a m o i	p a tʃ i a ɽ ɔ
Chacon-2019-220-198_swellup	iː s ɾ a k a i d a	ɽ i ʃ a k a w a	iː s ɾ a k e tʰ i	n u i ʂ a k a w a	ɽ i ʃ a k a w a			ɽ iː ʂ a k a w a	ɽ i ʃ a k a d a p ɛ	iː s ɾ a k e t i	i s ɾ a k e t i	d i h a n i p ɛ		j a ɽʰ ə̃
Chacon-2019-220-199_swim	h i ɲ a k a d a	m aː ʃ a k a w a	a nʰ a k e t i	w a ʂ i a k a w a	n u a h ã k a w a			n u a ʂ a k a	w a ʂ i a k a	l i a i s ɾ aː k o	j a s ɾ aː k e t i	n a i h a n ã	ɽ i a ʂ a k a w a	j a b ɛ d a p i
Chacon-2019-220-19_back	l i nʰ a p i		l i nʰ i a p i	ɽ i t a m a			n o a wʰ e t e	n u tʰ a m a	p i t a m w a	l i t a m a	l i n aː pʰ i	n ũ tʃ ã m ẽ	n u p a h n ɛ p ɛ	n u n a p i t a
Chacon-2019-220-1_grate	i d a i t a k a d a	pʰ i e ʐ i t a	d a i t a k e t i		pʰ i ɽ i k e		h i ʐ i t a k ã			f e ɾ i t a k a	i d a i t a k e t i	p a kʰ a k ə n ĩ p ɛ		p i a k a ɾ a
Chacon-2019-220-200_tail	l iː t i pʰ i	ɽ i t i p i	l iː t i pʰ i	ɽ i e p i p e	ɽ i t i p i		ɽ i pʰ iː p i	ɾ i t í/i p i	ɾ i t í/i t i	l iː t i p i	l iː t i p i	l i p i ts i		ɾ i s i
Chacon-2019-220-201_tell				w aː k o			w a k o n ĩ p ɛ	n u n u a k o	k a ʐ o + n o a k u			n a j a n ʊ k a n u k i	n ũ k a j t i k a	
Chacon-2019-220-202_that	l i a ɾ a	h j ɛ t a h ã	n aː tʰ e	h i a	h j e t i		h i e t e h i		h i e t a h ɐ̃	t iː a	k u a k a l i e n a h a	h ã ɸ i t ɛ	ɾʰ i ẽ n a h ã	ɛ t a h ɐ̃
