Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
145_raw	i ³ ʔ i ³	j i ⁵ ʔ i ⁵	i ⁵ ʔ i ³		ʒ i ⁵ ʔ i ⁵					i ⁵ ʔ i ⁵				ʒ i ⁵ ʔ i ⁵	i ⁵ ʔ i ³			j ɨ ʔ ɨ			ʔ w i ¹		j i ⁵ ʔ i ⁵											j ɨ ³ ʔ ɨ ³										i ⁵ ʔ i ³	ʒ i ⁵ ʔ i ⁵		ʔ β i ¹															j e ʔ e	j i ⁵ i ⁵																			i ³ ʔ i ³																	ʒ i ⁵ ʔ i ⁵		i ³ ʔ ĩ ³		i ¹ ʔ i ³			i ⁵ ʔ i ³	i ⁵ ʔ i ³		j i ⁵ ʔ i ³	
146_river	ʒ u ¹ tʃ a ³	j u ¹ t a ³	i ¹ c a ³	j ʉ ¹ t a ³	ʒ u ³ tʃ a ³	i tʲ a	j u t e	i t a	ⁿd u t e + k a ʔ n ũ	i ¹ tʲ a ³	j u ʈʂ a	ʒ u tʃ a	j u ¹ tʃ a ³	ʒ u ¹ t e ³	i ¹ tsʲ a ³	j u t a	ʒ u tʲ a	j u ³ u ¹	ʒ u t e	n e k i ⁿg a ʔ a	k ɨ̃ ³	ʒ u t e	j u ¹ t a ³		j u t a	ʒ u a	ʐ u t e	ʒ u ¹ t e ³	j u t a	ʒ u ¹ t a ³	ʒ u t e	ʒ u tʲ a	ʃ u + ʃ u t e	j u ³ tʲ a ³	ʈʂ a ⁵	ʒ u ⁵ t e ⁵	j u ¹ tʃ a ³	ʒ u t e		ʂ u t e		j u tʲ a	ʒ u t a	i ¹ h tsʲ a ³	ʒ i ¹ tɕ a ³	j u t a	tʃ i ³ n e h ⁵ + nː e ³²	i ts a ⁵	ʒ u t e	ʒ u t e	k u ¹ tʃ u ¹⁵	ʒ u ts a	ʒ u ¹ tʃ a ³	ʒ u t e	j u t a	j u t a	j u ts a	ʒ u ¹ t e ³	ʒ u t e	j u tʲ a	ʒ u t e	j u t a	j u ¹ tʲ a ³	ʒ ɨ ³ tʲ a ⁵	ⁿd u t e + k a ʔ n ũ	ʒ u t e		j u t e	i t a	t i x i	j u t e	j u tʲ a	ʒ u ts a	t i + k a ʔ n ũ	j u u	j u ⁵ t a ⁵	j i ⁴ k u ⁴	ʒ u ⁵ t e ¹	ʒ u tʲ a	ʒ u ³ β i ³	i ¹ t e ³	j u ³ tʃ a ³¹	ʒ u ts a	ʒ u t e	j u t e	ʒ u ts a	j u tʲ a	j u ³ tʲ a ¹	ʒ u tʲ a	ʒ u ¹ t e ³	j u t a	ʒ u t a	ʒ u t e	ʒ u t e	j u ¹ tʃ a ¹	ʒ u ⁵ t e ¹	ʒ u t e	j o t e	ʒ u ¹ t e ³	ʒ i tʃ a	i ¹ tʲ a ¹	j u t e	i ¹ t a ³	j u ¹ t e ³	i ¹ t a ³	i ¹ t a ³	j u ¹ tʃ a ³	ʒ u t a	j ʉ ¹ t a ³	j u t e
147_sandal	ⁿts i ⁵ ts a ³	ⁿd u ¹ ʃ ã ¹	ⁿd i ¹ ʃ ã ⁵	ⁿd ʉ ¹ s a ¹	ⁿd ĩ ³ x ã ¹	ⁿd i ¹ ʃ ã ¹	ⁿd i s ã	ⁿd u ʃ ã	ⁿd ĩ ɲ ẽ	ⁿd i ¹ ʃ ã ⁵	ⁿd i s a	ⁿd u ¹ s a ¹	ⁿts i ¹ ts a ¹⁵	ⁿd i ³ h ã ¹	ⁿtʃ i ¹ ʃ ã ¹⁵	ⁿd i tʃ ã ʔ	ⁿd u s a	ⁿd i s a	ⁿd i x ã		k ã h ³	ⁿd i ʃ a	ⁿd i ³ s a ¹	tʃ i w i	ⁿd i tʃ ã ʔ	ⁿdʒ i s ã	ⁿd i x ã	ⁿd i ³ x ẽ ¹	ⁿd i tʃ ã ʔ	ⁿd u ¹ s a ¹	ⁿd i ¹ s ã ¹	ⁿd i s a	ⁿd i ⁵ ʔ ʃ ẽ ¹⁵	ⁿd i ¹ ts ã ¹	k ã h ³	ⁿd i ⁵ ʃ a ⁵¹	ⁿz i ¹ ts a ¹⁵	ⁿd i x ã	ⁿd i ʃ e	ⁿd i n̥ ɲ ã		ⁿdʲ i tʃ ã	ⁿd ʉ ʃ a	ⁿts i ¹ ʃ ã ¹⁵	i ⁵ + ⁿdʑ i ³ ɕ ã ¹	ⁿd ʉ s a	kː ə̃ h ³	ⁿtʃ i ʃ a	ⁿdʒ ĩ ĩ	ⁿd i x ã	ⁿd i ¹ ʃ a ⁵	ⁿdʒ i s a	ⁿd i ³ x ã ¹	ⁿdʒ ĩ ɲ ẽ	ⁿd i tʃ ã ʔ	ⁿd i tʃ ã ʔ	ⁿdʒ i s a	ⁿd i x ã	ⁿdʒ i s ã	ⁿd i tʃ ã		ⁿd i s ã	ⁿd i ¹ s a ¹	ⁿtʃ i ʃ a	ⁿd ĩ n̥ ɲ ẽ	tʃ a u	ⁿd i tʃ ã	ⁿtʃ a a	ⁿd u ʃ ã	ⁿd i xʲ ẽ	ⁿd i x ĩ	ⁿd i s ã	ⁿdʒ i s a	ⁿdʒ a a	ⁿd i tʃ ã	ⁿd i tʃ ã ʔ	ⁿd ɑ ³ k u ³	ⁿd i ⁵ s a ⁵	ⁿd i ʃ a	n ĩ ¹ xʲ ã ¹	i ⁵ + ⁿd i ¹ sʲ ã ⁵	ⁿd i ³ tʃ ã ³¹ ʔ	ⁿʒ i s a	ⁿd i ¹ s a ¹	ⁿd i s a	ⁿdʒ i s a	ⁿd i tʃ ã ʔ	ⁿd i tʃ ã	ⁿd i ʂ a	n ĩ ¹ xʲ ã ¹	ⁿd i tʃ a	ⁿd u ʃ a	ⁿd i ʂ ã	tʃ u a	ⁿd i ⁵ ɲ̊ a ¹		ⁿdʒ i ʃ ẽ	ⁿd i s ã	n i ¹ x ã ¹	ⁿtʃ i ʃ a	ⁿd i ³ ʃ ã ¹ ʔ	ⁿd i s ã	ⁿd i ¹ ʃ ã ⁵	ⁿd i ¹ s ã ¹	ⁿd u ¹ ʃ ã ⁵	ⁿd i ¹ ʃ ã ⁵	ⁿd s i ¹ ts a ¹⁵	ⁿd i ¹ s a ¹	ⁿd i s a	ⁿdʲ i s ã
148_sisterofwoman	k u ³ ʔ u ³	k i ¹ ʔ β i ¹			k u ⁵ ʔ u ³					k u ¹ ʔ β i ¹				k u ³ ʔ u ¹	k u ³ ʔ u ¹			k u ¹ ʔ u ¹			ʒ u ³ w i h ³		k u ³ ʔ u ¹					k u ¹ ʔ u ¹		k i ¹ ʔ β i ¹	k u ¹ ʔ u ¹		t a ʔ ã	k u ¹ ʔ β i ¹	ʃ u ʔ w i h ³²	k u ⁵ ʔ u ⁵								k u ³ ʔ i ¹	k i ¹ ʔ β i ¹		tʃ u ² kʷ i ³ ʔ i ³²						k u ¹ ʔ u ¹					k u ¹ ʔ u ¹			k u ʔ u	k u w i																						k u ¹ ʔ u ¹				k u ¹ ʔ u ¹							k u ³ ʔ u ¹				k u ¹ ʔ u ¹		k u ³ ʔ w a ¹		k u ³ ʔ β i ¹		k u ¹ ʔ β i ¹	k u ¹ ʔ β i ¹	k u ¹ ʔ u ¹			
14_chayote	n a ³ ɲ a ³	n a ³ ɲ a ¹			n ã ⁵ ɲ ã ⁵					n a ³ ɲ a ⁵			n a ³ ɲ a ¹⁵	n a ³ ɲ a ³	n a ³ ɲ a ¹⁵						n i ³ t ĩ ³²		t i ¹ + n e ³ ĩ ¹					n a ³ ɲ a ³																n a ³ h ɲ a ¹⁵	n a ³ ɲ a ¹		n i ³ t ĩ ³²															n a ɲ a	t i ³ + n a ⁵ ɲ a ¹														n ʔ ĩ ⁴																										n a ³ ɲ a ⁵		n a ³ ɲ a ⁵		n a ³ ɲ a ¹⁵			
150_tail	ⁿd o ³ ʔ o ¹	s i ¹ ʔ m a ¹	ⁿd õ ʔ ã	s ĩ ʔ m ã	s u ⁵ ʔ m a ³	ⁿd o ³ ʔ o ⁵	ⁿd o ʔ o	s ĩ ʔ m ã	ð ũ ʔ m ẽ	ⁿd o ³ ʔ o ⁵	ⁿd o ʔ o	ⁿd o ʔ o	ⁿd o ³ ʔ o ⁵	s u ³ ʔ m a ¹	ⁿd o ³ ʔ o ¹⁵	s ũ ʔ m ã	ⁿd o ʔ o	s u ʔ m a	s ũ ʔ m ã	t u n e ʔ a	d u n e ³ ʔ e + ʃ u h ³	ð ũ ʔ ã	ⁿd o ⁵ ʔ o ¹	ð ũ ʔ m ẽ	s ũ ʔ m ã	ð ũ ʔ m ã	s ũ ʔ m ã	s ũ ʔ m ã	s ũ ʔ m ã	ⁿd o ⁵ ʔ o ¹	ⁿd o ʔ o	ⁿd o ʔ o	ð u ⁵ ʔ m e ¹	h u ¹ ʔ m a ¹	t u n e ʔ ⁴	ð u ⁵ ʔ ã ⁵	ⁿd o ʔ o	ⁿd o ʔ o	ð ũ ʔ m ẽ	ð ũ ʔ m ã	ⁿd u k u + d a i + i t i	s ũ ʔ m ã	ⁿd o ʔ o	ⁿd o ³ ʔ o ¹⁵	ⁿd o ³ ʔ o ¹	ⁿd o ʔ o	t u ³ n e ʔ ³	ⁿd o ʔ o	ð ũ ʔ m ẽ	s ũ ʔ m ã	ⁿd o ⁵ ʔ o ³	ð ũ ʔ m ã	s ũ ³ ʔ m ã ³	ð ũ ʔ m ẽ	s ũ ʔ m ã	s ũ ʔ m ã	ð ũ ʔ m ã	s ũ ʔ m ã	ð ũ ʔ m ẽ	s ũ ʔ m ã	ⁿd o ʔ o	ð u m a	ⁿd o ³ ʔ o ¹	ⁿd o ʔ o	ð ũ ʔ m ẽ	l ũ ʔ m ẽ	s ũ ʔ m ã	ð ũ ʔ m ã	s ũ ʔ m ã	s ũ ʔ m ẽ	s ũ ʔ m ã	s ũ ʔ m ã	ð ũ ʔ m ã	ð ũ ʔ m ã	s ũ ʔ m ã	s ũ ʔ m ã	ⁿd u ⁴ k u ¹ + ð e ¹ ʔ ẽ ³	l ũ ʔ m ã	s ũ ʔ m ã	s ũ ¹ ʔ m ã ¹	ⁿd o ³ ʔ o ⁵	s ũ ʔ m ã ʔ	ð ũ ʔ m ã	ⁿd o ʔ o	ⁿd o ʔ o	ð ũ ʔ m ã	s ũ ʔ m ã	s u ¹ ʔ m a ¹	ⁿd o ʔ o	s ũ ¹ ʔ m ã ¹	s ũ ʔ m ã	ⁿd o ʔ o	ð ũ ʔ ã	ð ũ ʔ m ã	s u ¹ ʔ m a ¹	s u ⁵ ʔ m a ¹	ð ũ ʔ m ã	ⁿd o ʔ o	s u ¹ ʔ m a ¹	ⁿd o ʔ o	s u ³ ʔ m a ¹ ʔ	ⁿd o ʔ o	ⁿd o ³ ʔ o ⁵	ⁿd o ³ ʔ o ¹	ⁿd o ³ ʔ m a ⁵	s u ¹ ʔ m a ⁵	ⁿd o ³ ʔ o ⁵	ⁿd o ʔ o	ⁿd o ʔ o	ⁿd o ʔ o
151_uncle	ʃ i ³ t o ¹	s i ³ t o ³		s i ³ t o ³	s t o ³ o ¹					ʃ i ³ t o ³				ʂ i ³ t o ¹	ʃ i ³ t o ³			ʃ i t o		t a n ẽ ʔ a	d a ³ ʔ n ẽ ʔ ³		ð i ³ t o ³					s t o ³ o ³		h i ¹ t o ¹	ð i ³ t o ¹		ð i ⁵ t o ⁵	i ¹ x t o ¹	t a ʔ n u ʔ ³	ð i ⁵ t o ⁵¹	ʃ i ³ t o ¹				d u n u			ʃ i ³ t o ³	ʃ i ³ t o ³		t a ³ ʔ n ũ ʔ ³						s t o ³ o ¹					s t o ³ o ¹			ʃ t o o	ð i t o	ʃ i ³ t o ¹													ʃ i ³ t o ³	ð u ⁴ n u ¹	ð i ¹ t o ⁵				t a + tʃ a ʔ n u		ð i ³ t o ¹				ʃ i ⁵ t o ⁵							ʃ i ³ t o ¹				ʃ i ³ t o ¹		ʃ i ¹ t o ¹		ʃ i ³ t o ³		ʃ i ² t o ²	ʃ i ³ t o ²	ʃ i ³ t o ¹			
152_ant	tʃ + o ³ k o ¹	tʲ + o ¹ k o ³			tʃ + o ⁵ k o ⁵					tʲ + o ³ k o ⁵			tʃ + o ³ k o ¹⁵	tʲ + o ³ k o ³	tsʲ + o ¹ k o ⁵			tʲ i ¹ + j o ¹ k o ¹		ʃ u + kʷ a	ʃ u ³ + kʷ a ³		t i ¹ + ʔ i ¹ ʔ a ⁵										ts + o ⁵ k o	tʲ + o ³ k o ⁵	ʃ + kʷ a ³						i + k u			tsʲ + o ¹ k o ⁵	tɕ + o ³ k o ⁵		tʃ u ³ + kʷ a ³															t i + j o k o	t + i ¹ k u ¹														i ³ + k u ¹											t ɨ ³ + j o ¹ k o ¹													s i ¹ + ⁿd + o ³ k o ¹ ʔ		tʲ + o ¹ k o ⁵		tʲ + o ¹ k o ⁵	tʲ + o ¹ k o ⁵	tʃ + o ³ k o ¹⁵			
153_ash	ʒ a ¹ a ¹	j a ¹ a ¹ + n o ⁵ ʔ o ³			ʒ a ¹ a ¹					j a ¹ a ⁵			j a ¹ a ⁵	ʒ a ³ a ¹	j a ¹ h a ¹⁵			ɲ i + j a a		j a	jː a h ³		j a ³ a ¹											nʲ a ³ a ¹	j a h ³									j a ¹ h a ¹⁵	ʒ a ¹ a ¹		jː a h ³															j a a	j a ³ ʔ a ¹														j i ¹ j a ¹																			ʒ a ³ a ⁵							j a ¹ a ⁵		j a ¹ a ⁵	j a ¹ a ⁵	j a ¹ a ⁵			
154_bed	ts i ⁵ t o ¹	ʃ i ¹ t o ³	ʃ i t o	ʃ i t o	x ɨ ³ t o ³	ʃ i ¹ t o ⁵	ʃ i t o	ʃ i t o	ʒ i t o	ʃ i ¹ t o ³	s i t o	ʃ i ¹ t o ³	ts i ¹ t o ³	h i ¹ t o ³	ʃ i ¹ t o ³	tʃ i t o	s i t o	tʃ i t o	x i t o		n a ³		ʃ i ¹ t o ³	i t o	tʃ i t o		x i t o	x i t o	tʃ i t o	ʃ i t o		ʃ i t o	i t o	ts i ³ t o ³		ʃ i t o	tʃ i t o	x i t o	i t o	i t o	j u ⁿd u	tʃ i t o	ʃ i t o	ʃ i ¹ h t o ³	ɕ i ¹ t o ³		nː a ³	ʃ i ¹ t o ⁵	i t o	x i t o	ʃ o ¹ o ⁵	ʃ i t o	x i ¹ t o ³ + j u ³ u ³	i t o	tʃ i t o	tʃ i t o	ʂ i t o	x i ³ t o	ʃ i t o	tʃ i t o		s i t o	s i ¹ t o ³	ʃ i t o	ʒ i t o	ʃ i t o	tʃ i t o	ʃ i t o	ʃ i t o	i t o	i t o	s i t o	ʃ i t o	i ʃ t o	tʃ i t o	tʃ i t o			ʃ i t o	i ¹ t o ³	i ¹ ʃ t o ³	tʃ i t o	ʃ i t o	ʃ i t o			tʃ i t o	tʃ i t o	ʂ i t o	i ¹ t o ³	tʃ i t o	ʃ i t o	ʂ i t o	ʃ i t o	x i t o	ʃ i ⁵ t o ¹	s i t o	ʃ i t o	x i ¹ t o ³	ʃ i ¹ t o ⁵	ʃ i t o	ʃ i t o	ʃ i ¹ t o ³		ʃ i ¹ t o ³	i ¹ s t o ³	ts i ¹ t o ³	ʃ i t o	ʃ i t o	ʃ i t o
155_bee	ɲ u ³ ɲ u ³	t i ⁵ + ɲ o ⁵ ɲ o ³			t ɨ ³ + m i ⁵					t i ⁵ + ɲ u ¹ ɲ u ⁵			ɲ u ¹ ɲ u ¹⁵	ɲ u ³ ɲ u ¹	ɲ u ¹ h ɲ u ¹⁵			ɲ u ɲ u		ʃ u + t ã	ʃ u ³ + t ã ³		ɲ o ³ ɲ o ¹										k ɨ + t u m e	ɲ u ¹ ɲ u ¹	ʃ o ⁿg o ʔ ⁴	t + ⁿd a ⁵ k a ¹					i t i + j ẽ			ɲ u ¹ h ɲ u ¹⁵	ɲ u ¹ ɲ u ¹		tʃ u ³ + t ã ³															ɲ u ɲ u	t i ⁵ + ɲ o ³ ɲ o ¹														j ʔ ẽ ⁴¹																			ɲ u ³ ɲ u ³							ɲ u ¹ ɲ u ⁵		t i ⁵ + ɲ u ³ ɲ u ⁵	ɲ u ¹ ɲ u ⁵	ɲ u ¹ ɲ u ¹⁵			
156_big																				ʃ a tʃ i a															k a ʔ ã ¹												ʃ i ³															kʷ a ʔ a																																																
157_bitter	u ³ β a ³	j o ¹ β a ¹	u β a	j o w a	u ³ a ¹	u β a	u a	j o w a	u w e	u ¹ β a ¹	e w a	i β a	u ¹ β a ¹	k a ³ ʒ a ³	o ¹ β a ¹	u w a	i a o	u β a	u w a		a ³ i ʔ ¹		o ³ β a ¹	u w e	u w a	u w a	u w a	u ³ β a ¹	u w a			e β a	u β e	u ¹ β a ¹	e ʔ ¹		u β a	u w a	u a	u w a	j a	u w a		o ¹ β a ¹	o ¹ β a ¹	o β a	j a ¹ iˀ ¹	o β a	a t u	u w a	o β a	u w a	u ³ a ¹	u w a	u w a	u β a	u w a	u w a	u a	u w a		a t u	i ¹ β a ¹	o β a	u w e	u a	u w a		u w a	u β a	u β a	u w a	u w a	u a	u w a	u β a	j ɑ ³	u ⁵ a ⁵	u β a	u ¹ β a ¹	u ¹ w a ¹	u β a	u β a	o β a	u w a	u w a	u β a	u β a	u β a	u ¹ w a ¹	u a	o β a	u a	u a	u w a	u ⁵ β a ¹	u w a	u a	u ¹ β a ¹	o ⁵¹ β a	u β a	u a	u ¹ β a ¹	u ¹ a ¹		u ¹ β a ¹	u ¹ β a ¹	i a a		w a a
158_blood	n i ³ i ¹	j i i	n i ¹ i ⁵	n ĩ ¹ ĩ ¹	n ɨ ⁵ ɲ ɨ ¹	n ĩ ¹ ĩ ⁵	n ĩ ĩ	n ĩ ³ ĩ ¹	n ɨ̃ ɲ ɨ̃	n i ¹ i ⁵	n ĩ ¹ ĩ ¹	n ĩ ¹ ĩ ¹	n ĩ ¹ ĩ ⁵	n i ³ ɲ i ¹	n i ¹ h i ¹⁵	n ɨ̃ ɲ ɨ̃ ⁵	n ĩ ¹ ĩ ¹	n ɨ ¹ ɲ ɨ ¹	n ĩ ɲ ĩ	t ũ ʔ a	t ũ ³	n ĩ ɲ ĩ	n i ³ i ¹	n ɨ̃ ɲ ɨ̃	n ĩ ⁵ ĩ ⁵	n ĩ ⁵ ɲ ĩ ¹	n ĩ ɲ ĩ	n ɨ̃ ³ ɲ ɨ ¹	n ĩ ⁵ ĩ ⁵	n ĩ ĩ	n ĩ ĩ	n ĩ ¹ ĩ ¹	n ɨ̃ ɲ ɨ̃	n ɨ ¹ ɲ ɨ ¹	t õ ʔ ³²	ɲ ɨ ⁵ ɲ ɨ ⁵	n ĩ ĩ	n ĩ ɲ ĩ	n ɨ̃ ɲ ɨ̃	n ĩ ɲ ĩ	j ũ	n ɨ̃ ɲ ɨ̃	n ĩ ĩ	n i ¹ h i ¹⁵	n i ¹ i ¹	n ĩ ĩ	tː ũ ³	n ĩ ¹ ĩ ĩ ⁵	n ɨ̃ ɲ ɨ̃	n ĩ ɲ ĩ	n ĩ ³ ĩ ¹⁵	n ẽ ¹ ɲ ẽ ¹	n ɨ̃ ³ ɲ ĩ ³	n ɨ̃ ɲ ɨ̃	n ĩ ɲ ĩ	n ĩ ɲ ĩ	n ĩ ɲ ĩ	n ĩ ɲ ĩ	n ĩ ĩ	n ɨ̃ ¹ ɲ ɨ̃ ⁵		n e ɲ e	n ĩ ¹ ĩ ¹	ɲ ĩ ĩ	n ɨ̃ ɲ ɨ̃	n ɨ̃ ɲ ɨ̃	n ɨ̃ ¹ ɲ ɨ̃ ⁵	n ĩ ⁵ ĩ ⁵	n ĩ ĩ	n ɨ̃ ɲ ɨ̃	n ɨ̃ ɲ ɨ̃	n ɨ̃ ⁵ ɲ ɨ̃ ⁵	n ĩ ɲ ĩ	n ĩ ¹ ĩ ¹	n ɨ̃ ¹ ɲ ɨ̃ ⁵	n ĩ ɲ ĩ	j ũ ³	n ɨ̃ ɲ ɨ̃ ⁵	n ɨ̃ ɲ ɨ̃ ⁵	n ĩ ¹ ɲ ɨ̃ ⁵	n ĩ ¹ ĩ ⁵	n i ³ i ³¹ ʔ	n ĩ ɲ ĩ	n ĩ ĩ	n ĩ ĩ	n ĩ ¹ ɲ ĩ ¹	n ɨ̃ ɲ ɨ̃	n ɨ ¹ ɲ ɨ ¹	n ĩ ĩ	n ĩ ¹ ɲ ɨ̃ ⁵	n ĩ ɲ ĩ	n ĩ ³ ĩ ¹⁵	n ɨ̃ j̃ ɨ̃	n ɨ̃ ¹ ɲ ɨ̃ ⁵	n ɨ̃ ɲ ɨ̃	n i ⁵ ɲ i ³	n ĩ ɲ ĩ	n ĩ ¹ ĩ ¹	n ĩ ¹ ɲ ĩ ¹	n ĩ ¹ ĩ ¹	n ĩ ĩ ʔ	n ĩ ĩ	n ĩ ¹ ĩ ⁵	n ĩ ¹ ĩ ¹	n i ¹ i ⁵	n i ¹ i ⁵	n i ¹ i ⁵	n ĩ ³ ĩ ¹	ɲ i ¹ i ¹	n ĩ ¹ ĩ ¹
159_blousewoven			ʃ i ¹ k ũ ¹	s i k õ	ð i ¹ k o ¹	ʃ i ¹ k ũ	ð i k ũ	ʃ i k ũ	ð i̥ k ũ	ʃ i ¹ k ũ ¹			s a ³ ʔ m a ¹⁵ + kʷ i ³ ts i ¹	ʂ i ³ k ĩ ¹		ʃ i k ũ		s u ⁿd u ʔ u	ʃ i t n̥ ĩ		r i ʔ ³ n ĩ ⁴	ð ũ ʔ n ũ + m u tʃ i		ð i x ũ	ʃ i k ũ	ð õ ʔ n õ	ʃ i k u		ʃ u k ũ				ð ũ ʔ n ũ	ʃ i ¹ k ũ ¹	ʂ o ʔ n o ʔ ⁴	ð ũ ⁵ ʔ n u ⁵		s ũ ʔ n ũ	ð ã ʔ m ã			ʃ u k ũ			ʃ i ¹ k ũ ¹	k o t o	ʈʂ u ³ ʔ n ũ ʔ ⁴					ð õ ʔ n õ	s ũ ³ ʔ n ũ ³		ʃ i k u	ʃ i k u	ð õ ʔ n õ	s ũ ʔ n ũ		ʃ i k õ		ð i k o		ʃ i k ũ	ð i̥ k ũ	ð i k ũ	ʃ u k ũ		ʃ i k õ	s õ ʔ n õ	s ũ ʔ n ũ	ʃ i k ũ	ð ũ ʔ n ũ	k u t u u	ʃ i k ũ	ʃ i k u	j ʔ u ⁴ t u ¹	ð i ⁵ k ũ ⁵		ʃ i ¹ k ɨ̃ ⁵	ʃ u ¹ k ũ ¹	ʃ i ³ k ũ ³¹	ð õ ʔ n õ	ð õ n õ		ð ũ ʔ n ũ	ʃ i k ũ	ʃ i k ũ	s ũ ʔ n ũ	ʃ i k ɨ̃		θ i k o	ð u tⁿ ũ		s ũ ʔ n ũ		ð õ ʔ n õ	ð ũ ʔ n ũ	ʃ ĩ ¹ k ĩ ¹		ʃ i̥ ³ k ũ		s a ³ ʔ m a ⁵ + ⁿd a ⁵ ʔ β i ³			ʃ i ¹ k ũ ¹	s a ³ ʔ m a ¹⁵	s a k u		
