Cognate_ID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
122_76_monkey		m j au ʔ ⁵²		m j æu ʔ ³¹	m j ai ŋ ⁵⁵		
123_77_gibbon			n ɔ̃ ʔ ³¹				n ɔ ʔ ³²
124_79_porcupine	t j ṵ ³		b j u ³	p j ṵ ⁵²	pʰ j u ʔ ⁵⁵	pʰ r uˀ	b j u ⁵³
125 126_80_rat		ɣ o ²³ + n a ʔ ⁵²	g ɛ n ³² + n ɔ̃ ʔ ³				
125_80_rat	g j u ʔ ⁴²			ɣ o k ³²		k r w a t	
127 128_81_dog			kʰ u/w e ³² + l a ⁵³	kʰ a ² + l ə			
127_81_dog	kʰ u/w i ⁴⁵	kʰ u/w i ²³			kʰ u/w i ³¹	k eː	kʰ u/w i ³¹
129_82_bark					kʰ u/w e ⁵⁵		kʰ u/w i ³²
130_82_bark	dʒ j æ p ⁴²		g j æ p ³	ɣ e ʔ ³			
131_83_bite	ŋ a t ³¹		ŋ ai t ³	n a ³²			ŋ a t ³²
132_85_pig	w u ʔ ⁴²	v w a ⁵²	w u ʔ ³	v ɔ ʔ ³²	w ʊ ʔ ³¹	w a k	w a ʔ ³¹
133 134_86_cow				n o ŋ ⁴ + dʒ au ŋ ⁵¹			n ɔ ³ + dʒ u ŋ ⁵³
133_86_cow	n j u ³	n au ⁵²	n ũ ³		n u ³¹	n w aː	
135_87_milk	n au ⁵	n au ²³	n au ⁴	n o ŋ ³	n u ³¹	n u/w iˀ	n au ³
136_88_buffalo	l u/w i ⁴	l u/w i ⁵²	l i ³	l ö/œ i ³	l i ³¹		l u/w i ³¹
137_89_buffalohorn	kʰ j æu ³	kʰ j u ³	kʰ j au ³²³	kʰ j o ʔ ⁵²		kʰ j u/w i	kʰ j u/w i ⁵³
139 140_90_tail		m i ⁵² + sʰ a ²³		m ḭ ⁴³ + ʃ ɪ ⁴			m i ³¹ + ʃ ɔ ⁴³
139_90_tail					m i ³¹	m r iː	
141_91_elephant	tsʰ a ŋ ³		tsʰ a ŋ ²	tsʰ a ⁵³		tsʰ a ŋ	
142_92_elephanttusk	d z u/w i ³¹	t u/w i ³	d z i ⁵²	d z ö/œ i ³¹	sʰ u/w i ⁵⁵	tsʷ ai	d z u/w i ³¹
143_93_bird	ŋ ɔ̰ ʔ ⁵²	ŋ a̰ ʔ ⁵²	ŋ ɔ̰ ʔ ⁵²	ŋ ɔ̰ ʔ ⁵⁴	ŋ a ³¹	h ŋ a k	ŋ ɔ̰ ʔ ⁵⁴
144_94_birdnest	s u/w a t ⁵⁴		s oi ʔ ⁵³	s ai t ⁵⁴	ʃ a ʔ ³¹	s u/w i k	s ʊ t ⁵
145_95_wing	d u ŋ ³¹		d o ŋ ⁵¹	d au ŋ ⁴¹	t ɔ ŋ ⁵⁵	t au ŋ	d u ŋ ³¹
146 147_96_feather			m au ³⁵ + ʔ a ³			m w eː + ʔ ə	
146_96_feather	m au ⁴⁵			m o̰ k ⁵	m j ai		m au ³¹
148_97_fly	d a ŋ ³		d a ŋ ³	d a ⁴		p j a m	d a ŋ ⁵³
149_98_egg	ʔ u ʔ ⁵³	ɣ ṵ ²³	w ɨ̰ ʔ ⁵³	au ⁵⁴	ʔ u ³¹	ʔ uˀ	ʔ u ³
14_9_lightning			l æ̰ p ⁵³			h l j a p	l a̰ p ⁴
150_99_chicken	g j ɔ ʔ ³¹	ɣ ɔ ʔ ²³	g j ɔ ʔ ³²	ɣ ɔ ʔ ³²		k r a k	β w ɔ ʔ ³²
151_100_duck	b ɛ ³		b ə ³			b a	
152_101_fish	n ⁴³	ŋ ə	ŋ ə ³	ŋ o ³	ŋ a ³¹	ŋ aː	ŋ ɔ t ³
153 154_102_snake	l a̰ ŋ ³ + n j i ³¹		l a̰ ŋ ³⁴ + m j ũ ⁴¹	l a̰ ³ + m o̰i ³²			l a̰ ŋ ⁵³ + m u/w i ³¹
154_102_snake		m e ³				m r w e	
155_103_houselizard			dʒ ɛ ⁵				d z u ŋ ³
156_105_crocodile	m a n ³¹				m i ³¹	m iˀ	
157_106_frog	p ṵ ⁵	p a ²³	p u ⁵	p o̰ ³	p a ³¹	pʰ aː	b ɔ ³¹
158_107_insect	b au ³				p u ³¹	p u/w iː	b au ³¹
159 160_108_spider			m j ɛ ³ + g a ŋ ³²				m j a̰ ⁴ + g ɔ ŋ ³²
15_10_thunder			g u/w ɛ m ³			k r u/w iː	g u m ⁵³
160_108_spider		k o ŋ ⁵²		g a ³²			
161_109_spiderweb	s o t ⁵			s ai t ⁵			s ʊ t ⁵
162_109_spiderweb			j ɛ m ³			ʔ i m	
163_110_louse		ʃ au n ²³	ʃ e n ⁵	ʃ ɪ n ²		s a nː/n	ʃ ɪ n ³¹
164 165_111_termite	dʒ a ŋ ³ + g u/w a n ⁵			dʒ a̰ ³² + k a̰ n ³			dʒ a ŋ ³² + g ɔ ŋ ²¹
165_111_termite			kʰ j æ m ⁵²		ʃ ɛɪ ³¹	kʰ r aˀ	
166_112_cockroach	tʰ j ɔ ⁴²	pʰ j a ³	pʰ j ɔ ⁴²	pʰ j ɔ ³¹		p u/w iː	pʰ j ɔ ⁵³
167 168_113_snail	n ə ³ + b a p ³¹		n ə ³² + b ai t ³²	n ə ² + b e ʔ ²¹			
169_114_mosquito	k j a̰ ŋ ³	k j a̰ ŋ ³	k j a̰ ŋ ⁵²	g j a̰ ²¹		kʰ r a ŋ	k j a̰ ŋ ⁵³
16_11_shadow	j æ t ²¹					r i p	v ʊ p ³
170_115_bee	d j ɔ ³	p j a ⁵²	b j ɔ ³	b j ɔ ²		p j aː	b j ɔ ³¹
171 172_116_flyinsect	j a ŋ ³ + kʰ u ŋ ⁵		j a ŋ ³ + kʰ o ŋ ⁵		j o ⁵⁵ + k ə		j a ŋ ³² + kʰ u ŋ ³¹
171_116_flyinsect		j o ŋ				j a ŋ	
173 174_117_butterfly	pʰ ə ³ + d j a m ³	pʰ ə ³ + l ẽ ³	pʰ ə ⁵³ + l æ m ²¹	pʰ ə t ³² + l e ³¹			pʰ ə t ⁵ + l a̰ m ⁵³
176 177_118_scorpion	g u ŋ ³¹ + g au ⁵		g o ŋ ⁵² + g au ⁵				
179 180_119_head	ʔ u t ⁵ + l ɔ m ⁵³	ʔ u ³ + l a m ⁵²	w ə ⁵ + l ø̃ m ⁵¹				ʔ ʊ t ³² + l ṵ m ³¹
181 182_120_face	n j ɔ ʔ ⁴³ + n ɔ̰ ³¹		m j ɔ̃ ʔ ⁴ + n ɔ̃ ³	m j ɔ ʔ ³ + n ɔ ³		m j a k + h n a	
181_120_face		m j a ʔ ²³					m j ɔ ʔ ³²
183 184_121_brain	ʔ u ⁴⁵ + n u k ⁴²	ʔ u + n au ʔ ²³	w ə ⁵ + n o ʔ ⁵¹	ʔ au ³ + n au ʔ ⁴²	ʔ o ³¹ + n o k ʔ ³¹	ʔ uː + h n au k	ʔ u ³⁴ + n u ʔ ⁵
185_122_hair	tsʰ a m ³	tsʰ i ³	tsʰ æ m ⁵³	tsʰ e ⁴¹	sʰ ɛ ⁵⁵	tsʰ a m	tsʰ a m ⁵³
186 187_123_forehead	ŋ a ³ + l a ŋ ³		ŋ ə ³ + l a ŋ ³	ŋ a ³ + l a ²		n aˀ + kʰ au ŋː/ŋ	ŋ ɔ t ³ + l a ŋ ³¹
188_124_eyebrow	m i ³²	m au ŋ ²³	m ɨ ³				m au ³
189 190_125_eye	n j ɔ ʔ ³ + dʒ i ⁴³	m j a ²³ + ts i ²³			j u ʔ ³¹ + s i ³¹		m j ɔ ʔ ³² + dʒ i ³
189_125_eye			m j ɔ̃ ʔ ⁴	m j ɔ ʔ ³²		m j a k	
18_12_night	n j ɛ n ³⁵	m j a n ²³	m j eː ŋ ⁵	m ḭ ⁵	m eɪ ³¹	ɲ a ɲˀ	m j ɪ n ³⁴
191_126_eyelid	k ṵ k ⁵⁴		g o k ⁵³			k a m	k ṵ ʔ ⁵
192_127_nose	n ɔ̰ ³	n ã ³	n ũ ³	n o̰ ⁴¹	n a ʔ ⁵⁵	h n a	n ɔ ⁵³
193 194_128_cheek	b ə ⁴ + l ɔ t ⁴³		b ə ³ + l oi ʔ ³²				
193_128_cheek				b ə ³²	p a ³¹	p aː	b u ³
195 196_129_ear		n e ³ + k j ɛ ²³	n ai ³ + kʰ j æ p ⁵³				n ɔ ³ + kʰ j æ p ⁵
195_129_ear	n ɔ ³			n o ³	n a ³¹	n aː	
197_130_mouth	n ṵ ə̰ t ⁵⁴		n o̰i ʔ ⁵²	n a̰ t ⁵⁴		h n u t	n ʊ̰ t ⁵
198_131_tongue		ʃʰ a ⁵²		ʃ ɔ ⁵¹			m u/w i ³¹
199_131_tongue	d j ɔ̰ ³		j ɔ ⁴³		j a ʔ ⁵⁵		
19_13_day	n j ei ⁴⁵	n e ʔ ⁵²	n j eː ⁵	n a ³¹	n i ³¹	n eˀ	n i ⁴⁵
1_1_sky		m au ⁵²			m u ³¹		
20 21_14_morning		n e ²³ + k a ŋ ³	n æ p ³² + g j o t ⁵²	n ɛ ʔ ³² + g a ³¹			n a p ³ + g j ɔ ⁴
200_132_saliva	dʒ ei ⁵	k i ʔ ²³	g ai n ⁵³	kʰ ə t ³	t i	s w eː	k a n ³¹
201_133_tooth					s ɛ	s w aː	
202_134_gums	n j e ŋ ³¹			n j ɛ n ³¹			
203 204_135_chin	ʔ a m ³ + tʃʰ a m ⁵		ʔ æ m ³ + tʃʰ æ m ⁴				ʔ a m ⁵ + tʰ a ŋ ⁵³
205 206_136_beard	n ɔ̰ t ⁵⁴ + m i ⁴²	n au ⁵² + m j ɛ ⁵²	n o̰i ʔ ⁵³ + m ɨ ³²	n a̰ ḭ ʔ ⁵⁴ + m o̰ k ⁴		n aː + m u t	n ʊ̰ t ⁵ + m u/w i ³¹
207_137_shavebeard	j u k ⁴³		g j ɛ t ⁴			r i t	
208 209_138_back	n o ŋ ⁵ + kʰ o ŋ ³		n o ŋ ⁴⁵ + kʰ o ŋ ³¹			n au k + k j au k	
209_138_back					tʰ a ŋ		kʰ u ŋ ⁵³
20_14_morning	n a p ³					n a k	
210 211_139_abdomen	w o m ³ + d au ³	x u/w ĩ ³ + t au ⁵²	w ɛ m ³ + d au ³²				β w a m ³ + d au ³¹
212_140_navel	tʃʰ ɔ ʔ ⁵⁴		tʃʰ ɔ ʔ ⁵³	tʃʰ o ʔ ⁵⁴	sʰ ɛ ʔ ³¹	kʰ j a k	tʃʰ ɔ ʔ ⁵⁴
213 214_141_heart	n a̰ ḭ k ⁵⁴ + l a m ³²	n a k ⁵² + l a m ⁵²	n ə k ⁵⁴ + l ɛ m ²			h n aˀ + l u mː/m	n ɪ̰ k ⁵ + l u m ³¹
215_142_lungs	tsʰ ɔ t ⁵³	ts a̰ ʔ ⁵²	ts o̰i ʔ ⁵³		ʃ w ai ʔ ³¹	tsʰ u t	
216_143_liver	t j ɛ̰ n ⁵	s a ŋ ²³	s ə ŋ ⁵	s a ŋ ³²	ʃ ai ŋ ³¹	s a ɲː/ɲ	s i n ⁴²
217_144_intestines	ʔ u ³	w u ³	w u ⁴	ʔ au ³¹		ʔ u	ʔ u ⁵¹
218_145_hand	l ɔ ʔ ⁴²	l a̰ ⁵²	l ɔ̰ ʔ ³	l o ʔ ³²	l ʊ ʔ ³¹	l a k	l ɔ ʔ ³²
219 220 221_146_elbow	m a n ⁵ + tʰ u ŋ ⁵ + g u/w e ³		m oi ⁴⁵ + tʰ u ŋ ⁵³ + g u/w e ⁵³				
219 220_146_elbow				m a̰ ḭ t ⁵ + tʰ au ŋ ²			m u n ³⁴ + tʰ u ŋ ⁴
222 223_147_armpit			tʃʰ æ p ⁵³ + kʰ j o ŋ ⁴	tʃʰ ɛ ʔ ⁴³ + kʰ æu ŋ ⁴²			
224_149_finger	n j æ̰ ṵ ⁵	n j a̰u ŋ ²³	n j a̰u ⁵	n j o̰ ʔ ⁵		h ɲ u/w iː	n j u/w i ³¹
225_150_nail	s ai ⁵	s a ŋ ²³	s ə ŋ ⁴	s a ŋ ⁴³	ʃ ai ŋ ³¹	s a ɲː/ɲ	s i ŋ ³¹
226_151_buttocks	tʃʰ o ʔ ⁵³		tʃʰ o ŋ ⁵³			tsʰ au ŋˀ	tʃʰ ə ⁵
227 228_153_thigh	d a ŋ ⁵ + b au ⁵	t o ŋ ²³ + p au ⁵²	d a ŋ ⁵ + b au ⁴				d a ŋ ³² + b au ³
228_153_thigh				b au ŋ ³¹		p au ŋ	
229 230_154_knee			b u/w e ⁵³ + l o ʔ ³²	p a̰ t ⁵ + l au ʔ ³			
22_15_noon	k u ŋ ⁵¹	k a̰ː ⁵²	g o ŋ ⁵¹	g au ³¹			g u ŋ ⁵³
23 24_16_yesterday		j ə ²³ + ʔ a ŋ ³	j ɪ n ⁵³ + ʔ ai ²⁵	j ɛ ʔ ²³ + ʔ a ³²			
232_155_calf	p ṵ ʔ ⁵⁴		b u ʔ ⁵³	b au ³			b u ³
233 234_156_shin	n j a̰ ŋ ⁵ + k a̰ ŋ ³			m a̰ ⁴ + k a̰u ŋ ⁴			
235_157_foot	kʰ j ei ³	kʰ i ³	kʰ j e ⁵³	kʰ i t ⁵³	kʰ i ⁵⁵	kʰ r e	kʰ j i ⁵³
236_158_heel			tʰ u ŋ ⁴	tʰ au ŋ ²	tʰ a ŋ ³¹		tʰ a ŋ ⁴³
237 238_159_bone	ʃ e ³ + j æu ³		ʃ e ⁵⁴ + j au ⁴¹	ʃ ɪ ⁴³ + ɣ o k ³			ʃ ə ⁴³ + w ḭ ³²
238_159_bone					ɹ u ³¹	r u/w iː	
239 240_160_rib			n a m ³¹ + tʃʰ a m ⁵⁴	n ɛ ³ + tʃʰ e ⁴²			n a m ³² + tʃʰ a m ³²
239_160_rib	n a m ³¹					n a m	
241_161_flesh	ʃ ɔ ⁵		ʃ u ⁵	ʃ ɔ ³²	ʃ a ³¹	s aː	ʃ ɔ ³¹
242_162_fat	tsʰ ɨu ³		tsʰ u ³²	tsʰ au ³¹	ʃ ai ŋ ⁵⁵	tsʰ i	
243_163_skin	j ei ³¹		j e ⁵¹		ɹ i	r e	
244_164_blood	s u/w i ⁵	s u/w i ²³	s oi ⁵	s a ²	ʃ u/w i ³¹	s w eː	s u/w i ⁴²
245 246_165_sweat		p au ⁵² + k j ɛ ³	b j e ³¹ + k j ṵ ⁵	b au ³¹ + g j ö/œ ²			
246_165_sweat	g j ɛ̰ ³				x w ai	kʰ dʒʷ eː	
247_166_pus			f u/w e ʔ ⁵³	f a k ⁵			
248_167_excrement	kʰ j ei ⁵		kʰ ei ⁵	kʰ i ʔ ⁵⁴		kʰ j eː	kʰ i ³¹
249_168_urine	j ḛ ḭ ⁵		j ḛ ⁵	ʔ ḭ t ⁵			
250_168_urine					sʰ i ³¹	s eː	
251 252_169_man		j au ʔ ⁵² + k ai ⁵²				j au k + k j aː	j u ʔ ⁴ + g e ³¹
252_169_man			g e ⁵¹	g ai ³¹			
253 254_170_woman		m ɛ ³ + ɣ ɛ ⁵²	m e ⁴ + j e ⁴	m j ɪ ² + ɣ e ²			
253_170_woman	m ɛ ³¹				m i ⁵⁵	m j u/w iː	m i ³
255_171_person	d j u ³¹	p j u ³	b j u ⁵¹	b j u ³¹		l u	
256 257_172_father	ʔ a ³ + b a ⁵	ʔ a + v a ³	ʔ a ³ + pʰ o ʔ ⁵³	j ɪ p ² + pʰ ɔ ⁴³	ʔ ə + pʰ a		
258 259_173_mother	ʔ u ŋ ³ + w ɛ ³¹				ʔ ə + j i ³¹		
25_17_tomorrow	j ɔ ³¹		j ɔ ⁴²				
261 262_174_child	ʃ a ŋ ³ + l ə ³					s aː + l eː	
263_174_child			d z u ⁴	d z o ³²			
264_175_soninlaw	m ɔ ʔ ⁴³		m ɔ ʔ ⁴		m o ʔ ³¹	m a k	
265_175_soninlaw				ʔ o k ⁴²			ʔ a̰u ⁵³
266 267 268_176_husband	j ɛ̰ n ⁴ + s ai n ⁴³ + pʰ ɔ ʔ ³¹			j a̰ m ³² + s a ŋ ²¹ + pʰ o ³			
269_176_husband		l o ŋ ³			l o ⁵⁵	l a ŋː/ŋ	
26_17_tomorrow		m a ²³		m ɔ ³⁵			m a ³
270_177_wife	n j ḭ ʔ ³⁴	m i ⁵²	m e ⁴	m ḭ ⁴	m i ⁵⁵	m aˀ	m i ³¹
271 272_178_widow	tʃʰ au ⁵ + m u ⁵		tʃʰ au ⁵⁴ + m ɔ̃ ⁴	tʃʰ u k ⁵⁴ + m ɔ ⁴		tsʰ u/w iː + m a	tʃʰ u/w i ³² + m ɔ ³
273 274_179_eldersibling	ʔ a ³ + m a ŋ ³		ʔ a ⁴ + m a ŋ ⁴	j ə ² + m a ²		ʔ a ts + m aˀ	ʔ a ⁴⁵ + m a ŋ ⁵³
275_180_youngersibling	n u ⁵	n au ŋ ⁵²	n õ ŋ ⁵	n au ŋ ³²		n uˀ	
276 277_181_friend	d j ɛ n ³¹ + tʃʰ a ŋ ⁵		b j e ŋ ⁵³ + tʃʰ a ŋ ⁵	b j ɪ n ²¹ + tʃʰ a ²			
277_181_friend						c e	d z u m ³
278_182_name	n j e ŋ ³¹	m a ŋ ²³	m j ə ŋ ³¹	m a̰ ŋ ³¹	m ai ŋ ⁵⁵	m a ɲ	m j ɪ ŋ ³¹
279 280_183_village	w ʊ ³ + kʰ au ³		w ə ⁴ + g o ŋ ⁵¹	v o ² + kʰ au ŋ ²	w a ⁵⁵ + kʰ ə		
279_183_village		w a ²³				r w a	w a ³¹
27_18_year	d z a n ⁴²		ts ai n ⁴	d z ɪ n ³¹			d z a n ⁵¹
28 29_19_east	b u/w i ⁴² + tʰ u ʔ ⁵⁴	p u/w i ³ + tʰ au ⁵²	b ø ⁵³ + tʰ u ʔ ⁵²	b a ³¹ + tʰ u k ⁵			b a ³¹ + tʰ ɔ ʔ ⁵
281_184_roadorpath		kʰ j a ⁵²	kʰ j ɔ ⁴	kʰ j ɔ ⁵¹			kʰ j ɔ ⁵³
282_184_roadorpath	l ṵ ³					l a mː/m	
283 284_185_boat				l a̰ ³¹ + ɣ i t ²		h l e + ʔ ə	l a̰ ḭ ⁵³ + w i ³
283_185_boat			l ḛ ʔ ⁵⁴		l i ʔ ⁵⁵		
285_186_house	j ḛ n ³	j a̰ m ²³	j ɛ̰ m ⁴	j a̰ m ³¹	ʔ ai ŋ ⁵⁵	ʔ i m	ʔ j ṵ m ⁵³
286_187_door	kʰ u/w a m ⁵	kʰ a m ²³	kʰ æ m ⁴	kʰ a m ³		kʰ aː	kʰ u m ³¹
287_188_window			d u/w a ŋ ³¹				d ɔ ŋ ³¹
289_189_roof	kʰ o ŋ ³		kʰ o ŋ ⁴²	kʰ au ŋ ³¹	kʰ au ŋ ⁵⁵	kʰ a ŋ	kʰ u ŋ ⁵³
290_190_spaceunderhouse	dʒ ei ³¹		g e ⁵	g i t ³			g i ⁴³
291_191_wallofhouse	dʒ ə̰ ³	tsʰ i			tʰ o ⁵⁵		tsʰ ə ⁵⁴
292_192_mat	tʰ a n ³		tʰ ãɪ ⁵²	tʰ ɪ n ⁴¹			
294 295_193_pillow	ʔ u ⁵ + kʰ ɨ ʔ ⁵³		w ə ⁵ + kʰ o ʔ ⁵³	ʔ au ² + kʰ au ³		ʔ u mː/m + kʰ au ŋː/ŋ	ʔ u ³ + kʰ u ʔ ⁵⁴
296_194_blanket	m i ³¹		m ḛ ḭ ⁵¹				
299_195_clothing		p ṵ ⁵²		b au ²			b u ³¹
300 301_196_weavecloth			g ai n ³ + j ɔ̰ ʔ ³	g ɪ n ⁴ + ɣ o ʔ ³²		k a mː/m + r a k	k a n ³² + w ɔ ʔ ³
301_196_weavecloth	j ɔ ʔ ³¹				r ʊ ʔ ³¹		
302_197_dyecloth	tsʰ au ⁵		tʃ ṵ ɛ̰ m ⁴¹	tsʰ o ⁵⁴	ʃ o ³¹	tsʰ u/w iː	
303_198_sarong	l ṵ ⁵		l o ⁴				
305_199_trousers	kʰ j a ʔ ⁵³		kʰ j a ʔ ⁵³				kʰ a p ³²
306_200_sew	tʃʰ oa p ⁵¹		tʃʰ u/w ɛ p ⁵³	kʰ j æ p ⁵	x ɹ a ʔ ³¹	kʰ j u p	kʰ j u p ⁵⁴
307_201_needle	ŋ a̰ p ⁵⁴	n e ʔ ⁵²	ŋ æ̃ p ⁵³	ŋ ḛ ʔ ⁵⁴		ʔ a p	ʔ a̰ p ⁵
308_202_comb	t j ḛ ⁵	t ṵ ḭ ²³	b i ⁵	b j e ³²	pʰ j e ³¹	h b iː	d a ³
309 310_203_ring	l ɔ ʔ ³² + k j ɔ̰ p ⁵³					l a k + tsʷ a p	l ɔ ʔ ³² + dʒ ɔ p ⁵⁴
309 311_203_ring			l ɔ̰ ʔ ³ + b ai n ⁴	l o ʔ ³² + p ḛ n ²			
30_20_west	w a ŋ ³¹	w ã ŋ ³	w a ŋ ³¹	w a ³²			w a ŋ ³¹
312_205_cookingpot	ʔ au ⁵		ʔ au ⁵	ʔ o̰ k ⁵⁴	o ʔ ⁵⁵	ʔ u/w iː	
313_206_ladle	m ɔə t ⁴¹		m o̰i ʔ ³		m u/w i ³¹	h m u t	m ə ³
314_207_mortar	tsʰ ɔ m ³		tsʰ æ m ⁴³	tsʰ a m ⁴¹		tsʰ u m	tsʰ u m ⁵³
315 316_208_pestle	tʰ u ŋ ⁵ + k j ḛ ḭ ³		tʃʰ a ŋ ⁴⁵ + g e ³¹				tʰ u ŋ ³⁴ + g i ⁵³
315_208_pestle				tʃʰ a ³²	ts i ⁵⁵		
319 320_210_plate				b a n ³¹ + d z o ³²		p a nː/n + ʔ a ŋ	
319_210_plate	b a n ³¹		b ãɪ ⁵¹				
31_21_north	d z o̰ ŋ ³²	ts a ŋ ³	ts o̰ ŋ ³²				
321_211_firewood	tʰ a ŋ ⁵		tʰ a ŋ ⁴	tʰ a ³²	tʰ o ³¹	tʰ a ŋː/ŋ	tʰ a ŋ ³¹
322_212_fire	n j i ³	m i ⁵²	m ɪ ⁴	m i ⁴³	m i ³¹	m iː	m ḭ ³¹
323_213_ashes				kʰ j u m ⁴³		kʰ a p	
324_213_ashes	j a p ⁴²		j æ p ³				v a p ⁵
325_214_smoke	kʰ au ⁵	kʰ au ²³	kʰ au ⁵	kʰ o ʔ ⁵⁴	kʰ u ³¹	kʰ u/w iː	kʰ au ³¹
326 327_215_candle	pʰ ə ³ + j æu ŋ ⁵					pʰ aˀ + j au ŋː/ŋ	
328_215_candle			d z ə ŋ ⁵¹	ts a̰ ŋ ⁴¹			
329_217_gong	m a ŋ ⁵		m a ŋ ³⁴	m a ³⁴³	m ɔ ŋ ³¹		
32_22_south	t ḭ ³²	p i ³	b i ³²				
330_218_crossbow	d j ei ³		l e ³	l a ³		l eː	l ai ³
331_219_arrow	n j ɔ̃ ³		m j ɔ̃ ³	m i ³	m j a ³¹	h m r aː	m j ɔ ³¹
332_220_spear	l a̰ m ³		l æ̰ m ³	l e ³²	l ɛ ⁵⁵	h l a m	l a̰ m ⁵³
333_221_knife	ʃ a m ³	ʃʰ ḭ ²³	ʃ æ m ³	ʃ j ɛ ³			ʃ a m ⁵³
334 335_222_hear	h j æu ⁵ + g j ɔ ⁴¹	k j a̰ ⁵² + k j a	ʃ au ⁵ + g j ɔ ³¹				w ɔ ⁴ + g j ɔ ⁵³
335_222_hear				g j o ⁵		k r aː	
336_223_smell	n a m ³¹		n æ m ³¹	n j e ³	n ɛ ⁵⁵	n a mˀː/mˀ	h ɔ m ⁵³
337_224_see	n j a ŋ ³¹	m j a̰ ŋ ⁵²	m j a ŋ ³¹	m j a ⁴	m j o ⁵⁵	m r a ŋ	m j a ŋ ³¹
338 339_225_wink				m j ɔ ʔ ³² + l a p ³²			m j ɔ ʔ ³ + l ʊ p ³
338_225_wink	n j ɔ ʔ ⁴³		m j ɔ ʔ ³			h m i t	
33_23_water	dʒ ei ⁴²				tsʰ i ⁵⁵	r e	
340_226_weep	ŋ au ³¹		ŋ au ³¹	ŋ o ʔ ³²	ŋ u ⁵⁵	ŋ u/w i	ŋ au ³²
341_227_eat	d z ɔ ³	t a ⁵²	d z ɔ ³	d z o ⁴	s a ³¹	ts aː	d z ɔ ⁵³
342_228_swallow	n j æ̰ ṵ ³	m j ṵ ŋ ³	m j au ⁵³	m j u ʔ ³		m j u/w i	m j u/w i ³²
343_229_hungry	j u/w a t ⁴²		j oi ʔ ²				
344_229_hungry					m j e ʔ ³¹	m w a t	m ʊ t ³²
345_230_fullorsatisfied			g i ³	kʰ i ⁵⁴			g i ³¹
346_231_thirsty	ʃ ɛ t ⁵³		ʃ i ʔ ³¹	ʃ a p ⁵³		s i p	ʃ ɪ t ⁵
347_232_drink	ʃ o k ⁵²	ʃ au ²³	ʃ i/j o ʔ ³¹	ʃ au t ⁵³	ʃ o ʔ ³¹	s au k	ʃ u ʔ ⁵
348_233_drunk	j ɛ t ³¹		j e ʔ ³	ʒ i t ³⁵	z e ³¹	j a ts	
349_234_vomit	d u k ⁴²		d o k ³	d au t ⁴²			
34_23_water		ɣ i ³	g e ⁵¹	ɣ i t ⁴			ʔ ʊ̰ t ⁵
351_235_spit	d j ɛ ⁵			pʰ ö/ø ⁵		p r a ts	
352 353_236_cough			kʰ j o ŋ ⁵ + d z au ⁵³	kʰ j æu ŋ ³ + d z o̰ ʔ ⁵⁴	x ɔ ŋ ³¹ + sʰ o ³¹		kʰ ɹ u ŋ ³ + d z au ³²
354_237_sneeze	dʒ ei ³		dʒ e ⁴³				
355_237_sneeze				tʃʰ ɔ ³			tʃʰ ɪ ³²
356_238_yawn	h a m ⁵		h a m ⁴	h e ⁴		h a nː/n	h a m ²¹
