Cognate_ID	erzya	ingrian	komipermyak	komizyrian	nganasan	selkup	udmurt
119_pull	u s k o m s	t e m m ɑ d̥ ɑ	k ɯ s k ɯ n ɯ	k ɯ s k ɯ n ɯ	ɲ ɑ ɡ ə b t ɯ s ɯ	yː	k ɯ s k ɯ n ɯ
11_big	p o k ʃ	s uː r	ɯ dʒ ɯ t	ɯ dʒ ɯ d	ɑ n i ʔ ə	u ə̠ r q ə	b ɑ dʑ dʑ ɯ m
120_push	t u l k ɑ dʲ e m s	l y ɡ̥ æ d̥ æ	t o j l ɑ v n ɯ	t o j n ɯ	n o m ə dʲ ɑ	n o q q o	d o n ɡ ɯ n ɯ
121_rain	p i ʑ e m s	s ɑ e	z e r	z e r	s o r u ɑ	s o r ə n tʃ æ	z o r
122_red	j ɑ k s tʲ e rʲ e	p u nː ɑ i n	ɡ ɤ r d	ɡ ɤ r d	dʲ ɑ b ɑ k u o	ɲ ɑː r q ə	ɡ o r d
125_river	ʎ e j	j o ɡ̥ i	j u	j u	ɲ e m ɯ ʔ ɯ ɑ	k ɯ	ʃ u r
126_road	k i	t eː	t u j	t u j	ŋ u t ɑ	u ə̠ t t ə	ɕ u r e s
127_root	j u r	j uː r i	v u ʒ	v u ʒ	b ə n t u	k o n tʃ ə	v ɯ ʒ ɯ
128_rope	p i k s	k ø y z	ɡ e z	ɡ e z	b ɯ n ɯ	tʃ eː m tʃ ə	ɡ o z ɯ
12_bird	n ɑ r m u ɲ	l i n d̥ u	k ɑ j	k i t s ɑ	t ə i b əː	t i l tʃ ə t i + s uː r ə m	t ɯ l o b u r d o
130_round	k r u ɡ l o j	y m b̥ æ r ɡ̥ æ i n	ɡ ɤ ɡ r ɤ s ɑ	ɡ ɤ ɡ r ɤ s	l ɑ l u j k u ə	p y r ə ʎ	k o t ɯ r e s
131_rub	tʃ o v ɑ m s	i h m ɑ d̥ ɑ	z ɯ r t n ɯ	z ɯ r ɑ v n ɯ	ɲ ɑ k i dʲ ɑ	p yː q ə l tʃ ə k k u	z ɯ r ɑ n ɯ
132_salt	s ɑ l	s oː l ɑ	s o v	s o v	s ɯ r	ɕ ɑː q	s ɯ l ɑ l
133_sand	p e s o k	l iː v ɑ	p e s ɤ k	l ɯ ɑ	dʲ uː	k oː r ɑ	l u o
134_say	j o v t ɑ m s	s ɑ nː oː ɑ	v i ɕ t ɑ v n ɯ	v i ɕ t ɑ v n ɯ	m u n s ɑ	k ɤ t	ʃ u ɯ n ɯ
137_see	ɲ e j e m s	n æ h h æ	ɑ dʑ dʑ ɯ n ɯ	ɑ dʑ dʑ ɯ n ɯ	ŋ ə ð y ɕ ɑ	m ɑ n tʃ ə	ɑ dʑ dʑ ɯ n ɯ
138_seed	v i dʲ m e	s eː m e n	t u ɕ	t u ɕ		m u m m o l	t ɯ ɕ
139_sew	s t ɑ m s	o m m e l l ɑ	v u r n ɯ	v u r n ɯ	s o tʃ ə dʲ ɑ	ɕ yː t t ə	v u r ɯ n ɯ
141_short	n u rʲ k ɑ	l y h y d̥	dʒ e ɲ ɯ t	dʒ e ɲ ɯ d	k əː ʎ u k y	q ɑː m ə	v ɑ k tɕ i
142_sing	m o r ɑ m s	l ɑ u l ɑː	ɕ ɯ v n ɯ	ɕ ɯ v n ɯ	k ə j ŋ i ʔ ɕ ɑ	k o ʎ m ə tʃ tʃ ə	k ɯ r dʑ ɑ n ɯ
143_sit	ɑ ʃ tʲ e m s + o z ɑ d o	i s t u ɑ	p u k ɑ v n ɯ	p u k ɑ v n ɯ	ŋ o m t y ɕ ɑ	ɑː m t i	p u k ɯ n ɯ
144_skin	k i ɕ k e	i h o	k u tɕ i k	k u	k u h u o	q o p ə	k u
145_sky	m e ɲ e ʎ	t ɑ i v ɑ z	j e n ɤ ʒ	j e n e ʒ	ŋ u ə	n o m	i n
146_sleep	u d o m s	n u k k u ɑ	u ʑ n ɯ	u ʑ n ɯ	k u n d u ɑ s ɑ	q o n t i	i ʑ ɯ n ɯ
147_small	v i ʃ k ɑ	p eː n	u tɕ ɤ t	i tɕ ɤ t	h i ɲ i ə	k ɯ p ɑ	p i tɕ i
148_smell	ɲ i k ɕ e m s		z ɯ n ɑ v n i	i s ɑ v n ɯ	tʃ i n y dʲ ɑ	ɑ p t æ p t ə	z ɯ n j ɑ n ɯ
149_smoke	k ɑ tʃ ɑ m o	s ɑ v v u	tʃ ɯ n	tʃ ɯ n	dʲ ɑ k ɑ ɡ ə	p u r q ə	tʃ ɯ n
14_black	r ɑ u ʒ o	m u s t ɑ	ɕ ɤ d	ɕ ɤ d	t u s ɑ j k ɑ ʔ ɑ	s æː q ə	ɕ ɤ d
150_smooth	v ɑ l ɑ ɲ ɑ	l ɑ kː i ɑ	v o ʎ k ɯ t	v o ʎ ɯ d		l e p ɑ	v o ʎ ɯ t
151_snake	ɡ u j	m ɑ d̥ o	z m e j	k ɯ j		ɕ yː	k ɯ j
152_snow	l o v	l u m i	l ɯ m	l ɯ m	dʲ u m	s ɯ r ə	l ɯ m ɯ
153_some	k o n ɑ + b u tʲ i	m i ɡ̥ æ	k i n k ɤ	k u tʃ ɤ m + k ɤ	k u r ə dʲ i k y ə	q ɑ j + k o s	k u d i z + k e
154_spit	ɕ e ʎ ɡ e m s	s y l k i æ	ɕ ɤ l ɑ v n ɯ	ɕ ɤ l ɑ v n ɯ	ɕ e b ɕ i dʲ i	s y ə s ə	ɕ ɑ l ɑ n ɯ
155_split	l ɑ z o m s	h ɑ l ɑ i s s ɑ	v u n d ɯ ʃ t n ɯ	tɕ ɑ ʃ k ɤ d n ɯ	k ɯ r k ɑ ʔ s ɑ	p ɑ tɕ ɑ l	p i ʎ ɯ n ɯ
156_squeeze	ʎ e p ʃ tʲ ɑ m s	ɑ h i s t ɑː	ʒ m i t n ɯ	n ɯ r n ɯ	m e b k i ɕ i	ɯ p	ɲ u r ɑ n ɯ
157_stab	ɕ ɑ l ɡ o m s	t ø r ɡ̥ æ d̥ æ	t ɑ tʃ k ɑ v n ɯ	s u tʃ k ɯ n ɯ	n ə r u dʲ i	s u ə̠ ŋ k ə	b ɯ ʃ k ɑ l t ɯ n ɯ
158_stand	ɑ ʃ tʲ e m s + ɕ tʲ ɑ d o	s e i s s æ	s u l ɑ v n ɯ	s u l ɑ v n ɯ	n ə n s ɯ dʲ i	n ɯ ŋ k i	s ɯ l ɯ n ɯ
159_star	tʲ e ʃ tʲ e	t æ h t i	k ɤ dʑ ɯ v	k o dʑ u v	h o t ə dʲ i ə	q ɯ ɕ ə ŋ q ɑ	k i ʑ i ʎ i
15_blood	v e rʲ	v e r i	v i r	v i r	k ɑ m	k ɤ m	v i r
161_stone	c e v	k i v i	i z	i z	h u ɑ l ə	p yː	i z
162_straight	v i dʲ e	s oː r ɑ	v e ɕ k ɯ d	v e ɕ k ɯ d	n ə m ə ɡ əː	t ɑː t	ʃ o ɲ e r
163_suck	p o tʲ ɑ m s	i mː iː æ	ɲ i m ɑ v n ɯ	ɲ o ɲ ɑ v n ɯ		ɲ i m	n o n ɯ n ɯ
164_sun	tʃ i	p æ i v y d̥	ʃ o n d i	ʃ o n d i	k o u	tɕ eː l ə	ʃ u n d ɯ
165_swell	t ɑ r ɡ o ʑ e m s	p ɑ i s u ɑ	p o ʎ d ɯ n ɯ	p ɯ k t ɯ n ɯ	h o ɲ y dʲ i	tʃ ɑ ŋ k u	p ɯ k t ɯ n ɯ
166_swim	u j e m s	u jː uː ɑ	u j ɑ v n ɯ	u j ɑ v n ɯ	h o ð ɯ r s ɯ	uː	u j ɑ n ɯ
167_tail	p u l o	h æ n d̥ æ	b ɤ ʒ	b ɤ ʒ	t ə j b u	t ɑ l tɕ u	b ɯ ʒ
168_that	t o n ɑ	t oː	s i j ɑ	t ɯ	t ə t i	t oː	s o
169_there	t o s o	t oː ɑ l	s e t ɤ n	s e n	ə m ə ɲ i	t oː n t ə	o t ɯ n
16_blow	p u v ɑ m s	p u h ɑ d̥ ɑ	p ɤ ʎ t n ɯ	p ɤ ʎ ɑ l n ɯ	h y ə l ə s ɑ	p uː	p e ʎ t ɯ n ɯ
170_they	s i ɲ	h øː	n i j ɑ	n ɑ j ɤ	s ɯ t ɯ ŋ	t e p ə t	s o o s
171_thick	e tʃ k e	p ɑ k s u	k ɯ z	k ɯ z		ɲ ɑ ŋ t u	z ɤ k
172_thin	tʃ o v ɑ	h o i k k ɑ	v ɤ s ɲ i d	v e s ɲ ɯ d	ɲ e u	tɕ oː p t ə	v e k tɕ i
173_think	d u m ɑ m s	m e i n ɑ d̥ ɑ	d u m ɑ j t n ɯ	m ɤ v n ɑ v n ɯ	s ɯ ɲ ə r u ə dʲ i	t e n i r p i	m ɑ l p ɑ n ɯ
174_this	tʲ e	t æ m æ	e t ɑ	t ɑ	ə m ə	t ɑ m	t ɑ
175_three	k o l m o	k o l d̥	k u j i m	k u j i m	n ɑ ɡ y r	n ɑː k u r	k ui ɲ
176_throw	j o r t o m s	h e i t t æː	tɕ ɑ p k ɑ v n ɯ	k o j n ɯ	b ɑ j b u dʲ ɑ	tɕ ɑ tʃ tʃ ə	k u j ɑ n ɯ
177_tie	s o d o m s	s i tː oː ɑ	k ɤ r t ɑ v n ɯ	k ɤ r t ɑ v n ɯ	s ɑ r ə dʲ ɑ	s ɑː r ə	d u m ɯ n ɯ
178_tongue	k e ʎ	k eː l i	k ɯ v	k ɯ v	ɕ i ə dʲ ə	ɕ eː	k ɯ l
179_tooth	p e j	h ɑ m m ɑ z	p i ɲ	p i ɲ	tʃ i m i	t i m ə	p i ɲ
17_bone	l o v ɑ ʒ ɑ	l uː	l ɯ	l ɯ	l ɑ t əː	l ɯː	l ɯ
180_tree	tʃ u v t o	p uː	p u	p u	h u ɑ ɑ	p oː	p i s + p u
181_turn	p u r d ɑ m s	k æː n t y æ	b e r ɡ ɤ t tɕ ɯ n ɯ	b e r ɡ ɑ v n ɯ	b ə b t u ɑ ʔ t ə s ɑ	p iː k ə l	b e r ɯ k t i ɕ k ɯ n ɯ
182_two	k ɑ v t o	k ɑ k s	k ɯ k	k ɯ k	ɕ i t i	ɕ i t ə	k ɯ k
183_vomit	u k s n o m s	o k s e n d̥ ɑ i s s ɑ	ɤ s ɤ t n ɯ	v o s n ɯ		tː ə	ɤ s k ɯ n ɯ
184_walk	j ɑ k ɑ m s	k æ v e l l æ	v e t l ɤ t l ɯ n ɯ	v e t l ɯ n ɯ	dʲ o ð y r ɕ ɑ	q y ə l	w ɑ m ɯ ʃ t ɯ n ɯ
185_warm	ʎ e m b e	v ɑ r i	ʃ o n ɯ t	ʃ o n ɯ d	ɲ y ɲ ɑ	p yː	ʃ u n ɯ t
186_wash	ʃ ʎ ɑ m s	p e s s æ	m i ɕ ɕ ɯ n ɯ	m ɯ ɕ k ɯ n ɯ	k ə l ə	m uː s ə l tʃ ə	m i ɕ k ɯ n ɯ
187_water	v e dʲ	v e z i	v ɑ	v ɑ	b ɯ ʔ	y t	v u
188_we	m i ɲ	m øː	m i	m i	m ɯ ŋ	m eː	m i
18_breast	m e ʃ tʲ e	r i n d̥ ɑ	m o r o s	m o r ɤ s	ɕ i n ɕ ə	k ɯː l ə	ɡ ɑ dʲ
193_white	ɑ ʃ o	v ɑ l k i ɑ	tɕ o tɕ k o m	j e dʒ ɯ d	s ɯ r	s ɤ r ə	t ɤ dʲ ɯ
195_wide	k e ʎ e j	l e vː iː æ	p ɑ ɕ k ɯ t	p ɑ ɕ k ɯ d	t ɑ n t ə ɡ əː	tʃ ɑː n tʃ ə	p ɑ ɕ k ɯ t
196_wife	ɲ i	n ɑ i n	i ɲ	ɡ ɤ t ɯ r	b ə b ə + tʃ ə r ə + n ɯ	i m m ɑ	k ɯ ʃ n o
198_wing	ɕ o l m o	s iː b̥ i	b o r d	b o r d	tʃ u o	k uː t ə	b u r d
199_wipe	n ɑ r d ɑ m s	p yː h k i æ	tɕ ɯ ʃ k ɯ n ɯ	tɕ ɯ ʃ k ɯ n ɯ	ɲ ɑ k i dʲ ɑ	m uː s ə	tʃ u ʃ ɯ n ɯ
19_breathe	ʎ e k ɕ e m s	h e ŋ ɡ̥ i t t æː	l o l ɑ v n ɯ	l o l ɑ v n ɯ	b ɑ tʃ ə dʲ ɑ	k u ə̠ j	ʃ o k ɑ n ɯ
1_all	v e ɕ e	k ɑ i	b ɯ d ɤ s	b ɯ d	b ə n s ə	m u n t ə	v ɑ ɲ m ɯ z
202_woods	v i rʲ	m e tː s æ	v ɤ r	v ɤ r	m u ŋ k u	m ɑ tɕ ə	ɲ u l e s
203_worm	s u k s	m ɑ d̥ o	ɡ ɑ ɡ	n o m ɯ r	k ə ʎ ɕ y ʔ ə	tʃ u k	n u m ɯ r
204_year	i j e	v oː z	v o	v o	h y ə	p o	ɑ r
205_yellow	o ʒ o	k e l t ɑ i n	v e ʒ	v i ʒ	t o dʲ ɑ k u ə	p ɑ t ə ʎ	tʃ u ʒ
20_burn	p ɑ l o m s	p ɑ lː ɑː	s o tɕ tɕ ɯ n ɯ	l o m ɑ v n ɯ		ɑ m	dʒ u ɑ n ɯ
23_cloud	p e ʎ	p i l v i	k ɯ m ɤ r	k ɯ m ɤ r	tʃ i ə ð u	t iː t t ə	p i ʎ e m
24_cold	k e ʎ m e	k y l m æ	k ɤ dʑ ɯ t	k ɤ dʑ ɯ d	tʃ ə ɕ i ɕ i	t ɑ ɕ ɕ u	k e ʑ ɯ t
25_come	s ɑ m s	t u l l ɑ	l o k n ɯ	v o n ɯ	t u j ɕ ɑ	t yː	v u ɯ n ɯ
26_count	l o v o m s	l ɑ s k i ɑ	l ɯ dʲ dʲ ɯ n ɯ	l ɯ dʲ dʲ ɯ n ɯ	t u ə b t u s ɑ	t oː r	l ɯ dʑ dʑ ɯ n ɯ
27_cut	n ɑ r ɑ m s	l e i ɡ̥ ɑ d̥ ɑ	v u n d ɑ v n ɯ	v u n d ɯ n ɯ	m ə t u dʲ ɑ	m ɑ tʃ ə	v ɑ n d ɯ n ɯ
29_die	k u l o m s	k oː l l ɑ	k u v n ɯ	k u v n ɯ	dʲ ɑ ŋ ɡ u m s ɑ	q uː	k u l ɯ n ɯ
2_and	i	j ɑ	i	i		ɑ j	i
30_dig	tʃ u v o m s	k ɑ i v ɑː	ɡ ɑ r j ɯ n ɯ	ɡ o d n ɯ	ɕ i r k ə dʲ i	t i l ə	k o p ɑ n ɯ
31_dirty	k ɑ r ɡ o tɕ	r e u ɡ̥ ɑ z	ɲ ɑ tʲ ɤ ɕ	ɕ ɤ d	ɲ e ɡ ɯ k u	tʃ ɑ m	k ɯ r ɕ
32_dog	p i ɲ e	k o i r ɑ	p o n	p o n	b ɑ ŋ	k ɤ n ɑ ŋ	p u n ɯ
33_drink	ɕ i m e m s	j oː v v ɑ	j u n ɯ	j u n ɯ	b ɯ t ɯ dʲ i	y t ə	j u ɯ n ɯ
34_dry	k o ɕ k e	k u i v ɑ	k ɤ s	k o s	k o ɕ y ə	tʃ ɤ k ə	k ɤ s
35_dull	n o ʃ k ɑ	n y r h i		n ɯ ʒ	t ɯ ɑ m əː	q ɑ m ə l ə ʎ	n ɯ ʒ
36_dust	p u ʎ	p ø l l y	b u s	b u s	dʲ ɑ ŋ	p u n ɑ	t u z o n
37_ear	p i ʎ e	k o r v ɑ	p e ʎ	p e ʎ	k o u	q oː	p e ʎ
38_earth	m o d ɑ	m ɑː	m u	m u	m o u	tʃ u ə̠ tʃ tʃ ə	m u
39_eat	s e v e m s	s øː vː æ	ɕ o j n ɯ	ɕ o j n ɯ	ŋ ə m s ɑ	ɑ m	ɕ i ɯ n ɯ
3_animal	ʑ v e rʲ	e l o ɡ̥ ɑ z	v ɤ r p i	z vʲ e r	dʲ ɑ m ə ð ə	s uː r ə m	p ɤ j ʃ u r
40_egg	ɑ l	m u n ɑ	k o ʎ tʲ	k o ʎ k	m ə n u	e ŋ	p u z
41_eye	ɕ e ʎ m e	s i l m æ	ɕ i n	ɕ i n	ɕ e j m ɯ	s ɑ j i	ɕ i n
42_fall	p r ɑ m s	t o k k u ɑ	u ɕ n ɯ	u ɕ n ɯ	tʃ ə l h dʲ i	ɑː l tɕ ə	u ɕ ɯ n ɯ
43_far	v ɑ s o l o	e t t æː l	ɯ l ɯ n	ɯ l ɯ n	k u n t ə ɡ u n u	k u n t ɑ k	k ɯ dʲ o k ɯ n
45_father	tʲ e tʲ ɑ	æ t t i	ɑ j	b ɑ tʲ	dʲ e s ɯ	ɤ s ə	ɑ j ɯ
46_fear	p e ʎ e m s	p ø l æ d̥ æ	p o v n ɯ	p o v n ɯ	h ɯ l ɯ m s ɯ	e n ə	k ɯ ʃ k ɑ n ɯ
47_feather	t o l ɡ ɑ	s u l ɡ̥ ɑ	b o r d t ɯ v	ɡ ɤ n	t o t ə	t uː	t ɯ l ɯ
49_fight	t u rʲ e m s		t ɯ ʃ k ɑ ɕ n ɯ	k o ɕ ɑ ɕ n ɯ	t o r ɑ s ɑ	q u ə̠ t u	ʒ u ɡ i ɕ k ɯ n ɯ
4_ashes	k u l o v	p o r o	p ɤ j i m	p ɤ j i m	t uː + dʲ o ə ʔ	ɕ iː m ə	p e ɲ
50_fire	t o l	t u l i	b i	b i	t u j	t yː	t ɯ l
51_fish	k ɑ l	k ɑ l ɑ	tɕ e r i	tɕ e r i	k o l ɯ	q u ə̠ l ə	tɕ o r ɯ ɡ
52_five	v e tʲ e	v iː z	v i t	v i t	s ə ŋ h ə ʎ ɑ ŋ k ə	s o m p ə l ɑ ŋ q ə	v i tʲ
53_float	u k ʃ n o m s		u j j ɯ n ɯ	ʃ l ɯ v ɡ ɯ n ɯ	dʲ ɑ m b i ɕ ɑ	q uː r ə	l e j k ɑ n ɯ
54_flow	tʃ u dʲ e m s	v i r r ɑ d̥ ɑ	v i z ɯ v t n ɯ	v i z u v t n ɯ	l u ɑ ʔ t u s ɑ	k ŋ	v i j ɑ n ɯ
55_flower	tɕ e tɕ ɑ	k u k k ɑ	dʑ o r i dʑ	dʑ o r i dʑ	l u k u ð i ɑ j	s ɯ r k ə	ɕ ɑ ɕ k ɑ
56_flyv	ʎ i v tʲ ɑ m s	l e n t æː	l e b ɑ v n ɯ	l e b ɑ v n ɯ	t ə i r ɕ i	t iː	l o b ɯ n ɯ
57_fog	s u v	s u m u	t u m ɑ n	r u	k ə k u	tɕ ɑ p t u	b u s
58_foot	p i ʎ ɡ e	j ɑ l ɡ̥ ɑ	k o k	k o k	ŋ o j	t o p ə	k u k
59_four	ɲ i ʎ e	n e l j æ	ɲ o ʎ	ɲ o ʎ	tʃ ə t ə	t eː t t ə	ɲ ɯ ʎ
5_at	k e dʲ s e	l oː n	s ɑ j ɯ n	d o r ɯ n		n ɑː n ə	d o r ɯ n
60_freeze	t ɑ rʲ k s t ɑ m s	j æː t t y æ	k ɯ n m ɯ n ɯ	k ɯ n m ɯ n ɯ	k ə n t ɯ dʲ i	q ɑ n t ə	k ɯ n m ɯ n ɯ
62_full	p e ʃ k ɕ e	t æ y z	t ɯ r	t ɯ r	dʲ u l s ɯ ə	t iː r ə ʎ	t ɯ r
63_give	m ɑ k s o m s	ɑ n t ɑː	ɕ e t n ɯ	ɕ e t n ɯ	m i ɕ i	m i	ɕ o t ɯ n ɯ
64_good	p ɑ r o	h y v æ	b u r	b u r	ɲ ɑ ɡ əː	s o m ɑ	u m o j
65_grass	tʲ i k ʃ e	r o h o	t u r u n	t u r u n	ɲ o t ə	ɲ uː tʃ ə	t u r ɯ n
66_green	p i ʒ e	r o h o i n	z e ʎ o n ɤ j	v e ʒ	ɲ o t ə r ə k u	n o r æ ʎ	v o ʒ
68_hair	tʃ e rʲ	h i u z	j u r ɕ i	ɕ i	ŋ ɑ b t ə	oː p t ə	ɕ i
69_hand	k e dʲ	k æ z i	k i	k i	dʲ y t y	u t ə	k i
71_head	p rʲ ɑ	p æː	j u r	j u r	ŋ o j b u	o l ə	j ɯ r
72_hear	k u ʎ e m s	k uː l l ɑ	k ɯ v n ɯ	k ɯ v n ɯ	dʲ i n d i ɕ i	y n t ə	k ɯ l ɯ n ɯ
73_heart	ɕ e dʲ e j	s y æ n	ɕ ɤ l ɤ m	ɕ ɤ l ɤ m	s əː	s iː tɕ ə	ɕ u l e m
74_heavy	s t ɑ k ɑ	r ɑ s k ɑ z	ɕ ɤ k ɯ t	ɕ ɤ k ɯ d	s ə ŋ k u t u o	s ɤ tʃ tʃ ə m	ɕ e k ɯ t
75_here	tʲ e s e	s iː n	t ɑ t ɤ n	t ɑ n	ə m n ɯ	t i n t ə	t ɑ t ɯ n
76_hit	v ɑ tʃ k o dʲ e m s	l øː v v æ	v ɑ tɕ k ɯ n ɯ	v ɑ tɕ k ɯ n ɯ	h o ɕ y dʲ i	q æː t t ə	ʒ u ɡ ɯ n ɯ
78_horn	ɕ u r o	s ɑ r v i	ɕ u r	ɕ u r	ŋ ɑ m t ə	ɑː m t ə	ɕ u r
80_hunt		j ɑ h t i	v ɤ r ɑ v n ɯ	v ɤ r ɑ v n ɯ	b ɑ s u dʲ ɑ	s uː r ə m ə j	p ɤ j ʃ u r ɑ n ɯ
81_husband	m i rʲ dʲ e	m eː z	m u ʒ i k	v e r ɤ s	b ə b ə + tʃ ə r ə	t i p i	k ɑ r t
82_i	m o n	m i æ	m e	m e	m ə n ə	m ɑ n	m o n
83_ice	e j	j æː	j ɯ	j ɯ	s ɯ r	uː l q o	j ɤ
84_if	b u tʲ i	j o z	k ɤ	k ɤ		q ɑ t ɑ	k e
86_kill	m ɑ ʃ t o m s	s u r m ɑ d̥ ɑ	v i j n ɯ	k u l ɤ d n ɯ	k o t u dʲ ɑ	q u ə̠ t	v i ɯ n ɯ
87_knee	k u m ɑ ʒ ɑ	p o l v i	p i dʑ ɤ s	p i dʑ ɤ s	h ə ɑ ɡ ɑ j	p uː l ə	p ɯ dʲ e s
88_know	s o d ɑ m s	t iː t æː	t ɤ d n ɯ	t ɤ d n ɯ	tʃ ə n ɯ dʲ i	t e n ə m ə	t o d ɯ n ɯ
89_lake	e rʲ k e	j æ r v i	t ɯ	t ɯ	t u r k u	t oː	t ɯ
8_bark	k e rʲ	k oː r i	k ɑ tɕ	k ɯ r ɕ	k ɑ s u	q ɑː s ə	k u r
90_laugh	p e j dʲ e m s	n ɑ ɡ r ɑː	s e r ɑ v n ɯ	ɕ e r ɑ v n ɯ	h i dʲ i ɕ i	p i s ə j	ɕ e r e k j ɑ n ɯ
91_leaf	l o p ɑ	l e h t i	k o r	ʎ i s	h o r ɑ ð i ɑ j	tɕ ɑː p ə	k u ɑ r
93_leg	p i ʎ ɡ e	j ɑ l ɡ̥ ɑ	k o k	k o k	ŋ o j	t o p ə	k u k
94_liedown	m ɑ dʲ e ʑ + ɑ ʃ tʲ e m s		k u j l ɯ n ɯ	k u j l ɯ n ɯ	t o ɲ dʲ i ɑ j tʃ i s ɯ	i p p i	k ɯ ʎ ʎ ɯ n ɯ
95_live	e rʲ ɑ m s	e lː æː	o v n ɯ	o v n ɯ	ɲ i l ɯ dʲ i	i l ə	u l ɯ n ɯ
96_liver	m ɑ k s o	m ɑ k s ɑ	m u s	m u s	m i t ə	m ɯː t ə	m u s
97_long	k u v ɑ k ɑ	p i t k i	k u ʑ	k u ʑ	k u n t ɡ u	tɕ u m p u	k u ʑ
98_louse	e ʎ i	t æ i	t o j	t o j		u n tʃ u	t e j
9_because	ɕ e k s	s e n t æː	ɕ i dʑ + k ɯ dʑ	s ɯ + p o n d ɑ	ɲ iː ð ə		m ɑ l ɯ + k e + ʃ u o n o
