Cognate_ID,Beijing,Changsha,Chengdu,Fuzhou,Guangzhou,Guilin,Haerbin,Jinan,Jixi,Loudi,Meixian,Nanchang,Nanjing,Rongcheng,Suzhou,Taiyuan,Wenzhou,XiAn,Xiamen
112_snake,ʂ y ³⁵,s ə ¹³,s e ²¹,l au ³² + l j e ⁵³,s ɛ ²¹,s a̠ ²²,ʂ y ²⁴,ʂ a ⁵³,s o ⁴⁴,tɕʰ j ɔ ¹³,s a ¹¹ + k o ³³,s a ⁴⁵,ʂ ə ¹³,ʈʂʰ a ŋ ³⁵ + ʈʂʰ o ŋ ⁰,z o ¹³,s ɤ ²¹,z ei ³⁴¹,ʈʂʰ ɑ ŋ ²⁴ + pfʰ ə ŋ ⁰,ts w a ²⁴
113_rope,ʂ ə ŋ ³⁵,s ə n ¹³ + ts ɿ ⁰,s w ə n ²¹ + ts ɿ ⁵³,s o ʔ ²⁴,s e ŋ ²¹,s w o ⁵⁵ + ts e ²³,ʂ ə ŋ ²⁴ + ts ɿ ⁰,ʂ ə ŋ ⁵³ + ts ɿ ⁰,ɕ j ɑ̃ ⁴⁴,ʑ i n ¹³ + ts ɿ ⁰,s o k ¹,s ɨ n ⁴⁵ + ts ɿ ⁰,s ə n ¹³ + ts ɿ ⁰,ʂ ə ŋ ³⁵ + ts ɿ ⁰,z ə n ¹³,s ə ŋ ²¹,z e ŋ ³⁴¹,ʂ ə ŋ ²⁴,s o ʔ ³² + a ⁵³
114_louse,ʂ ʅ ⁵⁵,s ɿ ²⁴,s e ²¹ + ts ɿ ⁵³,s ɛi ʔ ²⁴ + m o ³²,s ɐ t ⁵,s ɤ ⁵⁵,ʂ ʅ ⁴⁴ + ts ɿ ⁰,ʂ ʅ ²¹⁴ + ts ɿ ⁰,ɕ j e ʔ ³² + ts ɿ ⁰,ɕ e ¹³ + b u ¹³ + s ɿ ⁰,s e t ¹ + m a ¹¹,s ə t ⁵,s e ʔ ⁵ + ts ɿ ⁰,ʂ ʅ ⁵²,d j æ ¹³ + s ə ʔ ⁴,s ə ʔ ²,s ai ⁴¹,s ei ²¹,k a ⁵⁵ + ts au ⁵³
115_wet,ʂ ʅ ⁵⁵,s ɿ ²⁴,s ɿ ²¹,l a ŋ ²⁴²,s ɐ p ⁵,ɕ i ⁵⁵,ʂ ʅ ⁴⁴,ʂ ʅ ²¹⁴,tʰ i ³⁵ + n i ⁴⁴,ɕ i ¹³,s ə p ¹,s ɨ t ⁵,tsʰ ɔ ¹³,ʃ i ²¹⁴,s ə ʔ ⁴,s ə ʔ ²,s ai ⁴¹,ʈʂ ɑu ²⁴,s i p ³²
116_what,ʂ ə n ³⁵ + m ə ⁰,s ə n ²⁴ + m o ⁰,s a ²¹³ + ts ɿ ⁵³,s j e ʔ ²⁴ + n o ʔ ²⁴,m ɐ t ⁵ + j ɛ ²³,s ɤ n ²² + m a̠ ²²,ʂ ə n ²⁴ + m ɤ ⁰,ʂ ẽ ⁵³ + m ə ⁰,ɕ j e ʔ ³² + m ɤ ²¹³,m ɤ ⁴² + ts ɿ ⁰,m a k ¹ + k e ⁵³,ɕ i t ⁵ + l i ²¹,ʂ ə n ¹³ + m o ʔ ⁵,ʂ ə n ³⁵ + m ə ⁰,s ɑ ⁴¹²,s ə ŋ ⁴⁵ + l ə ʔ ²,a ⁴¹ + ɲ i ³⁴¹,s ɑ ⁴⁴,s i m ⁵³ + m j æ ʔ ⁵
117_stone,ʂ ʅ ³⁵ + tʰ ou ⁰,s ɿ ²⁴ + t əu ⁰,s j ɿ ²¹ + tʰ əu ²¹,s w o ʔ ⁵ + l au ⁵³,s ɛ k ² + tʰ ɐu ²¹,s ei ²² + t ai ²²,ʂ ʅ ²⁴ + tʰ ou ⁰,ʂ i ⁵³ + tʰ ou ⁰,ɕ j e ʔ ³² + tʰ i ⁴⁴,ɕ j ɔ ³⁵ + d j ɤ ¹³ + k w a ⁰,s a k ⁵ + tʰ eu ¹¹,s a ʔ ² + tʰ ɛu ⁰,ʂ ʅ ʔ ⁵ + tʰ əɯ ¹³,ʂ ɿ ³⁵ + tʰ ou ⁰,z ɑ ʔ ²³ + d ʏ ¹³,s ə ʔ ⁵⁴ + tʰ əu ²¹,z ei ²¹ + d ɤu ³⁴¹ + ts ɿ ²⁴² + ŋ̍ ⁰,ʂ ʅ ²⁴ + tʰ ou ⁰,ts j o ʔ ⁵ + tʰ au ²⁴
118_hand,ʂ ou ²¹³,s əu ⁴¹,s əu ⁵³,tsʰ j eu ³²,s ɐu ³⁵,s ou ²³,ʂ ou ²¹³,ʂ ou ⁴⁵,s i ²¹³,ɕ io ⁴²,s u ³¹,ɕ j u ²¹³,s əɯ ¹¹,ʂ ou ²¹⁴,s ʏ ⁵²,s əu ⁵³,ɕ j eu ²⁴,ʂ ou ⁵³,tsʰ j u ⁵³
119_tree,ʂ u ⁵¹,ɕ y ¹¹,s u ²¹³,tsʰ j eu ²¹²,s y ²²,ɕ y ²¹,ʂ u ⁵³,ʂ u ³¹,ɕ y ³¹,ʑ y ¹¹,s u ⁵⁵ + v e ⁰,s u ²¹,s u ⁴⁴,ʃ y ³³⁴,z ʯ ²³¹,s u ⁴⁵,z ɿ ²²,f u ⁴⁴,tsʰ j u ²²
11_guts,ʈʂʰ ɑ ŋ ³⁵ + ts ɿ ⁰,ts a n ¹³ + ts ɿ ⁰,tsʰ a ŋ ²¹ + ts ɿ ⁵³,t w o ŋ ⁵³,tsʰ œ ŋ ²¹,ts ɑ ŋ ²² + ts e ²³,ʈʂʰ a ŋ ²⁴ + ts ɿ ⁰,ʈʂʰ ɑ ŋ ⁵³ + ts ɿ ⁰,tɕʰ j õ ⁵⁵,tʰ ɔ ŋ ¹³,tsʰ o ŋ ¹¹ + ŋ e ⁰,tsʰ ɔ ŋ ²⁴ + ts ɿ ⁰,tsʰ ɑ̃ ¹³ + ts ɿ ⁰,ʈʂ a ŋ ³⁵ + ts ɿ ⁰,d əu ²³¹ + ã ¹³,tsʰ ɒ̃ ²¹ + ts ə ʔ ⁰,d øy ²⁴ + dʑ i ³⁴¹,ʈʂʰ ɑ ŋ ²⁴,t ŋ̍ ²⁴ + ŋ a ⁵³
120_bark,ʂ u ⁵¹ + pʰ i ³⁵,ɕ y ¹¹ + p i ¹³,s u ²¹³ + pʰ i ²¹,tsʰ j eu ²¹² + pʰ w oi ⁵³,s y ²² + pʰ ei ²¹,ɕ y ²¹ + p i ²²,ʂ u ⁵³ + pʰ i ²⁴,ʂ u ³¹ + pʰ i ⁵³,ɕ y ³¹ + pʰ ɿ ⁴⁴,ʑ y ¹¹ + b i ¹³,s u ⁵³ + pʰ i ¹¹,s u ²¹ + pʰ i ²⁴,s u ⁴⁴ + pʰ i ¹³,ʃ y ³³⁴ + pʰ i ³⁵,z ʯ ²³¹ + b i ¹³,s u ⁴⁵ + pʰ i ²¹,z ɿ ²² + b ei ³⁴¹,f u ⁴⁴ + pʰ i ²⁴,tsʰ j u ²² + pʰ e ²⁴
121a_countnoun,ʂ u ⁵¹,s əu ⁵⁵,s u ²¹³,s ou ²¹²,s ou ³³,s u ²⁵,ʂ u ⁵³,ʂ u ²¹,s u ³⁵,s ɤu ³⁵,s ɿ ⁵³,s u ⁴⁵,s u ⁴⁴,ʃ u ³³⁴,s əu ⁴¹²,s u ⁴⁵,s ɤu ⁵¹,s ou ⁴⁴,s ɔ ²¹
121b_countverb,ʂ u ²¹³,s əu ⁴¹,s u ⁵³,s ou ²¹²,s ou ³⁵,s u ²⁵,ʂ u ²¹³,ʂ u ⁴⁵,s u ²¹³,s ɤu ⁴²,s ɿ ⁵³,s u ²¹³,s u ¹¹,ʃ u ³³⁴,s əu ⁵²,s u ⁵³,t i ²⁴,s ou ⁵³,s ɔ ²¹
122_who,ʂ əi ³⁵,s ei ¹³,n a ⁵³ + k o ²¹³,t j e ³² + ʒ j e ʔ ²⁴,s øy ²¹,l a̠ ²³ + k w o ³³,ʂ w ei ²⁴,ʂ ei ⁵³,n a ²¹³ + k ɵ ³⁵,s w i ¹³,m a n ³¹ + ŋ i n ¹¹,l ai ²¹³ + k o ²¹,l ɑ ¹¹ + k o ⁴⁴,ʃ w ɛ ³⁵,s ɑ ⁴¹² + ɲ i n ¹³,s w ei ²¹,a ⁴¹ + ɲ i ³⁴¹ + n a ŋ ³⁴¹,s ei ²⁴,s j ã ⁵³ + l a ŋ ²⁴
123_water,ʂ w ei ²¹³,ɕ ɥ ei ⁴¹,s w ei ⁵³,ts w oi ³²,s øy ³⁵,s w ei ²³,ʂ w ei ²¹³,ʂ w ei ⁴⁵,ɕ y ²¹³,ɕ y ⁴²,s w i ³¹,s w i ²¹³,s w ei ¹¹,ʂ w ei ²¹³,s ʯ ⁵²,s w ei ⁵³,s ɿ ²⁴,f ei ⁵³,ts w i ⁵³
124_fruit,ʂ w ei ²¹⁴ + k w o ²¹³,ɕ ɥ ei ⁴¹ + k o ⁴¹,s w ei ⁵³ + k o ⁵³,k w o ³² + ʒ i ³²,s øy ³⁵ + k ɥ ɔ ³⁵,s w ei ²³ + k w o ²³,ʂ w ei ²¹³ + k w o ²¹³,ʂ w ei ⁴⁵ + k w ɤ ⁴⁵,ɕ y ²¹³ + k ɵ ²¹³,k o ⁴² + ts ɿ ⁰,s w i ³¹ + k w o ³¹,s w i ²¹³ + k w o ²¹³,s w ei ¹¹ + k o ¹¹,k ɔ ²¹³ + m ə n ⁰,s ʯ ⁵² + k əu ⁵²,s w ei ⁵³ + k w o ⁵³,s ɿ ²⁴ + k u ²⁴²,f ei ⁵³ + k w o ⁰,ts w i ⁵³ + k o ⁵³
125_sleep,ʂ w ei ⁵¹,ɕ ɥ ei ¹¹,s w ei ²¹³,kʰ ɔu ŋ ²¹²,s øy ²²,s w ei ²¹,ʂ w ei ⁵³,ʂ w ei ³¹,kʰ w ɑ̃ ³⁵,kʰ u n ³⁵,s oi ⁵³,kʰ u n ²¹³,s w ei ⁴⁴,ʂ w ei ³³⁴,kʰ w ə n ⁴¹²,s w ei ⁴⁵,kʰ y ⁵¹,f ei ⁴⁴,kʰ u n ²¹
126_suck,ɕ i ⁵⁵,tɕ i n ³³,tɕ y ²¹,s o ʔ ²⁴,s y n ²³,s w o ⁵⁵,k w o ²¹³,ʂ w ẽ ⁵³,s o ʔ ³²,ts i n ⁴⁴,kʰ i p ¹,tɕ i t ⁵,s o ʔ ⁵,ç y ²¹⁴,h əu ⁴⁴,ɕ j ə ʔ ²,tɕ y ⁴¹,ɕ i ²¹,s u ʔ ⁵
127_say,ʂ w o ⁵⁵,s o ²⁴,s o ²¹,k ou ŋ ³²,s y t ³,k ɑ ŋ ²³,ʂ w o ⁴⁴,ʂ w ɤ ²¹,ɕ ɥ a ʔ ³²,k ɔ ŋ ⁴²,k o ŋ ³¹,w a ²¹,tɕ j ɑ̃ ¹¹,ʃ w ɛ ²¹⁴,s ə ʔ ⁴,s w ə ʔ ²,k w ɔ ²⁴²,ʂ y ²¹,k ɔ ŋ ⁵³
128_split,s ɿ ⁵⁵ + l j ɛ ⁵¹,s i ³³,s ɿ ⁴⁵ + kʰ ai ⁴⁵,tʰ j e ³² + l j e ʔ ⁵,s i ⁵³ + l i t ²,tsʰ a̠ ²³ + pʰ w o ²⁵,s ɿ ⁴⁴ + l j ɛ ⁵³,s ɿ ²¹⁴ + l j ə ³¹,tɕʰ j ɔ ²¹³,tʰ j ɔ ⁴² + b u ³⁵,tsʰ a ³¹ + kʰ oi ³³,s i ⁴² + l j ɛ t ⁵,s ɿ ³¹,s ɿ ⁵² + l j ɛ ²¹⁴,h ə n ⁴⁴,s ɿ ²¹,d o ²¹,s ɿ ²¹ + l æ̃ ⁴⁴,tʰ j a ʔ ⁵³ + l i ²²
129_die,s ɿ ²¹³,s ɿ ⁴¹,s ɿ ⁵³,s i ³²,s ei ³⁵,s ɿ ²³,s ɿ ²¹³,s ɿ ⁴⁵,s ɿ ²¹³,s ɿ ⁴²,s ɿ ³¹,s ɿ ²¹³,s ɿ ¹¹,s ɿ ²¹⁴,s i ⁵²,s ɿ ⁵³,s ɿ ²⁴²,s ɿ ⁵³,s i ⁵³
12_sing,ʈʂʰ ɑ ŋ ⁵¹,tsʰ a n ⁵⁵,tsʰ a ŋ ²¹³,tsʰ w o ŋ ²¹²,tsʰ œ ŋ ³³,tsʰ ɑ ŋ ²⁵,ʈʂʰ a ŋ ⁵³,ʈʂʰ ɑ ŋ ³¹,tɕʰ j õ ³⁵,tʰ ɔ ŋ ³⁵,tsʰ o ŋ ⁵³,tsʰ ɔ ŋ ²¹³,tsʰ ɑ̃ ⁴⁴,ʈʂʰ a ŋ ³³⁴,tsʰ ɑ̃ ⁴¹²,tsʰ ɒ̃ ⁴⁵,tɕʰ i ⁵¹,ʈʂʰ ɑ ŋ ⁴⁴,tsʰ j ũ ²¹
130_four,s ɿ ⁵¹,s ɿ ⁵⁵,s ɿ ²¹³,s ɛi ²¹²,s ei ³³,s ɿ ²⁵,s ɿ ⁵³,s ɿ ³¹,s ɿ ³⁵,s ɿ ³⁵,s i ⁵³,s ɿ ⁴⁵,s ɿ ⁴⁴,s ɿ ³³⁴,s ɿ ⁴¹²,s ɿ ⁴⁵,s ɿ ⁵¹,s ɿ ⁴⁴,s i ²¹
131_he,tʰ a̠ ⁵⁵,tʰ a ³³,tʰ a ⁴⁵,i ⁵⁵,kʰ øy ²³,tʰ a̠ ⁴²,tʰ a ⁴⁴,tʰ a ⁴⁵,k i ⁴⁴,tʰ ɔ ⁴⁴,k i ¹¹,tɕ j e ²⁴,tʰ ɑ ³¹,tʰ a ⁵²,l i ⁴⁴,tʰ a ²¹,g ei ³⁴¹,tʰ ɑ ²¹,i ⁵⁵
132_they,tʰ a̠ ⁵⁵ + m ə n ³⁵,tʰ a ³³ + m ə n,tʰ a ⁴⁵ + m ə n ²¹,i ⁵⁵ + n øy ŋ ⁵³,kʰ øy ²³ + t ei ²²,tʰ a̠ ⁴² + t i ⁰ + k ɤ ²¹,tʰ a ⁴⁴ + m ə n ⁰,tʰ a ⁴⁵ + m ẽ ⁰,k i ⁴⁴ + j ɑ̃ ⁰,tʰ ɔ ⁴⁴ + n ã ¹³,k i ¹¹ + t e n ³³ + ŋ i n ¹¹,tɕ j e ²⁴ + m ɨ n ⁰,tʰ ɑ ³¹ + m ə n ¹³,tʰ a ⁵² + m ə n ³³⁴,l i ⁴⁴ + t o ʔ ⁰,tʰ a ²¹ + m ə ŋ ⁰,g ei ³⁴¹ + l j ɛ ³⁴¹,tʰ ɑ ²¹ + t i ⁰,i n ⁵⁵
133_sun,tʰ ai ⁵¹ + j ɑ ŋ ³⁵,tʰ ai ⁵⁵ + j a n ¹³,tʰ ai ²¹³ + j a ŋ ²¹,n i ʔ ⁵ + tʰ au ⁵³,tʰ ai ³³ + j œ ŋ ²¹,l j e ⁵⁵ + t ai ²²,ʐ ʅ ⁵³ + tʰ ou ⁰,tʰ ə ³¹ + j ɑ ŋ ⁵³,tʰ ɔ ³⁵ + j ɔ ⁴⁴,tʰ a ³⁵ + j ɔ ŋ ¹³,ŋ i t ¹ + tʰ eu ¹¹,tʰ ai ²¹³ + j ɔ ŋ ⁴⁵,tʰ ɛ ⁴⁴ + j ɑ̃ ⁰,i ²¹³ + tʰ ou ⁰,tʰ ɑ ⁴¹² + ɦ j ã ¹³,tʰ ai ⁴⁵ + j ɒ̃ ⁰,tʰ a ⁵¹ + j i ³⁴¹,tʰ ɛ ⁴⁴ + j ɑ ŋ ⁰,l i t ⁵
134_lie,tʰ ɑ ŋ ²¹³,tʰ a n ⁴¹,s w ei ²¹³ + t au ⁵³,t o ³²,tʰ ɔ ŋ ³⁵,tʰ ɑ ŋ ²³,tʰ a ŋ ²¹³,tʰ ɑ ŋ ⁴⁵,kʰ w ɑ̃ ³⁵,kʰ u n ³⁵,m i n ¹¹,tʰ ɔ ŋ ²¹³,tʰ ɑ̃ ¹¹,tʰ a ŋ ²¹³,tʰ ɑ̃ ⁵²,tʰ ɒ̃ ⁴⁵,f a ⁴⁴,f ei ⁴⁴,t o ⁵³
135_day,tʰ j ɛ n ⁵⁵,tʰ j ẽ ³³,tʰ j ɛ n ⁴⁵,tʰ j e ŋ ⁵⁵,tʰ i n ⁵³,tʰ j ã ⁴²,tʰ j a n ⁴⁴,tʰ j æ̃ ²¹⁴,tʰ ẽ ⁵⁵,tʰ j æ ⁴⁴,tʰ j e n ³³,tʰ j ɛ n ⁴²,tʰ j e n ³¹,tʰ j ɐ n ⁵²,tʰ j ɪ ⁴⁴,tʰ j e ²¹,n e ²¹,tʰ j æ̃ ²¹,tʰ j æ ⁵⁵
136_sky,tʰ j ɛ n ⁵⁵ + kʰ u ŋ ⁵⁵,tʰ j ẽ ³³ + kʰ ə n ³³,tʰ j ɛ n ⁴⁵ + s a ŋ ²¹³,tʰ j e ŋ ⁵⁵ + n øy ŋ ⁵⁵,tʰ i n ⁵⁵ + h o ŋ ⁵³,tʰ j ã ⁴² + kʰ ɤ n ⁴²,tʰ j a n ⁴⁴,tʰ j æ̃ ²¹⁴ + kʰ u ŋ ³¹,tʰ ẽ ⁵⁵ + kʰ w ɑ̃ ⁵⁵,tʰ j æ ⁴⁴,tʰ j e n ³³ + h o ŋ ⁵³,tʰ j ɛ n ⁴² + k u ŋ ⁴²,tʰ j e n ³¹ + kʰ o ŋ ³¹,tʰ j ɐ n ⁵² + kʰ o ŋ ³³⁴,tʰ j ɪ ⁴⁴,tʰ j e ²¹ + s ɒ̃ ⁴⁵,tʰ i ⁴⁴ + l ei ⁴⁴,tʰ j æ̃ ²¹ + kʰ u ŋ ²¹,tʰ j æ ⁵⁵ + t i ŋ ⁵³
137_hear,tʰ i ŋ ⁵⁵ + tɕ j ɛ n ⁵¹,tʰ i n ³³ + tɕ j ẽ ⁵⁵,tʰ i n ⁴⁵ + t au ⁵³,tʰ j a ŋ ⁵⁵ + ŋ j e ŋ ²¹²,tʰ ɛ ŋ ⁵³ + k i n ³³,tʰ ei ⁴² + tɕ j ã ²⁵,tʰ i ŋ ⁴⁴ + tɕ j a n ⁵³,tʰ i ŋ ²¹³ + tɕ j æ̃ ⁰,tʰ j ɑ̃ ³⁵ + tɕ j ẽ ³⁵,tʰ j ɔ̃ ⁴⁴ + tɕ j æ ³⁵,tʰ a ŋ ³³,tʰ j a ŋ ⁴² + tɕ j ɛ n ⁴⁵,tʰ i n ⁴⁴ + tɕ j e n ⁴⁴,tʰ i ŋ ⁵² + c j ɐ n ³³⁴,tʰ i n ⁴⁴ + tɕ j ɪ ⁴¹²,tʰ i ŋ ²¹ + tɕ j e ⁴⁵,tʰ e ŋ + dʑ j a ²¹,tʰ i ŋ ²¹ + tɕ j æ̃ ⁰,tʰ j ã ⁵⁵ + t j o ⁰
138_head,tʰ ou ³⁵,t əu ¹³,tʰ əu ²¹,tʰ au ⁵³,tʰ ɐu ²¹,t ai ²²,tʰ ou ²⁴,tʰ ou ⁵³,tʰ i ⁴⁴,d j ɤ ¹³,tʰ eu ¹¹ + n a ¹¹,tʰ ɛu ²⁴,tʰ əɯ ¹³,t ou ³⁵,d ʏ ¹³,tʰ əu ²¹,d ɤu ³⁴¹,tʰ ou ²⁴,tʰ au ²⁴ + kʰ a k ³²
139_hair,tʰ ou ³⁵ + f a̠ ⁵¹,t əu ¹³ + f a ²⁴,tʰ əu ²¹ + f a ²¹,tʰ au ⁵³ + w o ʔ ²⁴,tʰ ɐu ²¹ + f a t ³,t ai ²² + m au ²²,tʰ ou ²⁴ + f a ⁰,tʰ ou ⁵³ + f a ⁰,tʰ i ⁴⁴ + m ɤ ⁴⁴,d j ɤ ¹³ + x ɔ ⁰,tʰ eu ¹¹ + n a ¹¹ + m au ³³,tʰ ɛu ²⁴ + f a t ⁰,tʰ əɯ ¹³ + f ɑ ʔ ⁵,t ou ³⁵ + f a ⁰,d ʏ ¹³ + f a ʔ ⁴,tʰ əu ²¹ + f a ʔ ²,d ɤu ³⁴¹ + h o ⁴¹,tʰ ou ²⁴ + f ɑ ⁰,tʰ au ²⁴ + m ŋ̍ ²⁴
