Cognate_ID	Amonda	Anambe	Apiaka	Arawete	Asurini	AsuriniXingu	AvaCanoeiro	Aweti	Chiriguano	Emerillon	Guaja	Guajajara	GuaraniAntigo	GuaraniMbya	GuaraniParaguay	Guarayo	Guayaki	Kamayura	Kayabi	Kokama	Mawe	Nheengatu	Omagua	Parakana	Parintintin	Siriono	Surui	Tapirape	Tembe	Tenharim	Tupi	UrubuKaapor	Urueuwauwau	Warazu	Wayampi	WayampiJ	Xeta	Yuki
10_basket	p a n a gʷ e r a	t i m o a p ɨ̃		p e h i	m a n a k o a		p u r u	m ã j ã k u	mb a e r ɨ r u	k a z a r a	m a n a k ũ	k o k	j a k a	a j a k a	a j a k a			ɨ r ɨ p e m	p a n a k ũ	w a r a t a	h ɨ t	j a m a ʃ i	s a p a r u	m a n a k ũ	ɨ r u a			ɨ r o	p a n a k u	p a n d a k u gʷ e r a	p a n a k ũ	p e i r	ɨ r u a	m i n ə k u	p a n a k a l i		p i n a k o	
110_knee	e ɨ p ɨ ʔ ã	i n a p ɨ ʔ ɨ̃				k a n a w a	ɨ p ɨ a		e n e p ɨ a	e n ɨ p u ʔ a	p a r a n ɨ̃	p e n a r a g	t e n ɨ p ɨ ʔ ã	e n a p ɨ ʔ ã	e n ɨ p ɨ ʔ a	e n ɨ p ɨ a		p e r e n a n	e n u p ɨ ʔ ã	t͡s e n e p i a	m ɨ ʔ a k a ŋ ʔ a	i n i p i a	s ɪ n u p u a	e t͡ʃ a m e β	e n ɨ p ɨ ʔ ã	n i ã		k a n ã w ã	e n ɨ p ɨ ʔ ə	i n ũ p ɨ ʔ ə	e n ɨ p ɨ ʔ a	k a n a w a j	a n ɨ p ɨ ʔ ã	e n i p ɨ ʔ ə	e n ɨ p a ʔ ã	e n ɨ p a ʔ ã		n i a
111_knife	k ɨ t i h a β			i t͡ʃ i	k ɨ h e	k ɨ h e	k ɨ e	k ɨ t e	k ɨ s e	m a r i j a	t a k ɨ	t a k i h e	k ɨ s e	k ɨ t͡ʃ e	k ɨ s e	k ɨ t s e		k ɨ e	j ɨ	k ɨ t͡ʃ ɨ	k ɨ s e	k i s e	k ɨ t͡ʃ i	k ɨ ʔ e	k ɨ h e ʔ i	k i s e	k ɨ s e	k ɨ t͡ʃ e	k ɨ h e		k ɨ s e	k ɨ s e	k ɨ ʔ i	k i h e	k ɨ s e		k ɨ t i h a	k i s e
112_know	kʷ a h a	k u h ã		k a	kʷ a h a m	k o h a p	kʷ a	kʷ a p	kʷ a a	k u w a	a kʷ a	u kʷ a w	kʷ a a	kʷ a ʔ a	kʷ a a	kʷ a		kʷ a h a p	kʷ a a p	i k u a	kʷ a p	k u a w	i k u a	a kʷ a h a m	kʷ a h a	kʷ a		k a a m	kʷ a w	kʷ a h a	k u gʷ a β	k u h ã	kʷ a h a	kʷ a	k u a	k u a		a k j a t u
113_lake	ɨ p i a h u a		i p i a		ɨ e w e g o h o a	ʔ ɨ p a w	ɨ p a w	ʔ ɨ w a t u	ɨ p a		i p u	ɨ p a w	ɨ u p a	u p a	ɨ p a	ɨ u p a		ɨ w p a p	ʔ ɨ p i a	t i p i ʃ k a	i h ɨ p ɨ h u a t		ɨ p a s u	ɨ p a β	ɨ p i a ʔ i	a m ã n d ɨ ʃ a	i p u r e	ʔ ɨ o p a m	ɨ p a w	ɨ p i a h u a	ɨ p a β	ɨ p a	ɨ p i a h u a	i p a	ɨ p a	ɨ p a		i h a
114_laugh	p u k a	p u k ã		j u r i	p o k a	p o k a	p u k a		p ú k a	dʒ e k a	m a k a	p u k a	p u k a	m u k a	p u k a	p u k a	dʒ ui j a	h u k a	j a i	a p u k a	k ɨ r ɨ	p u k a	a p u k a	p o k a	p u k a	i k a	t͡ʃ i m e r i a	p o k ã	p u k a	p u k a	p u k a	p u k a	p u k a	p ú k a j	p u k a	p u k a	dʒ a i	j u j a i
115_leaf	k a ʔ a	o w a		a w e	a w	a w	o w	o p	ó o	o w a l	o	u e r	o β	o gʷ e	o gʷ e	o	o	o p	o w	t͡s a	o p	a w a	s a w a		k a ʔ a	o	a r a	a p	o w	k a ʔ a	o β	o	k a ʔ a	o w e	o	o	a	o
116_learn						dʒ e m u ʔ e			j e m o e	d͡ʒ e b o ʔ e		z e m u ʔ e	ɲ ẽ mb o ʔ e	kʷ a ʔ a	j e t a v ɨ ʔ o	j e mb o ʔ e		j e m o ʔ e	j e m u ʔ e	i kʷ a		ɲ a e m o ʔ e	i kʷ a	t͡ʃ e m o ʔ e	ɲ i mb o ʔ e	ɲ i mb a k i a t u		t͡ʃ e m a ʔ e		ɲ i mb o ʔ e	ɲ a e m o ʔ e	j u m e ʔ e		ð e m o ʔ e	m o e			
117_leg	e t ɨ m a k a ŋ	t a m a k ɨ̃	s i t o m a k a ŋ	h e r i t ə m a i	n e t ɨ m o t͡ʃ i ʔ a	t a m a k ɨ ŋ	e t ɨ m ã	ʔ u p	t ɨ̃ m a	e t u m ã	a t a m ã	h e t ɨ m ã	t e t ɨ̃ m ã	e t ɨ̃ m a	t e t ɨ m a	e t ɨ m a	k ɨ m a k a	h e t i m a k a ŋ		t͡s u t ɨ m a	ʔ u p	e t i m ã		i k u ɲ a	p ɨ a	e t i m ã	j e t ɨ m a k a p e n a	t ɨ t ɨ m a	e t ɨ m a	p ɨ a	e t ɨ m ã	i t ɨ m a	e t ɨ m ã k ã ŋ ə	e t i m ə	e t ɨ m ã	e t ɨ m ã	t ə m a	o gʷ e
118_liver	p ɨ ʔ a	p i ʔ ã	p ɨ ʔ a	p i ã	p ɨ ʔ a	p ɨ ʔ a	p ɨ a		p ɨ a	p ɨ ʔ a kʷ ə r	p ɨ ʔ a k e r	p ɨ ʔ a	p ɨ ʔ a kʷ e	p ɨ ʔ a kʷ e	p ɨ ʔ a	p ɨ ʔ a	p ɨ a a	p e r e	p ɨ ʔ a	p ɨ a	p ɨ ʔ a	p i ʔ a	p ɨ a	p ɨ ʔ a	p ɨ ʔ a	i a	p ɨ ʔ a	m ɨ ʔ ã	p ɨ ʔ a	p ɨ ʔ a	p ɨ ʔ a	p ɨ ʔ a	p ɨ ʔ a	p i ʔ a kʷ e	p ɨ ʔ a	p ɨ ʔ a	i p i a	i a
119_long	p u k u	p u k u	p u k u	p u k u	p o k o	p o k o	p u k u	p u k u	p u k u	p u k u	p u k u	p u k u	p u k u	p o k u	p u k u	p u k u	p u k u	w u k u	p u k u	i p u k u	ɨ w o p	p u k u	i p u k u	p o k o	p u k u	e o k o	p u k u	p o k o	p u k u	p u k u	p u k u	p u k u	p u k u r e h u	p u k u	p u k u	p u k u		e r u b i
11_bat	a n d ɨ r a	a n d i r ã	a n d ɨ r a	a n i r ã		a n ɨ r a	a n ɨ r		a n ɨ r a	a n d e u r a		i n i r ã	m o p i	mb o p i	m o p i	a n ɨ r a	b u p i		a n ɨ r a	a n ɨ r a	h a k i ʔ i	a n i r a	a n ɨ r a	a n ɨ r a	a n ɨ r a	m b u ɨ	s a w i r i r e	a n ɨ r ã	a n i r a	a n d ɨ r a	a n ɨ r a	a n d ɨ r a	ã n ɨ r a	m o p ɨ	a n ɨ l a	a n ɨ r a	m o p i	b w ɨ
120_lookat	e p i a g	m e ʔ ẽ		m a ʔ ẽ	m a ʔ e	e t͡ʃ a k	m a e	m a ʔ ẽ	m ã e	m a ʔ ẽ	m e ʔ ẽ	m e ʔ e	m a ʔ ẽ	m a ʔ ẽ	m a j ã	m ã ʔ ẽ		e t͡s a	m ã ʔ j ã u	u m i	h a ʔ ā t	m a ã	u m a j	m a ʔ e	e p i a g	m a ẽ		i t͡ʃ ã k	m a ʔ ẽ	e p i a g	m a ʔ ẽ	m a ʔ ã	e p i a g	é p a	m ã ẽ	m a ʔ e ʔ e		m a a
121_looseones	k a ʔ ɲ ɨ m					m u k a dʒ ɨ m	k ɨ n ɨ m	o p a t	m o k a ɲ ɨ	o p a o p a r			k a ɲ ɨ̃	k a ɲ ẽ	k a ɲ ɨ		k a j ã	k a j ɨ m		t͡s u p a r a		k a ɲ e m ũ	u k a j ɨ m a	k a t͡ʃ ɨ m	k a ʔ ɲ ɨ m	k a t͡ʃ a		k ã t͡ʃ ɨ m	k a z ɨ m	k a ʔ ɲ ɨ m	k a ɲ e m	k a j i m	k a ʔ ɲ ɨ m	k e ð i	k a j ɨ̃		m ã k a n ɨ	k i a j a
122_louse	k ɨ β	k ɨ	k ɨ w	i w i t͡ʃ i	k ɨ w	k ɨ w	k ɨ w	k ɨ p	k ɨ	k ɨ	k ɨ	k ɨ w	k ɨ	k ɨ	k ɨ	k ɨ		k ɨ p	k ɨ p	k ɨ w a	ŋ ɨ p	k ɨ w a	k ɨ w a	k ɨ	k ɨ β	k ĩ	k ɨ β	k ɨ p	k ɨ w	k ɨ	k ɨ β	k ɨ	k ɨ β	k i	k ɨ	k ɨ	k ë	k ii̯
123_man	kʷ ã m a ʔ e	k u m a ʔ a		k u m e ʔ e	k o m a ʔ e	k u d͡ʒ e m a ʔ e	a kʷ a m a e		k u i m a e	a w a kʷ e l	w a n i h ã	a w a	k u i m a e	k u i m a ʔ e	k u i m a ʔ e	k u i m b a ʔ e	k ɨ b a i	a kʷ a m a ʔ e	kʷ i m a ʔ e	n i a p i t s a r a	i h a i ɲ a	a p i g a w a	j a p ɪ s a r a	k u m a ʔ e	kʷ a j m a ʔ e	k i m b a e	k u m a ʔ e	a k o m a ʔ e		kʷ ĩ m a	a kʷ ã i m a ʔ e	s a w a ʔ e	kʷ ã m a ʔ e	kʷ ɨ m a ʔ e	kʷ i m a ʔ e		k a n o m i	k ẽ b a
124_manioc	m a n d i ʔ o k	m a n i ʔ o	m a n i ʔ o g	m a n i	m a n i ʔ a ŋ	m a n i ʔ a k	m a n i o k	m a n i ʔ o k	m a n i o	m a ŋ i ʔ o k	m a n i ʔ ĩ	m a n i ʔ o k	m a n i o g	m a n i ʔ o	m a n i ʔ o	m a n i o	ʔ a m b i r o	t ẽ m i ʔ ũ	m a n i ʔ o g	u w i		m a n i a k a		m a n ɨ a g	m a n i ʔ o g	n i o	m a n i ʔ o g	m a n i ʔ a k	m a n i ʔ o k	m a n i o k	m a n i o k	m a n i ʔ o k	m a n i o k	m a n ɨ ʔ o i	m a n i ʔ o	m a n i ʔ o	m a n i o k	
125_many	e ʔ u j			p a w ẽ	e t a	e t a	e t a		h e t a	a ɨ	j a t e	t e t e	h e t a	h e t a	h e t a	r e t a		e t ã		t͡ʃ i t a	k a h a t o	r e t a	ʃ i t a	e t e	e ʔ h u j	r e t a		e t e	e t a	e ʔ u j	e t e	h e t a	e ʔ u j	t j e r ə	a t ɨ			e t a t ẽ
126_medicine	m o h a ŋ	p u h ɨ		u h a	p o h a ŋ	m o h ɨ ŋ	p o s a ŋ	p o t a ŋ	p õa	i p uã	p o h ã	m u h a g	p o h ã ŋ	p oã	p o h ã	p õ z ã	p r oa ʔ ã	m oa ŋ	m ua ŋ a	m u t͡s a n a	p o h a ŋ	p u s a ŋ a	m u s a n a	m o ʔ a g	m o h a ŋ	m u t͡ʃ e r õ s a		m a h ɨ g	m u h a ŋ	m o h a ŋ	p o s a ŋ	p u h ã	m o h a ŋ	p u h ã n ã h a	m ɔ ʔ ã			b e r a s iã k ia
127_monkey	k a ʔ i	k a ʔ i	k a ʔ i	k a i t e	k a ʔ i	k a ʔ i	k a j	k a ʔ i j ɨ t		k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i		k a ʔ i	k a ʔ i	k a j u	h a n u ʔ a n		m i j a r a	k a ʔ i	k a ʔ i	k j e ĩ	k a ʔ i	k ã ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ i	k a ʔ ɨ	k a ʔ i			k j e ĩ
128_moon	ɲ a h ɨ a	j a h ɨ	s a h ɨ	j a h i	s a h ɨ	dʒ a h ɨ	dʒ a ɨ	t a t ɨ	j a s ɨ	dʒ a ɨ	j a h ɨ	z a h ɨ	j a s ɨ	dʒ a s ɨ	j a s ɨ	j a s ɨ	j a t͡ʃ ɨ	j a ɨ	j a ɨ	j a t͡s ɨ	w a t ɨ	j a s i	j a s ɨ	t͡ʃ a h ɨ	ɲ a h ɨ a	dʒ a s i	s a h ɨ	t͡ʃ ã ɨ	z a h ɨ	ɲ a h ɨ	j a s ɨ	j a h ɨ	ɲ a h ɨ a	ð a h i	j a ɨ	j a ɨ		j a s i
129_mountain	ɨ w ɨ t ɨ r u h u a								ɨ v ɨ t ɨ	w ɨ t u l		ɨ w ɨ t ɨ r		ɨ v ɨ t ɨ	ɨ β ɨ t ɨ	ɨ β ɨ t ɨ r		ɨ w ɨ ʔ a m	ɨ w ɨ ʔ a m u k u	ɨ w a t a		i w i t i r a		ɨ β ɨ t ɨ r		i β i t i					ɨ β ɨ t ɨ r		ɨ w ɨ t ɨ r a	i w í t i	ɨ w ɨ t ɨ			i β i h u ã
12_bewrong									j a v ɨ		m ɨ n ɨ h ɨ̃	z a w ɨ	a β ɨ	a β ɨ	j a v ɨ				a w ɨ		a p a r a p	j a w i				t͡ʃ a v i		ɑ̃ w ɨ i ʃ e	z a w ɨ		a β ɨ	j a w ɨ		a w i	j a w ɨ s õ ĩ			
130_mosquito	ɲ a t͡ʃ i ʔ ũ a		n a s i ũ n a	ɲ a t͡ʃ ɨ̃ ʔ ũ	t͡ʃ a t͡ʃ i ʔ o	d͡ʒ a t i ʔ ũ	t i ũ		ɲ a t ĩ u	j a i s i o		z a ʃ i ʔ u	ɲ ã t ĩ ũ	ɲ a t ĩ ʔ ũ	ɲ a t i ʔ ũ	ɲ a t͡ʃ ĩ ũ	t͡ʃ i k õ	j a t͡s i ʔ ũ	j a t͡s ʔ ũ	j a t i u	w ã t i ʔ u	k a r a p a n ã	j a t i u	t͡ʃ a t͡ʃ i ʔ o	ɲ a t i ʔ ŋʷ a	d i ʃ i õ	s a t i ʔ u		z a t i ʔ u	ɲ a t i ʔ ũ a	n a t iũ	k a r a p a n ã	ɲ a t͡ʃ i ʔ ũ a	ð ã t͡s i ʔ ú	j a s i ʔ o	j a s i ʔ o	ɲ õ t͡ʃ i ũ	ɲ a t i ũ
131_mother	t u m a h ẽ a	h ɨ	h ɨ	h i	h ɨ	h ɨ	ɨ	t ɨ	s ɨ	ɨ	h ɨ	h ɨ	t͡s ɨ	ʃ ɨ	s ɨ	s ɨ		j ɨ	ɨ	m a m a	t ɨ	m a ɲ a	m a m a	h ɨ	ɨ	s i	s ɨ	ɨ	h ɨ	ɨ	s ɨ	h ɨ	t u m a h ẽ a	h i	ɨ	ɨ		t a ĩ
132_motherinlaw2			a i h o		a t ɨ a h ɨ		a i ʃ o		a i s o		a j e			m e n a s ɨ	a i t͡ʃ o	e t͡ʃ a r i				j a j ʃ ɪ	a t i t o z a	j a j t͡ʃ	m i a s i	o s o		o t͡s o	ɑ̃ ʃ a	r i h o				j e n e r ɨ r ɨ g ã		a i t͡ʃ o	p e n	ɨ a ʔ u	a i t͡ʃ o	
133_moustache			a m u t a w a	h e n i β ã		a m u t a w	a m u t a w		e m o t a	e b e r a			a mb o t a		j u r u r a gʷ e	a m o t a		ʔ a m o t a p	a m u t a p	m u t a			m u t a	a m o t a h a w	a mb o t a v a	e m u t a	o m u t a w a	ʔ a m a t a m	a m u t a w	a mb o t a β a	a m o t a β	j u r u n ɨ w a		a m u t a	e m e l a			
134_nailclaw			p o p e a	p ẽ	k o a p e	p o ã p e	p w ə̃ p e		p ã p e	p o a p ẽ	h a p i p ĩ	p o a p e	p o ã p ẽ	p o a p ẽ	a p ẽ	p o a p ẽ		hʷ a p e		p ɨ t͡s a p e	m u ʔ u j̃ a ʔ a p e	p u a m e	p ɨ s a p i		p o a p e a	o a ẽ	u p u h o p e	m ɨ ã p e	p o p e	p o ẽ p e	p u ã p e	p o a p ẽ	p o p e a	p e	p u ã p ẽ	p u ã p ẽ	ĩ p w a p e	u ã ĩ
135_name	e r			e r	e r		e r	e t	e e	e r		e r	e	e r ɨ	e r	e r	e t e	e t	ʔ e t	i r a	e t	e r a	ʃ e r a	e r	e r	e	e r	e t	e r	e r	e r	e r	e r	e	e	e r		
136_neck	ɲ u r		s u r	a j ɨ r ɨ	s o r	ʒ o r	a j u r	t u r ʔ ɨ p	á j u	k u l u k a g		a z u ʔ ɨ w	a j u	a j u	a j u r a	a j u r u p ɨ	j u a	j u r		j a t͡ʃ u k a	h u t ʔ ɨ p	j u r a	j a ʃ u k a	t͡ʃ o r	ɲ u r	d͡ʒ u r u i	s u r	t͡ʃ o t		ɲ u r	j u r	j u r u p i	ɲ u r	a ð u	a l ɨ p ɨ			j i r u
137_nest	a i t ɨ				h i t ɨ	h i t ɨ			a i t ɨ	w a i t i		a i t ɨ	a i t ɨ	h a i t ɨ	t a i t ɨ		e i t ɨ	a i t ɨ			o k	u a t i	s a j t ɪ	a ɨ t ɨ	a i t ɨ	e kʷ i s a		a i t ɨ	h j t ɨ	a i t ɨ	a ɨ r ɨ	h a i t ɨ	a i t ɨ		o w a i t ɨ			k i s a
138_new	p ɨ a h u	j a h u		j a h u	ʔ ɨ a h o	ɨ a h o	p ɨ a w	m ɨ t a	p ɨ a u	p ɨ o k a t u	p i a h u	p ɨ a h u	p ɨ a h u	i p ɨ a ʔ u	p ɨ a h u	p ɨ a s u		p ɨ a u	p ɨ a u	ɨ p ɨ t͡s a t͡s u n	p a k u p	p i s a j u	ɨ p ɨ s a s u		p ɨ a h u a	i a s u		ʔ ɨ ã o	p i a h u	p ɨ a h u	p ɨ s a s u	p ɨ a h u	p ɨ a h u a	p i a h u	p ɨ a u	p ɨ a u		w i s a u
139_night	ɨ p ɨ t u n	p ɨ t ũ	p ɨ t u n	p i t ə m	i p ɨ t o n	i p ɨ t u n	p ɨ t u n	i p ɨ t a k o	p ɨ̃ t u	p ɨ a	p ɨ h a	p ɨ h a w	p ɨ t ũ	p ɨ t u	p ɨ h a r e	p ɨ̃ t ũ	p i t õ	ɨ p ɨ t u n	ɨ p ɨ̃ i	ɨ p ɨ t͡s a	w ã t ɨ m	p i t u n a	ɨ p ɨ s a	ɨ p ɨ t o n	ɨ p ɨ t u n	i t õ	i p ɨ t u n	ɨ p ɨ t o n	p ɨ t u n	e p ɨ t u n i i	p ɨ t u n	p ɨ t u n	ɨ p ɨ t ũ n ã	p i h a	p ɨ t ũ	p ɨ t ũ	p o á	h i t õ
13_beans		k u m a n ã	k o m a n a ʔ i	k a m a r a ʔ i	k o m a n a	k u m a n a ʔ ĩ	k u m a n a		k u m a n a	k u m a n a		k u m a n a ʔ i		k õ m a n a	k u m a n a	k u m a n a		k u m a n a	k u m a n a		k u m a n a	k u nd a m i r ĩ	p u r u t u	k o m a n a ʔ i				k o m a n ã	k u m a n a		k o m a n a	k u m a n a ʔ i		p e ð ə	k u m ã n a s ĩ			
140_nose	a p ɨ̃ ɲ ã	t ĩ		t͡s ĩ	s i	t͡ʃ i	a p ɨ̃ i	t ĩ	t ĩ	t͡s ĩ	j i p i a w ɨ̃	t͡ʃ i	t ĩ	t͡ʃ ĩ	t ĩ	ã		t͡s ĩ	s ĩ	t i	a m p ɨ	t ĩ	t i	t͡ʃ i	a p ɨ̃ ɲ ã	ã	t͡ʃ i	t͡ʃ ĩ	t i	a p ɨ̃ ɲ ã	t ĩ	ã p ũ i	a p ɨ̃ ɲ ã	a w a	s ĩ	s ĩ		ã gʷ a
141_one	o d͡ʒ i p e ʔ i	t i p e ʔ ĩ		t͡ʃ i p ẽ	p i t e ʔ i	m u d͡ʒ e p e j̃	m e p e n oa n	m o m o z o t͡s u	p ẽ t i	m o z e p ẽ	m a k a m u t u h ũ	a m o	p e t e ĩ	p e t e ĩ	p e t e ĩ	j̃ e p ẽ i		o j e p e t e	a j e p e ʔ i	w e p e	w e n t u p	j e p e	w i p i	o r e p e t͡ʃ o w e	o d͡ʒ i p e d͡ʒ i	m ɨ ɨ		ã t͡ʃ e p e	p i t ə í	o d͡ʒ i p e j	o j e p e ĩ	p e t e ĩ	o j p e ʔ i	m u p e ð o	p e ʔ ĩ	p e ʔ ĩ		k j o j õ
142_othersome	a m u			a m u t e	a m o	a m o			a m u e	a m õ	a m õ	a m o	a mb u a e	a m o a e	a m u e	a mb u a e		a m õ	a m u	a m u a		ã m ũ	a m u a	a m o t e	a m u	m õ	a m u t e h e		a m ó	a m u	a m o	a m õ	a m u	a m a e	a m ũ	a m ũ		j e χ õ õ
143_paca	k a r u gʷ a r u h u	k a r a r u h u	k a r u a r u ʔ i	t a p ɨ ʔ ɨ	k a r a w a r o h o	k o r a h a r o h u	p a k a			p a k	k a r a r u h u	p a k		dʒ a i t͡ʃ a	p a ɨ	p a ɨ	b i w ã	p a k u		p a k a	p a ɨ	p a k a		k a r o w a r	k a r u gʷ a r u h u	e r u	k a r u a r u h u		p a k	k a r u gʷ a r u h u	p a k	k a ŋ a r u h u	k a r u gʷ a r u h u	p á i	p a a	p a a	h u m h a i	
144_painhurt	a h ɨ	a h ɨ		a h i	a h ɨ	a h ɨ	a ɨ	a t ɨ	a s ɨ	a ɨ	a h ɨ	a h ɨ	a s ɨ	a t͡ʃ ɨ	a s ɨ	a t͡s ɨ	a t͡ʃ ɨ	a ɨ	a ɨ	t͡s a t͡ʃ i	a t ɨ	s a s i	s a ʃ i	a h ɨ	a h ɨ	a s i	a h ɨ	t͡ʃ e	a h ɨ		a s ɨ	a h ɨ	a ɨ	a h i	a ɨ	a ɨ	a t͡ʃ i	a s i
145_parrot		a d͡ʒ u r u	a s u r u	a j i r i	a s o r o	a dʒ o r o	ʒ u r u		a j u r u	k u r e	a j r u	a r i r u	a j u r u	p a r a k a w		a j u r u		a j u r u	a j u r u	r u r u	a h u t	p a r a w a		a n a k o	a j u r u ʔ i	n j u r u	a s u r u	ɑ̃ ʃ o r o	a z u r u	a ʒ u r u h u	a j u r u	p a r a w a	a ʒ u r u	a ð u r u	p a l a w a		w a r a w a	j i r o
146_path	p e h e a	p a	p e	r e p e	p e	p e	a p e	m e	a p e	p e	p e	p e	p e	a p e	a p e	a p e r	p e	a p e	a p e	p e	m o a p	p e	p ɪ	p e e	p e h e a	a e	p e	ã p e	p e	p e h e	p e	p e	p e h e a	a p e	p e e	p e e	p e	i kʷ e
147_penis	a kʷ a ɲ			a k ũ j		a k ũ j		ʔ a á	ã k w a j	e b o	i m õ	e m o		a kʷ ã j	e mb o			a kʷ ã j		w i r a	a h i t	a k u j ã	w i r a	a k o n i	a kʷ a ɲ	a kʷ ẽ j		a k e n	a kʷ ə j	a kʷ a ɲ	a kʷ ã j		a kʷ a ɲ	a p ɨ ʔ a	m o		ə̃ ŋʷ a j	r a k õ
