Cognate_ID,Acoma,AztecPochutla,AztecTetelcingo,AztecZacapoaxtla,Cahuilla,Chemehuevi,ClassicalAztec,Coahuilteco,Comanche,Comecrudo,Cora,Cotaname,Cupeno,Eudeve,Gabrielino,Guarijio,Hopi,Huichol,Karankawa,Kawaiisu,Kiowa,Kitanemuk,Luiseno,Mayo,Mono,NorthernPaiute,NorthernTepehuan,Opata,Pannamint,Papago,PimaDeOnavas,Pipil,ProtoKeresan,SanJuanPuebloTewa,SantaAna,SantaDomingo,Serrano,ShoshoniGosiute,SoutheasternTepehuan,SouthernPaiute,SouthernUte,Tarahumara,Tubar,Tubatulabel,Yaqui,Zuni
104_white-1_104_white,,,i s t ö/ø k,i s t aː k,,t o s a + k a,i s t a + k,,t o s a + p i h t ɨ n,,,,,,,t o s á/a n a + m e,,,,,,,,t o s a l i,t o tsː i + p o n o,t o h a,t o x a,t o sː ă i,t o s a + p i h t ɨ,s + t o h a,s + t o h a,i s t a k,,,,,,t o s a + p i h t ɨ n,ch/tʃ u a,t o ʃ a,,r o s á/a k a + m e,t o s á/a + r,,t ó/o s a ʔ i,
104_white-2_104_white,,,,,,,,,,,,,x w á/a y/j ɨ,,,,,,,,,,x w áy/ai a,,,,,,,,,,,,,,,,,,,,,,,
104_white-3_104_white,,,,,,,,,,,,,,,,,,,,s eː + g i d ɨ,,,,,,,,,,,,,,,,,,,,,s á/a + k a t ɨ,,,,,
104_white-40_104_white,k a ʃ é/e + n á/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g á/a ʃ é/e,,g á/a ʃ é/e,g â/a + ʃ a,,,,,,,,,,
104_white-4_104_white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p oː ʃ ɨ + ɨ t,,
105_black-13_105_black,,,,,,,,,,,,,,,,,,,,,kʰ ǫǫ/õː,,,,,,,,,,,,,pʰ é/e n d i ʔ,,,,,,,,,,,,
105_black-1_105_black,,,t l i l t iː k,t iː l t i k,t ú/u l + n e k,t u pː a + k a,t l i l + t i k,,t u h u + p i h t ɨ,,,,t ú/u l a,,,,,,,t u h u + kʷ i d ɨ,,,,tʃ u k ú/u l i,t u mː u,t u,t u ts o,,t uː p + p i h t ɨ,s + tʃ u k,s + t u k,,,,,,,t uː p + p i h t ɨ n,ch/tʃ u k,t u ü/y,t úu/uː + kː w a + t ɨ,,t o k ú/u + r,t uː g u,tʃ u k uí/ui,
105_black-2_105_black,,,,,,,,,,,,,,s ó/o v ei,,,,,,,,,,,,,,s o v ái/ai,,,,,,,,,,,,,,,,,,
105_black-40_105_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m î/i + n a g a n̉/n ɪ,,m î/i + n a g a n̉/n ɪ,m û/u + n a g a n̉/n ɪ,,,,,,,,,,
105_black-6_105_black,,,,,,,,,,,,,,,,,,j u w i,,,,m o n u sh/ʃ m u 7/ʔ,j u v á/a + t ái/ai,,,,,,,,,,,,,,,,,,,,,,,
105_black-7_105_black,,,,,,,,,,,,,,,j u p iː x a 7/ʔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106_night-1_106_night,,,,,t ú/u k m i y/j a t,t u w a + n u,,,t u k a n i,,t í̵/ɨ k a ʔ a,,t ú/u k m u t,ch/tʃ u a r i,,t u g a ó/o,,t ɨ k á/a r i k a,,t u g w a,,t u k a,t úu/uː k u + m i + t,t u k á/a a r i,t o q a,t u k a,t u ts a g ui,d o tsː o,t u kʷ a n i,tʃ u h u g,t u k g a m,,,,,,t uː k,t u k a n i,t u k a ʔ,t u kʷ a,t u kʷ á/a + n a,r u k á/a w a l i,,t uː g i + t,t u k á/a r i a,
106_night-2_106_night,,o w e l,y/j o w a l iː,y/j o w aː l,,,y oo/oː a + w a + l + l i,,,,,,,,,,,,,,,,,,,,,,,,,t i k + y/j u v u a l i,,,,,,,,,,,,,,
106_night-40_106_night,n û/u w é/e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n ú/u y/j a,n û/u + y/j a,,,,,,,,,,
106_night-4_106_night,,,,,,,,,,,,,,,,,m í/i h i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107_name-1_107_name,,,,,,n i a + p i,,,n a h n i a,,,,,,,,,,,n i y/j aa/aː + v i,,,,,n a + n i y/j a + nː a,n a n i a nː a,,,,,,,,,,,,n i h y/j a,,n i aː,n i aː,,,,,
107_name-2_107_name,,,,,t é/e w + a l,,,,,,á/a n + tʲ + a w aː,,t í/i wˀ a,t e g u á/a t,t u aː nʲ a n,t e w á/a,t í̵/ɨ ŋ w n i,t é/e w á/a,,,,t y w,t ú/u ŋ + l a,t é/e w a m,,,t u t u g a r a g a,t e g u a,,tʃ ɨː g i g,t ɨː g i g,,,,,,t ɨ w a n + ts,,,,,r e w á/a,t e m w a + r a,i n d i ŋ w a,t é/e a,
107_name-3_107_name,,,t u k ö/ø,t oː k a + y,,,t oː + k aːi + t l,,,,,,,,,,,,,,,,,,,,,,,,,t u k e + y,,,,,,,,,,,,,,
107_name-40_107_name,ʔ é/e + g á/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʔ é/e + g á/a,,ʔ é/e + g á/a,ʔ é/e g a + š̉/ʂ a,,,,,,,,,,
107_name-5_107_name,,,,,,,,,,,,,,,,,,,,,kʰ ɔ̃ː + g y à/a,,,,,,,,,,,,,kʰ á̧/ã w æ̃,,,,,,,,,,,,
108_year-12_108_year,,,,,,,,,,,,,,,,,,,,,,,,,,,j u m i g ui,,,,,,,,,,,,oi dʱ a ʔ,,,,,,,
108_year-1_108_year,,,,,,t o m o,,,t o mː o,,,,,,t a m eː v ŋ ey/ei,,,,,,,,,,t oː,t o mː o,,,t o mː o,,,,,,,,t a m ò/o a ʔ,t o mː o,,t o mː o,t o m ó/o + tː ɨ,,,,,
108_year-2_108_year,,,,,t á/a w p a x + i ʃ,,,,,,,,t á/a w p a,,,,,,,,,,t á/a w p a + ʃ,,,,,,,,,,,,,,,,,,,,,,,
108_year-3_108_year,,,,,,,,,,,,,,b e t á/a r aː w a,,,,w i t á/a r i,,,,,,,,,,v e t a,,,,,,,,,,,,,,,,,,
108_year-4_108_year,,,,,,,,,,,,,,,,p a m í/i b a + m e,,,,,,,,,,,,,,,,,,,,,,,,,,b a m í/i b a l i,,,,
108_year-5_108_year,,,,,,,,,,,,,,,,,,,,,,,,w á/a s u k t i r i a,,,,,,,,,,,,,,,,,,,,,w a s ú/u k t i a,
108_year-6_108_year,,,ʃ iː b i + t l,ʃ i w i + t,,,ʃ i w i + t l,,,,,,,,,,,,,,,,,,,,,,,,,ʃ i w i + t,,,,,,,,,,,,,,
108_year-7_108_year,,,,,,,,,,,,,,,,,,,,t iː p ɨ,,t y v a ch/tʃ,,,,,,,,,,,,,,,,,,,,,,,,
10_new-1_10_new,,,,,,,,,,,,,,,,,p í̵ɨ/ɨː h ɨ,,,,,,,b e m é/e l a,p ɨ t ɨ t + t ɨ + pː ɨ,p ɨ t ɨ,b u tː u d e,v eu ts a t o a,,w ɨ tʃ i j,v ɨ t u d,,,,,,,,,,,,,,b e m é/e l a,
10_new-2_10_new,,,,,,,,,ɨ k ɨ,,,,,,,,,,,,,,,,,,,,ɨ k ɨ,,,,,,,,,ɨ k ɨ,,,,,,,,
10_new-3_10_new,,,,,,ɨ a + k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aɨ,áa/aː + k a t ɨ,,,,,
10_new-40_10_new,n ả/a + ts e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n à/a + ts e,,n à/a + ts e + z a,n â/a + ts i + z a,,,,,,,,,,
10_new-4_10_new,,,j a n kʷ iː k,y/j aː n g ui k,p á/a ŋ i + ʃ,,j a + n + kʷ + i + k,,,,á/a ʰk w a,,p á/a ŋ i + ʃ,,,,,h e kʷ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_new-6_10_new,,,,,,,,,,,,,,,,,,,,,,7/ʔ a m a j/dʒ t,,,,,,,,,,,,,,,a m ai + t,,,,,,,,,
110_three-1_110_three,,e y/j o m,y/j ei I/ɪ,ee/eː y/j i,p á/a h á/a,p a h í/i,eːi,,p a h i h t ï/ɨ,,w ai ʰk a,,p á/a h,v ei d ú/u m,p á/a h e ʔ,p ai k á/a,p aa/aː y/j o m,h ái/ai k a,,p e h e,pʰ áá/aː òò/oː,p a h i ʔ,p áá/aː h ay/ai,b a h i,p a h í/i + i,p a h i y/j u,v áí/ai k a,v ai d e,p a h i,w ai k,v ai k o,y/j e:y/eːi,,,,,p aː h i ʔ,p ai h,v ai k,p ai,p ay/ai + n i,b i k i y/j á/a,v a y/j í + r,p aːi,b á/a h i,
110_three-40_110_three,tʃ á/a m̉/m i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˀtʃ é/e m ɪ,,tʃ é/e m ɪ,tʃ á/a + m ɪ,,,,,,,,,,
111_four-10_111_four,,,,,,,,,,,,,,,,,,,,,y/j íí/iː k y/j á/a,,,,,,,,,,,,,y/j ô/o e n u,,,,,,,,,,,,
111_four-1_111_four,,,,,w í/i tʃ i w,w a ts ïw/iu,,,,,,,w í/i tʃ i w,,w a tʃ á/a ʔ,,,,,w a ts uː,,w a ts a,w a s á/a ʔ,,w a ts i kʷ í/i + i,w a ts ï/ɨ gː w i y/j u,,,w a tsː ï/ɨ,,,,,,,,w a tʃ a h,w a + tsː ï/ɨ w i h,,w a ts ï/ɨ ŋ w i,w ə ts ú/u w i + n i,,,,,
111_four-2_111_four,,,,,,,,,,,m u aː k u a,,,,,,,,,,,,,,,,m aː k ó/o v a,,,,m a k o b a,,,,,,,,m aː k o v,,,,,,,
111_four-3_111_four,,,,,,,,,,,,,,n á/a v oi,,n a ó/o,n aː l ö/ø y ö/ø m,n áu/ai k a,,,,,,,,,,n a g o,,,,,,,,,,,,,,n a w o s a,,,,
111_four-40_111_four,d y â/a + n a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dʲ â/a + n a,,d y â/a + n a,d y â/a + n a,,,,,,,,,,
111_four-4_111_four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g i i k,g i k o,,,,,,,,,,,,,,,
111_four-7_111_four,,n a y/j o m,n ɔ b l,n aː w i,,,n aː w i,,,,,,,,,,,,,,,,,,,,,,,,,n aː w i,,,,,,,,,,,,,,
111_four-8_111_four,,,,,,,,,,,,,,,,,,,,,,,,n aí/ai k i,,,,,,,,,,,,,,,,,,,,,n ái/ai k i,
112_five-1_112_five,,,,,,m a n ï/ɨ g,,,m a n e k i h tʲˀ,,,,,m á/a r k i,,m a r i k í/i,,,,m a n ï/ɨ g i,,,,,m a n i g í/i + i,m a n i g i y/j u,,m a r i k i,m a n ï/ɨ k i,,,,,,,,,n a + n ai kː i h,,m a nː i k i,m a + n ï/ɨ g i + i n i,m a r í/i,,,,
112_five-2_112_five,,,,,a x n a m e kʷ á/a n a ŋ + n é/e + m a + kʷ a n a ŋ,,,,,,,,n e m a kʷ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_five-3_112_five,,,,,,,,,,,,,,,m a h á/a r,,,,,,,m a h a č/tʃ,m a h áá/aː r,,,,,,,,,,,,,,m a h ä/æ t,,,,,,,m aː h ai j/dʒ i y/j a,,
112_five-40_112_five,t â/a + m̉/m a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t â/a + m̉/m ɑ̟,,t â/a + m̉/m ɑ̟,t â/a + m̉/m ɑ̟,,,,,,,,,,
112_five-4_112_five,,m a kʷ i l,m ɔ kʷ i lː I/ɪ,m aː kʷ i l,,,m aː kʷ iː l + l i + tʃ i k o,,,,,,,,,,,,,,,,,,,,,,,,,m a kʷ i l,,,,,,,,,,,,,,
112_five-5_112_five,,,,,,,,,,,,,,,,,,,,,,,,m a m n i,,,,,,,,,,,,,,,,,,,,,m á/a m n i,
112_five-6_112_five,,,,,,,,,,,a n s ï/ɨ b i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_five-8_112_five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h ï/ɨ t a s p,u t a s p o,,,,,,,,,,,,,,,
113_six-10_113_six,,,,,,,,,,,,,,,,,,,,,m ᴐ̨/ɔ̃ + s ɔ,,,,,,,,,,,,,s í/i,,,,,,,,,,,,
113_six-1_113_six,,,,,,n a v á/a,,,n aː b ai t ï/ɨ,,,,,,,,n a v ay/ai,,,n a v a h a,,,,,n aː b a h í/i + i,n aː p a h i,,,n aː p ai,,,,,,,,,n aː h + p ai h,,n a v ái/ai,n a v æ u + n i,,,n a p aːi,,
113_six-2_113_six,,,,,kʷ a n s ú/u p l e,,,,,,,,n e m a kʷ á/a n a ŋ a x + s u p l e w e t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113_six-3_113_six,,,,,,,,,,,,,,,,,,,,,,,p a v áá/aː h ay/ai,,,,,,,,,,,,,,p ää/æː v a h i ʔ,,,,,,,,,
113_six-40_113_six,š̉/ʂ í/i s a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s č̉/k í/i s ɑ̟,,s č̉/k í/i s ɑ̟,s č̉/k î/i s ɑ̟,,,,,,,,,,
113_six-4_113_six,,tʃ u k o s e,tʃ I/ɪ kʷ a s i e,tʃ i kʷ a s eː n,,,tʃ i kʷ a + s eː,,,,,,,,,,,,,,,,,,,,,,,,,tʃ i kʷ a s iː n,,,,,,,,,,,,,,
113_six-5_113_six,,,,,,,,,,,,,,v u s a n i,,p u s á/a n i,,,,,,,,b ú/u s a n i,,,,b u sː a n i,,,,,,,,,,,,,,u s a n i,o s a n í/i,,v u s a n i,
113_six-6_113_six,,,,,,,,,,,a r á/a h s e b i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113_six-8_113_six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts uː d p,t u t p o,,,,,,,,,,,,,,,
114_i-1_114_i,,n e n,n ɑ h ɑ,n e h,n e,n ɯ̄/ɯː,n e ʔ,,n ɯ ʔ,,i̠ n ē/eː,,n ə ʔ,n ē/eː,n ō/oː,n e̠ː,n ɯ ʔ,n eː,,n ɯ 7/ʔ ɯ,,n ɯ ʔ,n ō/oː,,n ɯ,n ɯ,ɑː n i,n e,n ɯ̄/ɯː,ɑ̄/aː ɲ i,ɑ n i,n ɑ h ɑ,,n ã,,,n ɯ̄/ɯ ʔ,n ɯ,,n ɯ ʔ,n ɯ ʔ,n e h e̠,i n e̠,n ɯ̄/ɯː,n e,
114_i-2_114_i,,,,,,,,,,,,,,,,,,,,,,,,i̠ n ɑ p o,,,,,,,,,,,,,,,,,,,,,i n e p o,
115_yousing-1_115_yousing,,,,,,ɯ mː i,,,ɯ n ɯ,,m u̠ ʔ ē/eː,,,e m e,,m u̠ː,ɯ m,,,m u m i,,ɯ m ɯ ʔ,o m,,,,,,ɯ̄/ɯ,,,,,,,,ɯ m i ʔ,ɯ nː ɯ,,i mː i,ɯ m ɯ,m u h e̠,,,,
115_yousing-2_115_yousing,,,,,7/ʔ e t,,,,,,,,ə ʔ,,ō̠/oː m ɑ ʔ,,,,,,,,,,ɯ h,ɯ,,,,,,,,ũ ʔ ũ,,,,,,,,,,,,
115_yousing-4_115_yousing,,,t ɑ h ɑ,,,,t e h,,,,,,,,,,,i ɑ k u,,,,,,,,,,,,,,t ɑ h ɑ,,,,,,,,,,,,,,
115_yousing-5_115_yousing,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑː p i,,,ɑ̄/aː p i,ɑ̄/aː p i,,,,,,,,,,,,,,,
115_yousing-6_115_yousing,,,,,,,,,,,,,,,,,,,,,,,,e m p o,,,,,,,,,,,,,,,,,,,i p u̠,i m p i,e m p o,
116_we-1_116_we,,,,,tˢ/ts e m,t ɑ mː i,,,t ɑ n ɯ,,i̠ t ē/eː n,,tˢ/ts ə m,t ɑ m i̠ d e,,r e m é/e,i t ɑ m,t ɑ́/ɑ m e,,t ɑ m i,,i tˢ/ts ɑ ts,tˢ/ts ɑ̠̄ ʔ ɑ m,,,tː ɑ mː i,,t ɑ m i d o,t ɑ mː ɯ,,,,,,,,ɑ tˢ/ts ɑ m,t ɑ mː ɯ n,,t ɑ m ɑ,t ɑ m i,t ɑ m i̠,,,,
116_we-4_116_we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ŋ i l ɑ ʔ ɑ n,,
116_we-6_116_we,,,t e h w ɑ n t e,,,,t e ˀw ɑ̄/ɑː n,,,,,,,,,,,,,,,,,,,,,,,,,t e h e m e t,,,,,,,,,,,,,,
116_we-7_116_we,,,,,,,,,,,,,,,,,,,,,,,,i t ɑ p o,,,,,,,,,,,,,,,,,,,i t i̠,,i t e p o,
116_we-8_116_we,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑː t ɯ́/ɯ,,,ɑ̄/aː tˢ/ts i m,ɑ̄/aː t i,,,,,,,,,,,,,,,
117_what-1_117_what,,,,,,h ɑ nː i ɑ,,,,,,,,,,,h ī̯/iː t ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117_what-2_117_what,,,,,,,,,h iː n i,,,,,,,,,,,h i n i ʔ i p i,,,,,,,,,,,,,,,,,,h i n ɑ,,i nː i,7/ʔ i n i,,,,,
117_what-3_117_what,,,,,,,,,,,,,,,,,,,,,,,,,,h ī/iː,,,h ī/iː,,,,,,,,,,,,,,,,,
117_what-4_117_what,,,,,h i̠ tˢ/tsˀ ɑ,,,,,,,,h i ʃ,,h i t ɑ,i h t ɑ̠,,,,,,h iː t,h ī̠/iː tˢ/ts ɑ,h i̠ t ɑ s ɑ,,,,,,,,,,,,,h iː t,,,,,,,,h i t ɑ,
117_what-6_117_what,,t e,tˡ iː n,t e,,,tˡ ei n,,,,t i̓/i t ɑ n e̠,,,,,,,,,,,,,,,,,,,,,t ɑ j,,,,,,,,,,,,,,
117_what-7_117_what,,,,,,,,,,,,,,h á/a,,,,h ɑ́i/ai,,,,,,,h ɑ,,,,,h ɑ b,,,,,,,,,,,,,h ɑ t e̠ k,,,
117_what-9_117_what,,,,,,,,,,,,,,,,,,,,,,,,,,,t u m á/a,,,,,,,,,,,,t u 7/ʔ,,,,,,,
118_who-12_118_who,,,,,,h i nː i,,,,,,,,,,,,,,h i n i,,,,,,,,,,,,,,,,,,,,,,,,,,
118_who-1_118_who,,a k,ɑ̄/aː k i,aː k o n i,h ɑ̠ xˀ i,,ɑ̄/aː k i n,,h ɑ k ɑ t ɯ,,,,h ɑ x,,h a k iː,,h ɑ k,,,,,,h ɑ x,,h a gʱ e,h ɑ k ɑ,,,h ɑ kː ɑ,,,k ɑ h,,,,,,h ɑ kː e,,,7/ʔ aː,,h ɑ k i̠,ɑ k i t i n,,
118_who-2_118_who,,,,,,h ɑ ŋ ɑ,,,,,,,,,,,,,,h ɑ n ɑ,,,,,,,,,,,,,,,,,,,,a n g a,,,,,,
118_who-3_118_who,,,,,,,,,,,,,,,,,,,,,,h ɑ m i,,,,,,,,,,,,,,,h ɑ m i ʔ,,,,,,,,,
118_who-4_118_who,,,,,,,,,,,,,,h e b ē/eː,,a b u ā/aː,,,,,,,,h ɑ̠ β e s u,,,,h a u/w e,,,,,,,,,,,,,,,,,h ɑ β e,
118_who-8_118_who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h ɯ ɖ/ð ɑi,h ɯ l i,,,,,,,,,,,,,,,
119_this-10_119_this,,,ī/iː n iː n ɑ̄/ɑː n k ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119_this-1_119_this,,,,,i ʔ,i kː ɑ,,,,,ī̠/iː ʔ i,,i̠ ʔ i,,,i h i̠,i ʔ,,,,,,,i ʔ i,i h u,i k i ɑ,í/i j i,,,,,,,,,,,,,i,,,,i j,i,
119_this-2_119_this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s i t ɯ,,,,,,,,,s i t ɯ n,,,,,,,,
119_this-3_119_this,,,,,,i ts ɯ,,,i tː ɯ,,,,,,,,,,,s i ʔ i t ɯ,,,,,,,,i t i,,ī/iː d ɑ,i d i̠,,,,,,,,,,i tʃ,e̠ tʃ i,i r ɑ̠,,,
119_this-4_119_this,,,,,,,,,,,,,,,,,,,,,,i β i ʔ,i β i̠ ʔ,,,,,,,,,,,,,,i β i ʔ,,,,,,,,,
119_this-6_119_this,,,ī/iː n ī/iː,i n ɑ,,,i n iː n,,,,,,,e n i,,,,,,i n ɑ,,,,,,,,,,,,i n i,,,,,,,,,i n,,,,,
119_this-8_119_this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j/dʒ e̠ n ɑ,,,,
119_this-9_119_this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n ɑ ī/iː,,,,,d y/j i 7/ʔ,,,,,,,
11_good-18_11_good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y/j e k,,,,,,,,,,,,,,
11_good-1_11_good,,,,,,,,,ts aː + t ɨ,,,,,,,,,,,,,,,,ts a w u,,,,ts au n + t ɨ n,,,,,,,,,ts aː n + t ɨ n,,,,,,,,
11_good-21_11_good,,,,,,,,,,,,,,,,,,,,,ǫ́ǫ́/õː,,,,,,,,,,,,,h í/i w ó̧/õ ʔ,,,,,,,,,,,,
11_good-2_11_good,,,,,,,,,,,,,,,,,,,,p i ʃ aː,,,,,,p i sː a,,,,,,,,,,,,,,,,,,,,
11_good-3_11_good,,,,,á/a tʃ a + e,,,,,,,,á/a tʃ i ʔ a,,,,,i y/j a r i,,,,,,,,,,,,,,,,,,,a ʔ ai,,,a y/j u,á/a tː ɨ,,,,,
11_good-40_11_good,d á/a w á/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r á/a w á/a,,r á/a w á/a,r á/a + w a,,,,,,,,,,
11_good-4_11_good,,,,,,,,,,,,,,,,k a w é/e r u m a,,,,,,,,,,,,,,,,,,,,,,,,,,g a ˀr á/a,k i m w á/a,,,
11_good-5_11_good,,,,,,,,,,,,,,,,,,,,,,,,t ú/u ʔ u r i,,,,,,,,,,,,,,,,,,,,,t ú/u ʔ i,
11_good-6_11_good,,,kʷ a l iː,kʷ a l i,,,kʷ a l + t i k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
