Cognate_ID	Kokama	Omagua	Tupinamba
1306_rightnow	i k u m e n a n		k o ĩ
1307_rigid			a t ã
1309_ripe	p ɨ t a n i	p ɨ t a n i	p u β a
130_beheavy	i p u tʃ i		β o s ɨ j a
1311_river	p a ɾ a n a	p a ɾ a n a	t ɨ
1313_roasttrans	m i tʃ i ɾ a	ɨ j ɨ w ɨ t a	e s ɨ ɾ a
1320_rollwrap			pʷ a ɾ a
1321_root	ts + a p w a	s + a p u a	a p ó
1322_rope	p u w a ts a	p u a s a	i n i mb ó
1324_rotten		p a ɴ	j u k a
1325_rough			a ì β u s u
1326_round	j + a p w a	j + a p u a	a j e ɾ e β a
1328_rubtrans		s u m a k a	p i ʃ ɨ β a
1330_runintr	j + a p a n a	j + a p a n a	a pʷ a n a
1333_saliva	j u ɾ u + t ɨ a	j u ɾ u + t ɨ a	e nd ɨ
1334_salt	t e w e	t ɪ w ɪ	j u k ɨ ɾ a
1337_sand	i t i n i	i t i n i	ɨ β ɨ + k u j
1338_sandfly		m a ɾ i w i	m a ɾ i gʷ í
1340_sapresin	k a j	k a i	ɨ s ɨ k a
1342_save			n o ɴ a t u
1343_saytrans	k u m i ts a	k u m ɪ s a	é
1347_scaretrans	a k ɨ tʃ a t a	ɨ s ɨ i t a	m o nd ɨ j a
1349_scrapescratchtrans	k a ɾ i	k a ɾ a i	k a ɾ ã j a
1353_seeintrtrans		u + m a i	e p j a k a
1354_seed	ts + a + j	s + a + i	á
1359_sewtrans	j u	j u	m o β ɨ β ɨ k a
1360_shadowshade			a ŋ a
1362_shakeintr			k o ɾ i
1363_shakeintrtrans		s a + ɾ a k a t a	m o + a gʷ ɨ a gʷ ɨ
1370_sharp		s a i m ɪ	s a e mb e ʔ é
1371_sharpentrans	ts a j m e k a		a e mb e ʔ é
1373_sharpentrans		s a i m ɪ k a	
1375_shell			a j a p é
1379_shine	p e ɾ a + t a	p ɪ ɾ a + t a	
1384_shoottrans		a j u a	ɨ β õ
1387_shorebank	ts + ɨ m a	s + ɨ m a	ɨ ɾ e mb e ɨ β a
1388_short	t u ɾ u	j a t u ɾ u	a p o ʔ a ĩ
1389_shoulder	ɨ k a	j u w a p ɨ k a	a t i ʔ ɨ β a
1391_shoutyellintr	ts a ts a ts ɨ m a	s a s ɨ m a	s a s e m a
1397_sick		a i k u a	m a ɾ a a ɾ a
1399_side	k a k u ɾ a	k a k u ɾ a	o j o ɨ β ɨ́ ɾ i
13_afternoon	k a ɾ u k a	k a ɾ u k a	k a ɾ u k a
1400_sievestrainer	k u m a t a	k u m a t a	u ɾ u p e m a
1403_similar	a ʃ a m i a		a p i ʃ a ɾ a
1406_singintr	i k a ɾ a	i k a ɾ a	ɲ e ʔ e ŋ a ɾ a
1407_sinkintr	j + a p a ɾ a ɾ i	j a + p ɨ m a	
1408_sister		i m u a	
1410_sistermaleego	k u n j a		e nd ɨ ɾ a
1411_sisterinlaw		m i ɾ i k ɨ a	
1420_sitintr	j + a p ɨ k a	j + a p ɨ k a	gʷ a p ɨ k a
1421_skin	p i ɾ w a ɾ a	p i ɾ u a ɾ a	a j a p é
1425_skinnythin	k u j a n a	k u j a n a	a ɴ a í β a
1426_sky	k w a ɾ a tʃ i	kʷ a ɾ a ʃ i	ɨ β a k a
1427_sleepintr	u + k ɨ ɾ ɨ	u + k ɨ ɾ ɨ	k e ɾ a
1429_slipintr		s ɨ ɾ ɨ ɾ ɨ t a	p ɨ í ɾ a
1432_sloth		a ɨ	a ʔ ɨ
1434_slow	j a n u k i	j a n ɨ k ɨ i	mb e gʷ é
1437_small		tʃ u n a n i	a ʔ ɨ ɾ ĩ
1444_smelltrans	ts e t u n i		s e t u n a
1447_smoken	t a t a t i n i	t a t a t i n i	t a t a t i ŋ a
1450_smokefood	m e + m u k i	m ɪ m u k a t a	m o t i mb o ɾ a
1454_smooth		ɨ + s ɨ m a	a + s ɨ m a
1456_snake		m u i	mb o j a
145_beodorousfragrantintr		ʃ a p u n i	t ɨ a pʷ a n a
1469_some		a w ɨ ɾ ɨ k a	a mb o a é
1473_son		m ɪ m ɨ ɾ a	t a ʔ ɨ ɾ a
1476_soninlaw	i tʃ i m a ɾ i	i ʃ i m a ɾ i	
1479_soon	i k u m e n a n		k o ɾ i
147_bepregnantintr	m e m ɨ ɾ a ɾ i	m ɪ m ɨ ɾ a j a ɾ a	p u ɾ u ʔ á
1482_sour		s a i	a j a
1483_spaguajemauritiaflexuosa	m ɨ ɾ ɨ t i	m ɨ ɾ ɨ t i	
1485_speakutterwordsintrans	k u m i ts a	k u m ɪ s a	m o ʔ í n a + ɲ e ʔ e ŋ a
1486_speakclear	j u m a t a		
1487_spear	ɨ w ɨ ɾ a ts u	ɨ w ɨ ɾ a w a s u	i t a m i n a
1492_spicy	t a j	t a i	
1494_spider	j a n u	j a n u	ɲ a nd u ĩ
1495_spidermonkey	k u w a t a	kʷ a t a	
1496_spillpour	i tʃ i n i	i ʃ i n i	e n a
1498_spinthreadtrans	i p a n i		p o β a n a
14_again		u + j a w ɨ ɾ ɨ	β é
1500_spiritsoul	m a j ts a n k a ɾ a	a w a ɾ a	a ŋ a
1501_spitintr		j u ɾ u t ɨ a	m u n a
1503_splittrans		p ɪ s ɪ + k a k a	a s ɨ a β a
1505_splitintopiecestrans			p e s ẽ a ɾ a
1506_splitopentrans			m o β o k a
1515_squeezetrans	k i p e t a	k ɪ p ɪ t a	a m ĩ
1522_standstandupintr	i + p a m a	i + p a m a	β ɨ ɾ a
1523_star	ts e ts u	s ɪ s u	j a s ɨ t a t á
1526_stayintr	t u p a p e	j a + p ɨ t a	p ɨ t á
1528_stealtrans	m u n a	m u n a	m o nd á
152_besadintr	j a m ɨ m a	j a m ɨ m ɨ a	a ɾ u ɾ u
1530_stemstalk			ɨ β a
1535_stick			ɨ β ɨ ɾ á
1539_stomach	ts e w e k a	s ɪ w ɪ k a	
1540_stonerock	i t a k i	i t a	i t á
1541_stop	j a p ɨ t u		p o o k a
1543_stopintrtrans	i p a m a	i p a m a	p e ʔ á
1544_story	ɨ m ɨ n ts a ɾ a	k u m ɪ s a t a	
1545_straight	j u m a t a		a t ã ɲ é
1547_straintrans	j u + m u + k a	j u + m u + k u a	m o gʷ a β a
1549_stream	ɨ j a k u	ɨ a k u a	ɨ e k o a β a
1552_stretch			m o a t ã
1554_strong		w ɨ k a	a t ã
1558_sucktrans	tʃ u tʃ u	s u s u	p ɨ t e ɾ a
1559_suffer	p a ɾ j a ts u	s u + s a n a	ɾ o o + s a ɴ a
1560_sugarcane	u w a k ɨ ɾ a	u w a k ɨ ɾ a	t a kʷ a ɾ e ʔ ẽ
1563_sun	k w a ɾ a tʃ i	kʷ a ɾ a ʃ i	a ɾ a
1564_swallowintrtrans	j u + m u k u n i	j u + m u k u n i	m o k o ɴ a
1566_sweatintr	ts ɨ j i	s ɨ̃ i	s ɨ ʔ a j a
1569_sweepintrtrans	t i + p i ɾ i	t i + p a i ɾ i	p e í ɾ a
1570_sweet	ts e	s ɪ ɪ	
1571_sweetpotato	i t i k a	i t i k a	j e t ɨ k a
1572_swellintr	i + ɾ u ɾ u	ɪ + ɾ u ɾ u	
1577_swimintr	ɨ j a t a	ɨ a t a	ɨ t a β a
1579_tail	ts + u w i	s + ũ i	u a j a
1580_takealongtrans	e + ɾ u k w a	ɪ + ɾ u s u	ɾ a s ó
1584_takeoutremovetrans	u tʃ i m a t a	u ʃ i m a t a	o k a
1589_tamboshelter	t e j u p a	t a p ɨ	e ɨ j u p a β a
1590_tapir		t a p i ɾ a	t a p i ʔ í ɾ a
1593_tasty	tʃ a p u n i		é
1597_teethtooth	ts + a j	s + a i	ã j a
1598_tellastorytrans		k u m ɪ s a t a	m o mb e ʔ ú
15_agouti		a k u t i	a k u t i
1600_termite	k u p e a	k u p i a	k u p i ʔ í
1601_testicles	ts + a p j a	s + a p i a	a p i ʔ á
1603_thick	j a n a m a	n u a j a ʃ i	k u a gʷ a s u
1607_thigh	ts + u t ɨ m a	s + ɪ t ɨ m a	u β a
160_bestinkysmellbadintr	t ɨ w ɨ t i	t ɨ w ɨ t i	
1611_thing	m a ɾ i	m a ɾ a i	m a ɾ ã
1613_thinkintrtrans	i j a ɾ a	j a ɴ kʷ a ɾ a ɾ a	gʷ a s e m a
1617_thorn	j u w a	j u a	j u
1618_thread	i n i m u	i n i m u	i n i mb ó
1620_three	m u ts a p ɨ ɾ ɨ k a	m u s a p ɨ ɾ ɨ k a	m o s a p ɨ t
1622_throat	j a tʃ u k a k w a ɾ a	u ɾ u ɾ u	a s e o k a
1624_throwthrowawaytrans	i t i k a	a t i k a	i t ɨ k a
1625_thunder	t u p a	t u p a	a m ã s u n u ŋ a
1627_tick		p ɪ ɾ a t a	j a t e β u k a
1630_tietrans	t ɨ k ɨ t a	t ɨ k ɨ t a	a p ɨ t ĩ
1635_tired		u kʷ a ɾ i	p i t u β a ɾ a
1636_tissueoftheposteriorsuperiorpartofthethigh			a n a gʷ ɨ k ɨ t i ɴ a
1651_today	i k u n	ɪ k u m ɪ	o j e í
1654_toe	p ɨ t a + t a ɨ ɾ a	p ɨ t a	p ɨ s ã
1656_together			m e m é
1657_tomorrow	k a m u t u + n i	k a m u t u + n i	o i ɾ ã
1658_tongue	k u + m ɨ ɾ a	k u + m ɨ ɾ a	a p e + k ũ
165_bethirstyintr	a n a t i	ɪ j u s ɪ	u s e j a
1660_touch			m o nd ó
1661_touchtrans	k a m a t a	k a m a t a	a t õ j a
1665_tree		ɨ w ɨ ɾ a	ɨ β ɨ ɾ á
1672_trunk	ɨ w a	ɨ w a	o p ɨ t á
1677_turnintrtrans		ɪ ɾ ɪ w a + k a	β a β a k a
1678_turnoffextinguish			m o m e m u ã
1684_turtletortoise		p u k a	j u ɾ u k u gʷ á
1685_turtletortoisesp			u n u a n ã
1687_twistintrtrans		p ɨ ɾ ɨ ɾ ɨ t a	a p a ɾ a
1690_two	m u k u j + k a	m u k u i + k a	m o k õ j
1692_typeofbasket	ts + a p a ɾ u		
1698_ugly		a i s ɪ	p o ʃ ɨ
1699_uncle		p a p a k ɨ ɾ a	i ʔ ɨ ɾ a
1703_unripe	ɨ k ɨ ɾ a	ʃ u ɾ a	k ɨ ɾ a
1704_untietrans		j u + ɾ a w a	ɾ a β a
1706_urinateintr	k w a ɾ u k a	kʷ a ɾ u k a	k a ɾ u k a
1711_vagina	p i ʃ a	p i ʃ a + kʷ a ɾ a	t a m a t i ʔ á
1715_veinartery	ts + a j k a	s + a j ɨ k a	a j ɨ k a
1718_village	ɾ i t a m a	ɾ i t a m a	t a β a
1719_vine	i tʃ i p u	i ʃ i p u	ɨ s ɨ p ó
1721_vomitintr	u + w e n e	w ɪ n a	gʷ e ʔ e n a
1723_vulture		u ɾ u p u	u ɾ u β u
1724_vulva		p i ʃ a	
1725_wakeupintr	u + p a k a	u + p a k a	p a k a
1726_walkintr	u + w a t a	u + w a t a	gʷ a t á
1728_wallfence	j u t a	j u t a	
1730_want	i j a ɾ a	s ɪ + t a	
1731_wanttrans	ts e + t a		p o t a ɾ a
1732_wantlikelove		s a ʃ i t a	
1736_washtrans	ts u k u t a	s u k u t a	e j a
1739_wasp	k a w a	k a w a	k a β a
1740_water	u n i	u n i	t ɨ
1741_weakfeeble		k a n i ú	m e mb e k a
1743_weave	j u + p i	j u + p ɪ	p e m a
1749_wet		t ɨ a	a k ɨ m a
1750_wetdampentrans	t ɨ j a t a	t ɨ a t a	a m õ
1758_white		t i n i	m o ɾ o t i ŋ a
1759_whitepersonnonindian		m a i	k a ɾ a j β a
175_bewith			ɾ e k ó
1761_whitelippedpeccarytayassupecari	t a j a ts u	t a j a s u	t a j a s u
1763_wide		ɪ + p ɪ w a s u	p ɨ gʷ a s u
1764_wife	m i ɾ i k w a	m i ɾ i k u a	a t ɨ
1766_wind	ɨ w ɨ t u	ɨ w ɨ t u	ɨ β ɨ t u
1771_wing	p e p u	p ɪ p u	p e p ó
1773_witchshamanhealer	p a j u + n	m u s a n a k a s u ɾ i	p a j
1774_woman	w a j n a	w a i n ú	k u ɲ ã
1778_workintr		k a m a t a	t e k ó + m a ɾ ã
1779_workn	k a m a t a	k a m a t a m a i	m a ɾ a t e k ó
1784_wound	j a w		j u ɾ u j a β a
1788_wraptrans	a n a ɾ u k a	j + u a n a	k u a m a n a
1793_yawnintr		ɪ p ɪ k a t a + j u ɾ u	j e j u ɾ u p i ɾ a ɾ a
1794_year	w a t a	w a t a	a k a j u
1795_yellow	i + j u	i + j u	j u β a
1796_yes			a j é
179_beach	i t i n i	i t i n i	ɨ e mb i j e j a
1801_yesterday	i k w a tʃ i	i kʷ a ʃ i	kʷ e i s é
1802_youngman	k u n u m i	k u n u m i	k u n u m ĩ gʷ a s u
1803_youngwoman	k u n j a t i	k u n i a t a i	k u ɲ ã m u k u
181_beak	ts a j	s a i	t ĩ
182_beardmoustachefacialhair	m u t a	m u t a	
184_beathittrans	i n u p a	a + j u k a	n u p ã
18_ajipepper		ɨ k ɨ i	ɲ a nd ɨ
193_bed			k e s a β a
197_bee		k a w i	e i ɾ u β a
198_before	a n a n	a i ɾ a ʃ i	ɾ a ɲ é
199_beginvtranscomp	j u p u n i	j u p u n i	ɨ p ɨ ɾ u ɴ a
200_beginning			ɨ p ɨ
206_believetranscomp		s a p i a ɾ i	ɾ o β i a ɾ a
207_belly	ts e w e k a	s ɪ w ɪ k a	a k a p é
209_bellybutton	m ɨ ɾ w a	m ɨ ɾ u a	p u ɾ u ʔ ã
20_all	u p i	u p a	m e m é
213_benttwisted		j + a p a ɾ a	a p a ɾ a
216_bigandthick			u ɾ u s u
217_biglarge	n u a	n u a	u β i ʃ a β a
221_bird		w ɨ ɾ a	gʷ ɨ ɾ á
224_bitetrans	k a ɾ u + t a	k a ɾ u + t a	s u ʔ ú
225_bitter		i + ɾ a w a	a k a
227_black	ts + u n i	s + u n i	u n a
22_already	a j	a w i	é + ɲ é
230_blind	tʃ ɨ tʃ ɨ m a	s i s a ɨ m a	
231_blood	ts + u w ɨ	s + u ɨ	u gʷ ɨ
233_blowtrans	ts a p u	ɪ + p ɪ u	p e j u
23_also		a j a ɴ p a i	n o
241_boiltrans	a + p a p u ɾ i	a + p u p u ɾ i	m o p u p u ɾ a
242_bone	k a n w a ɾ a	k a n u a ɾ a	k a ŋ a
244_borrow	ɨ p ɨ ɾ u	ɨ p ɨ ɾ u	p o ɾ u
247_bow	k a n u t i	k a n u t i	gʷ ɨ ɾ a p a ɾ a
248_boymalechild	ɨ k ɨ ɾ a ts e n		k u n u m ĩ
249_brain	a p e t ú m a	a p ɪ t u m a	a p u t u ʔ u m a
250_branch	ts + a k a m ɨ	s + a k a m a	a k ã
257_breaktrans	ts a k a ɾ i	a j u k a	j u k á
262_breast	k a m a	k a m a	k a m a
266_breatheintr		s ɪ k ɨ i + ĩ j a	p ɨ t u
269_bringtrans	e + ɾ u ɾ a	ɪ + ɾ u ɾ a	ɾ u ɾ a
26_always			j e p i
273_broom	t i p i ts a	t i p a i s a	
275_brother		i m u a	
276_brotherfemaleego	k i w i		k ɨ β ɨ ɾ a
280_brotherinlaw		a j u m a	
288_bubblev			β u β u ɾ a
294_burn	u + k i	u + k a i	a p ɨ
297_burstbreakopen	u + p u k a	u + p u k a	p o k a
298_burytrans	j a + t ɨ m a	j a + t ɨ m a	a t ɨ β a
299_butterfly	p a n a m a	p a n a m a	p a n a m a
29_angrymadbeangryintr	j u m ɨ ɾ a	j u m ɨ ɾ a	j e a s e j a
300_buttocks	tʃ + i + k w a ɾ a + ts u	p u n i	e mb ɨ k a j a p é
302_caiman	j a k a ɾ i	j a k a ɾ i	j a k a ɾ é
304_calltrans	ts a p u k i	s a p u k u i	e n õ j a
307_canoe	ɨ ɾ a ɾ a	ɨ a ɾ a	ɨ g a ɾ a
309_capturetrans	j a p i tʃ i k a		m o m i a u s u β a
30_animal			mb a ʔ é
312_carrytrans		w a k u t a	m o β o s ɨ j a
319_caterpillarsp	m e ɾ a		p u ɾ u k e ɾ é
31_ankle	p ɨ t a + m u tʃ u ɾ i	t u t u n a	p ɨ ɲ u ã k a ŋ a
323_centipede	m a t a ɾ u	m a t a ɾ u	a mb u ʔ á
328_chacrafarm	k u		ɨ β a p a ʔ a ɾ a
335_cheek	k a k u	k a k u	a t ɨ p ɨ
336_chest		p u t i a	p o t i ʔ á
340_chiefleader	a p u	k u ɾ a k a	m o ɾ e ɾ e k o a ɾ a
344_child		w a w a ɴ k ɨ ɾ a	p i t a ŋ a
345_chin			a j ɨ β a
347_cicada	j a k ɨ ɾ a n a	j a k ɨ ɾ a n a	j a k ɨ ɾ a n a
352_clean			k a t u
355_cleanvtrans		t i u t a	s ɨ β a
358_climbtrans	w a ɾ i k a	w a ɾ i k a	j e u p i ɾ a
35_antsp	t a ɾ a p e n a	s a ɾ a s a ɾ a	t a s ɨ β a
363_cloth		j a n u k a t a m a i	a o β a
364_clothes	tʃ i ɾ u	ʃ i ɾ u	a o β a
365_cloud	ɨ w ɨ t i n i	ɨ w ɨ t i n i	a m a n a
367_cockroach	a ɾ a w i	a ɾ a w ɪ	a ɾ a β é
368_cold	ts ɨ ɾ i	s ɨ ɾ a i	ɾ o ʔ ɨ
369_collaredpeccarypecaritajacu		t a i t a t u	t a j t e t u
373_comeintr	u ɾ i	u ɾ i	u ɾ a
374_companion	i ɾ w a	ɪ ɾ u a	i ɾ ũ
377_conservedwellkept			k a t u
380_conversetrans		k u m ɪ s a k a	m o ŋg e t á
383_cookintrtrans		a p u p u ɾ i	m o a p ɨ k a
387_copulatehavesexwith	m e n u + k a	m ɪ n u + k a	m e n õ
389_corn	a w a t i	a w a t i	a β a t i
38_anteater		s a s ɨ w a w a ɾ a	t a m a nd u á
393_cotton	a m a n j u	a m a n i ú	a m a n i j u
396_coughintr	m a k a n u ɾ i	m a k a n u ɾ i	
397_cousinfemale		i m u a	
398_cousinmale		i m u a	i ʔ ɨ ɾ a
39_anus	tʃ + i k a + k u a ɾ a	ʃ + i + kʷ a ɾ a	e i + kʷ a ɾ a
400_cousinmalefemaleego	k i w i		k ɨ β ɨ ɾ a
401_covertrans	j + a ts e	j + a s a i	a s o ʔ í
404_cricket	tʃ i ɾ i ɾ i	ʃ i ɾ i ɾ i	gʷ ɨ j u
405_cricketsp	a n a w a j u		
406_crockearthenware	m a w t a	m a u t a	k a m u s i
409_crossgoacross	ts a ts a w a	s a s a w a	s a s a β a
411_cryintr	j a tʃ u	j a ʃ u a	e s a ɨ
413_cultivatetrans	k u p e	k u p ɪ	k o p i ɾ a
417_curemedicine	m u ts a n a	m u s a n a	p o s a ŋ a
41_appearintr	k a t u p e	k a k a t u p ɪ	j e kʷ a β a
420_cut	ts a k ɨ t a		a β a
429_cutcutdownfelltreetrans		ɨ p ɨ k a	a s ɨ a β a
430_cutbankcliffbluff	ɨ w a m a	ɨ w a m a	ɨ β ɨ ʔ a m a
433_danceintr	j a + p u ɾ a tʃ i	j a + p u ɾ a ʃ i	
435_dancen	ɾ a ts a n t i		p o ɾ a s e j a
437_dark		t a m i a	p u t u m a
439_daughter		m ɪ m ɨ ɾ a k u n i a	t a j ɨ ɾ a
43_arm	j ɨ w a	j ɨ w a	j ɨ β á
442_daughterinlaw	j u w a m a	j u a m a	
445_dawn	k a n a t a	kʷ ɪ m a	k a ʔ a m u t u
447_day	k u a ʃ i	kʷ a ɾ a ʃ i	a ɾ a
448_deaf	u p a t u	u p a	a p ɨ s à e ɨ m a
451_deep	t ɨ p ɨ	t ɨ p ɨ	t ɨ p ɨ
452_deer		ɨ s ɨ w a s u	s u gʷ a s u
454_defecateintr	k a p e	k a p i	k a ʔ a β a
45_armadillo		t a t u	t a t u
460_destroy			m o k a ɲ e m a
463_dieintr	u + m a n u	u + m a n u	j e k ɨ j a
466_digtrans	tʃ i w i k i	ʃ u k a i	s ɨ β ɨ k o j a
470_dirt	t u j u k a	t u j u k a	k ɨ ʔ á
472_dirty	tʃ a ɾ u	ɨ k ɨ a	k ɨ ʔ á
474_disappearintr	u k a j m a	u k a j ɨ m a	k a ɲ e m a
485_divideseparate	u p e n a		j a ʔ ó k a
486_dotrans		i + p u ɾ a k a	m o ɲ a ɴ a
492_dog	j a w a ɾ a		j a gʷ a ɾ a
494_domesticatedanimalpet	m ɨ m a	m ɨ m a	e m i mb a β a
495_door	j + a k i n a	j + a k i n a	o k e n a
496_drag	ɨ ɾ a ɾ a k i		
500_drinkintrtrans	k u ɾ a t a	k u ɾ a t a	ú
502_dripintr	a + t ɨ k ɨ ɾ ɨ	t u p i t a	
506_drunk	ts a j p u ɾ a	s a i p u ɾ a	s a β e ɨ p o ɾ a
507_dry	i + k a n a	i + k a n a	a k u ʔ í
510_dryintrtrans		i k a n a t a	m o a k u ʔ í
518_dust		k u i	t i mb o ɾ a
51_arriveintr	j a + w a tʃ i m a	j a + u ʃ i m a	gʷ a s e m a
521_ear		n a m i	a p ɨ s á
524_earthworm	ts ɨ w ɨ i	s ɨ w ɨ i	
526_eatintrtrans	e j + u	ɪ + u	mb a e ʔ ú
529_egg	ts + u p j a	s + u p i a	u p i ʔ á
52_arrow	u w a	u w a	u ʔ ú β a
530_elbow	j ɨ w a + m u tʃ u ɾ i		u ɴ á
533_embracehugtrans	j u + k u k a	j u + k u k a	a ɲ u β a n a
535_emitnoisesound	i + p u	i + p u	p u
541_enemy	ts + a w a j a l a	s + a w a j a ɾ a	o β a j a ɾ a
543_enterintr	a k i	a k i	
545_escapeintr	u ts w e p e	u s u ɪ p ɪ	k a ɲ e m a
552_excrement	t e + p u t i	t ɪ + p u t i	
553_excrementfeces			k a ʔ a β a
556_exterior			a j a p é
557_eye	ts + i ts a + ts + i	s + i s a + s + a + i	
