Cognate_ID	AbbekerkNH	AduardGn	Aldomirovcislivnica	AlmkerkNB	Amami	AmeideZH	AmericanEnglish	Apolobamba	Arconciel	Arnex	Asparuhovolom	Asparuhovoprov	Assery	AustralianEnglishPerth	AvrysurMatran	Ayent	B	Babjakrazl	Bachkovoasgr	Bagrencikjust	Balgaricarev	Banishtebrezn	Banskorazl	Beglezhluk	Beijing	Belenesvisht	BelgianDutch	Belicarazl	BilzenBeLb	Bistricablgr	Bjrnevatn	Bogdanovdolpern	BollezeeleFrVl	Borisovoelh	Borre	Boudry	Bovsvog	Brashljanmtarn	Brekke	BrielleZH	Brnnysund	BrouckerqueFrVl	BrouwershavenZe	Bryne	Buchinprohodgod	Bulgarian	BurenFr	BuurmalsenGl	Bygstad	Cajamarca	CallantsoogNH	CanadianEnglish	Caparevosand	Caraz	CentralGermanCologne	CentralGermanHonigberg	CentralGermanLuxembourg	CentralGermanMurrhardt	Cerlatez	CerneuxPequignot	Cerovicakjust	Champery	Changsha	Charnex	ChateaudOex	ChauxduMilieu	Chavin	Chengdu	Chepelareasgr	Chernogorovopaz	Chernomorecbs	Chevroux	Chimborazo	Chukovecradom	Cochabamba	Collex	Collombey	Commugny	Conthey	Corcelles	Corongo	CoteauxFees	Court	Courtedoux	Courtepin	Cuzco	Czech	Danish	Dashi	DenHoornNH	Dermanciluk	Develier	Devenciluk	Devesilicakrgr	Dichinvtarn	Dinevohask	Divaslatinamont	Divdjadovoshum	Dobarskorazl	Dobroselectopgr	Dobroslavcisof	Dobrotinogd	Dokka	Dolnabeshovicavrach	Dolnadikanjaradom	Dolnamelnatran	Dolnariksamont	Dolnasrudenabel	Dolnibogrovsof	Dolnolevskipan	Dompierre	Dorkovovelgr	Dovre	Drabishnaivgr	Dragizhevovtarn	Dragodanovosliv	Dragoevopresl	Dragojchincikjust	Dutch	DutchAntwerp	DutchLimburg	DutchOstend	Ega	Eggesbneset	Elnesvagen	Elovdolpk	English	EnglishBuckie	EnglishLindisfarne	EnglishLiverpool	EnglishLondon	EnglishNorthCarolina	EnglishSingapore	EnglishTyrone	Eninakaz	Enqi	Eryuan	Evolene	Ezerovoparvom	Fagerhaug	Faroese	Flate	FoldvikBrunlanes	French	Fully	Furenvrach	Fuzhou	Fyllingsdalen	Fyresdal	Gabarebslat	Gabraelpel	Galatatetev	Ganchovecdrjan	Garmengd	Garvansil	Gegapetr	German	Gjra	Glozheneorjah	Golemarakovicaelpel	Golemomalovosliven	Golicavarn	Goljamazheljaznatetev	Goljamoshivachevosliv	Gongxing	Gornarosicasevl	Gornivarpishtadrjan	GouderakZH	Govedarcisam	Gradecvd	Grimentz	Grone	Guangzhou	Guiyang	HaamstedeZe	Hachijo	Hafrsfjord	Haikou	Halden	Hangzhou	Harbin	Hefei	Heqing	Hermance	HighGermanBiel	HighGermanBodensee	HighGermanGraubuenden	HighGermanHerrlisheim	HighGermanNorthAlsace	HighGermanOrtisei	HighGermanTuebingen	HighGermanWalser	Hisy	Hohhot	HolwerdFr	Huancane	Huancavelica	Huancayo	Huhlaivgr	HumbeekBeBr	Hundvag	Hvojnaasgr	Icelandic	IndianEnglishDelhi	Indzhevojvodamtarn	IngenGl	Inkawasi	Italian	Ivanskishum	Izvorovoharm	Jaqaru	Javorovoasgr	Jianchuan	Jianou	Jinan	Jinman	Jinxing	JuganKhanti	Kagoshima	Kaldfarnes	Kalipetrovosil	Kalojanovoplov	KantensGn	Karaisenpavl	Karanovoajt	Kaspichannp	Kawki	KazimKhanti	KerkradeLb	KnokkeBeWv	Kochi	KoedijkNH	KoekelareBeWv	Koljumarinovochirp	KondaKhanti	KondaMansi	Konskabrezn	Kopilovcimont	Koprivshticapird	Kortennzag	KortrijkBeWv	Kosteneciht	Kovachevcisam	Kozichinopom	Kramolinsevl	Kraveniksevl	Kretavrach	Kristiansand	Krivnjarazgr	KrogtoftBorge	Kunming	Kyoto	LAuberson	Laconnex	Ladino	Lamboing	Landeron	Lanping	Lanzhou	LeSentier	LeermensGn	Levunovosand	LiesFr	Ligurian	LikrisovskojeKhanti	Liljachevr	Lillehammer	Lipnicabotgr	Ljubenovamahalanzag	Loboshrad	LombardEast	LombardWest	Lomnes	Longirod	Lourtier	LowGermanAchterhoek	LowGermanBargstedt	LowerLozvaMansi	Lozensof	Luobenzhuo	Malomirovoelh	MalyjJuganKhanti	Mandal	Marchaevosof	Marikostinovopetr	Markovoshum	Martigny	Mazhelong	MeerbeekBeBr	Meixian	Merdanjavtarn	Merichlerichirp	MiddleLozvaMansi	MidslandFr	Miege	Mihalcipavl	Milchinalakakul	Miyako	Molde	Momchilovcismol	Mominabanjapl	Mominaklisurapz	Momkovosvgr	Montalchez	Montbovon	Montpreveyres	MoorsledeBeWv	MouscronBe	Mrkved	Mugladev	Murist	MusselGn	NaasEide	Nanchang	Nanjing	Nanning	NazarethBeOv	Nendaz	NewZealandEnglishAuckland	NieurletFrVl	NigerianEnglishIgbo	NijeholtpadeFr	NijmegenGl	Nikolovohask	Nikolovolipnikrus	NizjamKhanti	Noevcibrezn	Noiraigue	Nordstrand	NorthMansi	NorwegianStavanger	Novalovchagd	Novanadezhdahs	Novoselotrojan	ObdorskKhanti	Occitan	Ognenkarn	Oki	Omarchevonzag	OoikeBeOv	OostendeBeWv	OosterendFr	Opanstzag	Orkanger	OrmontDessus	Orsieres	Oruro	Orvin	Osenecrazgr	OudeschootFr	Panagjurishtegd	Paskalevecpavl	Pavelskoasgr	Pelatikovokjust	PelimkaMansi	Petarnicaplev	Pevectarg	PiershilZH	Pingyao	Plagne	Plakovovt	Podviskarn	Polish	PoperingeBeWv	Pozharevotutr	Prahins	ProtoGermanic	Puno	Qiliqiao	Qingdao	Rabishabelgr	Radovenevr	Rakevovr	Rakovicakul	Ranilugtryn	RaundalenFagnastl	Razboishtegod	RenkumGl	Roche	Russian	Russland	Ruzhincibelgr	Sadinapop	Sado	Sandnessjen	Saparevodup	Savagnier	Saviese	SchagenNH	ScheveningenZH	SchinnenLb	Scottish	Sekirovoplov	Selfors	Semsalves	Senokosblgr	Serbian	Sestrinopetr	Shanghai	Shantou	SherkaliKhanti	Shexian	Shipkakaz	Shirokalakadev	Shirokidolsam	Shtipskoprov	Shuri	SilvoldeGl	SinjaKhanti	SintAnnenGn	Skobelevosliv	Slaveinosmol	Slavjanovoplev	SlotenFr	SmildeDr	Smochevodupn	Smolskopird	Solishtadev	Sombeval	Sortland	SouthAfricanEnglishJohannisburg	Sredeczlgr	Srkjosen	StGingolph	Sta	Stakevciblgr	Stambolovohask	Stange	Stanghelle	Starmenbel	Stjrdal	Stjrdalshalsen	Stoilovomt	Straldzhajamb	Stre	Stroevoplov	Sucre	Sugiez	Suhindolvtarn	Sushicablgr	Suzhou	Svetlinatopgr	Svirkovoharm	SwedishSkane	SwedishStockholm	Taibei	Taiyuan	Taoyuan	Taquile	TavdaMansi	Tena	TerApelGn	Tianjin	Tihomirkrgr	Tihomirovostzag	Tiwanaku	Tjtta	Tokyo	Topolchanesliv	Trancovicanik	Trastenikplev	TremjuganKhanti	Troms	Trondheim	Tunxi	Tuoluo	Tynsetsentrum	UlftGl	Undheim	UpperDemjankaKhanti	Urumqi	Ustovosm	Vabelnik	VakhKhanti	Vaklinovogd	Valchepolesvgr	Vallorbe	ValthermondDr	Varbicapresl	Varbovoblgr	Varduntarg	VarsseveldGl	VartovskojeKhanti	Varvarapaz	Vasiljovotetev	VasjuganKhanti	Vaugondry	Velkovcipk	Venetian	VerkhneKalimskKhanti	Vermes	Vernier	Veyrier	VillarsleTerroir	Vinarovovid	Vinishtemont	Vladinjalov	Vodenelh	Vojnjagovokarl	Vracheshbotgr	Vranilovcigabr	Vresovoajt	Vullierens	WalshoutemBeBr	WaregemBeWv	WateringenZH	Wenzhou	WestFrisianGrou	WestTerschellingFr	WierumFr	WorkumFr	Wuhan	Xiamen	Xian	Xianggang	Xiangtan	Xiangyun	Xining	YiddishNewYork	Yinchuan	Yunlong	Zabardoasgr	Zabernovomt	Zamfirovoberk	Zanozheneberk	Zdravkovecgabr	Zelenigradtran	ZevenaarGl	Zhaltushaard	Zheglicavid	Zhelensvog	Zheljazkovosred	Zhengzhou	Zheravnakot	Zhoucheng	ZutendaalBeLb	ZuydcooteFrVl	ra
54_38_horn								w a χ ɾ a																																										w a χ ə ɾ a				w a q ɾ ɐ													w a χ ə ɾ a								w a ɢ ɾ a						w a χ ə ɾ a					w a χ ɾ a																																																																																																														w ɑ χ ɾ ɐ	w a χ ə ɾ a	w aː l a									w a χ ə ɾ a				w ɑ x ə ɾ ɐ																w œ x ə ɾ ɐ																																																																																																																								w a χ ɾ ɐ																					w a χ ɾ a																																																																					w a χ ɾ a												w a χ ɾ a							w a χ ɾ ɐ																																																																																		
550_578_norwegianodt													ɡ ɔ tːʰ				ɡ ɔ tʰː														ɡ uː				ɡ ɔ tː				ɡ ɔ tːʰ					ɡ ɔ tː					ɡ ɔ ʰtʰː																																																						ɡ ɔ tː										ɡ ɔ ʰtː											ɡ ɔ tʰː	ɡ ɔ tʰ															ɡ ɔ tː		ɡ ɔ tː	ɡ ɔ tʰː						ɡ ø ʰtː									ɡ ɔ tʰː																			ɡ ɔ tʰː		ɡ ɔ tʰː														ɡ ɔ tʰː								ɡ ɔ tʰː																			ɡ ɔ tʰː																												ɡ ɔ tʰː		ɡ ɔ tʰː																	ɡ ɔ tː						ɡ ɔ cː										ɡ ɔ tʰː																ɡ ɔ tʰː										ɡ ɔ tː				ɡ ɔ tː																ɡ ɔ tʰː															ɡ ɔ tʰː																																ɡ ɔ tʰː					ɡ uː t				ɡ ɔ cː									ɡ ɔ tʰː																										ɡ ɔ tʰː			ɡ ɔ tʰː		ɡ ø tː			ɡ ɔ tː	ɡ ɔ tː			ɡ ɔ tʰː			ɡ ɔ tʰː																						ɡ ɔ tʲʰː						ɡ ɔ tʰː	g ɔ t			ɡ ɔ tʰː		ɡ ɔ tː																																																																					ɡ ɔ tː
551_579_norwegianvarmt													ʋ ɑ ɾ m t				ʋ ɑ ɳ ʈʰ														ʋ a ɹ m				ʋ ɑ ɳ ʈ				v ɑ ɾ m t		ʋ ɑ ɾ m			ʋ ɑ ɰ m t					ʋ ɑ ɾ m t																																																						ʋ ɑ ɳ ʈ										ʋ ɑ ɳ ʈ											v ɑ rˠ m tʰ	ʋ ɑ ɾ m t															ʋ ɑ ɾ m t		ʋ ɑ ɾˠ m t	ʋ ɑ ɳ ʈ						ʋ ɑ ɾ m t																												ʋ a ɰ m t																ʋ a ɰ m t								ʋ a ɰ m tʰ																			ʋ ɑ ɳ ʈ																												ʋ ɑ ɰ m t		ʋ ɑ ɳ ʈʰ																	ʋ ɑ ɳ ʈ						ʋ a ɳ ʈʰ										ʋ a ɰ m t																ʋ ɑ ɾ m tʰ										ʋ ɑ ɾ m t				ʋ ɑ ɳ ʈ																ʋ ɑ ɾ m tʰ															ʋ ɑ ɾ m t																																ʋ a ɰ m t					ʋ ɑː m t				ʋ ɑ ɳ ʈ									ʋ ɑ ɳ ʈ																										ʋ ɑ ɳ ʈ			ʋ ɑ ɳ ʈ		ʋ a ɳ ʈ			ʋ ɑː ʈ	ʋ a ɰ m tʰ			ʋ ɑ ɳ ʈ			ʋ ɑ ɾˠ m t																						ʋ ɑ ɳ ʈ						ʋ ɑ ɳ ʈ	v ɑ ɾ m t			ʋ ɑ ɾ m tʰ		ʋ a ʁ m t																																																																					ʋ ɑ ɹ m t
552_580_norwegianstraks													s t ɾ ɑ k s																		s t ɾ ɑ k s				s t ɾ ɑ k s				s t ɾ ɑ k s		s t ɾ ɑ k s								s t ɾ ɑ k s																																																																																													s t ɾˠ ɑ k s	s t ɾ ɑ k s															s t ɾ ɑ k s																			s t ɰ a k s		s t ɾ ɑ k s														s t ɰ ɑ k s																																																							s t ɰ ɑ k		s t ɾ ɑ k s																	s t ɾ ɑ k s																																																														s t ɾ ɑ k s															s t ɾ ɑ k s																																					s t r ɑː k s				s t ɾ ɑ k s									s t ɾ ɑ k s																										s θ ɹ ɑ k s			s t ɾ ɑ k s		s t ɾ ɑ k s			s t ɾ ɑ k s	s t ɰ a k s						s t ɾˠ ɑ k s																						s t ɾ ɑ k s						s t ɹ ɑ k s	s t ɾ ɑ k s			s t ɾ ɑ k s																																																																							s θ ɾ ɑ k s
553_554_norwegiansom													s ɔ ɱ				s m̩														s m̩				s ɔ ɱ				s u		s o ɱ			s o					s ɔ																																																						s m̩										s ɔ m											s u	s o															s ɔ ɱ		s ɔ ɱ	s ɔ m					s ɔ	s ɔ ɱ									s ɔ																			s ɔ ɱ		s ɔ ɱ														s ɔ m								s ɔ																			s ɔ ɱ																												s ɔ m		s m̩																	s ɔ ɱ						s ɔ m										s ɔ ɱ																s ɔ m										s ɔ ɱ				s ɔ																s ɱ̩															s ɔ ɱ																																s u									s ɔ									s ɔ ɱ																										s ɔ ɱ			s ɔ ɱ		s m̩			s m̩	s o ɱ		s ɔ ɱ	s ɔ ɱ			s u																						s ɔ						s ɔ	s o ɱ			s ɔ ɱ		s ɔ																																																																					s ɔ ɱ
554_581_norwegianmatte													m ɔ t				m ɔ tːʰ ə														m ɔ t ə				m ɔ t ə				m ɔ t ə		m ɔ t			m ɔ tː ə					m ɔ tː ə																																																						m ɔ t ə										m ɔ t ə											m ɔ tː ə	m ɔ t ə															m ɔ t		m ɔ t ə	m ɔ t ə					m ɔ t	m ɔ tː ə									m ɔ tː																			m ɔ t ə		m ɔ t ə														m ɔ t ə								m ɔ tː ə																			m ɔ t ə																												m ɔ t ə		m ɔ t ə																	m ɔ tː ə						m ɔ t ə										m ɔ tː ə																m ɔ t e										m ɔ t ɛ				m ɔ t ə																m ɔ t ə															m ɔ tː																																m ɔ t ə					m ɔ tː ə				m ɔ t									m ɔ t																										m ɔ tː ə			m ɔ t ə		m ɔ t ə			m ɔ t ə	m ɔ tː e		m ɔ t	m ɔ tː			m ɔ t e																						m ɔ tː						m ɔ t ə	m ɔ t			m ɔ t ə		m ɔ t ə																																																																					m ɔ t
555_582_norwegianinrmme													i ɲ ɾ ø m																		ʔ i ɲ ɾ ø m				i nː ɾ ø m ə				ɪ nː ɾ ø m ə		i ɲ ɾ ø m ə			ʔ i nː ɰ ø m ɑ					ʔ i nː ɾ ø m ə																																																						i nː ɾ ø m ə										i ɲː ɾ ø m ə												ʔ i ɲː ɾ ø m ə																	ʔ i n ɾˠ ø m ə	i nː ɾ ø m ə					i nː ɰ ø m ɛ										i ɲ ɾ ø m																			i nː ɰ ø m æ		i nː ɾ ø m ə														i nː ɰ ø m ə								i nː ɰ ø m æ																			i ɲː ɾ ø m ə																												i nː ɰ ø m e		i nʲː r ø m																	i nː ɾ ø m ə						ʔ i ɲː ɾ ø m ə										ʔ i nː ɰ ø m ə																i nː ɾ ø m ə										i ɲ ɾ ø m				ʔ i ɲː ɾ ø m																i nː ɾ ø m ə															i ɲ r ø m																																i nː ɰ ø m ɑ					ɪ nː ɾ ø m ə				i ɲː r ø m									i ɲː r ø m																										i ɲ ɾ ø m			ʔ i nː ɾ ø m ə		ɪ nː ɾ ø m ə			ɪ nː ɾ ø m ə	ʔ i nː ɰ ø m a		i ɲ ɾ ø m	i ɲ ɾ ø m			i n ɾˠ ø m e																						ʔ i ɲ ɾ ø m						ʔ i ɲ ɾ ø m ə	i n ɾ ø m			i nː ɾ ø m ə		ʔ i nː ʁ ø m ə																																																																					i nː ɾ ø mː
556_541_norwegianvar													ʋ ɑ				ʋ ɑː														ʋ ɑ				ʋ ɑː				v ɑ		ʋ ɑː			ʋ ɑː ɰ					ʋ ɑː																																																						ʋ ɑ										ʋ ɑ											v ɑ	ʋ ɑ															ʋ ɑː		ʋ ɑ	ʋ ɑ					ʋ ɑ ɰ	ʋ ɑː									ʋ ɑ																			ʋ aː		ʋ ɑː														ʋ ɑ								ʋ ɑː																			ʋ ɑ																												ʋ ɑ		ʋ ɑ																	ʋ ɑː						ʋ ɑː										ʋ a																ʋ ɑː										ʋ ɑ				ʋ ɑ																ʋ ɑː ɾ															ʋ ɑː																																ʋ ɑː					ʋ aː ɰ				ʋ ɑ									ʋ ɑ																										ʋ ɑː			ʋ ɑ		ʋ ɑ			ʋ ɑː	ʋ ɑː		ʋ ɑː	ʋ ɑː			ʋ ɑ																						ʋ ɑ						ʋ ɑː	v ɑː			ʋ ɑː		ʋ ɑː ʁ																																																																					ʋ ɑː
557_583_ashes																																																																																																																																																																																																																																											χ oː j ə m	q u ʎ ə m																																										q u ʎ ə m															q u ʎ ə m																																	χ ɔː j ə m				χ u ʎ ə m																																																																							χ ɔː j ə m																																																	q oː ʎ ə m																				χ oː j ə m																																																																				
558_50_fire																																																																																																																																																																																																																										t e w ə t										t u t							t yː t	t ɔu t																													t e ɣʷ ə t													t ɔː t				t e ɣʷ ə t											t oɔ t																																	t u t									t uː t																																																																		t u t								t u t																																									t æu t												t e ɣʷ ə t								t yː t				t œ ɣ ə t									t œ ɣ ə t			t œ ɣ ə t				t œ ɣ ə t																																																
559_99_fish																																																																																																																																																																																																																										k uː ɬ										χ u ɬ							χ uː t j	q u l																													k uː θ													q u l				k uː ɬ											q u l																																	χ u t				χ u l					χ uː l																				q u l																																														χ u t								χ u l																																									q o l												k uː ɬ								χ uː t j				k uː l									k uː ɬ			k uː l				k uː l																																																
55_39_tail								c u p a																																										ʈ͡ʂ u p a				tʃ u p ɐ													tʃ u p a						tʃ u p a		c u p a						ʈ͡ʂ u p a					c u p a																																																																																																															c u p a	ʈ͡ʂ u p a									ʈ͡ʂ u p a																																																																																																																																																																	tʃ u p a																																																																					c u p a												c u p a		tʃ u p a																																																																																							
560_101_fly																																																																																																																																																																																																																										ɬ e ɣ ə ɬ																	t e ɣ ə t																																																																																																																																																																																																																																			ɬ e ɣ ə ɬ								t e ɣ ə t				l e ɣ ə l																																																																
561_30_foot																																																																																																																																																																																																																																												l ə l																																										l ə l															l ə l																																					l a ɣ ɨ l																									l ə l																																																																																															l aə l																																																																																								
562_489_full																																																																																																																																																																																																																										t æ ɬ ə ɬ										t ɛː ɬ							t eː t	t a ɣ ɨ l																													t æ θ													t aɨ l				t æ ɬ											t aɨ l																																	t eː t				t a ɣ ɨ l					t eː l																				t æ ɣ ɨ l																																														t eː t								t eː l																																									t æu l												t æ ɬ								t eː t				t eː l ɣ æː l												t eː l				t eː l																																																
563_21_hair																																																																																																																																																																																																																										oː p ə t										ɵː p ə t							uː p ə t																														oː p ə t																	oː p ə t																																												uː p ə t									oː p ə t																																																																		uː p ə t								uː p ə t																																																					oː p ə t								uː p ə t				aː w ə t									aː w ə t			aː w ə t				aː w ə t																																																
564_112_head																																																																																																																																																																																																																																												p æ ŋ k																																										p ə ŋ k															p ə ŋ k																																					p u ŋ k																									p ə ŋ k																																																																																															p ə ŋ																																																																																								
565_534_hear																																																																																																																																																																																																																										k oː ɬ										χ ɵː ɬ							χ uː t	q oː l i																													k oː θ													q oː l i				k oː ɬ											qʷ o l i																																	χ uː t				χ ɔː l i					χ oː l																				q oː l i																																														χ uː t								χ uː l																																									q ɔ l ɔ n t												k oː ɬ								χ uː t				k ɔː l									k oː ɬ			k ɔː l				k oː l																																																
566_38_horn																																																																																																																																																																																																																										ɔː ŋ ə t										ɔː ŋ ə t							oː ŋ ə t	əː ɲ tʲ																													a ŋ ə t													a ɲ t				ɔː ŋ ə t											ɔ ɲ t																																	ɔː ŋ ə t				aː ɲ t					aː ŋ ə t																				ɔ ɲ t																																														ɔː ŋ ə t								ɔː ŋ ə t																																									æː n t												ɔː ŋ ə t								oː ŋ ə t				a ŋ ə t									a ŋ ə t			a ŋ ə t				a ŋ ə t																																																
567_346_knee																																																																																																																																																																																																																										tʃ æː n tʃ										ʃ aː ʃ							tʃ æː n tʃ	s ɔ n ə s																													tʃ æː ɳ tʃ													ʃ aː n ʃ				tʃ æː n tʃ											ʃ a n ʃ																																	ʃ aː ʃ				s aː n s					s æː s																				ʃ a n ʃ																																														ʃ aː ʃ								ʃ aː ʃ																																									ʃ ɔ n ʃ												tʃ æː ɳ tʃ								tʃ æː n tʃ				tʃ æː ɳ tʃ									tʃ æː ɳ tʃ			tʃ æː ɳ tʃ				tʃ æː ɳ tʃ																																																
568_55_big																																																																																																																																																																																																																										e n t ɬ																	eː n ə																														e ɭ ə																	e n ɬ																																																																																																																																																																																				e n ɬ								eː n ə				e ɭː ə									e ɭ ə			e ɭː ə				e ɭ ə																																																
569_490_leaf																																																																																																																																																																																																																										ɭ ɨː p ə t										ɭ i p ə t							l iː p ə t	l ə p t ə																													ɭ ɨː p ə t													l ɔː p t a				ɭ ɨː p ə t											l uo p t æ																																	l i p ə t				l uː p t æ					l iː p ə t																				l u p t ə																																														l i p ə t								ɭ i p ə t																																									l ɔ p t ɔ												ɭ ɨː p ə t								l iː p ə t				ɭ ɨː w ə t									ɭ ɨː w ə t			ɭ ɨː w ə t				ɭ ɨː w ə t																																																
56_39_tail																																																																																																																																																																																																				w ɪ ʧʼ i ŋ k ɐ															w i ʧʼ a ŋ k u																w ɪ ʧʼ i ŋ ɡ ɐ																																																																																																																								w i ʧʼ i ŋ kʰ ɐ																																																																																																													w i ʧʼ i ŋ kʰ ɐ																																																																																		
570_413_long																																																																																																																																																																																																																										k o w										χ u w							χ o w																														k ɔ ɣ																	k o ɣʷ																																												χ u w									χ o w																																																																		χ u w								χ u w																																									q u ʃ o												k o ɣʷ								χ o w				k oː ɣ									k ɔ ɣ			k oː ɣ				k oː ɣ																																																
571_538_louse																																																																																																																																																																																																																										t æ w t ə m										t eː w t ə m							t eː w t ə m	t ɔː χ ə m																													t e ɣʷ t ə m													t a χ ə m				t æ ɣʷ t ə m											t aː χ ə m																																	t eː w t ə m				t aː k ə m					t eː w t ə m																				t a χ ə m																																														t eː w t ə m								t eː w t ə m																																									t æ χ ə m												t æ ɣʷ t ə m								t eː w t ə m				t œː ɣ t ə m												t œː ɣ t ə m				t œː ɣ t ə m																																																
572_584_meat																																																																																																																																																																																																																										ɲ a w ɨː										ɲ o χ iː							ɲ o χ ə	ɲ ou l																													ɲ a ɣʷ ɨː													ɲ ɔu l				ɲ a ɣʷ ɨː											ɲ ou l																																	ɲ o χ ə				ɲ ɔ w ə ʎ					ɲ o χ aː																				ɲ ɔu ʎ																																														ɲ o χ ə								ɲ o χ iː																																									ɲ əːu l												ɲ a ɣʷ ɨː								ɲ o χ ə				ɲ oː ɣ ɨː									ɲ oː ɣ ɨː			ɲ oː ɣ ɨː				ɲ oː ɣ ɨː																																																
573_46_moon																																																																																																																																																																																																																										t ɨː l ə s										t i ɬ ə s j							t iː l ə ʃ																																																																																											t i l ə s j									t iː l ə s j																																																																		t i l ə s j								t i l ə s j																																																					t ɨː ɬ ə s								t iː l ə ʃ																																																																				
574_25_mouth																																																																																																																																																																																																																										ɬ uː ɬ																	t uː t																														θ uː θ																	ɬ uː ɬ																																												t uː t																																																																											t uː t																																																													ɬ uː ɬ								t uː t				l uː l									ɬ uː ɬ			j uː l				j uː l																																																
575_29_neck																																																																																																																																																																																																																										s æː p ə ɬ										s aː p ə ɬ								s o p l o																													s æː p ə θ																	s æː p ə ɬ											ʃ i p l u																																	s aː p ə t				s i p l u					s æː p ə l																				ʃ i p l u																																														s aː p ə t								s aː p ə l																																																					s æː p ə ɬ								s æː p ə t				s æː w ə l												s æː w ə l				s æː w ə l																																																
576_405_new																																																																																																																																																																																																																										j e ɬ ə p										j i ɬ ə p							j e t ə p	j e l p ə l																													j e θ ə p													ʎ æ ʎ p ə l				j e ɬ ə p											ʎ æ ʎ p ə l																																	j i t ə p				i ʎ p					j iː l ə p																				ʎ æ ʎ p ə l																																														j a t ə p								j a l ə p																																									e l p ə ʎ												j e ɬ ə p								j e t ə p				j e l ə w									j e ɬ ə w			j e l ə w				j e l ə w																																																
577_23_nose																																																																																																																																																																																																																										ɲ o ɬ										ɲ o ɬ							ɲ a t	ɲ ɔ l																													ɲ o θ													ɲ a l				ɲ o ɬ											ɲ a l																																	ɲ o t				ɲ o l					ɲ a l																				ɲ a l																																														ɲ o t								ɲ o l																																									ɲ ɔ l												ɲ o ɬ								ɲ a t				ɲ o l												ɲ o l				ɲ o l																																																
578_16_not																																																																																																																																																																																																																										e n t ə										a n							e n	oɔ t																																										a t															a t																																	a n t a				a t					æ n																				a t																																														a n t								a t																																									æː												e n t ə								e n				e n t ə												e n t ə																																																				
579_56_bird																																																																																																																																																																																																																																				t o χ ɬ ə ŋ w ɔː j								w u j																																										u j															t ɔu l ə ŋ u j																																					t ɔ w l ə ŋ u j																									w u j																																														w ɔː j																																																													t o ɣ ɬ ə ŋ w ɔː j ə ɣ								t o χ t ə ŋ w oː j ə				w aː j ə ɣ												w aː j ə ɣ																																																				
57_40_person																																																																																																																																																																																																				h ɑ q ɪ															h a q ɪ																h a q ɛ																																																																																																																								h ɑ q ɪ																																																																																																													h a q ɪ																																																																																		
580_40_person																																																																																																																																																																																																																																												q o l ə s																																										q ɔ l s															q ɔ l s																																					eː l ə m χ ɔː l ə s																									q ɔ l ə s																																																																																															q ɔ l ɔ s																																																																																								
581_40_person																																																																																																																																																																																																																																				χ o j aː t							χ a j æː t																																																																																											χ o j aː t																																																																											χ o j aː t								χ o j aː t																																																													χ a j eː t				k a s ɨː												k a s ɨː																																																				
582_497_rain																																																																																																																																																																																																																																				j ɛː r t							j eː r t																																																																																											j eː r t									j eː r t																																																																		j eː r								j eː r																																																													j eː r t																																																																				
583_502_red																																																																																																																																																																																																																										w e r t ə										w u r t iː							w e r t ə	w ɨ r																																										œː r															w yi r																																	w u r t ə				w ɨ ɣ ɨ r																									w yɨ r																																														w u r t ə								w u r t iː																																																					w e r t ə								w e r t ə				w e r t ə												w e r t ə																																																				
584_585_road																																																																																																																																																																																																																										ɭ eː kʷ																		ʎ oː ŋ q																													ɭ eː kʷ													ʎ o χ				ɭ eː kʷ											ʎ o χ																																					ʎ ɔː ŋ χ																									ʎ oː ŋ q																																																																																															ʎ ɔ ŋ												ɭ eː kʷ												ɭ œː k									ɭ œː k			ɭ œː k				ɭ œː k																																																
585_586_root																																																																																																																																																																																																																										ɬ o r t																	t uː r t	t oɔ r																													θ ɔ r													t ɔː r				ɬ o r t											t oɔ r																																					t aː r																									t ɔː r																																																																																															t æː r												ɬ o r t												l oː r									ɬ ɔ r			j oː r				j oː r																																																
586_587_say																																																																																																																																																																																																																										j æː s t ə																	j æː s t ə																																																																																																																																																																														j aː s t ə																																																					j æː s t ə								j æː s t ə																j æː s ŋ ə l				j æː s ŋ ə l																																																
587_33_skin																																																																																																																																																																																																																										s o w										s o χ							s o χ	s ɔu																													s o ɣ																	s o ɣʷ											s ɔu																																	s o χ				s ɔ w					s o χ																				s ɔu																																														s o χ								s o χ																																																					s o ɣʷ								s o χ				s o ɣ									s o ɣ			s o ɣ				s o ɣ																																																
588_58_black																																																																																																																																																																																																																										p e ɣ t ə										p i t iː							p e ɣ t ə																														p e ɣ t ə																	p e ɣ t ə																																												p i ɣ t ə									p uː t iː																																																																		p i ɣ t ə								p i t iː																																									p æ ŋ												p e ɣ t ə								p e ɣ t ə				p e ɣ t ə												p e ɣ t ə				p e ɣ t ə																																																
589_588_sleep																																																																																																																																																																																																																																												q o j i																																										q u j i															q u jː i																																					χ u j i					χ oː j																				q u j i																																																																																															q u j																																																																																								
58_40_person								ɾ u n a																																														n u n ɐ													ɾ u n a						r u n a		r u n a						r u n a					ɾ u n a																																																																																																															ɾ u n a	n u n a									r u n a																																																																																																																																																																	r u n a																																																																					ɾ u n a												ɾ u n a		ɾ u n a																																																																																							
590_589_smoke																																																																																																																																																																																																																										n æː j ɬ ɨː p ə t																																															t œ ɣ ə θ ɨː p ə t																	ɬ ɨː p ə t																																																																																																																																																																																				n æː j ɬ ɨː p ə t																																																																												
