Cognate_ID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	NorthernSgaw	ProtoKaren	SouthernPao	SouthernPwo	SouthernSgaw	WesternBwe
110.0_110_featherfurbodyhair	ɕ ɨ ¹¹	cʰ w a ŋ ¹¹	ɕ u ¹¹	cʰ ə n ⁵⁵	cʰ ɑ̃ ³³	cʰ ũ ³¹	cʰ u ɴ ¹¹	cʰ w ə m ³³	cʰ õ ⁵⁵	cʰ u ⁴⁵	ʃ ʊ ³³
111.0_111_feelfullaftereating	k ɔ ⁵⁵	k ə ʔ ⁴⁵	k ə ³³	k ə ʔ ²¹	k aə ʔ ⁴⁵		k ə ʔ̚ ⁵¹	k ə ʔ ²¹			
112.0_112_femalewoman	m ɔ ¹¹	m ɨ ¹¹	m ɨ ¹¹	m ɨ ⁵⁵	m əɨ̯ ³³	m ɨ ³¹	m̥ ɨ ¹¹	m ɨ ³³	m ɨ ⁵⁵	m ɨ ⁴⁵	m o ³³
113.0_113_femalehumansmother	m u ¹¹	m u ¹¹	m u ¹¹	m u ⁵³	m u ɦ ¹¹	m u ɦ ¹¹	m u ¹¹	m u ⁵⁵	m u ³³	m u ³¹	b o ¹¹ + m u ³³
114.0_114_fire	m i ¹¹	m ai ¹¹	m i ¹¹	m e ⁵⁵	m i ³³	m e ³¹	m̥ e ¹¹	m e ³³	m i ⁵⁵	m e ⁴⁵	m ɪ ³³
115.0_115_fish	t e ³³	t a ʔ ²¹	t ɔ ³³	tʰ a ʔ ⁴⁵			d a ʔ̚ ⁵¹	t a ʔ ⁴⁵			d a ¹¹ + pʰ o ³³
116.0_116_five	ŋ ɛ ³³	ŋ ɛ ʔ ²¹	j ɛ ³³	ŋ a t ⁴⁵	j ɛ ɦ ¹¹	j ɛ ɦ ¹¹	ŋ j a t̚ ⁵¹	n a p ⁴⁵	j ɛ ³³	j ɛ ³¹	j ɛ ¹¹
117.0_117_flankrib	r ɔ ³³	r ə ʔ ²¹	r ə ³³	r ə ʔ ⁴⁵	ɣ aə ʔ ²¹	ɣ u ʔ ²¹	r ə ʔ̚ ⁵¹	r ə ʔ ⁴⁵	ɣ aə ʔ ⁴⁵	ɣ əɨ̯ ¹¹	
118.0_118_flat		b j a ¹¹		p j a ⁵⁵	p a ³³	b i ³¹	p j a ¹¹	p j a ³³	b ai ⁵⁵		ɓ e ³³ + ɓ a ³³
119.0_119_flea	kʰ l a ⁵⁵	kʰ l i ʔ ⁴⁵	kʰ l e ³³	kʰ l i ɦ ³¹	kʰ l ei ³⁵	kʰ l i ⁵⁵	kʰ l i ⁵⁵		kʰ l ei ⁵³	kʰ l i ⁵⁵	kʰ l e ³³
12.0_12_barknleatherskin	pʰ a ⁵⁵		pʰ e ³³	pʰ e ʔ ²¹	pʰ ai ʔ ⁴⁵	pʰ i ʔ ⁴⁵	pʰ e ʔ̚ ⁵¹		pʰ ai ʔ ³¹	pʰ ai ʔ ²¹	pʰ e ³³
120.0_120_fleshmeat	j a ¹¹	ɟ a ¹¹	j a ¹¹	j a ⁵⁵	j a ³³	ɲ a ³¹	ɲ̊ a ¹¹	j a ³³	j a ⁵⁵	ɲ a ⁴⁵	
121.0_121_flower	pʰ o ³³	pʰ au ⁵³	pʰ o ⁵⁵		pʰ ɔ ³⁵	pʰ ɔ ³³	pʰ ɔ ⁵⁵		pʰ ɔ ⁵³	pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
122.0_122_forget	p a ¹¹	p e ³³	p e ³³	pʰ e ŋ ³³			s ə ⁰ + b e ŋ ⁵⁵	p e ŋ ⁵³		p i ³³	
123.0_123_forestjungle	k l e ³³		k l a ⁵⁵	k l a ɦ ³¹	k l a ⁵⁵	p ɣ a ɦ ¹¹ + l a ʔ ⁴⁵ + k l a ʔ ⁴⁵	k l a ⁵⁵	k l a ɦ ³¹	k l a ɦ ³¹	k l a ⁵⁵	
124.0_124_four	l w i ³³	l w i ⁵³	l i ⁵⁵	l i p ⁴⁵	l w i ɦ ¹¹	l w i ɦ ¹¹		l i p ⁴⁵	l ei ³³	l w i ³¹	l u ⁵⁵
125.0_125_foxwolf	tʰ w i ¹¹ + m i ¹¹	tʰ w i ¹¹ + m i ³³	tʰ i ¹¹ + m i ³³	tʰ w i ⁵⁵ + m i ³³		tʰ w i ³¹ + m i ³³	tʰ w i ¹¹ + m i ⁵⁵	tʰ w i ³³ + m i ⁵³	tʰ w i ⁵⁵ + m e̤i ³¹	tʰ w i ⁴⁵ + m i ³³	
126.0_126_frog	d i ¹¹	d ai ¹¹	d i ¹¹	d e ⁵⁵	d i ³³	d e ³¹	ˀd e ¹¹	d e ³³	d i ⁵⁵	d e ⁴⁵	ɗ i ³³
127.0_127_front	ŋ e ³³	ŋ a ⁵³		ŋ a ɦ ³¹		ɲ a ³³	ŋ̊ a ⁵⁵	ŋ a ɦ ³¹		ɲ a ⁵⁵	
128.0_128_fruit	s e ¹¹	θ a ¹¹	s a ¹¹		s a ³³	s a ³¹	s a ¹¹		θ a ⁵⁵	s a ⁴⁵	θ ɛ ³³
129.0_129_full	b a ³³	b w ɛ ⁵³	b ɛ ⁵⁵	b w ɛ ɦ ³¹		p ɣ ɛ ³³	p w ɛ ⁵⁵	b w ɛ ɦ ³¹			p w e ⁵⁵
13.0_13_bat	p l e ¹¹	b l a ¹¹	p l a ¹¹	p l a ɦ ³¹	pʰ l a ³³	b l a ³³	p l a ⁵⁵	p l a ɦ ³¹	pʰ l a ⁵⁵	b l a ⁵⁵	p l ɛ ¹¹
130.0_130_ginger	ʔ a ³³	ʔ e ⁵³	ʔ e ⁵⁵	ʔ e ŋ ɦ ³¹	ʔ ãi ⁵⁵	s ə ¹¹ + ʔ e ³³	ʔ e ŋ ⁵⁵	ʔ e ŋ ɦ ³¹	ʔ ɛ̃i ɦ ³¹	ʔ i ⁵⁵	θ ə ⁵⁵ + e ⁵⁵
131.0_131_go		l ɛ ³³	l ɛ ³³	l w ɛ ³³	l e ⁵⁵	l ɛ ³³	l w ɛ ⁵⁵	l w ɛ ⁵³	l e ɦ ³¹	l ɛ ³³	l e ³³
132.0_132_grasshopper		d w ɛ ¹¹	d ɛ ¹¹	d w ɛ ⁵⁵	tʰ w ɛ ³³	d w ɛ ³¹	ˀd w ɛ ¹¹	d w ɛ ³³	tʰ w e ⁵⁵	d w ɛ ⁴⁵	ɗ ɛ ³³
133.0_133_grandchild	l ə ¹¹		l i ³³	l i ³³	l ei ⁵⁵	l i ³³	l ei ⁵⁵	l i ⁵³	l ei ɦ ³¹	l i ³³	l i ¹¹
134.0_134_greatgrandchild	l u ¹¹	l au ³³	l u ³³		l u ⁵⁵	l o ³³	l o ⁵⁵	l o ⁵³	l u ɦ ³¹	l u ³³	
135.0_135_greatgreatgandchild	l e ¹¹	l a ³³	l a ³³	l a ³³	l a ⁵⁵	l a ³³	l a ⁵⁵	l a ⁵³	l a ɦ ³¹	l a ³³	
136.0_136_hairhead	kʰ u ⁵⁵ + l u ¹¹	k a ʔ ²¹ + l u ³³	kʰ u ¹¹ + l u ³³	k a ʔ ⁴⁵ + l u ³³	kʰ u ³³ + s u ³⁵	kʰ u ³¹ + s u ³³	kʰ u ¹¹ + l u ⁵⁵	k a ³³ + l u ⁵³		kʰ u ⁴⁵ + s u ⁵⁵	kʰ u ⁵⁵ + l u ⁵⁵
137.0_137_handle	t u ¹¹		t u ¹¹	tʰ o ⁵³	tʰ u ɦ ¹¹	t o ɦ ¹¹	d o ¹¹	t o ⁵⁵	tʰ u ³³	t u ³¹	d o ³³
138.0_138_hat	k l o ¹¹	k l ɔ ¹¹	k l ə ¹¹	k l o ŋ ⁵⁵			k l ə ŋ ¹¹	k l o ŋ ³³			k l o ³³ + pʰ l a ³³
139.0_139_hawkeagle	l a ³³	l i ʔ ²¹	l e ³³	l e ʔ ⁴⁵	l ai ʔ ²¹	l i ʔ ²¹	l e k̚ ⁵¹	l e k ⁴⁵	l ai ʔ ⁴⁵	l ai ɦ ¹¹	l e ¹¹
14.0_14_bathe	l o ¹¹		l u ¹¹	l u ⁵⁵	l ou ³³	l ɨ ɦ ¹¹	l̥ ou ¹¹	l u ³³	l ou ⁵⁵	l ɨ ⁴⁵	
140.0_140_havebeexiststaythereis	ʔ o ¹¹	ʔ au ¹¹	ʔ o ¹¹	ʔ au ⁵⁵	ʔ ɔ ³³	ʔ o ³¹	ʔ ɔ ¹¹	ʔ au ³³	ʔ o ⁵⁵	ʔ u ⁴⁵	ɔ ³³
141.0_141_head	k l ɔ ⁵⁵	k l ə ʔ ⁴⁵	k l ɨ ³³	k l ə ʔ ²¹ + t u ⁵⁵			k l ə ʔ̚ ⁵¹	k l ə ʔ ²¹ + t u ³³			k l u ³³ + k o ³³
142.0_142_heart	s e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	s a ʔ ²¹	s a ʔ ⁴⁵	s a ʔ ⁴⁵	s a ʔ̚ ⁵¹	s a ʔ ²¹	θ a ʔ ²¹	s a ʔ ²¹	θ a ³³
143.0_143_heavy	tʰ o ¹¹	tʰ əɨ ¹¹	tʰ ə ¹¹	tʰ ɨ ⁵⁵			tʰ ə ¹¹	tʰ ɨ ³³			tʰ o ³³
144.0_144_hemp	s o ¹¹	θ au ¹¹	s o ¹¹	s au ⁵⁵	ɕ j ɔ ³³	ɕ ɣ ɔ ³¹	s r ɔ ¹¹	ɕ au ³³	θ o ⁵⁵	ɕ ɣ ɔ ⁴⁵	θ r ɔ ³³
145.0_145_hip	k l e ¹¹	k a ŋ ¹¹ + k ɨ ¹¹	k ɔ ¹¹		k w ã ɦ ¹¹	kʰ i ³³ + k ɔ̃ ɦ ¹¹	g l a m ¹¹	k w a m ⁵⁵	kʰ w ɔ̃ ³³	k ɔ ³¹	
146.0_146_hithardwithafist	t ɔ ¹¹	t əu ¹¹	t ə ¹¹	tʰ o ŋ ⁵³	tʰ ãu ɦ ¹¹	t ə̃ ɦ ¹¹	d o ŋ ¹¹	t o ŋ ⁵⁵			d o ³³
147.0_147_horn	n ɔ ¹¹	n əu ³³	n ə ¹¹	n o ŋ ³³	n ãu ⁵⁵	n ə̃ ³³	n o ŋ ⁵⁵	n o ŋ ⁵³	n õu ɦ ³¹	n ɨ ³³	n o ¹¹
148.0_148_hornet	pʰ l ɨ ³³	pʰ r ɨ ⁵³	pʰ r ɨ ⁵⁵	pʰ r ɨ m ɦ ³¹	pʰ l ɑ̃ ³⁵	pʰ l ə ³³	pʰ r ɨ ɴ ⁵⁵	pʰ r ɨ n ɦ ³¹	pʰ l ə̤̃ɨ ⁵³	pʰ l ɨ ⁵⁵	pʰ l u ⁵⁵
149.0_149_horse	s i ⁵⁵	θ i ʔ ⁴⁵	s i ³³ + r i ³³	s e ɦ ³¹	k a ʔ ²¹ + s i ³³	k ə ³³ + s e ɦ ¹¹	k ə ʔ ⁰ + s r e ³³	s e ɦ ³¹	k ə ¹¹ + θ i ⁵⁵	k ə ¹¹ + s e ⁴⁵	θ r ɪ ³³
15.0_15_bearanimal	tʰ e ³³	tʰ a ŋ ⁵³	tʰ ɔ ⁵⁵	tʰ a m ɦ ³¹	tʰ ã ³⁵		tʰ a m ⁵⁵	tʰ a m ɦ ³¹	tʰ ɔ̃ ⁵³		tʰ ɛ ⁵⁵
150.0_150_hundred	j e ¹¹	j a ³³	j a ³³	r j a ³³	j a ⁵⁵	k ə ¹¹ + j a ³³	g ə ⁰ + r j a ⁵⁵	r j a ⁵³	j a ɦ ³¹	k ə ¹¹ + j a ³³	g ə ³³ + j ɛ ³³
151.0_151_husband	w e ¹¹	g w a ³³	w a ³³	w a ³³	w a ⁵⁵	w a ³³	g w a ⁵⁵	w a ⁵³	w a ɦ ³¹	w a ³³	w ɛ ³³
152.0_152_illpainfulsick	cʰ e ³³	cʰ a ⁵³	cʰ a ⁵⁵	cʰ a ɦ ³¹	cʰ a ³⁵	cʰ a ³³	cʰ a ⁵⁵	cʰ a ɦ ³¹	cʰ a ⁵³	cʰ a ⁵⁵	ʃ ɛ ⁵⁵
153.0_153_insect	kʰ r e ¹¹	c a ¹¹	c a ¹¹	s a ⁵³	x a ɦ ¹¹	x a ɦ ¹¹	g r a ¹¹	ɕ a ⁵⁵	x a ³³	x a ³¹	
154.0_154_intestines	pʰ r a ³³	p r i ʔ ²¹	p r e ³³	pʰ r e ʔ ⁴⁵	p ɣ ai ʔ ²¹	p ɣ i ʔ ²¹	b r e ʔ̚ ⁵¹	pʰ r i ʔ ⁴⁵	p ɣ ai ʔ ⁴⁵	p ɣ ai ɦ ¹¹	b w i ¹¹
155.0_155_iron	tʰ e ⁵⁵	tʰ a ʔ ⁴⁵	tʰ ɔ ³³	tʰ a ʔ ²¹	tʰ a ʔ ⁴⁵	tʰ a ʔ ⁴⁵	tʰ a ʔ̚ ⁵¹	tʰ a ʔ ²¹	tʰ a ʔ ²¹	tʰ a ʔ ²¹	tʰ a ³³
156.0_156_itchy	s e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	s a ʔ ²¹	s a ʔ ⁴⁵	s a ʔ ⁴⁵	s a ʔ̚ ⁵¹	s a ʔ ²¹	θ a ʔ ²¹	s a ʔ ²¹	θ a ³³
157.0_157_kidney	l i ¹¹	l ai ¹¹	l i ¹¹	l e ⁵³	l i ɦ ¹¹	k ə ³³ + l e ɦ ¹¹	k ə ⁰ + l e ¹¹		l i ³³	k ə ¹¹ + l e ³¹	l i ³³ + θ ɛ ³³
158.0_158_leaf	l e ¹¹	l a ¹¹	l a ¹¹	l a ⁵⁵	l a ³³	l a ³¹	l̥ a ¹¹	l a ³³	l a ⁵⁵	l a ⁴⁵	l ɛ ³³
159.0_159_leechland	s w e ⁵⁵	θ a ʔ ⁴⁵	s ɔ ³³	w a ʔ ²¹	w a ʔ ²¹	s a ʔ ⁴⁵	s w a ʔ̚ ⁵¹	w a ʔ ²¹	w a ʔ ⁴⁵	s a ʔ ²¹	
16.0_16_bedbug	kʰ r ɛ ¹¹	c a ŋ ³³	c ɔ ³³	s a m ³³		x ɔ ³³	g r a m ⁵⁵	s a m ⁵³		x ɔ ³³	
160.0_160_leechwater			s u ¹¹ + l i ³³		l ei ⁵⁵	s ə ¹¹ + l i ³³	k ə ⁰ + l ei ⁵⁵		l ei ɦ ³¹	t ə ¹¹ + l i ³³	g ə ³³ + l ɪ ³³
161.0_161_leftside	c i ¹¹	c ai ¹¹	c i ¹¹	c e ⁵⁵	c i ³³	c e ³¹	c e ¹¹	c e ³³	c i ⁵⁵	c e ⁴⁵	c ɪ ³³
162.0_162_leg	kʰ ɛ ¹¹	kʰ a ŋ ¹¹	kʰ ɔ ¹¹	kʰ a ŋ ⁵⁵	kʰ ɛ̃ ³³	kʰ ɔ̃ ³¹	kʰ a ŋ ¹¹	kʰ a ŋ ³³	kʰ ɔ̃ ⁵⁵	kʰ ɔ ⁴⁵	kʰ a ³³
163.0_163_lemurflyingflyingsquirrel	p l a ³³		p l e ³³	pʰ l i ʔ ²¹	pʰ l ai ʔ ²¹	p l i ʔ ⁴⁵	p l e ʔ̚ ⁵¹		pʰ l ai ʔ ⁴⁵	p l ai ɦ ¹¹	b l i ³³
164.0_164_lickv		l ai ¹¹	l i ¹¹			l e ³¹	l̥ ai ¹¹	l ai ³³	l ai ⁵⁵	l i ⁴⁵	l i ³³
165.0_165_liedownsleep	m ə ³³	m ai ⁵³	m i ⁵⁵		m ei ³⁵	m i ³³	m̥ ei ⁵⁵		m ei ⁵³	m i ⁵⁵	ʃ ɔ ⁵⁵ + m i ⁵⁵
166.0_166_lightweight	pʰ w i ³³	pʰ w i ⁵³	pʰ i ⁵⁵	pʰ w i ɦ ³¹	kʰ w i ³⁵	pʰ ɣ i ³³	pʰ w i ⁵⁵	pʰ w i ɦ ³¹	kʰ w i ⁵³	pʰ ɣ i ⁵⁵	pʰ w i ⁵⁵
167.0_167_linearmeasureofabout89inchesaspan	tʰ e ³³	tʰ a ⁵³		tʰ a ɦ ³¹	tʰ a ³⁵	tʰ a ³³	tʰ a ⁵⁵	tʰ a ɦ ³¹	tʰ a ⁵³	tʰ a ⁵⁵	
168.0_168_linearmeasureofabouthalfayardclosedhand	p l e ¹¹	p l a ¹¹	p l a ¹¹		pʰ l a ɦ ¹¹	p l a ɦ ¹¹	b l a ¹¹		pʰ l a ³³	p l a ³¹	
169.0_169_linearmeasureofabouthalfayardopenhand	t ɨ ¹¹	t ɨ ³³	t ɨ ³³	tʰ o m ³³	tʰ ɑ̃ ⁵⁵	t ə ³³	d ɨ m ⁵⁵	t ə m ⁵³	tʰ ə̤̃ɨ ³¹	t ɨ ³³	
17.0_17_beeapiscerana	w ɛ ⁵⁵	h w ɛ ʔ ⁴⁵	h w ɛ ³³	w a t ²¹	k w ɛ ⁵⁵	k w ɛ ⁴⁵	k w a t̚ ⁵¹	w a p ²¹	k w ɛ ɦ ³¹	k w ɛ ⁵⁵	w ɛ ³³
170.0_170_linearmeasureofabouttwoyards	kʰ l i ³³	kʰ l a ŋ ⁵³		kʰ l ɛ m ɦ ³¹	kʰ l ãi ³⁵	kʰ l i ³³	kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ŋ ɦ ³¹	kʰ l ãi ⁵³	kʰ l i ⁵⁵	
171.0_171_listento		n a ¹¹	n a ¹¹	n a ⁵⁵	n a ³³	k ə ³³ + n a ³¹	n̥ a ¹¹	n a ³³	n a ⁵⁵	n a ⁴⁵	ʃ ɔ ⁵⁵ + n ɛ ³³
172.0_172_livestay	ʔ o ¹¹	ʔ au ¹¹	ʔ o ¹¹	ʔ o ŋ ⁵⁵	ʔ ɔ̃ ³³	ʔ õ ³¹	ʔ ɔ ɴ ¹¹	ʔ o ŋ ³³	ʔ õ ⁵⁵	ʔ u ⁴⁵	ɔ ³³
173.0_173_liver	s o ¹¹	θ ɨ ¹¹	β ʉ ¹¹	s ɨ n ⁵⁵	s ɑ̃ ³³	s ũ ³¹	s w ɨ n ¹¹	s w ə n ³³	θ ə̤̃ɨ ⁵⁵	s u ⁴⁵	θ u ⁵⁵ + θ a ³³
174.0_174_longoftime	ŋ j a ³³	ŋ i ʔ ³³	j i ³³	ŋ j a ʔ ⁴⁵	j ai ʔ ²¹	j i ʔ ²¹	ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ ⁴⁵	j ai ʔ ⁴⁵	j ai ʔ ɦ ¹¹	j ɪ ¹¹
175.0_175_longoflengthtallhigh	tʰ u ³³	tʰ au ⁵³	tʰ u ⁵⁵	tʰ o ɦ ³¹	tʰ ɔ ³⁵	tʰ ɔ ³³	tʰ au ⁵⁵	tʰ o ɦ ³¹	tʰ o ⁵³	tʰ ɔ ⁵⁵	tʰ o ⁵⁵
176.0_176_lookafterthings	p o ¹¹	b əɨ ¹¹	p ə ¹¹	p ə ⁵⁵			p ə ¹¹	p ə ³³			b o ³³ + i ⁵⁵
177.0_177_loris	cʰ ɔ ³³	cʰ ə ŋ ⁵³	cʰ ə ⁵⁵		cʰ ãi ³⁵	k ə ¹¹ + cʰ e ³³	k ə ⁰ + cʰ ə ŋ ⁵⁵		k ə ¹¹ + cʰ ɛ̃i ⁵³	t a ¹¹ + cʰ i ⁵⁵	
178.0_178_lousechickeninsect	cʰ ɛ ³³ + kʰ r e ¹¹	ɕ a ŋ ⁵³ + c a ¹¹	ɕ ɔ ⁵⁵ + c a ¹¹	ɕ j a n ɦ ³¹ + s a ⁵³	cʰ ɛ̃ ³⁵ + x a ɦ ¹¹	cʰ ɔ ³³ + x a ɦ ¹¹	cʰ j a ɴ ⁵⁵ + g r a ¹¹	ɕ j a n ɦ ³¹ + ɕ a ⁵⁵	cʰ ɔ̃ ⁵³ + x a ³³	cʰ ɔ ⁵⁵ + x a ³¹	
179.0_179_lousehead	s o ¹¹	θ ɨ ¹¹	s ɨ ¹¹	s ɨ ⁵⁵	s ɑ̃ ³³	s ũ ³¹	s w ɨ ɴ ¹¹	s ɨ ³³	θ ə̃ɨ̯ ⁵⁵	s u ⁴⁵	θ o ¹¹
18.0_18_beeapisdorsata	n i ³³	n ai ⁵³	n i ⁵⁵	n e ɦ ³¹	n i ³⁵	k ə ¹¹ + n ɛ ³³	k ə ⁰ + n̥ e ⁵⁵	n e ɦ ³¹	n i ⁵³	n ɛ ⁵⁵	n ɪ ³³
180.0_180_lung	s u ¹¹	θ au ¹¹	s u ¹¹		s u ʔ ⁴⁵	p ə ³³ + s o ³¹	p ə ⁰ + s o ¹¹		p u ³³ + θ u ʔ ²¹	s u ⁴⁵	θ ə ⁵⁵ + o ⁵⁵
181.0_181_maggot	l ɔ ¹¹	l əu ¹¹	l ə ¹¹	l o ŋ ⁵⁵	l ãu ³³	l ə̃ ³¹	l̥ o ŋ ¹¹	l o ŋ ³³	l õu ⁵⁵	l ɨ ⁴⁵	l o ³³
182.0_182_maleofanimalsfather	pʰ e ³³	pʰ a ⁵³	pʰ a ⁵⁵	pʰ a ɦ ³¹	pʰ a ³⁵	pʰ a ³³	pʰ a ⁵⁵	pʰ a ɦ ³¹	pʰ a ⁵³	pʰ a ⁵⁵	
183.0_183_manmale	kʰ w u ³³	kʰ w au ⁵³	kʰ w u ⁵⁵	kʰ w o ɦ ³¹	kʰ w ɔ ³⁵	kʰ w ɔ ³³	kʰ w au ⁵⁵	kʰ w o ɦ ³¹	kʰ w o ⁵³	kʰ w ɔ ⁵⁵	b o ¹¹ + kʰ w o ⁵⁵
184.0_184_mango	kʰ ɛ ⁵⁵	kʰ au ʔ ⁴⁵	kʰ o ³³	kʰ ɔ ʔ ²¹	kʰ o ʔ ⁴⁵	kʰ ɔ ʔ ⁴⁵	kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ ²¹	kʰ u ʔ ²¹	kʰ o ʔ ²¹	
185.0_185_manymuch	ʔ e ³³	ʔ a ⁵³		ʔ a ɦ ³¹	ʔ a ³³	ʔ a ³³	ʔ a ⁵⁵	ʔ a ɦ ³¹	ʔ a ⁵⁵	ʔ a ⁵⁵	ɔ ³³ + ɛ ³³
186.0_186_mat				kʰ l au ⁵⁵	kʰ l ɔ ³³	kʰ l ɔ ³¹	kʰ l ɔ ¹¹	kʰ l au ³³	kʰ l ɔ ⁵⁵	kʰ l ɔ ⁴⁵	kʰ l o ³³
187.0_187_milipede	s i ⁵⁵ + k ɔ ⁵⁵ + w i ¹¹	θ a ʔ ²¹ + k ə ¹¹ + w i ³³	t e ¹¹ + w e ³³	k ɔ ⁵⁵ + w ɛ ³³	w ai ɦ ¹¹	s i ʔ ⁴⁵ + w ɔ ¹¹ + d e ³³	k ə ⁰ + w ɛi ⁵⁵	k ɔ ¹¹ + w ɛ ⁵³	w ai ɦ ³¹	s i ⁵⁵ + w a ³¹ + d e ⁵⁵	
188.0_188_mole	j o ¹¹ + w i ¹¹		j u ¹¹ + w i ³³	j u ⁵³ + w i ³³	w ei ⁵⁵	w i ³³	w i ⁵⁵	j u ⁵⁵ + w i ⁵³	w ei ɦ ³¹	w i ³³	w i ³³
189.0_189_money	r ɨ ³³	r w a ŋ ⁵³	r u ⁵⁵	r ə ŋ ɦ ³¹			r̥ u n ⁵⁵	r w ə n ³¹			h ʊ ⁵⁵
19.0_19_believe	j i ¹¹	ɟ ɨ ¹¹	j ɨ ¹¹	j u m ⁵³			j ɨ m ¹¹	j ə m ⁵⁵			
190.0_190_monitorlizardland	kʰ ɔ ⁵⁵	r e ³³ + kʰ ɔ ʔ ⁴⁵			kʰ au ʔ ⁴⁵	kʰ u ʔ ⁴⁵	kʰ o ʔ̚ ⁵¹		kʰ ɔu ʔ ³¹	kʰ ɔu ʔ ²¹	
191.0_191_monitorlizardwater	r e ³³		t r e ⁵⁵			k r e ʔ ⁴⁵	t r e ⁵⁵		ɣ e̤i ³¹	r e ⁵⁵	t r e ⁵⁵
192.0_192_monkey	j ɔ ³³	j ɔ ʔ ²¹	j ə ³³	j o ʔ ⁴⁵			j o ʔ̚ ⁵¹	j u ʔ ⁴⁵			j o ¹¹
