Cognate_ID,AqraArbilArabic,Buxari,Cairene,CentralArabic,CypriotArabic,Damascene,GulfArabic,Iraqi,Kinubi,Maltese,MoroccanArabic,NigerianArabic,Soukhne,YemeniticArabic
78_smoke,,d ʒ a rː a,d u x x aː n,d u x aː n,d x n,d ə xː aː n,d u x a a n,d u xː aː n,d u k a n,d u ħ ħ a n,d o x x a n,d u x aː n,d a x a n i,d u xː aː n
79_stand,q aː m,q ɔ m,w i ʔ i f,q aː m a,w q f,w a ʔː a f,w u g a f,w u g a f,g u m,ʔ a m,w q e f,a n ʔ a d a l,k a ʕ a d,s a nː a b
7_bite,,j a ʕ a zː,ʕ a dˤː,ʕ a d ˀdˁ a,ʕ a ðː ʕ dˤ dˤ,ʕ a dˤː,ʕ a dˤː,ʕ a ðˤː,a d i,g i d e m,ʕ e d ˀdˁ,a dˤː a,ʕ a ðˤː,l u g u sˤ
80_star,,n u d ʒ u m,n i g m a,n a dʒ m a,n dʒ m,n a dʒ m e,n a dʒ m a,n a dʒ m a,n e z m a,s t i lː a,n e ʒ m a,n a dʒ i m a,n i ts m i,n a dʒ m
81_stone,ħ a dʒ a r,h a d ʒ a r,ħ a g a rˤ a,ħ a dʒ a r a h,ħ dʒ r,ħ a dʒ a r a,ħ a dʒ a r,ħ dʒ aː r a,l a g e r,dʒ e b l a,ħ e ʒ r a,h i dʒ e r,ħ a ts a r,ħ a dʒ a r
82_sun,ʃ a m s,ʃ a m s,ʃ a m s,ʃ a m s,ʃ i m p s,ʃ a m ə s,ʃ a m s,ʃ a m i s,s e m s i,ʃ e m ʃ,ʃ e m ʃ,ʃ a m,ʃ a m s,ʃ a m s
83_swim,z ə b ə ħ,ṣ/s o b ħ a y/j a a n,ʕ aː m,s a b a ħ a,ɣ s l,s a b a ħ,s i b a ħ,s i b a ħ,hˤ u m,ʕ a m,ʕ a m,aː m,s a b a ħ,ʕ aː m
84_tail,,z eː l,d a n a b,ð a n a b,ð n b,d a n a b,ð eː l,ð eː l,d a n a b,d e n b,ʃ u w w a l,d a n a b,ð eː l,ð eː l i n
85_that,h a d aː k,d uː k,d a,ð a l i k a,ʔ x ð,h a d aː k,ð aː k,ð aː k,n a d e,d a k,d a k,ɖˤ aː k a,ð aː tʃ,ð a jː i k
86_this,h a d aː,h aː,d a,h aː ð aː,h ʔ,h aː d a,h aː ð a,h aː ð a,w e d e,d i n,h a d,d aː,h aː,ð a jː i h
87_thou,ə n t a,h i n t,i n t a,ʔ a n t a,ʔ n t,ʔ ə n t e,i n t a,ʔ i n t a,ʔ i t a,i n t,n t a,i n t a,i n t,ʔ a n t
88_tongue,s eː n,l i ʔ aː n,l i s a a n,l i s aː n,l s n,l s aː n,l i s aː n,l i s aː n,l i s aː n,l s iː n,l s a n,l i s aː n,l s iː i n,l i s aː n
89_tooth,s n n,,s i nː,s i n n,s n a n s n n,s ə nː,s i nː,s i nː,s u n u n,s i n s,s e n n,s i nː,s i nː,s i nː
8_black,ə s w ə d,ʔ a s w a d,i s w i d,ʔ a s w a d,i s f e t s w d,ʔ a s w a d,ʔ a s w a d,ʔ a s w a d,a s u e,i s w e d,k ħ e l,a x a dˤ a r,ʔ a s w a d,ʔ a s w a d
90_tree,ʃ ə dʒ a rˤ a,ɣ a r a b,ʃ a g a r a,ʃ a dʒ a r a h,,ʃ a dʒ a r a,ʃ i dʒ a r a,ʃ a dʒ a r a,ʃ e d e r,s i dʒ r a,ʃ e ʒ r a,ʃ a d a r a,ʃ a ts a rˤ a,ʃ i dʒ a r e h
91_two,t ə n a j n,u s n aː,i t n e e n,i θ n aː n i,x n ai̯ n θ n y,t n eː n,i θ n eː n,θ n eː n,t i n i n,t n e j n,ʒ u ʒ,t i n eː n,θ n eː n,θ i n t a j n
92_walk,m ə ʃ i,ɣ a d a k,m i ʃ i,m a ʃ aː,m i ʃ i,m ə ʃ i,m i ʃ a,m i ʃ a,m a ʃ i,m e ʃ a,m ʃ a,m a ʃ a,m a ʃ a,x u tˤ i
93_warm,,ħ a rː,d aː f iː,ħ aː mː,s a x a n,ʃ oː b,ħ aː m i,d aː f i,h a r i,s ħ u n a,d a f i,s aː x i n,d iː f i,d aː f i
94_water,m aː j,m aː,m ai̯ j a,m aː ʔ,m w h,mˤ a jː,m aːi̯,m aː j,m o j o,i l m a,m a,a l m e,i m i,m aː ʔ
95_we,n ə ħ n a,n ə ħ n a,i ħ n a,n a ħ n u,n ħ n,n ə ħ n a,i ħ n a,ʔ i ħ n a,i n a,a ħ n a,ħ n a,a n iː n a,i ħ n a,ħ n a
96_what,a ʃ,i ʃ,eː h,m aː,ʔ y y,ʃ uː,ʃ i nʰ u,ʃ,s u nˤ u,ʃ,a ʃ,ʃ i n u,eː ʃ,m aː ʔ ai̯ ʃ
97_white,ʔ a b j a dˤ,ʔ a b i j a d,a b j a dˤ,ʔ a b j a dˤ,a p k y a ð b y dˤ,ʔ a b j a dˤ,ʔ a b j a dˤ,ʔ a b j a ðˤ,a b j a,a b j a d,b j e dˤ,a b j a dˤ,ʔ a b j a ðˤ,ʔ a b j a ðˤ
98_who,m ə n i,m iː n,m iː n,m a n,m n,m iː n,m i n,m i n u,m u n u,m i n,ʃ k u n,m i n e j aː t u,m aː n,m a n
99_woman,m a rˤ a,ʔ i m r a ʔ a t,s i tː,i m r a ʔ a h,m a r a m r ʔ,m a r a,m a r a,m a r a,m a r j a,m a r a,m r a,m a r a,m r a jː i,m a r e h
9_blood,d a m,d a m,d a m m,d a m,d m y,d a m m,d a m m,d a m m,d u m,d e m m,d e mː,d a mː,d a m,d a m
