Cognate_ID,BragbarSitu,CogtseSitu,Japhug,MiddleChinese,OldChinese,Tibetan,Zbu
242_thepoison,t ə + n d ō k,t ə̄ k,t ɤ + n d ɤ ɣ,d o w k,dˤ u k,d u g,
243_toscoopwater,k a + k i ɛ̄ p,,k a β,k i p,k ə p,,
244_tofloat,ʑ b r ū,,ʑ m b r ɯ,b j u w,m b r u,,
245_todestroy,k ə + m ə̄ k,k ə + r m ē k,m i,m j i e t,m e t,,
246_todropdrop,r ə + n tʰ ā k,n tʰ ɐ̄ k,,t e k,t e k,tʰ i g s + p a,
247_thefire,,,s m i,x w a X/¹⁵,qʷʰˤ ə j ʔ,m e,
248_thebear,t ə w ā m,t ə w ā m,,h j u w ŋ,ɢ w r ə m,d o m,
249_tosmoke,t a + kʰ û,t ə + kʰ ə̂,t ɤ + kʰ ɯ,x j u n,qʰ u n,,
250_tofryroast,k a + r ŋ ô,k a + r ŋ ô,r ŋ u,ŋ a w,ŋˤ a w,r ŋ o,
251_theclaw,t a + n d z r ū,t a + n d z r ū,t ɯ + n d z r ɯ,ʈʂ æ w X/¹⁵,tsˤ r u ʔ,,
252_thefather,,,,p j u X/¹⁵,N/n p r a ʔ,pʰ a,
253_thebovine,n ə ŋ i ɛ̂,n ə ŋ â,n ɯ ŋ a,ŋ j u w,ŋʷ ə,,ŋ w é ʔ
254_thefield,k a + j ê,t ə + j ē,t ɯ + j i,d e n,lˤ i ŋ,ʑ i ŋ + kʰ a,
255_togive,k a + m b ī,k ɐ + w û,m b i,p j i j H/⁵¹,p i ts,s b j i n,
256_bestiff,,,n dʑ ɯ r p ɯ t,p j i j H/⁵¹,p i ts,,
257_toitch,k a + r ɐ ɟ â k,k a + r a j â k,r ɤ ʑ a,j a ŋ X/¹⁵,ə ɢ a ŋ ʔ,g j a + b a,
258_hundred,p ə r ɟ ē,p ə r j â,ɣ u r ʑ a,p æ k,pˤ r a k,b r g j a,
259_theeye,t ə + m ɲ ā k,t ə + m ɲ ā k,t ɯ + m ɲ a ʁ,m j u w k,m r u k,m i g,
260_theeyebrow,t a + r ɲ ê,t a + r ɲ ê,t ɤ + r m e,m i j,m r ə r,,
261_thearrow,,,t ɯ + d i,ɕ i j X/¹⁵,l̥ i j ʔ,,
262_tostand,k a + r ɟ ē p,k a + r j ā p,,l i p,k r ə p,,
263_thejoint,r ə + r ts ə̄ k,,t ɯ + r ts ɤ ɣ,ts e t,tsˤ i k,tsʰ i g s,
264_therice,kʰ r ī,kʰ r ī,kʰ r ɯ + z w a,m e j X/¹⁵,mˤ e j ʔ,kʰ r e,
265_totwisttospin,k a + p ō,k a + p ô,p ɣ o,pʰ j a ŋ X/¹⁵,pʰ a ŋ,,
266_toweave,k a + t i ā k,,t a ʁ,tɕ i k,t ə k,b t a g s,
267_thestringcord,,t ə + m b r ē,t ɯ + m b r i,ʑ i ŋ,ə m r ə ŋ,,
268_thebear,p r ī,p r ī,p r i,p j e,p r a j,,
269_thesheep,k ə + ɟ ō k,k ə + j ō,q a + ʑ o,j a ŋ,ɢ a ŋ,g j a ŋ + d k a r,
270_theear,t ə + r n i ɛ̂,t ə + r n â,t ɯ + r n a,ɲ i X/¹⁵,n ə ʔ,r n a,
271_theelbow,t ə + k r û,t ə + k r ū,t ɯ + z g r ɯ,ʈ j u w X/¹⁵,t k r u ʔ,g r u m o,
272_thearmpit,t a + j ā k,t ɐ + j ɐ̄ k,t ɯ + j a ʁ,k a k,qˤ a k,,
273_totakeoff,k a + ɕ l ɐ̄ t,,,tʰ w a t,m ə l̥ˤ o t,,
274_thearmpit,,,t ɯ + p j a ʁ p a,j e k,ɢ r ɑ k,b ʑ a g o g,
275_theinternalorgans,v o + l o ŋ tɕ â,t ə + p o + l ɐ ɱ tʃ ê,t ɯ + p u,p j u X/¹⁵,p o ʔ,,
276_thebrain,t a + r n ō k,t ə + r n ō k,t ɯ + r n o ʁ,n a w X/¹⁵,nˤ u ʔ,,
277_thebelly,t ə + v ō k,t ə + p ō k,,p j u w k,p r u k,b u g,
278_theshoulderblade,t a + r p i ā k,t a + r p ā k,t ɯ + r p a ʁ,pʰ a k,pʰˤ a k,pʰ r a g,
279_thematernaluncle,a + k û,,,g j u w X/¹⁵,g r u ʔ,a + kʰ u,
280_thecolourcountenance,,,z r a ʁ,s r i k,s r ə k,,
281_thereisnoxsuchthatx,k ə + m i ā k,,m a ʁ,m a k,mˤ a k,,
282_thepulsebeans,t a + s t ɐ̄ k,t ɐ + s t ō k,s t o ʁ,s y u w k,s tʰ u k,,
283_bethin,k ə + m b i ɛ̂,k ə + m b â,m b a,b a k,bˤ a k,,
284_thefirewood,ɕ ê,ʃ ē,s i,s i n,s i n,ɕ i ŋ,
285_torevive,k ə + m ə + s ŋ i ɛ̂ r,k ə + m ə + s ŋ â r,s ŋ a,s u,s ŋˤ a,,
286_thesnakebrood,kʰ a + p r ɐ̄ j,kʰ a + b r ē,q a + p r i,x w o j X/¹⁵,r̥ u j ʔ,,
287_theearthworm,,,q a + n ɖʐ e,j i n X/¹⁵,ɢ r ə r ʔ,s r i n,
288_thelouse,,,z r ɯ ɣ,ʂ i t,s r i k,ɕ i g,
289_theflyinsect,,,ɣ ʑ o,j i ŋ,m r ə ŋ,s b r a ŋ,
290_thefurgarment,t ə + ŋ g â,t ə + w ɐ̂,ŋ g a,g j u w,gʷ ə,g o s,
291_thehorn,t ə + r ū,t ə + r ū,t a + ʁ r ɯ,k æ w k,kˤ r o k,r w a,
292_topress,,,s tʰ o ʁ,ts j u w k,tsˤ i w k,,
293_toslip,,,a ʁ d ɤ t,t r i j H/⁵¹,t l r i ts,d r e d + p a,
294_thebody,t ə + ɕ n ê,t ə + ʃ n ē,t ə + s n i,ɕ i n,n̥ i ŋ,s ɲ i ŋ,
295_thebody,t ə + s k r ū,t ə + s k r ū,t ɯ + s kʰ r ɯ,kʰ j u,kʰ r o,s k u,
296_benear,,,t ɯ + ɣ ɲ i,n y e X/¹⁵,n ə r ʔ,n y e + b a,
297_besour,k ə + tɕ ô r,k ə + tɕ ô r,tɕ u r,s w a n,sˤ o r,,
298_theneedle,t a + w i ɛ̄ p,t a + k ā p,t a + q a β,tɕ i m,t k ə m,kʰ a b,
299_bedarkcloudy,t a + n c â p,,ɴ q i a β,ʔ i m,q r u m,,
300_besingle,k ə + r ī k,k ə + t ē k,t ɤ ɣ,ts j e k,t e k,g c i g,
301_thehide,k a + k l i ā k,k a + k l ā k,,k ɛ k,kˤ r ə k,,
302_thealliumtuberosum,ɕ k ō,ʃ k ō,ɕ k u,k j u w X/¹⁵,s k r u ʔ,s g o g + p a,
303_thejawchin,,,t a + m ɢ o m,ɣ o m X/¹⁵,ɢˤ ə m ʔ,,
304_theface,,,t ɯ + r ŋ a,ŋ æ n,ŋˤ a r,,
305_thehorse,m b r ō,m b r ō,m b r o,m æ X/¹⁵,mˤ r a ʔ,,
306_thethighbone,,,t ɯ + χ p ɣ i,b e j X/¹⁵,m pˤ e ʔ,d pʰ j i,
307_befresh,k ə + ts â r,,s ɤ r,s j e n,s a r,g s a r + p a,
308_tocryofbirdsoranimals,k ə + m b r ɐ̂ j,k ə + m ə r ê,m b r i,m j æ ŋ,m r e ŋ,,
