Cognate_ID,abui,adang,blagar,kaera,kamang,klon,kui,nedebang,protoalorpantar,sawila,teiwa,wersing,westernpantar
132_grassbrush,k u p e,b a n a,n ə v e l,t e,s a k,k ə w ɪ l,b l a k a,t o,,i k u j i l a,t i ʔ,s e r i,a l e
133_grasshopper,t u n u i,h aː n u,k a b e t,o w,b e,t k e e t,s o k m a n,o,,a k i k i,o w,b e t k o l,a u
134_gravel,v iː + b i k a t i,f u i + a v a i,g ə n o v a r,d ə l o u r,,,w o r + k o s,w a r a + k n e i,,,d u l u w a r + k r i m a n,w o r + k a s,k e r a
135_green,w a l a ŋ a i,l e u,k o a k o a,o j o g i,w a a i,w ə w ɛ l ɛ ŋ,k a l u k u l,w e j a g a + w e j a g a,,w a l a ŋ a r a,a dʒ o g a r,w a l a r,h a l u a g a
136_grow,m e r a ŋ,a b o w o ʔ,b i l a ŋ,j i l i ŋ,b o o,b a h,e i l,k u t a,,k a r u,k u t a n,k u r,i l a ŋ
137_gumtreeeucalyptus,p u o k d a i,p u,p u u,p a a l,f o o,n i h,p o k o i l,p a a l a,p u,w a a,p a l,,p u
138_guts,t a t e b a k,a t o h i,a v a r + p u l a,d i j a q,k a a p u ŋ,g ɛ h,t e + i s,n u s u s u,,g i t u,g r u ħ u i + k r i m a n,a t o k o + m a r u ŋ,t a s + a r a
139_gwang,,,k ə d u b u k,k u n u b u,l u m e l,t o k + j a r,a k a l + j e r a,a ŋ w a ʔ a,,,d u w a i,k u w a k,h a k k e
13_axe,f a l i ŋ,b a l i ŋ b o ʔ o b o i,t a a,t a a ħ i,p a l i ŋ,b ɛ i,p o ŋ o n,b a m m a,b a l i n,p o ŋ a l a,b a f a l,p o l o ŋ,b a l i ŋ
140_hair,t i a k a i + b a t a,h a r i + ʔ i n ɛ m ɛ ŋ,t o ŋ + v a,t o o ŋ w a,ŋ + k u l a,k ə r ɪ d,t a k a l,g u ŋ w a ʔ a,,g a t a k k a + l a k k a,g o ʔ o n + w a ʔ,n e i m b a t + l a k,m a j a ŋ
141_head,t i a k a i,l o ŋ,t o o ŋ,t o o ŋ,f i l i ŋ,k ə d ɛ h,t a p o t u r,g u ŋ k o t a ŋ,,g a t a k k a,g o ʔ o n q u l,l o k o m a ŋ,n a ʔ u ŋ + k i
142_headlice,b i k i a ŋ,ʔ o n j,k u b a ŋ,k u w a ŋ,b i n i,ə k o i n,k o n,k u ŋ,,i n a a ŋ,k u ʔ a a n,u n a ŋ,k a r + k a s s i
143_heart,t e b i k a m a ŋ,d a m u l u,k u b a ŋ,a ħ a i,b u k a m a ŋ,ə t ɑ k ʊ b,t a b a t + k u b l a i,a ħ o j a,,g i k o o m a ŋ,u u k,g e u k a b a ŋ,h a t u a k i
144_heavy,t u h a i,t a r o w i,t ə m a d i,t a m a a d o,s u u,t ə k o r,s o w o r a,s u l a,,t i j e r r a,s u ħ u r,t u w u r,s u l l a
145_heeloffoot,h i dʒ a k + f o l a ŋ,ʔ ɛ w a d a,t i dʒ a + o m o l,t a b a t + b e j + g i m i m,w a + p e e + g a l p a ŋ,,t e i + g e t,g a j a + b e g e v i n i,,,b a i + g ə f i n,p e i g e m u i ŋ k d o r a ŋ,n a u t a + b a i + g a m m a
146_help,n e t u l u ŋ,ʔ u k a r a ŋ,a i ŋ + m o l i ŋ,m u l a g,t o l o n,h e r,g o m o n i,g o m o l i,,t u l o ŋ,g u n m o l a,g e m o s i,
147_hide,b u n u a,t a w u n i ŋ,m a dʒ a ŋ,i g a,b u n,t u q u i n,t e l u k i,u n i,,p e e l a,i g a ʔ,a w o i ŋ,u n n i ŋ
148_hitdrum,p a d a ŋ + h u w o r,O/ɔ d,o d a,g e d e ŋ a r,w o t a,p e d e ŋ + k u p,g o r,t u f i + g e e t a,,,b a h + ʔ h i t,w o d o,t a g g a ŋ
149_hole,l u k u l a,b o e,i l b o r,j e q u,s u k u u,d o k,s a k o l a,j a h a l,,k a d a a r,i b a a q,k a d a r,b a u
14_back,t e u i,ʔ h a ŋ + m a i,t ə m o t a + e r a,t e w a r i ŋ,i m o t a,g ɛ h ɑ k,t a k a b a t,n a g u a,,g a t i i ŋ,s i i f,s a p + k o r,n a i ŋ + w i r i
150_honey,n a w a ŋ,w a i n + s i,t o o n + dʒ a r,t a a u n + j i r,l a a w a ŋ + i l a,w a i n,n a r o w o n + e e r,t o ʔ o ŋ + w a ŋ i,,i r u,t a ʔ a n + j i r,d r i ŋ + t o k,w a n i
151_horn,h a ʔ m u k,ʔ a m u ʔ u,o m u,g u m u k,m u u,g ə m ʊ k,g a m u k,g ə r i a ŋ,m u k,,g e d e ħ u n,g e b u k u r,g a r i g e
152_hot,ʔ l i l a,b u n i ʔ,b a r a,w a a r,b e b a,t u t,s a n a m a,a g g a,,e m a l a,o g,t u t u ŋ,t a w a k a
153_house,t o f a,b a ŋ,h a v a ʔ,m a,k a d i i,ə w i,o w,s e,,a r a a s i ŋ,j a f,s o b,b l a
154_hungry,m i r a i,m a l ɛ h i ŋ,t a w a n + m ə n a p a l,b i l i + b a i,m a i t a ŋ,e l e ŋ,m a l a p,h i l l i ŋ,,m a s i n,n a n + t i j a q,t a m s i ŋ,t a s + m a s s a
155_husband,h e n e ŋ,n o l o t i,t e n i ŋ,g e m a s i k,l a m i,o m,a n e n,g a n n i,,g a n a a m u,g ə m i s i,n e + l e m i,n a i m u
156_huskedrice,a dʒ a k,aː l a,m o o d + m e m a ŋ,m a r,a a + b e i t a,ə r ɑ k,a r a k + d e t e r,k a r a,,a r a k e e s,r a ħ,a r a k + e s,h u t t a ŋ
157_itchy,dʒ o k u ŋ,k a k a ʔ,k a k a,ħ a ħ o,i l u k u i,k aː k,r o k,q a q a,,,q aː q,i r u k,k a k a
158_jackfruit,s o ŋ,t o ŋ,n a ŋ k a,n a k a,t o n,a t o n,n a ŋ k a,q a e r a ŋ,t o n,,n a k,,k a w e r a ŋ
159_knee,t a ʔ b a b u k,ʔ ɛ + p ɛ l i n i,t i dʒ a + k u k u,t a b a t + u k u,s u b u,g ɛ i u k,t e i + l u k + t u k,g a j + u k u,u k u,g a t a a s u r u k u,g ə f a t + k u u,n e s e s e b u k,u k k a ŋ
15_bad,b e a k a,a r i ʔ i ŋ,dʒ a s i,j a a s o,b o k o,m ʊ dʒ ɑ h,n o k a + n a ŋ a,j e tʃ i,j a s i,j a a t i,j a a s,b o l i,j a s a
160_knife,l u i,d u i r,t u d i k,s i a r,s i t e i,d ʊ ʊ r,d u r,tʃ i j a,,k i n e,s i ʔ a r,k i n a i,s i l a
161_lake,w aː + t a k a t a,O/ɔ m,,j i r + m o g o,,ə r ɑ g ɪ t ɪ p,e e r + b a l,t r a q a,,i r i a k a w a a l i,b ə n a a q,m e r i a ʔ,h a l i a
162_landsoil,a n a i,f a ʔ a i,b u t u ŋ,m a ħ a,a r u ŋ,m ə k ɛ ʔ,p a l a k,t a l a k a,,a t a k u,m o ħ o ʔ,a t o k u,m u a
163_lazy,ʔ k i l i k i,m a r a ʔ a n,p ə l o i t,m u u t,m i + k a i l a n,k l e m,k a l i k i n,q a v i j a q a,,d a a l a ŋ,g a ħ d u k,d a l a ŋ,m a s s a
164_leaf,t a l a,t i + b ɛ h ɛ,t e + v a,t e i + w a,a r i t a,ɛ t ɛ w ɛ i,a t a i + d e t,w a ʔ a,,l a k k a,t e i + w a ʔ,b o ŋ + l a k,w a j a
165_left,t e i b i k i,f i ʔ i ŋ,t a t a ŋ + dʒ a s i,w a ħ o r,e l a,i i k,i k a l,t a l a ʔ o,,,d e ħ e r,s o r o ŋ,i k k i
166_leg,t e t u k u,n ɛ ʔ ɛ w,t i dʒ a,t a b a t,w a,g ə t ɑ k,t a t u k,g a j a,,g i k u l i,g ə f a t,n e w a k a,n a u t a
167_lietelluntruth,o k o l i,k a l u w i,l e k o,a k a l,a l i l + w e e,b o r b a k,l a k o + s o l a,a k a l i tʃ i,,,p o o n + j a ħ a i,l b u r,b i r a ŋ + j a s a
168_liedown,t a,m o p o,t i a ʔ,t e e,t a a,t ɑ ɑ,t a,t a ʔ a,t i a,g a t e,u n t i ʔ,n e t a i,t i ʔ a ŋ
169_light,s i e r a i,f i l i ŋ,v i l a,w i l o,l i w a ŋ,b l o k,a j a,d i a,,d a l a a ŋ,w u l,e j a k a l,d i a l a
16_bamboo,m a i,p i t u ŋ,p e t u ŋ,p e t u ŋ,m a a i,d u m a r,p i t a n,,m a r i,s i b e a ŋ,g o ħ o l,,m a l i
170_lightning,a h a l a i,,b i l + m ə l e j l a k,k i i,d e l i ŋ + w o b i k a,m e d e k,b l e k i n,i l t a m a ʔ a w,,m ɪ l a ŋ,k i i,m e k e,i r + m i ʔ a r
171_lime,a w a i,aː w i,a v a r,a w a r,a w o i,ə w ɛ r,o o r,w a,h a w a r,,ħ o r,o r,h a u w e
172_lips,t a w a + k u l,t ɛ m + t ɛ p o r o,t i b a l,t u a + t u p a ʔ,w a a + b a k a,g ə t ə b o d,t a r i p + s o,g a j a q + t u b u ŋ,,g a p i i n i,g e r + t u b a n,n e b i r + k l u t,n e l a s
173_liver,t o m i,o m,e l i l a,t i l i l,,n ə b ʊ r,d a m o r,g a m m i g a m m i,,g i d a m a r a,g u u k,g e d a m u r i ŋ,u m e
174_lizard,t e k o k,t e k o,t e k e,t e k,t a k k e e,,t a k o k,t a k a r a a b,,,t a k o k,p e k o,t a k k e
175_long,l o h u,l o w,v e n i ŋ,l e l u m,l a p a ŋ,l ɑ ɑ ŋ,n a b a n,t e n u,,l a m u,t i j a n,l u i m u k u l,t i a n a
176_lontarpalm,,ʔ ɛ ʔ u i,k o l i,a i + q o l i,,t o k + j a r,t u u k + j e r a,a w a ʔ a,,,ħ a i q u a l,t o k o + b o ŋ,t u a
177_louseeggs,b i k i a ŋ + t u l u ŋ,f a d i n,d e l i ŋ,i r i ŋ,b i n i + w a a,a k u i n dʒ + g e + a d a ŋ,k o n + r o,r i ŋ,,,ħ a r i n,u n a ŋ + g e a,l i d d i ŋ
178_louseclothing,b e,n ɛ l ɛ,b e e,u w a ʔ,s i k o o,o r,p a t a i,e g g a h,,,o ʔ,,a i
179_lungs,t e b o b o t i,a l a d i ŋ,b u r a ŋ,,f u s a a,,t a k a l e,p u i j + v a t a,,s a a l a r a,g a ħ a i,g e s a l a r,a l u a
17_banana,m o s a,m o ʔ o i,m o o l,m o g o i,m o o i,m ɔ g ɔ l,n a w o l,m a j,m o g o l,m aˑ k ɑ,m o ħ o i,m u l u l,m a g g i
180_machete,k a w e n i,s a p a d a,p e d a,,k i n e,p ɛ d,p e d a,p e d a,,p i i d a,p e e d,p e d e,p e r a
181_man,n ẽ,l o t i,m e j a l,m a s i k + w a a l,l a m i,o m k ə n ɛ,n e n,m a w a f e ʔ i,,i m j a a l a,m a s a r,l m i,a m m u
182_mango,m a i dʒ a,b e,b i j a t,w o w,w a e,m o g o i,m a m p a l e l,w o w a,,p i s i,w o w,p i s,b e s
183_marungga,m a t o l i ŋ,m o t o ŋ,t ə m o l u ŋ,m a t o l i ŋ,k o o + w u t o ŋ,k o k o l,k a k o l,s a l l a,m a t o l i ŋ,,q u u d,k o l t e ŋ + b o ŋ,k u r i
184_mat,a d i k,b a h u,b i,b i s,a d i,w i k,b u s,b i i,b i s,b u u s i,b i s,b i t i ʔ,b i s
185_milk,t i k,t o ʔ,h a a m + dʒ a r,t u u,a m i + i d u k a,d ʊ ʊ t,s u,a a m i,,g a a m i,h a m,a m i r a,h a ŋ
186_millet,k a l a,t aː r i,n u w a t,n a a t,l a s u,,s e r + m a n a k a,,,,n a a t,b u l a ʔ,k a l a k e
187_monitorlizard,l i t i,ʔ a l ɛ h ɛ ʔ,r i,i r i s,w u l e t,w r e h,r o s,l i s i,h a r i s,,ħ a r i s,r o t i,h i d d i s
188_moon,i dʒ e,h uː l,w u r u,u r,w u i,ʊ r,u r,h u l a,w u r,p i l e a k a,w u r,u r a k,h i
189_morning,f a l aː k d a,l a l a m i,h u r a k + w e n,q a n a n,w i l k a ŋ,k u n k u n,n e l e b a k a n,b e s i b e s i,,a l i k i l i,b e e s,w i d i ŋ + l e,m a b u
18_bark,ʔ b a t a + k u l,t i + ʔ u i,t e + u l i t,t e i + w a s i,a b a,ɛ t ɛ k ʊ i,a t e i + k u i l,t e i + w a q a,,j a k a,t e i + k u w e i,b o ŋ + k l u t,j a t t u + m a k i
190_mosquito,k u i m a,ʔ i n,k i n i t,k i ŋ,a f i s i ŋ,i k i n,k i n,k i m b a l u,,k a w e e ŋ,k i i n,k u b u ŋ,h i s s i ŋ
191_mother,h e a,n i w i,n i v a,n o w,o u k o,n o i,n a n a,h o a,,g i j a,g a ħ a l a ʔ,n e a,n i u
192_motherlouse,b i k i a ŋ + h e a,,,,,,k o n,,,,,k u t u + u n a ŋ,
193_mountain,b u k u + w a t i k a,b I/ɪ n i,p o n d o,b u k u u,b u k,d ɔ l,d o l,m a g a,,p o t t a,m u u g,a t o k u + b u b u ŋ,k u k k a
194_mouth,t a w a,ʔ a t a,t a i b o r,t u a,w a a,g ɑ d,t o w a,g a j a q a,,g a j i i r i,g a a ʔ,n e b i r,n a i
195_mud,d a k u ŋ,p a r a h,b u t u m p r e t,i l i s a q,f a a,m u l,m u l,b a n a q a,,d u u k a ŋ,b ə l a q a s,b r e k e ŋ,p a r a
196_name,t a n e,ʔ a n i ŋ,t e n e,t e e n i,n e i,g ə n ɛ ʔ,t e n e i,g e j n u,a i n,g a n i,j i d,a d e i ŋ,n i n n u
197_narrow,k a r i a,k a p u h,k ə r u b o,t u b u g i s,k a t i n a,t ə p ʊ ɪ h,t a d u k u n,s a m a,,i w u t o,t a b u g,i w u i t,t a p u g i
198_navel,t a b i k,ʔ a p o j ʔ ɛ ŋ,t ə p u a r,t o t a j,b u,t ə p ʊ h ə g ɛ n,t a b u k,g r u f i,,g i k u b i i l a,g o r + t o ʔ o i,k u b u,n i t o ʔ e
199_neck,t e r o l a,d o l o,t ə m e ŋ ʔ e r a,t a t a ħ,m a ŋ,d o h ə l ɑ,w o t + p l o k,g e f i k i r i,,g a m a ŋ,g ə m ə g o q a i,n e m e i ŋ,n e b a
19_barnstoragehouse,k u d a ŋ,ɛ s ɛ l ɛ,p a n d a,k u r u ŋ,a l m a ŋ,i w i n o k,b e n a,k o k a r,,j u,p a ħ a n + j a f,o u,k e b a ŋ
1_coralreef,k a r a f i,,t o m u,,p u s a,m u r u + t o m u,t u l,q a e r a,,a s i ŋ k u,t u m u,s a l a r,l a s s a ŋ
200_needle,t i ŋ,b a t u ŋ,b a t u l,b a a t i,d a f e e,,k i i t,b a t u,,,b e t i,d a m u ʔ,s u w e
201_newhouse,t i f a,h a b a r a ʔ,h i b a,s i b o,s u p a k a,h ə b ɑ ɑ,s a b a,s a v a ʔ a,s a b i a,t i p e a,w u d e s i n,t p a,s a b i ʔ a
202_night,t u ŋ t a m a,d i l + ʔ u ʔ u,k ə m a l u,i q a n o,t i t l a,ə k ɑ n,p e n e n + a k a n a,i l a q a n a,,i d u n i,i q a ʔ a n,m a l e ŋ,i r + p a t t a
203_nine,j e t i ŋ + b u t i,t i ʔ i n u,t o r n u,j e n i + u t,i s i ŋ b i a t,t ʊ k ɑ i n ʊ k,j e s a n + u s a,i s i ʔ u t u,,j o t r a a s i i k u,j e s n o ʔ u t,w e t i ŋ + a r a s o k u,a n u k t a n n a ŋ
204_nose,t a m i n f a,a i m b u i,t ə m i ŋ b u r,t i m i m,l p a ŋ,g ə m o i n,t e m i n,g a f i n i,m i m,g a m i ŋ i,g ə f i m b u i,n e m u i ŋ,n a m m a
205_oldpeople,f i ŋ k a ŋ,t u m a ʔ a,b o m a,b o o m,s a a k,k u l w ɪ n,k a k a l e t a,b a m m a,,s a a k u,k e r i,s a k u,m a d d a
206_oldwoman,f i ŋ k a ŋ,t u m a ʔ a,m e e t,q a l a m,s a a k,k u l w ɪ n,k a k a l e t a,b a m a l a,,s a a k u,q u a f,s a k u,k u b a
207_oldworn,m a k i l a,ʔ ɛ m ɛ,l u ŋ,u g a m,f a r a t a,m ə l o t,m a l o t a,t u l a g i,,m a k i i l a,a n a ʔ,l m a ŋ,k a s s a
208_oldersibling,n a n a,n o ʔ u d i ŋ + ʔ o b o,n e t a t a,n e k a w,i d a m a,ʊ l o m,b a k a n,n e n a ŋ,n a n,n a a n a,g ə m u t u,n e n a ŋ,n i k k a r
209_one,n u k u,n u,n u,n u k o,n o k,n ʊ k,n u k u,n u k u,n u k,s u n d a ŋ,n u k,n o,a n u k u
20_bat,m a r e,,d e m e l,m e r e i,m a t e i,m d e l,m a d e l,m a r r a,m a d e l,m a d iː k u,m ə d i,m u d u k,k a l o r
210_onehundred,a dʒ s a h a n u k u,r a t n u,r a t u + n u,r a t u n u k o,,ɛ s k ɑ n ʊ k,a s a g a + n u k u,r a t + n u k u,,a s a k a,r a t u + n u k,a s k a + n o,r a t u
211_onehundredthousand,r i f i + a dʒ s a h a + n u k u,r i b + r a t n u,s a l a k,,,,r i b a s a g a n u k u,s a l a k a + n u k u,,,,r i b u + a s k a n o,s a n l a k
212_oven,d i k i ŋ,h ɛ ʔ ɛ w u i,t u t u,t u t u k,d e k a ŋ,a d a g e n,s a k a n,t u t u w a l a,,i n i k i ŋ,t u t a ħ,d i k i ŋ,t u t t u
213_papaya,b a t a m i a,k a h a t ɛ l ɛ,k a s i,k a s i,b o ŋ m o o i,a t e m o l,m a t a k e l,k a t e l a,,b i l e,k a s i,b i l k a i,k a t t e l u
214_penis,p a l,,t a l,,f u i,t o,t a p o l,,,w a a l a,f i,w a l a,g e + l u p i
215_person,a m a,n aː m i,n e e n u,u j a ħ o ʔ,a l m a,ɑ n ɪ n o k,a n i n o u,w a ʔ a ŋ,,a n i ŋ,u j a q,a n i ŋ,a n a m e
216_pig,f e,b i,b e,b e j,p e e,b e e ʔ,b e i,b e i,b a i,p i,b a i,p e i,b a i
217_rain,a n u i,n u i,n u w a r,a j,a i i,u n u u r,a n o r,a l a,,ɑ dʒ a a,ħ a l,e i j a + m a i,h a j a
218_rainbow,h o,h a ʔ a b o ʔ o,a l i j a ʔ,s o u k,w a a ŋ k a w a a,a d u b,r o s + e i l,s a h i,,k a r a ŋ,t a f,s u k a ʔ,w a l i + p a k k u ŋ
219_raisedplatform,l i k,,d e j,d e e k i,s a i,l i i p,t a k a,t a ʔ a ɣ e tʃ i ŋ,,b a a s a,d e e k,k d i l,l u p p u
21_bean,t a k o i,ʔ u t u ŋ,t o o l,t a a u,t a a u i,u t,u t a n,n a k a a h u,,,k a a s,k a s u,l a i
220_rat,r u i,d uː l,d u r u,d u r,t u i,d ʊ r,d u r,d u r,d u r,d a r u,d u r,d u r k i,d i
221_rattan,f u r a k,l ɛ ʔ,l i j a,l e e g,t a u u,u h u l,l e,k o r a ŋ,,l a w a a k a r,l i j a g,l o t o r,d e
222_red,k i k,t ɛ n ɛ,b i b i,i i,b i k a,k ɪ k i k,i k a,i ʔ i,,i k e,i i ʔ,i k i,i ʔ a
223_rib,k a ʔ f a t a + b a t a,a b ɛ t i,a b a l + i r a,p a a s,k a p a a t a,d g e t,d a g a t a r + t a r o p a,s i d d a ŋ,,b a a s a r a,g a ʔ a n + p a ʔ a s,g a b a s e r i,p a r i s i
224_riceplant,a dʒ a k,aː l a,m o o d,m a r,a a,,a r a k,k a r r a + a tʃ i + g a,,,q a r + ħ a s g a,a r a k,h a l l a
225_ridge,w a t i k a,t a b u ʔ u,p o n d o + b l o l u,,m a n a,,d e r a,,,,,a t o k u + b u b u ŋ,m u g a ŋ
226_right,t e i k a ŋ,t n e,t a t a ŋ + a w,t e n e j,k a ŋ,t ə n ɛ,n o k o l,j e d i ŋ,,k a a ŋ,j i d a n,k a ŋ,j a d d i ŋ
227_ringworm,k a ʔ f i s i ŋ,o t,,q a a t,,,l u k u r,k a t u,,,s a ħ a i,l i l i r,k a t t u r
228_ripe,s a n i,t ɛ n ɛ,t e n a,j i r a,i t e n,ə t ɛ n,t a i n,k a r a,t e n,i t i i n a,m u b a n,l u s + m e r e k,d a l a
229_river,l u,m O/ɔ l,m u a l,b o i,i l i + m a ʔ t a ŋ,w ɛ r,m o l,b a l u,,i l u,b o ʔ o i,i l u,k a p a
22_bedbug,t a m e a k,,t e m e,t e m e k,l a w a,,e,m a j a,t e m e k,,m a j,m e k i t,m a d d u
230_roadpath,s a f o k o,s e ʔ b u r,v i a,dʒ u g u t,g e e i,ɛ g ɛ ʔ,l a k,j i i j a,,l u r a ŋ,j i t a r,j e l e,j a
231_roofthatch,f i l e,m I/ɪ n + m e n,m e n i ŋ,m a a n,i w a a h,e n eː m,a m e n,m a ŋ,a m e n,a m a ŋ,m a n,a m e ŋ,h a s i
232_root,a i,a l i ʔ i ŋ,t e + b r i g i ŋ,a k i,a l i i,ə r ɪ k,e i r,a l l i,,s i r i p i ŋ,h r o q,s r i p i ŋ,h a r
233_rope,ʔ t i l a,h i w a ŋ,s i a l,s i i l,k a p e,h ɑ l ɑ r,s e l,k o r a ŋ,,k a p e,t a r,k p e i ʔ,k o r a ŋ
