Cognate_ID	Even	Evenki_Chiringda	Evenki_Khamnigan	Evenki_StonyTunguska	Evenki_Strelka_Chun	Evenki_Teteya	Evenki_Tutonchany	Hezhe	Jurchen	Kur_Urmi	Manchu	Nanai_Bikin	Nanai_Najkhin	Negidal	Oroch	Orok	Oroqen	Solon	Udihe	Ulcha	Xibe
1020_234_smellv								χ u ŋ ɕ i				f uː m tʃ i	p w uː ŋ i tʃ i		x u m p ə			uː n ʃ i		p uː n s u	
1021_234_smellv	ŋ oˁː/oː s uˤ/u ʕ	ŋ oː h u k t a	n oː s u	ŋ o s uː k t a	ŋ oː		ŋ oː k t ə				w a ŋ k j i j a			ŋ oː s a k t a		ŋ ɔː	ŋ ɔ x ɔ		ŋ ø + s j i		v i ŋ kʰ ɘ
1023_234_smellv				ʉ n ŋ ʉ										u ɲ ŋ ə							
1024_235_smooth										n ə j g ə n		n əi g ə		n ə s k iː	n əi ŋ ə				n ə j g ə	n ə j ə	n ɘ tɕ i n
1025_235_smooth								n y/j ɬ x ʊ n			n j i l g j i j a n										
1026_235_smooth	b uˤ/u ʕ l d uˤ/u ʕ t iˤ/i ʕ											b o l d o + b o l d o + b j iː	b i l d w o + b i l d w o + b iː			b u l̥ d u m	b u r tʃ u r i n	b ɪ l d ʊ l ɪ		b o l d o + b j i	
1030_235_smooth		n ə p t ə m ə		n ə p t ə m ə	n ə p t ə m a		n ə p t ɒː l ɒ														
1031_236_snown	iˤ/i ʕ m e n r e		ɪ m a n d a	i m a nː a				i m a n ə	i m a ŋ g i	e m a n a	n j i m a ŋ g j i	s j e m n a	s e m a t a	e m a n a	i m a s a	ʃ i m ɑ n ɑ	e m a n a	ɪ m a n d a	i m a	s e m a t a	n i m ɑ ŋ
1032_236_snown		h i n i l g ə n		s ɨ ŋ ɨ l ɣ ə n	ś/ʃ i ɲ i l g ə n	h i ɲ i l g ə n	h i ŋ i l g ə n														
1034_237_spitv								tʰ i f ə l ə		t o f j ɪ n a	tʃ i f ə l ə	t o f j e l a	t w o p e n		t o p j i n	t u p i n			tʰ u n d ə	t i p u n	tɕ i v ɘ l ɘ
1035_237_spitv	t u m n i		t i m i n uː	t u m i n	t u m n ɨː		t u m i n							t o m o n			t ʊ m ʊ n	t ʊ m ɪ n			
1036_238_stickn		m o	m oː		m o					m oː	m oː	m oː	m w oː	m oː	m ɔː	m ɔː		m ɔ	m oː	m oː	m o
103_36_hitbeatv																	m ʊ ŋ d aː	m ʊ n d a			
1040_239_straight								tʰ ɔ n d u		t o ŋ n o	t o n d o	t o ŋ g d o	t w o ɴ d w o	t o ŋ n o	t ɔ ŋ n ɔ	t ɔ ŋ d ɔ		t ɔ n d ɔ x ʊ ŋ	t o ŋ d o	t o ŋ d o	tʰ o n d o q u n
1042_239_straight	ŋ uˁː/uː n			ŋ ʉ ŋ n ə																	
1046_240_swellv										χ ao l o	ai b j i	χ ao l a	χ ao l w o	au l	ao l i	χ ɑ u l u	ə w u l		au l i	χ a w l o	
1047_240_swellv	ħ oː s k e n										x u k ʃ u										
1048_240_swellv			k uː p	k ə p ə	k u r b u						k u b s u r ə										
1049_240_swellv	dʒ uˁː/uː t e n										dʒ u l j i										
1050_240_swellv																		m a d a			m ɑ d ɘ
1052_240_swellv														x ə j g ə							
1053_241_swimv			əː l b iː	ə l b ə s	ə l b ə s k ɒː t		ə l b ə s k ɒː t	ɜ ɬ p ɕ i			ə b j i ʃ ə			ə l b ɵ s			ə l b i	ə l b ə ʃ iː	ə g b j i/j e n ə		ɘ v s ɘ
1054_241_swimv	t iˁ aˁ n				t ɨ s a k t a	t ɨ x a	t ɨ h a							t e s a	t i s a						
1055_241_swimv										f ao r j ɪ		f ao r j e	p ao r j e			p ɑ u r i				p a w r o	
1056_241_swimv	k eː w u m e tʃ																				
1059_242_they	n oˤ/o ʕ ŋ aˤ/a ʕ r t aˤ/a ʕ n	n u ŋ a r t ɨ n	n ʊ ɣ a r	n oː r t i n	n u ŋ a r t ɨ n	n u ŋ a r t ɨ n	n u ŋ a r t ɨ n			ɲ oa t ɪ		ɲ aː tʃ e	ɲ w oa n + tʃ i	n o ŋ ɣ a t i l	n o ŋ a t i	n ɔː + tʃ i	n ʊ ɣ a r + t e n		n u/w a t i	n aː t e	
105_36_hitbeatv				k o l t o	k o l t o	k o l t o	k o l t o														
1060_242_they											t ə s ə							t a l ʊ r			tʰ ɘ s
1062_243_thinkv				g ʉ n tʃ ə				k o n i			g uː n j i										
1063_243_thinkv	m uˁː/uː l g aˤ/a ʕ tʃ									m u dʒ i l ə		m u d j i l ə	m w u r tʃ i		m əi tʃ i	m ɔ + r ɔ			m ə j s j i	m u r u + tʃ u	
1065_243_thinkv			b o d o													b ɔ d ɔ	b ɔ d ɔ	b ɔ d ɔ			b o d u
1067_244_treen	m oˁː/oː	m o	m oː	m oː	m o	m oː	m oː	m o	m o	m oː	m oː	m oː	m w oː	m oː	m ɔː	m ɔː	m ʊ ɔː	m ɔ	m oː	m oː	
1069_245_true	t e dʒ	t ə ď/d ə		t ə dʒ əː	t ə ď/d ə		t ə ď/d ə	tʰ ə tɕ ə		t ə dʒ ə		t ə dz ə	t ə dʒ ə	t ə dʒ ɵː	tʃ i dʒ ə	t ə d ə	t ə dʒ ɐː	t ə dʒ i	ts ə dz ə	t ə dʒ ə	
106_36_hitbeatv		t ə r ə γ/ɣ ə					t ə r ə ɣ ə														
1070_245_true											j a r g j i j a n										j ɘ r x i n
1071_245_true	aˤ/a ʕ j dʒ iˤ/i ʕ t																				
1075_246_turnv												k ə n d ə l d ə			k ə n d ə l j i						
1076_246_turnv				h ʉ k ʉ s ɨ n										x u ɣʷ u k s i n					x u g i + w a n a		
1077_246_turnv										k ə g ə r i g i + u k ə n			k ə tʃ ə r j i w əː n								
1078_246_turnv																x ə r ə l i				x ə r ə n	
1079_246_turnv											t o r χ o										tʰ œ r x u
107_36_hitbeatv		i k t ə				i k t ə															
1084_247_vomitv	i s	i h ə	i s ə r iː	ɨ s ə	i s ə			i dz ə ʨh/tɕʰ i				x u s ə	x w u s ə	i s ə	i s j i/j ə	x u ʃ ə	i h i m k i t	i ʃ i r i	i/j ə̰	x u s ə	
1087_247_vomitv											dʒ u r u										ɖʐ u r u
1088_247_vomitv	ħ uˤ/u ʕ j iˤ/i ʕ r k iˤ/i ʕ tʃ																				
1089_248_walkv			u l i					χ u l i	f u l u		f ə l j i j ə	f u l j i			x u l j i	p u l i			x u l j i	p u l m ə	
1091_248_walkv										d u/w ə r ə			d w u/w ə r ə							d u/w ə r ə	
1095_248_walkv	g iˤ/i ʕ r q aˤ/a ʕ	g i r k u		g e r k ʉ		g i r k u	g i r k uː							g ɛː x u			g e r aː n				
1098_249_1plpronoun	b uː	b uː	b uː	b ʉː	b u	b u	b uː	p u		m uː	b ə	b uː	b w u/w ə	b u	b u	b uː	b uː	b u	b u	b uː	b o
1099_249_1plpronoun	m u t	m i t	m i t i	m ɨ t	m u t		m u t	p ə tʰ i						b i tː ə	b j i t i		m i t iː	m i t	m i n t i		m ɘ s
109_37_legfootn	b oː d e l		b ə g d iː r					p ə k d ə l ə	b ə t i/j ə	b u g d j i	b ə t x ə	b ə g d j i	b ə g dʒ i	b ɵ g d i	b ə g d i	b u g dʒ i		b ə l d iː r	b ə g d i	b ə g d i	b ɘ t k
1100_250_when								i a m aə r i n			ai + ə r j i n + d ə										
1101_250_when			aː l ɪ							a l j ɪ		χ aː l j e	χ aː l i		aː l j i	χ aː l i	aː l e	aː l	a l j i	χ aː l e	
1103_250_when	oˁː/oː q	oː k i n		oː k i n	oː k i n	oː k i r	oː k i n							oː k i n							
1104_251_with			dz iː					tʃ i		dʒ ɪ		d j e	dʒ i	dʒ i	dʒ i		dʒ e	dʒ i	dz i	dʒ e	
1105_251_with																n d ɔ					
1110_251_with	g l iˤ/i ʕ																				
1111_251_with	tʃ i l		ts iː	t																	
1113_252_wormn															s j i l j i k t ə	ʃ i l i k t ə				s e l a q t a	
1114_252_wormn		uː r ɵ		ʉː r əː	uː r ə	u r ə													w əː		
1116_252_wormn										b ə t ə	b ə t ə n	b əː t ə						m əː tː			
111_37_legfootn		h a l g a n		h a l ɣ a n	h a l g a n	h a l g a n	h a l g a										a l g a n				
1121_252_wormn			k ʊ l ɪ k a n	k u l i + k aː n	k u l iː k a n	k u l i k a n	k u l i k aː n							k o l i x aː n		k ɔ + lʲ ɛː	k ʊ l e x aː n		k u l i g a s a̰		
1122_253_yellow								s u j ɛ n	s u j a n	s o j a n	s u w a j a n	s o j a	s w oː g dʒ w o n		s ɔː g dʒ ɔ	s ɔː g d ɔ			s o g dz o	s oː g dʒ o	s u j ɑ n
1126_253_yellow		h i ŋ a m a		s i ŋ a m a										s e ŋ ɣ a j iː n			ʃ e ŋ a r e n	ʃ ɪ ŋ a			
1128_254_2plpronoun	ħ uː	h uː	s uː	s ʉː	ś/ʃ uː	h uː	h uː	s u		s uː	s u w ə	s uː	s w u/w ə	s uː	s u	ʃ uː	ʃ uː	s u	s uː	s uː	s o
112_38_hornn	k oː j e	i j ə			i j ə	i j ə	i j ə	q u j ɛ n						g o j a							
113_38_hornn			i j ə	ɨ j ə					w əi x ə	j ə	w əi x ə		x w u j ə	iː j ɵː	i j ə	x u j ə	iː g ə	iː ɣ	i/j e	x u j ə	v i x
115_39_this	e w u w	ə r	ə r i	ə r	ə r e	ə r i	ə r e	ɜ i	ə r ə	ə j	ə r ə	əi	ə j	ɵ j	əi	ə r i	ə r i	ə r i	əi	ə j	ɘ r
116_40_fishn								i m a x ɑ	n i m u x a	e m a χ a	n j i m a χ a	e m a χ a									n i m x ɑ
117_40_fishn													s w o ɢ d a t a		s o g dʒ a s a	ʃ u ŋ d ɑ tː ɑ			s u g dz æ	s o g d a t a	
118_40_fishn	oˤ/o ʕ l r aˤ/a ʕ	o l d o	o l d o	o l d o	o lː o	o lː o	o l d o			o l o				o l o			ɔ l ɔ				
11_5_mouthn	aˤ/a ʕ m ŋ aˤ/a ʕ	a m ŋ a	a m ŋ a	a m ŋ a	a m ŋ a	a mː a	a m ŋ a	a m ŋ ə	a ŋ g a	a m ŋ a	a ŋ ɢ a	a m ɢ a	a ɴ m a	a m ŋ a	a mː a	ɑ ŋ m ɑ	a m ŋ a	a mː a	a ŋ m a	a ŋ m a	ɑ ŋ
120_41_yesterday								ɕ i kʰ s ə	ʃ i s ə n ə ŋ g i	s j i k s ə	s j i k s ə	s j i k s ə + s j i k s ə ɲ i	tʃ i s əː n i/j ə							t i s ə	ʈʂ h ɘ k s ɘ n ɘ ŋ
121_41_yesterday	t iː n i w	t ɨ n iː w ə	t iː ɲ i b ə	t ɨː n ə w ə	t ɨː ɲ i w ə		t iː ɲ i w ø							t iː n u w ɵ j	t i n ə w i	tʃ ɛː nː ɛː	t iː n ə w ə	t iː n u ɣ	t i n ə n ə ŋ i		
122_42_drinkv		u m	ɪ m ɪ	u m	u m	u m	u m	ɔ m i	u m i	o m j ɪ	o m j i	o m j e	o m j e	o m	i m j i	u m i	e m	ɪ m ɛ	u m i	o m o	œ m i
124_43_black	ħ aˤ/a ʕ q aˤ/a ʕ r iˤ/i ʕ n							s a kʰ a r kʰ i	s a x a l i a n	s a q a l k j ɪ n	s a χ a l j i j a n	s a χ a r j e	s a χ a r j e n		s a q ai	s aː r i				s a x a r j e	
129_43_black		k o ŋ n o m o	k o ŋ n o r ɪ n	k o ŋ n o m o	k o ŋ n o m oː	k o ŋ n o m o	k o ŋ n o m o							k o ŋ n i j iː n			k ɔ ŋ n ɔ r e n	x ɔ nː ɔ r ɪ ŋ			
12_6_tonguen	i/j e n ŋ e		i nː i	ɨ nː ɨ				i l ə ŋ q u	i l ə ŋ g i	i l ə ŋ g u	i l ə ŋ g u	s j i r m ə	s i ŋ m w u	i ɲː i	i ŋ i	ʃ i n u	i ŋː i	i ŋ i	i ŋ i	s i ɲ u	i l i ŋ
131_44_naveln									ə l ə ŋ g u		u l ə ŋ g u		x w u j m w u	u ŋ ɲ ə n		x u n u				x u ɲ u	u l u ŋ
132_44_naveln		tʃ u m u r ə	ts u ŋ u r	tʃ ʉ ŋ ʉ r əː	tʃ u m u r ə	tʃ u m uː r ə	ś/ʃ u m u r ə	ʨh/tɕʰ u ŋ ə l i		tʃ u ŋ u r u	tʃ u ŋ g u r u	ts u m u r u		tʃ o ŋ ɣ o j o	tʃ o ŋ o		tʃ ʊ ŋŋ/ŋː ʊ r ʊ	s ə ŋ u r	ts o ŋ o		
134_45_standv	iˤ/i ʕ l g e m	i l	ɪ l ɪː	i l i + t	i l	i l	i l i	i l i	i l i	e l + tʃ ɪ	i l j i	e l j e s j e	e l e s e	e l i t	i l j i + s j i	i l i	e l e	ɪ l a	i l j i	e l + s o	i l ɑ
136_46_bitev										s ə p k ə + n ə			s ə k p ə n		s ə pː ə n					s ə q p ə n	
137_46_bitev	iː t m e n															i k t ə m ə n			i k t ə + m ə	i q t ə m ə n	
138_46_bitev											s ai	s j æː									s ɑ
13_6_tonguen		tʃ o l iː			tʃ oː l i	tʃ oː l iː	s oː l iː														
140_46_bitev		k i k	k i k i	k ɨ k	k i k	k i k	k i k i							k e k			k e k	x ɪ x ɛ			
141_47_backn								t a r m a		d a r m a	d a r a	d a r a m a	d a r a m a	d a j a m a	d aː m a	d ɑ r ɑ m ɑ	d a r a m a	d a r a m			d ɑ r ɘ m
142_47_backn															a qː a	a t + t a			a k a		
144_47_backn									f i s a		f j i s a										f i z ɑ
146_47_backn		h o g d o n d o	s o g d o n d o	s ə ɣ d ə nː ə	s o g d o nː o	h o g d o nː o	h o n d o n d o										ʃ i g d ə				
147_48_windn	e d e n		ə d i n	ə d ɨ n	ə d ɨ n	ə d ɨ n	ə d ɨ n	ɜ d i n	ə d u	ə d i n	ə d u n	x ə d u	x ə d w u n	ə d i n	ə d i	x ə d u	ə d i n	ə d i ŋ	ə d i	x ə d u	u d u n
148_49_smoken	ħ aːˁ ɲ iˤ/i ʕ n	h a ŋ ɲ a n	s a ŋ n a n	s a ŋ ɲ a n	s a ŋ ɲ a n	h a ŋ ɲ a n	h a ŋ ɲ a n	ʂ a ŋ n i/j ɛ n	ʃ a ŋ g i a	s a ŋ ɲ a n	ʃ a ŋ g j i j a n	s a ŋ ɲ a	s a ɴ ɲ a n	s a ŋ ɲ a n	s a ŋ ɲ a	s ɑ ŋ n ɑ q ɑ	ʃ a ŋŋ/ŋː a n	s a ŋ a ŋ	s a ŋ ɲ a	s a ŋ ɲ a	s ɑ ŋ ɘ n
14_7_bloodn		h o x s ə	s əː k s ə	s əː k s ə	s oː x s ə	x oː k ʃ ə	h oː k ś/ʃ ə	s ə kʰ s ə	ʃ ə ŋ g i	s ə k s ə	s ə ŋ g j i	s əː k s ə	s əː k s ə	s ɵː k s ə	s əː k s ə	ʃ əː k ʃ ə	ʃ ɐː k ʃ ə	s əː ʃː i	s a k j æ	s əː k s ə	ɕ i ŋ
150_50_what	i aˁ q	eː k u n	i k u n	əː k ʉː n	ə k u n	eː k u n	eː k u n	i a		eː m a	ai	χ ae	χ a j	ɛː x u n	j aː	χ ɑ i	e x ʊ n		j ə̰u	χ a j	ɑ i
152_51_childkintermn	ħ u t	h u t o	h u t ə	h ʉ t ə	h u t ə		h u t ə	x i tʰ ə		f u t ə		f j i k t ə	p i k t ə	x u t ə	x j i t ə	p u tː ə	u t ə		s j i t ə	p j i q t ə	
153_51_childkintermn									dʒ ui		dʒ ui										
157_52_eggn	uˤ/u ʕ m t aˤ/a ʕ	u m u k t a	ʊ m ʊ k t a	u m u k t a	u m u k t aː	u m u k t a	u m u k t a	ɔ m ɔ + kʰ tʰ ə		o m o q t a	u m ɢ a n	o m o q t a	o m w o q t a	o m o k t a	o m o + k t a		ʊ m ʊ k t a	ʊ m a tː	u m u k t a	o m o + q t a	u m x ɑ n
159_53_givev	b oː	b u	b uː	b ʉː	b u	b uː	b uː	p u	b u	b uː	b u	b uː	b w uː	b uː	b uː	b ɵː	b uː	b uː	b uː	b uː	b u
160_54_new			i r k ə kː i n					i r kʰ i kʰ i n	i tʃ ə	i t k ə k j i n	i tʃ ə	s j i k u	s i kʷ uː n	i x i x iː n	i kː əi	ʃ i t əu	i r k ə x i n	i kː i ŋ		s i tʃ əu	i ʈʂ h ɘ
164_54_new		ó/o m a k t a		oː m a k t a	o m a k t a	o m a k t a	oː m a k t a														
165_55_burnintrv			dz ə g d ə	dʒ ə ɣ d ə	ď/d ə g	ď/d ə g		tʃ i k d ə	d ə d i	dʒ ə g d ə	d əi dʒ i	dz ə g d ə	dʒ ə g d ə	dʒ ə g d ə	dʒ ə g d ə	d ə g d ə	dʒ ə g d ə	dʒ ə x d iː	dz ə g d ə	dʒ ə g d ə	
16_8_bonen		g i r a m d a	g ɪ r a m d a	g e r a m d a	g i r a m n a	g i r a m n a	g i r a m d a	k i a m z ə	g i r a ŋ g i	ɢ j ɪ r a m n a	g j i r a ŋ g j i	g j e r m a s a	g j e r m a q s a		g j i a m s a	g i r ɑ p ɸ s ɑ	g e r a m n a	g ɪ r a n d	g j æ m a	g e r a m s a	g i r ɑ ŋ
170_55_burnintrv		l u r g iː					l u r g i											l u gː i			
172_56_not	e	ə	ə	ə	ə	ə	ə	r s ə	k u/w a	ə + s j i		a s j e	a	ə	ə	ə	ə	ə	ə	a s e	q u
173_57_good	aˤ/a ʕ j	a j a	a j a	a j a	a j aː	a j a	a j a	ai		a j a		ae		a j a	a j a	ɑ j ɑ	a j a	a j a	ai a	a j a	
174_57_good												u l ə	u l əː n			u + l i ŋ + g a				u l ə	
176_57_good									s ai n		s ai n										s ɑ n
177_58_knowv	ħ aːˁ	h aː	s aː	s aː	s aː	h aː	h aː	s a j i	s a	s aː	s a	s aː	s aː	s aː	s aː	s aː	ʃ aː	s aː	s aː	s aː	s ɑ
179_59_kneen	ħ e n ŋ e n	h ə n ŋ ə n	h ə nː ə n	h ə n ŋ ə n	h ə n ŋ ə n	h ə ŋ ɲ ə n	h ə n ŋ ə n	x ə r ŋ ə n		x ə ɲ ŋ ə n		f əi ŋ g ə		x ə ɲ ŋ ə n	x ə ŋː ə	p ə n ə	ə ŋː ə n	ə ŋ ə ŋ	x ə ŋ ə	p ə ɲ ə	
17_8_bonen	i k e r i													iː x ə j							
180_59_kneen	b eː l g e																			b ə l dʒ ə	
181_59_kneen									b u x i												b u ɣ o
182_59_kneen												dz a l a	dʒ a l a n								
184_59_kneen	b oˁː/oː q aˤ/a ʕ m																				
185_60_sandn								ʨh/tɕʰ ɔ r ɔ ŋ	dʒ o r o												
187_60_sandn	oˤ/o ʕ ɲ iˤ/i ʕ ŋ															χ ɔ n ɔ q t ɔ			o ɲ o k t o		
188_60_sandn													s e j a n							s e j a	
189_60_sandn			ʃ i r u k	s ɨ r ʉ ɣ ɨː						s j e r o n		s j e r o		s e j u n			ʃ e r g e			s i r u	
18_9_2sgpronoun	ħ iː	h iː	ʃ iː	s ɨ	ś/ʃ iː	h iː	h iː	ɕ i	ʃ i	s j i	s j i	s j i	s i	s iː	s j i	ʃ iː	ʃ iː	ʃ i	s j i	s i	ɕ i
190_60_sandn		i ŋ aː			i ŋ aː		i ŋ aː				j o ŋ ɢ a n							ɪ ŋ a			n i/j o ŋ u n
191_61_laughv	i ɲ	i ɲ ə k t ə	i n ə k t ə	ɨ ɲ ə	i ɲ a k t ə	i ɲ ə k t ə	i ɲ ə k t ə	n i x tʰ ə n ə	i n dʒ ə	i n ə k t ə	i n dʒ ə	i n ə k t ə	i n ə + k t ə	i ɲ ə	i ɲ ə k t ə	i n ə	i ɲ ə k t ə	n ə tː ə	i n ə	i ɲ ə q t ə	i n dʑ i
192_62_hearv	d oˤ/o ʕ l d aˤ/a ʕ	d oː l d ɨ	d oː l d ɪː	d oː l d iː	d oː l d ɨ	d o l d ɨ	d oː l d iː	t ə ɬ d i	d o n d i	d o l d j ɪ	d o n dʒ i	d oː l d j e	d w oː l dʒ e	d oː l d i	d ɔː g d i	d ɔː l dʒ i	d ʊ ɔː l d e	d ɔː l d i	d o g d iː	d oː l d e	d œ n dʑ i
193_63_soilearthn									n a	n aː	n a	n aː	n aː		n aː	n aː			n aː	n aː	n ɑ
194_63_soilearthn		t u k a l a		t u k a l a	t u k a l a			tʰ u kʰ a l a									t ʊ x a l a				
195_63_soilearthn									b ə x o		b oi χ o n										
196_63_soilearthn	t o r													t uː j							
199_64_leafn	e b d e n r e	a b d a n d a		a w d a nː a	a b d a nː a	a b d a nː a	a b d a n d a	a p t a kʰ s ə	a p u x a	a b d a n a	a b d a χ a	χ a f t a ts a	χ a b d a t a	a b d a n a	a b d a s a	χ ɑ m d ɑ tː ɑ	a b d a n a	a b d a nː	a b d æ	χ a b d a t a	ɑ v x
19_10_rootn		d a g a s a n			d a γ/ɣ a tʃ a n		d a r a m u k i n	t a	d a		d a	d aː ts a	d aː tʃ a n	d aː		d aː t ɑ				d aː tʃ a	
200_64_leafn			n a p č/tʃ ɪ														n a b ʊ tʃ e				
201_65_red	ħ uˤ/u ʕ ɫ/lˠ aˤ/a ʕ ɲ aˤ/a ʕ	h oː l b a m a	ʊ l a r ɪ n	h u l a m a		h u l a m a	x o l b a m a	f ʋ ɬ k i/j ɛ n	f u l i a n		f u l g j i j a n	f o l j ɢ æː n		x o l a j iː n			ʊ l aː r e n	ʊ l a r ɪ ŋ	x u l a l j i ɣ j i		f ɘ l g i ɑ n
202_65_red										s ə g dʒ ə n			s əː g dʒ ə n		s əː g dʒ ə	ʃ əː g d ə			s ə g dʒ ə	s əː g dʒ ə	
204_66_livern	ħ aːˁ q aˤ/a ʕ n	h a k i n	h aː k ɪ n	h a k i n	h a k i n	h aː k i n	x aː k i n	χ a kʰ i n	f a x u n	χ a q ɪ n	f a χ uː n	χ a k j e	p aː	x aː x i n	χ a x q j i	p aː χ ɑ	aː k e n	aː x ɪ ŋ	x a̰i	p aː	f ɑ ɣ u n
206_67_hidev															x j i r j i	ɕ i + r i					
207_67_hidev	dʒ aˤ/a ʕ j	ď/d a j a	dz a j a	dʒ a j a			d j a j a			dʒ a j a	dʒ ai l a	dz ae	dʒ a j a		dʒ a j a	d ɑ i	dʒ a j i	dʒ a j ɪ	dz æ	dʒ a j	
208_67_hidev														d i x ə m k ɵː n							
20_10_rootn	ŋ eː ŋ t e		ɲ iː n t ə	ŋ ɨ ŋ t ə	ɲ i ŋ t ə	ɲ i ŋ t ə	ŋ iː n t ə			m ui k t ə		m ui k t ə		n i ŋ t ə	ŋ i ŋ t ə			n iː n t	ŋ i ŋ t ə		
211_68_skinhiden		i r ə x s ə			i r ɵ x s ə	i r ɵ x ʃ ə	i r ə x ś/ʃ ə	ɜ r x ə				x ə r ə k t ə	x ə r ə k t ə			x ə r ə k t ə				x ə r ə q t ə	
212_68_skinhiden	n aˤ/a ʕ n r aˤ/a ʕ		n a n d a	n a n d a						n a n a				n a n a	n a s a		n a n a	n a n d a	n j æ	n a n t a	
213_68_skinhiden									s u g u		s u k uː										s o q o
214_68_skinhiden	i l r e				i lː ɒ																
217_69_suckv											s j i m j i		s e m j e			ʃ i m i		s ɛ m ɪ	s j i m i s j i		ɕ i m i
218_69_suckv		u k u			u k u		u k u			u k u			kʷ uː tʃ i							k uː tʃ i	
21_10_rootn												t ə x ə	t ə x ə	t ə x ə n		t əː kː ə	t ə x ə n			t ə x ə	
220_69_suckv	tʃ iˁː/iː m tʃ aˤ/a ʕ			tʃ ʉ m ə																	
221_69_suckv				n ʉ p k ʉ													l ʊ p k ʊ				
225_70_carryv															x ə bː u				x ə b u		
226_70_carryv										ɢ a ŋ s o		ɢ aː ɲ e + s o	ɢ aː dʒ w o						g a dz i	g a dʒ o	
227_70_carryv		i r u											e r a			i r ɑ				e r a	
231_70_carryv																	dʒ uː				ɖʐ o
232_70_carryv	ŋ e n u			ŋ ə n ə + v		ŋ ə n ə w								ŋ ə n ə + w							
235_70_carryv		ə x s ə		ə k s ə			ə x s j ə														
236_71_antn	ħ iː r i t	i r i k t ɒ	iː r i k t ə	ɨ r ɨ k t ə	i r i k t ə	iː r i k t ə	i r i k t ə	i kʰ tʰ ə + kʰ ə n	i r x u/w ə	i r j i k t ə	j ə r x u w ə	i k t ə k j i	s i l w u k t ə	iː k t ə	iː k t ə	ʃ i r u k t ə	i r i k t ə	iː r ə tː	i k t ə	s e n o n o	n y/j r + n i m ɑ x
238_72_heavy	u r g e	u r g ɵ p tʃ u		ʉ r ɣ ə	u r g ə	u r g ə p tʃ u	u r g ɵ	u r g ə	u dʒ ə	u d j g ə	u dʒ ə n	x ui g ə	x w u j g ə	u j g ə g d i	u gː ə	x u d əu l i	u r g ə	u gː u dː i	u ɣ j i	x u dʒ ə + u l i	u dʑ i n
239_73_takev					ď/d a w a					dʒ ao	dʒ a f a	dz a f a	dʒ a p a		dʒ a w a	d ɑ p ɑ	dʒ a w a		dz a w a	dʒ a p a	ɖʐ ɑ v ɘ
240_73_takev	g aˤ/a ʕ	g a	g a	g a		g a	g a	k ɑ tʃ i						g a				g a d			
243_74_old															ai n aː p t i				a n a p t i		
244_74_old				g o r o p t i						ɢ o r o + p t ɪ		ɢ o r o + f tʃ e	ɢ w o r w o p tʃ i	g o j o p t i		ɢ ɔ r ɔ p tʃ i	g ɔ r ɔ p t e			g o r o + p t e	
245_74_old												b aː l a + f tʃ ɛː								b a l a + p t e	
246_74_old									f o		f ə										f ɘ
248_74_old	i r b e t																	i r ə tː i			
