Cognate_ID,ClassicalNahuatl,JalupaNahuat,MecayapanNahuat,NorthPueblaNahuatl,PajapanNahuat,Pipil,Pochutec,ProtoAztecan,TetelcingoNahuatl
88_tongue,n e n e + p i l + l i,n eː n e p i l,l e n w a,n e n e p i l,n e n e p i l,n e n e p i l,n e n e p í/i l,n ɨ n ɨ + p ɨ l,n e n e p iː l
89_tooth,tɬ a n + tɬ i,t aː n,t a n + t i,tɬ a n,t a n,t a n,,tɬ a n,tɬ a n + k o tʃ
8_black,tɬ iː l + t i k,j a j á/a k,p iː s + t i ʔ,tɬ i l + t i k,p i s + t i k,t iː l + t i k,,tɬ iː l + t ɨ + k,tɬ i l + t iː k
90_tree,k w a w + tɬ,k o i + t,k w a w i + ʔ,k o w i + tɬ,b a w i + t,k w a w i + t,k w a g ú/u + t,k w a + w ɨ + tɬ,k w a b iː + tɬ
91_two,oː m e,uː m e,oː m e,o m e,oː m e,uː m e,o m é/e m,oː m ə,u m e
92_walkgo,n e ʔ + n e m i,n e h + n e m i,n e h + n e m i,n e h + n e m i,n e h + n e m i,n e h + n e m i,u í/i,n ɨ h + n ɨ m i,n e h + n e m iː
93_warmhot,t o + t oː n + k i,t r uː n i k,t o t oː n i ʔ,t o t o n k i,t o t oː n i k,t u t uː n i k,t u n í/i,t o + t oː n ɨ + k,t o t u n + k iː
94_water,aː + tɬ,m aː + t,aː ʔ + t i,a + tɬ,aː + t,aː + t,a + t,aː + tɬ,ø + ts i n + tɬ i
95_we,t e ʔ w aː n,t o h o m e n,t e h a m e h,t e h w a n,t e h a m e h,t e h e m e t,t w é/e n,t ə h a + m ɨ + t,t e h w a
96_what,tɬ e,t a i,t eː,tɬ e n,t eː,t aː,t e,tɬ a,tɬ i n iː n u
97_white,i s t aː k,i s t aː k,i s t aː ʔ,i s t a k,i s t aː k,i s t a k,tʃ u p é/e k,i s t aː + k ɨ,tʃ i pː p ø w a k
98_who,aː k,a i k,aː ʔ,a k i n,aː k,k aː,a k,aː k,ø k iː n u
99_woman,s i w aː + tɬ,s u w a + t,s i w aː + ʔ,s i w a + tɬ,s o áː/aː + t,s i w aː + t,g’ l a s + t,s i,s o w a + tɬ
9_blood,e s + tɬ i,e s + t i,e s + t i,j e s + tɬ i,e s + t i,e s + t i,e s + t,ɨ s + tɬ ɨ,j e s + tɬ iː
