Cognate_ID,Azeri,Baraba,Bashkir,Chuvash,CodexCumanicus,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,NorthAltai,OldUyghur,Salar,SarygYugur,Shor,SouthAltai,Tatar,Tofa,Turkish,Turkmen,Tuvan,Uighur,Uzbek,Yakut
10_ashn,k y l,,k ø l,k ø̆ l,,k y l,k y l,k y l,k y l,k y l,k y l,k y l,k y l,k i l,k y l,k y l,k u lʲ,k y l,k y l,k y l,k u l,k u l,k y l,k y l,k ø l,h y l,k y l,k y l,χ y l,k y l,k u l,k y l
110_in,i tɕ æ r i d æ,i ts i n d ɛ,e s e n d æ,ə ʒ ĭ n ʥ e,i z q a r i,i tɕ i n d e,i s k e,i tɕ j a n ɯ n d a,i ʃ i n d e,i tɕ i n d e,i tɕ k e,ĭ ʃ ĭ n d e,ĭ s t ĭ n d e,i ʨ,i tɕ i n d e,i ʨ i n d e,,i ʃ i n d e,i ʒ i n d e,i tɕ i n t e,i tɕ i,i tɕ i n t e,i ʃ t i n d e,i tɕ i n d e,e tɕ t æ,iˁ ʃ t ĭ n d e,i tɕ i n d e,i tɕ i n d æ,i ʃ t i n d e,i tɕ i d æ,i tɕ i d a,i h i g e r
111_jumpv,a t ɯ l,s æ g i r,h i k e r,s i k,s e k i r,a t l a,o j,a t l a,s e k i r,s e k i r,s e k i r,s e k ĭ r,s e g ĭ r,,s e k i r,a t ɯ l,i d ĭ n,q a r ɣ ɯ,s e k i r,s e k r i,s e k e r,p o q ɯ r,a tː ɯ,s e k i r,s i k e r,ʃ u r a,a t l a,b ø k,χ a l ɯ,s æ k r æ,s a k r a,o j
112_killv,ø l d y r,ø j t i r,y l t e r,v ø̆ l e r,j a r a + e t,ø l d y r,ø l ø r,ø l d y r,ø l t i r,ø l t y r,ø l d i r,ø l t ĭ r,ø d ĭ r,h i l ɛː r,ø l t y r,ø l t y r,øː l y r,ø l t i r,ø l t ø r,ø l y r,ø l t e r,j u l u r,ø d y r,ø l t y r,y t e r,ø l y r,ø l d y r,ø l d y r,ø l y r,ø l t y r,o l d i r,ø l ø r
113_kneen,d i z,t i z i,t u b ɯ q,tɕ ĭ r g u ɕː i,t i s g i,t i z,t o b u k,d i sʲ,d i z e,t o b u q,t y z,t ĭ z e,t ĭ z e k,t iː z,t i z e,t o b u q,t ə s + β aː z ə,t i z,t i z e,t i z,t i z e χ,t e z,t i z e,t i z e,t e z,t ĭ s k e k,d i z,d ɯ z,d i s k e k,t i z,t i z,t o b u k
114_knowv,b i l,p i l,b e l,p ĭ l,b i l,b i l,b i l,b i l,b i l,b i l,b i l,b ĭ l,p ĭ l,b i l,b i l,b i l,p ĭ l,b i l,o ŋ n a,b i l,b e l,p e l,p i l,b i l,b e l,b i l,b i l,b i l,b i l,b i l,b i l,b i l
115_laken,gʲ ø l,k ø l,k y l,k y l ĭ,,g ø l,k y ø l,g ø l,k ø l,k ø l,g e l,k ø l,k ø l,,k ø l,k ø l,k o lʲ,k ø l,k ø l,k ø l,,k ø l,k ø l,k ø l,k y l,h ø l,g ø l,k ø l,χ ø l,k ø l,k o l,k y ø l
116_laughv,gʲ y l,k ø l,k ø l,k u l,k u l,k u lʲ,k y l,g y l,k y l,k y l,k y l,k y l,k y l,k i l,k y l,k y l e,k u lʲ,k y l,k y l,,k u l l i,k y l,q a t q ɯ r,q a t χ ɯ r,k ø l,q aˁ qː ɯ r,g y l,g y l,q a tː ɯ r,k y l,k u l,k y l
117_leafn,j a r p a ɢ,j a p r a q,j a p r a q,ɕ u l ʑ ə,j a p r a c,j a p r a q,h e b i r d e k,j a p r a k,ʒ a p ɯ r a q,tɕ a p r a q,j a p r a q,ʒ a p ɯ r a q,p y r,,ʥ a l b ɯ r a q,j a p ɯ r a q,p yː r,j a p ɯ r a q,tɕ a l b ɯ r a q,j a p ɯ r ɣ a q,j a r f a q,,p y r,ʥ a l b r a χ,j a f r a q,b y r,j a p r a k,j a p r a q,b y r y,j o p u r m a q,,s e b i r d e χ
118_left,s o l,s o l,h u l,,s o l,s o l,k a ŋ a s,s o l + t a r a f,,s o l,s o n,s o l,s o l,,s o l,s o l,s o l,s o l,s o l,s o l,,s o l,s o l,s o l,s u l,,s o l,,,s o l,,χ a ŋ a s
119_legfootn,a j a ɢ,a j a q,a j a q,o r a,a j a c,a j a q,a t a k,a j a k,a j a q,a j a q,a j a k,a j a q,a z a χ,h a d a q,a j a q,a j a q,a z a q,a j a q,b u t,a d a q,a j a χ,a z a q,a z a q,b u t,a j a q,b u t,a j a k,a j a q,b u t,a j a q,ɔ j ɔ q,a t a χ
11_askv,d i l æ,s o r a,h o r a,ɯ j t,c o l,s o r a,k ø r d øː,i s t e,s o r a,t i l e,k o l,s u r a,s u r,,s u r a,t i l e,s u r,s o r a,s u r a,t i l e,,t e l e,s u r a,s u r a,s o r a,t ĭ l e,s o r,s o r a,d i l e,s o r a,s o r a,k ø r d ø s
120_lickv,j a l a,,j a l a,ɕ u lː a,j a l a,j a l a,h a l aː,j a l a,ʒ a l a,ʥ a l a,j a l a,ʒ a l a,tɕ a l ɣ a,j a l ɣ a,ʥ a l a,j a l a,tɕ a l ɣ a,j a l a,ʥ a l a,j a l ɣ a,j a l a,j a ɣ l a,tɕ a l ɣ a,ʥ a l a,j a l a,tɕ ɯ l ɣ a,j a l a,j a l a,tɕ ɯ l ɣ a,j a l a,j a l a,s a l aː
121_liedownv,u z a n,j a t,j a t,v ɯ r t,j a t,j a t,h ɯ t,j a t,ʒ a t,ʥ a t,j a t,ʒ a t,tɕ a t,j aː t,ʥ a t,j a t,tɕ a t,j a t,tɕ a t,j a t,j a t,j a t,tɕ a t,ʥ a t,j a t,ʨ ɯˁ t a r,j a t,j a t,tɕ ɯ t,j a t,j ɔ t,s ɯ t
122_livev,j a ʃ a,y e ʃ ɛ,j æ ʃ æ,p u r ə n,t i r i l,j a ʃ a,o l o r,j a ʃ a,ʒ a s a,ʥ a ʃ a,t i r i l,,tɕ u r t a,,ʥ a ʃ a,j a ʃ a,tɕ u r t a,j a ʃ a,tɕ a t,j a ʃ a,j a ʃ a,j a s a,tɕ a t,ʥ a t,j æ ʃ æ,tɕ e r l æ,j a ʃ a,j a ʃ a,tɕ u r tː a,j a ʃ a,j a ʃ a,o l o r
123_livern,b a ɣ ɯ r,b a w ɯ r,b a w ɯ r,p ø̆ v ø̆ r,,,b ɯ a r,,b a w ɯ r,b a w u r,b a v u r,b a w ɯ r,p aː r,,b oː r,b a w u r,p aː r,b a w ɯ r,b a ɣ ɯ r,b a ɣ ɯ r,p a ɣ ɯ r,p a ɣ ɯ r,p aː r,b uː r,b a w ɯ r,b aː r,,b a ɣ ɯ r,b aː r,b e ɣ i r,,b ɯ a r
124_long,u z u n,u z ɯ n,o ð o n,v ŏ r ŏ m,u z u n,u z u n,u h u n,u z u n,u z ɯ n,u z u n,u z u n,u z ɯ n,u z u n,u z uː n,u z u n,u z u n,u z u n,u z ɯ n,u z u n,u z u n,u z u n,u z u n,u z u n,u z u n,o z ɯ n,u z u n,u z u n,u z ɯ n,u z u n,u z u n,u z u n,u h u n
125_lookv,b a χ,q a r a,q a r a,p ə χ,b a g,b a q,k ø r,b a k,q a r a,q a r a,b a k,q a r a,k ø r,v a q,q a r a,q a r a,k o rʲ,q a r a,k ø r,k ø r,p a χ,q a r a,k ø r,k ø r,q a r a,k ø r,b a k,b a q,k ø r,q a r a,q a r a,k ø r
126_lookforv,a χ t a r,i s t æ,e ð l ɛ,ʃ ɯ r a,i x d a r,q ɯ d ɯ r,k ø r d ø,aː r a,i z l e,i z l e,i z d e,ĭ z d e,t ĭ l e,,i z d e,i z l e,t ĭ l e,i z l e,i s t e,i s t e,i ʃ t æ,t e l e,t i l e,b e d r e,e z l æ,t ĭ l e,a r a,g ø z l e,d i l e,i z d æ,i z l a,k ø r d øː
127_lousen,b i t,,b e t,p ɯ j d ə,b i t,b i t,,,b i j t,b i t,b i t,b i t,p ĭ t,b i t,b i t,b i t,p ĭ t,b i j t,p i j t,b i t,p i tɕ t,p ɯ ʃ t,p i t,b i j t,b e t,b ɯˁ t,b i t,b i t,b ɯ t,p i t,b i t,b ɯ t
128_mann,k i ʃ i,e r,i r + k e ʃ e,a r ʑ ɯ n,e r,e r k e k,e r + k i h i,,e r k e k,e r k i ʃ i,e r k e k,e r k e k,i r + k ĭ z ĭ,h æ r,e r k e k + k i ʃ i,e r k e k,æ r,e r k e k,e r,e r,æ r + k i ʃ i,e r k e k + k i s e,e r + k i ʒ i,e r k i ʒ i,i r + k e ʃ e,e r,e r k e k,e r k e k + a d a m,e r + k i ʒ i,æ r k æ k,e r k a k + k i ʃ i,e r + k i h i
129_many,ʨ o χ,k ø p,k y p,,c ø p,tɕ o q,y g y s,tɕ o k,k ø p,k ø b,k ø p,k ø p,k ø p,,k ø p,k ø p,k o pʲ,k ø p,k ø p,y k y ʃ,k o p,k e p,k ø p,k ø p,k y p,k øˁ p e j,tɕ o k,k ø p,χ ø j,k ø p,k o p,
12_at,d a,t a,d a,r a,d a,,i h i g e r,d a,,d a,d a,,,tɕ a,d a,d a,t a,d a,t a,t a,t a,t a,t a,d a,,d a,t a,d a,d a,d a,,ɣ a
130_meatn,æ t,e t,i t,,e t,e t,e t,,e t,e t,e t,e t,i t,æ t,e t,e t,æ t,e t,e t,e t,e t,j e t,e t,e t,i t,eˁ t,e t,e t,eˁ t,,,e t
131_monthn,a j,a j,a j,u j ə χ,a j,a j,ɯ j,a j,a j,a j,a j,a j,a j,h aː j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,ɔ j,ɯ j
132_moonn,a j,a j,a j,u j ə χ,a j,a j,ɯ j,a j,a j,a j,a j,a j,a j,h aː j,a j,a j,a j ɣ a r aː ɣ ə,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,a j,ɔ j,ɯ j
133_mothern,a n a,e n ɛ,i n æ,a nː e,a nː a,a n a,i nʲ e,a n a,a n a,a n a,a n a,a n a,ĭ ʥ e,,e n e,a n a,i ʥ ɛ m,a n a,e n e,ø g,i ʥ ɛ,a n a,e n e,e n e,a n a,iˁ h e,a nː e,e n e,i j e,a n a,ɔ n a,i j e
134_mountainhilln,d a ɣ,t a w,t a w,t u,t a g,d a ɣ,k a j a,b a j ɯ r,t a w,t a w,t a v,t a w,t a ɣ,t aː ɣ,t oː,t a w,t a ɣ,t a w,t a ɣ,t a ɣ,t a ɣ,t a ɣ,t a ɣ,q ɯ r,t a w,d a ɣ,d a ɣ,d a ɣ,d a ɣ,t a ɣ,t ɔ ɣ,χ a j a
135_mouthn,a ɣ ɯ z,a w ɯ s,a w ɯ ð,ɕ ŏ v a r,a g i s,a ɣ ɯ z,a nʲ a k,aː z,a w ɯ z,a w u z,a v u z,a w ɯ z,aː s,aː ɣ ɯ z,oː z,a w u z,aː ɣ ə s,a w ɯ z,a ɣ ɯ s,a ɣ ɯ z,a ɣ ɯ z,a ɣ ɯ s,a q s ɯ,oː s,a w ɯ z,aː s,a ɣ ɯ z,a ɣ ɯ z,aː s,e ɣ i z,ɔ ɣ i z,a j̃ a χ
136_namen,a d,a t,,j a t,a t,a d,aː t,a d,a t,a t,a d,a t,a t,aː t,a t,a t,a t,a t,a t,a t,a t,a t,a t,a t,a t,a t,a d,a t,a t,a t,ɔ t,aː t
137_narrow,d a r,,t a r,a n z ə r,i n tɕ k a,t a r,k ɯ a r a g a s,d a r,t a r,t a r,t a r,t a r,t a r,t aː r,t a r,t a r,,t a r,ɯ q tɕ a m,t a r,,t a r,t a r,t a r,t a r,t a r,d a r,d a r,t a r,t a r,t ɔ r,k ɯ a r a ɣ a s
138_nasalmucusn,f ɯ r t d ɯ ɢ,,m a ŋ q a,,,,,s y m y k,s i m g i r i k,b u r u n + b o q,b u r u n + j i v i s i,s ĭ ŋ b ĭ r ĭ k,ĭ r ĭ ŋ,b u r ɯ n + s u v ɯ,tɕ i m k i r i k,b u r u n p o q,i r ĭ ŋ,b u r ɯ n b o q,tɕ i m i r i k,j i ŋ,,j e r i n,,tɕ i m i r i k,m a ŋ q a,,s y m y k,s y m y k,d u m aː,m a ŋ q a,m i ʃ i q,s ɯː ŋ k
139_naveln,k ø b æ k,k æ n d i k,k e n d e k,k ŏ v a b a,,k o b e k,,g ø b e k,k i n d i k,k i n d i k,k i n d i k,k ĭ n d ĭ k,k ĭ n,k y n d i k,k i n d i k,g i nː i k,k ĭ n d ĭ k,k i n d i k,k i n d i g,k i n d i k,k i n t i χ,q ɯ n d ɯ q,k i n d i k,q ɯ n,k e n d e k,h i n,g ø b e k,g ø b e k,χ i n,k i n d i k,k i n d i k,k iː n
13_backn,a r χ a,a r ɣ a,a r q a,ɕ u r ə m,a r x a,a r q a,h i s,a r k a,a r q a,s ɯ r t,a r k a,a r q a,a r ɣ a,a r q a,a r q a,a r q a,tɕ aː r ə n,a r q a,a r q a,a r q a,a r ɣ a,a r q a,k ø k s y,b e l,a r q a,oː r h a,a r k a,a r q a,oː r ɣ a,a r q a,ɔ r q a,k ø ɣ y s
140_near,j a χ ɯ n,j a v ɯ q,j a q ɯ n,ɕ ɯ v ə χ,j a o h,j a q u n,tɕ u g a s,j a q ɯ n,ʒ a q ɯ n,ʥ u w u q,j a q ɯ n,ʒ a q ɯ n,tɕ a ɣ ɯ n,,ʥ a q ɯ n,j u w u q,ʨ aː ɣ ə n,j u w ɯ q,ʨ a ɣ ɯ n,j a ɣ u q,j a χ ɯ n,j a q ɯ n,tɕ a ɣ ɯ n,j u u q,j a q ɯ n,tɕ oː ɣ a ʃ,j a k ɯ n,j a q ɯ n,tɕ oː q,j e q i n,j a q i n,tɕ u g a s
141_neckn,b o j u n,m o j u n,m u j ɯ n,m ŏ j,b o j n,b o j u n,m u o j,b o j u n,m o j ɯ n,b o j u n,b o j u n,m o j ɯ n,m o j ɯ n,b uː n,m o j u n,b o j u n,p oː j u n,m o j ɯ n,m o j ɯ n,b o j ɯ n,p o i n ɯ,m o i n,m o j u n,m o j ɯ n,m u j ɯ n,m ø e n,b o j u n,b o j u n,m o j u n,b o j u n,b o j ɯ n,m oː j
142_new,j e n i,j a ŋ a,j a ŋ ɯ,ɕ ĭ n ĭ,j a ŋ i,j a ŋ ɯ,h a ŋ a,j e n i,ʒ a ŋ a,ʥ a ŋ ɯ,j a n ɣ ɯ,ʒ a ŋ a,n aː,j æ ŋ g i,ʥ a ŋ ɯ,j a ŋ ɯ,nʲ aː,j a ŋ ɯ,nʲ a ŋ ɯ,j a ŋ ɯ,j a ŋ ɯ,j a ŋ ɯ,n aː,ʥ a ŋ ɯ,j a ŋ a,nʲ aː,j e n i,,,j e ŋ i,,s a ŋ a
143_nightn,k e ʥ ɛ,t ø n,t ø n,ɕ ø̆ r,t u n,g e ʥ e,t yː n,g e ʥ ɛ,t y n,k e tɕ e,k e ʨ ɛ,t y n,t y n,k iː tɕ æ,t y n,g e tɕ e,t y n,t y n,t y n,t y n,g e ʥ e,t y n,t y n,t y n,t ø n,d y n n e,g e ʥ e,g i ʥ e,d y n e,t y n,k e tɕ a,t yː n
144_nosen,b u r u n,m o r ɯ n,,,b u r u n,b u r u n,m u nː u,b u r n u,m u r ɯ n,b u r u n,b u r u n,m u r ɯ n,p u r u n,b u r ɯ n,m u r u n,b u r u n,p u r u n,b u r ɯ n,b u r u n,b u r u n,p u r n ɯ,q a ŋ r ɯ q,p u r n u,t u m tɕ u q,b o r ɯ n,h aː j,b u r u n,b u r u n,χ aː j,b u r u n,b u r u n,m u r u n
145_not,m a,m a,m a,m a,m a,m a,b a,m a,m a,m a,m a,m a,b a,m a,b a,m a,b a,m a,b a,m a,m a,m a,p a,m a,m a,b a,m a,m a,m a,m a,m a,m a
146_old,,e s k i,i θ k e,k i v ĭ,e s k i,e s k i,e r g e,e s k i,e s k i,e s k i,e s k i,e s k ĭ,i r g ĭ,,e s k i,e s g i,æ r g e,e s k i,e s k i,e s k i,e s k i,e r k e,e s k i,e s k i,i s k e,eˁ r h i,e s k i,,e r g i,æ s k i,e s k i,e r g e
147_one,b i r,p i r,b e r,p ĭ r,b i r,b i r,b iː r,b i r,b i r,b i r,b i r,b ĭ r,p ĭ r,b iː,b i r,b i r,p ĭ r,b i r,p i r,b i r,b i r,p e r,p i r,b i r,b e r,b ĭ r,b i r,b i r,b i r,b i r,b i r,b iː r
148_openv,a tɕ,a ts,a s,u ɕ,a tɕ,a tɕ,a r ɯ j,a tɕ,a ʃ,a tɕ,a tɕ,a ʃ,a s,h a tɕ,a tɕ,a tɕ,a tɕ,a ʃ,a tɕ,a tɕ,a tɕ,a ʃ,a ʃ,,a tɕ,aˁ ʃ,a tɕ,a tɕ,a ʒ ɯ t,a tɕ,ɔ tɕ,a s
149_other,b a ʃ ɢ a,p a ʃ q a,b a ʃ q a,u r ə χ,o z g a,b a ʃ q a,a t ɯ n,b a ʃ k a,b a s q a,b a ʃ χ a,b a s k a,b a s q a,p a s χ a,iː z æ,b a ʃ q a,b a ʃ ɣ a,p a s q ə,b a s q a,a r t a n,a d ɯ n,a r t ɯ n ʥ ɯ,,p a ʃ q a,ø s k ø,b a ʃ q a,b aˁ ʃ q a,b a ʃ q a,b a ʃ ɢ a,ø s k e,b a ʃ q a,b ɔ ʃ q a,a t ɯ n
14_bad,j a m a n,j a m a n,a l a m a,,i a m a n,j a r a m a j,k u h a g a n,,ʒ a m a n,a m a n,j a m a n,ʒ a m a n,,,ʥ a m a n,j a m a n,ʨ y β y r,j a m a n,ʥ a m a n,j a m a n,j a m a n,j u s,tɕ a b a l,ʥ a m a n,j a m a n,ʨ a r aː n d a,k ø t y,j a m a n,b a ɣ a j,j a m a n,j ɔ m ɔ n,k u h a ɣ a n
150_personn,,k i ʃ i,k e ʃ e,ɕ ɯ n,k i s i,,k i h i,,,,k i ʃ i,k ĭ s ĭ,k ĭ z ĭ,,k i ʃ i,g i ʃ i,k ĭ z ĭ,k i s i,k i ʒ i,k i ʃ i,k i ʃ,k i s e,k i ʒ i,k i ʒ i,k e ʃ e,k i ʃ i,k i ʃ i,,k i ʒ i,k i ʃ i,k i ʃ i,k i h i
151_playv,o j n a,o j n a,u j n a,v ɯ lʲ a,o j n a,o j n a,oː j nʲ oː,o j n a,o j n a,o j n a,o j n a,o j n a,o j n a,oː n a,o j n a,o j n a,o j n a,o j n a,o j n a,o j n a,o j n a,o j n a,o j n a,o j n o,u j n a,o j n a,o j n a,o j n a,o j n a,o j n a,ɔ j n a,oː n nʲ oː
152_pullv,tɕ æ k,t a r t,t a r t,t u r t,t a r t,t a r t,t a r t,tɕ e k,t a r t,t a r t,t a r t,t a r t,t a r t,tɕ æ k,t a r t,t a r t,t a r t,t a r t,t a r t,t a r t,t aː t,t a r t,t a r t,t a r t,t a r t,t ɯˁ r t,tɕ e k,d a r t,t ɯ r t,t a r t,t ɔ r t,t a r t
153_pusn,i r i n,æ r æ ŋ,e r e n,p y r,,i r i n,,i j r i n,i r i ŋ,i r i n,i r i n,ĭ r ĭ ŋ,ĭ r ĭ ŋ,,i r i ŋ,i r i n,,i r i n,,j i r i ŋ,j i r e ŋ,,i r i ŋ,i r i ŋ,e r e n,i r i ŋ,i r i n,i r i ŋ,i r i ŋ,ʒ i r i ŋ,j i r i ŋ,i r i ŋ e
154_pushv,i t æ l æ,,e t,t ø̆ k,,i t e r,y t,i t i r,i j t e r,t e b e r,i j t,i t e r,ĭ t,,i t e r,t e b e r,i t l e,i j t e,i t,,i ʃ t,i ʃ i t,i t,i j t,e t ɛ r,iˁ t,i t,i t e l e,i t,i ʃ t æ r,i t a r,a s
155_putonv,k e j,k æ j,k e j,t ŏ ɣ ŏ n,k e j,k i j,k e t,g i j,k i j,k i j,k i j,k i j,k i s,k æ d,k i j,g i j,k æ sʲ,k i j,k i j,k e d,k i j,k e z,k e s,k i j,k i j,k e t,g i j,g e j,k e t,k i j,k i j,k e t
156_rainn,j a ɣ ɯ s,j a n ɣ ɯ r,j a m ɣ ɯ r,ɕ u m ə r,j a m g u r,j a ɣ ɯ s,h a m ɯː r,j aː m u r,ʒ a w ɯ n,ʥ a ŋ u r,j a m ɣ u r,ʒ a ŋ b ɯ r,n a ŋ m ɯ r,j a ɣ ɯ s,ʥ a m ɣ ɯ r,j a ŋ u r,s u ɣ,j a m ɣ ɯ r,nʲ a ŋ m ɯ r,j a ɣ m u r,j a ɣ m u r,j a ɣ m ɯ r,n a ɣ b u r,ʥ aː ʃ,j a ŋ g ɯ r,øˁ s k e n,j a ɣ m u r,j a ɣ ɯ s,,j a m ɣ u r,j ɔ m ɣ i r,s a m ɯː r
157_raw,tɕ i j,j æ ʃ,s e j,tɕ ĭ r ĭ,tɕ i j g,tɕ i j,h iː k e j,tɕ iː,ʃ i j k i,tɕ i j,tɕ ɯ j,ʃ i k ĭ,tɕ ĭ g,,tɕ i j k i,tɕ i j,,ʃ i j,tɕ i g,j i g,,,tɕ ɯ ɣ,tɕ i j,tɕ i,tɕ i ɣ,tɕ ɯ ɣ,tɕ ɯ ɣ,tɕ i g,,,s iː k e j
158_red,,q ɯ z ɯ l,q ɯ ð ɯ l,χ ĭ r l ĭ,q e z e l,k ɯ z i l,k ɯ h ɯ l,,q ɯ z ɯ l,q ɯ z ɯ l,k ɯ z ɯ l,q ɯ z ɯ l,χ ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ĭ z ĭ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ s ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,q ɯ z ɯ l,,ɢ ɯ z ɯ l,q ɯ z ɯ l,q i z i l,q i z i l,k ɯ h ɯ l
159_remainv,ɢ a l,q a l,q a l,j u l,a r t,q a l,k aː l,k a l,q a l,q a l,k a l,q a l,χ a l,q aː l,q a l,q a l,q a l,q a l,q a l,q a l,q a l,q a l,q a l,a r t,q a l,q a l,k a l,ɢ a l,a r t ɯ p + q a l,q a l,q ɔ l,χ aː l
15_barkn,ɢ a b ɯ ɢ,q a b ɯ q,q a b ɯ q,χ u b ə,c a b u c,q a b u q,k a t ɯ r ɯ k,k a b u k,q a b ɯ q,q a b u q,k a b u k,q a b ɯ q,χ a χ p a s,q aː a s,q a b ɯ q,q a b u q,q a q β a ʨ,q a b ɯ q,q a ɣ a ʃ,q a d ɯ z,k o χ,q a z d ɯ q,q a q p a ʃ,tɕ o b r a,q a b ɯ q,ʨ øˁ p r ɛː,k a b u k,ɢ a b ɯ q,ʨ ø v y r eː,q o v z a q,,χ a t ɯ r ɯ k
