Cognate_ID	Gangwon	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan
111_rope	s ɛ t + k i	s ɛ t + k i	s ɛ t + k i	p ɛ		s ɛ t + k i	s ɛ t + k i	s ɛ t + k i	s a n + n ɛ t + k i	s ɛ t + k i	s ɛ t + k i	s ɛ t + k i	s ɛ t + k i	s ɛ t + k i	s ɛ t + k i
112_rotten	s͈ ə + k u + s ə	s ə k		s ə k	p s ə k	s͈ ə + k u + s ə	s ə + k u + n i				s͈ ə + k u + s ə	s ə + k u + n i		s͈ ə + k u n	
113_round	t͈ u ŋ + g ɨ + ɾ ə	t u ŋ + g ɨ l		t ɛ ŋ + g u + ɾ a	t u ŋ + g ɨ l	t͈ u ŋ + g ɨ l	t͈ u ŋ + g ɨ + ɾ u p		t͈ u ŋ + g ɨ l		t͈ u ŋ + g ɨ + ɾ ə t	t͈ u ŋ + g ɨ l		t͈ u ŋ + g ɨ + ɾ ə	
114_salt	s o + g o m	s o + g o m	s o + g o m	s o + g o m	s o + k o m	h o + dʑ ə m	h o + dʑ ə m	t a p + s ɨ ŋ	s o + g o m	s o + g o m	h o + dʑ ə m	s o + g o m	t a p + s ɨ ŋ	s o + g o m	s o + g o m
115_sand	m o ŋ + k ɛ	m o + ɾ ɛ	m o l + g ɛ	m o l + l ɛ	m o + ɾ ɛ	m o ŋ + k ɛ	p u l	m o + s ɛ	m o k + s ɛ	m o l + g ɛ	m o + s ɛ	p u l	m o l + g ɛ	p o k + s ɛ	m o l + k ɛ
116_sea	p a + d a	p a + d a	p a + d a	p a + ɾ ɨ t	p a + d a	p a + d a	p a + d a	p a + d a	p a + t ɛ	p a + d a	p a + d a	p a + d a	p a + d a	p a + d a	p a + d a
117_seed	s͈ i + k a t	s͈ i + a t			p s i	s͈ i + k a p + s i	s͈ i + k a m	s͈ i + k a t		s͈ i + k a t		s͈ i + k a t	s͈ i + k a t	s͈ i + k a t	
118_seven	i l + k o	i l + k o p			n i l + k o p	i l + k o	i + i l + k o p		i l + k o			i l + k o		n i l + k o p	
119_sharp		n a l + k a + ɾ o p			n a l + n ɨ i									n a l + k a m	
11_belly	p ɛ	p ɛ	p ɛ	p ɛ		p ɛ	p ɛ	p ɛ	p ɛ	h ə + b u k	p ɛ	p ɛ	p ɛ	p ɛ	p ɛ
120_short	tɕ͈ a l	tɕ͈ a l		tɕ͈ o + ɾ ɨ	t dʑ ə + ɾ ɨ	tɕ͈ a l	tɕ a + ɾ i	t͈ a k	tɕ͈ a + ɾ u p	t a l	tɕ͈ a l	tɕ a + ɾ i		tɕ a l + ɾ u p	t a l
121_shoulder	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə + k ø	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə k + k ɛ	ə k + k e	ə k + k ɛ	t e + s u + g i	ə k + k ɛ
122_shyashamed	n a m + s a + s i + ɾ ə p	p u + k͈ ɨ + ɾ ə p		p u + tɕʰ i + ɾ ə p		p u + k͈ ɨ + ɾ ə p	p u + k͈ ɨ + ɾ ə + w ə + s ə		tɕʰ u + ɟ ə p + s i + ɾ ə p	s͈ u + w a k + s ɨ + ɾ ə p		p u + k͈ ɨ + ɾ ə + b ə + s ə	dʑ e l	tɕʰ u + ɟ ə p + s ɨ + ɾ ə p	
123_six	dʑ e + s ə	dʑ e + s ə t		dʑ a + s ə t	dʑ e + s a t		dʑ e + s ə			dʑ e + s ɨ t		dʑ a + s ə t	dʑ e + s ɨ l	n dʑ ə + s ə t	dʑ e + s ɨ t
124_skin	s a l + k a t	s a l + k a t			s a l	s a l + k a t	s a l + k a t		s a l + k͈ ə + ɟ u k		s a l + k a t	s a l + k͈ a t			
125_sky	h a + n a l	h a + n u l			h a + n a l	h a + n a l	h a + n a l		h a + n a l		h a + n u l	h a + n a l		h a + n u l	
126_small	tɕ ə k	tɕ a k		tɕ o k	tɕ a k	tɕ ə k	s͈ o k		tɕ͈ a k		tɕ ə k	tɕ o + k͈ e n + tʰ a		tɕ ə k	
127_smell	n ɛ m + s ɛ	n ɛ m + s ɛ			n ɛ	n ɛ m + s ɛ	n ɛ m + s ɛ				n ɛ m + s ɛ	n ɛ + m i		n e m + s i	
128_smoke	dʑ ə n + g ɨ j	dʑ ə n + g ɨ j	n ɛ	n ø	n ɛ	n ɛ	dʑ ə n + g ɛ	n ɛ + g u l	dʑ e ŋ + g ɨ j	n ɛ	n ɛ	dʑ ə n + g i	n ɛ + g u + ɾ i	dʑ ə n + g ɨ j	n ɛ
129_smooth		p u + d ɨ + ɾ ə p		p u + d ɨ + ɾ ə + p a + s ə	p u + d ɨ + ɾ ə p							p u + d ɨ + ɾ ə + b ə + s ə		p u + d ɨ + ɾ ə + b ə + s ə	
12_below	m i + tɕʰ i	m i + t e		m i + tʰ i	a + ɾ a	m i + t e	m i + t ɛ		m i + tʰ i		m i + t e	m i + t ɛ		m i + t e	
130_snake	tɕ i n + ɟ a + i	p ɛː + dʑ a m	p ɛː + dʑ a m	p ɛː + dʑ a m	p a + dʑ a m	p ɛː + dʑ a m	k u + ɾ i	p ɛː + dʑ a m	p ɛː + dʑ a m	k i n + d a + i	p ɛː + dʑ a m	k u + ɾ ə + i	k i n + d ɛ + i	p ɛː + dʑ a m	p ɛː + dʑ a m
131_snow	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n	n u n
132_some		m dʑ e t + m dʑ e t			m dʑ e t + m a t										
133_spider	k ə + m u	k ə + m i	k ə + m e		k ə + m ɨ i	k ə + m u	k ə + m u		k ə + m u	k ə + m u	k ə + m u	k ə + m u		k ə + m u	k ə + m e
134_star	p iː l	p j ə l	p j ə l	p e l	p j ə l	p iː l	p iː l	p e + ɾ i	p j ə l	p j ə l	p iː l	p iː l	p e l	p e l	p e l
135_stickwood	tɕ u + ɾ ə ŋ	m a k + t ɛ + g i	m a ŋ + t u + k͈ e + i	m a k + t ɛ ŋ + g i	m a k + t a + h i	tɕ a k + t͈ ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i	tɕ͈ a k + t ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i	m a k + t ɛ + g i
136_stone	t o l	t u k		t o k	t o l	t o l + m ɛ ŋ + i	t o l + p͈ i ŋ + i		t o k		t o l + m ɛ ŋ + i	t o l + m i ŋ + i		t o k	
137_straight	t͈ o k + p a + ɾ ɨ	p a + ɾ ɨ			k o t	k o k	t͈ o k + p a + ɾ ɨ				k o k	t͈ o k + p a + ɾ ɨ		p͈ a n + t ɨ t + h ə + d a	
138_sun	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ
139_tail	k͈ o + ɾ i	k͈ o + ɾ i	k͈ o ŋ + dʑ i	tɕʰ o l + ɾ i	s k o + ɾ i	k͈ o + ɾ i	k͈ o + ɾ i	k͈ o + ɾ i	k͈ o + ɾ a ŋ + d ɛ ŋ + g i	k͈ o + ɾ ɛ ŋ + i	k͈ o + ɾ i	k͈ o + ɾ a ŋ + d ɛ ŋ + g i	k͈ o + ɾ i	tɕʰ o l + ɾ i	k͈ o + ɾ i
13_big	k ə + d ɨ + m a	k ɨ			k ɨ	k ə + d a + ɾ a	k ə				tɕ͈ i + d ɨ + ɾ ə t	k ə ŋ + k͈ e + n a		m a + n a	
140_ten		n dʑ ə l			dʑ ə l	n dʑ ə l		dʑ a l			n dʑ ə l		dʑ a l		
141_that		k ɨ			k ɨ					t e + k u					
142_thatchroof		tɕ i + b u ŋ		tɕ i + b o ŋ + k͈ u		tɕ i + b ə ŋ	tɕ i + b o ŋ		tɕ i + b ə ŋ	n dʑ ə ŋ	tɕ i + b ə ŋ	tɕ i + b o ŋ		tɕ i + b o ŋ + k͈ u	tɕ i + b o ŋ
143_there	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g ɨ i	tɕ ə p + tɕ a k	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i	tɕ ə + g i
144_they		k ɨ + t ɨ l			k ɨ + i + t ɨ l										
145_thick	k u k	k u l		h u k	k u l	k u k	k u k	m o + d i l	tʰ u ŋ + g ə p		k u k	tʰ u k + kʰ u		tʰ u ŋ + g ə p	
146_thin		dʑ a l			dʑ ə l					dʑ a l + p a n + dʑ a l + p a n		dʑ a + s a k			dʑ a l + p a n + dʑ a l + p a n
147_this		i			i										
148_thou	n ə	n ə	n ə	n ə + n ø	n ə	n ə	n ə	n ə	n ə	n ə	n ə	n ə	n ə	n ə	n ə
149_three	s ə + i	s e t		s i t	s e	s ə + i	s ɛ t	s ə + i	s ə + i	s ə + i	s ə + i	s ə + i	s ə + i	s e	s ə + i
14_bird	s ɛ	s ɛ	s ɛ	s ɛ ŋ + i	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ	s ɛ
150_thunder	tɕʰ ə n + d o ŋ	tɕʰ ə n + d u ŋ				tɕʰ ə n + d o ŋ	tɕʰ ə n + d o ŋ		tɕʰ ə n + d o ŋ		tɕʰ ə n + d o ŋ	tɕʰ ə n + d o ŋ		tɕʰ ə n + d o ŋ	
151_tobite		m u l			m ɨ l										
152_toblow		p u l			p u l										
153_tobreathe		s w i			s w i										
154_toburn	t a + s ə	t a		kʰ a	t a	t a n	t a n					t a n			
155_tobuy	s a n	s a n	s a n	s a n	s a	s a n	s a n	s a n	s a n	s͈ a n	s a n	s a n	s a n	s a n	s a n
156_tochew	s͈ i m + n ɨ n	s͈ i m + n ɨ n		n ə + ɨ l	s i p	s͈ i m + n ɨ n	s͈ i m + n ɨ n		s͈ i m + n ɨ n		s͈ i m + n ɨ n	s͈ i m + n ɨ n		s͈ i m + n ɨ n	
157_tochoose	k o + ɾ ɨ n	k o + ɾ ɨ		k o + ɾ ɨ n	k o + ɾ ɨ	k o + ɾ ɨ n	k e + ɾ i n	k o l			k o + ɾ ɨ n	k a l + ɾ i n	k o l	tɕʰ i + ɾ i n	
158_toclimb	o + ɾ ə ŋ + k͈ e	o + ɾ ɨ + n i		o + ɾ ɨ + n i	o + ɾ ɨ	o + ɾ ə ŋ + k͈ e	o + ɾ ə ŋ + k͈ e		o l + ɾ a + g a n		o + ɾ ə ŋ + k͈ e	o + ɾ ə + i		o + ɾ ɨ + n i	
159_tocome		o			o										
15_black		k͈ ə m			k ə m		s ɛ + kʰ a + m a					s i + k͈ u + m ə		k͈ ə m	
160_tocook	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i		dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i	dʑ o + ɾ i
161_tocount	h e	s e			h dʑ ə	s i	s i	h dʑ e	s i		s i	s i		s i	
162_tocry		u l			u l										
163_tocuthack	tɕ a + ɾ ɨ n	tɕ a + ɾ ɨ		tɕ a + ɾ ɨ n		tɕ a + ɾ ɨ n	tɕ a + ɾ ɨ n	tɕ a l	tɕ a + ɾ ɨ n		tɕ͈ a + ɾ ɨ + n i	k͈ ə + k͈ ə + n i	tɕ a l	tɕ a + ɾ ɨ n	
164_todiebedead		tɕ u k			tɕ u k										
165_todig		p a			p a										
166_todream		k͈ u m + k͈ u			s k u m + s k u										
167_todrink		m a + s i			m a + s i										
168_toeat	m ə ŋ + n ɨ n	m ə ŋ + n ɨ n	s ɨ n	m ə ŋ + n ɨ n	m ə k	m ə ŋ + n ɨ n	m ə ŋ + n ɨ n	s͈ ɨ n	m ə ŋ + n ɨ n	s ɨ n	m ə ŋ + n ɨ n	m u ŋ + n ɨ n	s͈ ɨ n	m u ŋ + n ɨ n	s ɨ n
169_tofall	tɕ i n	t͈ ə + ɾ ə + tɕ i n	tɕ i n	tɕ i n	p t ə + ɾ ə + t i	tɕ i n	n ə l + dʑ͈ u n	tɕ i n	tɕ i n	tɕ i n	tɕ i n	n ə l + tɕ͈ a n	tɕ i n	tɕ i n	tɕ i n
16_blood		p i			p i										
170_tofear		t u + ɾ dʑ ə + w ə		tɕ ə + t ɨ n	t u + ɾ dʑ ə										
171_tofight	t a + t u n	t a + t u n		s͈ a p	t a + tʰ o	t a + t u n	t a + t u n	t o + t u		t a + t u n		t a + t u n	t o + t u	s͈ a m + h a n	t a + t u n
172_tofloat		t͈ ɨ			p t ɨ										
173_toflow	h ɨ + ɾ ɨ n	h ɨ + ɾ ɨ		h ɨ + ɾ ɨ n	h ɨ + ɾ ɨ	h ɨ + ɾ ɨ n	h ɨ + ɾ ɨ n					h ɨ + ɾ ɨ n			
174_tofly		n a l			n a l										
175_tofreeze	ə n	ə l		ə l + ɾ ɨ i	ə	ə l + k u n	ə l + k u n					ə n		ɨ n	
176_togive	tɕ o	tɕ u			tɕ u										
177_togrow	tɕ i l + g u	k i + ɾ ɨ n	k i l + l ɨ n	tɕ i l + l ɨ n	k i + ɾ ɨ	tɕ i l + g u	k i + ɾ ɨ n	tɕ ɛ + ɾ ɛ + u	tɕ i l + g u		k i + ɾ ɨ n	k i + ɾ ɨ n	tɕ a + ɾ i + u n	kʰ i + u n	
178_tohear	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ t	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n	t ɨ n + n ɨ n
179_tohide	k a m + tɕʰ u n	s u m + k i	s u m + k i		s u m	s u m + k i n	k a m + tɕʰ u n + n ɨ n		s u m + k i n			s u m + k͈ u	p ɛ + k i	s u m + k i n	
17_bone	p͈ e	p͈ e		k͈ w a ŋ	s p dʑ ə	p͈ ɛ	p i + g a n + ɟ i		p͈ e	p͈ e + d a + g u	p͈ e	p͈ e k + t a + g u		p͈ i t + t a + g u	p͈ e + d a + g u
180_tohit		tɕʰ i			tɕʰ i										
181_tohold	u ŋ + k i	tɕ a p		s i m + n ɨ n	tɕ a p	p u + t ɨ l	tɕ a + p a + s ə		tɕ a m + k u n		tɕ a m + k u n	tɕ a + p a + s ə		tɕ a + b u n	
182_tohunt	s a + dʑ a ŋ	s ɛ + n dʑ a ŋ			s a + n dʑ ə ŋ			s a + dʑ a ŋ		s ɛ + n a ŋ			s a + dʑ a ŋ		
183_tokill		tɕ u + g i			tɕ u + g i			s a l + tɕʰ a							
184_toknowbeknowledgeable		a l			a l										
185_tolaugh	u n + n ɨ n	u			u t	u n + n ɨ n	u n + n ɨ n					u + s ə + n i		u	
186_toliedown	n u + u n	n u p		n u k	n u p	n u m + n ɨ n	n u m + n ɨ n		n u p		n u n	n u + u t		n u + ə + s͈ ɨ n	n u + b u n
187_tolivebealive		s a l			s a l										
188_toopenuncover		dʑ e l			dʑ e l	t͈ a						k͈ e + ɾ a	dʑ e l + k ɨ		
189_toplant	s i ŋ + g u n	s i m + n ɨ n	s i + m ə	s i m + g ɨ n	s i + m ɨ	s i m + g u n	s i + m u n + n ɨ n	s u m + g u	s i m + n ɨ n	s i + m ə	s i m + n ɨ n	s u n + g u n	s u m + g u	s u m + g u n	s i + m ə
18_branch	a + tɕʰ i	k a + ɟ i	k a + ɟ i	k a + ɟ i	k a + tɕ i	k a + ɟ i	k a + tɕ a ŋ + i	a + tɕʰ i	k a + ɟ ɛ ŋ + i	a + tɕ a ŋ + g u	k a + ɟ ɛ + i	k a + tɕ a ŋ + g u	a + kʰ a + ɟ i	k a + ɟ i	a + tɕ a ŋ + i
190_toplay		n o l			n o l										
191_topoundbeat	p ɛ ŋ	t͈ ɛ + ɾ i n		t͈ ɔ + ɾ i n		t͈ ɛ + ɾ i n	t͈ ɛ + ɾ i n		t͈ ɛ + ɾ i n		t͈ ɛ + ɾ i n	t͈ ɛ + ɾ i n		t͈ ɛ + ɾ i n	
192_topull		t a ŋ + g i			t a ŋ + k i		t ɛ ŋ + i					t ɛ ŋ + i		t͈ i ŋ + g i	
193_topush	m i n	m i l			m i l	m i n	m i + n i					m i + n i		m i + k ɨ l	
194_torub	m u n + tɕ i l + ɾ ɨ n	m u n + tɕ i + ɾ ɨ			s p i + p ɨ i	m u n + tɕ i l + ɾ ɨ n	m u n + d ɛ n	m u n + ɟ i	m u n + ɟ i + ɾ ɨ n			m u n + t͈ ɛ + n i	m u n + ɟ i	m u n + d ɛ n	
195_tosay		m a l			m a l										
196_toscratch	k ɨ k	k ɨ k		k ɨ k	k ɨ l	t ɨ l + m ə k + k ə + ɾ i n	k ɨ k		k ɨ k		k ɨ k	k ə n + tɕ i n		k u k	
197_tosee		p o			p o										
198_tosew	k͈ o + m ɛ	k͈ o + m ɛ				k͈ o + m ɛ	k͈ o + m ɛ	tɕ i p + ə + m e		k͈ u + ɾ e + m ɛ		k͈ o + m ɛ		k͈ u + m ɛ	k͈ u + ɾ e + m ɛ
199_toshoot	s͈ o n	s͈ o n			s͈ o	s͈ o n	s͈ o n		s͈ o n		s͈ o n	s͈ o n		s͈ a n	
19_breast	k a + s i m	k a + s ɨ m		k a + s i m	k a + s a m	k a + s i m	k a + s u m		k a + s i m		k a + s i m	k a + s i m		k a + s i m	k a + s i m
1_above	u	u i		u	u	u	u		u + g u		u i + e	u		u i + tɕ a ŋ	
200_tosing		n o + ɾ ɛ + b u + ɾ ɨ			n o + ɾ ɛ + b u + ɾ ɨ										
201_tosit		a n		a t	a n										
202_tosleep	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n	tɕ a n
203_tospit	p ɛ + a t	p ɛ t		p a + k͈ ɨ	p i + a t	p ɛ + t ɨ n	p ɛ + t a + s ə	p i + b a t	p ɛ + m a t	p i + a t	p ɛ + a t	p ɛ + t ɨ n	p i + a t	p i + a t	p i + a t
204_tosplit	k a + ɾ i n	k a + ɾ ɨ		k a l + ɾ ɨ n	k a + ɾ ɨ	k a l + ɾ i	n o ŋ + k i n	k a l	k a + ɾ i n		k ɛ + ɾ i	n o ŋ + g ɨ + ɾ i n	k a l	k a + ɾ u n	
205_tosqueeze	tɕ͈ a n	tɕ͈ a		tɕʰ o		tɕ͈ a n	tɕ͈ a + n i					tɕ͈ a + n i			
206_tostabpierce		tɕ͈ i + ɾ ɨ			tɕ͈ i + ɾ ɨ			tɕ i l		t i + ɾ ɨ			tɕ i l		t i + ɾ ɨ
207_tostand		s ə			s dʑ ə			s dʑ ə l							
208_tosteal	s͈ ɛ + b i n	h u m + tɕʰ i		k o p + tɕʰ i n	i l + w i t	h u m + tɕʰ i n	s͈ e + b i n			m u n + t ɛ		t͈ u ŋ + tɕʰ i n		t o m + b u n	m u n + t ɛ
209_tosuck	p͈ a n	p͈ a n		p͈ ɔ n	s p a	p͈ a n	p͈ a n		p͈ a n		p͈ a n	p͈ a n		p͈ a n	
20_child	ə l + ɾ a	ə + ɾ i n + ɛ		h ɛ t + a + i	a + h i	ə n + n ɛ	ə l + ɾ a	ə + e i n + a	k͈ a n + n a + n i			ə l + ɾ a	ə + e i n + a	k͈ a n + n a + i	
210_toswell		p u t		p u + s i	p u t									p u + k u	
211_toswim		h ə + ə m			h ə + dʑ ə m					h e m					
212_tothink	h e + a + ɾ i n	h e + a + ɾ i n	s i n	h e + a + ɾ i n	h e + a + ɾ i	s i + a + ɾ i n	s e + a + ɾ i n	s e n	s i + a + ɾ i n	h e n	s i + a + ɾ i n	s e + a + ɾ i n	h e + a + ɾ i n	s i + a + ɾ i	
213_tothrow	t ə n + tɕ i n	t ə n + tɕ i		t e + k͈ i	t ə + d dʑ e	t ə n + tɕ i n	t ə n + tɕ i n	t ə + ɟ i	t ə n + tɕ i n	t ə + d i	n ɛ + p ə n + tɕ i n	n ɛ + p͈ i n	t ə + ɟ i	t ə n + tɕ i n	t ə n + d i
214_totieupfasten	t o ŋ + k i n	ə ŋ + n ɨ n			ə l + k ə + m e	ə ŋ + n ɨ n	ə l + l ɨ n				ə ŋ + n ɨ n	ə l + l ɨ n		tɕ͈ a m + m e n	
215_toturn	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i	t o l + l i n	t o l + l i n	t o l + g u n	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i n	t o l + l i n
216_tovomit	o l + ɾ a + o n	t o	d o l + ɾ u	n ɛ + tɕʰ i	k ɛ + o	k e + u n	o l + ɾ i n			d o + k͈ u	k i	k e + u n		n ə m + k i n	d o + k͈ u
217_towash	s i + tɕʰ i n	s͈ i t			s ɨ t	s i + tɕʰ i n	s i + k͈ u + s ə		s i + tɕʰ i		s͈ i n + n ɨ n	s i + k͈ u + s ə		s i + k͈ ɨ	
218_towipe	h ɨ l + k i n	h u m + tɕʰ i		h u m + tɕʰ i n	p s ɨ l	h u m + tɕʰ i n	h u m + tɕʰ dʑ ə + s ə			m u n + t ɛ		h u m + tɕʰ ə + s ə		h u m + tɕʰ i n	m u n + t ɛ
219_towork		i l			i l										
21_claw		s o n + t o p		s o n + k͈ o p	s o n + t o p		s o n + t o p		s o n + t o p			s o n + t͈ ɨ p		s o n + t o p	
220_toyawn		h a + p ɨ m		h a + u i + dʑ e m	h a + p ɨ i + o m	k u + p u m	h a + p ɨ m		h a + dʑ e m			h a + p ɨ m		h a + ɨ m	
221_tongue	h dʑ ə	s e + p͈ a + d a k	s e	s e + k͈ a + d a k	h dʑ ə	s e + p͈ a + d a k	h e	s e + t͈ ɨ j	s e + p͈ a + d a k	h ɛ	s ə + p͈ a + d a k	s ɛ	s e + t͈ ɛ	s e + p͈ a + d a k	h e
222_tooth	i	i	i	n ɨ j + p͈ a l	n i	i	i	i	i + p͈ a + ɟ i	n i	i	i + p͈ a + d ɨ j	i	i + p͈ a l	n i
223_tree	n a ŋ + g u	n a + m u	n a ŋ + g u	n a + m u	n a + m o	n a ŋ + g u	n a ŋ + kʰ i	n a ŋ + g i	n a + m u	m u + t u	n a + m u	n a + m u	n a + m u	n a + m u	m u + t u
224_twenty	s u + m u l	s u + m u l		s u + m u l	s ɨ + m ɨ l	s u + m u l	s ə + m u l		s u + m u l		s u + m u l	s u + m u l		s u + m ə l	
225_two	t u + n a	t u l	t u + h ɨ l		t u l	t u + k ɛ	t u + k ɛ		t u + u l	t u + u l	t u + k ɛ	t u	t u + h ɨ l		t u + u l
226_walk	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ	k ə ɾ
227_warm	t͈ a + s i	t͈ a + t͈ ɨ t		t a t + t a t	s t a + s t a		t͈ a + s i	t͈ a + t͈ a + s a		t͈ a + t͈ a t		t͈ a + s i	t͈ a + t͈ a + s a		t͈ a + t͈ a t
228_water	m u l	m u l	m u l	m u l	m ɨ l	m u l	a m	m u l	m u l	t͈ a t + tɕ i n	m u l	a m	m u l	m u l	m u l
229_we		u + ɾ i			u + ɾ i										
22_cloud	k u + ɾ u m	k u + ɾ u m		k u + ɾ u m	k u + ɾ u m	k u + ɾ u m	k u + ɾ u m		k u + ɾ u m		k u + ɾ u m	k u + ɾ u m		k u + ɾ u m	
230_wet	tɕ ə t	tɕ ə t		tɕ ə t	tɕ ə t	tɕ ə t	tɕ ə t					tɕ ə t		tɕ ə t + d a	
231_what	m ə + s i + g i	m u + ə t		m u + s i + k u	m ɨ + ə t			m u + s ɨ + k u					m u + s ɨ + k u		
232_when		ə n + tɕ e		ə + n ɨ + tɕ e	ə n + tɕ e	w e n + tɕ e				w e n + tɕ e	w e n + tɕ e	o n + tɕ e			w e n + tɕ e
233_where	w ə + d i	ə + d i			ə + d ɨ i		u + t e	ə + d ɨ + m e		ə + d i + m e	w ə + d i	u + t e	ə + d ɨ + m e		ə + d i + m e
234_white	h a + dʑ a	h a + dʑ a		h a + dʑ a ŋ	h a + dʑ a	h a + dʑ a	h a + dʑ a		h a + dʑ a t	s͈ e	h a + dʑ a	h u + dʑ ə t		h u + dʑ e + d a	s͈ e
235_who	n u + g u	n u + g u			n u	n u + g u	n u + g a	n w i + k w i			n u + g a	n u	n w i + k w i		
