Cognate_ID	Arak	Arem	Bahnar	Bit	Bonda	Bru	BruVK	Bugan	Car	Chong	ChongH	Chrau	Cuoi	Dakkang	Deang	Didra	Gantang	Guanshuang	Hadang	Halang	Hre	Hu	Iduh	JahHut	Jahai	Je	Jeh	Jru	Juang	KSurin	Kadong	KahoChil	Kantu	Kasong	Katu	Kensiw	KhaPhong	Khamet	Khang	Kharia	Khasi	Khme	Khmer	Khmu	KorCua	Korku	Ksinmul	Kui	KxinhMul	LaoKatu	Liha	MBunong	MDip	MRolom	Ma1	Ma2	Mak	Malieng	Mane	Mang	Mangan	Mlabri	Mon	Mundari	MuongKoi	Nancawri	Neu	Nge	Nhaheun	Nyakur	Ong	Oy	Pakoh	Paliu	Pangpin	Panong	Parengi	Phong	PhongV	Plang	Pray	Rengao	Ruc	Rumai	Samre	Santali	Sedang	Semai	Semelai	SemoqBeri	Shuangdiang	So	Sora	Sre	Stieng	Taoi	Taoih	Tariang	Temiar	Tempuan	Thavung	ThavungSo	ThoMon	Tri	Tuum	Veh	Vietnamese	Wa	Yongde
19_drink	c/ts ɦ w ɔ k	ɲ ù/u ʔ	ɲ a	t ɛ ŋ	u ʔ	ŋ ua j ʔ B/²	ŋ ua j ʔ	p i ³¹	ɔ + k ə	th/tʰ a j B/²	th/tʰ a ʔ j A/¹	h u c/ts	ɲ o ³¹	ʔ ə m	rh/rʰ ǒ/o p	ʔ u ʔ L/⁵⁵	k ə p ⁵⁵	ɲ ə ʔ ²	ʔ o ʔ	h u t	ʔ o ʔ	p i ŋ ⁵⁵	c/ts ɔ̂/ɔ n	w ə h	h u c/ts	h a t ³⁵	h u t T/¹⁵	ʔ o k	u r	ph/pʰ ʌ ʔ	ʔ o h	ɲ o	ŋ ɔ c/ts	t a l B/²	ʔ o m	b u ʔ	c/ts u ŋ ³³ˀ/³³	th/tʰ ɛ ŋ ⁵⁵	k l ə n ⁴⁵	u ḍ/ɖ	d i h	th/tʰ e ŋ ³³	ph/pʰ ɨ k	ʔ ɨə k	h o t	n u	ʔ u k	ŋ ə + ŋ ua c B/²	ʔ u k ⁵⁴	ŋ ɔ c/ts	ɲ o ³¹	ɲ e t	ŋ e t	ɲ e t	h ə́/ə c/ts	ɲ ə w	ŋw/ŋʷ ai ʔ	c/ts u ŋ ¹³	ʯ ɨ p ³³	ʔ ɔ ʔ ⁵¹	ćh/tɕʰ ia ŋ ⁵¹	w ə k	s u ŋ	n u	ɔ ŋ ³	t ó/o p	ŋ ɔ t	ŋ ɔ c/ts	ʔ o k	ch/tsʰ o ŋ ¹	ŋ ɔ j B/²	ɲ e t	ŋ ɔ j ʔ	ʔ u t ⁵³	p u p ⁵⁵	h u p	g i + ḍ/ɖ a ʔ	s ə n	ɲ o ²¹	ɲ ɨ ⁵¹	n th/tʰ ə l	ʔ u ʔ L/⁵⁵	ɲ u ⁴	c/ts o ŋ ⁵¹	t a r C/³	ɲ u	ʔ o w L/⁵⁵	ŋ u t	j ʔ ɔ h	dʑ ə ʔ o h	th/tʰ ia ŋ ⁵¹	ŋ ɔ j t	g a	ɲ o	ʔ o n	ŋ ɔ j ʔ A/¹	ŋ ɔ c/ts	s e t	ʔ ɔ k	ai c/ts	ɲ û/u ʔ B/²	ŋ u ²	ʔ ɔ ŋ ³⁴³ˀ/³⁴³	ŋ uə i ʔ	ɲ o ²¹	s e t	uố/uo ŋ	rh/rʰ ɨ p	kh/kʰ ɛ t ¹³
1_all	h o c/ts		d a p	t a ŋ k ə m + t ə	g u l a y	p ə b ə t		kh/kʰ ɔ ŋ T/¹⁵ ¹³		th/tʰ a ŋ C/³ + a t A/¹	t a ŋ B/² + a t A/¹	l ɛ ʔ + l a w ʌ n	m ɔ j ³¹	h ə r e + l u k	p ai + t ǔ/u r	d i ʔ L/⁵⁵ + d ə g ŋ L/⁵⁵		ui k ¹	kh/kʰ u	s i t	d i ʔ L/⁵⁵ + d ɔ ŋ		d a ŋ l ɛ ʔ		s ə m w ɛ j	b a l ³³ + h a j ³³	n i ʔ T/¹⁵ + n a dʒʰ T/¹⁵	t o c + ʔ ŋ ia ʔ	s a b r oi	t â/a ŋ + ʔ â/a h		dʑ ə h + ʔ a l a ʔ	ʔ a p e	th/tʰ a ŋ E/⁵ + o t C/³	ʔ a p	s ʌ d n + m w ã ʔ	s uo n ³³	k o ³⁵	ʔ a n ³²	s a b	b a r o h	t ɨ ŋ ³¹ + p ɨ t ³³	d a ŋ	s a m	k a l u h	p a r	ʔ e	ch/tsʰ i m B/²	v ie n ⁴⁵	c/ts u ŋ	k a ³⁴ + h e t ³⁴	l ɛ ʔ + r ŋ o c/ts	d ɨ ŋ + nd/ⁿd ə	l ɛ + m ə t	th/tʰ u j	sw/sʷ e h	ɛ t ɲ ɛ ʔ	b ə n ²²⁴	əi k ¹	p l a ŋ ⁵¹ + p l ö/o ʔ ³⁵	ćh/tɕʰ a ŋ ³³ + k ɔ k ³³	p a + t o k	p a ʔ ui t	s o b e n	k a ⁴	ʔ u m + t ú/u m	th/tʰ ə ŋ + s i m	t o c/ts	t o c/ts	th/tʰ a ŋ ²	p a ŋ + ʔ ə j ʔ	t o c/ts		t u ³³		k a l o h	s o b u		k a ⁴⁴ + h e t ²¹	t a ŋ ³¹ + ʔ əi k ⁵¹	m o t + p ɨ ŋ	d i ʔ T/¹⁵ + d a ŋ L/⁵⁵	h i t ³	p a ⁵⁵ + p ɛ ⁵⁵ + m ɛ h	th/tʰ a ŋ C/³ + a t A/¹	dʑ o t o	t u m T/¹⁵	d i c/ts	s ə b ə r o h	n a h r o h	c̣/ʈʂ a m ³³ + k au k ³¹	ɲ i ʔ	k u d u b	dʑ ə h	l ɛ ʔ	ʔ ə j ʔ A/³⁴ + s ɔ ŋ A/¹	ʔ əi ʔ	g ə l u c/ts	k e m b ö/o h	t i ʔ		h ɨ t ¹	m ɔ j ³⁴³ˀ/³⁴³	ɲ ɛ ʔ	k a ²¹² + h e t ²¹²	l a m	c/ts a ʔ	kh/kʰ ɔ m A/³⁴ + ʔ ui k A/¹	h o ³¹ + l ɛ n ⁵¹
20_dry	h ə k ɔ h	kh/kʰ ɔ		r a ŋ	n s ɔ r	r â/a h B/²	kh/kʰ ə w	ch/tsʰ iu ⁵⁵	ɲ ɔ	ph/pʰ a h C/³	p a h B/²	r ə ɲ	kh/kʰ ɔ ³³	h ə g ɔ h	kh/kʰ ɔ t	h r i ŋ		k r o h ¹	h r i ŋ	s r iə ŋ	k r ɔ h	a ʔ ³³ + ɔi n ³³	r ɔ̂/ɔ		k r i ŋ	r a k ³¹	r a ŋ T/¹⁵	s r a ŋ		s ŋ ô/o t	h r i ŋ	r ə s ɔ h	s r ə ʔ	p ɔ h A/¹	s r ʌ ʔ	k a s ɛ w	z a ŋ ³³ˀ/³³	ɔ n ³¹	kh/kʰ o ⁵⁵	k o s o r	r y kh/kʰ ia ŋ	ʔ ɔ n ⁵¹	s ŋ uə t	h ə n t a ŋ	t ɛ h	l o k o r		s ə ʔ ʌ t N/⁵	kh/kʰ o ³³	r a ŋ	kh/kʰ ɔ o ³³	s ə h	s ə h	r a ɲ	k r ú/u	k r o	s ə ʔ ə t	d j a ŋ ⁴¹ ʔ	k ə ʔ o h	b ua n ⁵¹	kh/kʰ r ɔ ³³	s r ɔ n	s ə m k a h	r o r̥ o		h i j ə́/ə h	b ə b l iə ŋ	c/ts ə r i o ŋ	s r a ŋ	c/ts ə k a s ¹	s r ɛə ŋ B/²	c/ts r a m	p r ɛ ŋ	h ɣ ɔ k ⁵³		r a k	a s a r	p a h + ʔ ə	s a w ⁴⁴	s a ³¹ + ʔ o h ⁵¹	th/tʰ a ŋ	s r i ŋ L/⁵⁵	kh/kʰ o ¹	kh/kʰ ɔ h ⁵¹	p ɔ h B/²	r o h o r̥	r a ŋ T/¹⁵	h o c/ts	k r e ŋ		kh/kʰ r ɔ ³¹		a s a r	r a ɲ	s ə d ɨə ʔ	s r ɛ ŋ C/³	ṭ/ʈ o ʔ L/⁵⁵	g ɔ h	k a r ɛ h		h ɔ h B/²	h ɛ ŋ ²	x o ³³	s ə ʔ ʌ t	kh/kʰ a w ⁴⁵	g â/a h	kh/kʰ ô/o	k r o h	s i + v o n ³³
21_ear	n t o	th/tʰ a j	d o n	t o r	l u n t u r	k ə t ɔ r N/⁵	k u t u r T/¹⁵	p a ⁵⁵ + c ɛ ³⁵	n a ŋ	p l a ŋ C/³	p l a ŋ C/³	t o r	s a j ³³	t u ŋ	lh/l̥ ɛ ʔ ɜ ǒ/o ʔ	d oa n	ʃ o k ⁵⁵	dʒʰ a k ¹	dw/dʷ a n	p o t B/²	d ɔ n	l ə ³³ + ç o k ³¹	k ɛ ʔ	n t a ŋ	ʔ ə n t e ŋ	p ə́/ə t ³⁵	p a t L/⁵⁵	p i t	l u t u ḍ/ɖ	t c i ʔ	t w a n	t o r	k i t ɛ r	p l a ŋ C/³	k ə t â/a r	ʔ ə n t e ŋ	s a j ¹³	l a ʔ ⁵³ + s o k ¹¹	t o l ³²⁴	l u t u r	sh/sʰ k o r	l a k ³¹ + s i o k ⁵⁵	t r ə c iə k	r ə m ə j	t o l	l u t u r	h ə l t o l	k ə t ɔ r N/⁵	h ə n t o l ⁴⁵	k i t o r	s a j ³³	t o r	t o r	t o r	t u r	t u r	k a t o r	s a j ³³	dʒʰ u k ³⁵	l a ŋ ⁵¹ + t e ³¹	l ɛ ³³ + s uə k ⁵¹	k e t	k a t o w	l u t u r	s a j ²	n á/a ŋ	k ə t o j	k a ʔ t o r	p i t	k ə t uə r ¹		t ə r p i t	k u t o r T/¹⁵	l ɔ ¹¹ + tʃ j ai ⁵⁵	ʃ o k ⁵¹	p ə́/ə ʔ	l u ʔ n	k ə t	p a t ⁴⁴ + s ai ²⁴	j a ³¹ + j u k ⁵¹	n th/tʰ o r	d o n T/¹⁵	s a j	ch/tsʰ o k ⁵⁵	p l a ŋ B/²	l u t u r	t ua n T/¹⁵	n t a k ŋ	t ə ŋ	n t ə ŋ	ʂ ɔ k ⁵¹	k u t u r	l ʔ u d	t o r	t o r	k a t o r A/¹	k i t o r T/¹⁵	t u ŋ	g ɛ n t ɔ k	t a w r	s a j C/³	s u s a j ²	s a j ⁴³	k a t u r	p a t ³³ + s a j ⁴⁵	p ə t	t ai	dʒʰ au k	k a ³¹ + ç o p ⁵¹
22_earth	t ə n ɛ h	a t a k	t ɛ h	d ə r	t u b u k	k ə t ɛ ʔ N/⁵	k u t e ʔ N/⁵	j ã T/¹⁵ ¹³	t u m + l a t	th/tʰ e ʔ A/¹	th/tʰ e ʔ A/¹	n t ɛ h	t ə t ²⁴	k ə t ia k	k a + t ai	t ə n e h	th/tʰ u t ³³	t e ʔ ¹	h n i h	t ə n ɛ h	t a n ɛ h	th/tʰ i ³¹ + kh/kʰ ou ⁵⁵	b a t â/a j	t e ʔ	t e ʔ	m ɛ ³⁵	ʔ n ɛ h	p ə t ɛ h	m o ɲ c o	d ɛ j	h n i h	u ʔ	k a t ɛ a k	th/tʰ e A/¹	k ə t ie k	t ie ʔ	m a t ²² + a t a k ¹³	ph/pʰ ə n ³¹ + th/tʰ ɛ ʔ ⁵³	t iə ⁴⁵	l o g + kh/kʰ a	p y r th/tʰ ei	ph/pʰ ə n ³¹ + th/tʰ e p ⁵¹	ṭ/ʈ i	p ə t e ʔ	b ə r i	k a s a	k ə t e	k ə t ɛ ʔ N/⁵	k ə t ɛ ³³	k a t ia k	t ə t ²⁴	n ɛ h	n ɛ h	t e h	t ɛ a h	t ɛ h	k a t ɛ ʔ	m ʌ t ¹³ + a t a k ¹	k ə t e ³⁵	t ɛ ³⁵	a ³³ + th/tʰ e ⁵¹	b ɛ ʔ	t i	o t e	d ə t ³	r ú/u ʔ	k ə t ɛ ʔ	k a t iə k	b r ɛ h	t i ʔ ¹	k a t ɛ ʔ	b ə d ɛ h	k u t iɛ k T/¹⁵	ʔ a n ⁵⁵	th/tʰ e ʔ ⁵¹	k a n ɛ h	l o b o ʔ	p t e j	t i t ⁴⁵	k a ³¹ + t ɛ ⁵¹	s i k	t ə ʔ n i h T/¹⁵	b ə n ³	k ə ⁵⁵ + t ai ⁴¹²	th/tʰ e C/³	h a s a	t ə n e j L/⁵⁵	t e ʔ	ʔ a t ɛ	ʔ a t ɛ	th/tʰ ei ³¹	k a t ɛ ʔ	l ə b ó/o	u	s ə t ɛ h	k a t ɛ ʔ A/¹	k a t e k	n ɛ h	t ɛ ʔ	t ɛi h	ʔ a t a k ²⁴	ʔ a t a k ¹	t ə t ³¹	k a t ɛ ʔ	t ə t ⁴⁵	h ə n ɛ h	ɗ ấ/a t	h a k B/² + t ɛ ʔ	t u k ⁵¹
23_eat	c/ts a	ʔ a n	s a	t u ʔ	s u m	c/ts a N/⁵	c/ts a	c/ts ou T/¹⁵ ³¹	ɲ a	ch/tsʰ a A/¹	ch/tsʰ a A/¹	s a	ʔ a n ³³	c/ts a	h ɔ m	k a ʔ	n a ⁵⁵	p r a ʔ ²	k a ʔ	ch/tsʰ o ŋ B/² + c/tsʰ a	k a ʔ	kh/kʰ ai ³³	c/ts â/a	c/ts a ʔ	ɲ ɛ m	c/ts a ³³	c/ts a T/¹⁵	c/ts a	dʑ i m	s i	c/ts ə j	s a	c/ts a c a	ch/tsʰ a A/¹	c/ts a	c/ts i ʔ	ʔ a n ³³	kh/kʰ ai ³¹	t u ʔ ⁴⁵	ɲ o g	b a m	h ai ³¹	ch/tsʰ i	m a h	s a	dʑ o m	c/ts a	c/ts a N/⁵	c/ts a ³³	c/ts a	ʔ a n ³³	s a	s a	s a	s a	s a	c/ts a	ʔ a n ³³	s o m ³⁵	s a ⁵⁵	n a ʔ ⁵⁵	ʔ ə	c/ts a	dʑ o m	a n ²	o k + ŋ ô/o k	c/ts a	c/ts a	c/ts a	c/ts a ʔ ¹	c/ts a B/²	c/ts a	c/ts a	c/ts ɔ ⁵⁵	n a ʔ ⁵⁵	s a	g a ʔ	s a	ʔ a n ²⁴	ʔ e ŋ ³³	p ɔ ŋ	k a ʔ T/¹⁵	ʔ a n ¹	h o m ⁵¹	c/ts ɛ n B/² + c/tsʰ a A/¹	dʑ o m	k a L/⁵⁵	c/ts a ʔ	c/ts a	c/ts a	n a ¹¹	c/ts a	dʑ u m	s a	s a	c/ts a C/³	c/ts a	c/ts a	c/ts a ʔ	s a	ʔ a n	ʔ a n ³	ʔ a n ³³	c/ts ɔa	ʔ a n ⁴⁵	c/ts a	ă n	s ɔ m	n a m ⁵¹
24_egg	k ə n t a p	u l u l ʔ	k ə t a p	k ɨ d a ŋ	n t ɔ ʔ	n t r e l B/²	t a r e l N/⁵	th/tʰ a m ³³	u + h ə	t u ŋ A/¹	t o ŋ A/¹	c/ts a p	k l ə ŋ ³⁴	k ə l i h	k r au	ch/tsʰ t a ʔ	th/tʰ a p ³¹	t o m ¹	t a p	k ə t a p	k a t a p	n + th/tʰ a m ⁵⁵	p l â/a	p ə ŋ l u ŋ	m a k ɔ ʔ	h l ɛ ³⁵	t ə t a p	k l ɛ	s u s u t e ḍ/ɖ	p uə ŋ	t a p	t a p	t r ə r ɛ a l	t u ŋ A/¹	a k ɔ n	m a k ɔ ʔ	t a r u r ³³	th/tʰ a m ³⁵	k l o ŋ ⁴⁵	a n ḍ/ɖ a	p y ɭ e ŋ	th/tʰ a m ³³	b ɔ ŋ	k ə d o ŋ	k a t a p	a t k o m	k l o ŋ	n th/tʰ r e l B/²	k ə l ɔ ŋ ⁴⁵	k ə l ɔ ŋ	k l ə ŋ ³⁴	t a p	t a p	t a p	t a p	t ə p	n t r iə l	t l u ɨ ³³	t ɔ m ¹	g ɣ ua ³⁵	n th/tʰ a p ⁵⁵	kh/kʰ a j	kh/kʰ ə m ai	dʑ a r o m	t l ə ŋ ³	h u j á/a ʔ	l iə B/²	t a r e	k l ɛ	ph/pʰ ɔ ŋ ²	t r iə l	t l ɛ	t r ia l T/¹⁵	th/tʰ a m ¹³	dh/dʰ a p ⁵⁵	k a t a p	a r i ʔ	p l ɛ	k l ə ŋ ⁴⁴	k a ³¹ + t ɔ m ³³	t ɔ ŋ	k ə t ao T/¹⁵	t u l u rh/rʰ ³	b ə n ⁴¹²	t u ŋ A/¹	b e l e	k ə t a L/⁵⁵	p ŋ l ə k ŋ	k a p ɔ h	k a p ɔ h	dh/dʰ a p ³³	c/ts i r ɛ l	a r + r e	t a p	t a p	t r ia l C/³	a k ɔ n	l ɛ h	t a b	k ə t a p	t a ʔ l û/u n ʔ B/²	t a l u n ²	ṭ/ʈ ə ŋ ³⁴³ˀ/³⁴³	n t r ɛə l	k l ə ɨ ŋ ²¹²	k l ɛ h	t r ɨ n g	t ɔ m	ph/pʰ a p ¹³
25_eye	m a t	m ầ/a t	m a t	p ə ŋ ai	m ɔ ʔ	m a t B/²	m əa t	p ə ⁵⁵ + m ɛ ³³	m a t	m ə t C/³	m ə t B/²	m a t	m a t ³¹	m a t	ŋ ai	m a ʔ	th/tʰ u ³¹ + ŋ ai ³¹	ŋ ai ¹	m a t	m a t	m a t	ç a k ⁵⁵ + ŋ ai ³³	m ɔɛ ʔ	m a t	m i t	m a t ³⁵	m a t T/¹⁵	m a t	o m o ḍ/ɖ	ph/pʰ n e ʔ	m a t	m a t	m a t	m a t A/¹	m a t	m e t	m a t ¹³	s a ʔ ⁵³ + ŋ ai ³¹	k ɛ n ³³ + ŋ a j ⁴⁵	m o ḍ/ɖ	kh/kʰ y m a t	s a k ⁵⁵ + ŋ ai ⁵¹	bh/bʰ ə n ɛ k	m a t	m a t	m e d	m a t	m a t B/²	k ɛ n ⁴⁵ + m a t ⁴⁵	m a t	k l o ŋ ⁴³ + m a t ³¹	m a t	m a t	m a t	m a t	m a t	m a t	m ə t ²¹³	ŋ ai ³⁵	m a t ⁵¹	ŋ ai ⁵¹	m a t	m a t	m e d	m a t ⁵	ʔ u m á/a t	m a t	m a t	m a t	m a t ²	m a n N/⁵	m a t	m a t	lˠ ai ⁵³ + m a t ³¹	ŋ ai ⁵¹	m a ʔ	m a ʔ n	m a t	m a t ⁴⁴	ŋ ai ³³	k ɛ n + m a t	m a t T/¹⁵	m əʌ t ⁴	ŋ ai ⁴¹²	m a t B/²	m e t	m a L/⁵⁵	m a t	m ɔ t	m a d	ŋ ai ⁵¹	m a t	m ʔ o d	m a t	m a t	m a n ʔ A/¹	m a t	m a t	m a d	m a t	m a t	kh/kʰ a l ɔ ŋ ³	m a t ³⁵	m əa t	k l ao ŋ ³³ + m a t ³³	m a t	m ắ/ă t	ŋ ai	th/tʰ u ³¹ + ŋ ai ⁵¹
26_fatn	kh/kʰ a j	t l ù/u ŋ	r ə m a ʔ	m a n + p a n	k i r i	n s i ŋ N/⁵	n s e ŋ T/¹⁵	ɲ i ³³		p ɨ t A/¹	p r e ŋ A/¹	l a b a w	m ə ³¹	h ə s ia ŋ	p r ia ŋ	n ə m a ʔ	ph/pʰ r e ŋ ⁵¹	k l ui ŋ ¹	nʒ/ⁿdʑ i ŋ	b ə d r ia ŋ	r a m a ʔ	m a n ³¹ + p a n ³¹	j a k â/a r	g ə n a m ɔ k	g ə m u ʔ		p ə d r e ŋ T/¹⁵	p u k	b o s o	kh/kʰ l a ɲ	ʔʒ/ˀdʑ i ŋ	t ə ŋ i		p ɨ h A/¹	n s ie ŋ	t ɔ c/ts	n t u ¹³	m + ph/pʰ ɛ ŋ ³⁵	m ɨ j ⁵⁵	l a k a r	k a kh/kʰ l ei ɲ	dh/dʰ ai ŋ ³¹ + p i ⁵¹	kh/kʰ l ɔ ɲ	m ə j	p a t ɛ k	c/ts a r b i		n c/tsʰ ɛ ɲ N/⁵	n a ³² + m a n ³	s ia ŋ	m ə ³¹	nd/ⁿd ə r + ŋ i	ŋ i	n t r ie ŋ	p r a j ʔ	p r a j ʔ	n c/tsʰ i ŋ	m ə ⁵¹ˀ/⁵¹	l a ʔ + u lh/l̥ ¹	p ua ŋ ³⁵	m a n ⁵¹	m ɨ j	k l e ŋ	i t i l	m ə ²	j á/a	s ɛ ŋ	n s ie ŋ	k l ɛ + p u k	k ə l i ɲ ¹	h a n + s ɛ m B/²		n s ɛ ŋ			d iə k		s k a l	kh/kʰ ai ²⁴	l a ³¹ + m a n ³³	kh/kʰ a j + m a n	r ə m a ʔ	k l u ŋ ²	p i o ŋ ⁵¹	k i ɲ C/³	i t i l	r ə m a L/⁵⁵	l ʔ u s	b ə c u ʔ	b ə c u ʔ	m a n ³³	n s ɛ ŋ	k á/a r i	d ə ŋ i	w i r	ɲ c/tsʰ ɛ ŋ C/³	n s ia ŋ T/¹⁵	l ə ŋ	l ɛ n ʔ ɔ s	p o ŋ	h a ʔ + t u C/³	ʔ a t u ²	m ə ⁴³⁴	n s ɛ ŋ	kh/kʰ a j ⁴⁵ + m aə ²¹	r ə m a ʔ	m o	b ɨ	ph/pʰ l i ŋ ³¹ + s a ⁵⁵
27_feather	s ə s ɔ k		s ɔ k	d ɔ ŋ	b i l e ʔ		s ɔ ʔ	s a ŋ T/¹⁵ ³⁵	s a + n ɔ j	k ə s u k A/¹	s u k A/¹	s i n ɔ ʔ	s u k ³⁴ + c i m ³³	s ua k	h u ʔ + s i m	s a k L/⁵⁵			s ə k + c i m	s o k	s a k L/⁵⁵	u k ⁵⁵ + ph/pʰ e l ³³	g a s ɔ ʔ	s ɔ k	s ɔ k	s ɔ k ³⁵ + c ɛ p ³¹	s u k + c i m	s o k	b e l e ḍ/ɖ	mm/mː i h	s ə k + c i m	s ə n ɔ ʔ	s ɔ k	s u k A/¹	s ɔ k	s o k		s u k ⁵³	l ɔ ŋ ⁵⁵	k a l g a	s n e r	t a ŋ ³¹ + g o ³³	s l ɔ p		ʔ ə l o k + s e p	k a th/tʰ a	s o k	s ɔ ʔ N/⁵	kh/kʰ ə s ɔ k ⁴⁵		s o k ³⁴ + c i m ³³	r s a w	n a r + s ə m		b l a w	s ə n o ʔ	s o k	u s o k ²³ + ʔ o ⁵¹ˀ/⁵¹		d ɔ ŋ ³⁵	s u k ³³	k u l + m u j	s ə n e ŋ	iː l	l o ŋ ²	p u j ó/o l	s ə s ɔ ʔ	s o k	s ɔ k	ch/tsʰ ɔ k + c/tsʰ ɔ k ¹	s ɔ k	s ɔ k	s o k T/¹⁵	s u k ⁵³		s o ʔ	p o ŋ k i	ks/kˢ ɔ ʔ	s u k ⁴⁵	h ɨ k ⁵¹	ɲ s o k	s a k L/⁵⁵ + c i m L/⁵⁵	u ç u k ³	h a ɨ k ⁰ + s i m A/¹	s u k A/¹	i l	s a k L/⁵⁵	s ɔ k	s u k		s u k ³¹	s o k	b a l e d	s ə n o	s o n ɔ k	s ɔ k A/³⁴ + l ə m b ɛ c A/¹	s o k T/¹⁵	s o k	s o g		h a ʔ + s ɔ k		l o ŋ ⁴³ + c i m ⁴³	a s ɔ k	s o k ⁴⁵	s ɔ k + c e m	l ô/o n g		s u ³¹
28_fire	ʔ u ɲ	k ù/u h	u ɲ	tɕ i ŋ ʔ a l	s u ŋ ɔ	ʔ u dʒʰ N/⁵	ʔ u dʒʰ T/¹⁵	au T/¹⁵ ³¹	t a + m ɨ + j ə	ph/pʰ l e w C/³	p l e w B/²	ʔ u ɲ	k u l ³¹	ʔ u lh/l̥	ŋ a r	ʔ u d n L/⁵⁵	ŋ au ³¹	ŋ u ²	ʔ u n	u n B/²	ʔ u ɲ L/⁵⁵	ŋ a l ⁵⁵	ʔ ɛ̂/ɛ	ʔ ɔ s	ʔ ɔ s	ʔ o t ⁴²	ʔ o n L/⁵⁵	ʔ u ɲ	l a l a dʑ	ph/pʰ l ə̂/ə ŋ	ʔ u n	ʔ o dʒʰ	ʔ ɔ dʒʰ	p l e w C/³	ʔ ɔ dʒʰ	m e t + ʔ ɔ s	k ui ³³	ŋ au ⁵⁵	ŋ a l ⁵⁵	t i m + s o ŋ	d i ŋ	k ɔ k ³¹ + f ai ⁵¹	bh/bʰ l aə ŋ	ph/pʰ r ɨə	ʔ o l	s i ŋ g e l	h ə g o ŋ	ʔ u h N/⁵	ŋ ɔ ŋ ³⁵	ʔ o s	k u t ³¹	ʔ u ɲ	ʔ u ɲ	ʔ ɨ ɲ	ʔ o dʒʰ	ʔ u dʒʰ	uə i h	k u h ²⁴	ŋ ɔ l ³¹	ɲ iɛ ⁵¹	ŋ au ⁵¹	ʔ u lh/l̥	p a m a t	s e ŋ g ɛ l	k u j ⁴ + c a l ³	h i + ʔ ú/u a j	ʔ u h	ʔ u dʒʰ	ʔ u ɲ	k ə m a t ¹	ʔ u dʒʰ B/²	ʔ u ɲ	ʔ u dʒʰ	m ə t ³³	ŋ au ⁵¹	ʔ u t	k u ḍ/ɖ o ŋ	ʔ o s	k u c ⁴²	ŋ ɔi ³¹	ʔ o t	ʔ u n L/⁵⁵	k u r ¹	ŋ ai ⁵¹	p l i w B/²	s e ŋ g ɛ l	ʔ ɔ n L/⁵⁵	ʔ ɔ s	ʔ u s	ʔ u s	ŋ au ³³	ʔ u w i h	t ʔ o g e	o s	ʔ o ɲ	ʔ u j c C/³	ʔ o s T/¹⁵	ʔ u ɲ	ʔ o s	o ɲ	k ui h B/²	k u s	l a ⁴¹	ui h	k u c ²¹	ʔ u ɲ	l u ʔ a	ŋ u B/²	ŋ au ³³
29_fish	k a	a k æ ʔ	k a	mh/m̥ u ɔ	a r̥ ɔ ŋ	ʔ ə k a N/⁵	s ia ʔ T/¹⁵	s e T/¹⁵ ⁵⁵ + q ou ³³	k a	m e w D/⁴	m e ʔw/ˀw B/²	k a	k a ³⁴	n t r u ʔ	k ɛ	k a	kh/kʰ a ⁵⁵	k a ʔ ¹	k a	k a	k a	a ⁰ + p l au ⁵⁵	k â/a	k a ʔ	ʔ ɨ k ə ʔ	k a ³³	k a T/¹⁵	k a	k a r o ŋ	t r ɛ j	k a	k a	ʔ a s i w	m e D/⁴	a s i w	ʔ i k a n	a k a ¹³ ʔ	a + kh/kʰ a ʔ ⁵³	k a ³⁵	k a ḍ/ɖ o ŋ	d o h kh/kʰ a	ʔ a ³¹ + h a ⁵¹	t r i	k a ʔ	k a	k a + k u	k a	k a N/⁵	k a ³³	s i w	k a ³⁴	k a	k a	k a	k a	k a	a k a	u k a ²⁴	k a ʔ ³⁵	ʔ a ⁵¹	kh/kʰ a ʔ ⁵⁵	k a ʔ	k a	h a + i	k a ³	k á/a	k a	p l a k	b l a k	k a ʔ ¹	p e ʔ B/²	t r ɨ	b ua j ʔ T/¹⁵	q ɔ ⁵³	kh/kʰ a ʔ ⁵⁵	k a	a j u ʔ	k a	k a ⁴⁴	k a ³³	kh/kʰ a	k a T/¹⁵	a k a ³	k a ⁴¹²	m i r A/¹	h a + k o	k a T/¹⁵	k a ʔ	c/ts ə r ɛ h	k a	kh/kʰ a ¹³	s ia ʔ	ə + j o	k a	k a	k ɔ j ʔ A/¹	a s i w	k a	k ɛ̃ ʔ	k a	k a ʔ B/²	k a ²	k a ³⁴³ˀ/³⁴³	s ia	k a ²¹²	k a	c/ts á/a	k a ʔ	kh/kʰ a ⁵⁵
