Cognate_ID,Khasi,Khmu,Lyngngam,Palaung,PnarJaintia,WarLamin
135_tosing_a_135_tosing,r w ai̯,,r ɨ ŋ w i,,r w a i,r v ʊ
136_tosit_a_136_tosit,ʃ o ŋ,,cʰ o ŋ,,tʃ ɔ ŋ,
137_skin_a_137_skin,s i e ʔ + d o ʔ,,s i e ʔ + m ei̯ m,,s e i ʔ,s ɪ ə ʔ
138_sky_a_138_sky,b e ŋ,,,p l e ŋ,b e i ɲ,
139_tosleep_a_139_tosleep,tʰ i a ʔ,,,,tʰ i a ʔ,θ ɪ ə ʔ
13_tobite_a_13_tobite,d ai̯ t,,,,d a i t,
140_small_b_140_small,,,d o h + d i t,d i ə t,,
141_tosmell_a_141_tosmell,s m a,,,,s m a,
142_smoke_a_142_smoke,t d e m,,,,t d ɛ m,t d e m
142_smoke_b_142_smoke,,p t ə ʔ,ɨ tʰ a k,t ɯ k,,
143_smooth_a_143_smooth,ɟ l i ʔ,,,,j a l i ʔ,t j ə lː i ʔ
144_snake_a_144_snake,b s e ɲ,,b s e ɲ,h i ŋ,p s e i ɲ,p s e n
146_some_a_146_some,kʰ ɨ d i a t,,t a ʔ + d i a t,,,
147_tospit_a_147_tospit,b i a ʔ,,,b ɛ ʔ,,
147_tospit_b_147_tospit,,,ɟ ɨ r tʰ e w,,m n̩ tʰ u,p ə θ e ʊ
148_tosplit_a_148_tosplit,pʰ i a ʔ,,,,pʰ i a ʔ,pʰ i t
149_tosqueeze_a_149_tosqueeze,kʰ e m,,kʰ ɨ nː i m,,,
149_tosqueeze_c_149_tosqueeze,,p ɨ ə t,,p i ə t,,tʃ ə p ɪ ə
14_black_a_14_black,j o ŋ,,ɨ ɲ o ŋ,,j ɔ ŋ,
150_tostabpierce_a_150_tostabpierce,d u ŋ,,d a e ŋ,,d u ŋ,t ə d ʊ ŋ
151_tostand_a_151_tostand,i e ŋ,,ɲ i ə ŋ,ɟ ə ŋ,j e i ɲ,r ə ŋ
152_star_a_152_star,kʰ l u r,,kʰ l o r,,kʰ l o r,
152_star_b_152_star,,s r m e ɲ,,s ə m i ŋ,,kʰ l ʊ ə + ʃ m e n
153_stickofwood_a_153_stickofwood,d i e ŋ,,ə d i ə ŋ,,,
154_stone_a_154_stone,m a w,,m a w,m o,m o,ʃ m ɪ a
155_straight_a_155_straight,b i e t,,,,b e i t,b ɪ t
156_tosuck_a_156_tosuck,k ɟ i t,,k ɨ ɟ o k,,,
156_tosuck_b_156_tosuck,,b u ʔ,,b u,b u,
157_sun_a_157_sun,s ŋ i,,s ŋ ei̯,s ə ŋ i,s ŋ i,n j ʊ ŋ a
158_toswell_a_158_toswell,a t,ʔ ɛ h,ɨ nː a t,,a d,ʔ a t
159_toswim_a_159_toswim,ɟ ŋ i,,ɟ ɨ nː ai̯,,,r ɪ ə ŋ
159_toswim_d_159_toswim,,cʰ aːi̯,,,,
15_blood_a_15_blood,s a m,m aː m,s a m,h a m,s a m,r ʊ ə
160_tail_a_160_tail,t d o ŋ,,k d o ŋ,,t d ɔ ŋ,t d ɒ ŋ
160_tail_b_160_tail,,h t a ʔ,,s t a ʔ,,
161_that_a_161_that,t a,,g a + t ei̯,t ai̯,k a t a i,
161_that_b_161_that,,,,,,k e
162_there_a_162_there,k a tʰ i e,,g a tʰ o ʔ,,,
163_they_a_163_they,k i,,,g e,k i,
164_thick_a_164_thick,r b e n,h m b ɨ l,r ɨ m b i n,,r b ɛ n,r b e n
165_thin_a_165_thin,s t a ŋ,,s ɨ t a ŋ,,s t a ŋ,
166_think_a_166_think,p ɨ r kʰ a t,t r g ə t,,,,
167_this_a_167_this,e,,g a + i ʔ,,k a i,k e
168_thou_a_168_thou,m e,m eː,m i,m i,m e,
168_thou_b_168_thou,,,,,,ɪ ə m
169_three_a_169_three,l ai̯,,l ai̯,,l e,l a
16_blow_d_16_blow,,,,p u t,,p e t
171_totie_a_171_totie,t e ʔ,t u k,t ɨ nː a k,t o ʔ,,
172_tongue_a_172_tongue,tʰ ɨ lː i e ɟ,,tʰ ɨ lː oi̯ t,,tʰ l̩ l e i ʔ,kʰ l i t
172_tongue_b_172_tongue,,h t aː k,,k ə r t a ʔ,,
173_tooth_b_173_tooth,,,m oi̯ ɲ,,l ʌ m e i ɲ,l ə m e n
173_tooth_c_173_tooth,,ʰr aː ŋ,,h r a ŋ,,
174_tree_a_174_tree,d i e ŋ,,d i ə ŋ,,d e i ɲ,
175_toturn_c_175_toturn,,w e r,,,,kʰ ə r v i
176_two_a_176_two,aː r,b aː r,a r,ʔ a r,a r,ʔ ʊ̃ ə
177_tovomit_a_177_tovomit,p r e i,,p ɨ rː a w,,p r a i,
177_tovomit_c_177_tovomit,,h ɨ ə l,,h ɯ r,,
179_warm_b_179_warm,,,ɨ n ʃ i t,,c i t,
17_bone_a_17_bone,ʃ ʔ e ŋ,c ə ʔ aː ŋ,c ʔ e ŋ,k ə ʔ a ŋ,tʃ ʔ e i ɲ,tʃ ɪ ə ʔ
180_towash_a_180_towash,s a i t,,,,s a i t,k s i
180_towash_b_180_towash,,,,kʰ oi̯,,
181_water_a_181_water,u m,,g u m,ʔ o m,u m,ʔ a m
182_we_c_182_we,,ʔ i ʔ,,ʔ ɛ,i,ʔ ɪ ə
183_wet_a_183_wet,ɟʰ i e ʔ,,,,dʒʰ e i ʔ,t j ə r i ə ʔ
183_wet_d_183_wet,,d ɛː c,,,,
184_what_a_184_what,ei̯,,,,,i + a
184_what_d_184_what,,ʰm ə h,,m ɔ,,
185_when_a_185_when,l a o,,,,n̩ u,
187_white_a_187_white,l i e ʔ,,ə lː i ʔ,,l e i ʔ,
188_who_b_188_who,,,j ə t,,u,
188_who_c_188_who,,,,,,u
189_wide_a_189_wide,j a r,,ɨ i ə r,,j a r,
189_wide_c_189_wide,,w a h,,v a h,,
18_breathe_a_18_breathe,r i ŋ + m ɨ n s i e m,h r ɲ ɨ ə m,r i ŋ + ɨ n s o m,pʰ ɯ m,r ɪ ɲ + m n̩ s e i m,r e ŋ + h ə n s ʊ
191_wind_a_191_wind,l ʔ e r,,l ʔ i e r,,l ʔ ɛ r,s r ʊ ə
192_wing_a_192_wing,tʰ a p ŋ i a ŋ,,tʰ a p i r,,tʰ a w a ɛ r,θ ə b ə ɪ a r
193_towipe_e_193_towipe,,,,kʰ u t,,
194_with_a_194_with,b a d,,,,,b ə ʔ
195_woman_a_195_woman,k ɨ tʰ ei̯,,,,k n̩ tʰ a i,h ə θ a
196_woodsforest_a_196_woodsforest,kʰ l a w,,,,kʰ l o,
196_woodsforest_d_196_woodsforest,,b r i ʔ,,b r i,,
197_worm_a_197_worm,w i e ʔ,,w i a k,,w e i ʔ,kʰ v i
198_yeyoupl_a_198_yeyoupl,pʰ i,,pʰ j a w,p ɛ,pʰ i,h i
199_year_a_199_year,s e m,n ɨ m,s i m,s ə ə m,s ɛ m,s e m
19_burn_a_19_burn,tʰ a ŋ,,ɨ tʰ a ŋ,,tʰ a ŋ,ɵ/θ a ŋ
1_all_a_1_all,r o ʔ,,p r o k,,w a r ɔ ʔ,b ə r ɒ ʔ
200_yellow_a_200_yellow,s t e m,,s ɨ t i m,,s t ɛ m,
200_yellow_b_200_yellow,,c ŋ aː r,,,,t ŋ ʊ ə
20_child_a_20_child,kʰ u n,k ɔː n,kʰ o n,k u ə n,kʰ ɔ n,h ʊ n
21_cloud_a_21_cloud,l ʔ o ʔ,,l ʔ o ʔ,,l ʔ ɔ ʔ,
22_cold_c_22_cold,,,,,k dʒ a m,k t j a m
23_come_a_23_come,w a n,,,,w a n,v a
23_come_c_23_come,,,,h l u h,,
24_count_a_24_count,ɲ j a w,,,,n i a w,
25_cut_a_25_cut,kʰ a p,,kʰ ɨ nː a p,,,
26_day_a_26_day,s ŋ i,,s ŋ ei̯,s ə ŋ i,s ŋ i,ʃ ŋ aː
27_die_a_27_die,j a p,,ɲ i nː a p,,j a p,j i p
28_dig_a_28_dig,t i ʔ,,t ɨ nː i e t,,t i ʔ,t ɪ ə ʔ
29_dirty_a_29_dirty,ɟ a b o ʔ,,,,,
29_dirty_b_29_dirty,,,d ɨ mː u t,,,
2_and_c_2_and,,,,,w a,w aː
30_dog_a_30_dog,k s e w,s ɔ ʔ,k s u,s ɔ,k s a w,k s ɪ a
31_drink_a_31_drink,d i ʔ,,d ɨ nː i e t,,d i ʔ,d e ʔ
32_dry_a_32_dry,r kʰ i a ŋ,,r i ə ŋ kʰ o ŋ,,,rʰ ɪ ə ŋ
32_dry_c_32_dry,,,,r ai̯,,
34_dust_b_34_dust,,,,,dʒ l̩ pʰ o ʔ,t j ə l pʰ ʊ ʔ
34_dust_c_34_dust,,b ɔ h,,k ə r b o h,,
35_ear_a_35_ear,ʃ k o r,,l ə k u r,,tʃ k ɔ r,
36_earth_d_36_earth,,p ə t e ʔ,,k ə t ɛ,,
37_eat_a_37_eat,b aː m,,b ɨ nː ə ŋ,,b a m,b ʊ ə
38_egg_a_38_egg,p ɨ lː e ŋ,,p ɨ lː ɨ ŋ,,p l̩ l e i ɲ,
39_eye_a_39_eye,kʰ m a t,m a t,kʰ m a t,,kʰ m a t,m a t
40_tofall_a_40_tofall,h a p,,,,h a p,
40_tofall_e_40_tofall,,g r ɔː j,,,,
41_far_a_41_far,ɟ ŋ ai̯,,ɟ ŋ i,s ə ŋ ai̯,dʒ ŋ a i,tʃ ŋ ʊ
43_father_a_43_father,k p a,,p a,,p a,p a
44_tofear_a_44_tofear,ʃ e p t i e ŋ,,t i e ŋ + d a i t,,t ei̯ ɲ,k t ɪ ə ŋ
45_feather_a_45_feather,s e r,,s i r,,tʰ a w a ɛ r,θ ə b ə ɪ a r
46_few_a_46_few,kʰ ɨ + d i a t,,t a h + d i a t,,,
47_tofight_a_47_tofight,j a ʃ o ʔ,,,,j a tʃ ɔ ʔ,
48_fire_a_48_fire,d i ŋ,,ə d o ɲ,,d i ɲ,
49_fish_a_49_fish,d o ʔ kʰ a,k a ʔ,kʰ a,k a,d a kʰ a,h i
4_ashes_a_4_ashes,d p ei̯,,ə p a w,,t p a i,
50_five_a_50_five,s a n,,s a n,pʰ ə n,s a n,r a n
51_tofloat_a_51_tofloat,p e r,,,,p ɛ r,s p e r
52_toflow_a_52_toflow,t uːi̯ d,,s ɨ + t oːi̯ d,,t oːi̯ d,
53_flower_a_53_flower,s ɨ t i e w,,s ɨ t e w,,s n̩ t u,
54_tofly_a_54_tofly,h e r,,,,p n̩ h ɛ r,
54_tofly_c_54_tofly,,,,p ə r,,p ɪ a r
55_fog_a_55_fog,d u m + l ʔ o ʔ,,,,,d ʊ m
56_foot_a_56_foot,k ɟ a t,,k ɟ a t,,k dʒ a t,
56_foot_c_56_foot,,ɟ ɨ ə ŋ,,ɟ ɯ ŋ,,
57_four_a_57_four,s a w,,s a w,,s o,r ɪ a
58_freeze_a_58_freeze,ʃ o ʔ + tʰ a ʔ,,,,tʰ a ʔ,tʰ a ʔ
58_freeze_b_58_freeze,,,t ɨ ŋː a m,,,
59_fruit_a_59_fruit,s o ʔ,,s u ʔ,,s ɔ ʔ,s ɒ ʔ
59_fruit_b_59_fruit,,p l e ʔ,,p l e,,
5_at_a_5_at,h a,,h e,,h a,
5_at_b_5_at,,d a ʔ,,,,t i
60_give_a_60_give,a j,,ɨ nː ai̯,,e,ʔ aː
61_good_c_61_good,,l ə ʔ,,l a ʔ,,
62_grass_a_62_grass,pʰ l a ŋ,,pʰ l a ŋ,,pʰ l a ŋ,
63_green_a_63_green,ɟ ɨ r ŋ a m,,s ɨ ŋ i ə ŋ,,j r̩ ŋ a m,tʃ ə r ŋ a m
64_gutsintestines_a_64_gutsintestines,s i e r,,s o r,,s ɛ r,n ɒ r
64_gutsintestines_b_64_gutsintestines,,ʰr i ə ŋ,,r ɛ ŋ,,
65_hair_a_65_hair,s ɲ i u ʔ,,s ɲ i ə k,h u ʔ,s ɲʲ o ʔ,s ʊ ʔ
66_hand_a_66_hand,k t i,t i ʔ,k t ei̯,t i,k t i,t aː
67_he_a_67_he,u,,ɟ u t u ʔ,,u,u
68_head_a_68_head,kʰ l i e ʔ,,kʰ l i ʔ,,kʰ l e i ʔ,kʰ l ɪ a
69_hear_a_69_hear,s ŋ a p,,s ŋ u,,s i a w,
6_backanat_a_6_backanat,d i e n,,b a d + d o n,,,
6_backanat_d_6_backanat,,k d r ɔː ŋ,,k r ɔ ŋ,,
70_heart_a_70_heart,k l o ŋ + s a m,,k l o ŋ + s a m,,k l ɔ ŋ + s a m,k l ɒ ŋ + r ʊ ə
71_heavy_b_71_heavy,,,k e b a ʔ,,,
72_here_a_72_here,h a ŋ + e,,h a i ʔ,,h e i i,t i eː
73_hit_c_73_hit,,,,,d a t,d a t
73_hit_e_73_hit,,p u ʔ,,,,
74_holdtake_a_74_holdtake,ʃ i m,,,,tʃ ɪ m,
75_how_a_75_how,k u m o,,,,k a mː ɔ n,
75_how_d_75_how,,n ɛː w + m ə ʔ,,kʰ ɯ j + m ɔ,,
77_husband_a_77_husband,t ŋ a,,,,,l ɒ k
77_husband_b_77_husband,,,k o r a ŋ,,l ɔ k,
78_i_a_78_i,ŋ a,,n ə,,ŋ a,ŋ ə
78_i_b_78_i,,ʔ o ʔ,,ʔ ɔ,,
79_ice_a_79_ice,tʰ a ʔ,,tʰ a ʔ + ə lː i ʔ,,tʰ a ʔ,tʰ a ʔ
80_if_a_80_if,l a d a,,l e d e,,l a d a,
81_in_a_81_in,h a,,h e,,h a,
82_kill_a_82_kill,p ɨ j a p,,p ɨ ɲ a p,,p n̩ j a p,p ə j i p
83_know_a_83_know,t i p,,,,t ɪ p,t ɒ ʔ
84_lake_a_84_lake,p u ŋ,,p u ŋ,,p u ŋ,
85_laugh_a_85_laugh,r kʰ i e,,,,r kʰ a i,
86_leaf_a_86_leaf,s l a,ʰl a ʔ,s l a,h l a,s l a,s l i
87_leftside_a_87_leftside,d i a ŋ,,t ɨ mː i ə ŋ,,t i d i ɛ ŋ,d i + p a r + t a + d ɪ ə ŋ
87_leftside_b_87_leftside,,l u ə ŋ + w e ʔ,,ʔ i + v e,,
88_leg_a_88_leg,k ɟ a t,,k ɟ a t,,k dʒ a t,
8_barkoftree_a_8_barkoftree,s e p,,s i e ʔ,,s e i ʔ,s ɪ ə ʔ
90_live_a_90_live,i m,,ɨ nː i m,i m,ɪ m,p ʔ e m
91_liver_a_91_liver,d o ʔ uː d,,n oː d,,n oː d,
91_liver_b_91_liver,,,,k ə r t ɔ m,,k θ i m
92_long_a_92_long,ɟ r o ŋ,,ɟ ɨ rː o ŋ,,dʒ r ɔ ŋ,k ə r ɒ ŋ
93_louse_a_93_louse,k s i,s e ʔ,,s i,k s i,k s a
94_manmale_a_94_manmale,ʃ ɨ r a ŋ,,kʰ o k o r a ŋ,,c n̩ r a ŋ,
94_manmale_b_94_manmale,,,,i m e,,t ə r m a
95_many_a_95_many,b u n,,b o n,,b o n,ʃ i b ʊ ə
95_many_b_95_many,,,,k ɯ n,,
96_meatflesh_a_96_meatflesh,d o ʔ,,,,d ɔ ʔ,d ɒ ʔ
97_mother_a_97_mother,k m i e,m a ʔ,g m a,m a,b e i,m aː
98_mountain_a_98_mountain,l u m,,d o m,,l o m,
nan_100_name,,,k ɨ r t e ŋ,ɟ ɯ,,
nan_101_narrow,,,b a kʰ i m,ɔ p,,
nan_110_other,,b a ŋ,,,k ɔ p s a r,
nan_111_person,,g o n,,,,
nan_117_rightcorrect,,m ɛː n,,,,
nan_118_rightside,,,,kʰ w a,,
nan_129_sea,,,d u r i a w,,,
nan_145_snow,,,j o r,,,
nan_165_thin,,,,,,s t a ŋ
nan_166_think,,,p ɨ r kʰ a t,,p r̩ kʰ a t,p ə r kʰ a t
nan_175_toturn,,,k ɨ lː a,,,
nan_178_towalk,,,,pʰ ə t,,
nan_180_towash,,,s a i t,,,
nan_181_water,,ʔ o m,,,,
nan_185_when,,ɲ aː m + m ə ʔ,,j a m,,
nan_186_where,,,,,tʃ e i w ʌ n,
nan_2_and,,,n a m,,,
nan_34_dust,,,p u m + p u m,,,
nan_36_earth,,,,,,p ə r θ a
nan_3_animal,,t oː,m r aː d,t o,m r aː d,m r a t
nan_47_tofight,,,,,,j a ʔ + d a t
nan_50_five,,h aː,,,,
nan_61_good,bʰ a,,,,bʰ a,
nan_79_ice,,,,j e + g e,,
nan_81_in,,,,n a ə,,
nan_84_lake,,,,n ɔ ŋ,,
nan_85_laugh,,,,j u m,,
