Cognate_ID	ChiapasZoque	LowlandMixe	NorthHighlandMixe	OlutaPopoluca	SanMiguelChimalapaZoque	SantaMariaChimalapaZoque	SayulaPopoluca	SoteapanZoque	SouthHighlandMixe	TexistepecZoque
57_name-1_57_name		ʃ əː	ʃ əː	ʃ ə v ə					ʃ əː	
57_name-2_57_name	n ə j				n ə h i	n ə h i	n ə ʔ h j	n əː j i		d ə j
58_neck-1_58_neck		j o ʔ o k + p a h k	j o ʔ k t				j o ʔ k		j o ʔ k t	
58_neck-2_58_neck	k ə n ə									k ə n + k ə ʔ
59_new-1_59_new			n a m	n a m ə			n a m a j			
59_new-2_59_new	h o m e	h e m j			h o m e ʔ	h o m e ʔ		h oː m i	h e m p j	h o m ə + n a ʔ
5_big-1_5_big	m ə h a	m ə h	m ə h				m ə h	m ə h	m ə h	
5_big-3_5_big						w ə t i ʔ				w əː tʃ e ʔ
60_night-1_60_night	ts u ʔ	a d z uː ʔ ə ʔ		ts u h ə	ts u ʔ	ts u ʔ h i	ts u ʔ	ts u ʔ u		ts u ʔ
60_night-2_60_night			ts υː/ʊː						k oː ts	
61_nose-1_61_nose		h ə h p + p u t	h ə h p	h ə p ə			h ə h p		h ə h p	
61_nose-2_61_nose	k i n ə				k i n ə k	k i n ə		k iː ɲ i		k e ɲ + k u j
62_not-1_62_not		k a ʔ	k a ʔ a			w a t + k a h a	k aː h		k a ʔ t	
62_not-4_62_not	h a ʔ n e				j a			d Y/j a		
63_one-1_63_one		t u ʔ u k	t υ/ʊ ʔ k	t u ʔ k			t u ʔ k		t u ʔ u k	
63_one-2_63_one	t u m ə				t u m ə	t u m ə		t uː m		t u m
64_person-1_64_person		h ə j	h a j u	h a j k a ʔ k			h a j a w		h a ʔ a j	
64_person-2_64_person	p ə n + d a ʔ m									p əː ɲ + tʃ a ʔ
65_rain-1_65_rain	t u h	t uː	t υː/ʊː	t uː h ə	t u h	t u h	t uː	t u h	t u h	t u h
66_red-1_66_red	ts a p a s	ts a p ts	ts a p ts	ts a p a ʔ s	ts a p a ts	ts a p a ts	ts a b a ts	ts a b a ts	ts a p s	ts a ʔ p a ʔ ts
67_road-1_67_road	t u ŋ	t u ʔ	t υː/ʊː ʔ	t u ʔ a ʔʷ	t u ŋ	t u ŋ	t oː w	t u ŋ	t u ʔ u	t u ŋ
68_root-1_68_root			aː ʔ ts						aː ts	
68_root-2_68_root		t i k ts		tʃ i s ts ə ʔʷ			t i k tʃ i k	t j iː tʃ ə k		tʃ e tʃ ə k
68_root-3_68_root	w a ts i				w a ʔ ts	w a ʔ ts				
69_round-1_69_round		p i k	p i g ɨ k						p e h k	
69_round-2_69_round	h u j u h						h o j o j			
69_round-3_69_round								w o j o		w o j + w o j + tʃ e
6_bird-2_6_bird		h oː n			h o n	h o n	h o h n	h o n	h oː n	h o n
70_sand-1_70_sand		p u ʔ	p υ/ʊ ʔ υ/ʊ	p u ʔ ə	p o e ʔ		p o ʔ j	p o ʔ o j	p u ʔ u	p o ʔ o j
71_say-3_71_say				n ə m			n ə m			
71_say-4_71_say	n ə m				n ə m	n ə m		n ə m		d ə m
72_see-1_72_see		i ʃ	i ʃ	ʔ eː p	ʔ i ʃ	i s	i ʃ	i ʔ i ʃ	e ʃ	ʔ e ʃ
73_seed-2_73_seed		p a h k		p a k ə				p a k	p a h k	
73_seed-3_73_seed	p u h				p u h	p u h	p uː h			p u h
74_sit-1_74_sit			ts ïï/ɨː n a		ts ə n	ts ə n a j	ts əː n a		ts əː n	
74_sit-2_74_sit		i n j ə j								
74_sit-5_74_sit								k o ɲ		k o n
75_skin-1_75_skin		a k	a k	a k ə			a k		n ə ʔ a k	
75_skin-2_75_skin	n a k a				n a k a	n a k a		n aː k a		d aː k
76_sleep-1_76_sleep		m a ʔ	m a ʔ a	m aː			m aː		m a ʔ a	
76_sleep-3_76_sleep						m o ŋ		m o ŋ		b o ŋ
77_small-2_77_small		m u ts							m u ts k	
77_small-3_77_small	tʃ i k s			tʃ uː tʃ u			tʃ i tʃ i c/tʃ			
78_smoke-1_78_smoke	h o k o h	h əː n + h o k	h o k	h o k o				h oː k o	h o k	h oː k
78_smoke-3_78_smoke					ʔ o m a ʔ	o ʔ m a ʔ				
79_stand-1_79_stand	t e n a j	t e n aː j	t e n a	t e n i j	t e n	m a ʔ ŋ ə j	t e n a	t eː ɲ	t ə n æ j	
7_bite-1_7_bite			ts u ʔ u ts						ts u ʔ u ts	
7_bite-5_7_bite	k e ʔ ts									k e ʔ ts
7_bite-6_7_bite					w a ʃ			w a s		
80_star-1_80_star	m a ts a	m a d z a ʔ	m aː ts a	m aː ts a ʔ a ʔ k	m a ts a ʔ	m a ts a ʔ	m aː h ts	m aː ts a	m a ts a ʔ a	b aː ts a ʔ
81_stone-1_81_stone	ts a ʔ	ts aː	ts aː	ts aː h ə	ts a ʔ	ts a ʔ	ts a ʔ	ts a	ts a h	ts a ʔ
82_sun-1_82_sun		ʃ əː	ʃ əː	ʃ ə v ə			ʃ ə h w		ʃ ə ʔ a n	
82_sun-2_82_sun	h a m a				h a m a	h a m a		h aː m a		h aː m
83_swim-3_83_swim				j u n		j u n	j u n		n ə + j u m	
83_swim-5_83_swim								p u ʔ n		p ə ʔ n
84_tail-1_84_tail	t u ʔ ts		t υ/ʊ ʔ ʃ t a	t u ʔ s t a	t u ʔ ts	t u ʔ ts	t u ʔ h ts	t u ʔ ts	t u ts t	t u ʔ ts
85_that-2_85_that		h e h ə m b ə		h a m a h				h e a m		
86_this-1_86_this	j ə ʔ + w ə		j ə ʔ ə		j ə ʔ	j ə ʔ + p ə ʔ	a j əː h		j a ʔ a t	j ə ʔ ə h ə ʔ
87_thou-1_87_thou	m i h	m iː tʃ	m i ts	m iː s	m i + ʃ	m i ts	m iː	m i tʃ	m e h ts	b i tʃ
88_tongue-1_88_tongue	t o ts	t oː ts	t oː ts	t oː ts ə	t o ts		t oː h ts	t o ts	t oː ts	
89_tooth-1_89_tooth	t ə ts	t əː ts	t əː ts	t əː ts ə	t ə ts	t ə ts	t əː h ts	t ə ts	t əː ts	t ə ts
8_black-1_8_black	j ə k	j i k	j ə k		j ə k + j ə k	j ə k		j ə k	j ə h k	j ə k
8_black-2_8_black				j ə k ə ʔ k			j ə g ə k			
90_tree-1_90_tree	k u j	k i p j	k ɨ p	k u j ə	k u j	k u j	k u h j	k u j		k u j
91_two-1_91_two	m e ts a	m e ts	m e h ts k	m e s + k o			m e tʃ k		m æ ts k	
91_two-2_91_two								w ə s + t eː n		w ə s + n a ʔ
91_two-3_91_two					m e ts + a + ʔ a ŋ	m e ts + a ʔ a ŋ				
92_walkgo-1_92_walkgo		j o ʔ o j	j o ʔ o j		t u ŋ + ʔ a h	t u ʔ ŋ a h	j o ʔ j		j o ʔ o j	
92_walkgo-2_92_walkgo	w i h t			v i t	w i t			w i t j		w e tʃ
93_warm-1_93_warm		a n	a n						a n	
93_warm-2_93_warm							p o w i k			
93_warm-4_93_warm	p i h									
93_warm-5_93_warm					j u k + n u ts	n u ts				
94_water-1_94_water	n ə ʔ	n əː	n əː	n əː h ə	n ə ʔ	n ə ʔ	n ə ʔ	n ə	n ə h	d ə ʔ
95_we-1_95_we		əː tʃ + a h t	əː ts	ə ts aː t e ʔ k			ə h ts a t		əː ts	ʔ ə ts + t a ʔ
95_we-2_95_we					n e j w i n	n e w i n j n e n				
96_what-1_96_what	t i j ə	t i	t i	t i	t i	t i	t i	t j i	t iː	tʃ e ʔ
97_white-1_97_white	p o p o	p oː b	p oː ʔ p	p oː p o ʔ	p o p o ʔ	p o p o ʔ	p o ʔ p	p o ʔ o b aː p	p oː p	p o p o ʔ
98_who-1_98_who		p ə n	p ə n	p ə n			p ə n		p ə n	
98_who-2_98_who	i + w ə				ʔ i + w ə	i + w ə				
99_woman-2_99_woman		t o ʔ o ʃ j h ə j					t o ʔ ʃ a j		t i ʃ j t j ə h k	
99_woman-4_99_woman	j o m o				j o m aː ʔ	j o m ə ʔ		j oː m o		j oː m a ʔ
9_blood-1_9_blood	n ə ʔ p i n	n ə ʔ p j	n ïï/ɨː ʔ p u n	n ə ʔ p i ʔ n	n ə p i n ʔ	n ə ʔ p i n	n i p i n	n ə ʔ ə p i ɲ	n ə ʔ ə p j	d ə ʔ ə p e ɲ
