Cognate_ID,Achagua,Baniwa,Baniwa_Dzawinai,Baniwa_Dzurema,Baniwa_Hohoodene,Baniwa_Kowaidakenai,Baniwa_Mauliene,Baniwa_Waliperidakenai,Bare,Kabiyari,Kauixana,Koripako_Kumadene,Koripako_aha,Koripako_ehe,Koripako_name,Koripako_oho,Passe,Piapoco,Resigaro,Tariana,Tariana_Bruzzi,Tariana_Kumadene,Warekena,Werekena_Baniva,Yukuna,Yumana
108_10_bone,j a h i ʃ i,á/a a p i,,,ɽ i a p i,,ɽ i a p i,ɽ i a p i,,j a p i,,ɽ i a p i,l i a p i,i n a p i,l i a p i,l i a p i,,a p i,a á/a p í/i,d i j á/a p i,ɲ ã p i,l j a p i p i,,,a pʰ i n á/a m i h i,
109_23_fatorganicsubstance,,,,k eː p ɛ d a ɽ i,,,,ɽ iː p i,,,,,,,,,,,pʰ e d eː ʔ k á/a t a s í/i,,,p ɛ m e k a p i d a p ɛ,,,,
10_1_all,,,,,,,,,,p u t i,,,,,,,,,pʰ é/e ʔ t ó/o ʔ,,,,,,,
110_35_heart,,,,,,,,,,,,,,,,,,,,,,,n u n e n í/i t o a n a,n u m ẽ t u a n a,,
111_35_heart,w o w a ʃ i,,,,,,,,,,,,,,,,a w a,n u w à/a w a,v á/a f o ú/u,,,,,,w a wʰ e h i,
112_29_green,,,eː m i d a ɽ i k a,e m ĩ d a ɽ i,,,e m i k a t o a n i,,,,,ĩ d a ɾ i p o a,,,,,,,,,,,,,,
115_39_kill,,,,,,,,,,,,,,,,,,,,,,,j u tʃ i a,n u j u tʃ i a,,
118_30_hairhead,,ts í/i k o l e,ɽ i tʃ i k u ɽ e,tʃ i k u w ɛ,tʃ i k u ɽ ɛ,,ɽ i tʃ i k u ɽ ɛ,tʃ i k o w ɛ,,,,,l i ts i k o l e,l i ts i k u l e,l i ts i k u l e,l i ts i k o l e,,,,,,,,,,
11_2_ash,,,,,,,,,,,,,,,,,,,,k á/a d a l i,k ã d a ɾ i,,,,,
122_30_hairhead,b a i n a ʃ i,,,,,,,,,,,,,,,,,,,,,,n u tʃ i p a n a,n u tʃ i p a n a,,
123_30_hairhead,,,,,,ɽ i tʃ i d a p e,,,n u i tʃ a,,,,,,,,,,,d í/i c̃/c a,l i tʃ i a ɾ ɛ,w a tʃ i a ɾ ɛ,,,,
125_31_hand,,,,ɽ i n a p a,,,,,,,,,,,,,,,,,,,n aː p i,n aː p i,,
126_6_bird,,k é/e p i r a,k e p i ʐ e n i,k e p i ʐ e n i,k e p i ʐ e n i,,k e p i ʐ e n i,k e p i ʐ eː n i,,,,,,,,,,,,k é/e p i ɾ a,k e p i ɾ i a hʲ a,k eː p i ʐ a,,,,
127_6_bird,,,,,,t i k e,,,,,,,,ts iː k a,,,,,,,,,,,,
128_37_hotorwarm,a m u a i,h á/a m o,h a m o,h a m ũ d a ɽ i,h ɐ̃ m u k a n i,h a m u k a n i,h a m u k a n i,h a m õ,,m u ʔ ú/u,,h a m u k a,h a m o d a l i,h aː m u,h a m o d a l i,h a m o d a l e,,,h a ʔ m o ʔ,h a m ú/u p e ɾ i,h a m ũ m ã wʰ ã,,k a m u ɾ u ɾ i,,,
129_90_white,,h á/a l e,h aː ɽ e,h a ɽ ɛ d a ɽ i,h a ɽ ɛ d a ɽ i,h aː ɽ i k a n i,h a ɽ e k a n i,h a ɽ ɛ d a ɽ i,,,,h a ɽ e d a ɽ i,h aː l e d a l i,h aː l e,h aː l e d a l i,h aː l e d a ɾ e,s aː r é/e,,,h a l í/i t e,h a ɾ ɛ m a n ʊ̃ k a,h a ɾ e n ĩ p ɛ,á/a ɾ i ɾ i,a ɾ i ɾ i,h a r e n i,s a r e + j u
1305_64_round,,,j a b u ɽʰ e d a ɽ i,,,,d a b u h e k a n i,,,,,,,,,,,,,,,,,,,
131_39_kill,,,,,,,,,,,i j a,,,,,,,,k a i n é/e e kʰ ú/u,,,,,,,
132_41_knowsomething,,,,,,,,,,,,,,,,,,,,,,,ts e,n u ts ɛ m i,,
135_44_liver,,,,,,ɽ i k a b a ɽ e,,,,,,,,l i k a v a ɾ e,,,,,,d i k a l é/e t a n a,p ə k ə ɾ e t ã n a,,,,,
1381_68_seed,,,,,ɽ iː n a k a,,,,,,,,l iː n a k a,,,l i n a k a,,,,,,,,ĩ j̃ a h a,,
138_54_night,t aː j e,d é/e e p i,d eː p i,d ɛː p i,d eː p i,d eː p i,d ɛː p i,d ɛː p i,h e b i n a m a,n é/e á/a p i,l á/a p i,d eː p i,d eː p i,d eː p i ɾ i k u,d eː p i,d eː p i n a,l a p o t o,,n aː p í/i,d éː/eː p i,d eː p i,d ɛː p i,,,l a p í/i,
13_49_mountain,,,,,,,,,,,tʃ e n o + w a s i,,,,,,,,,,,,,,h e n u ɾ i,
140_11_clawornail,,ts ó/o t a,,,,,,,,,,,,,,,,,h i ʔ t á/a v í/i,,,,n u ʃ u ɾ a w i + n a p i b u,,,
141_33_headlouse,,,,,,,,,,n i í/i,,,,,,,,,,,i n i s i,,,,r i n e,
142_47_many,,m a n ó/o p e,m a n u p e,m a n u p ɛ,m a n u p ɛ,m a n u p e k a,m a n ú/u p ɛ,m a n u p ɛ,,,,,,,,,,m a n u b a,,,,,,,,
144_47_many,,h ó/o r e,,,,,,,,,,,h u ɾ e,h u ɾ e,h o ɾ e,h u ɾ e,,,,,,,,,,
145_47_many,,h a n í/i p a,,,,,,,,,,,,,,,,,a n̥ e p úú/uː ʔ,h a n í/i p a,h a n ʊ̃ p ɛ,,,,,
147_92_woman,í/i i n e t oː,í/i i n a r o,i n a ʐ o,iː n a ʐ o,i n a ʐ o,i n a ɽ u,iː n a ʐ o,iː n a ʐ o,h i n a tʃ a t i,,,i n a ʐ u,iː n a ɾ o,i n a ɾ o,,i n a ɾ o,,i n a n á/a i,i n á/a a d ó/o,í/i n a ɾ u,i n a ɾ u,,,,i n a n a ɾ u,
148_7_bite,,,,,,,,,,,,,,,,,,,,,,,m u tʃ i t a,n u m u tʃ i t a n i,,
14_58_path,,aː p ó/o w a,,,,,,,,a p ú/u h á/a,,,,,,,,,é/e h u ú/u h í/i,,,,e p u n a,,,
150_12_cloud,,,,,,,,,,,,,,,,,,a k a l è/e e,,,,,,,h u n i + h u w á/a k a ʔ a l a,
151_45_long,,j á/a p i,j a p i,,,j a p e a p a ɽ i,,j a p i kʰ a j,,,,,,j aː p i,,j a p i d a l e,,,,,,,,,,j a p ɨ
152_33_headlouse,,,,,,,,,,,,,,,,,,,,k a wʰ á/a n e ɾ i,,,,,,
1539_74_stand,,é/e e m a,,n u e m a k a,p u eː m a,,n u e m a k a w a,ɽ i e m a k a,,,,ɽ i u m a k a w a,j eː m a k a i t a,eː m a k e t i,w eː m a k a,j eː m a k e t e,,,,d i é/e m a,,,,,,
153_13_cold,k a s a l i n iː,,,,,,,,,,,,,,,,,k a s a l í/i n íː/iː ɾ i,,,,,,,,
154_8_black,k a tʃ a h u l a i l a u,,,,,,,,,,,,,,,,,,ts a pʰ ó/o ʔ,,,,,,,
155_51_name,,,,,,,,,,íí/iː,,,,,,,,,iː v ú/u,,,,,,i í/i h i,
156_61_red,,,,,,,,,,,ts a + m a l a,,,,,,,,,,,,,,,s aː m i
157_63_root,,,,,ɽ iː ʐ i,,ɽ iː ɽ i,ɽ iː ɽ i,d u r i,,,,,,,,,,,,,,i l i,,,
158_4_belly,,,,,,,,,,,m o k ó/o,,,,,,,,,,,,,,,
160_8_black,,í/i i tː a,iː t a d a ɽ i,i t a d a ɽ i,iː t a d a ɽ i,k a i d aː k a ɽ i,i tʰ a k a n i,,t a i,,,,iː t a d a l i,iː t a,iː t a d a l i,iː t a d a l e,,,,,t aː d a ɔ m a n ʊ k a,k a ð a j t ɛ,,,,
161_8_black,,,,,,,,,,,,,,,,,,,,,,,ʃ e ʃ e ɾ i,s ɛ ɾ e ɾ i,,
162_67_see,,,,,,,,,,i kʰ á/a,i k á/a,,,,,,,i k á/a k a,,d i k á/a,n a k a n i p ɛ,,,,,i ŋ k a + k u/w á/a
168_73_smokeexhaust,í/i i s a n i n aː,í/i i tː a,i t aː,t i dz ɛ + e t a k a,iː t a,ɽ i t aː k a,i tʰ a,i t a m a n a,,í/i t̪ a r i,,ɽ i p aː k a,i t a k a t i,t a m a n a,l iː t a k a,l i t aː k a,,s a m à/a n a,i í/i tsʰ ú/u,d i s í/i t a,i tʃ a,,ʃ i a ɾ i ɾ i,s j a ɾ i ɾ i,i h a,
169_76_sun,,,,,,,,,,,,,,,,,,,,,,,,,,s i m a + l u
170_77_swim,,aː ʃ aː,m aː ʃ a k a w a,w a ʂ i a k a,w a ʂ i a k a w a,,n u a ʂ a k a,ɽ i a ʂ a k a w a,,,,,,,l i a i s ɾ aː k o,j a s ɾ aː k e t i,,,,d i á/a jʰ a,,,,,,
172_79_that,,,,,,,,,,,,,,,t iː a,,,,,,,,,,,
172_80_this,,,,,,,,,,,,,,tʰ i a h a,t iː ɾ a,,,,,,,,t i,,,
173_9_blood,iː r a i,iː r a n aː,,ɽ i ʐ a n a,ɽ iː ɽ a n a,,ɽ i ʐ a n a,ɽ i ɽ a n a,j a,í/i ʔ i r a,ts a + k á/a,ɽ i ʐ a n a,l iː ɾ a n a,i ɾ a n aː t i,l i ɾ a n a,l iː ɾ a n a,i t a,i ɾ á/a i,iː d ú/u,,i ɽ i,iː ð a,m j a ʃ i,n i a s t i,í/i ɾ a h i,i tː á/a
1765_86_walk,,,,,,,n u a k a w a,,,,,ɽ i a k a w a,j aː k a p e,,ɾ i a k a o,j aː k a p e,,,,,,,,,,
176_79_that,,,,,,,,,,,,,,,,,,,,,,,d i,,,
179_80_this,l i á/a n i,i h í/i e h e,h j ɛ h ẽ,h i ẽ h ẽ,,h i e h ẽ,,ɾʰ i ẽ h ẽ,a r i h i,,,h i e h i,l i a h i,,,k u a k a l i h e,,,g i ʔ í/i,h ĩ,n ɾ i a,,,,,
181_79_that,l i á/a r a,lʰ i e r a h a,h j ɛ t a h ã,h i e t a h ɐ̃,h i a,h j e t i,,ɾʰ i ẽ n a h ã,,j a t a,,h i e t e h i,l i a ɾ a,,,k u a k a l i e n a h a,,j áː/aː ɾ a,,,,,,ɛ t a h ɐ̃,,
183_5_big,,,,,,,,,k u m a ɾ e h e,,m a ɾ é/e,,,,,,m o o r é/e,,,,,,,,,m a r e
1856_91_who,,k ó/o a k a,kʷ a m e l i t a,k o a k a,k o a m ɛ ɽ i t a,kʷ a ẽ,k o a k a,k o a k eː n a,,,,k o a m e h e w i,k u k a,k u a k a h l i a,k o k a,k o a k a,,,,,,,,,,
187_16_dog,,ts iː n o,tʃ iː n u,tʃ iː n o,tʃ iː n o,tʃ ĩː n u,tʃ iː n o,tʃ ĩː n u,tʃ i n u,,,tʃ iː n u,ts iː n o,ts iː n o,ts iː n u,ts iː n o,,,,tʃ í/i n u,ts i n ũː,,tʃ u n u,ts iː ɲ o,,
190_16_dog,a u l i,,,,,,,,,,,,,,,,,j à/a l i d u,,,,,,,,
191_8_black,,,,,,,,,,,a p o w i,,,,,,,,,,,,,,,p o h e h
1920_92_woman,,,,,,,,,,n a n á/a w í/i,,,,,,,d au n a m ú/u,,,,,,n e j a w a,n e j a w a,,
1932_93_yellow,,é/e e w a,,e w a d a ɽ i,ɛ w a d a l i,,e w a k a n i,ɛ w a d a ɽ i,,k a r a w a r i,,e w a d a ɽ i,eː w a d a l i,eː w a,eː w a d a l i,eː w a d a l e,,é/e e w a,,e w í/i t e,,,t é/e w a ɾ i,t ɛ w a ɽ i,h e w a n i,
1936_93_yellow,,,i ʐ a i k a,,,i ʐ a i k a n i,,,,,,,,,,,,,,,,,,,,
193_86_walk,,á/a a nʰ i,n u a nʰ i k a,n u a h ĩ k a w a,w aː h ĩ k a w a,,,ɽ i ɐ̃ h i k a w a,,,,,,,,,,,,,n a h i k a nʰ i,,,,,
194_37_hotorwarm,,,,,,,,,,,m a ʔ + h ɨ̃,,,,,,i m a,,,,,,,,i m a ʔ a n í/i,s i m a
1957_94_you,,,,tʃ j aː,,,ʃ j a,ʃ aː,,,,,s ɾ aː,s ɾ aː,s ɾ aː,s ɾ aː,,,,,,,,,,
1959_81_thou,,pʰ i a,h i a,pʰ i a,,,pʰ i n a,pʰ i a,b i,pʰ é/e,,k i a,pʰ i a,pʰ i a,pʰ i a,pʰ i a,,p í/i a,pʰ ú/u,pʰ i a,p i ɾ i h a,,p i j a,,p i k á/a,
1959_94_you,,,,,pʰ i a,,,,,,,,,,,,,,,,,,,,,
195_89_what,,,,,,,,,,,,,,,,,,k à/a i n á/a,k eː n i,,,,,,,
196_89_what,,k ô/o a k a ʔ,kʷ a m e d a ɽ i k a,k o a k ɛ h e,k o a k a n i,k o a h i a,k o a k e n a,k o a k a + p áː/aː h ĩ a,,,,k o a p i w a m e,k o k a,k u a k a pʰ a,k o k a,k o a k a,,,,k w a k a,h ã n e kʷ a k ã nʰ ã,,,,,
197_90_white,,,,,,,,,,k a t a r eː i r i,k a tʰ í/i + s i,,,,,,,,,,,,,,,
1_38_i,n u j a,nʰ ó/o a,,nʰ o a,,,nʰ o a,nʰ u ɐ̃,n u,nʰ ú/u,n o w á/a,nʰ o a,nʰ o a,nʰ u a,nʰ o a,nʰ u a,n oː,n ú/u a,,n u h a,n u h ã,,n u j a,,n u k á/a,t e l a n o h ó/o
2009_12_cloud,,eː n ó/o t o n a,,,ɛ n u t o n a,,,e n u t e n ɐ̃,,,,e i n u,,,,,,,,,j e nʰ u n iː s a k u m ã,,,,,
201_10_bone,,,,,,,,,,,p í/i + m i + h i,,,,,,p i,,,,,,,,,p í/i n a
203_10_bone,,,,,,,,,,,,,,,,,,,,,,,n u ʃ i m a p i e,s i m a t i,,
204_37_hotorwarm,,,,,,,,,t a k a n i,,,,,,,,,,,,,,,a t a l i,,
207_92_woman,,,,,,,,,,,,,,,,,,,,,,,,,,j a b u j ú/u
208_45_long,,,,,,,,,,,,,,,,,,,,,,,b a ɾ e d a ɾ i,b a ɾ ɛ d e ɾ i,w a pʰ e r e n i,
210_18_dry,,,,,,,,,,,,,,,,,,,m a k á/a d ú/u,d i m a k a ɾ é/e t a,m ã k a ɾ ə m a n ʊ k a,,,,m a k á/a r a ʔ a k a h e,
211_52_neck,w aː ʃ i,,,,,,,,,,,,,,l i w eː d a l i k o,l i w eː d a l i k o,,,,,,,,,,o a tː á/a
213_93_yellow,,,,,,,,,,,p o ɾ oa + s i,,,,,,,,,,,,p u ɾ e b a ɾ u,,,
21498_5_big,,,,,,,,,,,p o ʔ ɾ í/i,,,,,,,,,,,,,,ɲ ó/o p o ʔ o h l o,
21500_5_big,,m a k a,,m a k a d a ɽ i,m a k a d a ɽ i,,m a k a d a ɽ i,,,,k a + m a k a + h ɨ,m a k a d a ɽ i,m a k a d a l i,,m a k a d a l i,m a k a d a l e,,,,,,,,,,
21509_11_clawornail,j u b a w i a ʃ i,,,,,,,,nʰ a b a,u ʔ u p a,o p a ʔ a,,,,,,o p a h,j ú/u u b a,,d i p á/a d a,,,,,u ʔ u p a,u p a
21514_15_die,,,,,,,,,,,t h o o m a,,,,,,,,,,,,,,,
21517_18_dry,,,,,,,,,,i w á/a,e w aː,,,,,,,,,,,,,,,
21518_19_ear,w i b a ʃ i,,,,,,,,,u ʔ u w i,o ʔ o t á/a,,,,,,oe,u w i,,,,,,,i ʔ i wʰ i h í/i,oɨ
21520_20_earthsoil,,h í/i i p a i,h iː p a j,h iː p a j,h iː p a j,h iː p a j,h iː p a j,h i p a j,,,h i p,h iː p a i,h iː p a i,h iː p a i,h iː p a i,h iː p a i,,,,,h i p a i,,j a tʃ i p e,j a tʃ i p ɛ,,
21528_24_flymovethroughair,j aː r e r i u,á/a a r a,n u a ʐ a k a w a,ɽ i a ʐ a k a w a,w aː l a k a w a,,n u a ʐ a k a w a,,ʰj/jʰ a,á/a a r a,a s a,ɽ i a w ʐ a k a o,j aː ɾ a k e t i,aː ɾ a k e t i,l i a ɾ a k a o,j a ɾ a k a p e,,j á/a l a k a w a,a d ú/u,d i a ɾ a,n a ɾ a h i n ã k a,,m i t a,,a rʰ a k a h e,
21532_27_give,j aː i r i,á/a a,ɽ i a,n ũ a k a n i,,ɽ i a k a,n u a k a,,d a k a,aː,aː,ɽ i a k a o,j aː k a d a,a k a i t a,j a n d a k e t i,j aː k e t i,,w à/a a k a,aː ʔ n í/i,d i á/a,,,,,a ʔ a k a h e,
21540_31_hand,k a h i ʃ i,k á/a a p i,n u k aː p i,,p a k aː p i,n u k aː p i,n u k a p i,ɽ i k aː p i,kʰ a b i,k aː p i,k áː/aː p i,n u k aː p i,l i k aː p i,l i k aː p i,l i k aː p i,l i k aː p i,k a p i,k áː/aː p i,,k a p í/i,p a k a p i,w a k a p i m a,,,,k a p i
21545_34_hear,eː m e r i,h i m a,h i m a,i mʰ ɛ̃ ts ɯ,wʰ eː m a,h i m a k a,wʰ iː m a k a,h j ũ m a k a,t e m u d a,h e m e,h i m a,h i m a,h i m i k a d a,h i m a k e t i,h i m i k e t i,h i m a k e t i,,é/e m ì/i a k a,h é/e ʔ m ú/u,h í/i m a,ã ũ h e m ã n i p ɛ,,,,h e m a ʔ a k a h e,
21546_35_heart,,,,,,,,,,,e j a + ʃ í/i n a,,,,,,,,,,,,,,,ei k á/a
21550_39_kill,iː n u e r i,í/i i n o a,n u i n o a k a,ɽ i n o a k a n i,w a j n o a k a n i,,n u i n o a k a,n u i n o a k a,,n u a,,n u i n i o k a,,i n u a k e t i,iː n o k e t i,i n o a kʰ e t i,,n u á/a k a,,d íː/iː n u,n ã ĩ n u ã h ĩ n ʊ̃ p ɛ,w a j d o a n ĩ p ɛ,,,n ó/o k a h e,
21551_40_knee,j u r u i ʃ i,h ó/o o rʰ i,h i u ʃ i,ɽʰ i o ʐ i,h aː ʃ i,n uː ʃ i,n u s i,ɽ i u ʃ u a tʰ e,,u rʰ u n a,á/a ʔʷ ɨ + s o lʰ a,n u ʐ i p a d a,,,,,o t o + l a + p i n k a,w à/a u l u ì/i,h o ʔ d ó/o n a ú/u,d í/i s i,tʰ u s i s i d a,,,,r i ʔ i r ú/u p a tʃ i,
21553_41_knowsomething,,,,,,,,,,,o m a h,,,,,,,,m a n a á/a t ó/o ʔ,,,,,,,
21556_43_liedown,,ɻʰ u a,,,,,,,,h u a p u k u,ɨ s áː/aː,,,,,,,,ʃ o ó/o n é/e dʒ ú/u,s w á/a,,,,,,
21557_43_liedown,,,,,,,,,,,mʰ o t i/j o m a,,,,,,,,,,,,,,t o ʔ o k a h o,
21558_44_liver,,ʃ ó/o p a n a,ɽ i ʃ u p a n a,n u ʃ u p a n a,n u ʃ u p a n a,,n u ʃ u p a n a,,,ú/u u p a n a,p é/e n e,ɽ i u p a n a,l i s ɾ o p a n a,,l i s ɾ u p a n a,l i s ɾ u p a n a,o p a n e,u b a n a,o p á/a a n ú/u,,,,n u p a n e,n u p a n a,p a n a h i,
21561_47_many,,,,,,,,,,m uː r a,p a l e,,,,,,p o l a + l a,,,,,,,,,
21564_50_mouth,n u m a ʃ i,n ó/o m a,ɽ i n u m a,ɽ i n u m a,ɽ i n u m a,ɽ i n u m a,n u n u m a,ɽ i n u m a,n u m a,n u m a,n o m á/a,,l i n o m a,l i n o m a,l i n o m a,l iː n o m a,n u m a,n ù/u m a,n ó/o,d i n ú/u m a,,w a n õ m a,n u n ú/u m a,n u n u m a,n u m a h i,n o m ɨ
21566_52_neck,,n ó/o o r o,ɽ i n u ʐ u,ɽ i n o ʐ o,p a n o ʐ o,ɽ i n u ʐ u,n u n u ʐ o,ɽ i n ɔ ɽ i,n u nʰ u,,n ó/o ts o,,l i n oː s ɾ o j a p i,l i n oː ɾ u,,,n o t ó/o,,i ɲ o tʃʰ í/i,dʰ i n ú/u ɾ u,p a nʰ o ɾ uː,,n u n u p i,n u n u p i,n ú/u r u p i h i,
21567_53_new,w aː l iː,w a l i,w aː ɽ i t e,w a ɽ i d a ɽ i,w aː ɽ i p ɛ,w aː ɽ i t e,,w a ɽ i p ɛ,,w á/a r i t̪ é/e,w a l i + l a ɾ i,w a ɽ i d a ɽ i,w a l i d a l i,w a l i d a l i,w aː l i d a l i,w a l i d a l e,,w à/a l i s à/a i r i,,w a l í/i t e,w a ɾ i p e ɾ i,,w e n i a p e ɾ i,wʰ e n i a p a ɾ i,,
21569_55_nose,d a k u ʃ i,h i t á/a k o,ɽʰ i t a k u,ɽʰ i t a k o,h ɛ t a k o,ɽ i t a k u,ɽ i t a k o,ɽʰ i t a k o,,h i t á/a k ú/u,ɨ t o k ó/o,h i t a k o,l iː t a k o,,i t a k o,l i t a k o,i t a k u,í/i d a k u,h i t á/a k ó/o,d i tʰ a k ú/u,ɾ i h t a k u,w a h t a k u,,,t a k u h i,i tʃ u k u
21570_56_not,m a,m a,,,,,,,,,m a,,,,,,m a a r i,,m a,m a,,,m a,,,
21575_57_one,aː b a i,a a p a,h a p a j t a,a p a d a t a,a p a i t a,h a p eː p a,p a d a t a,a p a d a,b a k u,p a p u,p e + l ó/o,h a p a d a,p a d a ts a,a p a d a n a l i,p a d a ts a,p a d a ts a,a p e a l a,a b ì/i,p a t o pʰ e,p áː/aː d a,p ə i t e t u k i,pʰ ɛ p a,a p a,p a tʃ ɛ ɾ o,p a h l u w á/a h a,a pʰ ɨ lʰ á/a
21579_58_path,,i n í/i p o,i n i p u,i n í/i p o,iː n i p o,e n i p u,i n i p o,i n i p o,d i n a b u,j ó/o o p u,e ɲ é/e p o,i n i p o,,i n i p u,i n i p o,i n i p o,,à/a j a p u,a dʒ á/a p ó/o,h i n í/i p u,h i n i p u,,t e n e p u,t ɛ n ɛ p u,i ɲ e ʔ e p ú/u,
21580_46_man,,n e w í/i k i,,,,,,,,,,,,,,,,,,,,,,,,
21580_59_peopleorperson,w e n à/a i w i k a,n e w í/i k i,,,,,,,,n é/e k i ɾ i,i n í/i,,,,,,,w e n à/a i w i k a,i n á/a a v i ʔ ʒ a á/a n i g í/i,n a w í/i k i,,n a w i k i + m a s i t ɛ,ɲ a m a ɾ i,,i n a ʔ u k é/e,
21581_60_rainprecipitation,j ú/u w e r i u,,,,,,,,,,o w i,,,,,,o w i/j e + h o k a,,,,,,,,,o w i j a
21584_62_rock,í/i i b a,h iː p a d a,h i p a d a,h i p a d a,h iː p a d a,h iː p a,h i p a d a,h i p a d a,t i b a,h í/i i p a,p á/a l a,h iː p a d a,h iː p a d a,h iː p a d a,h iː p a d a,h iː p a d a,,í/i b a,,h i p á/a d a,h i p ã d aː,h i p a ɾ a,i p a,iː p a,h i p a,s e p á/a
21585_65_sand,k á/a i n a,k á/a i d a,k a i d a,k a j d a,k a j d a,k a i d u k o a,k a j d a,k a j d a,,k á/a ʔ a,k a ʔ í/i,k a i d a,,k a i d a k u a,k a i d a,k a i d a,k iː,k a i n a,,k á/a i d o,k a i d a kʷ a,k a i d a kʷ a,,,k e ʔ p é/e,k éi/ei
21586_66_say,m á/a i r i,,,,,,,,,í/i m a,m a,,,,,,e m e ʔ,í/i m a,k e m ú/u,,,,m á/a k a,,m í/i,
21588_67_see,,,,,,,,,,,a w ɨ́/ɨ t a,,,,,,,,,,,,e d a,n ɛ t a m i h ɐ̃,,
21591_68_seed,í/i i m i ʃ i,,,,,,,,,,ts + ɨ́/ɨ + m i,,,,,,,í/i i m i,h í/i m i ú/u,,,,,,,
21594_71_sleep,m á/a a i r i,í/i m aː,n i m aː k a,wʰ ɛ m aː k a,w e m aː k a,n i m aː k a,n u i m a k a,n u m a k a,d u m a,i m á/a a,í/i m a k a,w e m aː k a,i m aː k a d a,m a k e t i,p e m aː k a,i m aː k e t e,i m a + t a,i m á/a k a,í/i m ú/u,d íː/iː m a,t u p e m a w ã n i,w ɛː m a n ĩ p ɛ,tʃ i m a,n u tʃ i m a m i,k a m á/a t a k a h o,i m a + k a
21596_73_smokeexhaust,,,,,,,,,,,tʃ e ʔ p a ɾ í/i,,,,,,,,,,,,,,,
21603_77_swim,,aː nʰ i,,,,n u a h ã k a w a,,,,,a n a + p o k o,,h i ɲ a k a d a,a nʰ a k e t i,,,,,,,n a i h a n ã,,,,,
21604_19_ear,,h i n á/a k o l i k o,,,,,,,,,h e + n o k o,,,,l i n a k o l i k o,,,,h e n á/a k ó/o,,,,,,,
