Cognate_ID,Badga,Betta_Kurumba,Brahui,Gondi,Kannada,Kodava,Kolami,Kota,Koya,Kurukh,Kuwi,Malayalam,Malto,Ollari_Gadba,Parji,Tamil,Telugu,Toda,Tulu,Yeruva
30_fish,m iː n ə,m iː n u,m a tʃː iː,m iː n,m iː n ə,m iː n ə,g u ɖː i,m iː n ə,k iː k e,i n dʒ o,,m iː n,m iː n d u,m iː n,k e y,m iː n ə,tʃ eː p a,m iː n,m iː n ə,m iː n ə
31_fly,p a ɾ a pː ə,p aː ɾ,b aː l + k a nː i n g,p a ɾ i,h aː ɾ u,p aː ɾ a,t u l s aː d,p aː ɾ ʋ u,t u lː a,u ɖ i j a ɾ n a,,p a ɾ a kː u g a,u ɖ aː ɾ i,,,p a ɾ ə,e g u ɾ u,p oː ɾ tʃ,ɾ aː p a ɾ a,m a nː ə
32_foot,a n g aː l ə,k aː l ə,n a t,k aː l,a ɖ i,a n g aː l,dʒ e ʈː a,t a p a ɖ,a ɖ u g u,kʰ e ɖ,p aː d a m i,a ʈ i,ɾ a ɖ a d u,p aː d a m,,a ɖ i,a ɖ u g u,k oː l,k aː l ə,k aː l ə
33_full,tʰ u m b e,f u lː ə,p u ɾ,n i ɳ ɖ,t u m b i d u,d u m b a,n i n ɖ u,,n i n ɖ aː,n i n d k a,g u ɾ a,n i ɾ a ɲ a,n i n d p aː,p u n e ʈ,,n i r̪ a i n t a,n i n ɖ u,s oː kː a i j e,d i n dʒ i d u n ɖ u,d u m b a
34_give,k o ɖ u,k o ɖ,t i nː i n g,h i,k o ɖ u,k o ɖ i,s iː t aː n,t e j,iː m,tʃ i h n a,t a a,k o ɖ u kː u g a,tʃ i b aː h,tʃ i,c iː,k u ɖ ə,i tʃː u,i tː ʃ a d t a,k o ɾ o,k o ɖ u
35_good,o ɭː a j a d ə,n a lː,dʒ u aː n,a sː a l,o ɭː i j a d u,n a lː a,s o b h a t a n,o l u d ə,m a n tʃ i d,d aː ʋ,n e j u n,n a lː a,h eː ɖ u,,,n a lː a,m a n tʃ i,u l t i,e ɖː e d a n a,n a lː ə
36_green,p a tʃː e,p a sː l aː n g i,g u a n a kː i,p a tʃː a d,h a s i r u,p a tʃː e,n i g u ɾ,p a tʃː ə,p a tʃː a,h a ɾ i j aː ɾ,aː k u p a tʃː a,p a tʃː a,ɾ a n a l o,,p a y,p a tʃː ə,p a tʃː a,p a tʃː a i,p a tʃː e,p a tʃː e
37_hair,o ɾ a m e,t aː k ə ɾ ə,p u ʒ ʒ ɛ,k e l,k uː d a l u,t e l a m i,t iː ɾ u,m a n ɖ ə + m iː ɾ ə,dʒ u ʈː u l,tʃ u ʈː i,b a n a,m u ɖ i,t aː l i,tʃ e n d i,,m u ɖ i,v e ɳ ʈ ɾ u k a l u,m iː ɾ s,k uː dʒ a l,t i l a m i
38_hand,k a j,k iː j a,ɖ uː,k a j,k a j,k a j,k e j u,k a i j,k a j,kʰ e kʰː a,k e j u,k a j,ʈ e ʈ u,k iː,k e y,k a j,tʃ e j j i,k o i,k a i,k a j
39_head,m a n ɖ e,m a ɳ ɖ i,k aː ʈ u m,t a lː a,t a l e,m a ɳ ɖ e,t a l,m a n ɖ ə,t a l a k aː j,k u k,t ɾ a j u n,t a l a,k u k u d u,t aː l,t e l,t a l ə,t a l a,m a ʈː ə,m a n ɖ a,t i l e
3_ashes,k o l a b uː d i,p iː d i,h i s,n iː ɾ,b uː d i,b uː d i,b u gː i,p oː d u + a t u k ə,b uː ɖ i d a,tʃ i n d,,tʃ aː m b a l,,n i ɖ,n iː d,s aː m b a l,b uː ɖ i d a,p uː d i,tʃ uː n j a,b uː d i
40_hear,k eː p ə,k əː ɭ,b i n i n g,k e n dʒ,k eː ɭ u,k eː ɭ ə,ʋ i n t i,k eː l ə,k eː dʒ a,m e nː a,,k e l k u g a,m eː n a,,v e n,k eː ɭ ə,ʋ i n u,k eː l,k e ɳ a ɾ a,k eː ɭ u
41_heart,,j a d d i,u s t,g u ɳ ɖ e,h r u d a y a,h r u d a j a,g u n ɖ e,n e n dʒ u,g u ɳ ɖ e k aː j a,b u k a,,h ɾ u d a j a m,h u g l iː,dʒ i b e,,i d a j a m,h ɾ u d a j a m u,m a n a s ə,,n e n dʒ i
42_horn,k o m b ə,k o m bː ə,m a ɾ gʱ,k o ɾ,k o m b u,k o m b ə,k o mː u,,k o mː,m a ɾ a g,,k o m p ə,m a ɾ g a d u,k a ɾ + g u tʃ u l,,k o m b ə,k o mː u,k uː ɾ,k o m b u,k o m b ə
43_kill,k o pː ə,k e n g aː ɭ,k a s f i n g,h a ʋ k a,k o lː u,k o lː ə,a l a n g ʈ aː n,t aː ʋ i ɾ,a ʋ a k aː,e ɖ a b n a,,k o lː u g a,b a dʒ p o,,,k o lː ə,tʃ a m p u,k e ɖ u k i s t i,k e ɾ i j a ɾ a,k o lː ə
44_knee,m u ʈː i,m a nː g aː l ə,g oː ɖ,t o n g ɾ a,m u ɳ a k aː l o,m a ɳ ɖ i,m u ɖ s u,m oː g aː l,m oː k aː l,m u k a,m e n d a j a,m u l̪ a ŋ k aː l,m uː k a,ʋ a n g u l,,m u l̪ a ŋ k aː l,m oː k aː l u,m u ʈː i,m e ɳ a k aː l ə g a n ʈ u,m uː l e k aː l ə
45_know,a ɾ a ʋ ə,g o tː + u ɳ ɖ i,tʃ aː i n g,j e ɾ p a ʈ,a r i,a ɾ i,u ɾ t a n ɖ aː t,a s uː b e j,t e l u s eː,a kʰ n a,,a ɾ a j u g a,h aː h p o,s u n,p u n,a r̪ i,e r̪ aː g u,a ɾ s p i n i,t e ɾ i j a ɾ a,a ɾ i ʋ o
46_leaf,e l ə,j a l i,p a nː,aː k i,j e l e,e l a k a ɳ ɖ a,aː k,eː l u,aː k iː,a t kʰ a,p a t ɾ a,i l a,h aː tʰ a,ʈ u n ɖ e,e v,e l e,aː k u,e ɾ s,i ɾ a,e l e
47_lie,h a ɖ a ʋ ə,b aː ɖ,d ɾ o gʱ + t a ɖ i n g,m i ɳ ɖ s i,m a l a g u,b u d d a,l a b aː ɖ + m u ɖ s a t i,,u n dʒ a,p a i h a,,k i ɖ a kː u g a,k oː ɖ p o,,m a ɖ,k e ɖ ə,p a ɖ u k o n u,p o a ʈ tʃ iː,b u ɾ oː n a ɾ a,b iː n d o
48_liver,,t ə d l ə,dʒ a g a ɾ,t a ɾ k i,h iː r i,t o m b e,k a l e j a,iː r u,k aː dʒ a m,u m b a l kʰ o,,iː r a l,tʃ e d ɾ o,t a ɖ i n g,t a r u ŋ g,iː ɾ a ɭ,k aː l e j a m u,k u ɖ aː l,,t o m b e
49_long,u tː a,u d d u,m u ɾ g u n,l aː m,u d d a,u d d ə,p o ɖ aː m,n iː t a m,p o ɖ a ʋ u ʈ aː d u,d i g aː h,,n iː n ɖ a,d i g a ɖ o,,,n iː ɳ ʈ a,p o ɖ a ʋ u,n e ɾ t i,u d a,n iː ʈ a
4_bark,p a ʈː e,m e ɾ t oː l ə,b u n d,t oː l,n aː r u,a ʈː e,ɖ a n ɖ i + m a ɖː a,k o lː u tʃ o,b e ɾ a ɖ u,oː ɖ a k,,p a ʈː a,,,,p a ʈː e,p a ʈː a,p u ʈ k o ɾ i,k e tː a,t oː l u
50_louse,i l i,p j aː n u,b oː dʱ,p o ɾ k i,h eː n u,p eː n ə,p aː n u,p a i j i,p o ɾ i k i,p eː n,,p eː n,,,p eː n i,p eː n ə,p eː n u,i ɾ s,p eː n,p eː n ə
51_man,k a n ɖ u m u g a,g ə ɳ ɖ a ɭ ə,n a ɾ e e n ə,m a n k a l,p u r u ʂ a,aː n a a ɭ ə,m a n i ʂ aː n,g a n m a g u,m a g a ʋ aː ɳ ɖ,m eː t,k a k a s i,aː ɳ ə,m u ɖ s aː,,,aː ɳ ə,p u ɾ u ʂ u ɖ u,aː l o m,aː n dʒ ʋ u,p a n i j a
52_many,a pː a ɾ a,k a j ɾ i j ə,b aː z,dʒ aː s t a,h a l a ʋ u,d u m b a,p e ɾ e,iː dʒ oː ɖ,tʃ aː l a,b a gː e,,p a l a,d iː k e h i,,,p a l ə,n aː n aː,u pː uː m,b aː ɾ i,t u m b a
53_meat,p aː ɖ ə,ə ɾ s i,s uː,h a ʋː i,b aː ɖ u,e ɾ a tʃ i,m u ɾ i j a,p o d u,a n g iː,a h ɖ aː,,i ɾ a tʃ i,m aː k ɖ u,,,i r̪ a i c c i,m aː m s a m u,p iː t,m aː s a,i ɾ a tʃ i
54_moon,t i n g u ʋ a,p ə ɾ i,ʈ uː b e,dʒ a n g o,c a n d r a,tʃ e n d ɾ a,n e l a,n e l a v ə,s a n ɖ a m aː m a,tʃ a n d o,l e n dʒ u,tʃ e n d ɾ a n,b i l p d u,n e l i n g,n e l i ɲ,c a n t i r a n̪,tʃ e n d ɾ u ɖ u,n i l a,tʃ e n d ɾ e,n i l a tʃ i
55_mountain,m a l e,b ə ʈː ə,m a ʃ,m e ʈː a,b e ʈː a,k u n d ə,d a n ɖ i m eː ʈ,ʋ eː ʈ u m e,g u b a l,p a ɾ t a,,m a l a,b eː ɖ o + p a h aː ɖ i,k a pː e,,m a l a i,k o n ɖ a,t i ʈː ə,d aː ɾ i,k u n d ə
56_mouth,p e,b aː j ə,b aː,t o ɖː i,b aː j i,b aː j i,m uː t i,ʋ aː j i,p a v uː ɾ,b a j i,g u ʈ i,ʋ aː j a,t o ɾ o,tʃ aː l u,v aː y,ʋ aː j i,n oː ɾ u,p oː i,b aː j i,b aː j i
57_name,e s a ɾ ə,p j aː ɾ ə,p i n,p o ɾ o l,h e s a r u,p e d a,p eː ɾ,p eː ɾ,p e d e ɾ,n aː m e,d o r u,p e ɾ ə,n aː m i,,p i d i r,p eː ɾ ə,p eː ɾ u,p eː ɾ,p u d a ɾ ə,p eː ɾ u
58_neck,k a t ə,k pː m aː ɭ i,l e x,g u ɖ u n g a,k u tʰ i g e,b oː ɭ e,m a k,k a ɖ a t eː l,m e ɖ a k aː j a,kʰ e s i r,,k a ɻ u t ə,a s a ɾ d u,k a n ɖ,,k a ɭ u tː ə,m e ɖ a,m a ɾ,k e kː i l ə,b oː ɭ e
59_new,o s t ə,p ə j j m ə n,p uː s k u n,p u n a,h o s a d u,p u d i j a,k o t a,p u d i j a d ə,k o tː a d,p uː n a,p u n i,p u d i j a,p uː n a,n i a,p u n,p u d u s ə,k o tː a,p u d uː n,p o s a tː a,p u d i j a i
5_belly,o ʈː e,p o ʈː i,p e ɖʰ,p iː ɾ,h o ʈː e,p o ʈː e,ʈ e ʈː e,n a ɖ p eː ʈ g u,ɖ o kː a,k uː l,b a n ɖ i,ʋ a j a ɾ ə,p u ɖ aː,p u d u g,p o ʈː a,v a y i r̪ u,p o ʈː a,p i ɾ,b a n dʒ i,b a i ɾ u
60_night,i ɾ ə,ə d l ə,n a m,n a ɾ k a ɖ,ɾ aː t ɾ i,b a j i ʈ ə,s i ɾ b e d i n,eː l u m a ɾ a m,m u l i p e,m aː h a,l aː n,ɾ aː t ɾ i,ɾ aː t i,,,i ɾ aː ʋ ə,ɾ aː t ɾ i,e kː aː ɖ ə,ɾ aː t ɾ e,a n d i
61_nose,m uː k ə,m uː kː ə,b aː m u s,m o s o ɾ,m uː g ə,m uː kː ə,m uː kː,m uː k ə,m o sː oː ɾ,m uː j i,m u n g e l i,m uː k ə,m u s oː,m u n g a n,m u v ã ɖ,m uː k ə,m u kː u,m i tː uː p,m uː g u,m uː kː ə
62_not,k u lː e,i l a,aː x a,h e lː e,a lː a,i lː e,k aː d u,i lː a,i lː e,m a l a,,i lː a,m a l aː,,,i lː e,l eː d u,aː ɖ u d i,aː t u,i lː e
63_one,o n d ə,ʋ a n d ə,a s i t,o n d i,o n d u,o n d ə,o kː oː t,oː d i t,o ɾ ɾ oː ʈ,oː n d,r a n ɖ i,o nː ə,oː n d,o k u ʈ i,o k,o nː ə,o k a ʈ i,u tː ə,o n dʒ i,o n dʒ u
64_person,k a n ɖ ə,aː ɭ ə,b a n d a g,l o k u ɾ,m a n u s a,m a n a s a,m a n i ʂ aː n,,m a n s uː ɳ ɖ,aː l,,m a n u ʂ a n,m a l a h,,,m a n̪ i t a n̪,m a n i ʂ i,k i nː uː ɖ ə,m a n u ʂ eː,m a n u tʃ e
65_rain,m e,m a ɭ i,p ɛ ɾ,p i ɾ,m a ɭ e,m a ɭ e,ʋ aː n a,m a i,ʋ aː n a,tʃ eː p,b e l a,m a ɻ a,dʒ a ɖ aː,,v aː n i,m a ɻ a i,ʋ a r ʂ a m,m e ɖ u tː i,b a ɾ s a,m a ɭ e
66_red,k e pː ə,t i sː ə g a ɳ ɖ aː n g i,x iː s u n,e ɾ ɾ a g,k e m p u,tʃ oː p ə,j e r u ɖ i,n e t i ɾ,e ɾ ɾ a,k h e s o,n e t u ɾ i,tʃ u m a pː ə,eː s o,,k e y,c e + m,e ɾ u p u,k e pː ə,k e m p u,tʃ oː p ə
67_road,t aː ɾ i,b a ʈː i,s a ɖ a k,h a ɾ ɾ i,m aː r g a,b aː t e,d a a ɾ,t aː ɾ i,a ɾ ɾ i,ɖ a h a ɾ e,,ʋ a ɻ i,p aː o d u,r a s t a,p aː v,v a l̪ i,m aː ɾ g a m u,aː l a ɾ,p a ɾ v a t a,r a s t e
68_root,p eː ɾ ə,b j aː ɾ ə,ɾ oː t ɛ,h iː ɾ,b eː ɾ u,b eː ɾ ə,ʋ eː ɾ k a m,,ʋ eː ɾ,p aː d a,ʋ e ɾ,ʋ eː ɾ ə,b a n d aː,k u ɾ e,v aː r,ʋ eː ɾ ə,ʋ eː ɾ u,ʋ e ɾ,b eː ɾ u,b eː ɾ ə
69_round,,b ə j n s a k ɾ a n g uː d ə,g oː l + p e ɾ i,g u ɳ ɖ ɾ a l,b a ʈː a,u ɾ u ʈ a,b u bː a ɾ i,ʋ a ʈ a m,g u ɳ ɖ ɾ aː n,g u ʈ i ɳ ɖ a,,v a ʈː a,g u ɖ m e,,,ʋ a ʈː a m,g u ɳ ɖ ɾ a n i,u ʈː i,u ɾ u ʈ ə,u ɾ u ʈ u
6_big,d o ɖː a d ə,d a pː u,b a lː u n,p e d d a,d o ɖː a d u,b a l j a d ə,,t o ɖ u t,b e ɾ ɾ a,k o h a,b eː ɾ,ʋ a l u d ə,b eː ɖ o,m u ɾ e,b e r t o,p e ɾ i j a,p e d d a,i tː uː ɖ ə,m a lː a,b a l e j i
70_sand,p a kː e,m a ɳ a l ə,ɾ eː k,u s k e,m a r a ɭ u,m a ɳ a,u s u k a,,i s i k e,tʃ a l k u ɾ u,b a l i,m a ɳ a l,b aː l i,m aː n,m a n,m a ɳ a l,i s u k a,m a n a l,p o j j a,m a ɳ ə
71_say,e g ə ʋ ə,p əː ɭ,p aː n i n g,i n,h e ɭ u,a nː ə,,p a i d u,k e lː a,b a kʰ n a,,p a ɾ a j u g a,h a u ɖ p o,,e n,tʃ o lː ə,tʃ e pː u,aː ʋ a ɖ ə,p a ɳ a ɾ a,p a ɾ e
72_see,n oː ɖ ə,n oː ɖ,u nː i n g,h u ɖ a,n oː ɖ u,n oː ʈ ə,t aː n a,n oː ʈ ə,uː ɖ a,j eː ɾ n a,,k aː ɳ u k a,ʈ u n ɖ p o,tʃ u,,k aː ɳ,tʃ uː ɖ u,n uː ʈ,t u ʋ aː ɾ a,n oː k u
73_seed,p i tː ə,b i sː ə,b e dʒː,v i dʒː a,b e d e,k u ɾ u,ʋ i tː a n a m,ʋ i t u,p eː ɳ ɖ k u,b iː,,v i t a,,,v i tː i d,ʋ e d ə,ʋ i tː a n a m,p i tː ə,b iː dʒ a,k u ɾ u
74_sit,k u ɭ ə ʋ ə,k uː ɾ s u,t uː l i n g,u d d a,k u ɭ i t i k o,a ɭ e,u d ə,,k u d d aː,o kʰ n a,,i ɾ i kː u g a,h o k p o,u n d u,,u kː aː ɾ ə,k uː ɾ tʃ o,e ɾ a kː a ɾ,k u lː a ɾ a,i ɾ a i k u
75_skin,t oː l ə,t oː l ə,s i l,t oː l,t o g a l u,t oː l ə,t oː l,t oː l u,t oː l,tʃ a p ʈ a,,t o l i,tʃ aː n a,t a l,t oː l,t oː l ə,t oː l u,t uː ɾ s,tʃ e ɾ m a,t oː l u
76_sleep,o ɾ ə g ə d ə,a ɾ g u,x a tʃ i n g,m iː ɳ ɖ a,m a l a g u,o ɾ a,iː m a n g s a t i,o ɾ ə g ə,u n dʒ a ʈ a m,k h a n d a ɾ n a,,u ɾ a n g u g a,a n d a ɾ p o + k oː ɖ a,,m a ɖ,u r̪ a ŋ k u,n i d ɾ a p o ʋ u,o ɾ kʰ ə,dʒ i pː a ɾ a,o ɾ a
77_small,k u nː a d ə,k i ɾ i,tʃ u n a k,tʃ i nː a,tʃ i kː a d u,tʃ e ɾ i j a d ə,s i nː a,g u n t ə,tʃ i nː a d,s a nː i,,tʃ e ɾ i j a,ɾ i k ʋ aː d i,k a n d eː k,c i n,c i r̪ i y a,tʃ i nː a,k eː ɾ uː ɖ ə,k i ɲ a,tʃ e ɾ i j a
78_smoke,h o g e,p ə gː i,m oː ʃ,p o j a,h o g e,p o g e,p o g,p e g u,k u m p oː ɖ,m o s a g a,,p u k a,m oː h a,p o aː g,,p u k a i,p o g a,p u k u ɖ t i,p o g a,p o g e
79_stand,n i pː ə,əː ɭ,s a l i n g,n i l,n i n t i k o,n i n d ə,n iː m aː n,n i nː a t u k ə,n i lː a,i dʒː n a,,n i l k u g a,h i l p o,,n i l p,n i l,n i l tʃ o n u,m u kː a ɖ u ɾ i l,u n t a ɾ a,n i n dʒ o
7_bird,,p i kː i,tʃ o k,p i ʈː ə,h a kː i,p a k ʂ i,p i ʈː a,p a kː i g a ɭ,p i ʈː eː k u,o ɖ a,m i n u,p a k ʂ i,p u dʒ u d u,t i t ə,,p a ɾ a ʋ a i,p a k ʂ i,p a ɾ a ʋ a i,p a kː i,p a k tʃ i
80_star,n a tʃː a t ɾ a,m iː n u,i s ʈ aː ɾ,s u kː u,n a k ʂ a t ɾ,n a k ʂ a t ɾ a,s u kː a,n a k ʂ a ʈ i ɾ a m,u kː a,b iː n k o,h u k a,n a k ʂ a t ɾ a m,b iː n k a,p u ʈ,c u kː a,m iː n̪,n a k ʂ a t ɾ a m u,n a ʈ tʃ a t i ɾ a m,n a k ʂ a t ɾ e,n a tʃː a t i ɾ a
81_stone,k a lː ə,k a lː ə,x a l,b a ɳ ɖ a,k a lː u,k a lː ə,g u n ɖ ə,k a l,ɾ aː j,p a kʰ n a,ʋ a l i,k a lː ə,g u g a,k a n ɖ,k e l,k a lː ə,ɾ aː j i,k a ɾ s,k a lː u,k a lː u
82_sun,o tː ə,p o tː ə,d e,p o ɾ ə,s uː r j a,s uː ɾ j a,s u ɾ i j a,s uː r i j a n,p o ɖ u d u,b iː ɖ i,ʋ e d a,s uː ɾ j a n,b eː ɾ d u,ʋ e l e,,s uː ɾ j a n,s uː ɾ j u ɖ u,s uː ɾ i j a n,s uː ɾ j e,tʃ uː r j a
83_swim,n iː n d ə,n iː n ɖ ʒ u,b e ʂ o l i n g,p o h e m,iː dʒ o,m iː ɾ o d u,p oː n i m,n iː tʃ a l,iː t a,oː g n a,,n e e n t u g a,h oː g p o,,,n e e n t ə,iː d u,n iː tʃ a l,m iː n d a ɾ a,m a ɳ a
84_tail,p aː l ə,b aː l ə,l i ʈː i k,t o k o ɾ,b aː l a,b aː l ə,t oː k a,ʋ aː l ə,t o k aː ɾ,kʰ o l a,,ʋ aː l ə,o l i,k i n d i ɾ,t oː k a,ʋ aː l ə,v aː l a m u,p oː ɾ s a m,b iː l a,b aː l u
85_that,a d ə,a d ə,a e,a d u,aː,a d ə,a d,a dʱ ə,a d d u,h uː,e t,aː,aː d u,a d ə,aː,a n t a,aː,a d ə,a ʋ u,a ʋ eː
86_this,i d ə,i d ə,d aː,i d,i dʱ u,i d ə,i d,i dʱ ə,i d d u,iː d,i d u,iː,iː d u,i d ə,iː,i n t a,iː,i d ə,u n d u,i ʋ eː
