Cognate_ID,Batek_Deq_Koh,Batek_Deq_Terengganu,Batek_Teh_Lebir,Batek_Teh_Taku,Batek_Teq,Ceq_Wong,Jah_Hut,Jahai_Banun,Jahai_Rual,Kammu,Kensiw_Kedah,Kensiw_Perak,Khmer_Siem_Reap,Khmer_Surin,Kintaq,Lanoh_Kertei,Mah_Meri,Maniq,Menriq_Lah,Menriq_Rual,Mon,Semai_Kampar,Semai_Ringlet,Semaq_Beri_Berua,Semaq_Beri_Jaboy,Semelai,Semnam_Bal,Semnam_Malau,Temiar_Kelantan,Temiar_Perak,Tenen_Paborn,Tenen_Palian
119_thin,j a ŋ k ɛ̃ c,h ə t ɛ l,j r a ŋ k ɛ̃ c,k u r u s,,s t a l,n i p i s,l i p i s,k o r o s,h n t à/a,k m u j o ʔ,k m u ʔ j o ʔ,s ə d a ə ŋ,s d ʌː ŋ,k m u j o ʔ,k u r u s,s e j,l a k ĩ ẽ n,r a ŋ k ɨ ɲ,n i p i s,k r ɔ j,ŋ s ɛ j,ŋ s ɛ j,ʔ i ɲ s ɛ̃ j,m i p i s,s e j,k b eː t,k b eː d,p ə h e ɲ,pʰ ẽ ŋ,j ʁ i s,j ʁ i s
11_breast,ʔ ã m,ʔ ã m,ʔ ã m,ʔ ã m,ʔ ã m,b u ʔ,b u ʔ,ʔ ɛ̃ m,ʔ ɛ̃ m,p ù/u,ʔ ã m,ʔ ã m,d ɒ h,d ɒ h,ʔ ã m,,t u h,m a m,ʔ ã m,ʔ ã m,t ɔ h,m ɛː m,m ɛː m,t u h,t u h,t u h,m ɛː m,,b ɔ t,b ɔ t,m a m,m a m
120_this,d ɛ ʔ,d e ʔ,t ɘ h,t ɘ h,t ɛ̃ ʔ,d a ʔ,d ɔ h,t ə̃ h,t ə̃ h,k ì/i i,ʔ ɨ̃ h,ʔ ɨ̃ h,n i h,n i h,ʔ ɨ̃ h,n ɔ o h,n ɔ h ɔ̃ ʔ,ʔ m,t ɘ h,ʔ ũ h,n ɔ ʔ,d ɛ h,d ɛ h,n ɔ ʔ,n a ʔ,ʔ n ɔ ʔ n ɔ ʔ,n ɔ h,n ɔ h,d o h,d o h,,t d ɛ h
121_thou,m ɔ h,m ɔ h,b ɛ ʔ,m ɔ h,m ɔ h,m ɨ̃ ʔ,ʔ i m a h,p a j,m ɔ h,m è/e e,b ɔ ʔ,b ɔ ʔ,n ĕ a ʔ,ʔ ɛː ɲ,m u h,m i h,h i ʔ,m ɔ h,b ɛ ʔ,m ɔ h,ɗ e h,h ɛː ʔ,h ɛː ʔ,h e ʔ,h e ʔ,j i,m ĭ h,m i h,h ãː ʔ,h ãː ʔ,,
122_three,t i g a ʔ,t i g a ʔ,t i g a ʔ,t i g a ʔ,t i g a ʔ,p ɛ t,t i g a ʔ,t i g a ʔ,t i g a ʔ,p é/e,t i g a ʔ,t i g a ʔ,b ʌ j,b ɛ j,t i g a ʔ,t i g a ʔ,m̥ p e ʔ,t i g a ʔ,t i g a ʔ,t i g a ʔ,p o e ʔ,n iː ʔ,n i ʔ,m p ɛ ʔ,h m p ɛ ʔ,h m p ɛ ʔ,t i g aː ʔ,t i g a ʔ,n ɛ ʔ,t i g a ʔ,t i g a ʔ,t i g a ʔ
123_throw,p ə n t ɔ ŋ,,p n t ɔ ŋ,p a ŋ k a ʔ,,k a l o ŋ,l i m p a r,h a k ɔ k,h a k ɔ k,w á/a t,c e k,hʷ i t,c a ɔ l,c ɔː l,c e k,b d a l,w e̤ t,h a m a t,t u k u l,p a ŋ k a ʔ,k l ɔ h,p ɛ c,p ɛ c,p a ŋ k a h,w ɛ n,w e n,b d aː l,b d aː l,b ə d a l,b ɘ s,h a m a t,h m a t
124_tie,ʔ i k ɛ t,ʔ i k ɛ t,t a m ɛ t,ʔ i k ɛ t,,s i a t,j k ə t,r b ɛ t,ʔ i k ɛ t,k m h ó/o t,ʔ i k ɛ t,ʔ i k ɛ t,c ɔː ŋ,c ɒː ŋ,ʔ i k ɛ t,b ɨ k,b ə k,ʔ i k ɛ t,ʔ i k ɛ t,ʔ i k ɛ t,k l e a ŋ,b ə k,b ə k,b ə k,b ə k,b ə k,b əː k,b ə g,b ə g,b ɘ k,,s ɨ h
125_tongue,l ə n t ĩ k,l ə n t i k,l n t i k,l n t i k,l n t i k,l a t e k,l n t a k,l n t e k,l n t e k,h n t á/a a k,l t i k,l n t i k,n d aː t,n aː t,l t i k,l n t a k,,l a t i k,l n t i k,l n t i k,k ə t a i k,l n t aː k,l n t aː k,l p ɛ s,l p ɛ s,l p ɛ s,l n t aː k,l n t a g,l ɛ n t aː g,l n t a k,,l t i k
126_tooth,t u l a ŋ + h ã ɲ,h a ɲ,h ã ɲ,j ʔ i ŋ + h ã ɲ,t u l a ŋ + h ã ɲ,l m ũ ɲ,l m u ɲ,h ɛ̃ ɲ,h ɛ̃ ɲ,r á/a a ŋ,ɲ u s,h ã ɲ,tʰ m e ɲ,tʰ m ɪ ɲ,ɲ u s,m ɔ ɲ,j ə m ɔ j,l a m i ɲ,h ã ɲ,h ã ɲ,ŋ ɛ̤ a k,l m uː ɲ,l m uː ɲ,l m ɔ ɲ,l m ɔ n,l m ɔ ɲ,l m ɔ̆ ɲ,l m ɔː ɲ,m ɔ ɲ,m ɔː ɲ,l m i ɲ,l m i ɲ
127_tree,k a j u ʔ,k a j u ʔ,k a j u ʔ,k a j u ʔ,k a j u ʔ,j h ũ ʔ,n ɔ h ɔ̃ ʔ,j h ũ ʔ,j h ũ ʔ,s ʔ’ ɔː ŋ,t o m + ʔ i h ũ ʔ,ʔ i h ũ ʔ,d a ʌ m + cʰ əː,d ʌː m + cʰ əː,t o m + ʔ i h ũ ʔ,j h ũ ʔ,t ə k ɔ h,ɲ a h u ʔ,k a j u ʔ,pʰ o n + k a j u ʔ,n ɔ m + cʰ u ʔ,k n iː ŋ + j h uː ʔ,l a l ə w,d l ɔ ŋ,d l ɔ ŋ,d l ɔ ŋ,ɲ h ũ̆ ʔ,ɲ h ũː ʔ,j ə h ũ ʔ,j h uː ʔ,ɲ h ũ̆ ʔ,j h ũ ʔ
128_turn,p u s i ŋ,,l i m p ɔ w,p u s i ŋ,,p u s i ŋ,k i s a r,p o s i ŋ,p o s i ŋ,k nʷ è/e r,p o s i ŋ,w l w ɛ l,b a ɛ,k ə m ɛː,ʔ ɲ w ɛ̃ ɲ,p o s i k,p u s e̤ k,,k l i l i ŋ,p o s i ŋ,h ə t a h,w ɛ l,p u s i ŋ,w i c,p u s i ŋ,p u s i ŋ,ʔ i l’ w /ə l,p u s i k,w ɛ l,ʔ a w ãː t,n ʁ a ʔ,tʷ i ɲ
129_two,d u w a ʔ,d u w a ʔ,dʷ a ʔ,dʷ a ʔ,d u w a ʔ,b e r,n a r,dʷ a ʔ,dʷ a ʔ,p à/a a r,dʷ a ʔ,d u w a ʔ,p ɪː,p iː r,b i,n a r,m̥ b a,k ə m a m,dʷ a ʔ,dʷ a ʔ,ɓ a,n aː r,n aː r,m a r,h m a,dʷ a ʔ,n aː j,n aː j,n aː r,n aː r,k m a m,k m a m
12_breathe,b ə h i d a p,,t a r i k + k l a ŋ ɛ s,t a r i k + n a p ə s,h ɔ̃ k,h n j ɨ k,t a r e k + n ə h ɔ m,j k j ɨ k,n k j ɨ k,t ó/o h + h r ɲ ʔ ɨ a m,j k j ɨ k,n k j ɨ k,t ə h a ʌː m,d ɒː ʔ + t ə ŋ h ʌː m,j k j ɨ k,h u m h ũ m,t r e k + n a p a s,ɲ k ɲ ɛ k,t a r i k + n a p ə s,n k j ɨ k,j ɐ̤ m,b r l h ɨ m,t a r e ʔ + n a p a s,n ə h ɔ m,t a r e k + ʔ a h ɔ m,ʔ a m h ɔ m,h kʰ ɛ̃ː k,j g j ɨː g,h ə n u m,h m h ũː m,k l a ŋ i ɛ s,j k j ɨ k
130_vomit,k ɘ ʔ,k ə ʔ,k ɘ ʔ,k ɘ ʔ,k ɘ ʔ,k ə ʔ,k ʔ k u ʔ,k ɨ ʔ,k ɨ ʔ,h’ ɨ a l,k ə ʔ,k ɘ ʔ,k ə ʔ u o t,k ə ʔ ʊː t,k ə ʔ,k ɔ o ʔ,k u ʔ,k ɨ ʔ,k ɘ ʔ,k ɨ ʔ,h ə ʔ ɒ ʔ,k ɨː ʔ,k əː ʔ,k u ʔ,k u ʔ,kʰ u ʔ,k ŏ ʔ,k o ʔ,k o ʔ,k oː ʔ,b k a h,k m ɨ ʔ
131_walk,c ɨ p,c ɨ p,c i p,c ɨ p,c ɨ p,c ɨ p,c i p,c ɨ p,c ɨ p,j ʔ ɔ h,c ɨ p,c ɨ p,d a ʌ,d ʌː r,c ɨ p,c i p,c ɔ ʔ,w a,c ɨ p,c ɨ p,kʷ a i k,c iː p,c iː p,sʷ a k,sʷ a k,sʷ a k,c iː p,c iː b,c iː b,c iː p,w a h,w a h
132_washbathe,ʔ n a j,ʔ n a j,ʔ i l a j,ʔ i l a j,ʔ n l a j,m a m ũ h,m a ʔ m u h,ʔ n a j,ʔ n a j,m ù/u u m,ʔ n l a j,ʔ n a j,m ɔː c + t ə k,ŋ uː t + t ɨ ʔ,ʔ n l a j,m a m u h,h u m,k ɔ p,ʔ i l a j,ʔ n a j,k r a t,m a m u h,m u h,m ɔ c,m ɛ̃ h,h ũ m,m a m uː h,j ə p,m u h,m a m u h,g a ʔ i t,g a ʔ e t
133_water,t ɔ m,t ɔ m,t ɔ m,t ɔ m,t ɔ m,t ɑ m,t o w,t ɔ m,ʔ ɔ̃ ŋ,ò/o m,b t e w,b t e w,t ə k,t ɨ ʔ,b t e w,ʔ ɔ̃ ŋ,d o,b a t e w,t ɔ m,t ɔ m,ɗ a i k,t eː w,t eː w,t ɔ m,t ɔ m,d a k,ʔ ɔ̃̆ ŋ,ʔ ɔ̃ː ŋ,ʔ ɔː k,ʔ ɔ̃ː ŋ,b t e w,b t e w
134_weplincl,h e ʔ,h e ʔ,ʔ i p ã h,h i ʔ,ʔ i p a h,h ɛ ʔ,ʔ i h ɛ ʔ,h e ʔ,h e ʔ,ì/i,h e ʔ,j a m,j əː ŋ,j ɨː ŋ,h e ʔ,ʔ ɛ ʔ,h ɛ,ʔ i ɲ,h i ʔ,h i ʔ,p o i + t ɔ ʔ,h eː ʔ,j iː ʔ,h ɛ,h ɛ h,h ɛ,ʔ ɛː ʔ,ʔ ɛː ʔ,ʔ ɛː ʔ,ʔ ɛː ʔ,,
135_wet,p ə c ã ʔ,p ə c ã ʔ,p c ã ʔ,p c ã ʔ,,m ʔ ɑ̃ c,g s ɛ ʔ,p c ɛ̃ ʔ,,s kʼ ɔ,p c u ʔ,p c u ʔ,s a ʌ m,s ʌː m,p c u ʔ,k ʔ ã c,c ɛ c ɛ̃ ʔ,p ã c ẽ ʔ,p c ã ʔ,p c ã ʔ,ɗ ɐ k,k a ʔ ãː ɲ,k ʔ aː c,m ə ʔ ɔ̃ c,s ʔ ĩ h,t k ɔ h,m ʔ ãː c,m ʔ ã c,k ə ʔ ãː j,k ʔ ãː c,p j ɛ̃ ʔ,p j ɛ̃ ʔ
136_what,ʔ a j + l ɘ w,ʔ a j + l ə w,l ə w + ʔ a j,ʔ a l ɘ w,ʔ a j + l ə w,c o ʔ,m n ə,m a m ɛ j,m a m ɛ j,m’ ə h,m ɛ g a ʔ,l ə w,ʔ a v ʌ j,s d e j,m ɛ g a ʔ,,m a s ə,k a l ɨ w,ʔ a l ə w,c a j + b a p,m o̤ ʔ + r a o,m aː h,m aː h,m a ʔ a j,m a h,h m ɔ h,l o ʔ,,l o ʔ,l oː ʔ,k a l ɘ w,k l ə w
137_when,b i l a ʔ + ʔ a j + l ɘ w,m a s a ʔ + ʔ a j + l ə w,b i l a ʔ,b i l a ʔ,b i l a ʔ,p o n,p ə ʔ + n ɔ n,m a p u ʔ,m a p u ʔ,j è/e m + m ʔ ə,j ɛ n h a h,b i l a ʔ,p eː l + n aː,k ɔ l + l aː,j ɛ n h a h,,b i l a ʔ,ʔ a ʔ + c e,b i l a ʔ,b i l a ʔ,c ə l ɔ ʔ + r a o,m p ɛ l,b i l ə h,b i l a ʔ,b i l a ʔ,m r e ʔ,b eː l,b eː l,b eː l,b eː l,,t i g a w
138_white,p ə l t a w,p u t e h,b k ɔ ɲ,b k ɔ ɲ,p l t a w,p u t i h,p u t i h,p u t e h,b k ɔ ɲ,k l’ ɔː k,p l t a w,pʰ ɛ̃ ŋ,s ɔː,s ɒː,p l t a w,b j u k,p u t i h,p a l i e k,b k ɔ ɲ,p l t a w,s a i k + p ṳ ʔ,b j ɛː k,b j ɛː k,p o n h ə l,s u l o k,p u t i h,p l t aː w,p l t aː w,b ə j uː g,b j u k,m a l ũ k,p l j ɛ k
139_who,ʔ o ʔ + l ɘ w,ʔ o l ə w,n a k ɛ n,ʔ a l ɘ w,b a t ɛ k + l ə w,b i ʔ + ʔ a j,ɲ a h,m a k ɛ n,m a k ɛ n,m ʔ ə,t o m + m n i ʔ,t o m + m n i ʔ,n o n aː,ʔ a r aː,t o m + m n i ʔ,,h u m a ʔ,k u ʔ + c ɔ ʔ,m a k ɛ n,m a k ɛ n,ɲ ɛ̤ h + k o̤ h + r a o,b ɔː ʔ,b oː ʔ,ʔ i ŋ k ɔ ʔ,ʔ ŋ k ɔ ʔ,k a d e h,d iː ʔ,d iː ʔ,c ɔː ʔ,c ɔː ʔ,,ʔ e ʔ + k l ɨ ɲ
13_child,ʔ a w ã ʔ,,k ɛ n,ʔ a n a k,ʔ a w ã ʔ,w ɔ ŋ,ʔ i w ã ʔ,w ɔ ŋ,k ɛ n,kʼ ɔː n + n ʔ ɛ,ʔ a n ɛ k,ʔ a n ɛ k,k ɔ o n,k oː n,ʔ a n ɛ k,k ɔ n,k ə n ɔ n,w ɔ ŋ,k ɛ n,k ɛ n,k o n + ŋ a̤ i c,s a ŋ ẽː t,s a ŋ ɛ t,ʔ i w ã ʔ,k n k ɔ n,k n ɔ n,k u oː n,k u oː n,k ə w ɔ t,kʷ ɔː t,w ɔ ŋ,w ɔ ŋ
140_wind,ʔ a ŋ i n,ʔ a ŋ e n,ʔ a ŋ i n,ʔ a ŋ i n,,h ɔ ŋ,m h ɔ ŋ,b g i w,b g i w,h ŋ k ú/u u r,b ɛ w a ʔ,b ɛ w a ʔ,kʰ j ɒ l,kʰ j ɒ l,b ɛ w a ʔ,p a r ɨ k,b u w a ʔ,b u w a ʔ,h pʰ i p,ʔ a ŋ i n,c a,p i n oː j,p i n oː j,t a h o r,cʰ o ŋ,r i b u t,s j aː k,p a j ə k,h ɛ l n ũː l,p a r ɘ k,bʷ a ʔ,bʷ a ʔ
141_wife,k ə n e h,k ə n e h,k n i h,k n e h,k n e h,j ə ʔ,k ə n a h,k n e h,k n e h,k m p r à/a,m a b ɛ h,m a b ɛ h,p ə p ŏ ʌ n,p ə p ŏ a n,m a b ɛ h,l ɛ h,k ə d o,b ɛ d ɔ n,k n e h,k n i h,p r ɛ̤ a,k n a h,k n a h,k m p ə n,g a d ə ʔ,k m p ə n,k d ɔː j,k d ɔ j,l ɛ h,l ɛ h,,b d ɔ n
