Cognate_ID	Apurina	Inapari	ProtoPurus	Yine
189_heavy		p ɨː n o r ɨ	p O/o + h ɨ n o + r ɨ	h i n o l ɨ
18_blood	e r ẽ k a	ɨ r áá/aː + t i	h ɨ r a + h a	h i + h r a h a
190_above		t é/e n o	t e n o	t e n o
191_below		r a p ɨ tʃ a	r a p ɨ	r a p ɨ k o
192_coremiddle		a n i ʔ a + h ɨ	a n i k a + k ɨ	r + a n i k a + ç i + t e
193_two	e p i	h e p í/i	h e p i	h e p i
194_three		m a p á/a	m a p a	m a p a
195_clliquid	ã	ã	h a	h i + h a
196_clcylindrical		p i	p i	p i
197_gendermasc	r ɨ	r ɨ	r ɨ	r ɨ
198_genderfem	r o	r o	r o	r o
199_progressive	n a n ɨ		n a n ɨ	n a n ɨ
19_flesh		ɨ tʃ i + t í/i	h ɨ t ɨ	h i + h i t ɨ
1_body	m a n e	m a n á/a + ʔ a + t i	m a n e	m a n e
200_iterative		n a ʔ a	n a k a	t + n a k a
201_intensive		j a ʔ a	j a k a	j a k a
202_intensifier		p u tʃ i	p u t ɨ	p o t ɨ
203_causverblzr	k a	a	k a	k a
204_adjectivizer	p o	p o	p O/o	p o
205_verbalizer	t a	tʃ a h i	t a	t a
206_absolute	tʃ i	t i	ts i	tʃ i
20_veins	k o ts a	u t a + t í/i	k u ts a	h i + k o ts a
21_buttocks		m u t u + t í/i	m u t u	h i + m o t o
22_leg		tʃ a p a r í/i + t i	t a p a r i	h i + t p a l i
23_thigh	p o r i + k e	p u r í/i + n a + t i	p u r i	
24_knee		u h ɨ́/ɨ + tʃ a + t i	s u k ɨ	h i + s o ç i
25_shin		p a r ú/u + t i	p a r u	h i + p a l o + ç i
26_foot	k i t i	h i tʃ í/i + p a + t i	k i t i	h i + ç i c/tʃ i
27_arm	k a n o	a n o + h e + t í/i	k a n o	k a n o
28_elbow		h i t u + r é/e + h ɨ + t i	h i ts u	h i ts o + h e + r e
29_hand	p i o	m u j ú/u + t i	m u j u	h i + m j o
2_head	k ɨ w ɨ	h ɨ w ɨ́/ɨ + t i	k ɨ w ɨ	ç i w ɨ
30_neck	n o + k ɨ	n u + p i + t í/i	n u	h i + n o + ç i
31_skin	m a t a	m a tʃ á/a + t i	m a t a	h i + m t a
32_navel		p u r ú/u + h ɨ + t i	p u r u	h i + p l o
33_tail	ʃ i p i	i p i + t í/i	s i + p i	h i + n ʃ i
34_wing	m e k ɨ	m e h ɨ́/ɨ + tʃ a + p i + t i	m e k ɨ	h i + m e ç i
35_egg	n a k ɨ	a + n a h ɨ + r ɨ́/ɨ	n a k ɨ	h i + n a ç i
36_feces	t i k a + t i	r i + tʃ i ʔ á/a + m a	t i k a	r ɨ + tʃ k a
37_fart		ɨ h ɨ n ɨ́/ɨ + t i	ɨ k ɨ n ɨ	h i ç n ɨ + tʃ i
38_urine	ts ɨ n ã a	t ɨ n ɨ́/ɨ + t i	ts ɨ n ɨ + h a	ts ɨ nh/n̥ a
39_fat	ĩː		i h i	ç + h i + r ɨ
3_eye	o k ɨ	o h ɨ + t í/i	h o k ɨ	h i + h o ç i
40_name	i w ã k a	ɨ w á/a ʔ a + t i	h ɨ w a k a	h i w a k a
41_house		p a n a + t í/i	p a n a	p a n + tʃ i
42_village	a w a + p o k o	i + p ú/u ʔ ú/u + r i	p u k u	p o k + tʃ i
43_nest		i j á/a r i + t i	s i j a r i	h i + ʃ a l e
44_path		h a tʃ i n í/i	h a t ɨ n ɨ	h a t n ɨ + h a p o
45_path2	ã p o + r ɨ		h a p O/o	h a t n ɨ + h a p o
46_bow	t a p o	tʃ a p ú/u + r i	t a p u	h i t p o
47_arrow		h a á/a r i	k a s i r i	k a ʃ r i
48_rope	ts a	i + t á/a	ts a	h i + ts a
49_canoe	k a n a w a	a n a w á/a	k a n a w a	k a n a w a
4_earhole	k e n a k o + k ɨ	h a n á/a ʔ o + t i	k e n a + k o	ç n a k o + p n a
50_raft		p ɨ m á/a r i	p ɨ m a r ɨ	p ɨ m l ɨ
51_person	k ã k ɨ t ɨ	a h ɨ́/ɨ tʃ i	k a k ɨ t ɨ	k a ç i t ɨ
52_spiritsoul	k a m a tʃ i	a m á/a t i	k a m a + t i	k a m tʃ i
53_man	k ɨ k ɨ	e h ɨ́/ɨ	k e k ɨ	ç e ç i
54_woman	s ɨ t o		s ɨ t i O/o	s ɨ c/tʃ o
55_father	ɨ r ɨ	ɨ r ɨ́/ɨ + t i	h ɨ r ɨ	r + ɨ r ɨ
56_father2	p a t ɨ		p a t ɨ	p a t ɨ
57_mother	ɨ n ɨ r o	ɨ n ɨ r ú/u + t i	ɨ n ɨ r u	r + ɨ n r o
58_mother2	n a t ú/u	n a t ú/u	n a t u	n a t o
59_son		t ɨ r ɨ́/ɨ + t i	t ɨ r ɨ	h i + t ɨ r ɨ
5_hairfeather	p i t i	p i tʃ i + t í/i	p i t i	p i c/tʃ i
60_daughter		i t ú/u + t i	s i t u	r ɨ + ʃ i tʃ o
61_grandson	m e k a ɲ i + r ɨ	m e ʔ a n i + r í/i + s i + t i	m e k a n i + r ɨ	h i + m e k a h j i
62_granddaughter	m e k a ɲ i + r o	m e ʔ a n i + r ó/o + h ɨ + t i	m e k a n i + r o	t o + m e k a h j o
63_fatherinlaw	i m a t ɨ k ɨ + r ɨ	i m a t u h ɨ t í/i + r i	h i m a t u k ɨ	h i m a t ç i + r ɨ
64_motherinlaw		i m a h ɨ + t í/i + r o	h i m a k ɨ	h i m a ç i + r o
65_nephewniece		p a r i ʔ a r e + r ó/o + t i	p a r i k a r e	p a l i k l e + r ɨ
66_youngerbrother	e p ɨ r ɨ	e p ɨ r ɨ́/ɨ + h ɨ + t i	e p ɨ + r ɨ	r + e p ɨ r ɨ
67_youngersister		e p ɨ r o + h ɨ + t i	e p ɨ + r o	r + e p ɨ r o
68_grandmother	a k ɨ r o	a h ɨ r ó/o + t i	a k ɨ r o	r + a ç i r o
69_grandfather	a t o k ɨ r ɨ	a t u h ɨ r ɨ́/ɨ + t i	a t u k ɨ r ɨ	r + a t ç i r ɨ
6_mouth	n a m a	n a m á/a + t i	n a m a	n a m a
70_pet	p ɨ r a		p ɨ r a	p r a + tʃ i
71_pacarodentsp	k a j a t ɨ	a j á/a tʃ i	k a j a t ɨ	k a j a t ɨ
72_capybara		h i p e tʃ í/i	h i p e t ɨ	h i p e t ɨ
73_rat	k o tʃ i	u t í/i	k u ts i	k o tʃ i
74_agouti	p e k i r i	p e h i r í/i	p e k i r i	p e ç r i
75_coati	k a p i ʃ i	a p íí/iː	k a p i s i r i	k a p ʃ i
76_peccarysp1	m e r i t i	m e r í/i tʃ i	m e r i t i	m r i c/tʃ i
77_peccarysp2	i r a r ɨ	h i r á/a r i	h i r a r ɨ	h i j a l ɨ
78_anteater		h ɨ w á/a	s ɨ w a	s ɨ w a
79_tapir	k e m a	h a m á/a	k e m a	ç e m a
7_lip	p o t o	p o t u + m a tʃ á/a + t i	p o t u	h i + ʃ a + p t o
80_capuchinmonkey	tʃ i k o t ɨ	t i ʔ u tʃ í/i	ts i k u t ɨ	tʃ k o t ɨ
81_howlermonkey	k i ɲ a	a í/i n a	k a i n a	k i n a
82_sloth	m a k a r a	m a ʔ á/a r a	m a k a r a	
83_snake	ɨ m ɨ n ɨ	h i m e n í/i	h ɨ m e n ɨ	h i m n ɨ
84_boa		m a p i t í/i r i	m a p i ts i r i	m a p tʃ i r i
85_alligator	k a j u k ɨ r ɨ	a j ú/u h ɨ r ɨ	k a j u k ɨ r ɨ	k ʃ i j o ç r ɨ
86_turtle	s ɨ̃/ɨ̃ p ɨ r ɨ	h i p ɨ́/ɨ r ɨ	s ɨ p ɨ r ɨ	s ɨ p r ɨ
87_ant	k a tʃ i t ɨ	a t í/i tʃ i	k a ts i t ɨ	k a tʃ i tʃ i
88_isulaantsp	m a ɲ iː	m a n e ĩ́/ĩ	m a n a h i	m a n a h i
89_termite	k a m a r a	a m a r á/a + h ɨ	k a m a r a	k a m l a
8_beard	ʃ i ã p o t o	i j a p o t ú/u + t i	s i a + p o t u	h i + ʃ a + p t o
90_wasp	s a n ɨ	h a n í/i	s a n ɨ	s a n ɨ
91_mosquito	a ɲ iː o	h a n i j ú/u	h a n i j u	h a h j o
92_beehoney	m a p a	m a p a á/a	m a p a	
93_fly		h e r í/i + s i	k e r ɨ	ç e r ɨ
94_butterfly	k a t a t ɨ	a tʃ a t ú/u	k a t a t u	k a t a t o
95_cockroach	ts o p a t a	t o p a tʃ a	ts o p a t a	
96_spider		p ɨ tʃ a á/a n a	p ɨ t a h a n a	p ɨ tʰ a n a
97_scorpion		h e ʔ u r ú/u	h e k u r u	h e k l o
98_tick		u p á/a r i	k u p a r ɨ	k o p l ɨ
99_louse		h a p á/a + t i	k e p a	h i + ç e p a
9_tongue	n ɨ n ɨ	n e n í/i + p a + t i	n e n ɨ	h i + n n ɨ
