Cognate_ID,Achang,Alike,Atsi,Bahing,Bantawa,Batang,Beijing,Bokar,Bola,Bunan,Byangsi,Chaozhou,Chepang,Daofu,DarangTaraon,Dulong,Garo,Guangzhou,Hakha,Hayu,Japhug,Jieyang,Jingpho,Khaling,Kulung,Lashi,Lhasa,Limbu,Lisu,Longgang,Lushai,MaerkangrGyalrong,Maru,Mikir,MotuoMenba,OldBurmese,OldChinese,OldTibetan,Rabha,Rangoon,Rongpo,Tangut,Thulung,Ukhrul,WobziKhroskyabs,Xiahe,Xiandao,Xingning,Yidu,Zhaba
0_182_thesickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m o./o ⁵⁵ tsʰ o./o ³⁵,,,,,n o./o k e r a ng/ŋ s o,,,,,,,,dʑ j i,,,,,,,,
0_191_smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n ei,,,,,,,,,,,,,,,,
0_196_thesparrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ʑ ɛ̠ ³³ t ɕʰ ɑ ³¹,,,,,v o./o p u r u,,,,,,,,s o,,,,,,,,
0_1_above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a ng/ŋ s o./o ng/ŋ,,,,,,,,,,,,,,,,
0_208_that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l a,,,,,,,,tʰ j a ¹,,,,,,,,
0_209_there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h á/a,,,,,,,,,,,,,,,,
0_214_this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l à/a,,,,,,,,tʰ j ɨ ²,,,,,,,,
0_225_twenty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ng/ŋ k ò/o i,,,,,,,,n j ɨ ɨ ɣ a,,,,,,,,
0_230_wefirstpersonpluralinclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n e,,,,,,,,g j ɨ ² m j i ²,,,,,,,,
0_232_what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p í/i,,,,,,,,x w a ²,,,,,,,,
0_233_thewheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɕ w ɑ̱/ɑ ³³,,,,,s o./o k + t e p l i,,,,,,,,l̥ j i,,,,,,,,
0_234_where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k o./o d ā/aː k,,,,,,,,,,,,,,,,
0_237_thewife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z ɑ ³¹ m ɯ ³³,,,,,p iː s ō/oː,,,,,,,,b j i j,,,,,,,,
0_241_thewolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a h a r,,,,,,,,,,,,,,,,
0_243_thewoodmaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s i ³⁵ d e ³¹,,,,,tʰ e ng/ŋ p iː,,,,ɕ i ŋ,,,,s j i,,,,,,,,
0_244_tosowbroadcastscatterseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts i l i + k a ng/ŋ d i r,,,,,,,,,,,,,,,,
0_248_yousecondpersonplural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n a ng/ŋ,,,,,,,,,,,,,,,,
0_249_young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a k e b i,,,,,,,,,,,,,,,,
0_24_thechildyounghuman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o./o s ō/oː,,,,,,,,g j ɨ,,,,,,,,
0_28_correctright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts e n a m,,,,,,,,tɕ j ɨ j,,,,,,,,
0_2_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ ài/ai,,,,,,,,z j i ¹,,,,,,,,
0_31_dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ng/ŋ t i ng/ŋ,,,,,,,,,,,,,,,,
0_32_thedaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s o./o p i,,,,,,,,,,,,,,,,
0_45_theearthworm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h i l o./o ng/ŋ,,,,,,,,,,,,,,,,
0_4_thearmpit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j i ng/ŋ + k e p,,,,,,,,,,,,,,,,
0_51_thefather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p ō/oː,,,,,,,,,,,,,,,,
0_55_firewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s i ³⁵,,,,,tʰ eː ng/ŋ,,,,,,,,s j ɨ m ə,,,,,,,,
0_59_tofloat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ng/ŋ l a ng/ŋ,,,,,,,,,,,,,,,,
0_5_bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h e n ō/oː,,,,,,,,,,,,,,,,
0_60_toflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l ì/i,,,,,,,,,,,,,,,,
0_63_thefog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ng/ŋ h u n,,,,,,,,,,,,,,,,
0_68_thefox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k e tʰ oi + tʰ e ng/ŋ b aː t,,,,,,,,,,,,,,,,
0_71_thefrost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e pʰ i k,,,,,,,,,,,,,,,,
0_7_thebarleytibetanorhighland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z u ³³,,,,,,,,,,,,,ɕ j i j,,,,,,,,
0_88_here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ā/aː k,,,,,,,,,,,,,,,,
0_92_thehoof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts i m i,,,,,,,,,,,,,,,,
0_93_horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d e l o./o ng/ŋ,,,,,,,,,,,,,,,,
0_95_thehorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ⁵⁵ m o./o ³¹,,,,,l o./o s ei,,,,,,,,r j i j r,,,,,,,,
0_98_hundred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pʰ a r ó/o,,,,,,,,,,,,,,,,
1001_240_towipe,s u t ⁵⁵,,s u t ⁵⁵,,,,,,s ɔ t ⁵⁵,,,,,,,,,,,,,,,,,s uː t ⁵⁵,,,s i ³⁵,,,,s a̰ t ⁵⁵,,,s u t,,,,tθ o./o ʔ ⁴,,,,,,,s u t ⁵⁵,,,
1002_26_coldoftemperature,,,,,,,,,,,,,,,,,,,,,m ɯ ɕ t a ʁ,,,,,,,,,,,k ə + m ə + ʃ t ɑ k,,,,,,,,,,d ạ/a ²,,,,,,,,
1003_242_thewoman,i ³¹ + nʲ ɔ ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j i ³¹ + ɲ ɔ ³¹,,,
1004_76_good,,,,,,,,,,,,,,,,,,,,,,,,,,,l e k ¹³ + p o./o ⁵⁵,,,,,,,,l e k + p u,,,,,,,,,,,,,,,
1005_36_dirty,,,,,,,,,,,,,,m i + x ts o./o ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a ³³ + ʂ ts ũ ⁵⁵ + m a ³³
1006_169_salty,,,,,,,,,,,,,,,,,,,,,ts r i,,,,,,,,,,,k ə + ts r i,,,,,,,,,,,,,tsʰ r ə́,,,,,tsʰ ɿ ⁵⁵ + z o./o ³³ + z o./o ⁵⁵
1007_40_dry,,,x u i ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f a i ⁵⁵,,,,,,,,,,,,,,,,,
1010_74_togive,,r t e r,,,,t ɛ ʔ ⁵³,,,,,,,,,,,,,,,,,,,,,t eː ⁵⁵,,,,,,,,,,,,,,,,,,,h t e r,,,,
10145_83_heorshethirdpersonsingular,,,,,,,,,,,,i ³³,,,,,,,,,,i ³³,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146_12_thebird,,,,,,,n i ɑ r/o ²¹⁴,,,,,,,,,,d o./o ʔ,,,,,,,,,,,,,t i a u ³⁵ ts a i ³²,,,,,,,tˤ e w ʔ,,t ó/o,,,,,,,,,t i ɑ ɔ ²⁴ t i ²¹,,
10147_12_thebird,,,,,,,,,,,,ts i o./o u ⁵³,,,,,,,,,,ts i a u ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148_20_thebreastfemale,,,,,,,,,,,,,,,,,,n i n ⁵⁵,,,,,,,,,,,,l ɛ n ⁵⁵ k u ³³,,,,,,,,,,,,,,,,,,n i ŋ ⁵³ k u ⁴⁵,,
10150_108_toknowsomething,,,,,,,,,,,,ts a i ³³,,,,,,,,,,ts a i ³³,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151_198_tospit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰˤ o./o j + s,,,,,,,,,,,tʰ u i ⁵³,,
10155_27_tocome,,,,,,,,,,,,,,,,,r e ʔ + a,,,,,,,,,,,,,,,,,,,,,,r ɨ́ + b a,,,,,,,,,,,
10156_44_theearthsoil,,,,,,,,,,,,,,,,,h a ʔ,,,,,,k a ⁵⁵,,,,,,,,,,,,,,,,h á/a,,,,,,,,,,,
1015_109_thelake,n̥ ɔ ŋ ³⁵,,n o./o ŋ ⁵⁵,,,,,,n ɔ̰ ŋ ⁵⁵,,,,,,,,,,,,,,,,,n ɔ̰ ŋ ⁵⁵,,,,,,,n ɔ̰ ŋ ⁵⁵,,,,,,,,,,,,,,,,,
10161_180_theshoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p a + kʰ u m̩ h,,,,p ɑ ⁵³ + kʰ õ ⁵⁵,,,,,,,,,,
10162_235_white,,,,,,,p æ i ³⁵,,,,,p ɛ ʔ ⁵,,,,,,p a k ²,,,,p ɛ ʔ ⁵,,,,,,,,pʰ a k ⁵,,,,,,,bˤ r a k,,,,,,,,,,,pʰ a ʔ ²,,
10163_17_thebodyhairhairorfur,,,,,,,x a n ³⁵ m ɑ o./o r ³⁵,,,,,m ɔ ⁵⁵,,,,,,m o./o u ²¹,,,,m ɔ ⁵⁵,,,,,,,,m a u ³³,,,,,,,C/k + mˤ a w,,,,,,,,,,,m ɑ ɔ ⁴⁵,,
10164_165_therope,,,,,,,ʂ ə ŋ ³⁵ ts ɿ ⁰,,,,,,,,,,,s ɪ ŋ ²¹/³⁵,,,t ɯ m b r i,s ɛ ŋ ⁵⁵,,,,,,,,,,t ə + b r ᴇ/e,,,,,C/k ə + m r ə ŋ,,,,,,,,b r é/e,,,,ɑ ⁵⁵ + tɕ e ⁵⁵ + ⁿb ɹ ɑ ŋ ³⁵,p ʈʂ ɪ ⁵⁵
10165_165_therope,,,,,,,,,,,,,,,,b ɑ ŋ ⁵⁵ + ɹ i ⁵³,,,,,,,s u m ³³ + ʒ i ³³,,,,,,,,,,,a r i,,,,,,,,,,,,,,,,
10166_166_round,,,,,,,,,,,,,,,,,g u l + g u l + a,,,k u l k u l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10168_180_theshoulder,,,,,,,,g u r + b ɯ ŋ,,p u m p a,,,,,,,,,,,,,,,,,p u ŋ ⁵⁵ + p ə ⁵⁵,,,,,,,,,,,d p u ŋ,,,,,,,,,,,,
1016_246_yellow,l ə ŋ ³⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l̥ ɯ ŋ ³⁵,,,
10173_235_white,,,,,,,,,,,,,,pʰ r u + pʰ r u,,,,,,,w ɣ r u m,,,,,,,,,,,k ə + p r ɑ m,,,,,,,,,,pʰ i o./o w ¹,,,pʰ r ə̂ m,,,,,
10174_238_thewind,,,,,,,,,,,,,,,,n ɑ m ⁵³ + b ɯ ŋ ⁵³,,,,,,,n ³¹ + p u ŋ ³³,,,,,,,,,,,,,,,,,,,,,,,,,,,
10175_238_thewind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ə + ʃ i,,,,,,
10177_69_thefrog,,,,,,,,,,,,,b j a ŋ,,,,b e ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180_10_belowunder,,,,,,,,,,,,,,n ə + n kʰ v ɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ j u,,,,,,,,
10186_20_thebreastfemale,n a u ³⁵ + ʈʂ u ³⁵,n ə + m æ,n a u ⁵⁵,,,ȵ ɑ ⁵⁵ + ȵ ɑ ʔ ⁵³,,,n a u ³⁵,,,,,n u + n u,ȵ i ⁵⁵ + kʰ ɑ ³¹ + b i ³⁵,n u ŋ ⁵⁵,,,n̥ u k,,t ɯ + n ɯ,,,n ʉ s,,n o./o u ⁵⁵,,n u,,,n̥ u + t ê/e,t ə + n u,n u k ⁵⁵,,n u,n u i w ʔ,n o./o ʔ,n u m a,n ú/u,n o./o ⁵³ + õ ²²,,n e w,,ʔ a + n u,n ə n ə̂,n ə + m a,ɲ ɔ n ³⁵,,ȵ o./o ⁵⁵ + b i ³⁵,n ə ⁵⁵ + n ə ⁵⁵
1019_29_tocount,,w ts i,,,,,,,,,,,,ʂ ts e + ɖʐ u,,,,,,,r ts i,,,,,,,,,,,k ɐ + r ts ə,,,,,,r ts i,,,,,,,,h ts ə,,,,ə ⁵⁵ + ʂ ts ə ⁵⁵
101_115_tolick,l e ʔ ⁵⁵,r d a k,j o./o ʔ ²¹,,l e k,d ɑ ʔ ⁵³,,j a k,j a ʔ ³¹,l a k,l aː m o,,h l j a k,,l i o./o ⁵³,l ɑ ʔ ⁵⁵,s r a k + a,l a i ³⁵,l i a k + l i a ʔ,,,,m ă ³¹ + t a̠ ʔ ⁵⁵,l a k,l ɔː m a,j ɔː ʔ ³¹,t a ¹³²,l a k,l ɯ̠ ³¹,,l i a k,,j ɔ ʔ ³¹,i ng/ŋ l e k,,l j a k,C/k ə + l e ʔ,l d a g,s e + l e k,j ɛ ʔ ⁴,,l̥ i aː,,kʰ ə + m ə + l e k,,d a χ,l ɛ ʔ ⁵⁵,ʂ ɛ ⁴⁵,,
10204_61_theflower,,,,,,,,,,,,,,,,ɕ i ŋ ⁵⁵ + w ɑ t ⁵⁵,,,,,,,,,,,,,s i ³⁵ v e̠ ³³,,,,,,,,,,,,,w j a./a,,,,,,,,
10205_61_theflower,,,,,,,,,,,,,,,t ɑ ³¹ + p ɯ ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ⁵⁵ + p e ⁵⁵,
10206_62_toflymovethroughair,,,,,,,,,,,,,,b j o,,,,,,,n ɯ q a ⁿb ɯ ⁿb j o./o m,,,,,,,,,,,k ɑ + b j ɑ m,,,,p j a m̩,,,,p j ɑ̃ ²²,,dʑ j w o./o w ¹,,,j m b j ə̂ m,,,,,
10208_62_toflymovethroughair,,,,b ɛ r,p e r,,,b j a r,,,,,,,,b ɛ ɹ ⁵³,b i l + a,,,,,,,bʰ e r,p e r m a,,,p ɛː r,,,,,,,,,,,,,,,,,,,,,,
1020_77_thegrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m o̠ ³¹,,,,,,,m r a k,,,,m j ɛ ʔ ⁴,,,,,,,,,,
10210_62_toflymovethroughair,,,,,,,f e i ⁵⁵,,,,,p u ɛ ³³,,,,,,f e i ⁵³,,,,p u ɛ ³³,,,,,,,,f u i ³³,,,,,,,C/k ə + p ə r,,,,,,,,,,,f i ⁴⁵,,
10217_38_thedream,i t ⁵⁵ + m ɔ ʔ ⁵⁵,,j ṵ p ⁵⁵ + m o./o ʔ ²¹,ŋ a m o,s e n m a ŋ,,m ɤ ŋ ⁵¹,j u p + m o./o ŋ,j a̰ p ⁵⁵ + m a ʔ ⁵⁵,m a ŋ s,m a ŋ,m a ŋ ¹¹,m a ŋ + j a ŋ,,j ɑ ⁵⁵ + m o./o ⁵³,m l ɑ ŋ ⁵⁵,j u m a ŋ,m o./o ŋ ²²,m â/a ŋ,,t ɯ + j m ŋ o,m a ŋ ¹¹,j u p ³¹ + m a̠ ŋ ³³,s e m ɛ,s eː m ɔː,j ɔ̰ p ⁵⁵ + m ɔ ʔ ³¹,,s ɛ p m a ŋ,e̠ ³¹ + m ɛ ³³,m ʊ ŋ ⁵⁴,m a ŋ,t ɑ + r m o,j a̰ p ³¹ + m ɔ ʔ ³¹,m ā/aː ng/ŋ,m o./o ŋ + ɕ i,i p + m a k,C/k + m ə ŋ + s,,dz ɨ + m a ŋ,e ʔ ⁴ + m ɛ ʔ ⁴,m ə s,m j iː j,,m ɐ ŋ,,,i n ³¹ + m ɔ ʔ ⁵⁵,m ʊ ŋ ⁵³,i ⁵⁵ + m u ⁵⁵,m a ⁵⁵
1021_47_theegg,u ʔ ³¹,,a ²¹ + u ⁵⁵,,,,,,ṵ ³⁵,,,,,,,,,,,,,,,,,u̠ ⁵³,,,e ⁵⁵ f u̠ ³³,,,,a̰ u ⁵⁵,,,u,,,,u ⁵³,,,,,,,u ³¹,,,
10222_14_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h â/a ŋ,,,,,,,,,,,,,kʰ ə + m ə + h a ŋ,,,,,,
10224_112_theleaf,,,,,,,,,,,,,,,,,,,n̥ a ʔ,,,,,,,,,,,,n̥ a h,,,,,,,,,,,,,ʔ a + n a,,,,,,
10227_126_themeat,ʂ u a ³¹,xʰ a,ʃ o./o ²¹,s eː l a,s a,xʰ a ⁵³,,,ʃ a ³⁵,ɕ a,ʃ j àː/aː,,s j a,,,ɕ ɑ ⁵⁵,,,s àa/a,,,,ʃ a n ³¹,s ɵ̂ː,s a,ʃ o./o ⁵⁵,ɕ a ⁵⁵,s a,x u ɑ ³¹,,s a,ʃ ɑ,ʃ ɔ ³⁵,,ɕ a,ʔ a + s ā/aː h,,ɕ a,,ɑ ⁵³ + tθ ɑ ⁵⁵,ʃ a,tɕʰ j i ¹,s ɵ,s a,,xʰ a,ʂ ɔ ³¹,,,
1022_93_horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k a n ʔ + l a n ʔ,,,,k ɑ̃ ⁵³ + l ɑ̃ ⁵³,,,,,,,,,,
10230_136_thenailfingernailorclaw,,,,,,,,,,,,,,,,,j a k + s k i l,,,,,,,,,,,,,,,,,,,,,,tʃ á/a + tʃ a + k o./o r,,,,,l e ŋ + k o./o r,,,,,,
10231_141_theneedleforsewing,a p ⁵⁵,kʰ a p,a p ⁵⁵,,,kʰ ɑ u ʔ ⁵³,ʈʂ ɘ n ⁵⁵,,ŋ ɛ̰ ʔ ⁵⁵,kʰ e p,,ts a m ³³,g j a p,ʁ ɑ r,,ɑ p ⁵⁵,,ts ɐ m ⁵³,,,t a q a β,ts a m ³³,,,,ŋ a̰ p ⁵⁵,kʰ ə p ⁵²,,ɣ o̠ ³¹,ts ɪ n ³³,,t ɑ + k ɑ p,ŋ ɛ̰ ʔ ⁵⁵,,kʰ a m,ʔ a p,t + k ə m,kʰ a b,,ɑ ʔ ⁴,kʰ e b,ɣ a,,,ʁ ɑ̂ v,kʰ a p,a p ⁵⁵,ʈʂ u m ⁴⁵,,
10234_156_therain,,,,r ɛ w a,w a,,j y ²¹⁴,,,,,h o./o u ³⁵,,,k ɑ ⁵⁵ + ɹ ɑ ⁵⁵,n ɑ m ⁵³ + w ɑ ⁵³,w a + a,j y ²³,r u a ʔ,,,h o./o u ³⁵,,w ɵ,w a,,,w a h i t,,,r u a h,,,a r v è/e,,r o₁/o,C/k + ɢʷ a ʔ,,pʰ a + tʃ i,,,,w o,kʰ ə + r o,,,,ʐ ʅ ²¹,ɑ ³¹ + ɹ ɑ ⁵⁵,
10239_168_thesalt,,,,,,,,,,,,,,,,,,,ts ı̀i/iː,,,,,,,,,,,,tʃ i,,,i ng/ŋ t í/i,,,,,,,,,,m ə + c i,,,,,,
1023_13_tobite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ o̠ ³¹,,,,,,,k o₂/o k,,,,k ɑ i ʔ ⁴,,,,,,,,,,
10241_9_thebelly,,,,,b u k,,,,,,,,,v o,,,b i k m a,,,,,,,m u p u,b ɔ,,,s a pː o./o k,,,,t ə + p o./o k,,p o./o k,,p o₂/o k,p u k,,b o./o k d o./o m,,,o./o ¹,,ʔ a + w u k,,,,,,
10244_27_tocome,,,,,,,,,,,,,,ɮ ɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,l j ị/i j ²,,,,,,,,
10247_174_theseed,,,,,,,,,,,,,,,t ɑ ³¹ + p i ɑ i ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ⁵⁵ + p ɹ e ⁵⁵,
10248_174_theseed,,,,,,,,,,,p i j/dʒ ɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p i dʒ a g,,,,,,,,,
10252_223_thetoothfront,,,,kʰ l y,,,,,,,,,,,,,,,,ts e ʊ + ts e ʊ l u,,,,ŋ ʌ l u,,,,,,,,,,,,,,,,,,,l i,,,,,,,
10257_33_thedew,,,,,,,,,,,,,,r z e,b ɑ ŋ ³¹ + dʑ i ⁵⁵,,,,,,t ɤ ʑ r i,,,,,,,,tɕ i ⁵⁵ + ʑ i̠ ³³,,,tʃʰ ə + r i,,a r e,,,,,,,,z ə r,,,r dz ə d ó/o,,,,,ʂ ʌ ³³ + ʐ e ⁵⁵
1025_53_tofight,,,p a t ²¹ + l ṵ m ²¹,,,,,,p ɛ ʔ ³¹ + l a̰ m ³⁵,,,,,,,,,,,,,,,,,p a t ³¹ + k ɔ ⁵⁵,,,,,,,p ɛ ʔ ³¹ + l a̰ m ³¹,,,r a n + pʰ r a c,,,,j ɑ̃ ²² + pʰ j i ʔ ⁴,,,,,,,,,,
10263_5_bad,,,,,,,,,,,,,,,,,,s ø y ⁵³,,,,,,,,,,,,s ɔ i ³³,,,,,,,,,,,,,,,,,,,,
10265_19_thebranch,,r a + ɣ a,,,,,,,,,,,,,,,,,,,,,,,,,j ɛ ¹³ + k a ⁵⁵,,,,,,,,,,,j a l + g a,,,,,,,j æ l g ɑ́,r a + ʁ a,,,,
10267_12_thebird,,,,,,,,,,,,,w a ʔ,,,,,,v aà/a,,,,,,,,,,,,s a + v a,,,v ō/oː t è/e k,,,,,,,,,,v a + n a w,,,,,,
1026_127_middle,,w a r,,,,,,,,,,,,b a r + m a,,,,,,,,,,,,,p a r ¹³,,,,,,,,,,,d b a r,,,,,,,,,,,,
10271_58_theflea,,,,,,,,,,,,k a ³³ ts a u ⁵³,,,tsʰ ɯ ⁵³ + w ɯ n ⁵⁵,,,,,,,,,,,,,,,,,,,,,,tsˤ u ʔ,,,,,,,,,,,tʰ i ɑ ɔ ⁵⁵ tsʰ ɑ ɔ ²¹,ʈʂʰ u ³¹ + h o./o ŋ ⁵⁵,
10272_112_theleaf,,,,,,,,,,,,h i e ʔ ⁵,,,,,,,,,,h i ɔ ʔ ⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10273_123_themanmalehuman,,,,,,,n a n ³⁵ ʐ ɘ n ⁰,,,,,,,,,,,n a m ²¹ j ɐ n ²¹/³⁵,,,,,,,,,,,,l a ŋ ²¹ ŋ ɪ n ²¹,,,,,,,nˤ ə m,,,,,,,,,,,n a ŋ ²⁴ k u ³³ l ɑ ɔ ²¹,,
