Cognate_ID,Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo
115_animal,o s o ŋ,s u m b u p,y a ŋ,kp o w i,z u,y a ŋ,dz o m a k,dz i,s u m b u p,s o ŋ g o,o s o m,s o g o,y o,y a ŋ
116_itsback,g e m a s i t,g ɔ n e s e m,n a d e,r ɔ p e,k ɔ d ɔ t,g e m a g i,ŋ a r i,b e s e t,g e m a t,b a m,r o m o,k ɔ d ɔ t,h a m e,g e m a t
117_itswing,e ŋ g a ŋ,g i n g i n,kp e g a ŋ,f a k e c,a w ɔ t,kp e g a n,gb e w ɔ,kp o g o,g i n g i n,p ɔ p,gb i m g i l i u,p e g a m,b ɔ b ɔ l ɔ m,kp e g a m
118_itsbreath,o s o ŋ g o ŋ,o s o ŋ g o m,n a k a,n o k a,y a a k,w e s e s e,n a k a,a n d a g ə s a,o s o ŋ g o m,e m e t ə k,a s u m o r a,h e a k,h e a k,w e s i
119_hevomits,l o n,l o n,u r u n,m a ŋ u,m o h a t,r o n,g i w u,n u a,l o n,o k dz i,m a d o g i,m o h a t,m u h a t,l o n
11_moon,k o i ŋ,k a i n,a f o,m o s a,k a i n,k o m o ŋ,m o s a,ə y o ŋ g a,k a i ŋ,e y o ŋ g e,m e s o,e m e s e n ŋ e,d e w u t ɔ + h ɔ d ɔ h ɔ n + g ɔ t ŋ e,k o m b o l
120_helaughs,dz o m o,g i s i h i,dz o m o r e,g ɔ w i e,g i r ɔ ŋ,d e s i,g o w e e,y ə y ə n,b o t a k ɔ l,y ə i n dz i,t e n i,g i r i ŋ,g i r i ŋ,g i s i h i
121_hesucks,b u g o,b o b o k,a b e r e,a p u r u,m u s u k u,b i ts i,m u d u g a a,b ə s ə,b o ts o,b ə s ə i,m u z u l u k i,m u s u k u,m u s u k u,b i ts i
122_hecries,s a a,s a h a,k i a k,k i o,i s i,s i a k,k u e e,s i s u,s a h a,s u,a r o p,i s i,i d e,s i a
123_hespits,s u l a a k,s ɔ w ɔ t,s o f o k,t ɔ f e c,t ɔ p,s o f o k,t i f a k,dz ə t u p a,s ɔ w ɔ t,dz a w a k,m ŋ e k a t,t ɔ p,t ɔ w u t,s o t k ɔ n
124_old,k e r u g a h a,w a l a k ŋ i,e s e a,r a ŋ gb a ŋ,s o b ɔ,w a h a r a,r a ŋ gb a ŋ,kp ə n,w a l a k ŋ i,ŋ o k ŋ,l e w i t n e,s o b o,s ɔ b ɔ,w a l a h a
125_warm,g e r i a w o k,k ɔ n d ɔ p + k ɔ n d ɔ p,h ɔ r o ŋ a,h ɔ r o ŋ n e,u r u k + u r u k,f o k ŋ e a,k o r o ŋ i n e,k i p k i p m̩,k ɔ n ɔ p n a ŋ g u k,k i p m ə ŋ,g e l e u n e,u r u k + u r u k,u t u n ŋ e + u t u d ɔ k,k o m o t i a
126_dull,dz i t a kp a a k,m ɔ h ɔ m ŋ i,e n a r a kp a k,m i c + m ɔ ŋ,p a l ɔ m ŋ ɔ,dz i r a kp a h a k,k i m ɔ ŋ i n e,k o k ŋ + kp i ə k n̩,dz ɔ t b ɔ t ɔ m,k u g e p i n,ŋ e t ŋ e m i d a i n e,p ɔ l ɔ m ŋ e,p ɔ l ɔ m ŋ e,dz e r a kp a
127_hisbrother,d a t,d a t,d a r,h a h a c,a t a,d a r,k a k a,d a t,d a t,d a t,t a t,a t a,t e u,d a t
128_hissister,n a a ŋ,n e n,n a w i ŋ,s e ŋ,u r u,n a o ŋ,s e ŋ,l i p,n e n,i p,k i a r i,t o u,t ɔ u,n a u ŋ
129_hisfather,n e m u ŋ,i w i,m a m,m a m a c,i w ɔ,m a ŋ g i,m a m a,b i p,m a m,b i p,m a g a,a w ɔ,e w e,m a m
12_round,l i l i k + l i l i k,l a m b ɔ,o r ɔ ŋ,o r ɔ ŋ + o r ɔ ŋ,g a w ɔ ŋ + g a w ɔ ŋ,r e r e k + r e r e k,o o r ɔ ŋ,w a r a g ə n,l i l i k + l i l i k,k i l i l i ŋ,l o l i k + l o l i k,g ɔ w ɔ ŋ + g ɔ w ɔ ŋ,g ɔ w ɔ ŋ + g ɔ w ɔ ŋ,k o r o ŋ + k o r o ŋ
130_hismother,m a ŋ,n a m,n e ŋ g a k,n e ŋ g o c,m a m,n e ŋ g e,n a ŋ g o,m a m,n a m o n,m a m,n a g a,m ɔ m ɔ,m e m e,n a ŋ g i
131_shesews,e u ŋ m e,u m e,kp e b i,gb ɔ t ɔ,g a r e,kp e w i,gb ɔ r u,o s ə,u m e,o u,gb e t u t,g ɔ r e,p a r u t,kp a l i
132_rope,dz o w a k,k i s a,w i t i k,m u c,t ɔ k,h i s a,n i ŋ g i ŋ,t ə k,k i s a,dz e,r a n o m,i p,t ɔ k,s ɔ h a p
133_heshoots,d o,e r ɔ,w e d e k,m u r u,z e r,w i r i k,i g a,o s ə,e r ɔ,a r a i,y a t o,y e r,e r,w i r i
134_hecounts,w e e ŋ g o,o y e n,ɔ s o,w o s e,s ɔ l ɔ p k u,o r o n,ɔ s e,u s u n,o y o n,m a k u n dz i,d a p o r i,s ɔ l i k u,o y a ŋ,o y o n
135_theyplay,a o ŋ g o l o k,m ɔ n a h ɔ t,a r i a k,m a m a s i r i,s e r o,a g l i a k,m a s i r i g a,dz ə g o dz ə,a ŋ g o l a t,kp e p,gb a t,h e ŋ,h ɔ l i m a k,a r i a t
136_clothing,o p o,s ɔ r ɔ,k a m b a ŋ,kp o r u c,p e t,o b o,kp o r u,n a,o p o,n a p,p o e t,p e t,y a b a n,o w o
137_work,g a w o ŋ,n u p,u a,g i e,n e p,a i,g i ɔ,n u,n u p,m u r u p,u r a t a,n e p,n e p,a h a i
138_spear,w a s a k,l i ŋ g i p,d a m u,d a m u,l i g i p,r e g i k,dz i g ɔ,a n i,l i ŋ g i p,ŋ ə l i p,b i m,i g e p,i g e p,l i h i p
139_heblows,u u,u n ɔ ŋ,f i f i,f i c n e,w a a,f i,p u t e,o r a t i,h u,k u m b u,p u a n i,h ɔ n g u,w a i,h i
13_itisfull,s a a + kp e,k o k o l a k + kp e,w a k e,f u s e,p i k,k o i a + kp e,f u s e,dz ə dz ə + k o,k o k o + kp e,dz e dz e + kp e,w a t g i,p i k,p i k,k ɔ i a + kp e
140_itswells,s o m a r o,kp a r i,s i w i ŋ e,s i w i ŋ n e,s u k,b o ŋ g e,s i w i ŋ,s i m e n,b o ŋ g o,s ə m e,s u e,s u k,k a u l e,b u ŋ g u
14_hisknee,s i m i ŋ,s i m i n,f a k u r u ŋ,d i e ŋ,s i m i n,s i m i ŋ,d i e ŋ,kp e k a kp a t ə,s i m i n,kp e t,w a w e t,p a w u t,p a w u t,s i m i n
15_itsclaw,k o s i,k a m b ɔ,b o ŋ,m i s i ŋ,p a k i t,b o ŋ s e w e,y u y u ŋ,dz i ŋ g ə ŋ g ə ŋ,k e s ɔ t,p ə l u k,z o l i p,p e k a t,p e k a t,k a w ɔ n
16_breast,a dz u,dz u dz u,n a m u,m o ŋ,n a m,n a m u,m o ŋ,n a m,dz u dz u,n a m,ŋ a m u,n a m,n a m,n a m o
17_hecomes,w a a,k a,e r e,w e f u,g a,e r e,w a p e,k o,k a,kp e,s a,g a,g u,k a
18_hesits,r a,t a,t a k,ŋ e,t a,t a k,ŋ e,t a,t a,t a,m e r i,t a,t a,t a
19_hegivesme,n o n,n i ŋ g i,n e n,n a r e,n i h,n e n,n a r e,n a k a,n i ŋ g i,n a i,n i n,n i h i,n i ŋ,n e m
1_i,n i,n i,n i,n o,n ɔ,n i,n o,n ą/a,n i,n ə ŋ,n ɔ,n ɔ,n ɔ,n i
20_hestands,n a n,k i n,n a n,d o m a,k i n,n a n,d i m i,t a,k i n,t a,o k o r e,k i n,k i n,n a n
21_all,k u u y a,kp a kp a k,s a s a w a,s a s a w a,a k s i k,m o k dz o ŋ,s ɔ s ɔ w ɔ,p ə s ə kp e p,m o o k e t a ŋ i,i l i n s a kp e p,k o r o p,k e r e k,h ɔ r o w ɔ k,e ŋ a l e k
22_many,m a m a g u,g ɔ t p ɔ k,h o m a k,b o c y a h a,b i w i r ɔ,s a s a r a,b o i a h a,k i r i s i,s e s e ŋ i,k i l i s i k,l o u l o u t ŋ e,b i w i r ɔ,b i w i r ɔ,s e s i a
23_night,k e t e k,s u ŋ g e m,t o f o n a k,ŋ a f e,ŋ a t i k,s i ŋ i,u w u,m i m b a,s u ŋ g e m,t ə m b u y a t,r u w o,o m o ŋ,h a d ɔ k,s i ŋ i a h a
24_long,k o r i g a,k ɔ r i p ŋ i,h e r e a,dz o r i c n e,k ɔ r e p,h o r u a,dz o r a i k n e,k e p m̩,k ɔ r i p ŋ i,t e e p m ə ŋ,k i r o i n e,k ɔ l i p,k ɔ l i p,k ɔ r u a
25_big,s o m a t a,k e t a ŋ i,k u n e ŋ,k ɔ c gb e n e,p a t ɔ,k u n e ŋ,y a s o g o,k ə i t n̩,k e t a ŋ i,t a e m b a,s u a i n e,p a t o,h u m o,b a i a
26_small,m e r a a k,m o r o ŋ i,k a p i a,p i t i c n e,m ɔ i k t ɔ,k o m o g a,m e n d a k n e,n a m z i,k o m o k ŋ i,i s i k ŋ e n,n i g a t n e,t i p i ŋ e,b ɔ l e ŋ e,k o m o r a
27_star,s e ŋ g e l e u,s e ŋ g e l e u,b ɔ p i ŋ,b ɔ p i ŋ,s e g e l a k,s i k i r u,b ɔ p i ŋ,dz ə m ə r i n dz ə,s e ŋ g e l e u,w e n z i m,s e r e k i ŋ,p e t u,p i t u ŋ,s e k e l o
28_sun,w e e ŋ,w e l g ɔ n,w o n a k,dz o a ŋ,m i r ɔ s i ŋ,k a i w e,w e g i,k ə s u,w e h o n,k ə s u k,k a i w e,d e w u t ɔ,p o i a p,k a i w e
29_cloud,k o o s u k,k o u s u,k u r u m e ŋ,k a r o r a c,s a s a,h o s e s u,g ɔ w e ŋ,k u m b u,k o u s u,dz a n dz a,k e z o ŋ,e l e m,h a m a d a t,k o s u
2_thou,g i,g i,g e,g o,g ɔ,g i,g o,g ą/a,g i,g ə ŋ,g e,g ɔ,g ɔ,g i
30_rain,k o ŋ,k i e,k i a,h o e,m a p,k i a,k u e,m a,k i e,m a p,k o i a,g e l ɔ k,t ɔ n ɔ k,k i a
31_itsbelly,k e r i,g ɔ l ɔ m,k e r a,b u,t i p,t o m e ŋ,a t a,t i p,i r i p,t i p,k a i,t e p,t e p,k e r a p
32_itsnose,s e w a ŋ,s ɔ h ɔ r ɔ,s o g e,s ɔ k e,s ɔ g ɔ n,s e r e,s i k ɔ,s i ŋ g e ŋ,s ɔ ŋ g ɔ r ɔ,ŋ i ŋ ə ŋ,s o t,h ɔ m e,h ɔ m e,s ɔ h ɔ r i
33_itsheart,b a k o t a,w e l + b ɔ t,w o s o + h o n d u ŋ,b u + h ɔ n d ɔ ŋ,k a b i a m,w e b o g o k m e,m a k i + k ɔ r u ŋ,w e m b ə + k ə t,w e l + b ɔ t,g u m + k ə t,k o m b a ŋ i,k a b i a m,o k o t,w e i + b ɔ t
34_itsfat,k e l e g a,k e l ɔ k,w o k e m a ŋ,w o k e m a ŋ,k e l ɔ k,h a r e k,w i dz i,k e r ə k,k e l ɔ k,k e r a k,k e l o k,k e l u,k e l u,k a l a k
35_itsneck,a r e,dz ɔ l,u b e,u p e,g ɔ d u,e b a s i g l a,u b e,a n d e ŋ,dz ɔ l,ŋ a n d e,e b i,o b e,h a n,dz e l
36_itshair,dz u i,dz u p,dz o w e,dz ɔ w ɔ,s ɔ m o t,dz u,k a ŋ dz a ŋ,dz u p,dz u p,dz u p,dz o u,s o m o t,d u m u t,dz u
37_hedies,k o m u,k ɔ m u,h o m e,h ɔ m o,m u,h u m u,k ɔ m e,f ə k i,k o m u,g ə k i,s e u k i,m u,m o,k ɔ m u
38_heseesme,n i i,n e k,n e n,h o n e c n u,n e k,n i,ŋ o n e n u,n ə g ə i,n e k,n i,n a n,n e k,n e k,n e n
39_hesleeps,e,a h ɔ,f e,f o,z i,f e,kp e,w e,a h ɔ,w e,p a,i,y e,g ɔ o h e
3_we,n o n o,n i n i,n i n i,ŋ ɔ ŋ ɔ c,n e n,n i n i,ŋ ɔ ŋ u,n į/i,n i n i,n i n,ŋ e d o,n e n,n e n,n i n i
40_heeats,n e,n e,n e,n ɔ,n i,n e,n a,n i n,n e,n i,n i,n i,n i,n e
41_hebitesit,k i,y ɔ h ɔ,k i,k i,z i h i,k i,k i,y e,y ɔ h ɔ,i,k i,i h i,i h i,k i
42_black,i n dz a ŋ a,t ɔ w u ŋ i,dz a dz u,g ɔ g ɔ p ɔ c,s u m u n + s u m u n,dz a p e r a,g ɔ g ɔ w u k,s ə m b o p m,i n dz a ŋ i,s o p m ə ŋ,d i k a,h e l e ŋ,h e l e ŋ,dz a p a l a
43_green,a s o ŋ + a s o ŋ,g ɔ r ɔ k ŋ i,ɔ r ɔ ŋ b ɔ r i k,ɔ r ɔ ŋ b ɔ r i c,w ɔ h ɔ n + w ɔ h ɔ n,g e r i k + m e r i a,b u g e,k o k ŋ,t ɔ ŋ g ɔ n + t ɔ ŋ g ɔ n,a r a ŋ ə ŋ,w i s i k a,g o l ɔ,g o l ɔ,a s o ŋ a
44_white,t a t a a ŋ k o t a,t u a t ŋ i,k o ŋ a k,k a p ŋ + k a p ŋ,k a u + k a u,r a r a k,k a p ŋ + k a p ŋ,s a g a t n̩,t o a t ŋ i,s a t n ə ŋ,l i b e k a,k a o k,k a u,l a l a p
45_red,o s o g a,p i s i k ŋ i,s a k + s a k,b ɔ b ɔ r o ŋ,k u r i ŋ,p e s i a,b ɔ b ɔ r o ŋ,k u k ŋ,p ɔ s i k ŋ i,ŋ a m ə ŋ,w e ŋ e m k a,k u r i ŋ,g i l ɔ m ŋ e,p ɔ s ɔ h a
46_yellow,g o g o o k o t a,g o h o t ŋ i,dz a g e a,b ɔ ŋ e ŋ n e,g i b a ŋ + g i b a ŋ,gb a o k + gb a o k,b o b o ŋ e ŋ,a l a ŋ,g i b a ŋ i,a r a r a ŋ,y a ŋ a i k e,g i b a ŋ,g i b a ŋ,gb a o t + gb a o t
47_good,a u a a,ɔ l i p ŋ i,g o m b u ŋ a,b i a ŋ n e,ɔ l i p ŋ ɔ,f i a,f i i n e,s a ŋ g a m,ɔ l i p ŋ i,kp e m b e n ə ŋ,m a i n e,ɔ l i p ŋ e,ɔ l i p ŋ e,e h a
48_hot,g e r e k,k ɔ n d ɔ p,g e r e k,dz o c,k ɔ r ɔ p,g e r i k,f o r o,t e dz i,k ɔ n ɔ p,t e dz i n,g e r e p,k ɔ l ɔ p,k ɔ l ɔ p,g i r u a
49_new,gb i l i a,d ɔ l ɔ k ŋ i,gb o r i a,gb ɔ r i c n e,i r a k ŋ ɔ,gb e r i a,gb ɔ i n e,g o r ə ŋ,d ɔ l ɔ k ŋ i,a r a k ŋ ə ŋ,w e l e,ɔ i ŋ e,i r a k ŋ e,gb i l i k
4_who,m o ŋ,k u n,m o ŋ,m o c,ŋ ɔ i,m o ŋ,m o c,a l a,k ɔ n,k u r e k i,m a n e,ɔ l ɔ,k i ɔ,m ɔ ŋ
50_itisdry,t o b o r i,ɔ r ɔ ŋ g ɔ,k e r e ŋ,k e r e ŋ k e,a r a r ɔ ŋ,i r e g e,dz i g a,a l a ŋ g ə,ɔ r ɔ ŋ g o,k o,dz i p k i,h ɔ r ɔ ŋ,k a m i l i,dz i p k ɔ
51_cold,o l o ŋ a,dz i ŋ i m,m o t e ŋ a,m ɔ t e ŋ n e,p ɔ t e ŋ,s a g e ŋ a,m ɔ t e ŋ n e,t a k ə ŋ,h a m o t ŋ i,b a k ŋ ə ŋ,m o m o i n e,b ɔ l ɔ p ŋ e,b ɔ l ɔ p ŋ e,s a ŋ g e ŋ
52_itsname,dz a k o t a,kp e t,k i w a,dz ɔ n e,k u t,k i w a,dz i ŋ ɔ,k o t,k u r a p,dz i k ə t,d e i,k u t,k o t,k i w a
53_not,m e n d e,kp a h ɔ p,m i,m i,m ɔ,m u n d a,s o,k ə m,kp a h o,k u,m i,k i,b o,m ɔ n d ɔ
54_itburns,dz e,dz e,dz a,dz a,s i,dz e,dz a,dz i,dz e,dz i,dz i,s i,o,dz e
55_road,k a n a k,k ɔ n a,s i ŋ,h a t a,m ɔ t ɔ p,h e n a,k a r i,k ə,k ɔ n a,s e t,n u m a,g i o p,d ɔ p,k ɔ n a
56_water,a p u k,o u,d o k u,o p ɔ,t o,d o k u,o w u,t u,o u,t u,d o k u,t o,t u,d u k u
57_smoke,k a a s o k,k a s a k,h u s u k,h o s ɔ c,m u d o,h o f a k,k o s ɔ k,k ə s ə,k o w a k,k ə s ə k,ŋ a u p,u t u n,d ɔ w o k,k a s a k
58_hehithim,kp e,kp e,kp e,kp a,k u,kp e,kp a,k u n,kp e,k u,kp e,k u,k o,kp e
59_heknows,m o,m a,n e g e n,m a n a,n a g a,n i n,m a n e,n i ŋ g e,m o,n ɔ i,d e r i,n a g a,n ɔ g ɔ,n i n
5_what,n a m u ŋ a k,w a n i a,d a f i,w e m o,w a n,n e m a k,w a m o,w a n a,n ɔ w ɔ,p i t n e,o n o k a,w u ɔ n,w a n,n ɔ m a t
60_sand,s a k a s i ŋ,s a k,m o ŋ g e ŋ,m o ŋ g e ŋ,s a k,s a k e s a,m a g e ŋ,g a ŋ a,s a k o s i ŋ,g a m b i b i t,gb a l a k,s a k,s a k,s a k
61_stone,dz a m o k,k ɔ t,h o k,kp ɔ n ɔ,k ɔ t,g o k m e a,k ɔ k,n a n dz a,k ɔ t,n a n dz ə ŋ,w e s i,k ɔ t,k ɔ t,b a ŋ a
62_mountain,b a a ŋ a,k u n d u ŋ i,t i k i,t i k i,b a k ŋ a,b o ŋ a,t i k i,k a l a ŋ,k u n d u ŋ i,k a l ə ŋ,b o n a g a,g i b ɔ ŋ e,g i b ɔ ŋ e,b o h o ŋ a
63_ashes,t o o k,k a u,h a m a,dz a f e,k a u,h o m a,dz a f e,dz i t a,k a u,k ɔ u,k a u,k ɔ u,k a u,k a m a
64_earth,n a m o k,g ɔ l m e,b ɔ n e k,m ɔ r e ŋ,a n,b a e k,m ɔ r e ŋ,m i s a,b a l o ŋ,m i s a t,k e p e,h ɔ n,h ɔ n,b a i t
65_itsleaf,s e ŋ,s i n,m a r i,r e h a c,i i n,h a r e ŋ,r e k a k,s i n,s i n,s i n,m e t i,e s e n,e s e n,k a r e m
66_tree,i k,i p,i k,y ɔ c,n a k,i k,y ɔ k,t ə,i p,t ə p,e k i,n a k,l ɔ w i n,i p
67_itsroot,t i i t a,dz a l ɔ,g o d e,g ɔ t ɔ,ɔ d ɔ ŋ,g e t e,g ɔ r u,k i n d i r i,dz a l ɔ,k i n d i,ŋ o d i,g i h i t,k ɔ d ɔ r ɔ,ɔ n d e
68_itsseed,k o t a,k ɔ t,h o n d u ŋ,h ɔ n d ɔ ŋ,k e e t,g o k m e,f ɔ ŋ ɔ ŋ,k ə t,k ɔ t,k ə t,w a u,k e h e t,k ɔ d e t,g o p i
69_itsear,g e dz a,k e ts a p,h e dz a,h a ts e c,k i d a p,g e dz a,k a dz e,b ə b ə t,k e ts a p,w a k,k e t,ɔ d ɔ p,ɔ d ɔ p,k e s a p
6_that,l o,m e,y o,i,z o,y o,ɔ,m e i,m e,k e,e r i,y a,i d ɔ,m i
70_louse,i m o ŋ,i m i n,y o m i ŋ,i m e ŋ,i m e n,i m i n,i m e ŋ,l ə m,i m i n,e m i n,e m e n,i m e n,i m e n,i m i n
71_dog,k a s u k,k i a m,k a s i,kp ɔ t o,w a u,k a dz u,kp o r o,t ą/a,k i a m,t a m,k a s i,s o s o,d u a,k i a m
72_bird,k o o ŋ,n e i,n e ŋ,w i p e,n i,n e i,w ɔ r ɔ,l a u,n e i,a g a,n a ŋ i,n ɔ i,l a u t,n i
73_woman,e m b a k,a m b i,ŋ a k,ŋ o k a c,a b ɔ n,e m b a k,ŋ i g o k,i m b i,a m b i,i m b i,ŋ e r e p,i b i,ɔ b ɔ i,e m b a t
74_man,e dz a k,a ts i,ŋ i k,ŋ i c,a,i k,ŋ i k,ą/a,a i w i,a n,ŋ e i,l o k,l u ɔ k,i p
75_itsblood,s a y a,s e p,s a w a,s o c,s e p,s a w a,d a r i,s i p,s e p,s i p,w e ŋ e m i,h e p,g i l ɔ m,s a p
76_hishand,b o r o k,b ɔ r ɔ,m a r i,m e,b i t,m e r i,m e,b ə t,dz ɔ t,b e t,m e,b ɔ t,b ɔ t,m ɔ r ɔ
77_itstongue,n e s e l a ŋ,n e s e l a m,n a m e ŋ,n a m e ŋ,n ɔ b ɔ l a m,e dz e r a ŋ,e r ɔ ŋ,n a m b a l a ŋ,n e s o l a m,n a m b a r a m,b e l a k a m i,n i b i l a m,e l e w o t,e dz e l ɔ m
78_itstooth,dz o t,dz i t,e n a r,m i c,s ɔ t,dz e g l,m i s i ɔ,dz ə t,dz ɔ t,dz e t,ŋ e t,s ɔ t,d ɔ t,dz ɔ t
79_itsfoot,k a n i,k a n a,h a n i,k i k e,k i,h e n i,k i g ɔ,k ə t,k a n a,s e t,k i,k ɔ i,k e i,k a n i
7_this,i,k e,i,dz i,z i,i,ɔ i,w i,m u,k a p i,i,y u,i,m u
80_itstail,dz i,d a i,dz i,g e c,d a a,dz i,dz i,d a k,l o u,d a k,d a i,h a p e,d a p e,dz i
81_itsmeat,b u s i,b u s u,f u s i,b i h u c,s u n u m,b u s i,b i u,m i r i k,b u s u,s ə s u m b a ŋ,b i k u,s u n u m,s u n u m,b u s i
82_itseye,dz a a,dz e,k i w a,dz ɔ ŋ e,s i,k i w a,dz i ŋ ɔ,dz i,dz e,dz i,d e i,s e n,d e w u n,kp a t
83_itsskin,s e l e,s i l e,s e b i,s a h a c,s ɔ k,s e w i r a,m ɔ dz u,s ə k,s e l e,s ə k,s o l a i,h ɔ k,h ɔ k,s ɔ w ɔ l
84_itshead,o s o g a,n o r u k,f u f u,kp i ts e c,k a u k,o g u,kp ɔ r u,n o k,n o r u k,ŋ o k a n dz i,l e w i t,k u n,k a u t,n o r o k
85_itsbone,s i i t a,s i h i t,s i r,s i e c,t ɔ n,s i g l,s i a k,s i e t,s i h i t,k a n dz i ŋ,s e t,h a h i t,h a h i t,s i h i t
86_he,i,i,y e,e,z ɔ k,i,i,l ə,i,ə k,e,y ɔ k,y ɔ k,i
87_ye,o ŋ o,i n i,ŋ e n i,ŋ o ŋ e,z e n,i n i,ŋ o ŋ a i,l į/i,i ŋ i ŋ i,i n,ŋ i n e,y e n,y e,i n i
88_they,i o ŋ o ŋ o ŋ,y e ŋ ɔ n,y e n i,y a ŋ e,z ɔ k,i ŋ e ŋ,y a ŋ a,l e n e,y e ŋ g ɔ n,ə k,e ŋ e,y ɔ k,y ɔ k,i n i
89_where,d a a ŋ e ŋ,d e n e k e,d a h a e,w e n a,w a n ɔ n,d i m i a,u r o o,d e n e,d e n o k e,d e n,d i a,w o n ɔ n,w a n ɔ n,d u m u a
8_one,m o t o o ŋ g o k,m o h o t,m o k g u,m o c y a h a,k ɔ n o k,m o m a k g u,m o k o t o ŋ,kp e dz i,m o k u ŋ,kp e p,w e k u,k o n o k,k ɔ n o k,m o h o k
90_how,n o m a i ŋ,d e n e p,d a f i,w e n i ŋ u c,i k ɔ i + a z o,d e i k,u r i ŋ u,d i s i,d e n o w o,dz i g o k,d a l e o,g i r a,g a i n + h i n a r e,d a s o ŋ
91_and,a n o,m i,a m a,e m e,o p ŋ ɔ,w a ŋ u,e m e,m i m b i,a m i,ɔ p m e,m i,o t m u,a k d o,w a m u
92_there,e n d u,e n d u,e d i,o c n a,a d e,e r i,a r o o,i n d a,e n d u,k a i n d e,e r i,e d a,i d ɔ,e r e
93_rightside,o r o w a k,ɔ l,f o i,f ɔ r e,b o n,f o i,f ɔ r e,p a n a,h ɔ l,p a n a ŋ,w a r a g e,b o n,b u n,h ɔ l a
94_leftside,k a n i k,kp a n i,k a n a,kp a n a,k a n e,k a n a,kp a n a,k a n a,k a n i,k a n e n,w e s i,k a n e,k a n e,kp a n a
95_heholds,m e,m a,m e,r o,m i,m e,r o,w a ŋ g a,m e,m i,m i,m i,m e,k a s a
