Cognate_ID	Bichom	Bulu	Chayangtajo	Dikhyang	Duhumbi	Eastern_Puroik_Li	Eastern_Puroik_Sun	Jerigaon	Kaspi	Khispi	Khoina	Khoitam	Kojo_Rojo	Lasumpatte	Namphri	Rahung	Rawa	Rupa	Saria	Shergaon	Singchung	Wangho
11101_56_louse					h ɛ k			h ɛ		h ɛ k	x ɛ k	h ɛ k	h ɹ ɛ			h ɛ k	h ɛː	h ɛ k		h ɛ k		
11103_56_louse			p ɹ ɛː			p ɯ ³¹ ɣ ai ⁵³	p ə ³³ ɣ æ ⁵³							p ɹ ɛː					p r ɛː			
11301_57_moon	h a + b i j e	h a N/ɴ + b ɔː	a m + b oː	h aː + b ieː	n a m + b a	a ŋ ³³ + b o ⁵⁵	a ŋ ³³ + b o ³³	n a m + b l u	h a + b i j e	n a m + b a	n a m + b l u	n a m + b l u	h a + b u	a m + b oː	h a + b i j e	n a m + b r u		n a m + b l u	a ŋ + b o	n a m + b l u	h a + b i j e	h a b i j e
11501_58_mouth					h ɔ + tɕ u			s ɔː		h ɔ + tɕ ɔ	d ə + tsʰ ɛː	tɕʰ ə + s ɔː				tɕʰ ə + tɕʰ oː		n ə + tsʰ a w		n ə + tɕʰ a w		
11502_58_mouth	s e m	a + s ə m	s ə ʔ	s ia m		ɕ əʳ/ə˞ k ⁵⁵			s e m				s ə m	s ə ʔ	s e m		s ə p		s ə ʔ			ʃ i j a m
11701_59_name	e + b e ŋ	a + b j ɛ N/ɴ	a + b ɹ ɛ ŋ	ə + b ɛ ŋ	b i ŋ	a ³¹ + b r a ŋ ⁵³	a ³³ + b ɛʴ/ɛ˞ ŋ ³³	a + dʑ ɛ ŋ	e + b e ŋ	b i ŋ	a + dz ɛ ŋ	a + dʑ ɛ ŋ	a + b ɹ ɛ n	a + b ɹ ɛ ŋ	e + b e ŋ	a + dʑ ɛ ŋ	a + b ɹ ɛ n	a + z ɛ ŋ	a + b ɹ ɛ ŋ	a + z ɛ ŋ	e + b e ŋ	e + b e ŋ
11901_60_navel		s i m + b ə + l ui	r ue + r ei	b u + r ui	b ɔː + d i			b + r aː		b ɔː + d i	b + r aː	b + r ɛː	r o ŋ + r ei	r ue + r ei		b + r ɛː	r oː + r ei	b + r aː	r ue + r i	b u + t i + m uː		
12101_61_neck		k ə + t u N/ɴ + r i n	k ə + t u ŋ		h ɛ n + tʰ ɔ ŋ	k ɯ ³¹ + t o ŋ ⁵⁵	k ə ³³ + t u o ŋ ³³			h ɛ n + tʰ ɔ ŋ	n ə + t u + x ĩː	n ə + tʰ u ŋ	t u ŋ + r i n	k ə + t j u ŋ		pʰ + tʰ u ŋ	t õ + r ɨ n	tʰ u ŋ + ts ɛ̃ː	k ə + t j u ŋ			
12103_61_neck	e + j ua			r a g u ŋ + j u + ŋ ã					j ua						j ua						e + j ua	j a + p u
12301_62_new		a + f ɛ N/ɴ	a + f ai ʔ		ɔ + kʰ ɔ n	a ³¹ + f ua t ⁵⁵	a ³³ + f a ʈ ³³	ə + h ɛ n		ɔ + h a n	a + f ɛ n	a + f a n	a + f a n	a + f ai ʔ		a + h ɛ n	a + f aʲ/a t	a + f a n	a + f ai ʔ	u + f a n		
12302_62_new	e + w ã			ə + v ɔ̃					m + v əo						e + v o						o + v oᵘ/o	e + v o ŋ
12501_63_nose	e + pʰ u ŋ	a + pʰ u N/ɴ	a + p o k	ə + pʰ u ŋ	h ɛ m + pʰ ɔ ŋ	a ³¹ p au k ⁵⁵	p ɔ k ³³	n ə + pʰ u ŋ	e + pʰ u ŋ	h ɛ m + pʰ ɔ ŋ	n ə + pʰ u ŋ	n ə + pʰ u ŋ	a + p u ŋ	a + p o k	e + pʰ u ŋ	m a + pʰ u ŋ	p o ŋ	n ə + pʰ u ŋ	p o ŋ	n ə + pʰ u ŋ	e + pʰ u ŋ	e + pʰ u ŋ
12701_64_not		b a	b a		b a	b a ³¹	b a ³³	b ə		b a	b ə	b ə	b a	b a		b ə	b a	b ə	b a	b ə		
12901_65_oldofthings					ɔ + m ɛ n			a + m ɛ n		ɔ + m ɛ n	a + m ɛ n	a + m a n				a + m ɛ n		a + m a n		a + m a n		
12902_65_oldofthings	e + h e k			ə + h ɛ k					e + h e k						e + h e k						e + h e	e + h e k
12903_65_oldofthings		a + ts ɛ N/ɴ	a + tʃ ai ʔ			a ³¹ + tɕ e t ⁵⁵	a ³³ + tɕ ɛ t ³³						a + tʃ j ɛ n	a + tʃ ai ʔ			a + tʃ e t		a + tʃ ei ʔ			
1301_7_big					ɔ + d ɔ k			a + d ɔ k		ɔ + d ɔ k	a + d ɔ k	a + d ɔ k				a + d ɔ k		a + d ɔ k	t o ʔ	a + d ɔ k		
1302_7_big	b oᵘ/o			ə + p õː		a ³¹ + b ua ⁵⁵	a ³³ + b ua ³³		b oᵘ/o						b oᵘ/o						e + b oᵘ/o	e + b oᵘ/o
1303_7_big		a + r aː											a + r ai				a + r ai					
1304_7_big			k ə l aː											k ə l aː								
13101_66_one					h i n			h ɛ n		h i n	h ɛ n	h a n				h ɛ n		h a n		h a n		
13102_66_one	dʒ i j o			ts j ɔ̃									k j uː				t j oː				dʒ i j o	tʃ o
13103_66_one									dʒ e						dʒ e				tʃ ue			
13105_66_one			h ui				ɦ ui ³³							h ui								
13301_67_path	l ə m ua	l i m		l ə m uə + d uə	h u m a			h a m u	l ə m ua	h u m a	h a m	l y m	l i m		l ə m ua	l y m	l ɨ p	l ə m u	l i ʔ	l ə m u	l ə m ua	l ə m ua
13302_67_path			p u z uɛ			p ɯ ³¹ z ua i ⁵⁵	p ə ³³ z uɛ ³³							p u z uɛ								
13501_68_rain					n a + m u					n a + m u										ɲ i + m i		
13502_68_rain								n ə + tɕʰ u			n aː + tsʰ u	n ə + tɕʰ u				pʰ + tɕʰ u		n ə + tsʰ uː				
13503_68_rain	h a + pʰ i j e	h a m + p iː	a m + p ɹ uː	h aː + pʰ iɛ		a ŋ ³³ + p r u ⁵³	a ŋ ³³ + p r u ⁵³		h a + pʰ i j e				h a m + p ɹ oː	a m + p j uː	h a + pʰ i j e		h a m + p ɹ oː		h a ʔ + p ɹ o		h a + pʰ i j e	h a + pʰ i j e
13701_69_red	e + ʃ ai k	a + ʃ i ʔ		ə + ɕ ɛ k	ɔ + kʰ e k			ə + h ɛ k	ʃ eⁱ/e	ɔ + h ɛ k	a + x ɛ k	ə + h ɛ k			e + ʃ ai k	ə + h ɛ k		ə + h ɛ k		ə + h ɛ k	e + ʃ ai k	e + ʃ e k
13703_69_red			a + r j u k											a + r j u k			a + r j u ʔ		a + r j u ʔ			
13704_69_red						a ³³ + j i ʔ ⁵⁵	a ³³ + j i ʈ ³³															
13901_70_root					r a + b a															r a + b ɔː		
13903_70_root								i + h ĩː			a + x ĩː	a + h ĩː				i + h ĩː		ə + h ĩː				
13904_70_root	e + r a ŋ	ʃ i N/ɴ + r i n	a + r e ŋ	ə + r ə ŋ					e + r a ŋ				h ɨ̃ + r i n	a + r e ŋ	e + r a ŋ		a + r ɨ ŋ		a + r i ŋ		e + r a ŋ	e + r a ŋ
13905_70_root						a ³¹ + k o ŋ ⁵⁵	h eʴ/e˞ n ³³ + k u ŋ ³³															
14101_71_torun					d u r					d u l												
14102_71_torun											tsʰ ɔː					tɕ ɛː		tɕʰ aː		tɕʰ aː		
14103_71_torun		r i n	r i ʔ	r a n			r i ʈ ³³					r i ŋ	r e n	r i ʔ			r i t		r i ʔ			
14301_72_salt					h a					h a												
14302_72_salt			h o ŋ			h o ŋ ⁵⁵	h ɔ ŋ ³³	h u ŋ			h ũː	h u ŋ		h o ŋ		h ũ ŋ		h ũː	h o ŋ	h u ŋ		
14303_72_salt	s u + r ə j a			s ə + r uə					s u + ɹ e						s u + r u w a						s u + r u w a	s u + r u w a
14304_72_salt		f əu											f ou				f oː					
14501_73_sand					b e ts a					b e ts a										b e ts ɔ		
14503_73_sand								kʰ + pʰ a			g ə + pʰ a	kʰ ə + pʰ ɔ				kʰ ə + b ɔ						
14504_73_sand	b a l i			b aː l i					b a l i						b a l i						b a l i	b a l i
14506_73_sand		s ə m + p j ɛː	p ɹ ɛː + tʃ ei ʔ			p aʳ/a˞ ⁵⁵ + ts eʳ/e˞ ³³	p ɹ æʳ/æ˞ ³³ + ts ə t ³³						p a n + tʃ ɨː + h ɹ ɛː	p j ɛː + tʃ e ʔ			p ã + tʃ ɨ ʔ		b ɛː + tʃ i ʔ			
14701_74_tosay					i n			ɛ n		i n	ɛ n	a n				a n		a m		a m		
14702_74_tosay	j e + pʰ a			j aː																	j e + m a + g e	j e
14704_74_tosay															j o + pʰ a				j ɔː			
14706_74_tosay													r j oː				r j oː					
14707_74_tosay			l ui ʔ			ɬ ui t ⁵³	l u ȶ ⁵³							l ui ʔ								
14901_75_tosee					a j					a j						ɔː		ɔː		ɔː		
14902_75_tosee											n ɔ̃ː + tɕʰ i	n ũː										
14903_75_tosee	r ə g			g ə + r a k					r e k + pʰ a						r ə k						r ə k + m a + g e	r ə k
14904_75_tosee		n i ŋ											n j ə ŋ				n i ŋ		ɲ ɨː			
14905_75_tosee			dʒ ei											dʒ ei								
14906_75_tosee						ŋ w a ⁵⁵ d a t ³³	ŋ ua ³³															
1501_8_bird	f ua			f uə	w̥ a			h u	f o	w̥ a	f u	h u			f ua	h u		h u		h u	f ua	f ua
1502_8_bird		p ə + d uː	p ə + d ou			p ɯ ³¹ + t u ⁵⁵	p ə ³³ + t u ³³						p ə + d oː	p ə + d ou			p ə + d oː		p ə + d oː			
15101_76_tosit					dʑ u			dʑ ɔː		dʑ u	dz ɔː	dʑ ɔː	dʒ ao			dʑ o		dʑ au		dʑ au		
15102_76_tosit	d u k		t u ŋ	d u k		t o ŋ ⁵⁵	t o ŋ ³³		d ə k + m u					t u ŋ	d u k + m a + g e		t u ŋ		t u ŋ		d u k + m a	t u k
15301_77_skinhide	e + kʰ u k	a + k u ʔ	a + k əː	eː + kʰ u k	ɕ a + kʰ ɔ k	a ³¹ + k ə ⁵³	a ³³ + k ə ⁵³	s + k u k	e + kʰ u k	ɕ a + kʰ ɔ k	ʂ + kʰ u k	s + k u k	a + k ɨː	a + k əː	e + kʰ u k	s + k u k	a + k əː	s + k u k	a + k əː	s + k u k	e + kʰ u k	e + kʰ u k
15501_78_tosleep								dʑ i ŋ			dz i ŋ	dʑ i ŋ				dʑ i ŋ		dʑ i ŋ		dʑ i n		
15502_78_tosleep	m i j a n + pʰ a			m j ɛ n	m i n				m e n	m i n					m e n + pʰ a						m i j e n + m a + g e	m i j e n
15503_78_tosleep		r ə m	r ə m			ɣ ə ŋ ⁵⁵	ɣ ə ŋ ³³						r ə m	r ə m			r ə p		r ə ʔ			
15701_79_small				ə + t i + d ua	k a + t i																	
15703_79_small						dʑ ia ŋ ⁵⁵	c ia ŋ ³³				a + dʑ ã n + d u	a + dʑ a n + d u				tɕ ɔ̃ː + d u		a + tɕ a n + d u		a + tɕ a n + d u		
15704_79_small	e + j u ŋ								e + j u ŋ						iu		a + j i ŋ				ẽeᵘ/ẽu	e + j u ŋ
15705_79_small		a + z iː											a + z iː									
15707_79_small			k ə + s i ʔ											k ə + s i ʔ								
15901_80_smoke	b a m + kʰ a m	b ɛ + kʰ ɨː	b ɛː + k ɨː	b a + kʰ au	b u + kʰ u	b æ ³³ + k ɯ ⁵⁵	b æ ³³ + k ɯ ³³	b a + kʰ y	b ai ŋ + kʰ a m	b u + kʰ u	b a + kʰ y	b a + kʰ y	b ai + k əː	b ɛː + k ɨː	b oᵉ/o + m o + kʰ ə m	b a + kʰ y	b ai + k ɨː	b a + kʰ y	b ai + k ɨː	b a + kʰ y	b oᵉ/o + kʰ aᵘ/a	b u + kʰ u
16101_81_stand		tʃ i n	tʃ i ŋ		kʰ i ŋ	c i n ⁵⁵	c i n ³³ + p ua ¹¹	tɕʰ ĩː		kʰ i ŋ	ʈʂʰ ĩː	tɕʰ ĩː	tʃ i n	tʃ i ŋ		tɕʰ ĩː	tʃ i ŋ	kʰ ĩː	tʃ i ŋ	kʰ ĩː		
16102_81_stand				ts ai					dʒ oi						dʒ ai + m a + g e							
16103_81_stand	r iᵒ/io																				r iᵒ/i + m a	r iᵒ/io
16301_82_star					k a ɹ m a					k a l m a												
16302_82_star								d ə + z y k			d y + ʐ y k	tɕʰ y ŋ + z y k				tɕʰ y ŋ + z y k		z y k		tɕʰ u + z u k		
16303_82_star	t a + d i j a ŋ			ts aː + t r ɔ ŋ					l a + d i j a ŋ				h a + d a ŋ		t a + d i j a ŋ						s a + d i j o ŋ	s a + t i j o ŋ
16305_82_star																	s a t		s ai ʔ			
16306_82_star			p ə + dʒ ai ʔ											p ə + dʒ ai ʔ								
16307_82_star						h a ³¹ + ɣ ai ⁵³	h a ³³ + ɣ a t ⁵³															
16501_83_stonerock		k a + l ɨ ŋ			l u ŋ			l ý/y ŋ		l u ŋ	l ý/y ŋ	r ý/y ŋ	k a + h o ŋ			r ý/y ŋ		l ý/y ŋ		l u ŋ		
16502_83_stonerock	l a b aᵘ/a			l ə b au					l a b aᵘ/a						l u b u						l a b aᵘ/a	l a b aᵘ/a
16503_83_stonerock			k ə + b ɹ aː			k ə ³¹ + p aʳ/a˞ ⁵⁵	k ə ³³ + p ɔʳ/ɔ˞ ³³							k ə + b ɹ aː			k ə + b ɹ aː		k ə + b ɹ aː			
16701_84_sun		h a + m i			n a + m i					n a + m i		n ə + m iː	h a + m i			n ə + m iː	h a + m i		h a + m i			
16702_84_sun			k r iː			k əʳ/ə˞ ³¹ r i ⁵⁵	k ə ³³ r i ³³	n ə + n yː			n aː + n yː			k r iː				n ə + n yː		n ə + n iː		
16703_84_sun	h a + n aⁱ/ai			h aː + n ɛi ŋ					h a + n aⁱ/ai						h a + n aⁱ/ai						h a + n aⁱ/ai	h a + n eⁱ/e ŋ
16901_85_sweet	pʰ i + j a ŋ			pʰ + j ɛ ŋ	j ɔ ŋ + j ɔ ŋ				pʰ i + j a ŋ						pʰ i + j a ŋ						pʰ i + j a m	pʰ i + j a ŋ
16902_85_sweet								a + b l ã		ɔ + b e j + d a												
16903_85_sweet		a + p i n	a + p i ŋ			a ³¹ + p i n ⁵⁵	a ³³ + p i ŋ ³³						a + p i n	a + p i ŋ			a + p i n		a + p i ŋ			
16907_85_sweet											a + ts ĩː	tɕ ĩː				tɕ ĩː		a + tɕ ĩː		a + tɕ ĩː		
1701_9_bite					z ɛ k			z ɛ k		z ɛ k		z ɛ k				z ɛ k		z ɛ k		z ɛ k		
1702_9_bite				kʰ r i k																		kʰ r i k
1703_9_bite	tʰ o k + pʰ a	t ɔ ʔ	t ua			t ua ⁵⁵	t ua ⁵³						t ua	t ua	tʰ o k + pʰ a		t ua		t ua		tʰ o k + m a g e	
17101_86_tail	e + ɲ oⁱ/o	a + n yi		ə + ɲ ui	ɲ ɔ j	a ³¹ + ɲ iu ⁵⁵ k ua ŋ ⁵⁵	a ³³ + ɲ u k ³³ k ua ŋ ³³	a + n ɛʰ/ɛ	e + ɲ oⁱ/o	ɲ u j	a + n aː	a + n ɛʰ/ɛ			e + ɲ oⁱ/o	a + n ɛʰ/ɛ		a + ɲ aː		a + ɲ aː	e + ɲ oⁱ/o	e + ɲ oⁱ/o
17104_86_tail			n i + m ɹ ɛː											n i + m ɹ ɛː					ɲ i + m ɹ ɛː			
17301_87_totake					tʰ ɔ n			tʰ øː		tʰ ɔ n	tʰ øː	tʰ ĩː				tʰ ɛ n		tʰ øː		tʰ ɛː		
17302_87_totake	ɹ eⁱ/e + pʰ a	l eː	r ei	r i j ə		ɣ ei ⁵⁵	ɣ ei ³³		j e + pʰ a				l ei	r ei	l i j e		l ei		r ei		tʰ a + r i j a + m a + g e	ɹ i j e
17501_88_thick					ɔ + tʰ ɛ s			a + tʰ ɛ		ɔ + tʰ ɛ s	a + tʰ ɛ	a + tʰ ɛ				a + tʰ ɛ		a + tʰ a t		a + tʰ ɛ t		
17503_88_thick		a + p ə n	a + p i ʔ			a ³¹ + p i t ⁵³	a ³³ + p i ʈ ³³						a + p e n	a + p i ʔ			a + p i ʔ					
17701_89_this					ɔ + tɕʰ i					u + tɕʰ i												
17702_89_this								tʰ aː			tʰ aː	tʰ ɛː				tʰ ə		tʰ w a		tʰ a		
17703_89_this	h e + pʰ o m o n o	h ɨ ŋ	h ə ŋ			h ə ŋ ⁵⁵	h ə ŋ ³³		h e + pʰ o m o n o				h ə ŋ	h ə ŋ			h ə ŋ		h ə ŋ		e + h i h i	h e + pʰ o m o n o
17901_90_tongue	r i	a + l yi	a + r ue	r yi	l ɔ j	a ³¹ + l y e ⁵⁵	r y e ³³	l ɛː	r i	l u j	l aː	l ɛː	j ui	a + r ue	r i	l ɛː	l ue	l aː + pʰ ɔ̃	l ue	l aː	i r i	r i
18101_91_tooth		k ə + t ɔ N/ɴ	k ə + t ua ŋ		h i n + t u ŋ	k ɯ ³¹ + t ua ŋ ⁵⁵	k ə ³³ + t ua ŋ ³³	n ə + tʰ y ŋ		ɕ i n + t u ŋ	n y + tʰ y ŋ	n ə + tʰ y ŋ	k ə + t ua ŋ	k ə + t ua ŋ		pʰ + tʰ y ŋ	t ua ŋ		t ua ŋ	n ə + tʰ u ŋ		
18103_91_tooth	ʃ i n i j a t			ɕ i ɲ ɛ n					ʃ i n i ŋ						ʃ i n i ŋ						ʃ i n i ŋ	ʃ i n i j a t
18301_92_water	kʰ oᵘ/o	kʰ ɔː	k ua	kʰ oː	kʰ o w	k ua ⁵⁵	k ua ³³	kʰ ɔː	kʰ oᵘ/o	kʰ a w	kʰ ɔː	kʰ ɔː	k ua	k ua	kʰ oᵘ/o	kʰ oː	k ua	kʰ oː	k ua	kʰ oː	kʰ o	kʰ oᵘ/o
18501_93_what					a + b e					a + b e												
18502_93_what																		m u s i + aː		m ə + r aː		
18504_93_what								m ə + t iː + j a			m ə + t iː + j a	a + t i + j aː										
18505_93_what	n i w			ɲ u j aː					n i j e						ɲ i j a g a						n i w k a	n i w
18506_93_what		h ɛː											h ai				h ai		h ai			
18507_93_what			h iː			h i ⁵⁵	h i ⁵³ ɟ e h ⁵³							h iː								
18701_94_white					j a ŋ + k a ɹ					j a ŋ + k a l												
18702_94_white								a + z ãː			a + z ãː	a + z ɔ̃ː				a + z ɔ̃ː		a + z ɔ̃ː		a + z ɔ̃ː		
18703_94_white	e + m oᵘ/o			ə + m au					m õᵘ/õu						e + m o ŋ						e + m oᵘ/o	e + m o ŋ
18704_94_white		a + r j u N/ɴ	a + r j u ŋ			a ³¹ + ɬ i o ŋ ⁵⁵	a ³³ + r i o ŋ ³³						a + r j u ŋ	a + r j u ŋ			a + r j u ŋ		a + r j u ŋ			
18901_95_who		m iː			m i			n iː		m i	n iː	m iː				m iː		ɲ iː		ɲ iː		
18902_95_who	h a + n i j u		h aː	h a + ɲ u		h a ⁵⁵	h a ³³		h a + n i j u				h oː	h aː	h a + n i j u		h oː		h aː		h a + n i j u	h a + ŋ u ŋ
1901_10_bitter		a + tʃ a ʔ	a + tʃ aː		tɕʰ a k + b a	a ³¹ + dʑ iu ⁵³		tɕʰ a k		tɕʰ a k + b a	a + tɕʰ a k	tɕʰ a k	a + tʃ ua ʔ	a + tʃ j aː		tɕʰ a k	a + tʃ aː	tɕʰ ɐ k	a + k j aː	a + tɕʰ a k		
1902_10_bitter	kʰ oᵘ/o			ə + kʰ oː					kʰ oᵘ/o						e + kʰ oᵘ/o						kʰ oᵘ/o	e kʰ oᵘ/o
19101_96_wind	a + ʃ a m			h aː + s aː m	n a m + s u ŋ			n ə + s ø n	h a + s a m	n a m + s u ŋ	n a + s ø n	n y + s ɔ m			h a + s a m	p + s ø m		n ə + s ɔ m		n ə + s ɔ m	h a + s a m	h a + s a m
19102_96_wind		h a N/ɴ + ʃ i n											h a + h ɹ ɨ n				h a + h ɨ n					
19103_96_wind			a ŋ + h ui ʔ			a ŋ ³³ + x ɯ t ⁵⁵	a ŋ ³³ + h u ʈ ⁵³							a ŋ + h ui ʔ					a + h ui ʔ			
19302_97_wing								n y + pʰ a ŋ		ɲ u j + pʰ a	n y + pʰ a ŋ	n ə + pʰ a ŋ				m ə + pʰ a ŋ		n ə + pʰ a ŋ		l ə + pʰ a ŋ		
19303_97_wing		a + ʒ ui N/ɴ	a + j ui ʔ	ə + j i k		a ³¹ + j əu t ⁵⁵	a ³³ + j u ʈ ³³						a + ʒ u n				a + z uə t		m ə + j ui ʔ			
19501_98_woman	b i + m i		a + m ui	b ə + m i	dʑ u + m u	b i ⁵⁵ + a ³¹ + m ui ⁵³	a ³³ + m ui ⁵³	dʑ ə + m y		dʑ u + m u	dʑ ə + m y	dʑ ə + m y	a + m ui	a + m ui		dʑ ə + m y	a + m ui	dʑ ə + m y	a + m ui	dʑ ə + m i	d i + m i	b i + m i
19502_98_woman									h õa + m u						h õa + m ua							
19701_99_wood	h i ŋ	ʃ i N/ɴ	h ɹ e ŋ	h i ŋ	ɕ i ŋ	h r e n ⁵⁵	h eʴ/e˞ n ³³	h i ŋ	h i ŋ	h i ŋ	h i ŋ	h i ŋ	h ɹ ɨ n	h j e ŋ	h i ŋ	h i ŋ	h ɨ ŋ	h i ŋ	h ɹ i ŋ	h i ŋ	h i ŋ	h i ŋ
19901_100_yesterday	d i + j o			d i + j au	d ɛ j + j u			d y + j ɔː		d i + j u	d y + j ɔː	dʑ y + j ɔː			d i + j o	dʑ ɔ + h ɔː		d i + j au			d i + j o	d i + j o
19903_100_yesterday		dʒ i + r j ɛː	b j a r iː			b ie ³³ ɬ i ⁵³	b ie ³³ r i ⁵³							b j a r iː					b ɹ õ r ĩ			
2101_11_black					u + tɕʰ a m			a + tɕʰ ũː		u + tɕʰ a m	a + ʈʂʰ ũː	a + tɕʰ ũː				a + tɕʰ ũː		a + tɕʰ ũː		a + tɕʰ ɔ̃ː		
2102_11_black	e + s aⁱ/ai			ə + s ai					s oⁱ/o						e + s ui						e + s aⁱ/ai	e + s aⁱ/ai
2103_11_black		a + h j ɛ N/ɴ	a + h j ɛ̃			a ³³ + ɦ a m ⁵⁵	a ³³ + ɦ iɛ ⁵³						a + h j eĩ/ẽi	a + h j ɛ̃			a + h j ɛĩ/ɛ̃i		a + h ɛ̃			
2301_12_blood	e + f ua	a + h ui	h ue	ə + f uɛ	h ɔ j	h ui ⁵³	h ue ⁵³	h ɛː	n ə + f aⁱ/ai	h ɔ j	x aː	h ɛː	a + f ui	h ue	m ə + f aⁱ/ai	h ɛː	f ui	h aː	h ue	h aː	e + f ua	e + f ua
2501_13_bone					ɕ a + kʰ u s			i + h i k		ɕ a + kʰ u s	a + x y k	s ə + k i k				s + k i k		s + k i k		s + k i t		
2502_13_bone	e + z e ŋ	a + z ɛ N/ɴ	a + z ai ʔ	ə + s ɛ ŋ		a ³¹ + z ai ⁵⁵			n i + z e ŋ				a + ʒ a n	a + dʒ ai ʔ	e + z e ŋ		a + z a ʔ		a + z ai ʔ		e + z e ŋ	e + z a k
2701_14_breast	n i w			ɲ eoː	n u					ɲ u					n i w						ɲ eoː	ɲ eoː
2702_14_breast								n y ŋ			n y ŋ	n y ŋ				n y ŋ		ɲ y ŋ		ɲ u ŋ		
2704_14_breast		a + n j ɛː	a + n j ɛː			a ³³ + n iɛ ¹¹	a ³³ + n iɛ ¹¹						a + n j ei	a + n j ɛː			n j ɛi		ɲ ɛː			
2901_15_toburnit				h õːe	h a j			h ɛː		h a j	h aː	h ɛː				h ɛː		h aː		h aː		h aᵘ/a
2903_15_toburnit	f ũ p + pʰ a														f u + pʰ a							
2904_15_toburnit			j ɨː						dʒ i + j o + pʰ a				dʒ əu	dʒ ɨː			dʒ əu		dʒ ɨː			
301_2_2sg	n o	n aː	n a	n ɔ̃	n a ŋ	n a ⁵⁵	n a h ⁵³	n a ŋ	n o	n a ŋ	n a ŋ	n a ŋ	n a ŋ	n a	n o	n a ŋ	n a	n a ŋ	n a	n a ŋ	n o	n o
3101_16_tocarryonback					b u			b yː		b u	b yː	b yː				b yː	b əu	b yː		b yː		
3105_16_tocarryonback			e i ʔ				ɣ ə ȶ ³³							e k					e i ʔ			
3302_17_cloud		s ə + t ɨː	k a + t əː			k ə ³¹ + t ɯ ⁵⁵	k ə ³³ + t ɯ ³³	s + t y		t ɔ ŋ + t i	ɕ + t ỹ	s y ŋ + t y	k a + d əu + s ə	k a + t əː		s y n + t y	t o ŋ + s əu	s + t y	k a + t ɨː + s ɨː	s i n + t y		
3303_17_cloud	tʃ a + k a + m a ŋ			s ə + kʰ a + m au					tʃ a + k a + m a ŋ						tʃ a + k a + m a ŋ						s + k ə + m oᵘ/o	s + k ə + m oᵘ/o
