Cognate_ID	Anuta	EastFutuna	EastUvea	Emae	FutunaAniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	MeleFila	Niuean	NorthMarquesan	Nukeria	Penrhyn	Polynesian	Pukapuka	Raivavae	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Rurutu	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	VaeakauTaumako
1063_118_grass			m o h u k u	m a u k u		m a u ʔ u								m o u k u	m a u k u	m o u k u				m o u k u	m a u k u						m a u k u	m o h u k u	m oː u k u	m o u k u	
1064_110_spider																	m a ŋ a + m a ŋ a													m a k a + m a k a	
1069_95_tofall																	p a ŋ u l u							p a ʔ uː							
106_189_who	a i	a i	a i	k o i	a k a i	w a i	a i	a i	a i	w a i	k u + a i	h a i	a i	k o + a i	a i	h a i	a i	v a i	k o + a i	aː i	ʔ a i	a i	v a i	ʔ o + a i	a i	ʔ o + v a i	a i	h a i	a i	a i	a i
1070_64_tosay												k e + p e h e																p e h eː			
1071_150_yellow																								s aː m a + s a m a						s a m a	
1075_191_all						a + p a u											p a u		p a u + r o a												
1083_58_wife																				v iː ʔ e		h i ⁿg i + m a t u ʔ a									
1084_147_black													h i v a + h i v a								ʔ i v a								h i v a		
1085_18_breast																							t iː + t iː			t iː t iː					
1086_56_child	t a m a + t i	t a m a + l i k i	t a m a + s i ʔ i	t a m a + t i + t i	t a m a		d a m a + l l i g i	k a m a + l i ʔ i		t a m a + i t i	t a m a	t a m a + i k i + i k i	t a m a	t a m a	t a m a + r i k i	t a m a	t a m a + l i k i	t a m a + ɢ i ʔ i	t a m a + i t i		t a m a + i t i	t a m a + ʔ i t i + ʔ i t i	t a m a + r i ʔ i	t a m a + i t i + i t i	t a m a + l i k i	t a m a + r i ʔ i	t a m a + r i k i	t a m a + s i ʔ i	t a m aː + r i k i	t a m a + l i k i	
1087_168_day							r aː n i									r a ʔ a n i															l a ŋ i
1088_98_egg									m aː m a r i + m o a				m a m a ʔ i							m aː m a r i											
1089_61_house		k aː i ŋ a										k a i n a	a i k a		k aː i ŋ a																
108_136_wind	m a t a ŋ i	m a t a ŋ i	m a t a ŋ i	m a t a ŋ i	m a t a g i	m a k a n i	m a d a ŋ i	m a k a ŋ i	m a t a ŋ i		m a t a ŋ i	m a t a ŋ i	m e t a n i	m a t a n i	m a t a ŋ i	m a t a ŋ i	m a t a ŋ i	m a t a ʔ i	m a t a ŋ i	m a t a ŋ i	m a t a ŋ i	m a t a ŋ i	m a t a ʔ i	m a t a ŋ i	m a t a n i	m a t a ʔ i	m a t a g i	m a t a ŋ i	m a t a ŋ i		m a t a ŋ i
1090_193_if																				a n a				ʔ a n a							
1091_126_lake						l o k o	r o t o			r o t o		l o t o	v a i + ʔ o t o			l o t o	l o t o		r o t o		r o t o	ⁿg o t o	r o t o	l o t o		r o t o	r o t o		r o t o		
1092_17_liver																		ʔ uː p a ʔ a					ʔ u p a ʔ a			ʔ u p a ʔ a					
1094_129_moon																		ʔ aː v a ʔ e					ʔ aː v a ʔ e			ʔ aː v a ʔ e					
1095_59_mother			f a ʔ e							f a e a																		f a ʔ eː			
1096_63_name	i ŋ o a	i ŋ o a	h i ŋ o a	i ŋ o a	i g o a	i n o a	i ŋ oː	i ŋ o a	i ŋ o a	i ŋ o a	i ŋ o a	h i g o a	i k o a	i n o a	i ŋ o a	h i ŋ o a	i ŋ o a	i ʔ o a	i ŋ o a	ʔ iː ŋ o a	i ŋ o a	i ŋ o a	i ʔ o a	i ŋ o a		i ʔ o a	i g o a	h i ŋ o a	i ŋ o a	i g o a	i ŋ o a
1098_137_toblow	p u i					p u h i			p u ʔ i	p u + p u h i		p u h i	p u h i			p u + p u s i	p u j i	p u + p u h i	p u + p u h i	p u h i	p u ʔ i	p u s i	p u ʔ i			p u h i			p u h i	p u h i	
1099_144_toburn	t u t u	s u + s u n u	t u + t u				d u + d u		t u t u				t u t u				t u + t u		t u + t u	t u + t u		t u + t u		s u + s u n u	t u + t u		t u + t u	t u + t u			
109_100_wing	k a p a + k a u	k a p a + k a u	k a p a + k a u	p a k a + k a u	p a + k a u	ʔ eː h e u	b a + k a u + m a n u	a p a + ʔ a u	p e + h a u		p e + k a u	p eː + h a u	p e + k e u	k a p a + k a u		k a p a + k a u	p a k a + j a u				p eː + ʔ a u	k a p a + k a u		ʔ a p a + ʔ a u	k a p a + k a u		k a p a + k a u	k a p a + k a u		k a p a + k a u	k a p a + k a u
10_146_ashes		m u + ŋ aː + l a f u							ŋ a + r a ʔ u																						
1100_85_tochoose																							m a ʔ i t i			m a ʔ i t i					
1101_172_toclimb					f i ʃ i	p i ʔ i	h i t i		p i k i	p i k i			h i t i				w i + w i t i + k i + l u ŋ a	p i ʔ i	p i k i				p i ʔ i	p i ʔ i							
1102_90_todig	k e n u	k e n u																												k e n u	
1103_72_tohit			p a k i	p a k i + a	p a k i				p a k i			p o k i				p a k i		p a ʔ i			p aː k i + a								p a + p a k i		
1104_69_tohunt						h a + h a i				f a i + f a i																					
1105_49_toliedown		m o e		m o e	m o e	h i n a + m o e	m o e				m o e		m o e				m o e + k i + l a l o			m o e	m o e	m o e			m o e		m o e			m o e + k i + l a l o	
1106_76_tolivebealive	o r a		o l a			o l a	o r a	o l a	o r a	o r a		o l a		o r a	o r a		oː l a		o r a	o r a	o r a		o r a	o l a	o l a	o r a	o r a		o r a		
1107_73_tosteal									k a m o				k a m o																		
1108_87_toswell																							ʔ o r u			ʔ o r u			k o r o + p uː + p uː		
1109_5_towalk	a e r e	s a ʔ e l e	h aː e r e	s a e r e		h e l e	h a e l e	h a e l e	ʔ e r e	h a e r e + a + w a e w a e		h a e l e	h e ʔ e	h aː r e	s a e r e	s a ʔ e l e	j aː e l eː + l e	h a e ɢ e	h a e r e	h a ʔ e r e	ʔ a e r e	s a ʔ e ⁿg e	ʔ a n o + r i m o + ʔ a e r e	s a e l e	s a e l e	h a e r e	s a e r e		h a e r e	h a e l e	
110_55_womanfemale	p a + p i n e	f i n e	f i n e	f a + f i n e	f a + f i n e	w a + h i n e	a + h i n a	h i ŋ e	ʔ a + ʔ i n e	w a + h i n e	t e + f i n e	f i n e	h i n e	h a + h i n e	h i n e	f a + f i n e	w aː + w i n e	v a + h i n e	t a m a + h i n e	b a + h i n e	ʔ i n e	h i n e	v a + ʔ i n e	f a + f i n e	h i n e	v a + h i n e	f i n e	f e + f i n e	h iː n e	f a + f i n e	h a n a
1110_64_tosay								k a + k a l a								t a l a								t a u + t a l a	t aː + t a l a						
1115_191_all					o ʃ i						e u tʃ i																				
1122_151_green														u r i										u s i + u s i							u i + u i
1125_144_toburn						ʔ aː			k a ʔ a										k aː												k h aː
112_169_year	t a u	t a ʔ u	t a ʔ u	t a u	t a u		t a u	k a u	t a u	t a u		t a u	t a u			t a ʔ u				t a ʔ u	t a u	t a ʔ u		t a u + s a ŋ a	t a u		t a u	t a ʔ u	t a u	t a u + h a ŋ a	
115_165_badevil	k o v i		k o v i																									k o v i			
1168_77_toscratch																		m a ʔ e ɢ o									m a ŋ i s o				m a ŋ e o
1169_140_dry					m a t u						m a t u					m a t u ʔ u															m a tʰ uː
116_14_belly			ʔ a l o		a l o																										
1170_68_needle						k u i								t u i	t u i				t u i a u									h u i + t u i + t u i			
1171_152_small	r i k i	ʔ i k i + ʔ i k i				l i ʔ i		s u l i				l i k i	ʔ i k i	p u n a + r i k i + r i k i			l i + l i k i					ⁿg i k i			l i k i				r i k i	f o + l i k i	l i k i + l i k i
1172_94_tothrow																						t u p e								t u p e	
1173_148_white																								s i n a				h i n e h i n a			
117_139_cold		m o + m o k o																										m o + m o k o			
1182_127_woodsforest					ŋ a m o t u + ʰm a r a																										m o u k u
1183_146_ashes	r e p u	l a f u	l e f u	r e f u	m a + g a + r a f u	l e h u	l e h u	l e h u	ʔ e ʔ u	p u + ŋ a + r e h u	a + r e f u	e f u	ʔ e h u	r e h u	r e h u	r e f u	l e w u + l e w u	ɢ e h u + a u + a h i	r e h u	ʔ e o + ʔ e o	r e ʔ u	ⁿg e h u	r e ʔ u	l e f u + l e f u	l e h u	r e h u	r e f u	e f u + e f u	r e h u	p e f u	l e h u
1185_71_tostabpierce		s o k a ʔ i	h o k a							o k a		h o k a								o k a		s o k a			s oː k a i			h o k a	h o k a		
118_166_correcttrue									m a u									m a u					p a r a u + m a u								
119_10_dirty														k e r e + k e r e		k e l e + k e l e								ʔ e l e + ʔ e l e + a			k e r e			k e l e + k e l e + a	
11_173_at	i	i	ʔ i		i	i	i	i	k i	i		i	i	i	i		i	i	i	i	i	i	i	i	i	i	i		i	i	i
1205_193_if						i n aː																			h a n o					m a n a	
1209_147_black	u r i	ʔ u l i	ʔ u l i	u r i	u r i		u l i	ʔ u l i	u r i			u l i			u r i	ʔ u l i	u l i		u r i + u r i		u r i	ʔ u ⁿg i		u l i + u l i	u l i		u r i	ʔ u l i + ʔ u l i	u r i	u l i	u l i
120_82_dullblunt						m uː + m uː							t u m u ʔ e		m uː		t u m a		t u m a + u m o u				t uː + m uː						t iː		
1210_18_breast																	u m a	ʔ o + u m a	u m a + u m a				ʔ oː + u m a						k oː + u m a		
1211_168_day						l aː				r aː				r aː					r aː	r aː				l aː							
1212_10_dirty	p a r a + p a r a	p a l a + p a l a	p a l a + p a l a							p a r u		p a l a + p a l a	p a ʔ a + p a ʔ a				p a l a + n u i		p a r a + p a r a			p a ⁿg a + p a ⁿg a			p e l a					p a l a	p e l a + p e l a
1213_96_dog	k o r iː	k u l iː	k u l iː	k u r i	k u l i	ʔ iː l i o			k u r iː	k u r iː	k o r i	k u l iː	k u ʔ i		k u r iː		k u l iː	ʔ u ɢ i	k u r iː	k u r i	k u r iː	k u ⁿg i	ʔ uː r iː	ʔ u l iː	k u l iː	ʔ u r iː	k u r i	k u l iː	k u r i o	k u l iː	k u l iː
1214_98_egg																				t o u a									t oː u o		
1215_116_flower									t i a r e								t i a l e	t i a ɢ e	t i a r e				t i a r e			t i a r e					
1216_1_hand																					k a p u								r i m a		
1217_126_lake		n a m o	n a m o		n a m o							n a m o																			
1218_129_moon					m a r a m a			m a l a m a		m a r a m a				m a r a m a	m a r a m a	m a r a m a			m a r a m a		m a + r a m a			m aː + l a m a	m a + l a m a		m a + r a m a				
1219_59_mother	n a u			n a u																							n a u				
121_119_earthsoil	k e r e + k e r e	k e l e	k e l e	k e r e	k e r e		g e l e	ʔ e l e		k e r e	k e r e	k e l e		k e r e + k e r e		k e l e	k e l e + k e l e					k e ⁿg e			k e l e		k e r e	k e l e + k e l e		k e l e	
1220_163_new																		aː p i					aː p iː			ʔ aː p iː					
1221_190_other			t a h i			k e + k aː h i													t eː + t a h i + a t u	t a h i	t eː + t a ʔ i		v e + t a ʔ i	ʔ o + s e + t a s i		v e + t a h i				e + t a h i	
1222_3_right		ʔ a + t a + m a i											a t a + m a i												a t a + m a i					a t a + m a i	
1223_125_salt									m i t i								m i t i			m i t i	m i t i		m i t i	m i t i		m i t i			m i t i		
1224_177_this					t e + n e i		t e + n e i	k e + ŋ e i	t e + n e i	t eː + n e i	k e + n e i		t e + n e i				t eː + n e i								t e + n e i					t eː + n e i	t e + n e
1225_41_tobite						n a h u				ŋ a u			n a h u							g a u							ŋ a u				
1226_137_toblow						p aː																							p aː		
1227_144_toburn	t u ŋ i a			t u ŋ i + a	t u ŋ i + a	k u n i	t u ŋ i	k u ŋ i			t u ŋ i + a	t u ŋ i		t t u n i				t u + t u ʔ i			t u + t u ŋ i	t uː ŋ i + a			t uː n i + a	t u + t u ʔ i			t u ŋ i	t u g i + a	
1228_91_tobuy									ʔ o k o	h o k o			h o ʔ o		h o k o		o k o			h o ʔ o	ʔ o k o		ʔ o ʔ o + m a i			h o ʔ o + m a i			h o k o		
1229_38_tochew			l a m u															ʔ a ʔ a + m a ɢ u						l a m u				l a m u		l a m u	
122_132_fog																					m aː ʔ uː								m aː h u		
1230_50_todream		m o e + m i t i				m o e + m o e + aː			m o e + m o e + a	m o e + m o e + aː			m o e + m o e + a	m o e	m o e + m o e + aː	m o h e + m i t i	m o e + m i t i	m o e + m o e + aː	m o e + m o e + aː	m o e	m o e + m o e + aː		ʔ a ʔ a + ʔ e i + m o e			m o e m o e + aː			m o e + m o e + aː	m o e + m i t i	
1231_86_togrow		s o m o	h o m o		s o m o			s o m o						h o m o								s o m o			s o m o						
1232_72_tohit		p aː t uː					b a d u	p a k u	p a t u	p a t u			p a t u		p a t u		p a t u		p a t u		p a t u								p a t u		
1233_69_tohunt																		a ʔ u + a ʔ u					a ʔ u + a ʔ u			a ʔ u a ʔ u			a k u + a k u		
1234_33_tolaugh	k a t a	k a t a	k a t a	k a t a	k a t a	ʔ a k a	k a t a + k a t a	ʔ a k a	k a t a	k a t a	k a t a	k a t a	ʔ a t a		k a t a	k a t a	k aː + k a t a	ʔ a t a	k a t a	k a t a	k a t a	k a t a	a t a	ʔ a t a	k a t a	ʔ a t a	k a t a	k a t a	k a t a	k a t a	k a t a
1235_49_toliedown	t a + k o t o		t a + k o t o					k a ʔ o k o		t a + k o t o		t a + k o t o		t a + k o t o	t a + k o t o	t a + k o t o	t a + k o t o		t a + k a t o		ʔ a k a + t a + k o t o			t a + ʔ o t o		t a + ʔ o t o		t o + k o t o	t a + k o t o		t a + k o t o
1236_80_tosplit												m a t o f i				i s i				i h i				m a t o f i						i h i	
1237_73_tosteal	k a i a	k a i ʔ a a					g a i h aː					k a i h aː			k a i aː		k a i aː	ʔ e i aː	k a i aː		k e i aː	k a i a + ʔ a	ʔ e i aː		k a i aː	ʔ e i aː	k a i a	k a i h a ʔ a	k e i aː	k a i aː	k a i a
1238_42_tosuck		k o m o				o m o			o m o		t o m i a		o m o	h o m o + h o m o					f a k a + r o + r o m a	o m o									ŋ o + ŋ o		
1239_87_toswell	uː r a	f u l a	f u l a		f u r a			e + h u l a				f u l a		h h u r a		f u + f u l a				a h u		h u + h u ⁿg a		f u l a	h u l a		f u r a	p u + p u l a		f u + f u l a	
123_151_green		m o t o	m o t o		m o t o				m o t o													m o t o									
1240_21_tothink						m a n a ʔ o							m a ʔ a + k a u		m a n a k o	m a n a t u	m a n a k o		h a k a + m a n a k o	m a n a ʔ u			m a n a ʔ o			m a n a ʔ o					
1241_5_towalk							t aː + h a o																				t a h a o				
1243_159_wide																					ʔ a + ʔ a n o		ʔ a + ʔ a n o			ʔ a + ʔ a n o					
1244_107_wormearthworm						k o ʔ e			i r i + t o k e	n o k e			t o k e		t o k e			t o ʔ e + ɢ e p o	t o k e		t o k e		t o ʔ e	t o ʔ e		t o ʔ e			t o k e		
1245_169_year						m a k a h i k i									m a t a h i t i		m a t a w i t i	m a t a h i t i	m a t a h i t i	m a t a h i t i	m a t a ʔ i t i		m a t a ʔ i t i			m a t a h i t i					
124_24_head						p o ʔ o	l i + b o g o	p o h o	u + p o k o	u + p o k o			u + p o k o	p o k o + u r u	u + p o k o			u + p o ʔ o	u + p o k o	p u o k o	u + p o k o		u + p o ʔ o		p o h o	u + p o ʔ o	p o k o		u + p o k o	p i h o	p i h o + u l u
1255_34_tocry																		h e v a					ʔ e v a								
126_103_meatflesh						ʔ i ʔ o			k i k o	k i k o		k i k o	k i k o		k i k o		k i k o	ʔ i ʔ o	k i k o	k i k o	k i k o		ʔ i ʔ o	ʔ i ʔ o	i o	ʔ i ʔ o			k i k o		i o
1278_139_cold																		h a u + m aː ɢ uː						m a + l uː l uː						m aː + l uː + l uː	
1279_65_rope														k aː v e i			k a w a														
127_158_narrow																											k o m o		k o m a		
129_195_nonot					ʃ i + k a i						s a i		i e + a i			ʔ i + k a i	k i + a i					s i + ʔ a i		i + ʔ a i			s i + e i	ʔ i + k a i		i + k a i	s i + a i
12_165_badevil				s a t i	s aː			ʔ i ŋ o			s a					s a ʔ a															
1302_19_shoulder				p a m u							p a m u																				
1306_94_tothrow														r i a k i		l i a k i												l iː			
1307_168_day							l aː				r e a																				
1308_190_other					t e i a i		t e i																	i s i							
1309_38_tochew	k a m u							ŋ a m u + ŋ a m u																							k a m u
130_162_old						k a h i k o			t e ʔ i t o				t e h i t o		t a h i t o			t a h i t o	t a h i t o		t a ʔ i t o										
1312_73_tosteal																k a i a ʔ a								ʔ a i s aː							
1313_192_and									e									e	e	e			ʔ eː			ʔ eː					
1314_14_belly		k o n a	k o n a				k o n a		k o n a						k o n a						k o n a						k o n a		k o n a		
1315_176_below	r a r o	l a l o	l a l o		r a r o	l a l o	r a r a	l a l o	r a r o	i + r a r o		l a l o	ʔ a ʔ o	i + r a r o		l a l o	l a l o	ɢ a ɢ o	r a r o	r a r o	r a r o	ⁿg a ⁿg o	r a r o	i + l a l o	l a l o	r a r o	r a r o	ʔ i + l a l o	r a r o	l a l o	l a l o
1316_139_cold						a n u			a n u				a n u		a n u		a n o				a n u + t o k e + t o k e								a n u		
1317_166_correcttrue	t o n u	t o n u	t o n u		t o n u		d o n u	k o ŋ u				t o n u					t a u + t o n u		t a n o			t o n u		a m i o + t o n u	t o n u	t a n o	t o n u	t o n u		m u n a + t o n u	tʰ o n u
1318_168_day																		m a + h a n a					m a + ʔ a n a								
1319_10_dirty								s a v a					h a v a		s a v a					h a v a	ʔ a v a + ʔ a v a				s a v a				h a v a		
131_160_painfulsick	ŋ a e + ŋ a e	m a m a e			ʰm a e		m h a e	m m a e	m a m a e				m e m a e		m a m a e					m a m a e	m a m a e	m a m a e			m a m a e	m a m a e	ŋ a e + ŋ a e		m a m a e		
1320_116_flower		f i t i	f i s i									f i t i																			
1321_190_other		k e s e																						ʔ e s e				k e h e			
1322_154_short		l e k a																				l e k a									
1323_19_shoulder						p o ʔ o + h i w i			p a k u + ʔ i v i	p a k i + h i w i			p a u + f i + f i				p o k o + i v i	p a ʔ u + h i	p a k u + i v i	k a p u + h i v i	p o k o + i v i		p a ʔ o + ʔ i						p a k i + h u i		
1324_41_tobite		ʔ uː	u ʔ u					uː						t a + k i l uː								u ʔ u		u	n u n u			u ʔ u			
1325_137_toblow		a ŋ i	a ŋ i				a ŋ i							a n i	a ŋ i + a ŋ i		aː ŋ i				a ŋ i	t a + i ⁿg i		a ŋ i	a n i		a ŋ i	a ŋ i	a ŋ i	a g i	v e ŋ i a
1326_144_toburn	t a p u								t a ʔ u	t a h u		t a f u			t a h u						t a ʔ u			t a f u			t a f u		t a h u	t a f u	
1327_91_tobuy							h u i	s u i																	s u i						
1328_38_tochew		ŋ a u					ŋ a u					g a u		n a u	ŋ a u		ŋ a u + ŋ a u		ŋ a u + ŋ a u		ʔ i a	ŋ a u	ʔ a u + ʔ a u			ʔ a u + ʔ a u	ŋ a u		ŋ a u	g a u	
132_65_rope	m a e a	m a e a	m a e a				m o e a	m a e a			m e a			m a e a										m a e a	m a e a		m a e a	m a e a		m a e a	
1330_196_tocount	r a u	l a u	l a u	t a u + a	t a u		d a u	p a u	t o u + ʔ a r a	t a + t a u	t a o	t o + t o u	t a u	p p a u	t a u	t a u	t a + t a u		t a + t a u + a ŋ a	t a + t a k u	t a + t a u	t a u		f a i + t a u	p a u		t a u	l a u + a		l a u	p h a u a
1331_22_tofear																		ɢ i a + ɢ i a		r i a + r i a			r i ʔ a + r i ʔ a			r i ʔ a + r i ʔ a					
1332_72_tohit	t u k i		t u k i		t u k i	k u ʔ i	t u g i	k u ʔ i				t u k i	t u ʔ i		t u k i	t u k i			t u k i		t u k i	t u k i		t u ʔ i			t u k i		t u k i		
1333_69_tohunt														u r u		t u l i + m a n u	w u l i							t u l i				t u l i + m a n u			
1334_74_tokill				t e i a + k e + m a t e				k aː			t e i a + m a t i + a	t aː			t aː							t aː	t a		t aː		t a				t a + i a
1335_92_toopenuncover										h u a k i													ʔ u a ʔ i			h u a ʔ i					
1336_46_tosee	m a + m a t a	m a t a + m a t a					m a d a					m a t a										m a t a		m a t a + m a t a							
1337_88_tosqueeze			f o t a										h o t a																		
1338_42_tosuck	m i t i		m i h i					m i k i	m i t i			m i t i				m i t i	m i t i		m i t i		m i t i	m i t i			m m i t i		m i t i		m i t i	m i + m i t i	m i h i + k i a
1339_21_tothink		m a s a l o	m a h a l o									m a h a l a					m a j a l a		m a h a r a		m a ʔ a r a								m a h a r a		
133_124_sea	m o a n a	m o a n a				m o a n a	m o a n a	m o a ŋ a	m o a n a	m o a n a		m o a n a	m o a n a	m o a n a	m o a n a		m o a n a			m o a n a	m o a n a	m o a n a	m o a n a	m o a n a	m o a n a	m o a n a	m o a n a		m o a n a	m o a n a	m o a n a
1340_35_tovomit	r u a	l u a	l u a	r u a	l u a	l u a + ʔ i	l u a + i	l u a	r u a + k i	r u a + k i	r u a	l u a	ʔ u a	r u a	r u a	l u a + ʔ i	l u a + k i		r u a + k i	r u a		ⁿg u a	r u ʔ a + ʔ i	l u a + ʔ i	l u a		r u a	l u a	r uː a	l u a	l u a
1341_138_warm						w e l a					w e r a						v e l a	v e ʔ a + v e ʔ a					v e r a + v e r a	v e l a						m a + v e l a + v e l a	
1342_148_white	t e a	t e a	t e a		t e a	k e a			t e a			t e a	t e a		t e a	t e a			t e a	t e a + t e a	t e a	t e a	t e a + t e a	t e a	t e a		t e a		t e a	t e a	tʰ e a
1343_58_wife							a w a ŋ a							aː v a n a										aː v aː							
1344_28_tobreathe																	a k a + e a		h a k a + e a												
1346_152_small			s i ʔ i		s i + s i																							s i ʔ i			
1348_74_tokill													p e h i						p e h i + k i + t e + t o k a												
1349_74_tokill									t i n a ʔ i					t iː n a i						t i ŋ a ʔ i											
134_154_short					s a k a					h a k a + h a k a					s a k a + s a k a									s a ʔ a + s a ʔ a							
1350_49_toliedown																		t iː + ɢ a h a					t iː + r a ʔ a								
1352_195_nonot																	k aː j i			i n a + k a i											
1355_158_narrow		l a u + ʔ i k i + ʔ i k i				l aː + ʔ i k i			aː + i t i	f aː + i t i			f a + i t i	t uː + r i k i + r i k i		f aː + r i k i	k a u + l i + l i k i			r i k i + r i k i										p uː + f o + l i k i	m d a + l i k i
135_19_shoulder		u m a	ʔ u m a													u m a						u m a						u m a		t u a + u m a	
1363_112_rotten														v iː			v iː														
1364_112_rotten																	e k u										k uː				
1368_95_tofall	r e m o																														e m o
136_152_small							b o d o						p o t o		p o t o					p o t o	p o t o										
1370_95_tofall											m e l u																				m e u
1373_190_other													k e				k eː				k eː										
1376_74_tokill																					t aː			f a s i + o t i							
1377_88_tosqueeze							h a k a + p u i									f o f oː			h a k a oː												
1378_21_tothink									m a k a r a															m aː + f a u + f a u						m aː + f a u + f a u	
1379_58_wife									a ʔ a n a			h o a n a																			
137_105_tail						h u e l o			v e r o				v e ʔ o										v e r o			ʔ a e r o			v a e r o		
1380_208_fifty																		p a e + ʔ a + h u ɢ u					p a e + ʔ a + ʔ u r u								
1381_201_five																		p a e					p a e			p a e					
1382_175_above	r u ŋ a	l u ŋ a	l u ŋ a		w e i + ʰl u ŋ a	i + l u n a		l u ŋ a	r u ŋ a	i + r u ŋ a		l u ŋ a	ʔ u n a	i a + r u n a	r u ŋ a	i + l u ŋ a	l u ŋ a	ɢ u ʔ a	r u ŋ a	r u g a	r u ŋ a	ⁿg u ŋ a	n u ʔ a	i + l u ŋ a		n i ʔ a	l u g a + r u g a	ʔ i + ʔ o + l u ŋ a	r u ŋ a	l u g a	l u ŋ a
1383_192_and	m o	m o	m o								ŋ o	m o		n oː													m o	m o			o
1384_165_badevil		k i n o				ʔ i n o			k i n o	k i n o			ʔ i n o		k i n o		k i n o	ʔ i n o	k i n o	k i n o	k i n o		ʔ i n o	ʔ i n o + ʔ i n o	h a k a + k i n o + k i n o	ʔ i n o			k i r o		
1385_14_belly	m a n a v a	m a n a v a	m a n a v a		m a n a v a			m a ŋ a v a	m a n a v a			m a n a v a		m a n a v a	m a n a v a	m a n a w a	m a n a v a		m a n a v a + n u i	m a n a v a	m a n a v a	m a n a b a		m a n a v a	m a n a v a		m a n a v a		m a n a v a		m a n a v a
1386_139_cold																			t o k e + t o k e	t a + k e o			t o ʔ e + t o ʔ e			t o ʔ e + t o ʔ e			t o k e + t o k e		
1387_166_correcttrue									t i k a	t i k a		t i k a			t i k a		t i k a		t i k a	t i + t i k a	t i k a								t i k a		
1388_10_dirty						l e p o											l e p o	ɢ e p o	l e p o		r e p o		r e p o			r e p o					
138_62_thatchroof																							t aː + p o ʔ i + ʔ a r e			t aː + p o ʔ i + f a r e					
1390_116_flower		s eː		s e + r a k a u	s e																				s eː		s eː				
1391_151_green	k e p u																										k e f u				
1392_135_lightning																					r a p a	ⁿg a p a							r a p a		
1393_179_near			t a + t a		t a t a				t a + t a	t a + t a	e + t a + t a	t a + t a	t a t a		t a + t a	t a + t a	v aː + t a + t a		t a h a		t a + t a		ʔ a t a + t a	l a t a		f aː + t a + t a			t a + t a		
1394_68_needle		s i k a	h i k a				h i g a	s i ʔ a				h i k a				s i k a			h i k a	h i k a		s i k a			s i k a		s i k a				
1395_162_old													k o u a							k o r o h u a									k o r o u		
1396_65_rope		t a u l a	t a u l a		t a u r a	k a u l a	t a u r a		t o u r a	t a u r a		t o u a	t o u ʔ a		t a u r a	t a u l a	t a u l a		t a u l a	t a u r a	t a u r a	t a u ⁿg a	t a u r a			t a u r a			t a u r a		
