Cognate_ID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gogot	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Oromo	Silte	Tigre	Tigrigna	Wolane	Zway
124_29_concealed				d ə ʔ ə n ə								d ə ʔ ə r ə ʔ									
125_24_cheek						m ə l t a ħ t										m a lː aː					
126_26_child						w a l d					w iː ğ/dʒ							w ə l a d			
127_21_came							b ə sː a m								b ə sː a m						
131_23_cat											ʔ a d u rː u					ʔ a d u rː e	ʔ aː d ə n			ʔ a d ə n	ʔ a d u rː u
132_25_chest											w a z ə n a						w ə z ə n ə				
133_26_child													b ayː/ai̯								b aa/aː y/j u
139_30_cow																s a ʔ a		ʔ a ħ a			
13_8_belt		m ə kː a tʃː a	m ə t a g ə tʃ a																		
151_31_cried	ʔ a l ə ќќ/kʼː ə s ə	l ə ќќ/kʼː ə s ə																			
152_32_crocodile	ʔ a zː o	ʔ a z o			ʔ a zː o		ʔ a zː o	ʔ a zː o					ʔ a zː o	ʔ a zː o	ʔ a zː o					ʔ a zː o	ʔ a zː o
153_33_decide	w ə sː ə n ə		w ə w ə sː ɨ n					w ə s n o t				w ə sː ɨ n	w o w o sː ɨ n	w ə w ə sː ɨ n	w ə w ə sː ɨ n				w ə sː ə n ə		
154_34_destroy	ʔ a f ə rː ə s ə	f ə rː ə s ə				ʔ a f r ə s ə	b ə rː ə s ə m							b ə rː ə s ə	ʔ a f ə rː ə s ə m			ʔ a f r ə s a			f ə r ə s ə
155_35_dog	w ɨ ʃː a	w ɨ ʃ a											w ɨ sː a								
156_36_donkey	ʔ a h ɨ yy/jː a	ʔ a h ɨ y/j a																			
157_37_dreamt	ʔ a lː ə m ə					ħ ɨ l u m												ħ a lː ə m	ħ a l ə m ə		
158_38_dressn	ќ/kʼ ə m i s	ќ/kʼ e m i s	ќ/kʼ ə m i s	ќ/kʼ ə m i s		ќ/kʼ ə m i ś/s		ќ/kʼ ə m i s	ќ/kʼ a m b i s					ќ/kʼ ə m i s	ќ/kʼ ə m i s		ќ/kʼ ə m b i sː ə		q ə m ɨ Š/ʃ	ќ/kʼ ə m i s	ќ/kʼ ə m i s
15_2_all			ʔ ɨ nː ɨ m	h ɨ n ʔ e d i	ʔ ɨ nː ɨ m		ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ ʔ		ʔ ɨ nː ə		ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ m						
160_40_dryadj	d ə r ə kʼ	d ə r ə ќ/kʼ a	ť/tʼ ə r ə kʼ	d ə r ə ʔ	ť/tʼ ə r ə kʼ		ť/tʼ ə r ə kʼ	ť/tʼ ə r ə kʼ	ť/tʼ ɨ r ə kʼ	ť/tʼ ə r ə kʼ	d ə r ə kʼ	d ə r ə ʔ	d ə r ə kʼ	ť/tʼ ɨ r ə kʼ	ť/tʼ ə r ə ʔ		d ə r ə kʼ			d ə r ə ќ/kʼ ə	d ə r ə kʼ
161_33_decide		ќ/kʼ o rː ə ť/tʼ a					ʔ a rː a ť/tʼ ə m														
162_37_dreamt		m ə n a m h a n ʒ a														m a n aː b e					
163_39_drink		s ə tʃ a	s ə ć/tʃʼ ə	s e ćć/tʃʼ ə	s ə ćć/tʃʼ ə	s ə t y/j ə	s ə ćć/tʃʼ ə m	s ɨ ť/tʼ ə	s ə ć/tʃʼ ə	s ə ć/tʃʼ ə	s ə tʃ a	s ə ć/tʃʼ ə	s ə ćć/tʃʼ ə	s ə ćć/tʃʼ ə	s ə ćć/tʃʼ ə m		s ə tʃ e	s ə t ə	s ə t ə y/j ə	s ə tʃ e	s ə tʃ i
164_31_cried			b ə k ə m	b e kː ə	b ə k ə m		b ə ќќ/kʼː ə m	b ə kː y/j ə m	b ə k ə m	b ə ќ/kʼ ə	b ə ќ/kʼ a	b ə k ə	b ə ʃː ə m	b ə kː ə	b ə kː y/j ə m		b ə tʃ e		b ə x ə y/j ə	b ə tʃ e	b aː tʃ i
166_34_destroy			b a n ə r ə m	b a nː ə r ə	b a nː ə s ə m				b a n ə r ə m			b a n ə r ə									
167_35_dog			g ɨ y/j ə	g ɨ y/j ə	g ɨ yy/jː ə		g ɨ y/j ə	g ɨ y/j ə	g ɨ y/j ə	g ɨ y/j ə		g ɨ y/j ə		g ɨ y/j ə	g ɨ y/j ə						
168_36_donkey			ʔ ɨ m a r	ʔ ə w a n	ʔ ɨ m a r		ʔ ɨ m a r	ʔ ɨ m a r	ʔ ɨ m a r	ʔ ɨ m a r		ʔ ɨ m a r	ʔ ə m a r	ʔ ɨ m a r	ʔ ɨ m a r		ʔ uː m a r			ʔ u m a r	ʔ u m a r
169_37_dreamt			n ə z ə z ə m	n ə z ə z ə	n ə zː ə z ə m		b ɨ r ə zː ə z ə m	n ə z ə z ə m	n ə z ə z ə m	b ə r z a z a ʃ ə	b ɨ r z ə z ə ʃ ə	n ə z ə z ə	b ɨ r ə z ə z ə	b ɨ r ə zː ə z ə	n ə z ə z ə m		b i r ə z ə z ə			b ɨ r ə z ə z ə	b i r ə z ə z ə
16_3_arm			ʔ a g a t	ʔ a g a d						ʔ a g a l											
170_32_crocodile				d ə r ə w ə					y/j ə b a r ʔ a w i	ʔ a b a r a w		ʔ a b a r ʔ a w i									
175_32_crocodile						ħ ə r g ə ś/s					ħ aː s								ħ a r g ə ś/s		
177_35_dog						k ə l b												k ə l ɨ b	k ə l b i		
178_36_donkey						ʔ a d g												ʔ a d ɨ g	ʔ a d g i		
179_40_dryadj						y/j ɨ b u s												y/j ɨ b u s	n ɨ Ќ/kʼ w u ś/s		
17_5_barley			ʔ ə x ɨ r	ʔ ə h ɨ r	ʔ ə x ɨ r			ʔ ə h ɨ r	ʔ ə h ɨ r	ʔ ə x ɨ r		ʔ ə x ɨ r		ʔ ɨ h ɨ r	ʔ ə x i		ʔ ɨ x ɨ l	ʃ ɨ ʕ i r		ʔ ɨ x ɨ l	
180_38_dressn							l ɨ b s											l ɨ b ə s			
184_34_destroy										d a s ə	d aː m ə s a		d a s ə m				d a s ə m			d a s aː	
186_33_decide											ќ/kʼ oː ć/tʃʼ a						ќ/kʼ oː tʃ e			ќ/kʼ oː tʃ e	ќ/kʼ uː tʃ i
187_35_dog											b u tʃ i						b uː tʃ o			b u tʃ o	
18_9_big			n ɨ ќ/kʼ i y/j ə	n u ʔ	ʔ ɨ m i y/j ə			n ɨ ќ/kʼ y/j ə	n ɨ ќ/kʼ y/j ə	n ɨ k i y/j ə		n u ʔ i y/j ə		n ɨ kʼ	l ɨ ʔ ɨ y/j ə						
1_1_added	d ə mː ə r ə	ć/tʃʼ e mː ə r a	d ə p ə r ə m	d a pː ə r ə	d ə bː ə r ə m	d ə mː ə r ə	d ə bː e ʔ ə m	d ə pː ə r ə m	d ə p ə r ə m	d a pː ə r ə	d ə b ə l a	d a pː ə r ə	d ə bː ə l ə m	d ə bː ə r ə m	d ə bː ə r ə m	d a b a l e	d ə b ə l ə		d ə mː i r u	d ə b ə l ə	d ə b ə l ə
207_41_ear	dʒ o r o	dʒ o r o																			
208_42_egg	ʔ ɨ n ќ/kʼ u l a l	ʔ ɨ n ќ/kʼ u l a l	ʔ ɨ n ќ/kʼ w ɨ r a		ʔ a n ќ/kʼ w ə	ʔ ə n ќ/kʼ o ќ/kʼ ɨ h o	ʔ a n ќ/kʼ w ə	ʔ ɨ n ќ/kʼ w ɨ r a	ʔ ɨ n ќ/kʼ w ɨ r a	ʔ ɨ n ќ/kʼ u r a	ʔ a ќ/kʼ u ħ	ʔ ɨ n ќ/kʼ w ɨ r a	ʔ a n ќ/kʼ o	ʔ a n ќ/kʼ w ə	ʔ a n ќ/kʼ w ə			ʔ ɨ n ќ/kʼ o ќ/kʼ ɨ ħ o		ʔ ɨ n ќ/kʼ ʔ o t	ʔ ɨ n ќ/kʼ ə ќ/kʼ u
209_43_eight	s ɨ mː ɨ n t	s ə mː ɨ t	s u n t		ʃ ɨ m u t		s ɨ mː u t	s ɨ m w ɨ t	s ɨ m u t	s u w ɨ r	s uː t	s uː n t	s ə mː ɨ n t	s ɨ mː u t	s ɨ mː u t		s ə m u t	s ə m ə n	Š/ʃ ɘ m o n t ə	s u mː u t	s ɨ mː u t
20_10_black				g ə m b ə n ə	g ə m b ə nː a							g ə m b ə n a									g ə m b ə l o
210_44_elephant	z ɨ h o n	z ə h o n	ǯ/ʒ ə x w ə r ə		ǯ/ʒ ə x w ə r ə		ʒ ə h o n a	ǯ/ʒ ə x w ə r ə	ǯ/ʒ ə x w ə r ə	ʒ ə x w ə r a	d o x o n	ǯ/ʒ ə x w ə r ə	z ə x o n	ǯ/ʒ ə x w ə n ə	z ɨ x o n		d ə x a n o			d ə h ə n o	d ə h ə n o
211_45_evening	m ɨ ʃː ɨ t	m u ʃ e d				m ɨ s e t					m ə ʃ eː t		m ɨ ʃ ə r				g ə bː a t	m ɨ s e	m ɨ Š/ʃ ə t		m ɨ ʃ i t
212_46_eye	ʔ ay/ai̯ n	ʔ eː n	ʔ e n		ʔ e n	ʕ ay/ai̯ n	ʔ ɨ n	ʔ e n	ʔ e n	ʔ ay/ai̯ n	ʔ i n	ʔ e r	ʔ i n	ʔ e n	ʔ e n		ʔ iː n	ʔ ɨ n	ʕ ay/ai̯ n i	ʔ i n	ʔ i n
213_47_farmer	ʔ a r aː ʃ	ʔ a r aː ʃ					ʔ a r a ʃ				ħ a r aː ʃ i		ʔ a r a ʃ	ʔ a r a ʃ			ʔ a r aː ʃ i	ħ ə r ə s t ay/ai̯	ħ a r ə s t ay/ai̯	ʔ a r a ʃ	ʔ a r aː ʃ i
214_48_father	ʔ a bː a t		ʔ a b		ʔ a bː a	ʔ a b	ʔ a bː a	ʔ a bː a	ʔ a b	ʔ a b		ʔ a b a	ʔ a b i	ʔ a b	ʔ a b	ʔ a bː aː	ʔ a b o t	ʔ a b	ʔ a bː o	ʔ a bː o t	ʔ a b u
215_49_finger	ť/tʼ a t	ť/tʼ a d	ʔ a t e b ə t		ʔ a t e b ə t	ʔ a ś/s b a ʔ ɨ t	ʔ a ť/tʼ e b ə t	ʔ a t e b ə t	ʔ a ť/tʼ e b ə	ʔ a ť/tʼ e b ə t		ʔ a ť/tʼ e y/j ə	ʔ a ť/tʼ a b ə t	ʔ a ť/tʼ e b ə t	ʔ a ť/tʼ e b ə t		ʔ ɨ n ť/tʼ a b i t			ʔ ɨ n ť/tʼ a b i t	ʔ ɨ n t ə b i t
216_50_finishv	ć/tʃʼ ə rː ə s ə	ć/tʃʼ e rː ə s a															ć/tʃʼ eː r ə s ə			ć/tʃʼ eː r ə s ə	
217_48_father		ʔ a w									ʔ aː w										
218_41_ear			ʔ ɨ n z ɨ r		ʔ ɨ n z ɨ r	ʔ ɨ z n	ʔ ɨ n z ɨ n	ʔ ɨ n z ɨ r	ʔ ɨ n z ɨ r	ʔ ɨ n z ɨ r	ʔ u z u n	ʔ ɨ n z ɨ r	ʔ ɨ n z ɨ n	ʔ ɨ n z ɨ n	ʔ ɨ n z ɨ n		ʔ ɨ z ɨ n	ʔ a z ə n	ʔ ɨ z n i	ʔ ɨ z ɨ n	ʔ ɨ z ɨ n
219_45_evening			g ə p a t		g ə bː a t			g ə pː a t	g ə p a t	g ə p a t		g ə p a d		g ə bː a t	g ə bː a t						
220_47_farmer			tʃ ə w a tʃ		tʃ ə w a tʃ			tʃ ə w a tʃ	tʃ ə w a tʃ	tʃ o w a tʃ		tʃ ə w a ğ/dʒ			tʃ ə w a tʃ						
221_50_finishv			dʒ ə p ə r ə					dʒ ə pː ə r ə	dʒ ə p ə r ə	dʒ ə pː ə r ə		dʒ ə p ə r ə		ǯ/ʒ ə bː ə r ə							
222_50_finishv					f ə dʒː ə m	f ə śś/sː ə m ə	f ə dʒː ə m								f ə dʒː ə m						
224_44_elephant						ħ ə r m ə z												h a r m ə z	ħ a r m a z		
227_49_finger											ʔ a ť/tʼ ə b i ňň/ɲː								ʔ a ś/s a b ɨ ʕ t i		
229_50_finishv													ć/tʃʼ ə rː ə s ə					w ə dː ə ʔ ə	w ə dː ə ʔ ə		ʔ a ć/tʃʼ i r aː kʼ
231_42_egg																b u pʼː a	b u pʼː a				
242_51_five	ʔ a m ɨ s t	ʔ a m ɨ s t	ʔ a m ɨ s t		ʔ a m ɨ s t	ħ ə m ś/s	ʔ a mː ɨ s t	ʔ a mː ɨ s t	ʔ a m ɨ s t	ʔ a m ʔ ɨ s t	ħ a mː i s t i	ʔ a mː ɨ s t	ʔ a mː ɨ s t	ʔ a mː ɨ s t	ʔ a mː ɨ s t		ʔ a mː ɨ s t	h a m ɨ s		ʔ a mː ɨ s t	ʔ a mː ɨ s t
243_52_found	ʔ a g ə ňň/ɲː ə						g ə ňň/ɲː ə m				ʔ a g ə ň/ɲ ə		ʔ a g ə ňň/ɲː o		ʔ a g ə ňň/ɲː ə m						g aː ň/ɲ i
244_53_four	ʔ a r a tː	ʔ a r b i t	ʔ a r b ə t		ʔ a r b ə t	ʕ ə r b a ʔ	ʔ a r b ə t	ʔ a r β ə t	ʔ a r b ə t	ʔ a r b ʔ a t	ħ a r a t	ʔ ə r b ʔ a t	ʔ a r a t	ʔ a r b ə tː	ʔ a r b ə t		ʔ a r a t	ʔ a r b ə ʕ ə	ʔ a r b a ʕ t ə	ʔ a r a t	ʔ a r ə t
245_54_fox	ќ/kʼ ə b ə r o		ќ/kʼ ə w ə r ə		ќ/kʼ ə w ə r ə			ќ/kʼ ə w ə r ə	ќ/kʼ ə w ə r ə	ќ/kʼ w ə b ə r ə					ќ/kʼ ə w ə r ə						
246_55_friday	ʔ a r b					ʕ a r b													ʕ a r b i		
247_56_frog	ʔ ɨ n ќ/kʼ u r a r i t	ʔ ɨ n ќ/kʼ u r a r i t															ʔ ɨ n ќ/kʼ u r a r i t	ʔ ɨ n ќ/kʼ ɨ r ʕ o b	ʔ ɨ n Ќ/kʼ u r a r i t	ʔ ɨ n ќ/kʼ u r a r i t	ʔ ɨ n ќ/kʼ u r a r i t
248_57_full	m u l u	m u l u	m u r a		m u r a	m ə l ʔ ə	m u l ə	m w ɨ r a	m u r a	m u r ʔ a	m u lː u ʔ	m u r ʔ a	m u l a	m u l a	m w əy/əi̯		m u lː a	m ɨ l u ʔ	m ɨ l u ʔ	m u lː i	m u l i
249_58_garlic	n ə ćć/tʃʼ ʃ ɨ n k u r t	z a h ʃ u n k u r t																			
24_7_bed						ʕ a r a t												ʕ a r a t	ʕ a r a t		
250_59_giveup	t ə w ə	t ə w ə	w ə t e		w ə t e			t a b o t	w ə t e			ʔ ə t ə ʔ u t			w ə t e						
251_60_goat	f ɨ yy/jː ə l	f ɨ yy/jː ə l	f e kʼ		f ɨ y/j ə kʼ		f a ňň/ɲː ə	f e kʼ	f e kʼ	f e kʼ		f ə ň/ɲ ə ʔ	f ɨ yy/jː ə l	f e kʼ	f ə ňň/ɲː ə ʔ ə		f e kʼ			f e kʼ	f i kʼ
252_52_found		r a x ə w	n ə k ə b ə m		n ə kː ə b ə m	r ə k ə b ə		n ə kː ə b ə m	n ə k ə b ə	n ə k ə b ə		n ə k ə β ə		r ə kː ə b ə			r ə k ə b ə	r ə k b ə		r ə h aː b ə	
253_54_fox		ʔ ɨ n dʒ e d e l o														d eː dʒ a lː o					dʒ eː d aː l ə
254_55_friday		dʒ u m a ʔ a	dʒ i m a t					dʒ ɨ m a t	dʒ ɨ m a t	dʒ i m ʔ a t	dʒ u m ʔ a	dʒ ɨ m ʔ a t				dʒ i mː a	dʒ i m a t	dʒ ɨ m a t		dʒ i m a t	dʒ i m ə t
255_56_frog			ќ/kʼ w ə n ć/tʃʼ ə		ќ/kʼ w ə ć/tʃʼ ə		ќ/kʼ w a l ə ć/tʃʼ a	ќ/kʼ w ə n ć/tʃʼ ə	ќ/kʼ w ə n ć/tʃʼ ə	ќ/kʼ w ə n tʃ ə		ќ/kʼ o n tʃ ə	ќ/kʼ o l ə tʃ ə	ќ/kʼ w ə tʃ ə	ќ/kʼ o l ə tʃ ə	r aː tʃː a					
256_58_garlic			t u mː a		t u mː a	t u mː ə	t u mː a	t u mː a	t u mː a	t u mː ə	t u mː a	t u m a	t u mː a	t u mː a	t u mː a		t u mː a	t o m		t u mː ə	t u m ə
257_55_friday					ʔ a dː a r ə		ʔ a dː a r ə						ʔ a dː a r ə	ʔ a dː a r ə	ʔ a dː a r ə						
258_54_fox						ќ/kʼ w ɨ n ś/s ɨ l												ħ a ʃ i l			
259_56_frog						ќ/kʼ w ə r n ə n ə ʕ a t					ʔ a n ќ/kʼ u r aː r a ħ										
260_59_giveup						ʔ a b k w ə r ə	g ə tː a r ə m														
261_60_goat						ť/tʼ a l i													tʼʲ ə l		
262_54_fox							g o g ɨ yy/jː ə							y/j ə g w ə r ə g y/j ə							
264_54_fox											ʔ aː z y/j ə g ə d u						z ə g ə d o				
267_54_fox												ʔ ɨ n g w ə r ə g ɨy/ɨi̯								w ə l ə n g aa/aː y/j a	
269_59_giveup													w ə g f ɨ r	w ə g f ɨ r							
26_9_big						ʕ ə bː iy/i												ʕ a b a y/j i			
277_59_giveup																	ʔ ɨ d ə g o t			ʔ a d ə g ə	ʔ a d ə g ə
27_10_black						ś/s a lː i m												ś/s ə l i m	ś/s ə lː i m		
285_61_griddle	m ɨ ť/tʼ a d	m ɨ ť/tʼ a d	m ɨ d a d		m ɨ d a d		m ɨ d a d	m ɨ d a d	m ɨ d a d	m ɨ d a d	m ɨ ť/tʼ aː d	m ɨ d a d	m ɨ ť/tʼ a d	m ɨ d a d	m ɨ d a d		m ɨ ť/tʼ a d			m ɨ t a d	m ɨ t a d
286_62_hair	ś/s ə g u r	tʃ ɨ g a r				ś/s ə g w r					ć/tʃʼ ɨ g ə r							ć/tʃʼ ə gː ə r ə t	s ə g u r i		t ɨ g ə r
287_63_he	ʔ ɨ sː u	k ɨ s u														ʔ i s a			n ɨ sː u		
288_64_head	r a s					r ɨ ʔ ɨ s					ʔ u r uː s							r ə ʔ a s	r ɨ ʔ s i		ʔ a h ə r
289_65_heart	l ɨ bː	l ɨ b i				l ɨ bː	l ɨ bː				ќ/kʼ ə l b i		l ɨ bː		l ɨ bː			l ɨ bː	l ɨ bː i		
290_66_helped	ʔ a gː ə z ə	h a gː ə z a	ʔ a g ə z ə m		ʔ a gː ə z ə m	ħ ə g ə z ə	ʔ a gː ə z ə m	ʔ a g ə z ə m	ʔ a g ə z ə m					ʔ a gː ə z ə			ʔ a g ə z ə		ħ a g ə z ə	ʔ a g ə z ə	
291_67_hen	d o r o	d o r o				d o r h o												d ə r h o	d ə r h o		
293_69_horse	f ə r ə s	f ə r ə s	f ə r ə z		f ə r ə z	f ə r ə s	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f ə r ə z	f a r d a	f ə r ə z	f ə r ə s	f ə r ə s	f ə r ə z	f ə r ə z
294_70_hot	m u kʼ	m u ќ/kʼ i n a			m w o kʼ	m ɨ w ɨ kʼ	m u kʼ	m w ə kʼ	m w ə kʼ	m o kʼ		m w o kʼ	y/j ə m o ќ/kʼ ə	y/j ə m w ə ќ/kʼ ə	m w ə ʔ		m u kʼ			m u ќ/kʼ a m u kʼ	m uː kʼ
295_64_head		d ɨ m a															d u m			d u m i	
296_68_his		ʔ i wː a t	y/j ə h u t		y/j ə x u t		k u t	y/j ə x u t	y/j a h u t	ʔ ɨ x w t a		ʔ ɨ h u d a	y/j ə k w a	y/j ə h u t i	y/j ə x w a		y/j u h a			y/j u h ə	y/j aː w ɨ t i
297_62_hair			g u n ə r		g u nː ə r		g u nː ə n	g u n ə r	g u n ə r	g u n ʔ ə r		g u n ʔ ə r	g u nː ə n	g u nː ə n	g u nː ə n						
298_63_he			h u t		h u t	w ɨ ʔ ɨ t u		x u t	h u t	x u t a		h u d a		h u t i				h ɨ t u			ʔ u t
299_64_head			g u n ə r		g u nː ə r		g u nː ə n	g u n ə r	g u n ə r	g u n ʔ ə r		g u n ʔ ə r	g u nː ə n	g u nː ə n	g u nː ə n						
29_3_arm											ħ a r ə kʼ							r ɨ s ɨ kʼ			ʔ a r ə kʼ
2_2_all	h u lː u m	d i yy/jː u m				k w ə lː					k u lː u		k u lː ɨ m				h u lː ɨ m k ə	k ɨ lː a n	k u lː u	h u l ɨ m	h u lː u
300_65_heart			x ɨ n		x ɨ nː			x y/j ɨ n	x ɨ n	x i n		ʔ a n ə		h i n		ʔ o nː eː					
301_67_hen			k u t ə r a		k u tː ə r a		k u tː ə n a	k u tː a r a	k u t a r a	k u t a r a		k u t a r a		k u tː ə n a	k u tː ə n a						
303_61_griddle						g ə b ə t a												g ə b ə t a			
304_68_his						z i ʔ a h u					z i y/j u										
305_63_he							k w a						k w a		x w a		ʔ u h a			ʔ u h ə	
308_66_helped											g i r g aː r a					g a r g aː r e					
309_67_hen											ʔ a t ə w aː kʼ					h a n d aː ќќ/kʼː o	ʔ ɨ n tʃ a ќ/kʼ o			ʔ ɨ n ć/tʃʼ a ќ/kʼ o	ʔ ɨ n ť/tʼ aː kʼ
30_4_back											ħ a ć/tʃʼ i						ć/tʃʼ ɨ n			tʃ ɨ n	
310_70_hot											w ɨy/ɨi̯								w u ʕ uy/ui̯		
312_66_helped													ʔ ə r ə dː a m		ʔ ə r ə dː a m			r ə d ɨ ʔ a			
319_62_hair																	d u m			d u m i	
320_65_heart																	w ə z ə n ə			w ə z aː n	w ə z ə n ə
321_68_his																		t u	n a t u		
326_72_hundred	m ə t o	m ə t o				m ɨ ʔ ɨ t		m ə t o					m ə t o	m ə t o				m ɨ ʔ ɨ t	m i ʔ t i		
327_73_hyena	dʒ ɨ b	dʒ ɨ b				z ɨ ʔ b													z ɨ b ʔ i		
328_74_insultv	s ə dː ə b ə	s ə dː ə b ə					s ə dː ə b ə m				s ə d ə b a		s ə dː ə b ə m	s ə dː ə b ə	s ə dː ə b ə m		s ə d ə b ə			s ə d ə b ə	s ə d ə b ə
329_75_job	s ɨ r a																		s ɨ r a ħ		
330_76_joken	ќ/kʼ ə l d	ќ/kʼ ə l d		ќ/kʼ ə l d		ќ/kʼ ə l d	ќ/kʼ ə l d						ќ/kʼ ə l d	ќ/kʼ ə l d	ќ/kʼ ə l d		ќ/kʼ ə l d	k ə d m a	q ə l d i	ќ/kʼ aː l d	ќ/kʼ ə l d
331_77_king	n ɨ g u s	n ɨ g u s	n ɨ g w s	n u g s	n ɨ g w ɨ s	n ɨ g u ś/s	n ɨ g u s	n ɨ g w ɨ s	n ɨ g w s	n ɨ g w s	n ə g aː ʃ i	n u g w s	n ɨ g u s	n ɨ g w s	n ɨ g w s	n u g u s a	n ɨ g u s	n ə g u s	n ɨ g u s	n ɨ g u s	n ɨ g u s
332_78_leg	ʔ ɨ g ɨ r		ʔ ə g ɨ r	ʔ ə g ɨ r	ʔ ɨ g ɨ r		ʔ ə g ɨ r	ʔ ə g ɨ r	ʔ ə g ɨ r	ʔ ə g ɨ r		ʔ ə g ɨ r	ʔ ə g ɨ r	ʔ ə g ɨ r	ʔ ə g ɨ r		ʔ ɨ n g i r	ʔ ɨ g ə r	ʔ ɨ g r i	ʔ ɨ n g i r	
333_79_lentil	m ɨ sː ɨ r	m ɨ sː ɨ r				m ɨ sː ɨ r	m ɨ ʃ ɨ r ə				m i sː i r		m ɨ ʃ ɨ r ə			m i sː i r a	m ɨ ʃ ɨ r	m ə s ɨ r		m ɨ s r	m ɨ ʃ ɨ r
