Cognate_ID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa
1267_98_tierra	'k/k a ʔ a								'k/k a h k a			'k/k a g i				k ɨ n g ɨ m a									
1269_98_tierra			i s t ã							h i s tʲ a															
126_11_bosque	'k/k ə n k ə n i											k a l 'k/k a l a	k a l k a l g ó/o			k ɨ n k ɨ n a									
1270_99_tres														l a w a	l a w a										
1272_99_tres	'm/m a i k ə n ɨ			m á/a ŋ	b a dʒ ã	m a i	b a dʒ ã		'b/b a j a	m i k a	m aː h n a	'm/m a i g u a	m a s			m a i g w a	p o iː k i r iː	b a s		m ɔ	m ã́/ã j h	p a ŋ s a k	p aː	m i á/a	b a s
1275_100_tripas														m a n s u l i n	m a n ʃ u l i			b a	b j a r a						b a
1284_100_tripas						h ẽ g ɾ a														ŋ ɔ̃ g ɾ ɔ					
1288_100_tripas	g 'a/a s i ɾ o		aː s i																						
1293_101_tu	m a		b a i	b á/a	b ě/e ʔ	b a	b á/a	m a n i	'b/b a ʔ a	m ɨ e		m a	b á/a	a m n a n	m a n a n i	m a	p oː	m a n	m a n	m ɔ	p a	m aː	p e	ɸ à/a	m a n
1295_102_uno								b a s							p i s										
1296_102_uno				é/e ʔ t s i	e		é/e			a t a		'e/e z u a	e	e t a											
1297_102_uno																		a s			á/a s				a s
1302_102_uno						i t e					t e									t i					
1304_102_uno	'i/i n ʔ g w i															i n g w i									
1310_103_ustedes																		m a n a	m a n a n i						m a n a
1312_103_ustedes																				m ũ		m u l u t			
1313_103_ustedes																	p oː + m a ɾ aː m a						p e m a l a		
1314_103_ustedes	'm/m i w i		b i ɲ i	b i ʔ + ɾ ó/o x k						m i e															
131_12_bueno														s a	ʃ a m			j a m n i	j a m n i						j a m k a
1324_104_venir														p u	p o				b a l						
1325_104_venir								a j r a										a j w a							a j w a
1326_104_venir					d ɪ	tʃ i g e	d e														t è/e ʔ k	s iː k			
1327_104_venir	'n/n a + k									n ɨ		'n/n a + ʃ				n a + k	t o + k iː						t a + k e		
1337_105_ver				í/i ʃ t					i s 't/t i	i h i s t ɨ				i s											
1339_105_ver																		t a l							t a l
133_12_bueno									'a/a j												ã́/ã j ã̀/ã				
1342_105_ver	't/t ʃ w				s ũ		s ũ				t uː	t ũ				t 'u/u a				t ũ		s u ŋ			
1349_106_verde								s a s a k a		tʲ ɨ s k i k o					t s 'a/a h j a n		ɬ aː ŋ a	s a ŋ n i	s a ŋ n i		s á/a ʔ k a				s a ŋ k a
1356_106_verde											'k/k aː ɾ a s a h									k a ɾ e					
1361_106_verde	't/t ʃ i k i 'ɾ/ɾ u ɾ u								t i 'k/k a j a							'i/i t i k i									
1366_107_viejo																		u m a n i		ũ b ɾ e					u m a n a
1371_107_viejo				ù/u ɾ à/a ŋ k á/a		h u d a																			
1372_107_viejo					a k ɪ́/ɪ tʃ k è/e		k ɪ̂/ɪ dʒ a k è/e																	k ɪ̀ː/ɪː g ɪ́/ɪ	
1376_107_viejo	'a/a tʃ ə n a															ɨ t ɨ n a									
1383_108_viento								w i n										w i n							w i n
1386_108_viento	'b/b u n t i k ə n ɨ					m l i e						m u l 'k/k a l a				b u ɾ t a	p uː ɾ a			m u ɾ i e		p u l k a t	p u r w a	ɸ ɺ ú/u k	
1387_108_viento				ʃ ù/u ŋ	s i u a ã̌/ã ʔ		s i u ã́/ã																		
1393_109_vientre				k ú/u à/a				k a w a m							k 'o/o m o										
1394_109_vientre														m a n k e r a				b a	b j a r a						b a
13_2_amarillo					t s i k i d ǐ/i d ǐ/i		t s i k i d í/i																		
1412_110_yo														u n a n	u n a n i										
1413_110_yo								j a m i										j a ŋ	j a ŋ						j a ŋ
1414_110_yo	n ə n		n ã ĩ		dʒ ě/e ʔ	tʃ a	dʒ í/i s				n aː ɾ i	n a s				ɾ a	t o n				t a s	n aː s			
1415_110_yo				á/a t					'a/a s a	h ɨ tʲ a													a n i		
141_12_bueno						n o																	n u + e t i		
149_13_cabello														a s a	a l a h										
151_13_cabello																		b a s							b a s
157_13_cabello	's/s a + g ə n ɨ				t s ã́/ã					t s ɨ e		's/s ã + ĩ				ʃ a							s a + i l a	k ó/o ŋ z ò/o	
166_14_cabeza														t ɾ o h				t u n							t u n
169_14_cabeza	s 'a/a + k u k u		s aː	s à/a + g ɾ á/a			t s ã́/ã + k ṹ/ũ			t s ɨ s k ɨ		's/s a + n k a l a				ʃ 'a/a + m u n k u	tʃ aː				s ã́/ã				
173_14_cabeza						tʃ u g a							d u k ú/u							d o k w ɔ					
183_15_caer					ã́/ã d		h ã́/ã d														ã̀/ã h				
199_16_caliente			a s ã́/ã a												a ʃ a										
19_2_amarillo												k a ʃ i k u 'a/a m a				k ɨ ʃ k w a m a									
1_1_agua														w a s	w a l			w a s							w a s
202_16_caliente																		d a j n i							d a j h k a
205_16_caliente																	t o k eː + ʝ a					t u k uː + b a			
206_16_caliente				dʒ ì/i k á/a																ŋ i ɾ e					
20_2_amarillo	't/t ʃ ə m i								t 'a/a w a j a	t ɨ β a n															
212_16_caliente											w eː					w i a n ʒ ɨ n g a							u e t i		
217_17_caminar														u	o										
218_17_caminar	'n/n a ʒ			d è/e + k				d i + u				'n/n a i				n a j					t é/e + ʃ				
220_17_caminar																			w a p						w aː t d a
221_17_caminar						tʃ a + g e				n ɨ + n										n ɔ̃		t aː + k	n a n a e		
223_17_caminar					ʃ k a		ʃ k ɪ																		
229_18_camino														k i n	k 'i/i n										
231_18_camino																		t aː			t aː h				t aː
236_18_camino					dʒ a ɺ ã́/ã		dʒ a ɺ ã̀/ã																		
237_18_camino	'i/i + n g w ə n ɨ								'i/i + b i t a	i e	h iː	'h/h i + ũ g u l a				i + n g u n a				h i			i + k a l a	i᷅/i + ɾ b ó/o + b ò/o ŋ	
23_3_amarrar								w i r i							w a ɾ				w i l k						
241_19_cantar														i k w a	i h w a										
243_19_cantar																		u m b a u							u n b a u
249_19_cantar					s t s ɪ		k s ɪ																	t ɪ́/ɪ	
250_19_cantar													k a j i							k a					
252_19_cantar									't/t a	t ɨ													n a + m a k e		
253_19_cantar	z 'a/a m a ʒ											'm/m a i				ʒ a m a i									
256_20_carne															w a ʃ a				w i n a						
25_3_amarrar											s i k e							s i t							s i t
263_20_carne										tʲ i h i k a							ɬ i k iː								
264_20_carne				ù/u ɾ á/a ŋ		u d á/a																			
265_20_carne					tʃ k á/a		dʒ a k a																		
266_20_carne													s í/i á/a											ʃ ò/o	
267_20_carne	'g/g ə tʃ ɨ										e ŋ a t a	'g/g a t a				g ɨ 't/t a				ŋ ɔ t ɔ			s a n a		
270_21_ceniza	'b/b u n z ə g a		i b ũ d ɪ̃	b ɾ ù/u ŋ	b u ɺ ṹ/ũ	m n u	b u ɺ i᷅/i t ú/u		'b/b u ɾ a	β u s k ɨ	'b/b u h ŋ a ʔ	'm/m u l i	b u l k u		p i l i l	b ɨ n	p u ɾ uː			ŋ ɯ b ɾ ɯ		p l u ŋ	p u ɾ u	ɸ ɺ ú/u ŋ	
272_21_ceniza								w a b u										w a n							
276_22_cinco														s a j	t s 'a/a j										
278_22_cinco																		s i n k a							s i n k a
282_22_cinco	'a/a s e w a								e 's/s i a	h ɨ t s k a		h a 't/t ʃ i g u a				ə h tʃ i g u a	o t i ŋ								
283_22_cinco				ʃ ì/i s k á/a ŋ	s k ẽ	t i g a	s k ẽ													ɾ i k e				ʃ k í/i ŋ	
289_23_cola														w a n					w a j k a						
28_3_amarrar									k e 't/t a								k e r aː								
293_23_cola					b a ɺ ẽ́/ẽ k		b a ɺ ẽ́/ẽ k													k ɯ b a ɾ a	p à/a ɾ			ɸ ɺ à/a k	
294_23_cola	'd/d ʒ o ʔ o								ɾ u s t 'a/a ɾ a	s u h u k a		'n/n u g i	d u g			d u ʃ k ɨ n a	t u k iː					t u k			
297_23_cola											b u k ɾ a												p u n u		
2_1_agua								l i											l i						
300_24_comer														k o ɾ				k a s							k a s
304_24_comer				t ú/u ʔ																		a l t u ŋ w a			
306_24_comer					tʃ k a		dʒ a k ɪ																		
308_24_comer						b l i ɾ e														m ɾ ɣ ɾ e					
309_24_comer													k u t										k u n e		
30_3_amarrar					b õ		b õ						b u i												
310_24_comer	'z/z											'z/z a				ʒ a									
315_25_con								t i w a							t e n										
316_25_con				m à/a ŋ									b a	m a n						b e			p a		
317_25_con																		k a r a k							k a r a k
319_25_con																	ʝ u				j ó/o	u			
320_25_con					t ã̀/ã																			tʰ ó/o	
321_25_con							d à/a					n a				n ɨ n									
324_25_con			ã h ã								a h														
327_26_cortar														t a j	t 'i/i h			d a k							d a k
330_26_cortar				t à/a s																	t à/a s				
331_26_cortar			aː k d																			aː + ŋ t k			
333_26_cortar					t ɪ		t ɪ													t i k e k ɔ					
346_27_corteza								k u t a										u t a k							u t a k
349_27_corteza				k u á/a ʔ s	a x k u ʊ́/ʊ	k w a ɾ a	h k u ʊ́/ʊ			h u k a			u g á/a							k w a t a		uː k	u k a	k u ó/o t à/a	
34_3_amarrar												a k a + l i h i				ɾ i n ʒ i i							e + t i n e		
351_27_corteza									u 'm/m a			h u b a													
352_27_corteza	'z/z o m ɨ															ʒ o m a									
356_28_cuatro														a ɾ i a				a r u n k a							a r u n k a
361_28_cuatro	m a ʔ 'k/k e i w a			b á/a x k à/a ŋ	t k ɪ	b a g a	t k i		b 'a/a k a j a	m ɨ h ɨ k a		m a 'k/k e u a	p a k a			m a k e g w a	p a k eː k i r iː			b ɔ k ɔ			p a k e	b k í/i ŋ	
369_29_cuello																			n a n a	ɾ ɔ ɾ ɔ					
372_29_cuello	'g/g a ʔ n ɨ									g ɨ		'g/g a g l a				'g/g a n a	k oː l o								
374_29_cuello					k u ɺ ǐ/i ʔ		k u l í/i																		
377_29_cuello			b oː										p o l é/e												
381_30_dar									'w/w i k						m i k										
383_30_dar								a										aː			ã̀/ã h				aː
385_30_dar			i n a							n ɨ							t aː					t a ŋ			
386_30_dar				d ó/o ʔ									d o												
387_30_dar					a b ẽ		b ẽ													b ĩ					
391_30_dar												a 'k/k a u				a k a u									
394_31_decir														a j	a j										
396_31_decir																		a t							a t
400_31_decir					dʒ ɪ		dʒ ɪ										k iː								
401_31_decir	g w a k			dʒ u à/a k					w 'a/a k i	g u		'g/g u a ʃ				g w a ʃ							s o k e		
408_32_diente								n i n i		s i k a	d iː			n e k	n e h							s iː k			
409_32_diente																		a n a	n a p a						a n a
40_4_arbol								m a n										p a n			p ã̀/ã j h				p a n
411_32_diente					a k á/a		k à/a										o k aː							k ò/o u ó/o	
413_32_diente													s u							t u			n u k a l a		
416_32_diente	'k/k ə k ɨ															k ɨ 'k/k a									
417_32_diente			n u n uː						'ɾ/ɾ u ʔ ɾ a																
419_33_dormir											s aː ɾ a			s a ɾ											
420_33_dormir								j a b u n a											j a p						
421_33_dormir	'k/k ə m		k a b	k à/a b	k a p ɪ	g b e	k a p ɪ		'k/k a m i	k ɨ β ɨ		k a 'b/b a	k a b i			k ɨ ũ		k a m i		k i m ɪ̃		k a m i	k a p e	p ɪ́/ɪ	a m a
424_34_dos	'm/m o u g a			b ú/u ʔ k	b ʊ	b o k e	b o	b u r u	b u 'k/k a j a	b o	b u h n a	'm/m a u ʒ u a	m o	p e	p e	m o w a	p a u ŋ k a	b u		b u	p ó/o k	p u k s a k	p oː	b ʊ́/ʊ	b u
427_35_el				ì/i	i ě/e ʔ		h i é/e							i n a n	i n a n i							j a i ŋ	i t i		
428_35_el								'k/k a r a h i																	a l a s
429_35_el																		w i t i ŋ	w i t i n						
42_4_arbol	k ə n		k ãː	k ɾ á/a ŋ	k á/a ɺ	g l i	k a ɺ		'k/k a ɾ u k w a	k ɨ e	k aː	'k/k a l i	k a l k á/a l a			k ɨ n	k oː ɾ a			k ɾ i		k aː t		kʰ ɔ́/ɔ	
430_35_el									'e/e j a	a s ɨ											è/e k à/a			è/e	
431_35_el																	n iː			n i a ɾ a					
432_35_el	a					a m a						'a/a l e													
437_36_en	e k ɨ			k à/a								k a	g a		k 'a/a t i	k a	k o	k a t				k a			k a t
438_36_en								m						a p											
439_36_en											l a								ɾ a						
440_36_en					i ã̀/ã																j ã́/ã				
441_36_en						s k e	s k à/a																	ʃ k ò/o	
443_36_en			a k i							n a													k i		
445_37_este	'e/e m a		i n a b ã i		ɪ̌/ɪ ʔ		h í/i	i r a h i							i n a g a	i m a					ĩ́/ĩ				
446_37_este											n a ʔ n a			n a					n ã h ã	n e					
447_37_este																		aː d i k a							aː k a
448_37_este										s i s ɨ							n iː					n i ŋ			
449_37_este				u é/e ʔ																			w e		
450_37_este									'u/u ʃ a															h ũ	
454_38_flor			s ũ d + ũ	s ɾ ù/u t										s u n + a	ʃ i l + a		ɬ uː t + u						t u t + u		
456_38_flor																		p u l u		b l ɯ					p u l u
460_38_flor					d u k á/a		u ʊ́/ʊ d k u à/a																		
46_5_arena								k u i										k a u h m a k							k aː u h m a k
470_39_frio			t eː	s è/e x k á/a	s ẽ̂/ẽ s ẽ̌/ẽ	s k e k e	t s ẽ́/ẽ		's/s e r o a		s aː h n i h k aː		s a i g a		t s 'a/a n a	s e	tʃ i tʃ iː x a	s a ŋ n i		t i b o	s ã̀/ã j w á/a	s a i m a		s é/e n t è/e	
479_40_fuego							dʒ ʊ k ʊ́/ʊ							j u k a	i k 'a/a n					ɲ u k w ɔ				i ʊ̀/ʊ k	
481_40_fuego																	k u eː	k u h							k u h
482_40_fuego					b ʊ̌/ʊ u ʊ̀/ʊ														p a w t a						
485_40_fuego	g e i			dʒ ì/i k ɾ á/a		h i t a				ɣ a t a			k e b ú/u			g i e									
486_40_fuego									'o/o k a			g a u k 's/s e i											s oː		
489_41_golpear														i m a s	m a ʃ						m à/a s				
48_5_arena	'u/u z u		ũ d a	ù/u b		u b a			'u/u m i t a	ɣ u a n t s a		'u/u i				u n ʒ u	u ɬ iː x a			ɯ m a	ú/u ʔ ù/u	u n t aː s	u k u p a		
491_41_golpear																		b a u							b a u
495_41_golpear				b á/a x t		b a t e														m e t					
496_41_golpear					t ɪ		t ɪ																		
499_41_golpear										ɣ ɨ i													s a ɾ s o k e		
49_5_arena					s t s ã̌/ã ʔ		t s ã́/ã				s a ʔ s a ɾ i														
4_1_agua	dʒ e		s ĩː + m ã	d í/i ʔ	d ǐ/i ʔ	tʃ i	d í/i k ɺ ʊ́/ʊ		'r/r i ʔ a	s i e	d i t a k eː	n i	j i			'd/d ʒ i ɾ a	t iː			ɲ ɤ		s iː	t iː	d í/i	
500_41_golpear									b u 'k/k i			'm/m u ʃ													
501_41_golpear	a g u 'p/p ə s															'p/p a ʃ									
504_42_grande														p u k i	p u k a										
505_42_grande			b a					b a j a k a																	
508_42_grande																			t aː ɾ a			t aː ɾ a			
511_42_grande				k ɾ í/i ʔ																k ɾ i					
513_42_grande							t ã́/ã ĩ́/ĩ					a 't/t e m a													
515_42_grande						k w e ɾ i					k u 'eː/eː ɾ i 't/t u ʔ														
520_42_grande									'k/k u m a k ɾ o	k u h u m a															
523_43_gusano								b i l			'b/b ɾ u u ʔ							b aː b i l				b iː ɾ u			b i l
525_43_gusano						g w i															w í/i ʔ				
527_43_gusano	z i		i ʃ a n a b a	dʒ í/i ŋ	ɪ̃̀/ɪ		h ĩ́/ĩ			t s i n a		ʒ i	k i s i			d i				ŋ ĩ					
52_6_ave	s i 's/s i o													s i ɾ a	t s 'i/i m t s 'i/i m							s i n + s a k			
534_44_hablar																		j u l							j u l b a u
538_44_hablar	a + s e i			t è/e + k									s e + t			a + s h é/e	ɬ a iː + k i								
539_44_hablar					u t		u t ɪ																s u n m a k e		
548_45_hermana														p e l a	p e l e h										
550_45_hermana																		a m i							a m iː
556_45_hermana			s í/i		k u t á/a		k u t à/a		ʃ i 't/t a																
567_46_higado														m u s u	m u t s 'u/u										
568_46_higado				k ó/o ʔ + k				k a w a			'k/k aː w i ʔ						k u aː + k i								
573_46_higado												a 'b/b i t a				a n ʒ b i t a				m ɔ t ɔ		p s a	p iː n a		
574_46_higado					ẽ̂/ẽ d		h ẽ̂/ẽ d																		
576_46_higado						t a + k w a			't/t a n u b a	t ɨ h ɨ + β a															
580_47_hoja															a w		a uː k i								
581_47_hoja														w a l a					w a h a						
583_47_hoja																		b a s							b a s
584_47_hoja			k a	k á/a	k ʊ́/ʊ	g a	k ʊ́/ʊ		'k/k a j a	k ɨ e	k aː	k a i	k a l á/a ʔ k a							k ʔ	á/a	k aː	k aː		
586_47_hoja	'a/a tʃ ɨ															a t a									
588_48_hombre								m i s i l						m i s u											
589_48_hombre																		a l			à/a ɾ w ã́/ã				a l
597_48_hombre						b l á/a l e														b ɾ a ɾ e					
59_6_ave				d ù/u	d ú/u		d ù/u		ɾ u 'w/w a s i ɾ a	s u e		n u 'b/b a	d u l							n u k w ɔ					
601_48_hombre	't/t ʃ e i ɾ w a								's/s e ɾ a	tʲ a	s aː w i ɾ i					t e 'ɾ/ɾ u a									
603_49_hueso														s e k	t s 'e/e h										
605_49_hueso																		w a k a l							w a k a l
609_49_hueso			k a n a			g d a			'k/k a ɾ a ɾ a	k ɨ n ɨ							k oː ɾ a			k ɾ ɔ			k a l a		
611_49_hueso					d i tʃ ǎ/a ʔ		tʃ i tʃ ʔ á/a																		
618_50_humo														p oː ɾ o	m o										
619_50_humo								k i b a											k j a s m a						
620_50_humo																		w a j a u			w ã s		w aː		w a j u
621_50_humo													k é/e b u + s a									s a w a			
624_50_humo					ʃ k a ɺ ã̂/ã		ʃ k a ɺ ã́/ã																		
625_50_humo			i n a k b a						'i/i j a ɾ a	i + e	'i/i ŋ a ʔ	i h i a												ɲ ó/o	
640_51_largo					b i t s ĩ̌/ĩ		b a t s ĩ́/ĩ																		
642_51_largo	'g/g a + ɾ i									ɣ a h a s i o	g a + ɾ i h ŋ aː t e									ŋ a					
650_52_lavar								s a k a						s a k	t s 'i/i h										
651_52_lavar	a ʔ 't/t ʃ u k w		d u k	t ú/u x k	s u k		s k u		s u 'k/k w i	tʲ u h u	't/t u k u a					a t u k w	ɬ o k iː	s u h			s ú/u k	s u k	e n u k e	k u ó/o ʃ k u ɪ̀/ɪ	s u h
657_53_lejos														k o t a	k o t a										
659_53_lejos																		n a i	l a j h u r a						
661_53_lejos																	k a r t a uː n i				k ãː ɾ à/a				
664_53_lejos					k ã̂/ã b ĩ̌/ĩ		k ã b ĩ̂/ĩ ĩ̂/ĩ																		
666_53_lejos						b a t e					m a t a									m ẽ t e			p a n a		
668_53_lejos												m a l e 'z/z e n k a				m 'a/a ɾ a ʒ a n e k a									
66_7_bailar														u l	u l i										
673_54_lengua														n e p e l	n e p a l										
674_54_lengua								t u m										t u	t w i s a	t ɯ d ɾ ɔ					t u
675_54_lengua				k u á/a t k u à/a			k ú/u			p k u a	k u 'aː/aː ʔ					k o n g ɨ ɾ a					ù/u w à/a				
676_54_lengua	k o 'ɾ/ɾ i ʔ g ə n ɨ		k o b ẽː		k ǔ/u ʔ	k w i ɾ a			'k/k u w a				k u b a				k uː					k uː p	k w a p i n i		
681_55_luna								a j k u										w a j k u							w a j k u
685_55_luna	't/t i m a		t i b aː		s ǐ/i u ʊ̀/ʊ				s i ʔ 'j/j o ɾ a	tʲ i e			s i r i l a				ɬ i x iː			s ɣ			n iː		
690_55_luna												's/s a k a				s a g a									
693_56_llorar														a j				a j d i							a j d a
697_56_llorar	m a u			b ò/o		m o e						'm/m a u	b o s							m u i		p a u n	p o		
699_56_llorar					i ĩ		h ĩ																		
703_56_llorar			k o n a						k o 'n/n i	k o n															
705_57_madre					a b ĩ́/ĩ		b ĩ́/ĩ d a ã̀/ã	a m i						m i n a											
706_57_madre																		i t a ŋ							i t a ŋ
711_57_madre				b è/e																m e j e				m é/e	
715_57_madre			a b a m a						'a/a b a			'h/h a b a				a b u									
719_58_malo								j a m u a							ʃ a m t o a										
71_7_bailar	k u é/e			k u ì/i k		g w i e					k u i a h n é/e	k u i z	k ú/u j i			k 'u/u i					w i ʔ		k u i l e		
