ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,English_Gloss_in_Source,French_Gloss_in_Source
Dugwor-42_bebeautiful-1,f186433a-8c16-4103-aa4b-832c798716b8,Dugwor,42_bebeautiful,"maley, aley",maley,m a l e j,,gravina2004,9045,,^ m a l e y $,default,(be) beautiful,(être) beau
Gavar-42_bebeautiful-1,fa69e96f-c84c-4697-bbf8-fed3aece15da,Gavar,42_bebeautiful,təwɑh,təwɑh,t ə w ɑ h,,viljoenprogb,19370,,^ t ə w ɑ h $,default,(be) beautiful,(être) beau
Gemzek-42_bebeautiful-1,8d0b2b0d-00c9-4b85-9b79-0a6e10508ad8,Gemzek,42_bebeautiful,metsəhəne,metsəhəne,m e ts ə h ə n e,,gravinanda,17643,,^ m e ts ə h ə n e $,default,(be) beautiful,(être) beau
GizigaMarva-42_bebeautiful-1,e45c0e69-5d00-43e9-add7-a4e05b94ab75,GizigaMarva,42_bebeautiful,mezleŋ,mezleŋ,m e ɮ e ŋ,,gravina2004,4461,,^ m e zl e ŋ $,default,(be) beautiful,(être) beau
Lagwan-42_bebeautiful-1,f656500a-f5d9-4fc3-be81-341a6a04c887,Lagwan,42_bebeautiful,sxele,sxele,s x e l e,,shryocknd,17051,,^ s x e l e $,default,(be) beautiful,(être) beau
Malgbe-42_bebeautiful-1,08afad50-ece6-40c9-af45-6f6cb62462db,Malgbe,42_bebeautiful,sɨgɨwun,sɨgɨwun,s ɨ g ɨ w u n,,allisonnd,17051,,^ s ɨ g ɨ w u n $,default,(be) beautiful,(être) beau
Mbudum-42_bebeautiful-1,63eb85cf-cdad-4320-8dca-c86f4aaa5aac,Mbudum,42_bebeautiful,ŋɡəm,ŋɡəm,ŋ g ə m,,ndokobaiprogb,20027,,^ ŋ ɡ ə m $,default,(be) beautiful,(être) beau
Mpade-42_bebeautiful-1,cdd01ccb-055c-44ed-8575-a1ebd3f7f442,Mpade,42_bebeautiful,sí gò,sí_gò,s i + g o,,allisonnd,17051,,^ s í _ g ò $,default,(be) beautiful,(être) beau
Mser-42_bebeautiful-1,1f763663-259a-4e2f-a201-5bf27b2842d7,Mser,42_bebeautiful,bu,bu,b u,,allisonnd,17051,,^ b u $,default,(be) beautiful,(être) beau
Nyimatli-42_bebeautiful-1,79c752e4-fdad-4e5d-bff7-42a9760dacf8,Nyimatli,42_bebeautiful,kharan mbari,kharan_mbari,kʰ a r a n + m b a r i,,,16582,,^ kh a r a n _ m b a r i $,default,(be) beautiful,
Zina-42_bebeautiful-1,5ccd482a-3555-42b1-955e-5333d738bd7b,Zina,42_bebeautiful,dàvarà; jə́m,dàvarà,d a v a r a,,schmidtetal2002,17051,,^ d à v a r à $,default,(be) beautiful,(être) beau
Afade-63_beblack-1,3360834d-0393-4c84-a01e-f794824c750c,Afade,63_beblack,tsɨlim,tsɨlim,ts ɨ l i m,,allisonnd,12690,,^ ts ɨ l i m $,default,(be) black,(être) noir
Buduma-63_beblack-1,1966f9ac-cdcc-4d94-b72a-b0f8f33324b6,Buduma,63_beblack,ciləm,ciləm,c i l ə m,,mckone2009,12690,,^ c i l ə m $,default,(be) black,(être) noir
Buwal-63_beblack-1,447e71ad-dd66-414a-a829-1723f129dd30,Buwal,63_beblack,dɑknɑk,dɑknɑk,d ɑ k n ɑ k,,viljoenproga,4429,,^ d ɑ k n ɑ k $,default,(be) black,(être) noir
Cuvok-63_beblack-1,fbd5e512-2a0f-4b13-8a14-d0accce3b3df,Cuvok,63_beblack,magda,magda,m a g d a,,ndokobaiproga,10430,,^ m a g d a $,default,(be) black,(être) noir
Dugwor-63_beblack-1,5cd14f1b-ef50-443d-ae25-0c41a336ecf2,Dugwor,63_beblack,zəzeŋ,zəzeŋ,z ə z e ŋ,,gravina2004,1698,,^ z ə z e ŋ $,default,(be) black,(être) noir
Gavar-63_beblack-1,a8e37e74-af53-42b2-a93e-0f717b7eb4ba,Gavar,63_beblack,ɗikɗik,ɗikɗik,ɗ i k ɗ i k,,viljoenprogb,4880,,^ ɗ i k ɗ i k $,default,(be) black,(être) noir
Gemzek-63_beblack-1,6342e16b-341d-42f6-a402-1aa4daf7aff2,Gemzek,63_beblack,mene zəŋzəŋ,mene_zəŋzəŋ,m e n e + z ə ŋ z ə ŋ,,gravinanda,14094,,^ m e n e _ z ə ŋ z ə ŋ $,default,(be) black,(être) noir
GizigaMarva-63_beblack-1,e2ef08a9-cdf5-4f4a-9f65-93dc650795b8,GizigaMarva,63_beblack,titiraŋ,titiraŋ,t i t i r a ŋ,,gravina2004,18198,,^ t i t i r a ŋ $,default,(be) black,(être) noir
Kanuri-63_beblack-1,4d023a36-cc8b-4db0-9e14-3ccb95bf25d7,Kanuri,63_beblack,sə́lə́m //// tsә́lam; tsә́lam,sələm,s ə l ə m,,,12690,,^ s ə l ə m $,default,(be) black,(être) noir
Lagwan-63_beblack-1,abb3d324-4887-4af3-8bbb-415f9ef54056,Lagwan,63_beblack,tu,tu,t u,,shryocknd,965,,^ t u $,default,(be) black,(être) noir
Malgbe-63_beblack-1,2ce7951a-b0fc-446e-b865-b86cdc336805,Malgbe,63_beblack,ya sɨlɨm,ya_sɨlɨm,j a + s ɨ l ɨ m,,allisonnd,12690,,^ y a _ s ɨ l ɨ m $,default,(be) black,(être) noir
Mazera-63_beblack-1,537f8eee-2851-429d-b2e7-938ae0554fb9,Mazera,63_beblack,tɨlkɨ,tɨlkɨ,t ɨ l k ɨ,,allisonnd,11260,,^ t ɨ l k ɨ $,default,(be) black,(être) noir
Mbudum-63_beblack-1,c204c078-2774-44f6-846b-91f06ee94ec5,Mbudum,63_beblack,dədəknak,dədəknak,d ə d ə k n a k,,ndokobaiprogb,13221,,^ d ə d ə k n a k $,default,(be) black,(être) noir
Merey-63_beblack-1,72310953-3735-46ad-8626-450109a53c7c,Merey,63_beblack,zəŋziŋ sərusəruk,zəŋziŋ_sərusəruk,z ə ŋ z i ŋ + s ə r u s ə r u k,,gravinaetalprog,2054,,^ z ə ŋ z i ŋ _ s ə r u s ə r u k $,default,(be) black,(être) noir
Merey-63_beblack-2,c05ce6af-2dfe-4f9c-8658-548bf343263a,Merey,63_beblack,zəŋziŋ sərusəruk,zəŋziŋ_sərusəruk,z ə ŋ z i ŋ + s ə r u s ə r u k,,gravinaetalprog,2054,,^ z ə ŋ z i ŋ _ s ə r u s ə r u k $,default,(be) black,(être) noir
Mpade-63_beblack-1,c2cac4f7-493c-47ab-8a64-308502958427,Mpade,63_beblack,sɨ́lɨ́m,sɨlɨm,s ɨ l ɨ m,,allisonnd,12690,,^ s ɨ l ɨ m $,default,(be) black,(être) noir
Mser-63_beblack-1,ac8b4d80-ee64-42a3-a879-d4458db91ae1,Mser,63_beblack,tutu,tutu,t u t u,,allisonnd,17770,,^ t u t u $,default,(be) black,(être) noir
Nyimatli-63_beblack-1,5850952e-fab7-417c-aafd-0c9dba72bb6f,Nyimatli,63_beblack,chit,chit,tʃ i t,,,1906,,^ ch i t $,default,(be) black,
ShoaArabic-63_beblack-1,aaaacb04-3898-4c56-bcef-9fa3d6d0d35b,ShoaArabic,63_beblack,aswad; izêrig,aswad,a sʷ a d,,,17639,,^ a sw a d $,default,(be) black,(être) noir
Zina-63_beblack-1,ae38d547-aa3a-46dd-bc45-81c244921c5f,Zina,63_beblack,mala,mala,m a l a,,schmidtetal2002,2721,,^ m a l a $,default,(be) black,(être) noir
Buduma-164_bedifferent-1,c7e9ca3d-facd-418f-9ed1-47afabe8911c,Buduma,164_bedifferent,ngəde; ngəde ngəde,ngəde,n g ə d e,,mckone2009,9739,,^ n g ə d e $,default,(be) different,(être) différent
Buwal-164_bedifferent-1,8b68d4d5-c070-4edd-b352-1cd5fef70124,Buwal,164_bedifferent,pɑrpɑr,pɑrpɑr,p ɑ r p ɑ r,,viljoenproga,463,,^ p ɑ r p ɑ r $,default,(be) different,(être) différent
Cuvok-164_bedifferent-1,64f3f6db-18bc-4219-bc07-0c377aad79c6,Cuvok,164_bedifferent,vəna,vəna,v ə n a,,ndokobaiproga,18071,,^ v ə n a $,default,(be) different,(être) différent
Dugwor-164_bedifferent-1,97451418-4d3b-45b4-b2b1-2e5fe9487791,Dugwor,164_bedifferent,məwuɗəkey tahay kaba aba,məwuɗəkey_tahay_kaba_aba,m ə w u ɗ ə k e j + t a h a j + k a b a + a b a,,gravina2004,10915,,^ m ə w u ɗ ə k e y _ t a h a y _ k a b a _ a b a $,default,(be) different,(être) différent
Gavar-164_bedifferent-1,28a7de09-455e-4295-a6b2-6a275aba26e9,Gavar,164_bedifferent,pɑrpɑr,pɑrpɑr,p ɑ r p ɑ r,,viljoenprogb,17550,,^ p ɑ r p ɑ r $,default,(be) different,(être) différent
Gemzek-164_bedifferent-1,8e22c0b2-0aa5-49e6-98be-d28f0ad9ae22,Gemzek,164_bedifferent,mene bə ŋgiɗ pam,mene_bə_ŋgiɗ_pam,m e n e + b ə + ŋ g i ɗ + p a m,,gravinanda,2681,,^ m e n e _ b ə _ ŋ g i ɗ _ p a m $,default,(be) different,(être) différent
GizigaMarva-164_bedifferent-1,6c56e7e0-c5dd-47d4-9679-20c6697b11ab,GizigaMarva,164_bedifferent,walla,walla,w a lː a,,gravina2004,8872,,^ w a ll a $,default,(be) different,(être) différent
Kanuri-164_bedifferent-1,357d93a0-26ee-4b28-9cf5-b293d201459e,Kanuri,164_bedifferent,gadegadé,gadegadé,g a d e g a d e,,,9739,,^ g a d e g a d é $,default,(be) different,(être) différent
Lagwan-164_bedifferent-1,b00971c3-9160-421c-833f-1055f8502d09,Lagwan,164_bedifferent,sarsar,sarsar,s a r s a r,,shryocknd,9739,,^ s a rs a r $,default,(be) different,(être) différent
Malgbe-164_bedifferent-1,c85565c2-7cdd-461d-9b5b-9bc5c6e72839,Malgbe,164_bedifferent,gala gala,gala_gala,g a l a + g a l a,,allisonnd,9739,,^ g a l a _ g a l a $,default,(be) different,(être) différent
Mbudum-164_bedifferent-1,85d3710c-3f77-4f2e-8e5a-1384a5ade621,Mbudum,164_bedifferent,parpar,parpar,p a r p a r,,ndokobaiprogb,17312,,^ p a r p a r $,default,(be) different,(être) différent
Merey-164_bedifferent-1,eae53c07-9471-475a-9874-b31fe8cee391,Merey,164_bedifferent,ge walwal,ge_walwal,g e + w a lʷ a l,,gravinaetalprog,14487,,^ g e _ w a lw a l $,default,(be) different,(être) différent
Mpade-164_bedifferent-1,d8019588-7c7e-4b7b-8436-1bff8db3333e,Mpade,164_bedifferent,késké,késké,k e s k e,,allisonnd,9739,,^ k és k é $,default,(be) different,(être) différent
Mser-164_bedifferent-1,07a0ac40-f434-41f3-81d3-c27e113ef1d0,Mser,164_bedifferent,kala kala,kala_kala,k a l a + k a l a,,allisonnd,9739,,^ k a l a _ k a l a $,default,(be) different,(être) différent
Nyimatli-164_bedifferent-1,75430589-55a1-407a-a56c-ca92fba50335,Nyimatli,164_bedifferent,zum,zum,z u m,,,15570,,^ z u m $,default,(be) different,
Buduma-165_bedifficult-1,7872da85-db4e-445a-82f0-3eb07c6dc120,Buduma,165_bedifficult,awal,awal,a w a l,,mckone2009,9360,,^ a w a l $,default,(be) difficult,(être) difficile
Buwal-165_bedifficult-1,59258027-73bb-48ef-a01c-64b1d899c8b9,Buwal,165_bedifficult,dɑdɑkw,dɑdɑkw,d ɑ d ɑ kʷ,,viljoenproga,10711,,^ d ɑ d ɑ kw $,default,(be) difficult,(être) difficile
Cuvok-165_bedifficult-1,7002c744-5dfd-4efa-b1b6-7b487094163c,Cuvok,165_bedifficult,fəna gədaŋ,fəna_gədaŋ,f ə n a + g ə d a ŋ,,ndokobaiproga,13980,,^ f ə n a _ g ə d a ŋ $,default,(be) difficult,(être) difficile
Dugwor-165_bedifficult-1,a728a381-2fdb-4e75-bd9c-5603c567fde8,Dugwor,165_bedifficult,a diy mey,a_diy_mey,a + d i j + m e j,,gravina2004,9991,,^ a _ d i y _ m e y $,default,(be) difficult,(être) difficile
Gavar-165_bedifficult-1,e43b43a3-8003-4c5b-a1c4-97b764128347,Gavar,165_bedifficult,ndelek,ndelek,n d e l e k,,viljoenprogb,18597,,^ n d e l e k $,default,(be) difficult,(être) difficile
Gemzek-165_bedifficult-1,e19bebe0-c2fd-41d0-9c53-c00d48bbc48e,Gemzek,165_bedifficult,awur ba,awur_ba,a w u r + b a,,gravinanda,12362,,^ a w u r _ b a $,default,(be) difficult,(être) difficile
GizigaMarva-165_bedifficult-1,99d0f23d-1d30-4453-8745-ef00851b6783,GizigaMarva,165_bedifficult,a gi vo ta,a_gi_vo_ta,a + g i + v o + t a,,gravina2004,6255,,^ a _ g i _ v o _ t a $,default,(be) difficult,(être) difficile
Lagwan-165_bedifficult-1,705522eb-defc-40b5-bc15-0cdb710a6a2e,Lagwan,165_bedifficult,ngwa a ku,ngwa_a_ku,n gʷ a + a + k u,,shryocknd,9360,,^ n gw a _ a _ k u $,default,(be) difficult,(être) difficile
Malgbe-165_bedifficult-1,a50f94ad-650b-42ff-a24c-b305c99f4edf,Malgbe,165_bedifficult,wali,wali,w a l i,,allisonnd,9360,,^ w a l i $,default,(be) difficult,(être) difficile
Mbudum-165_bedifficult-1,070da873-9aef-4fd1-bcaf-b099c40a124f,Mbudum,165_bedifficult,ɮəŋbanaj,ɮəŋbanaj,ɮ ə ŋ b a n a j,,ndokobaiprogb,8112,,^ ɮ ə ŋ b a n a j $,default,(be) difficult,(être) difficile
Merey-165_bedifficult-1,d6934f0a-9499-42d7-b161-9cfa77117770,Merey,165_bedifficult,wu mede me,wu_mede_me,w u + m e d e + m e,,gravinaetalprog,20198,,^ w u _ m e d e _ m e $,default,(be) difficult,(être) difficile
Mpade-165_bedifficult-1,835cf2ae-c27a-4e0d-8cc7-db18ae7f3b62,Mpade,165_bedifficult,wàlɨ̀,wàlɨ,w a l ɨ,,allisonnd,9360,,^ w à l ɨ $,default,(be) difficult,(être) difficile
Mser-165_bedifficult-1,e1100981-9ffc-40dd-a888-250d55545063,Mser,165_bedifficult,ya njiba,ya_njiba,j a + n j i b a,,allisonnd,9360,,^ y a _ n j i b a $,default,(be) difficult,(être) difficile
Nyimatli-165_bedifficult-1,e470e725-f356-44cd-b95d-300e5198aabf,Nyimatli,165_bedifficult,sher,sher,ʃ e r,,,4120,,^ sh e r $,default,(be) difficult,
Zina-165_bedifficult-1,4cf744ba-f316-4b54-8291-c6e1a0588925,Zina,165_bedifficult,làhə̀,làhə,l a h ə,,schmidtetal2002,9360,,^ l àh ə $,default,(be) difficult,(être) difficile
Buwal-177_bedrunk-1,179e3c3f-959c-48a3-acd7-9ff617aadced,Buwal,177_bedrunk,ŋhwɑz,ŋhwɑz,ŋ hʷ ɑ z,,viljoenproga,2369,,^ ŋhw ɑ z $,default,(be) drunk,(être) soûl
Cuvok-177_bedrunk-1,dd6881c0-2fa1-4014-90e8-d974822c75fc,Cuvok,177_bedrunk,kwa,kwa,kʷ a,,ndokobaiproga,18694,,^ kw a $,default,(be) drunk,(être) soûl
Dugwor-177_bedrunk-1,fa871956-671a-4e2f-b87e-4b8c3b77b590,Dugwor,177_bedrunk,məkuwey,məkuwey,m ə k u w e j,,gravina2004,17602,,^ m ə k u w e y $,default,(be) drunk,(être) soûl
Gavar-177_bedrunk-1,677d6abd-a06c-40b6-bd55-97a11fe77024,Gavar,177_bedrunk,ŋhwɑz,ŋhwɑz,ŋ hʷ ɑ z,,viljoenprogb,2119,,^ ŋhw ɑ z $,default,(be) drunk,(être) soûl
Gemzek-177_bedrunk-1,c1e59931-326b-49a9-98b8-474a2b5edcdf,Gemzek,177_bedrunk,makoye,makoye,m a k o j e,,gravinanda,19786,,^ m a k o y e $,default,(be) drunk,(être) soûl
GizigaMarva-177_bedrunk-1,37ba2d7a-c0ab-41ad-b445-18e941c34359,GizigaMarva,177_bedrunk,we,we,w e,,gravina2004,342,,^ w e $,default,(be) drunk,(être) soûl
Kanuri-177_bedrunk-1,2cfd3a5a-316a-4295-8094-faa84aa81eee,Kanuri,177_bedrunk,saarân,saarân,s aː r a n,,,11766,,^ s aa r â n $,default,(be) drunk,(être) soûl
Lagwan-177_bedrunk-1,d8fd8b0b-e607-4b97-940a-d207bbddeeb5,Lagwan,177_bedrunk,bɨla a se sa ya; bɨla e sel sa,bɨla_a_se_sa_ya,b ɨ l a + a + s e + s a + j a,,shryocknd,11766,,^ b ɨ l a _ a _ s e _ s a _ y a $,default,(be) drunk,(être) soûl
Malgbe-177_bedrunk-1,3cc7320f-4372-41c4-b6c5-f5cdbdef05b0,Malgbe,177_bedrunk,yedɨ sakaran,yedɨ_sakaran,j e d ɨ + s a k a r a n,,allisonnd,11766,,^ y e d ɨ _ s a k a r a n $,default,(be) drunk,(être) soûl
Mbudum-177_bedrunk-1,dd2274b1-79e8-4128-98ad-0f3e62b0f6f5,Mbudum,177_bedrunk,mahu,mahu,m a h u,,ndokobaiprogb,8517,,^ m a h u $,default,(be) drunk,(être) soûl
Mpade-177_bedrunk-1,9b81bd43-a8da-4129-bb7b-53f834bc3564,Mpade,177_bedrunk,sàkrán,sàkrán,s a k r a n,,allisonnd,11766,,^ s à k r á n $,default,(be) drunk,(être) soûl
Mser-177_bedrunk-1,78bde3e7-fdcf-4bcb-a3b0-681ec9b8310d,Mser,177_bedrunk,sakar,sakar,s a k a r,,allisonnd,11766,,^ s a k a r $,default,(be) drunk,(être) soûl
Nyimatli-177_bedrunk-1,f55f1e58-b1d2-404e-9d12-dadecbbc0fd6,Nyimatli,177_bedrunk,kuya,kuya,k u j a,,,19491,,^ k u y a $,default,(be) drunk,
ShoaArabic-177_bedrunk-1,b2b5731d-7b03-47fa-b56d-e8bcbef02799,ShoaArabic,177_bedrunk,sakrân,sakrân,s a k r a n,,,11766,,^ s a k r â n $,default,(be) drunk,(être) soûl
Zina-177_bedrunk-1,c3e5995c-ed46-4f7d-b92e-01ed16698dab,Zina,177_bedrunk,sakran,sakran,s a k r a n,,schmidtetal2002,11766,,^ s a k r a n $,default,(be) drunk,(être) soûl
Buduma-274_begood-1,7d456cd2-1f02-4a92-85a6-37c88aae0d9a,Buduma,274_begood,ngəla; ngəla ɗə ham; alli,ngəla,n g ə l a,,mckone2009,20499,,^ n g ə l a $,default,(be) good,(être) bon
Buduma-274_begood-2,c4a7db36-4e2b-4c8b-99a9-a129b7c94903,Buduma,274_begood,alli,alli,a lː i,,mckone2009,19905,,^ a ll i $,default,(be) good,(être) bon
Buwal-274_begood-1,bc7463cc-2112-4bb5-9390-1c735517760e,Buwal,274_begood,tɑŋtɑŋ,tɑŋtɑŋ,t ɑ ŋ t ɑ ŋ,,viljoenproga,10499,,^ t ɑ ŋ t ɑ ŋ $,default,(be) good,(être) bien
Buwal-274_begood-2,bc818747-1d49-4cd6-8558-e737e90aeb96,Buwal,274_begood,tuwɑh,tuwɑh,t u w ɑ h,,viljoenproga,6781,,^ t u w ɑ h $,default,(be) good,(être) bon
