Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
10140_477_prostitute,g ɨ r ɨ m + d a b a r i,,,,,,,,,,,,,,,,k a r w a,,m ɨ z ɨ n ɨ n,,z a n i,,,,m ɨ j ɨ n ɨ ŋ,,,,,,,,m a n i + k u s u r,m z a r,,,,,,,,,,
10141_343_kidney,,,,,,,,,,,,,,,,,,,x u ɗ u s ɨ,,,,,,,,,,,,,,ɗ u g u s e,h ɨ d ɨ s,,,,,,,,,,
10188_486_rainbow,f i j u m d ɨ l g o,,,,,,,,,,,,,,,,k ə m a r m a,,m a gʱ e + j a m a n,,,f i j u m d ɨ g o,,,j a g a l a,,,,,,,,f i u m d ɨ l g o,z u w e r + w a g a l a,,,,,,,f a rː a g,,,
10193_199_enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b ɨ r o,b r o,,,,,,,,,,
1019_486_rainbow,,,,,,,kʷ a l a j,,,,kʷ a l a j,,,,,,,,,,,,,,,,,,,,,kʷ a l a j,,,,,,,,,,,,
10201_219_feather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ə kʷ e s + i + m a n d z e kʷ e r,,,,,,,,,,,,,,
10243_53_belch,ɬ ʔ e,,,,,,,,,,,,,,,,,,g e l + i ɬ i,,,,,,,,,,,,,,l a + m s ʔ o,,,,,,,,,,,
10282_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g o j o h k u,,,,,,,,
10294_96_buy,d ɨ w u n,,t u ə,,,,,,,,,,,,,,j i w o,,t ɨ w a w u n,,d u,,,,,,,,,,,,d ɨ w o,t u,,,,,,,c a r a,,,w u r g j a
10295_638_today,,,,,,,b ə g o m,,,,,,,,,,,,,,,,,,,,,,,b ə g o m,,,,,,,,,,,,,,
10316_39_suffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d a r a s ɨ,,,,,,,,d a r a s,,,
10353_361_lend,,,,,,,,,,,,,,,,,s a r u,,v e l + m ɨ s ɨ l ɨ m,,f i d ɨ + k a l,,,,,,,,,,,,f i + s a r u,ɗ a b,,,,,,,,,,
10360_693_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g ɑ p ə l ɑ m,,,,,,,,
10365_265_gather,,,,,,,,,,d z ə v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10365_640_betogether,,,,,,,,,,d z ə v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381_520_oceansea,,,,,,,,m b eː l a,,,,,,,,,n j i + b ə r ə m,,m a l i a,,m a l i a,,,,u r e,,,,,,,,m a l i a,m a l i a,,,,,,,b a h a r,,,
10423_210_excrement,e m ɓ o,,,,,,,,,,,,,,,,b ə l i,,n g u,,f ɨ ɗ a,,,,d u gʱ u n,,,,,,,,e n g u,e n g o,,,,,,,,,,
10427_234_firewood,w a h ɨ n,,,,,,,,,,,,,,,,,,w a h a n,,w a r e,,,,,,,,,,,,w a h ɨ n,w aː n,,,,,,,,,,
10431_458_penis,m b o g ɨ n a,,,,,,,,,,,,,,,,z a k a r,,gʱ u m n i,,k o l i,k o l i,,,gʱ u m ɗ e,,,,,,,,z a k a r,gʱ u nː i,,,,,,,d a k a r,,,
10455_534_shamen,,,a j b u,,,,,,,,,,,,,,,,,,a j f ɨ,,,,,,,,,,,,e j f u,,,,,,,,,,,
10460_422_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z ə l,,,,,,,,,,,,,,
10468_528_seven,,,,,,,,,m u ɗ,,,,,,,m b r f a n g o,,,,,,,,m ə d ə f a u,,,,,,,,,,,,,,,m b ə r ə f a ŋ,,,m a ɗ a f,,
1046_54_believe,,,n d ə a g ə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f e r e,,,,,,,,,,,
10479_536_shine,,,,,,,,,,,,,,,,,,,t e lʱ u n,,n g ɨ h e,,,,,,,,,,,,f ɨ ɗ e,p l e l u,,,,,,,,,,
10491_563_snore,ts i + h ɨ r g a n,,,,,,,,,,,,,,,,t o n g o r i,,ɬ e l + x a n a k ɨ,,h ɨ r g ɨ,,,,,,,,,,,,k ɨ + h ɨ r g a n,k ɨ + gʱ ɨ r k ɨ,,,,,,,,,,
10543_511_rub,,,,t u kʷ ɑ ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10543_698_wipe,,,,t u kʷ ɑ ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577_138_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n g a h,,,,,,,,,,,,
10577_478_protect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n g a h,,,,,,,,,,,,
10580_367_life,,,,,,,,,,,,,,,,,k ə n d ə g a,,z u n u n + d u n j a,,,,,,,,,,,,,,,n g a s ɨ n,,,,,,,,,,
10598_260_friend,s a b a,,h a b a,,,,,,,,,,,,,,s a w a,,gʱ u l i + e + z ɨ v e + a m a n,,m e l u,,,,u j j a,,,,,,,,s a b a,b l a m u,,,,,,,s a h i b,,,m ə l m a
10599_356_leaf,ɬ ɨ m,,,,,,,,,,,,,,,,,,m p ɨ ɬ h a,,ɬ ɨ m + d ɨ + h i,,,,,,,,,,,,,s ɨ m e + ʃ i j a n,,,,,,,,,,s ə m a m i
10621_606_tail,,,,,,,,,,,,,,,,,,,z u w e,,,,,,,,,,,,,,,zʷ e,,,,,,,,,,
10632_39_suffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t a a b u,,,,,,,,t a ʔ a b,,,
10637_100_canoe,,,m a g ə r a,,,,,,,,,,,,,,k o l e k o l e,,gʷʱ e + a + a m,,m g b ɨ l ɨ m,,,,,,,,,,,,d a r e,d a r e,,,,,,,,,,gʱ u l m a
10655_143_crocodile,l i g o,,l i g ə,,,,,,,,,,,,,,,,m ɨ d ɨ g e,,,,,,l i gʱ e,,,,,,,,l i g ɨ,,,,,,,,,,,
10687_432_night,f a ɗ e,,,,,,,,,,,,,,,,,,n v a ɗ e,,f a ɗ e,,,,,,,,,,,,f a ɗ e,n v a ɗ e,,,,,,,,,,
10693_455_pawpawpapaya,p a p a j,,,,,,,,,,,,,g u n d a,,,k a w u s ə,,b a n g u s ɨ,,,,,,,,,,,,,,g u n d a m a s a r,b a n gʱ u s,b a ŋ g u s,,,,,,p a pː a j,,,m b a n g u s ə
10694_301_hatch,,,,,,,,,,,,,,,,,,,g e l + n s l e,,l e d ɨ + l i + a,,,,,,,,,,,,l a + h o,l a + o,,,,,,,,,,
1070_654_twelve12,k a n + g o + g a s i,,h ə k a n + j u + k i x i,,,,,,,,,,,,,,m e w u n + i n d i n,,x k a n + k a + x s ɨ ɗ a,,k a n + g a + g e n,,,,,,,,,,,,k a n + g o + g a s i,k a n + d ɨ n + k i c o,,,,,,,,,,
10723_68_blood,,,,,,,p e m b e z,,,,p e m b e z,,,,,,,,,,,,,,,,,,,p e m b e z,,p e m b e z,,,,p e m b e z,,p e m b e z,,,,,,
10725_167_diminish,,,,,,,,,,,,,,,,,,,x u ɗ u n + h e,,l e + t ɨ n,,,,,,,,,,,,g a + j o,p i a + k a w,,,,,,,,,,
10754_30_baboon,f ɨ l i,,,,,,,,,,,,,,,,,,,,f l i + d ɨ + g r ɨ m,,,,,,,,,,,,f l i,,,,,,,,,,,
1075_313_hip,g o l a m,,,,,,,,,,,,,,,,,,d a g u l + n g u n,,g b a m g b r a m,,,,f ɨ ŋ g u l u m,,,,,,,,s k u,n g u l m a n,,,,,,,,,,
10761_433_nine9,,,,,c e ɗ,,c e n ɗ,,,,,,,,,,,,,,,,,,,,,,,ts ɨ d,,,,,,,,,,,,,,
10778_376_locust,g a b a l g a b a l,,,,,,,,,,,,,,,,,,m b ɨ l ɨ m,,,,,,,,,,,,,,g a b a l g a b a l,b e k l e,,,,,,,,,,
10782_212_family,,,,,,,,,,,,,,,,,j a m a,,,,,,,,,,,,,,,,j a m a,,,,,,,,j a m a ʔ a,,,
10787_446_oldwoman,g ɨ l k ʔ a,,k a m u r c o,,,,,,,,,,,,,,,,g u x ɓ a + l + g ɨ n ɨ m,,g ɨ l k ʔ ɨ,,,,g u r a m a,,,,,,,,g ɨ l k ʔ a,g ɨ l k ʔ ɨ,,,,,,,,,,gʷ a r a m a
10798_584_stir,l a ʔ o,,,,,,,,,,,,,,,,,,z u n + m a t a ɗ ɨ,,l a + g a,,,,,,,,,,,,i + h e,l a + g o,,,,,,,,,,
10807_453_outside,,,,,,,,,,,,,,,,,,,n a + f ɨ n e,,a + w e + r g ɨ,,,,,,,,,,,,s ʔ e,d a + m a n,,,,,,,,,,
10815_60_bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e ɗ i ŋ,,,,,,,,
10818_153_day,,,,,,,,,,p i ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10818_596_sun,,,,,,,,,,p i ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10842_87_brother,w u l + s ɨ + m a d ɨ n e,,c i r i,,,,,,,,,,,,,,j a a n a,,,,w u l i a + m a n e,,,,,,,,,,,,s ɨ m a n e,,,,,,,,,,,
10852_676_wall,b ɨ l ɨ m,,,,,,,,,,,,,b i r n i i,,,,,b ɨ n i,,b ɨ n ɨ n,,,,b ɨ r m e,,,,,,,,b u n u,b ɨ l ɨ n,,,,,,,,,,g ə l k a
10883_108_chameleon,k ɨ l e m d a k ʔ o,,,,,,,,,,,,,,,,k a ʃ i n g o,,m a l e k ʔ a k ʔ a w a,,g ɨ l e w n d a k ʔ a,,,,m a c a h ɨ l a,,,,,,,,k ɨ l e w n d a k ʔ o,m a l i k ʔ a k ʔ a w,,,,,,,h i r b e,,,
10940_62_bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u j a m a,,,,,,,,,,,,,,
10970_239_five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m c e f ə,,,,,
10981_684_west,b u t e,,,,,,,,,,,,,,,,f u t e,,m a z e,,b u t e,,,,,,,,,,,,b ɨ t e,p u t e,,,,,,,x a r i b,,,
10984_414_mountain,,,,,,,,,,,,,,,,,,,n k u n h i,,,,,,,,,,,,,,,k u r,,,,,,,,,,
11004_578_squeeze,,,,,,,,,,,,,,,,,,,ɗ ɨ g u n + m a t a ɗ ɨ,,d e d ɨ + g ɨ + h i,,,,,,,,,,,,s ʔ e j,s ʔ e + j o,,,,,,,,,,
11032_607_take,,,ə ɗ i,,,,,,,,,,,,,,,,d a w u n,,,,,,,,,,,,,,d o,d i,,,,,,,,,,
11063_330_hyena,,,,,,,,,,,,,,,,,,m a b ə l a ŋ,,,,,m a m p ə l ə ŋ u,m a b l a n g,,,,,,,,,,,,,m aː b u l u,,,,,,,
11068_293_hairofhead,m ts ɨ g ɨ,,,,,,,,,,,,,,,,,,,,m s ɨ g ɨ,m s ɨ g ɨ,,,,,,,,,,,m s ɨ g ɨ,,,,,,,,,,,
11118_696_window,,,,,,,,,,,,,,,,,k a s a m r a m,,,,a l i s a r,,,,b l a kʷ i t a,,,,,,,,s ɨ + ɨ l + f t a r,s eː + s v a r,,,,,,,c u bː a k,,,
1112_317_hole,,,,,,,,,,,a b e d,,,,,,,,,,,,,,,,,,,a b e d,,,,,,,,,,,,,,
1112_696_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a b e d,,,,,,,,,,,,,,
1115_562_snake,,,,,,,,,,,,,,,,,,,m a gʱ i,,,,,,,,,,,,,,a h e,m a gʱ a i,,,,,,,,,,
1116_476_prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d a ŋ g a j,,,,,,,,,,,,,,
11186_330_hyena,,,,,p ə kʷ a,,,,,,,,,,,pʷ o k ə gʱ u,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11190_551_sixty60,d ɨ g ɨ n + g a k ɨ r o,,h ə k a n + h ə r a x k ə,,,,,,,,,,,,,,f i r a kː ə,,t ɨ k ɨ m + g a x k ɨ r,,b l e + g a k ɨ r,,,,,,,,,,,,m b ɨ l o s k o k u r o,t ɨ k ɨ m + k a k ɨ r,,,,,,,s i tː i n,,,
11200_484_quarrel,,,,,,,,,,,,,,,,,l u w a l a,,m ɨ s ʔ a kʷ a,,h o g ɨ,,,,,,,,,,,,w o g ɨ,m s ʔ a kʷ a n,,,,,,,,,,
11201_44_bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s a r i l,,,,,,,,s a r i r,,,s a r i l
11203_622_bethin,s a r s a r,,,,,,,,,,,,,,,,s a r s a r,,s u w a x ɨ,,s a r s a r s ɨ n,,,,,,,,,,,,s a r s a r,ɗ o w ɗ o w,,,,,,,,,,
11205_501_river,,,,,,,g o j a m,,,,g o j a m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11205_520_oceansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g o j a m,,,,,,,,,,,,,,
11208_362_leopard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b ɑ b ɑ + g ə ɗ ɑ k ɑ n i,,,,,,,,
11213_396_meat,,,x u,,,,,,,,,,,,,,,,ɬ u,,ɬ u,,,,,,,,,,,,ʃ u,s u,,,,,,,,,,a s u
11219_377_long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts ə gʷ a n,
11219_58_big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts ə gʷ a n,
11224_333_infrontofbefore,,,b o h u,,,,,,,,,,,,,,f u w u,,v a k a,,k a f a g a,,,,,,,,,,,,g a k o,f a g o,,,,,,,,,,m a + f k a
1127_116_child,,,,,,,w u r,,,,,,,,,,,,,,,,,,,,,,,w u r,,w u r,,,,,,w u r,,,,,,
11287_338_iron,,,,,,,,,,,,,,,,,s u,,x s a f u,,s i w,,,,m a v ɗ o,,,,,,,,s i w,l e h e,,,,,,,,,,
1128_362_leopard,b o g o l o b o g o l o,,,,,,,,,,,,,,,,n g a m + b o w o l o b o w o l o,,,,,,,,,,,,,,,,b o g o l o + b o g o l o,,,,,,,,,,,
11292_652_truth,j i r e,,j ə r e,,,,,,,,,,,,,,j i r e,,z ɨ r e,,j r e,,,,,,,,,,,,j i r e,j i r e,,,,,,,h a g i g a,,,j ə r e
11349_99_camel,g ɨ r g i m u,,,,,,,,,,,,,,,,k a l i m o,,k u r g u m a,,,g ɨ r j i m u,,,k u r g u m a,,,,,,,,g a l j i m o,g u r g u m a,,,,,,,,,,
11373_645_tortoiseland,g e j,,,,,,,,,,,,,,,,k a r a w u,,k a j a,,g a j,,,,k i k i j a,,,,,,,,g e j,,,,,,,,,,,
11374_110_cheek,m t u g u,,,,,,,,,,,,,,,,,,,,d o g o,,,,,,,,,,,,,,,,,,,,,,,
11387_511_rub,g ɨ r k ʔ e,,,,,,,,,,,,,,,,,,,,s k i + h i + g ɨ,,,,,,,,,,,,k ɨ + g o,g ɨ r k ʔ e,,,,,,,,,,
11391_220_goat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ w ɑ k,,,,,,,,
11399_352_language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m i r e ɬ,,,,,,,,,,,,,,,
11399_643_tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ə n e s l,
11406_48_before,,,b a h a,,,,,,,,,,,,,,,,ɓ e k u,,h a w a l,,,,,,,,,,,,g a j,f a g o,,,,,,,,,,m a f k a + c ə
1140_130_come,l u n,,,,,,,,,,,,,,,,,,l o w u n,,l u w u n,,,,,,,,,,,,l u,l o,,,,,,,,,,
11442_303_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n g a,,,,,,,,,,,,,,ŋ g a,
11443_357_learn,,,,s ɑ s ə r ɑ k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11443_610_teach,,,,s ɑ s ə r ɑ k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146_69_blow,,,,,,,,,,,,,,,,,,,ɬ e l + v i ʃ i,,k i d ɨ + f a s ɨ,,,,,,,,,,,,ʃ a + f a s ɨ,s a l i + v a s,,,,,,,f a s a,,,
11472_348_knot,,,,,,,,,,,,,,,,,,,,,s k ɨ n,,,,,,,,,,,,m b ɨ l k ʔ a n,m ɨ s k a ɓ ɨ,,,,,,,,,,
11477_712_yesterday,,,c u ɗ u ə,,,,,,,,,,,,,,b i s k a,,d ɨ v e ɗ ɨ,,t u ɗ a,,,,,,,,,,,,l u ɗ o,z u ɗ o,,,,,,,a m i s,,,s a kʷ a
11498_305_heart,ɨ r f ɨ,,g a b u ə,,,,,,,,,,,,,,k a r ə g ə,,v i ʃ i,,ɨ r f ɨ,,,,n a f s e,,,,,,,,ɨ r f u,ɨ r v i,,,,,,,g a l i b,,,h ə n t a
1150_634_time,l a b t ɨ,,,,,,,,,,,,,,,,l o k t u,,s aː,,l a g b a t ɨ,,,,,,,,,,,,a f t ɨ,l u t u,,,,,,,w a k i t,,,
11545_357_learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ə b ə n a j,,,,,,,,,,,,
11545_610_teach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ə b ə n a j,,,,,,,,,,,,
11549_296_handle,,,,,,,,,,,,,,,,,,,,,g e ɬ e,,,,,,,,,,,,g e j ʃ e,s ɨ m,,,,,,,,,,
11551_562_snake,,,,,,,,,,,d ə d e w,,,,,,,,,,,,,,,,,,,d ə d e w,,,,,,,,,,,,,,
11563_271_gnaw,,,,ŋ c ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11563_61_bitev,,,,ŋ c ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11584_270_bearchildgivebirth,w a n,,,,,,,,,,,,,,,,,,w a w u n,,w a w u n,,,,,,,,,,,,b a + h e,w e,,,,,,,,,,w i j a
11601_128_cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m a ɗ,,,,,,
11601_695_wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m a ɗ,,,,,,
11617_107_chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ e z,,,,,,,,s ə s,,,
1161_103_caterpillar,,,,,,,,,,,,,,,,,,,m ɨ n i,,t a ɗ i + m a + m s ɨ g ɨ,d i ɗ i,,,,,,,,,,,t a ɗ i + ɨ l + m s ɨ g ɨ,k l e + k ɨ n j i,,,,,,,,,,
11631_553_hideofanimal,,,,b u k ə l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11631_554_skinofman,,,,b u k ə l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11655_268_girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d e m + z e z e j e,,,,,,,,,,,,,,
11677_47_beer,,,,,,,,,,,,,,,,,,,,,m d u r b u,,,,,,,,,,,,m a r i s e,,,,,,,,m a r i s e,,,
11680_294_half,,,r e d a,,,,,,,,,,,,,,n ə s ə f,,,,,,,,,,,,,,,,n ɨ s ɨ b u,,,,,,,,n u sː,,,
11693_707_yam,,,,,,,ɓ ə l e m,,,,,,,,,,,,,,,,,,,,,,,ɓ ə l e m,,,,,,,,,,,,,,
11718_301_hatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɗ i ɬ,,,,,,,,
1171_330_hyena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a ʃ i,m a z i,,,,,,,,,,
11729_663_up,,,k ə r i + ɗ ə,,,,,,,,,,,,,,,,n a + gʱ u a + a,,a + h a w a,,,,,,,,,,,,w o,d a + g a j,,,,,,,,,,
11730_142_cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u ɗ e h,,,,,,,,,,,,,,
11739_349_ladder,,,,,,,,,,,,,,,,,,,g e r g e r,,g r o,,,,,,,,,,,,g u l f o,n k ʔ a l,,,,,,,,,,
11753_80_bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a p a,,,,,,,,m a pː a,,,
11766_177_bedrunk,,,,,,,,,,,,,,,,,s aː r a n,,b ɨ l a + a + s e + s a + j a,,j e d ɨ + s a k a r a n,,,,,,,,,,,,s a k r a n,s a k a r,,,,,,,s a k r a n,,,s a k r a n
11768_170_donkey,,kʷ aː r eː t o,,,,,,,,,,,,,,kʷ a r a,k o r o,,,,g r o,,,kʷ a r a,,k u r o,,,,,,,k o r o,,,,k oː r o,,kʷ a r a,,,,,
11778_410_mortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j i j i ŋ,,,,,,,,
11791_191_eight,,,,,,,,,,,,,,,,d ə gʱ o s o,,,,,,,,,,,,,,,,,,,,,,,d ə g ə s ə,,,t ə k ə z,,
11810_400_noon,k ɨ ts ɨ l e,,j ə r a w + c i k,,,,,,,,,,,,,,,,s a g ɨ l i,,m g b ɨ r s ɨ,,,,,,,,,,,,a n g u r s ɨ,n g i s o,,,,,,,,,,
11857_246_flute,s a r l e,,a l g i d a,,,,,a l g a j t aː r u,,,,,,,,,a l g a i t a,,a l g i t a,,g l i + g l o,,,,,,,,,,,,a l g i t a,a m bʷ a,,,,,,,f a rː a r a,,,
11864_243_flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u f o,,,,,,,,,,,,,,
11896_151_daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w a w a + n d e m + e j e,,,,,,,,,,,,,,
11951_26_ashes,,,,,,,,,,,,,,,,,,,g u f t i,,,,,,g u f t e,,,,,,,,,,,,,,,,,,,g o f t i
11965_352_language,,,,,,,n e n e h,,,,n e n e h,,,,,,,,,,,,,,,,,,,n e n e h,,n e n e h,,,,,,n e n e h,,,,,,
11987_26_ashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t ɑ t u r ɓ u,,,,,,,,
11990_437_nose,,,,,,,,,h ə r a j a,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ u n,,,,,,,
119_715_youngwoman,k ɨ l a j a s k ɨ,,d ə g ə r a m,,,,,,,,,,,,,,k ə l a j a kː ə,,gʱ u l + g u a ɬ e,,d ɨ g b a ɬ e,u l u g r ɨ m,,,k l a j a s k u,,,,,,,,k ɨ l a j a s k ɨ,p r a + n j a p e,,,,,,,k i l a s k u,,,
12000_457_pathroad,f t ɨ l u,,,,,,,,,,,,,,,,,,,,s u l u,,,,,,,,,,,,t o l u,,,,,,,,,,,
1200_443_oil,m ɓ i,,,,,,,,,,,,,,,,,,m ɓ i,,m ɓ i,,,,,,,,,,,,m ɓ i,m ɓ i,,,,,,,,,,
12015_679_water,,,,,,,j a m,,,,,,,,,,,,,,,,,,,,,,,j a m,j a m,j a m,,,,,,j a m,,,,,,
12016_420_mushroom,,,,,,,,,,,,,,,,,t ə m b a l + k o k o b e,,gʱ u m n i + e + m b u r i,,g a l a + t a ɓ e,,,,,,,,,,,,n g l i + s ɨ + k o r o,d a b a + r + k u ɗ u g e,,,,,,,,,,
1201_611_ten,,,,,,,,,,,,,,,,m u n g ə,,,,,,,,,,,,,,,,,,,,,,,m ə ŋ,,,,,
12109_550_six,,,,,,,,,,,,,,,,n kʷ a n g o,,,,,,,,kʷ a,,,,,,,m aː kʷ a w,m ə k o,,,,kʷ a h,,m u k u,ŋ kʷ a ŋ ə,,,m u kʷ a,,
12114_320_horn,,,,,,,,,,,,,,,,,,,,,l a g a n,l a g a r e,,,,,,,,,,,l a g a n,l a g a r,,,,,,,,,,
12139_404_money,,,g u r x u ə,,,,,,,,,,,,,,g u r s u,,,,,,,,,,,,,,,,g u r s ɨ,,,,,,,,g u r u s,,,
12143_188_eat,s ɨ m,,k ə l a m,,,,,,,,,,,,,,,,z ɨ mʷ u n,,,,,,,,,,,,,,s ɨ m,j i m,,,,,,,,,,
12152_414_mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ ə ɮ o m,,,ɓ ə r ɮ a n,,,,,,,,,,,,
